[0:00:00.00]-[0:00:02.00]  ¿Le falla el sal?
[0:02:18.00]-[0:02:20.00]  Sí, ha pasado mucho tiempo.
[0:02:20.00]-[0:02:23.00]  ¿Y luego en la Mili?
[0:02:23.00]-[0:02:26.00]  En la Mili, en África tres años.
[0:02:26.00]-[0:02:28.00]  ¿Y antes la Mili duraba?
[0:02:28.00]-[0:02:31.00]  Pues yo tres años y medio.
[0:02:31.00]-[0:02:32.00]  ¿De Mili?
[0:02:32.00]-[0:02:33.00]  De Mili.
[0:02:33.00]-[0:02:35.00]  Más los diez meses de guerra.
[0:02:35.00]-[0:02:38.00]  Los diez, bueno, diez meses sí.
[0:02:38.00]-[0:02:46.00]  ¿Queríamos saber algo de la matanza y cómo era?
[0:02:46.00]-[0:02:48.00]  ¿De la matanza?
[0:02:48.00]-[0:02:53.00]  Teníamos el cerdo y luego era grande o pequeño como fuera.
[0:02:53.00]-[0:02:55.00]  Yo tuve un cerdo en diez meses.
[0:02:55.00]-[0:02:59.00]  Pesó, no sé peso, pero le echaban unas 30 rogas.
[0:02:59.00]-[0:03:00.00]  En diez meses.
[0:03:00.00]-[0:03:02.00]  ¿Y pidió el cerdo en casa?
[0:03:02.00]-[0:03:03.00]  Sí, sí.
[0:03:03.00]-[0:03:04.00]  Lo compramos.
[0:03:04.00]-[0:03:05.00]  Lo compramos.
[0:03:05.00]-[0:03:12.00]  Lo compré en Brenaoleda y era, decían el guarín, malo, malo, malo.
[0:03:12.00]-[0:03:21.00]  Y lo traje y a los diez meses, a once meses lo matamos y le echaban 30 rogas.
[0:03:21.00]-[0:03:23.00]  El más grande que se había buscado en el pueblo.
[0:03:23.00]-[0:03:26.00]  No había visto tan grande.
[0:03:26.00]-[0:03:33.00]  Luego lo matábamos, venía uno que mataba a los perros, lo matábamos.
[0:03:33.00]-[0:03:40.00]  Y luego las tripas se lavaban, la carne se picaba y se hacían choritos.
[0:03:40.00]-[0:03:48.00]  Le echábamos ajos, le echábamos pimentón, le echábamos orégano, le echábamos canela y todo eso.
[0:03:48.00]-[0:03:50.00]  Lo adobábamos bien.
[0:03:50.00]-[0:03:51.00]  Su sal.
[0:03:51.00]-[0:03:53.00]  La sal y todo y hacíamos choritos.
[0:03:53.00]-[0:03:55.00]  Lavábamos las tripas.
[0:03:55.00]-[0:03:57.00]  Y vino blanco le echaban también.
[0:03:57.00]-[0:04:00.00]  Para adobar la carne.
[0:04:00.00]-[0:04:03.00]  Y luego hacíamos choritos con una máquina.
[0:04:03.00]-[0:04:08.00]  Antes no, antes con un embudillo le echábamos y le dábamos las tripas.
[0:04:08.00]-[0:04:15.00]  Pero ahora con máquina, se va echando la máquina, se le va lavando y va saliendo y le echamos por clara.
[0:04:15.00]-[0:04:17.00]  ¿Y quién hacía el chorito? ¿Usted?
[0:04:17.00]-[0:04:18.00]  Nosotros.
[0:04:18.00]-[0:04:20.00]  ¿Y otros ayudaron?
[0:04:20.00]-[0:04:25.00]  Y otra gente venía y nos ayudaban y nosotros a otras y así.
[0:04:25.00]-[0:04:30.00]  Nos ayudaban.
[0:04:30.00]-[0:04:33.00]  Nos daban los vacilares.
[0:04:33.00]-[0:04:36.00]  Vamos de Matazón, hemos matado al cerdo.
[0:04:36.00]-[0:04:41.00]  Hacíamos ajo, mortoruelo y chicharra.
[0:04:41.00]-[0:04:43.00]  ¿Y qué se dice en Cuenca?
[0:04:43.00]-[0:04:45.00]  ¿De dónde saliste?
[0:04:45.00]-[0:04:46.00]  De Madrid.
[0:04:46.00]-[0:04:53.00]  Pues habrán oído el ajo de Cuenca o el ajo de la Mancha, ajo mortoruelo.
[0:04:53.00]-[0:05:01.60]  Se lo hacían con el hígado del cerdo, lo cocían y luego lo machacaban y le echaban sus especias.
[0:05:01.60]-[0:05:07.20]  Con la mire y lo echábamos y hacíamos ajo.
[0:05:07.20]-[0:05:10.80]  Lo juntábamos la familia o algunos a almorzar.
[0:05:10.80]-[0:05:15.80]  Luego a lavar las tripas, luego a pillar el gorrino.
[0:05:15.80]-[0:05:20.00]  Echábamos los jamones en sal y eso.
[0:05:20.00]-[0:05:26.00]  También hacíamos morcillas y pillábamos.
[0:05:26.00]-[0:05:28.00]  Se cocía con cebolla.
[0:05:28.00]-[0:05:32.00]  Y ahí quien la hace con arroz, aquí era cebolla.
[0:05:32.00]-[0:05:37.00]  Y luego con la sangre y la manteca hacíamos morcillas.
[0:05:37.00]-[0:05:40.00]  Le echábamos pimentón y orégano y todo eso.
[0:05:40.00]-[0:05:44.00]  Lo que no le echábamos era ajo.
[0:05:44.00]-[0:05:47.00]  A los choritos sí, pero a las morcillas no.
[0:05:47.00]-[0:05:53.00]  Luego las hacíamos, poníamos la caldera, echábamos un buen alumbre, agua y ajojela.
[0:05:53.00]-[0:05:55.00]  Cuando estaban cocidas las recabamos.
[0:05:55.00]-[0:05:59.00]  Las colgábamos para que se secaran y luego no estaban secas, las freílas.
[0:05:59.00]-[0:06:06.00]  Las metíamos en una orpa y cuando queríamos poner potaje, poníamos potaje con judías.
[0:06:06.00]-[0:06:12.00]  Y luego le echábamos una morcilla y un poco de tocino y eso se picaba y ya.
[0:06:12.00]-[0:06:15.00]  La comida.
[0:06:15.00]-[0:06:18.00]  ¿Y por qué ya no se hace más torta?
[0:06:18.00]-[0:06:22.00]  Sí, hay algunas que hacen morcillas, pero ahora hacemos chorizos.
[0:06:22.00]-[0:06:30.00]  Pero ya cerdo no, porque traen carnes y hacemos chorizos y las que hacíamos.
[0:06:30.00]-[0:06:35.00]  Y ahora, igual que los hacíamos antes, nos traen carne, ya pica y todo,
[0:06:35.00]-[0:06:38.00]  pero como los de que matábamos nosotros, nuestro corrión no.
[0:06:38.00]-[0:06:41.00]  Ya no tiene el mismo gusto.
[0:06:41.00]-[0:06:46.00]  Porque ya son otros piensos para los animales y para la vida, pues ya no.
[0:06:46.00]-[0:06:47.00]  No sabe igual.
[0:06:47.00]-[0:06:48.00]  Ya no sabe igual.
[0:06:48.00]-[0:06:58.00]  Antes teníamos gallinas, echábamos lluecas y se quedaban y estaban 21 días y sacaban pollos.
[0:06:58.00]-[0:07:00.00]  Y ahora no, ahora compramos las gallinas.
[0:07:00.00]-[0:07:06.00]  Ahora se compran las pollas, pero ponen más de tres veces más que las otras que se criaban.
[0:07:06.00]-[0:07:12.00]  Tengo nada más que tres gallinas por tener gallinas, tengo tres.
[0:07:12.00]-[0:07:17.00]  Y que hecho un poco pienso, luego van y ciegan y en una era echan trigo.
[0:07:17.00]-[0:07:25.00]  Y cuando ya se lo llevan, pues va este hombre y lo acriba con el arnero y le echamos.
[0:07:25.00]-[0:07:37.00]  Y así es la vida.
[0:07:37.00]-[0:07:42.00]  Ahora pues ya es distinta la vida, ya es de otra manera.
[0:07:42.00]-[0:07:44.00]  Ya no es igual que antes.
[0:07:44.00]-[0:07:56.00]  Antes la vida era distinta, que teníamos poco para comer y muchos trabajos.
[0:07:56.00]-[0:08:05.00]  Ahora ya es distinto, ya nos pagan algo, ya vamos comiendo y con esa paga vamos tirando.
[0:08:05.00]-[0:08:11.00]  Que nos sobra mucho, pero es distinto, ya no tenemos que trabajar tanto ni nada.
[0:08:11.00]-[0:08:17.00]  Hemos trabajado, hemos tenido dos caballerías, dos borricos y vamos a ciegar,
[0:08:17.00]-[0:08:24.00]  íbamos a trillar a la era y a ciegar espartillos que teníamos, cebolla.
[0:08:24.00]-[0:08:26.00]  ¿Ese es la zafran?
[0:08:26.00]-[0:08:27.00]  Sí.
[0:08:27.00]-[0:08:29.00]  Que la habrán oído.
[0:08:29.00]-[0:08:31.00]  Conocerla a lo mejor no.
[0:08:31.00]-[0:08:32.00]  No.
[0:08:32.00]-[0:08:35.00]  ¿Conocerlo en la zafran?
[0:08:35.00]-[0:08:36.00]  No.
[0:08:36.00]-[0:08:38.00]  ¿La planta también?
[0:08:38.00]-[0:08:40.00]  No, la planta no.
[0:08:40.00]-[0:08:46.00]  Aquellas franquitas que hay ahí colgando en el cubo, ¿esas que hay?
[0:08:46.00]-[0:08:48.00]  Es el espartillo.
[0:08:48.00]-[0:08:50.00]  Es el espartillo.
[0:08:50.00]-[0:08:55.00]  Esas franquitas que hay ahí, esas hebrejas, ¿no las ven encima del cubo que están colgando para abajo?
[0:08:55.00]-[0:08:57.00]  Es el espartillo.
[0:08:57.00]-[0:08:59.00]  De ahí salen las rosas.
[0:08:59.00]-[0:09:01.00]  Luego pillábamos.
[0:09:01.00]-[0:09:03.00]  ¿Es ahí en la pared?
[0:09:03.00]-[0:09:07.00]  Sí, eso que cuelga para abajo, no hay tres o cuatro franquitas para abajo.
[0:09:07.00]-[0:09:10.00]  Sí, hay en ese diesto, en esas hojas.
[0:09:10.00]-[0:09:13.00]  Las hojas no, pero lo que cuelga para abajo.
[0:09:13.00]-[0:09:15.00]  Ah, sí.
[0:09:15.00]-[0:09:17.00]  ¿Viste hombre?
[0:09:17.00]-[0:09:19.00]  Eso.
[0:09:19.00]-[0:09:21.00]  De ahí sale la rosa.
[0:09:21.00]-[0:09:24.00]  Bueno, de ahí hay de la cebolla, que es una cebolla.
[0:09:24.00]-[0:09:27.00]  Una cebolla, sí.
[0:09:27.00]-[0:09:29.00]  Cogíamos un poco a zafran.
[0:09:29.00]-[0:09:33.00]  Y luego cuando ya da la rosa, sale eso.
[0:09:33.00]-[0:09:35.00]  Deja el espartillo.
[0:09:35.00]-[0:09:39.00]  Y en este tiempo así, pues a secar el espartillo para las caballerías.
[0:09:39.00]-[0:09:43.00]  Y teníamos, las caballerías, iba el hombre a labrar,
[0:09:43.00]-[0:09:49.00]  cuando estaba, que teníamos que ir a escardar, a escardar, y así la vida.
[0:09:49.00]-[0:09:51.00]  Lo hemos ido pasando.
[0:09:51.00]-[0:09:53.00]  ¿Y cómo era el trabajo?
[0:09:53.00]-[0:09:55.00]  Bueno, voy preguntando uno por uno.
[0:09:55.00]-[0:09:57.00]  Y usted, ¿cómo era el trabajo de antes?
[0:09:57.00]-[0:09:59.00]  Uy, ¡fumio!
[0:09:59.00]-[0:10:03.00]  Veníamos de secar y poco comer, que no teníamos.
[0:10:03.00]-[0:10:08.00]  Veníamos de secar y había poco que comer.
[0:10:08.00]-[0:10:11.00]  Nada que íbamos a tener.
[0:10:11.00]-[0:10:17.00]  Y nosotros aún, pero otras gente venían y no podían, menos que nosotros.
[0:10:17.00]-[0:10:19.00]  Nosotros teníamos un hijo solo.
[0:10:19.00]-[0:10:25.00]  Y el que le gustaba poco de trabajar, entonces, pues no tenía para comer.
[0:10:25.00]-[0:10:26.00]  No tenía.
[0:10:26.00]-[0:10:28.00]  Y eso son cosas que convencen.
[0:10:28.00]-[0:10:34.00]  El que le gusta de trabajar, dice el trabajo, ¿no?
[0:10:34.00]-[0:10:38.00]  Y como dice el refrán, el que trabaja saca mi haja.
[0:10:38.00]-[0:10:39.00]  Bien.
[0:10:39.00]-[0:10:47.00]  Y lo mismo los estudiantes, el que está estudiando aún, pero que dice, ¡ah!
[0:10:47.00]-[0:10:52.00]  Luego llega aquí, las calabazas que tiene.
[0:10:52.00]-[0:10:54.00]  ¡Ah, que sí!
[0:10:54.00]-[0:10:56.00]  Claro.
[0:10:56.00]-[0:10:59.00]  Y lo mismo, antes el que trabajaba, pues sacaba algo.
[0:10:59.00]-[0:11:03.00]  Y el que no trabajaba, pues no sacaba nada.
[0:11:03.00]-[0:11:06.00]  No tenía para comer.
[0:11:06.00]-[0:11:10.00]  Entonces, usted iba a secar y...
[0:11:10.00]-[0:11:15.00]  A secar y a carriar con los borricos y por el camino.
[0:11:15.00]-[0:11:22.00]  Se trabajaba con un cisco y chiquete pequeño a carriar.
[0:11:22.00]-[0:11:27.00]  Tenían siete años o así y ya iban a carriar con dos caballerías.
[0:11:27.00]-[0:11:29.00]  Los pobres que venían ya...
[0:11:29.00]-[0:11:34.00]  Y algunas veces cuando los veo así por la calle, los chiquetes que vienen, digo, ¡ay!
[0:11:34.00]-[0:11:36.00]  Tenían que estar trillando.
[0:11:36.00]-[0:11:39.00]  Trillando chiquetes que son chiquitiscos.
[0:11:39.00]-[0:11:42.00]  Y ya iban a carriar y a trillar.
[0:11:42.00]-[0:11:48.00]  Con una trilla se enganchaban y iban dando vueltas para hacer la parva.
[0:11:48.00]-[0:11:50.00]  Y en la casa...
[0:11:50.00]-[0:11:53.00]  En la casa veníamos y tenías que hacer la comida.
[0:11:53.00]-[0:11:56.00]  Había del borrino, las gallinas y...
[0:11:56.00]-[0:11:59.00]  Y cuando teníamos rosas, que teníamos muchas,
[0:11:59.00]-[0:12:01.00]  ¿os saben lo que hacíamos?
[0:12:01.00]-[0:12:03.00]  Que los metíamos en las camas de nacer.
[0:12:03.00]-[0:12:05.00]  Porque no daba tiempo.
[0:12:05.00]-[0:12:08.00]  Porque tenía rosas y aquello no lo podías guardar.
[0:12:08.00]-[0:12:13.00]  Lo tenías un día para otro, pero otro día la tenías que tirar.
[0:12:13.00]-[0:12:16.00]  Porque se echaba a perder.
[0:12:16.00]-[0:12:19.00]  Así que hemos pasado muchísimo conmigo.
[0:12:19.00]-[0:12:21.00]  Y mañana, bien temprano, a coger rosas.
[0:12:21.00]-[0:12:23.00]  A la safranal.
[0:12:23.00]-[0:12:26.00]  Sin verse, cuando se veía que...
[0:12:26.00]-[0:12:28.00]  Ya estabas...
[0:12:28.00]-[0:12:31.00]  Porque cuando sale el sol, eso se abre.
[0:12:31.00]-[0:12:33.00]  Y ya pues...
[0:12:33.00]-[0:12:37.00]  Encapullo que está así, le da un paso más tirando y...
[0:12:37.00]-[0:12:39.00]  Y cunde.
[0:12:39.00]-[0:12:41.00]  Y se abre ya...
[0:12:41.00]-[0:12:43.00]  Ya es la tizca.
[0:12:43.00]-[0:12:45.00]  Tira ya el clavo.
[0:12:45.00]-[0:12:49.00]  Y el clavo es el que tiene el valor en la safran.
[0:12:49.00]-[0:12:51.00]  Y ahora todo lo tiran.
[0:12:51.00]-[0:12:54.00]  Llega ahí al vertedero ese que hay.
[0:12:54.00]-[0:12:58.00]  Ya te digo, las sillas nuevas las han tirado y las he recogido yo.
[0:12:58.00]-[0:13:01.00]  Esto no, esto lo ha ensobeado el hombre.
[0:13:01.00]-[0:13:04.00]  Pero las tiran.
[0:13:04.00]-[0:13:07.00]  Vas ahí al barranco, como yo digo,
[0:13:07.00]-[0:13:12.00]  y ahí tienen tirado las cosas tiras.
[0:13:12.00]-[0:13:16.00]  Y antes no tirábamos nada porque no teníamos nada.
[0:13:16.00]-[0:13:18.00]  ¿Cómo lo íbamos a tirar?
[0:13:18.00]-[0:13:21.00]  Yo no, porque yo no he tirado nada.
[0:13:21.00]-[0:13:24.00]  Lo que me dio mi madre, tengo.
[0:13:24.00]-[0:13:27.00]  Y mira, ya de tantos años, pues yo tengo.
[0:13:27.00]-[0:13:31.00]  Las sillas y las mesas, que no tengo nada porque...
[0:13:31.00]-[0:13:33.00]  Somos viejos.
[0:13:33.00]-[0:13:34.00]  Y...
[0:13:34.00]-[0:13:36.00]  Y para qué los quiero.
[0:13:36.00]-[0:13:39.00]  Y luego las casas se van a hundir, no van a venir.
[0:13:39.00]-[0:13:41.00]  Estamos cuatro.
[0:13:41.00]-[0:13:44.00]  Y nosotros ya de los más viejos.
[0:13:44.00]-[0:13:46.00]  Así que...
[0:13:46.00]-[0:13:49.00]  El 83 y el 81.
[0:13:49.00]-[0:13:52.00]  Los que tengo.
[0:13:54.00]-[0:13:57.00]  ¿Y los hijos, que los van a vivir?
[0:13:57.00]-[0:14:00.00]  ¿Las ciudades van con cada día?
[0:14:00.00]-[0:14:03.00]  Se van. El mío está en... ¿Cómo le dicen esto?
[0:14:03.00]-[0:14:05.00]  La agencia de las armas en Cusco.
[0:14:05.00]-[0:14:08.00]  Así que mira, ahí no tengo nada más que hacer.
[0:14:08.00]-[0:14:11.00]  Así que cuando vienen, y tengo una nieta.
[0:14:11.00]-[0:14:14.00]  Ella ya sacó la carrera.
[0:14:14.00]-[0:14:16.00]  Para la miércoles.
[0:14:16.00]-[0:14:18.00]  Así que...
[0:14:18.00]-[0:14:21.00]  Vienen, o vienen para jueves santo.
[0:14:21.00]-[0:14:24.00]  Jueves santo vinieron para...
[0:14:24.00]-[0:14:27.00]  Y se fueron y...
[0:14:27.00]-[0:14:30.00]  Y vengan para el verano.
[0:14:30.00]-[0:14:33.00]  Y se van y ya están para viejos hasta...
[0:14:33.00]-[0:14:36.00]  Hasta el traño de verano.
[0:14:36.00]-[0:14:39.00]  Entonces es como si no tuviéramos a nadie.
[0:14:39.00]-[0:14:42.00]  ¿Usted trabaja de pastor?
[0:14:42.00]-[0:14:44.00]  Exactamente.
[0:14:44.00]-[0:14:46.00]  ¿De todo ha hecho?
[0:14:46.00]-[0:14:48.00]  De ocho años empecé de pastor.
[0:14:48.00]-[0:14:51.00]  ¿Puede contar un poco cómo era...
[0:14:51.00]-[0:14:54.00]  Aquí la empezó, prendí cosquillas al trabajo,
[0:14:54.00]-[0:14:57.00]  cuando se levantaba por lo menos...
[0:14:57.00]-[0:15:00.00]  Pues yo empecé de ocho años.
[0:15:00.00]-[0:15:03.00]  Y nos levantábamos pues...
[0:15:03.00]-[0:15:06.00]  Y se iba viendo en el invierno, pues claro...
[0:15:06.00]-[0:15:09.00]  Sobre las siete...
[0:15:09.00]-[0:15:12.00]  Que ya se va viendo, se levanta.
[0:15:12.00]-[0:15:15.00]  Y mientras, hasta que no se ponía el sol...
[0:15:15.00]-[0:15:19.00]  Hoy va anocheciendo, no dejabas los animales.
[0:15:23.00]-[0:15:25.00]  Pero ha sido...
[0:15:25.00]-[0:15:28.00]  Pero ha sido de cuando era joven y todo eso...
[0:15:28.00]-[0:15:30.00]  Luego ya después no.
[0:15:30.00]-[0:15:32.00]  Luego ya pues labrando.
[0:15:32.00]-[0:15:34.00]  Pero de primeras...
[0:15:34.00]-[0:15:38.00]  La juventud, hasta que me fui a la guerra...
[0:15:39.00]-[0:15:42.00]  Estuve de pastor luego...
[0:15:42.00]-[0:15:45.00]  Segando en la era...
[0:15:45.00]-[0:15:48.00]  Sirviendo en nuestras eras, claro...
[0:15:48.00]-[0:15:51.00]  Además de la mía...
[0:15:51.00]-[0:15:54.00]  Pues aún iba a otras...
[0:15:55.00]-[0:15:58.00]  De ayudante que se decía...
[0:15:58.00]-[0:16:00.00]  Ayudante de las...
[0:16:00.00]-[0:16:03.00]  Y voy a ponerse a la vera...
[0:16:03.00]-[0:16:06.00]  ¿Y qué animales tenía de pastor?
[0:16:06.00]-[0:16:08.00]  ¿Qué animales cuidabas?
[0:16:08.00]-[0:16:09.00]  Ah pues...
[0:16:09.00]-[0:16:10.00]  Un atajo...
[0:16:10.00]-[0:16:11.00]  Un atajo de oveja...
[0:16:11.00]-[0:16:13.00]  A lo mejor llevaban 40, 80...
[0:16:13.00]-[0:16:15.00]  No, 100 y pico...
[0:16:15.00]-[0:16:17.00]  120 o por ahí...
[0:16:17.00]-[0:16:19.00]  Pero iba el mayoral...
[0:16:19.00]-[0:16:21.00]  Que él solo no iba...
[0:16:21.00]-[0:16:22.00]  Yo iba de Estagal...
[0:16:22.00]-[0:16:24.00]  De ocho años iba de Estagal...
[0:16:24.00]-[0:16:25.00]  Que se dije...
[0:16:25.00]-[0:16:29.00]  Y cuál era el trabajo del mayoral y cuál era el de Estagal?
[0:16:29.00]-[0:16:31.00]  El mayoral pues...
[0:16:31.00]-[0:16:34.00]  Tenía que atender a las ovejas...
[0:16:34.00]-[0:16:36.00]  Para cuando parían...
[0:16:36.00]-[0:16:37.00]  Y cuidarlas...
[0:16:37.00]-[0:16:39.00]  Echarles pienso...
[0:16:39.00]-[0:16:42.00]  Y el Estagal pues ayudarle a...
[0:16:42.00]-[0:16:45.00]  Cuando iba por los sembrados...
[0:16:45.00]-[0:16:46.00]  Para que no se metieran...
[0:16:46.00]-[0:16:49.00]  Él iba por una olla y el Estagal por otro...
[0:16:49.00]-[0:16:50.00]  Y los animales iban...
[0:16:50.00]-[0:16:53.00]  Uno se ponía en un sembrado y el otro en otro...
[0:16:53.00]-[0:16:55.00]  Y los animales iban comiendo...
[0:16:55.00]-[0:16:58.00]  De un camino, un alinde...
[0:16:58.00]-[0:17:01.00]  Que será el trabajo de los pastores...
[0:17:01.00]-[0:17:03.00]  Los pastores tienen más trabajo...
[0:17:03.00]-[0:17:05.00]  ¿Y cuántos perros tenían?
[0:17:05.00]-[0:17:06.00]  No entiendo...
[0:17:06.00]-[0:17:07.00]  Perros no...
[0:17:07.00]-[0:17:08.00]  Antes no, llevaban perros...
[0:17:08.00]-[0:17:09.00]  Ahora sí llevan perros...
[0:17:09.00]-[0:17:10.00]  Ahora llevaban...
[0:17:10.00]-[0:17:12.00]  Porque llevaban uno solo...
[0:17:12.00]-[0:17:13.00]  Ya...
[0:17:13.00]-[0:17:15.00]  Ahora llevaban uno solo y llevaban dos perros...
[0:17:15.00]-[0:17:18.00]  Y con eso mejor que un Estagal...
[0:17:18.00]-[0:17:19.00]  Porque le manda...
[0:17:19.00]-[0:17:21.00]  Ponte ahí en aquella olla...
[0:17:21.00]-[0:17:23.00]  Y pese mentira que lo hagan...
[0:17:23.00]-[0:17:25.00]  Pero lo hacen...
[0:17:25.00]-[0:17:26.00]  Pero antes...
[0:17:26.00]-[0:17:27.00]  Y que no lo hagan...
[0:17:27.00]-[0:17:29.00]  A las piernas, a las orejas...
[0:17:29.00]-[0:17:31.00]  Y ojo que cargas se meten...
[0:17:31.00]-[0:17:34.00]  Pero él ha ido como un perro...
[0:17:35.00]-[0:17:37.00]  En vez de que ahora llevan perros...
[0:17:37.00]-[0:17:39.00]  Pues antes decían un Estagal...
[0:17:39.00]-[0:17:41.00]  Y ganaba una faña de trigo...
[0:17:41.00]-[0:17:43.00]  O menos o más...
[0:17:43.00]-[0:17:44.00]  Y con esto...
[0:17:44.00]-[0:17:45.00]  Una faña de trigo...
[0:17:45.00]-[0:17:47.00]  Luego 14 celemines de trigo...
[0:17:47.00]-[0:17:49.00]  Sabrán lo que es un celemín y todo eso...
[0:17:49.00]-[0:17:50.00]  No...
[0:17:50.00]-[0:17:51.00]  No muy bien...
[0:17:51.00]-[0:17:53.00]  ¿Cuántas celebres daba para un celemín?
[0:17:53.00]-[0:17:54.00]  Un celemín...
[0:17:54.00]-[0:17:55.00]  Doce celemines...
[0:17:55.00]-[0:17:56.00]  Una faña de trigo...
[0:17:56.00]-[0:17:58.00]  Una faña de trigo...
[0:17:58.00]-[0:18:00.00]  Dos celemines...
[0:18:00.00]-[0:18:02.00]  Que no saben lo que es un celemín tampoco...
[0:18:02.00]-[0:18:03.00]  Claro...
[0:18:03.00]-[0:18:04.00]  Bájalo...
[0:18:04.00]-[0:18:05.00]  Que lo vean...
[0:18:05.00]-[0:18:06.00]  Por eso...
[0:18:17.00]-[0:18:19.00]  ¿Y se ayudaba también en el campo?
[0:18:19.00]-[0:18:20.00]  Sí...
[0:18:20.00]-[0:18:21.00]  Iba con él a cegar...
[0:18:21.00]-[0:18:23.00]  Cuando teníamos que ir a cegar...
[0:18:23.00]-[0:18:24.00]  Ibamos los dos...
[0:18:24.00]-[0:18:26.00]  A cegar...
[0:18:26.00]-[0:18:28.00]  Y luego a acarrear...
[0:18:28.00]-[0:18:30.00]  Luego a trillar...
[0:18:30.00]-[0:18:32.00]  Tenías que trillar y...
[0:18:32.00]-[0:18:34.00]  Porque no teníamos antes alguien...
[0:18:34.00]-[0:18:35.00]  Tenía un trillado...
[0:18:35.00]-[0:18:37.00]  Y trillaba...
[0:18:37.00]-[0:18:38.00]  Pero yo...
[0:18:38.00]-[0:18:40.00]  Nos apañábamos él y yo...
[0:18:42.00]-[0:18:43.00]  Los dos...
[0:18:43.00]-[0:18:44.00]  Porque llegamos a meter...
[0:18:44.00]-[0:18:45.00]  Un trillado...
[0:18:45.00]-[0:18:47.00]  Un muchacho que no vale...
[0:18:47.00]-[0:18:48.00]  Y tengo que ser el trillado...
[0:18:48.00]-[0:18:50.00]  Porque soy yo y no...
[0:18:50.00]-[0:18:53.00]  Y... no nos pasa trabajo...
[0:18:54.00]-[0:18:57.00]  ¿Te ayudaba en casa su madre también o...?
[0:18:57.00]-[0:18:59.00]  Y en mi casa mi padre era herrero...
[0:18:59.00]-[0:19:00.00]  Ah...
[0:19:00.00]-[0:19:02.00]  Y en la casa...
[0:19:02.00]-[0:19:04.00]  Con las dos para la casa...
[0:19:04.00]-[0:19:05.00]  Yo no iba...
[0:19:05.00]-[0:19:07.00]  En mi casa con mis padres no iba...
[0:19:07.00]-[0:19:09.00]  Porque mi padre era herrero...
[0:19:09.00]-[0:19:11.00]  Y no iba...
[0:19:11.00]-[0:19:13.00]  No iba al campo quiere decir...
[0:19:13.00]-[0:19:14.00]  No...
[0:19:14.00]-[0:19:15.00]  Luego cuando me casé...
[0:19:15.00]-[0:19:16.00]  Ya iba al campo...
[0:19:16.00]-[0:19:17.00]  Ya...
[0:19:17.00]-[0:19:18.00]  Ya ayudaba a los hombres...
