[0:00:00.00]-[0:00:01.00]  en el año.
[0:02:25.00]-[0:02:26.00]  No, no.
[0:02:26.00]-[0:02:28.00]  Y estos los gigantes que luego...
[0:02:28.00]-[0:02:30.00]  Y esto son dos personas del pueblo.
[0:02:30.00]-[0:02:33.00]  Las caras son de dos personas del pueblo.
[0:02:33.00]-[0:02:36.00]  Una chica que era aquella, que era de una país, era de una país del pueblo,
[0:02:36.00]-[0:02:38.00]  y este es un chico del pueblo.
[0:02:39.00]-[0:02:41.00]  Y entonces se sacan en fiestas.
[0:02:41.00]-[0:02:44.00]  Sí, este traje es el tradicional.
[0:02:44.00]-[0:02:46.00]  Y van por el pueblo de Sri Lanka.
[0:02:46.00]-[0:02:48.00]  ¿Tiene algún nombre especial?
[0:02:48.00]-[0:02:50.00]  Sí, tiene un nombre.
[0:02:54.00]-[0:02:56.00]  Te digo de los nombres y ya está ya.
[0:02:59.00]-[0:03:01.00]  Bueno, sí, igual tiene un nombre, ahora me acuerdo.
[0:03:02.00]-[0:03:06.00]  Igual que los perros de la panadería de cada perro tienen su nombre.
[0:03:06.00]-[0:03:09.00]  Hay un grupo de jota, un grupo que toca la jota,
[0:03:09.00]-[0:03:11.00]  la jota de Chaltolira del pueblo,
[0:03:11.00]-[0:03:14.00]  que aquí en cada pueblo es parecida a jota pero no es igual,
[0:03:14.00]-[0:03:16.00]  el pueblo baila.
[0:03:16.00]-[0:03:19.00]  Y cuando bailan la jota salen ellas.
[0:03:19.00]-[0:03:21.00]  Y a veces vienen otros gigantes de otros pueblos
[0:03:21.00]-[0:03:23.00]  y también hacen recorrido por el pueblo
[0:03:23.00]-[0:03:27.00]  y van con las mozaynas, las gaitas y todo eso tocando.
[0:03:29.00]-[0:03:34.00]  Aquí, no sé, pero por ejemplo en mi pueblo se hace una especie de encierro de toros.
[0:03:34.00]-[0:03:36.00]  Pues sí, lo que se hace aquí.
[0:03:36.00]-[0:03:40.00]  En el cual los quintos, los chicos jóvenes, suelen salir al rodeo.
[0:03:40.00]-[0:03:42.00]  Igual que se hace aquí.
[0:03:42.00]-[0:03:45.00]  En esta plaza que hay, aquí la cerramos.
[0:03:45.00]-[0:03:47.00]  Un día y se hacen aquí en la plaza.
[0:03:47.00]-[0:03:50.00]  Pero otros días abren todo el pueblo, cierran el pueblo
[0:03:50.00]-[0:03:52.00]  y aquí ya van por todo.
[0:03:52.00]-[0:03:55.00]  Así la gente mayor los ve pasar y disfrutan.
[0:03:55.00]-[0:03:58.00]  Mira, que pasa el toro, pasa por ahí y está vuelta.
[0:03:58.00]-[0:04:00.00]  Y los muertos corren delante pero sin tocarlo.
[0:04:00.00]-[0:04:03.00]  ¿Y en aquella época quién ponía el toro?
[0:04:03.00]-[0:04:05.00]  ¿El ayuntamiento?
[0:04:05.00]-[0:04:08.00]  Si no hubiera una comisión de fiestas y le dicen para los toros
[0:04:08.00]-[0:04:11.00]  que los tenéis aquí en itinerario y aquellos son los que...
[0:04:11.00]-[0:04:13.00]  ¿Y era algún ganadero local o...?
[0:04:13.00]-[0:04:15.00]  No, normalmente son de fuera los ganaderos.
[0:04:15.00]-[0:04:17.00]  Aquí no hay ganadería.
[0:04:17.00]-[0:04:20.00]  En el pueblo de esta de aquí arriba, allí hay dos o tres ganaderías.
[0:04:20.00]-[0:04:22.00]  Aquí en el puerto de Toltosa que decimos.
[0:04:22.00]-[0:04:24.00]  Y luego pues...
[0:04:24.00]-[0:04:27.00]  En un pueblo que se llama Alfara de Carles, allí hay dos ganaderías.
[0:04:27.00]-[0:04:30.00]  Y si nos vienen de aquí del Delta o de la parte de Castellón,
[0:04:30.00]-[0:04:33.00]  allí hay mucha afición, también los traen de allí.
[0:04:33.00]-[0:04:37.00]  Antes se traían andando y los encerraban por ejemplo en la FUT.
[0:04:37.00]-[0:04:39.00]  Y la gente iba a verlos.
[0:04:39.00]-[0:04:42.00]  O bajaban por la montaña y al llegar allá al canal
[0:04:42.00]-[0:04:45.00]  entraban a beber y entonces entraban corriendo.
[0:04:45.00]-[0:04:48.00]  Pero ahora ya, a ellos los llevan con camiones.
[0:04:48.00]-[0:04:50.00]  En las fotos que te digo lo ves.
[0:04:50.00]-[0:04:52.00]  Ahora los bajan en camiones.
[0:04:52.00]-[0:04:56.00]  Ahora viene el camión, lo ponen aquí y sueltan.
[0:04:56.00]-[0:05:00.00]  ¿Y en aquella época había... daba más corte
[0:05:00.00]-[0:05:02.00]  sacar a bailar a la chica?
[0:05:02.00]-[0:05:04.00]  Como hoy en día...
[0:05:04.00]-[0:05:06.00]  No, no, esto es otra tradición.
[0:05:06.00]-[0:05:10.00]  Ahora cuando empieza la fiesta mayor nombran las pubillas.
[0:05:10.00]-[0:05:13.00]  Y ya antes de la fiesta hay un día que las proclaman.
[0:05:13.00]-[0:05:17.00]  Va el ayuntamiento y invitan los alcaldes, las autoridades,
[0:05:17.00]-[0:05:20.00]  a lo mejor viene el de la Diputación, el delegado comarcal.
[0:05:20.00]-[0:05:24.00]  Y entonces en el casal hacen la proclamación de pubillas.
[0:05:24.00]-[0:05:27.00]  Entran a un área y salen las del año pasado, de cada año.
[0:05:27.00]-[0:05:28.00]  Y estás...
[0:05:28.00]-[0:05:31.00]  Rolano ya haciendo un baile que es el baile de las pubillas.
[0:05:31.00]-[0:05:34.00]  Que baila el alcalde, porque llevan una acompañante
[0:05:34.00]-[0:05:37.00]  que llamamos el patrino, o la acompañante.
[0:05:37.00]-[0:05:39.00]  Y esto es típico.
[0:05:39.00]-[0:05:43.00]  Pero esto se hace antes de la fiesta, cuando proclaman las pubillas.
[0:05:43.00]-[0:05:44.00]  Vale.
[0:05:44.00]-[0:05:49.00]  Y bien, cambiando, ahora seguimos en plan un poco fiesta pero distinta.
[0:05:49.00]-[0:05:52.00]  ¿Las bodas tradicionales cómo era?
[0:05:52.00]-[0:05:55.00]  Pues las bodas tradicionales se casaban en la iglesia
[0:05:55.00]-[0:05:57.00]  y como no había dinero, no había...
[0:05:57.00]-[0:06:00.00]  pues se reunía la familia, mataban un cerdo, mataban a la gallina,
[0:06:00.00]-[0:06:04.00]  y los vecinos vinieron o vinieron aquí al café.
[0:06:04.00]-[0:06:07.00]  Esto era oficio al pueblo porque no había más recursos, ni había hoteles,
[0:06:07.00]-[0:06:10.00]  ni había... Ahora no, ahora la gente hace la boda y se va por San Carlos,
[0:06:10.00]-[0:06:16.00]  se van por aquí, por aquí hay ahora un hotel de cinco estrellas que era de un castillo de un indiano
[0:06:16.00]-[0:06:20.00]  que vino de las Américas y hizo un castillo aquí con árboles muy exóticos.
[0:06:20.00]-[0:06:22.00]  Y ahora es que lo han hecho, un hotel de cinco estrellas.
[0:06:22.00]-[0:06:24.00]  Y con mucha gente allí.
[0:06:24.00]-[0:06:27.00]  Entonces se ha perdido un poco la tradición de que antes...
[0:06:27.00]-[0:06:32.00]  No, no es que claro las cosas... No, es que es muy normal.
[0:06:32.00]-[0:06:38.00]  Es que ahora la gente, como no había medio de comunicación, la gente todo se hace en el pueblo.
[0:06:38.00]-[0:06:44.00]  Ahora que para los sábados, domingos, la juventud tiene coches posibles a las discotecas por allá.
[0:06:44.00]-[0:06:47.00]  Ha cambiado mucho la vida de ahora lo de antes.
[0:06:47.00]-[0:06:50.00]  ¿Las preocupaciones que había en aquella época como cuáles?
[0:06:50.00]-[0:06:53.00]  Las preocupaciones de los padres era comer.
[0:06:53.00]-[0:07:01.00]  Porque era un pueblo agrícola, aquí la guerra le afectó mucho porque en el pueblo se destruyeron 25 o 30 casas
[0:07:01.00]-[0:07:03.00]  y muchas quedaron mal.
[0:07:03.00]-[0:07:08.00]  Los huertos hasta los seis meses de pasar la guerra dicen que no se podía cultivar porque estaba lleno de hoyos.
[0:07:08.00]-[0:07:11.00]  Y claro la gente para los seis o siete meses que no tienen que comer.
[0:07:11.00]-[0:07:16.00]  Hasta que los cultivos no empezaron a producir pues la gente pasó penurias.
[0:07:16.00]-[0:07:21.00]  Nada más había una fábrica que llevaba poco a gente, o sea que se pasó penurias.
[0:07:21.00]-[0:07:25.00]  Y aquí fue dura. Y nosotros no se porque la hemos vivido.
[0:07:25.00]-[0:07:31.00]  Después ya cuando vino el año 58 y empezó el cambio de aquello pues la gente vino a la agricultura.
[0:07:31.00]-[0:07:37.00]  Fue un complemento muy bueno para la agricultura y entonces el pueblo ya resurgió un poco.
[0:07:37.00]-[0:07:43.00]  Pero se pasaron los años de los años 40 a los 55, fueron unos años duros.
[0:07:43.00]-[0:07:45.00]  La gente marchó mucho de aquí.
[0:07:45.00]-[0:07:47.00]  ¿Y aquí?
[0:07:47.00]-[0:07:51.00]  En la guerra a lo mejor habían 2.500 personas aquí.
[0:07:51.00]-[0:07:53.00]  Y aquí ahora hay 1.200.
[0:07:53.00]-[0:07:55.00]  Ahora es estable.
[0:07:55.00]-[0:07:57.00]  ¿Y el principal foco hacia dónde ibas? ¿De migración?
[0:07:57.00]-[0:08:00.00]  Pues normalmente Barcelona, las ciudades que exhibe.
[0:08:00.00]-[0:08:04.00]  Sabadell, Manresa, Barcelona.
[0:08:04.00]-[0:08:10.00]  Y después los que iban a hacer en el año 29 cuando hicieron la inauguración de Barcelona.
[0:08:10.00]-[0:08:12.00]  ¿Cómo se llama aquello?
[0:08:12.00]-[0:08:15.00]  La exposición de Barcelona que le hicieron el año 29.
[0:08:15.00]-[0:08:17.00]  Y aquí marchó mucha gente a trabajar.
[0:08:17.00]-[0:08:19.00]  A los metros a hacer.
[0:08:19.00]-[0:08:22.00]  Porque claro que fue un acontecimiento muy grande para Barcelona.
[0:08:22.00]-[0:08:25.00]  ¿Y entonces aquí que se cultivaba?
[0:08:25.00]-[0:08:27.00]  ¿No se cultiva?
[0:08:27.00]-[0:08:31.00]  ¿Quieres decir que se había cultivo lo que había de saber?
[0:08:31.00]-[0:08:35.00]  Antes. El olivo y el pués de amaberto había mucho frutado.
[0:08:35.00]-[0:08:36.00]  Pero mucho.
[0:08:36.00]-[0:08:37.00]  ¿Y variado?
[0:08:37.00]-[0:08:42.00]  Y variado. Aquí había perales, melocotones, ciruelas, albaricón, guerniz, palceres, había de todo.
[0:08:42.00]-[0:08:47.00]  Y aquí cada día venía un camión a cargar frutos para Barcelona.
[0:08:47.00]-[0:08:48.00]  Todos los días.
[0:08:48.00]-[0:08:51.00]  Y esto, pero cuando ya la cosa empezó mal, que...
[0:08:51.00]-[0:08:56.00]  Entonces esto se fue despoblando y entonces se plantaron las aranjas.
[0:08:56.00]-[0:09:01.00]  O sea que aquí el 95% de la alberta es aranja y huerto.
[0:09:01.00]-[0:09:02.00]  ¿Se acuerda...?
[0:09:02.00]-[0:09:03.00]  Cítricos.
[0:09:03.00]-[0:09:08.00]  Aranjas, mandarinas y limones. Cítricos.
[0:09:08.00]-[0:09:12.00]  ¿Se acuerda usted cómo era la enseñanza aquí?
[0:09:12.00]-[0:09:14.00]  La enseñanza era tipo párvulo.
[0:09:14.00]-[0:09:16.00]  Había párvulo, pasábamos...
[0:09:16.00]-[0:09:18.00]  O sea, la bachillerato teníamos que hacer a Tortosa.
[0:09:18.00]-[0:09:22.00]  Así, al lado pasábamos de párvulo, hacemos primero y segundo.
[0:09:22.00]-[0:09:24.00]  Y eso precisamente, eso era una escuela.
[0:09:24.00]-[0:09:25.00]  Esto era una escuela.
[0:09:25.00]-[0:09:27.00]  Aquí en un patio, se fue tras...
[0:09:27.00]-[0:09:31.00]  ¿Y dónde estábamos? Todo esto era una escuela.
[0:09:31.00]-[0:09:33.00]  Una escuela que estaba a chicas, ¿no?
[0:09:33.00]-[0:09:37.00]  Sí, aquí había una separación y había dos coches.
[0:09:37.00]-[0:09:40.00]  Aquí se salía en el patio y aquí al lado.
[0:09:40.00]-[0:09:42.00]  ¿Y las clases eran mixtas o...?
[0:09:42.00]-[0:09:45.00]  No, no, no. Entonces no.
[0:09:45.00]-[0:09:49.00]  Entonces había para chicas y para chicos.
[0:09:49.00]-[0:09:53.00]  ¿Las mujeres hasta qué edad solían estudiar?
[0:09:53.00]-[0:09:54.00]  Hasta los 14 años.
[0:09:54.00]-[0:09:57.00]  Sí, la primaria, o sea...
[0:09:57.00]-[0:09:59.00]  Y los que tenían dinero, como eran pocos,
[0:09:59.00]-[0:10:03.00]  entonces iban a estudiar la bachillerato de Tortosa, que está a 12 kilómetros.
[0:10:03.00]-[0:10:05.00]  Y se iban con bicicleta.
[0:10:05.00]-[0:10:07.00]  ¿Y los chicos por su parte?
[0:10:07.00]-[0:10:11.00]  Pues los chicos de aquí a terminar, uno en Barcelona, uno aquí se expabilaban.
[0:10:11.00]-[0:10:13.00]  Sí, sí, sí. Salían rápido.
[0:10:13.00]-[0:10:17.00]  Y entonces, y mucho la agricultura, porque entonces la agricultura tiraba un poco.
[0:10:17.00]-[0:10:20.00]  Porque lo que decía antes, vino el boom de la agricultura,
[0:10:20.00]-[0:10:22.00]  y aquí en la agricultura se ganó mucho dinero.
[0:10:22.00]-[0:10:27.00]  Que esa casa tenía granjas, encima de las agorpas tenían gallinas, tenían payos,
[0:10:27.00]-[0:10:30.00]  porque entonces lo veo, se ganó mucho dinero con esto.
[0:10:30.00]-[0:10:32.00]  Lo que pasa es que esto duró 10 o 15 años,
[0:10:32.00]-[0:10:36.00]  hasta que vinieron los grandes estudiantes, que entonces lo comieron todo.
[0:10:36.00]-[0:10:41.00]  Aquí había una cooperativa que empleaba 30 personas, gente.
[0:10:41.00]-[0:10:44.00]  Y los años que fue bien, pues aquello dio mucha riqueza al pueblo,
[0:10:44.00]-[0:10:46.00]  pero también fue mal.
[0:10:46.00]-[0:10:48.00]  En fin.
[0:10:49.00]-[0:10:53.00]  ¿El maestro en aquella época tenía más autoridad de lo que suele entender hoy en día?
[0:10:53.00]-[0:10:54.00]  ¡Uff! Tanto.
[0:10:54.00]-[0:10:58.00]  Yo voy a ir a casa y le digo, el maestro me ha pegado un bufetón,
[0:10:58.00]-[0:10:59.00]  y mi padre me daba otro.
[0:10:59.00]-[0:11:00.00]  Otro, sí.
[0:11:00.00]-[0:11:01.00]  ¿Qué has hecho?
[0:11:01.00]-[0:11:04.00]  Así como era el remes, ya cambiaba mucho esto.
[0:11:04.00]-[0:11:09.00]  Entonces, hay una cosa, y don Fulano, don Sotano, y respecto, ¿se puede pasar?
[0:11:09.00]-[0:11:16.00]  O sea que era una cosa, cuando salía el Mohsen y iba a besar la mano, era lo que te enseñaban.
[0:11:16.00]-[0:11:17.00]  Es lo que había.
[0:11:17.00]-[0:11:18.00]  Es que era como una autoridad.
[0:11:18.00]-[0:11:19.00]  No lo era.
[0:11:19.00]-[0:11:20.00]  Lo era, lo era.
[0:11:20.00]-[0:11:25.00]  Es que la autoridad que eran los pueblos, el alcalde, el cura, el farmacéutico y el juez.
[0:11:25.00]-[0:11:30.00]  Esto, este que es un respeto, parecía que…
[0:11:30.00]-[0:11:32.00]  Las personas con cultura, por así decirlo.
[0:11:32.00]-[0:11:37.00]  No, no es que era así. Esto cambiaba mucho.
[0:11:37.00]-[0:11:40.00]  ¿Y los maestros animaban a la gente a seguir estudiando?
[0:11:40.00]-[0:11:47.00]  No, maestros interesaban, no enseñaban bien, porque eso no es un alabo que digo,
[0:11:47.00]-[0:11:48.00]  porque hacía cherta.
[0:11:48.00]-[0:11:52.00]  Cuando llegaban los chiquitos al instituto, decían, esos chicos vengan a hacer cherta.
[0:11:52.00]-[0:11:57.00]  Dicen que venían de aquí muy bien preparados. Lo decían, ¿eh?
[0:11:57.00]-[0:11:58.00]  Sí, se preocupaban.
[0:11:58.00]-[0:12:02.00]  Se preocupaban, los maestros de aquí se preocupaban de que los que salían de aquí estudiaban.
[0:12:02.00]-[0:12:05.00]  Después mucha gente también se iba a formación profesional en aquellos tiempos.
[0:12:05.00]-[0:12:06.00]  Sí.
[0:12:07.00]-[0:12:11.00]  ¿Y si alguien, en el caso de que no dejase atender a la clase, qué le pasaba?
[0:12:12.00]-[0:12:17.00]  No, no. Lo que decíamos antes, no hacía demasiado caso, porque como había tanta miseria,
[0:12:17.00]-[0:12:22.00]  pues por ejemplo, en la primera época estaba de coger la aceituna. Con una ley no se podían pagar,
[0:12:22.00]-[0:12:25.00]  pues si tú tenías aceitunas, pues los chicos los mandaban con los padres.
[0:12:25.00]-[0:12:26.00]  Ah, los chicos.
[0:12:26.00]-[0:12:30.00]  Y estaban andando por ahí, viniendo. Y los maestros de solo no decían nada, porque no…
[0:12:30.00]-[0:12:36.00]  Ahora, si veía un chico por la calle que te va, entonces lo mandaban a Guazilid y le decían,
[0:12:36.00]-[0:12:40.00]  era el colega, eso sí. Pero si era porque tenía que ir a la casa, no decían nada.
[0:12:40.00]-[0:12:41.00]  Ah.
[0:12:41.00]-[0:12:45.00]  Pero claro, es que las cosas, las cosas, tienes que recogerlas, y mano de obra no había,
[0:12:45.00]-[0:12:47.00]  y además no había formado…
[0:12:47.00]-[0:12:48.00]  Y no se podía pagar.
[0:12:48.00]-[0:12:51.00]  Y no se podía pagar. O sea que era muy diferente.
[0:12:52.00]-[0:12:56.00]  Y yo digo yo que si la juventud de ahora tuviera que pasar lo que pasamos nosotros,
[0:12:56.00]-[0:12:57.00]  yo creo que se morirían.
[0:12:57.00]-[0:12:58.00]  Sí.
[0:12:58.00]-[0:13:00.00]  En esto lo hemos comentado mucho yo en los copilados.
[0:13:01.00]-[0:13:05.00]  Entonces, ha dicho usted que los chicos se espabilaban y solían emigrar hacia otras…
[0:13:05.00]-[0:13:07.00]  ¿Qué remedio?
[0:13:08.00]-[0:13:10.00]  ¿Los padres animaban a quedarse alguien en el pueblo?
[0:13:11.00]-[0:13:13.00]  No, no, es que se marchaban familias enteras.
[0:13:13.00]-[0:13:14.00]  Sí, sí, sí.
[0:13:14.00]-[0:13:18.00]  En estos años que lo decía, no digo que de 2.000 personas, ahora somos 1.200,
[0:13:18.00]-[0:13:20.00]  pues se marchaban familia…
[0:13:20.00]-[0:13:24.00]  Cuando se marchaba uno a Barcelona, encontraba, pues llamaba a la familia a venir que…
[0:13:24.00]-[0:13:29.00]  Porque entonces las fábricas y ahora… porque marchaban de aquí y al cabo de dos años ya tenían piso,
[0:13:29.00]-[0:13:32.00]  los chicos ya los tenían en los colegios, ganaban mucho dinero,
[0:13:32.00]-[0:13:34.00]  porque aparte hacían muchas cosas extra.
[0:13:34.00]-[0:13:36.00]  Y claro, eso animaba a la gente de aquí a marcharse.
[0:13:36.00]-[0:13:38.00]  Se marchaban familias enteras.
[0:13:38.00]-[0:13:42.00]  Aquí a los niños se los llama de alguna forma especial, tipo…
[0:13:42.00]-[0:13:43.00]  No.
[0:13:43.00]-[0:13:44.00]  Crios.
[0:13:44.00]-[0:13:45.00]  Crios, bueno, niños, crios.
[0:13:45.00]-[0:13:46.00]  Sí.
[0:13:46.00]-[0:13:47.00]  Crios.
[0:13:48.00]-[0:13:51.00]  ¿Y qué juegos típicos había en los colegios?
[0:13:51.00]-[0:13:52.00]  Uy, entonces…
[0:13:52.00]-[0:13:53.00]  Siempre jugaba.
[0:13:53.00]-[0:13:56.00]  Entonces la vida la hacíamos en la calle, en las plazas.
[0:13:56.00]-[0:13:57.00]  Sí, en los colegios.
[0:13:57.00]-[0:14:03.00]  Pelota, el fútbol, el básquet, el cricket, las bolas, una cosa que llamábamos el patacón,
[0:14:03.00]-[0:14:08.00]  las chicas a saltar, la bomba, la plaza esta, a las cinco de la tarde, que no se cabía.
[0:14:08.00]-[0:14:10.00]  Toda la juventud aquí en la plaza.
[0:14:10.00]-[0:14:11.00]  Y bueno, y el río.
[0:14:11.00]-[0:14:12.00]  Sí.
[0:14:12.00]-[0:14:13.00]  Y el río era por por qué más.
[0:14:13.00]-[0:14:14.00]  Todos andaban al canal.
[0:14:14.00]-[0:14:17.00]  Todos, los seis años andaban con todo el canal.
[0:14:17.00]-[0:14:19.00]  Sus nombres son…
[0:14:19.00]-[0:14:20.00]  Ellos son…
[0:14:20.00]-[0:14:28.00]  Recuerda cómo se cortejaban en aquella época las mujeres.
[0:14:28.00]-[0:14:29.00]  Pues mira, aquí está la plaza.
[0:14:29.00]-[0:14:31.00]  Y aquí, y debe ser aquí, ¿eh?
[0:14:31.00]-[0:14:33.00]  Y las chicas votaban así y nosotros así.
[0:14:33.00]-[0:14:35.00]  Y vos habéis de irme así o así.
[0:14:35.00]-[0:14:37.00]  Y mira, dando vueltas a la…
[0:14:37.00]-[0:14:38.00]  Dando vueltas a la…
[0:14:38.00]-[0:14:40.00]  A un recorrido de 500 metros.
[0:14:40.00]-[0:14:41.00]  Sí, sí, sí.
[0:14:41.00]-[0:14:42.00]  Adiós, adiós.
[0:14:42.00]-[0:14:43.00]  Claro, como nos decimos.
[0:14:43.00]-[0:14:45.00]  Y así pasábamos las tardes.
[0:14:45.00]-[0:14:48.00]  Los domingos nos daba el cine y por la tarde y por la noche bailaba.
[0:14:48.00]-[0:14:49.00]  Y era de orquesta.
[0:14:49.00]-[0:14:51.00]  Había aquí un aquello de disco que decíamos,
[0:14:51.00]-[0:14:54.00]  aquellos discos piñones, aquellos que eran así redondos,
[0:14:54.00]-[0:14:55.00]  a los conocí.
[0:14:55.00]-[0:14:58.00]  Y ahí había un señor que ahí dando vueltas, y ¡hola!
[0:14:58.00]-[0:14:59.00]  Y ahí bailaba.
[0:14:59.00]-[0:15:02.00]  Los bailes que se bailaban entonces.
[0:15:02.00]-[0:15:05.00]  ¿Y los padres cómo actuaban en aquella…
[0:15:05.00]-[0:15:07.00]  Si te pillaban cortejando a su hijo.
[0:15:07.00]-[0:15:08.00]  No, no.
[0:15:08.00]-[0:15:12.00]  Porque aparte otra cosa es que en los pueblos te conoces todos.
[0:15:12.00]-[0:15:16.00]  Aquí hacían baile a fiestas mayores y las madres venían al baile
[0:15:16.00]-[0:15:17.00]  a ver con quién bailaban.
[0:15:17.00]-[0:15:18.00]  Sí, sí, a ver cómo bailaban.
[0:15:18.00]-[0:15:22.00]  Se ponían allí sentadas, allí, y dieron vueltas por allí,
[0:15:22.00]-[0:15:23.00]  y las madres mirando.
[0:15:23.00]-[0:15:24.00]  Pero era lo que había.
[0:15:24.00]-[0:15:26.00]  No, no, no se decía ninguna…
[0:15:26.00]-[0:15:29.00]  Pero alguno que salía afuera, pero no.
[0:15:29.00]-[0:15:32.00]  Entonces éramos, en fin…
[0:15:32.00]-[0:15:33.00]  Un poco cortos.
[0:15:33.00]-[0:15:34.00]  No, no, no, no.
[0:15:34.00]-[0:15:38.00]  No había lo que había ahora.
[0:15:38.00]-[0:15:41.00]  Yo hasta que me casé a mi mujer casi ni la veía.
[0:15:41.00]-[0:15:42.00]  Y la mayoría.
[0:15:42.00]-[0:15:45.00]  No comprendí, eso ha cambiado tanto.
[0:15:45.00]-[0:15:49.00]  ¿Usted piensa que hoy en día se tendría que obedecer más a los padres
[0:15:49.00]-[0:15:50.00]  de lo que se obedece?
[0:15:50.00]-[0:15:51.00]  Y tanto.
[0:15:51.00]-[0:15:52.00]  Sí.
[0:15:52.00]-[0:15:53.00]  Y tanto.
[0:15:53.00]-[0:15:57.00]  El problema hasta ahora es que la juventud, porque yo la he visto en mi casa
[0:15:57.00]-[0:16:00.00]  y mis nietos, esto… ¿qué te sabes tú?
[0:16:00.00]-[0:16:04.00]  Mis chicos que han hecho estudios ya se creen que, oye, tú sabes mucho,
[0:16:04.00]-[0:16:08.00]  pero yo tengo la sabiduría dentro de la vida, que también se aprende.
[0:16:08.00]-[0:16:12.00]  Me entiende, sé que hay un contraste de pareceres que a veces es cuando se choca.
[0:16:12.00]-[0:16:16.00]  Yo reconozco que el que tiene ordenador, tiene loquaza, tiene esto, lo otro,
[0:16:16.00]-[0:16:21.00]  y nosotros bien juntos nos aclaramos para poner, pero vengo a decir, hombre…
[0:16:21.00]-[0:16:23.00]  Y eso pasa.
[0:16:23.00]-[0:16:25.00]  Y en bastantes casos.
