[0:00:00.00]-[0:00:02.00]  Hola, buenas tardes.
[0:08:23.00]-[0:08:26.00]  tenían la tienda y el salón juntos.
[0:08:26.00]-[0:08:30.00]  Que mi papá se los dio para que cogiera,
[0:08:30.00]-[0:08:35.00]  como ya mi padrino tenía, se puso en los terrenos
[0:08:35.00]-[0:08:40.00]  y ellas se pusieron en el negocio.
[0:08:40.00]-[0:08:45.00]  ¿Y usted no tenía interés por la tienda y el salón de baile?
[0:08:45.00]-[0:08:47.00]  ¿O prefería usted el campo?
[0:08:47.00]-[0:08:49.00]  No, yo no, mi niña.
[0:08:49.00]-[0:08:52.00]  Yo criaba a mis hijos, que tuve un montón de hijos.
[0:08:52.00]-[0:08:53.00]  ¿Cuántos hijos tuvo usted?
[0:08:53.00]-[0:08:54.00]  Nueve.
[0:08:54.00]-[0:08:55.00]  ¿Nueve?
[0:08:55.00]-[0:08:58.00]  ¿Y cómo eran antes los partos?
[0:08:58.00]-[0:09:01.00]  Una se me murió y ocho me quedaron.
[0:09:01.00]-[0:09:07.00]  Y me quedaron, gracias a Dios, tres varones y cinco hembras.
[0:09:07.00]-[0:09:12.00]  ¿Y usted paría en el hospital o aquí en el campo?
[0:09:12.00]-[0:09:16.00]  En el campo los tuve todos, al no ser uno.
[0:09:16.00]-[0:09:19.00]  El más chico lo tuve en el hospital.
[0:09:19.00]-[0:09:29.00]  Pero no pasé muchos trabajos porque había buenas parteras allí
[0:09:29.00]-[0:09:33.00]  y los médicos son buenos.
[0:09:33.00]-[0:09:37.00]  Sí, pero usted, por ejemplo, cuando se ponía de parto aquí,
[0:09:37.00]-[0:09:41.00]  ¿cómo hacía? ¿Llamaba inmediatamente al médico y el médico venía?
[0:09:41.00]-[0:09:42.00]  Me iba yo.
[0:09:42.00]-[0:09:43.00]  No, mamá.
[0:09:43.00]-[0:09:44.00]  ¿Eh?
[0:09:44.00]-[0:09:46.00]  ¿Las comadronas?
[0:09:46.00]-[0:09:51.00]  Sí, las comadronas sí, pero el último lo tuve en el hospital.
[0:09:51.00]-[0:09:56.00]  Sí, pero antes no había médicos, sino en Vallermos y en Vallaranrey, en Agullu.
[0:09:56.00]-[0:10:00.00]  Ah, sí, en Vallaranrey, en Agullu, sí.
[0:10:00.00]-[0:10:03.00]  Pero yo tuve que ir a la villa porque...
[0:10:03.00]-[0:10:06.00]  Sí, pero todos los demás fueron en casa con parteras.
[0:10:06.00]-[0:10:09.00]  Ah, sí, los demás en casa con parteras.
[0:10:09.00]-[0:10:10.00]  Sí.
[0:10:10.00]-[0:10:15.00]  Mujeres se ponían que a fuerza, a fuerza, pero yo no hacía mucha fuerza.
[0:10:15.00]-[0:10:22.00]  Dios me los ayudaba a tener.
[0:10:22.00]-[0:10:26.00]  ¿Y cómo sabía usted que era el momento de ponerse de parto?
[0:10:26.00]-[0:10:32.00]  ¿Se ponía usted ya con las contracciones y llamaba a la partera?
[0:10:32.00]-[0:10:38.00]  No, eso empezaba un dolor
[0:10:38.00]-[0:10:42.00]  y ya cuando uno estaba muy dolorido llamaba a la partera
[0:10:42.00]-[0:10:46.00]  y las parteras entonces ayudaban a uno.
[0:10:46.00]-[0:10:48.00]  ¿Y eran buenas profesionales?
[0:10:48.00]-[0:10:49.00]  Sí, sí eran buenas.
[0:10:49.00]-[0:10:52.00]  ¿Se fiaba uno de ellas?
[0:10:52.00]-[0:10:53.00]  ¿Qué remedio?
[0:10:53.00]-[0:10:58.00]  Es que en otros sitios nos han dicho que a veces no eran muy profesionales.
[0:10:58.00]-[0:11:01.00]  ¿Eran mujeres amañadas de aquí?
[0:11:01.00]-[0:11:03.00]  Muchas sí, muchas sí eran de esa manera.
[0:11:03.00]-[0:11:05.00]  No eran estudiadas, eran los que vi en el campo.
[0:11:05.00]-[0:11:10.00]  Ellas no tenían estudio ni tenían nada, sino ayudaban a fuerza y fuerza.
[0:11:10.00]-[0:11:15.00]  Si lo tenían bien, pero era por manos de Dios, no era por manos de ellas.
[0:11:15.00]-[0:11:17.00]  Sí, ¿y cómo llamaban a las parteras?
[0:11:17.00]-[0:11:21.00]  Porque entonces no había teléfonos aquí.
[0:11:21.00]-[0:11:22.00]  ¿Con el silbo?
[0:11:22.00]-[0:11:24.00]  ¿Con el silbo?
[0:11:24.00]-[0:11:28.00]  Sí, con el silbo.
[0:11:28.00]-[0:11:33.00]  Muchos que los llamaban por el silbo, pero otras...
[0:11:33.00]-[0:11:41.00]  allá en el cercado había uno y de aquí una partera y de aquí las llamaban y ellas vinían.
[0:11:41.00]-[0:11:47.00]  ¿Y quién silbaba? ¿El marido era el que...
[0:11:47.00]-[0:11:48.00]  Sí, antes sí, antes sí.
[0:11:48.00]-[0:11:50.00]  ¿Aquí antes? ¿Todo el mundo?
[0:11:50.00]-[0:11:51.00]  Todo el mundo.
[0:11:51.00]-[0:11:57.00]  Mi marido estaba en un... abajo en la vega, abajo cuando teníamos los animales
[0:11:57.00]-[0:12:02.00]  y un señor que estaba en elquito subía arriba a San Lorenzo
[0:12:02.00]-[0:12:07.00]  y mi marido la llamaba a él de allá de la vega abajo a San Lorenzo
[0:12:07.00]-[0:12:13.00]  y de allí le contestaba a él y allí se hablaba y le decía que viniera para acá
[0:12:13.00]-[0:12:20.00]  para que cuidara una vaca que tenía abajo, que viniera, que la vaca tenía hambre
[0:12:20.00]-[0:12:22.00]  y que viniera a cogerle pasto.
[0:12:22.00]-[0:12:29.00]  Ellos se hablaban y tenía otro muchacho que tenía lo ya...
[0:12:29.00]-[0:12:35.00]  que era amigo de él y se llamaban de un lado para otro también de una banda a otra
[0:12:35.00]-[0:12:37.00]  para ir a buscar y comer los animales.
[0:12:37.00]-[0:12:39.00]  Siempre se llamaban.
[0:12:39.00]-[0:12:47.00]  Y ahí había una mujer que silbaba de ahí arriba, ahí abajo a las medinas
[0:12:47.00]-[0:12:53.00]  y le llaman ahí abajo a las medinas al marido y de ahí le contestaba el marido a ella.
[0:12:53.00]-[0:12:54.00]  ¿Ah sí?
[0:12:54.00]-[0:12:55.00]  Sí.
[0:12:55.00]-[0:12:57.00]  Antes sí, mi niña, antes sí.
[0:12:57.00]-[0:12:58.00]  Hablaba por silbo.
[0:12:58.00]-[0:13:03.00]  ¿Y reconocían, por ejemplo, el marido reconocían que era la mujer la que silbaba?
[0:13:03.00]-[0:13:08.00]  Sí, yo silbaba un poquito, pero poco, no mucho.
[0:13:08.00]-[0:13:11.00]  Pero mi marido sí silbaba bastante.
[0:13:11.00]-[0:13:18.00]  Y teníamos un perro que lo llamábamos Caribe y después me dijo...
[0:13:18.00]-[0:13:24.00]  me silbó de arriba y yo le contesté de abajo y me dijo que le mandara al perro
[0:13:24.00]-[0:13:34.00]  semilla de garbanzos que le faltaban y se los pusiera amarrados en el pescuezo al perro
[0:13:34.00]-[0:13:40.00]  y el perro Caribe fue con la semilla amarrada en el pescuezo.
[0:13:40.00]-[0:13:46.00]  Se la iban a quitar a los hombres para reírse como iba el perro con aquellos
[0:13:46.00]-[0:13:53.00]  y no hubo quien le quitara al perro la semilla de esos hasta que no llegó donde estaban.
[0:13:53.00]-[0:13:57.00]  Y mi marido lo llamaba...
[0:13:57.00]-[0:14:05.00]  y cuando brincó fue donde estaban y ahora le quitó a la semilla y no le dio a nadie.
[0:14:05.00]-[0:14:08.00]  Qué obediente era el perro, ¿no?
[0:14:08.00]-[0:14:11.00]  Ese entendió, entendió.
[0:14:11.00]-[0:14:12.00]  Sí.
[0:14:12.00]-[0:14:24.00]  ¿Y entonces usted tuvo aquí a los hijos y había escuela aquí en Chepude?
[0:14:24.00]-[0:14:28.00]  Sí, en el rumbo del cercado.
[0:14:28.00]-[0:14:29.00]  ¿Eh?
[0:14:29.00]-[0:14:31.00]  Sí, había una escuela aquí.
[0:14:31.00]-[0:14:32.00]  Sí.
[0:14:32.00]-[0:14:39.00]  ¿Y usted misma fue a la escuela cuando era chica?
[0:14:39.00]-[0:14:51.00]  Yo fui poco tiempo, yo aprendí poquito porque fue cuando era el asunto de la guerra
[0:14:51.00]-[0:14:59.00]  y entonces no nos ponían sino...
[0:14:59.00]-[0:15:08.00]  no nos daban muchas clases sino la maestra y el maestro nos ponía a formar.
[0:15:08.00]-[0:15:15.00]  De falange, nos pusieron de falange y después a formar.
[0:15:15.00]-[0:15:19.00]  Y entonces no aprendí casi nada.
[0:15:19.00]-[0:15:21.00]  Formar.
[0:15:21.00]-[0:15:23.00]  ¿Y qué era eso?
[0:15:23.00]-[0:15:24.00]  ¿Eh?
[0:15:24.00]-[0:15:27.00]  ¿En qué consistía?
[0:15:27.00]-[0:15:40.00]  No sé porque tuvimos que comprar una ropita azul, una gorra azul con unas bolas rojas y la palda negra
[0:15:40.00]-[0:15:45.00]  y con eso nos vestimos de falange.
[0:15:45.00]-[0:15:53.00]  Me llevaba muy bien con los maestros, con todos los que estaban porque doña...
[0:15:53.00]-[0:15:55.00]  vino y don...
[0:15:55.00]-[0:16:04.00]  era el marido, era un maestro bueno, ella también y las dos muchachas eran amigas.
[0:16:04.00]-[0:16:06.00]  Las dos hijas que tenía.
[0:16:06.00]-[0:16:07.00]  Sí.
[0:16:07.00]-[0:16:11.00]  ¿Y entonces en la escuela usted qué aprendió?
[0:16:11.00]-[0:16:13.00]  ¿Aprendió a leer, a escribir?
[0:16:13.00]-[0:16:20.00]  No, a aprender a leer llegué a aprender, pero ya no...
[0:16:20.00]-[0:16:25.00]  ya no sé ni firmar.
[0:16:25.00]-[0:16:28.00]  ¿Y aprendió también a escribir un poquito?
[0:16:28.00]-[0:16:31.00]  Poco, pero sabía un poquito.
[0:16:31.00]-[0:16:32.00]  Sí.
[0:16:32.00]-[0:16:38.00]  Porque nos mandaban a unas pizarras que habían con una tiza blanca
[0:16:38.00]-[0:16:43.00]  y ahí escribíamos lo que ellos, lo que los maestros nos ponían,
[0:16:43.00]-[0:16:47.00]  lo escribíamos nosotros.
[0:16:47.00]-[0:16:52.00]  ¿Y las cuentas? ¿Aprendió en el colegio las cuentas usted?
[0:16:52.00]-[0:16:53.00]  No.
[0:16:53.00]-[0:16:54.00]  ¿A contar?
[0:16:54.00]-[0:16:56.00]  A contar sí.
[0:16:56.00]-[0:16:57.00]  ¿Qué aprendió?
[0:16:57.00]-[0:16:59.00]  A contar aprendía...
[0:16:59.00]-[0:17:04.00]  No, si tuviera contaba algo.
[0:17:04.00]-[0:17:09.00]  Si tuviera contado, contaba.
[0:17:09.00]-[0:17:11.00]  ¿Qué les enseñaban?
[0:17:11.00]-[0:17:15.00]  ¿Qué les enseñaban en la escuela de cuentas?
[0:17:15.00]-[0:17:19.00]  Uy, las cuentas, no te digo que ponían una pizarra
[0:17:19.00]-[0:17:25.00]  y nos ponían las cuentas para que por lo que ellas nos escribían,
[0:17:25.00]-[0:17:30.00]  nos escribíamos nosotros.
[0:17:30.00]-[0:17:33.00]  ¿Pero usted por ejemplo le enseñaron a sumar?
[0:17:33.00]-[0:17:35.00]  Cuadernos y eso.
[0:17:35.00]-[0:17:38.00]  Bonita, queda pa' contar.
[0:17:41.00]-[0:17:42.00]  ¿Cómo se hace pa' contar?
[0:17:42.00]-[0:17:47.00]  No, si había gente que aprendía y mucha gente sola
[0:17:47.00]-[0:17:50.00]  que antes no tenían sus obligaciones.
[0:17:50.00]-[0:17:56.00]  Era vivir del campo, entonces tenían que salir a todos.
[0:17:56.00]-[0:17:58.00]  Antes mi niña teníamos que trabajar,
[0:17:58.00]-[0:18:00.00]  y como teníamos que trabajar,
[0:18:00.00]-[0:18:08.00]  ya perdí el asunto de no contar y eso sí contaba.
[0:18:08.00]-[0:18:15.00]  Pero leer y escribir y eso firmaba así.
[0:18:15.00]-[0:18:19.00]  Pero leer y eso no porque ya después ya me fui olvidando,
[0:18:19.00]-[0:18:25.00]  porque me iba pa' los pueblos a vender cosas y...
[0:18:31.00]-[0:18:35.00]  Ya trabajar, mi hija, no quedaba más remedio que trabajar.
[0:18:35.00]-[0:18:40.00]  Y ya después me casé de 23 años,
[0:18:40.00]-[0:18:45.00]  mi marido tenía 23 y yo tenía 22.
[0:18:45.00]-[0:18:47.00]  Después tuvimos a mis hijos,
[0:18:47.00]-[0:18:51.00]  ya después que tenía a mis hijos en lo que me estuve trabajando,
[0:18:51.00]-[0:18:57.00]  y dos mujeres de edad que estaban ya aquí en casa,
[0:18:57.00]-[0:19:00.00]  me dejaban los niños, sino no hacían nada.
[0:19:00.00]-[0:19:06.00]  Porque ya tuvimos a mis hijos y tenía que atenderlos.
[0:19:06.00]-[0:19:09.00]  Antes se vivía del campo, que es lo que tenían,
[0:19:09.00]-[0:19:12.00]  y ya cuando los padres empezaron a ir pa' Cuba,
[0:19:12.00]-[0:19:17.00]  ya empezaron ellos a mandar, pues ya era pa' comprar terreno.
[0:19:17.00]-[0:19:22.00]  Y los terrenos, mis papás tenían mucho terreno,
[0:19:22.00]-[0:19:27.00]  y eso teníamos que cegar el trigo, cegar la cebada,
[0:19:27.00]-[0:19:34.00]  coger los lantejones y las verduras pa' achar y se comer.
[0:19:34.00]-[0:19:40.00]  Y los legumes, los que no se gastaban en casa.
[0:19:40.00]-[0:19:41.00]  Sembraban...
[0:19:41.00]-[0:19:43.00]  Aquí se vivía del campo.
[0:19:43.00]-[0:19:46.00]  Aquí se vivía del campo.
[0:19:46.00]-[0:19:50.00]  ¿Y echaban de comer a qué animales les echaban de comer?
[0:19:50.00]-[0:19:52.00]  ¿A los animales?
[0:19:52.00]-[0:19:53.00]  Sí.
[0:19:53.00]-[0:19:55.00]  A los animales echaban mantas de hierba.
[0:19:55.00]-[0:20:02.00]  Teníamos un burro y... un burro, no la burra.
[0:20:02.00]-[0:20:04.00]  La burra.
[0:20:04.00]-[0:20:06.00]  Teníamos una burra.
[0:20:06.00]-[0:20:09.00]  Había que coger la comida en el campo.
[0:20:09.00]-[0:20:11.00]  Y después la burra...
[0:20:11.00]-[0:20:13.00]  Entonces el burro estaba todo verde.
[0:20:13.00]-[0:20:18.00]  En la burra se llevaban las mantas de hierba
[0:20:18.00]-[0:20:22.00]  pa' achar y jalar a las vacas.
[0:20:22.00]-[0:20:25.00]  En el pajara.
[0:20:25.00]-[0:20:28.00]  Las vacas estaban amarradas en un pajara.
[0:20:28.00]-[0:20:31.00]  Y nosotros estábamos en otro cuartito.
[0:20:31.00]-[0:20:33.00]  ¿Antes se vivía más en el campo?
[0:20:33.00]-[0:20:34.00]  Más en el campo.
[0:20:34.00]-[0:20:37.00]  En la vera abajo, en Guará, zona de...
[0:20:37.00]-[0:20:40.00]  Arara, Asegara.
[0:20:40.00]-[0:20:41.00]  Y en el verano aquí de arriba.
[0:20:41.00]-[0:20:47.00]  Nos ajuntábamos ranchos Asegara, nuestras amigas.
[0:20:47.00]-[0:20:51.00]  Como por ejemplo, hoy es ciego y hoy se me juntan a mí a ayudarme.
[0:20:51.00]-[0:20:56.00]  Después mañana me ayudaba yo a las otras.
[0:20:56.00]-[0:20:58.00]  Y así...
[0:20:58.00]-[0:21:03.00]  Y ya después cuando ya mi marido cogía las mantas de hierba y eso.
[0:21:03.00]-[0:21:05.00]  Y yo se las iba echando.
[0:21:05.00]-[0:21:09.00]  Pero como tenía que hacer el queso.
[0:21:09.00]-[0:21:12.00]  No podía ayudarlo a coger hierba.
[0:21:12.00]-[0:21:14.00]  Acogía él, traía la burra.
[0:21:14.00]-[0:21:17.00]  Y después yo si...
[0:21:17.00]-[0:21:20.00]  A él le salió un trabajito, yo si le hechaba a comer.
[0:21:20.00]-[0:21:25.00]  Pero lo demás no, porque tenía que hacer el queso.
[0:21:25.00]-[0:21:29.00]  ¿Y por qué se tenían que juntar varias personas para asegar?
[0:21:29.00]-[0:21:31.00]  Porque se ayudaban.
[0:21:31.00]-[0:21:34.00]  ¿Era necesario que fueran muchas?
[0:21:34.00]-[0:21:37.00]  Decía usted que se juntaban ranchos de...
[0:21:37.00]-[0:21:38.00]  ¿En dónde?
[0:21:38.00]-[0:21:39.00]  ¿En la cena?
[0:21:39.00]-[0:21:41.00]  Asegar, mamá, y a vendimear y a juntar.
[0:21:41.00]-[0:21:42.00]  A vendimear.
[0:21:42.00]-[0:21:44.00]  Se ayudaba el pueblo.
[0:21:44.00]-[0:21:46.00]  Nos ayudábamos en todo.
[0:21:46.00]-[0:21:51.00]  En la vendimea, para exprimir y hacer el vino.
[0:21:51.00]-[0:21:54.00]  Y...
[0:21:54.00]-[0:21:59.00]  Y nos ayudábamos un vez y nosotros que se llevara bien.
[0:21:59.00]-[0:22:01.00]  Como compadres.
[0:22:01.00]-[0:22:02.00]  Sí.
[0:22:02.00]-[0:22:04.00]  Y cuñados y eso.
