[0:00:00.00]-[0:00:02.00]  Lo sé yo bien.
[0:07:04.44]-[0:07:10.12]  cerdo, pregúnten ustedes que hay gente que los está matando ahora todavía. Pero esto
[0:07:10.12]-[0:07:16.12]  no se lo contamos muy bien. Ya, bueno, pero otros lo están haciendo ahora mismo, lo están
[0:07:16.12]-[0:07:25.88]  haciendo, vamos, cuando es el tiempo. Pero, ¿cómo agarraban al cerdo? A lo burro. A
[0:07:25.88]-[0:07:32.08]  lo burro. Pero tiene fuerza. Hombre, no, hay que juntarse mucha gente, hay que juntarse
[0:07:32.08]-[0:07:37.28]  mucha gente. Bueno, ahora ya no, ahora ya los cogen de otra manera. Pero antes era una
[0:07:37.28]-[0:07:41.48]  juerga las matanzas, hombre. Sí, era así. Y luego, así está, así está, porque se
[0:07:41.48]-[0:07:50.92]  juntaban tres o cuatro familias y lo cogían y antes, mucho antes, mucho antes, lo ponían
[0:07:50.92]-[0:07:57.28]  en un banco con patas y a sujetarlo a fuerzas mayores para matarlo. Y ahora pues ya lo
[0:07:57.28]-[0:08:02.76]  matan de otra manera, con un aparato que tienen que se lo meten por la boca y ya los matan
[0:08:02.76]-[0:08:10.12]  de otra manera. Pero sí, vamos, antes aquí y ahora ya, aquí ya porque se matan pocos,
[0:08:10.12]-[0:08:12.60]  pero que los tienen que llevar al matadero, ya no es...
[0:08:12.60]-[0:08:16.44]  Ah, ya no, porque antiguamente avisaban al veterinario o no, o no hacían matanzas.
[0:08:16.44]-[0:08:20.36]  Sí, sí, para eso, para hacer las pruebas para si están bien o no, viene el veterinario
[0:08:20.36]-[0:08:24.52]  y coge muestras y las llevan y las miran en una máquina para ver si están bien.
[0:08:24.52]-[0:08:27.12]  Pero antiguamente también o no. Sí, ya hace muchos años desde que yo me
[0:08:27.12]-[0:08:35.12]  acuerdo, venía el veterinario y vamos, le cortan unos trocicos y lo llevan a una máquina
[0:08:35.12]-[0:08:42.08]  y eso, aquí teníamos una, que era veterinaria y se lo llevábamos a su casa.
[0:08:42.08]-[0:08:44.92]  O sea, no como el píquete del Sarr, venía como...
[0:08:44.92]-[0:08:51.20]  No, ya lo sabíamos, ya lo sabíamos y antes es cuando estaba la esta aquí, pues ya sabíamos,
[0:08:51.20]-[0:08:56.28]  vamos, cogíamos las muestras y las llevábamos a su casa, nos miraba y pagando, hay que pagar,
[0:08:56.28]-[0:09:01.24]  pero bueno, las miraba y ya pues puedes comerlo tranquilamente, que no tiene triquina ni tiene
[0:09:01.24]-[0:09:02.76]  nada. Así era, las mataban.
[0:09:02.76]-[0:09:07.84]  ¿Aquí en el pueblo no había hombres que se dedicaban a matar? ¿O tenían algún
[0:09:07.84]-[0:09:08.84]  nombre especial o...?
[0:09:08.84]-[0:09:13.44]  No, no, porque más o menos todo mundo sacaba.
[0:09:13.44]-[0:09:14.44]  ¿A cada uno se...?
[0:09:14.44]-[0:09:19.72]  Sí, lo suyo, pero ahora ya le digo que no, ahora ya... Bueno, todavía, todavía se matan
[0:09:19.72]-[0:09:25.16]  alguno en casa, pero normalmente ya van al matadero muchos y ya no es como antes, ya
[0:09:25.16]-[0:09:32.76]  nos coman, porque no habemos poca gente y al haber poca gente, pues si todos ya mayores,
[0:09:32.76]-[0:09:33.76]  ya no.
[0:09:33.76]-[0:09:41.40]  Pero, me parece muy curioso, para embutir las morcillas y los chictas, ¿qué tripa
[0:09:41.40]-[0:09:42.40]  era?
[0:09:42.40]-[0:09:44.72]  Pues las morcillas era la tripa gorda.
[0:09:44.72]-[0:09:46.44]  Sí, pero eso está sucio, ¿no?
[0:09:46.44]-[0:09:50.48]  ¡Pero hay que lavarlas! No se lo digo, pues si no se lavan, hay que lavarlas.
[0:09:50.48]-[0:09:51.48]  Pero no se lavaban en el río.
[0:09:51.48]-[0:09:57.04]  Y había que ir a lavar al río, al río, lavarlas bien lavadas, hoy y mañana, y bien lavadas.
[0:09:57.04]-[0:09:59.12]  Y se le echaba sal para que estuvieran bien limpias.
[0:09:59.12]-[0:10:02.32]  Eso iban limpias, limpias, limpias, claro, limpias.
[0:10:02.32]-[0:10:08.28]  Y ahora muchos, vamos, los que hacen ahora matanza, para que le quede el chorizo mejor,
[0:10:08.28]-[0:10:13.84]  van a buscar al matadero o culares, que queda el chorizo mejor en los culares.
[0:10:13.84]-[0:10:16.56]  En la tripa cular queda mejor que la delgada.
[0:10:16.56]-[0:10:21.64]  Sí, eso se hacía aquí muy bien, pero ahora ya pues...
[0:10:21.64]-[0:10:25.84]  ¿Y qué animales más tenían en la casa? ¿Tenían gallinas o vacas o...?
[0:10:25.84]-[0:10:26.84]  Sí, de todo.
[0:10:26.84]-[0:10:27.84]  ¿Y las gallinas para qué?
[0:10:27.84]-[0:10:28.84]  Para poner huevos.
[0:10:28.84]-[0:10:29.84]  ¿Y vendían o...?
[0:10:29.84]-[0:10:33.84]  No, para el gasto, no, para el gasto de casa.
[0:10:33.84]-[0:10:36.84]  Pero la gallina no siempre pone huevos, ¿o sí?
[0:10:36.84]-[0:10:41.76]  Sí, bueno, porque cuando no ponga, cuando no ponga, quitar esas y poner otras.
[0:10:41.76]-[0:10:43.76]  Yo siempre las he tenido.
[0:10:43.76]-[0:10:46.08]  ¿Y qué comían las gallinas, por ejemplo?
[0:10:46.08]-[0:10:54.56]  Pues trigo cebada pienso, pues lo que se le dé, claro, trigo cebada pienso, pues molido,
[0:10:54.56]-[0:11:01.48]  como sea, pero comen eso, ponen huevos y pollos también, que se crían los pollos.
[0:11:01.48]-[0:11:04.48]  O sea, unas eran para huevos y otras para cría, ¿o qué?
[0:11:04.48]-[0:11:06.48]  Para comer, para matarlos, para comer pollos.
[0:11:06.48]-[0:11:10.48]  ¿Y para que una gallina ponga, o sea, cría pollos, cómo era eso?
[0:11:10.48]-[0:11:18.44]  Pues había que tener un macho y antes, en su... más, hace mucho tiempo, mucho tiempo,
[0:11:18.44]-[0:11:24.16]  cuando yo era más pequeña, que yo también los críe, y también pues los criaba a gorar,
[0:11:24.16]-[0:11:27.68]  se ponían allí y le sacaban los pollitos, sí, sí, sí.
[0:11:27.68]-[0:11:28.68]  Yo también los cría.
[0:11:28.68]-[0:11:29.68]  A gorar se llamaba así.
[0:11:29.68]-[0:11:30.68]  Sí, sí, a gorar.
[0:11:30.68]-[0:11:31.68]  ¿Y eso qué es que...?
[0:11:31.68]-[0:11:34.92]  Pues que se ponían encima de los huevos y los tenían calientes, calientes como una
[0:11:34.92]-[0:11:40.64]  cubadora, vamos, para decir, y no salían nada más que a comer y otra vez van a tomar
[0:11:40.64]-[0:11:41.64]  los huevos hasta que sacaban los pollos.
[0:11:41.64]-[0:11:42.64]  Así era, así era.
[0:11:42.64]-[0:11:43.64]  ¿Y vacas tú o no?
[0:11:43.64]-[0:11:44.64]  Sí.
[0:11:44.64]-[0:11:45.64]  ¿Pero eran para trabajo o para leche?
[0:11:45.64]-[0:11:46.64]  Bueno, para todo.
[0:11:46.64]-[0:11:47.64]  ¿Las mismas?
[0:11:47.64]-[0:11:52.64]  Las mismas, nosotros las ordeñábamos también para leche, sí.
[0:11:52.64]-[0:11:54.64]  Para consumo, para el gasto casado.
[0:11:54.64]-[0:12:00.20]  Sí, sí, también las ordeñábamos porque, oye, tenías las vacas, pues se excusabas
[0:12:00.20]-[0:12:02.64]  de comprarlas y ahora tiene que ser a base de comprar todo.
[0:12:02.64]-[0:12:03.64]  Sí, entonces sí.
[0:12:03.64]-[0:12:04.64]  ¿Cómo se ordeñaba tu vaca?
[0:12:04.64]-[0:12:05.64]  Pues tirándole por la teta.
[0:12:05.64]-[0:12:06.64]  Sí, así muy fácilmente se hacían.
[0:12:06.64]-[0:12:07.64]  ¿Y luego con la leche qué...?
[0:12:07.64]-[0:12:18.64]  Pues la leche se hervía, se cocía bien, bien, porque yo en mi casa la cocía bastante,
[0:12:18.64]-[0:12:24.28]  bastante, por si tenía alguna cosa que no estaban enfermas porque las miraban los veterinarios,
[0:12:24.28]-[0:12:28.36]  pero bueno, pero bien cocida y así, muy...
[0:12:28.36]-[0:12:31.20]  ¿Y usted hizo alguna vez queso o no?
[0:12:31.20]-[0:12:32.20]  Lo hice también, sí.
[0:12:32.20]-[0:12:33.20]  Sí, qué interesante.
[0:12:33.20]-[0:12:35.00]  ¿Cómo era eso?
[0:12:35.00]-[0:12:40.28]  Pues se necesita mucha leche, mucha, mucha, mucha, mucha, mucha, mucha.
[0:12:40.28]-[0:12:45.48]  Pues lo hice por dos o tres veces, lo que pasa es que cuando teníamos así mucha leche,
[0:12:45.48]-[0:12:52.28]  mucha leche para no estropearla, pues se le echaba cuajo, una cosa que le llaman cuajo
[0:12:52.28]-[0:12:55.80]  se le echaba y dar vuelta y dar vuelta y dar vuelta hasta que se cuajaba, se le echaba
[0:12:55.80]-[0:13:01.80]  un poquito de sal, se metía la orma y a curar, después a curar, a curar.
[0:13:01.80]-[0:13:03.48]  Lo hice por dos o tres veces.
[0:13:03.48]-[0:13:05.48]  ¿Pero era leche de vaca?
[0:13:05.48]-[0:13:06.48]  De vaca.
[0:13:06.48]-[0:13:08.48]  ¿Con la de oveja no o cómo?
[0:13:08.48]-[0:13:12.00]  Bueno, con ovejas no, la hacía de... pero se hace igual.
[0:13:12.00]-[0:13:15.12]  Lo mismo se hace con la leche de oveja que se hace con la leche de cabra que se hace
[0:13:15.12]-[0:13:16.92]  con la leche de vaca, claro.
[0:13:16.92]-[0:13:18.92]  ¿Y las racas qué ponían?
[0:13:18.92]-[0:13:19.92]  ¿Yerba?
[0:13:19.92]-[0:13:20.92]  ¿Yerba?
[0:13:20.92]-[0:13:21.92]  Yerba, pienso, paja.
[0:13:21.92]-[0:13:22.92]  Pero estaban en casa o...
[0:13:22.92]-[0:13:26.80]  Sí, en casa y las echábamos a bastar por fuera.
[0:13:26.80]-[0:13:35.12]  Nosotros tuvimos una granja bastante, con bastantes, pero las quitamos porque los hijos
[0:13:35.12]-[0:13:40.52]  buscaron otro trabajo porque en cine están trabajando de otra manera y nosotros ya somos
[0:13:40.52]-[0:13:43.04]  mayores y bueno, las quitamos.
[0:13:43.04]-[0:13:44.04]  Así que...
[0:13:44.04]-[0:13:47.48]  Porque ni solo cuántas o cuántas vecinas hay ahora, o sea, más o menos.
[0:13:47.48]-[0:13:49.60]  Más o menos, no sé los que habremos, pocos porque...
[0:13:49.60]-[0:13:53.36]  Bueno, hay mucha gente pero están por afuera, están las casas cerradas.
[0:13:53.36]-[0:13:59.20]  Vienen en el verano mucha gente pero bueno, están las casas cerradas, vienen en el verano.
[0:13:59.20]-[0:14:02.44]  Pero por aquí yo no sé, 50, 60 o...
[0:14:02.44]-[0:14:03.44]  Bueno que no los que vivo.
[0:14:03.44]-[0:14:04.44]  Antiguamente había más.
[0:14:04.44]-[0:14:05.44]  ¡Oh, Jesús, María!
[0:14:05.44]-[0:14:06.44]  Por Dios, hombre.
[0:14:06.44]-[0:14:07.44]  Sí.
[0:14:07.44]-[0:14:08.44]  Sí, mucho.
[0:14:08.44]-[0:14:09.44]  ¿Y a gente por qué se va?
[0:14:09.44]-[0:14:10.44]  ¿Por qué se va?
[0:14:10.44]-[0:14:12.48]  Pues porque aquí no se puede vivir.
[0:14:12.48]-[0:14:14.08]  Y ¿qué se vive aquí?
[0:14:14.08]-[0:14:15.08]  Bueno, pero...
[0:14:15.08]-[0:14:20.32]  El trabajo, no, vivíamos antes porque no había otros medios de vida pero ahora se
[0:14:20.32]-[0:14:25.92]  marcha toda la gente a la ciudad, que hay trabajo y aquí no hay trabajo, claro.
[0:14:25.92]-[0:14:26.92]  Aquí no hay trabajo.
[0:14:26.92]-[0:14:27.92]  Pero bueno, en el campo siempre hay trabajo, ¿no?
[0:14:27.92]-[0:14:28.92]  Sí, pero no se saca dinero.
[0:14:28.92]-[0:14:29.92]  No.
[0:14:29.92]-[0:14:30.92]  Y ahora la gente joven...
[0:14:30.92]-[0:14:37.52]  Y ahora la gente joven pues se van a buscar un trabajo, claro, normal.
[0:14:37.52]-[0:14:42.84]  Se van a buscar un trabajo unos para un sitio y otros para otro y aquí no para nadie.
[0:14:42.84]-[0:14:45.24]  Hombre, paran.
[0:14:45.24]-[0:14:50.56]  Todos los hijos míos están aquí que tienen una empresa y están trabajando en el monte,
[0:14:50.56]-[0:14:53.08]  pero los demás se van a la capital.
[0:14:53.08]-[0:14:54.08]  Pero bueno, cada uno...
[0:14:54.08]-[0:14:55.08]  ¿Y aquí actualmente las fiestas cuándo eran?
[0:14:55.08]-[0:14:56.08]  ¿Hay todavía fiestas?
[0:14:56.08]-[0:14:57.08]  En agosto es...
[0:14:57.08]-[0:14:58.08]  La fiesta del pueblo es en agosto.
[0:14:58.08]-[0:14:59.08]  ¿Ahí hay un patrón o...?
[0:14:59.08]-[0:15:00.08]  Sí, San Bartolo le llaman.
[0:15:00.08]-[0:15:01.08]  Es la fiesta del pueblo.
[0:15:01.08]-[0:15:02.08]  ¿Y era una fiesta importante?
[0:15:02.08]-[0:15:03.08]  Hombre, muy importante, sí.
[0:15:03.08]-[0:15:04.08]  ¿Y antiguamente qué se hacía?
[0:15:04.08]-[0:15:05.08]  ¿Se sacaban en procesión o no?
[0:15:05.08]-[0:15:06.08]  Bien, se sacan al santo en procesión.
[0:15:06.08]-[0:15:07.08]  Pero bueno, antiguamente no había lo que hay hoy.
[0:15:07.08]-[0:15:23.36]  Hay muchas músicas, traen músicas muy fuertes y muy buenas y a lo mejor son ocho días de
[0:15:23.36]-[0:15:24.36]  fiesta.
[0:15:24.36]-[0:15:27.36]  Fiestas un día y ya los viejos ya nos cansan de fiestas.
[0:15:27.36]-[0:15:30.12]  ¿Y antiguamente era un día o cómo?
[0:15:30.12]-[0:15:33.12]  Antes a lo mejor era la víspera.
[0:15:33.12]-[0:15:34.12]  Normalmente son dos días.
[0:15:34.12]-[0:15:35.12]  ¿Dos días?
[0:15:35.12]-[0:15:36.12]  Son dos días, sí.
[0:15:36.12]-[0:15:37.12]  ¿Y a la escuela había aquí en el pueblo antes?
[0:15:37.12]-[0:15:38.12]  Sí.
[0:15:38.12]-[0:15:39.12]  ¿Iban juntos los niños españoles?
[0:15:39.12]-[0:15:40.12]  Sí, sí, todos juntos.
[0:15:40.12]-[0:15:41.12]  ¿Quería maestro o maestra?
[0:15:41.12]-[0:15:54.12]  Bueno, yo fui como maestro, otra le tocó maestra, pero antes no era como hoy, que
[0:15:54.12]-[0:15:59.92]  hoy hay un centro aquí mismo que vienen de muchos pueblos.
[0:15:59.92]-[0:16:04.56]  Antes era una escuela que era para el trabajo y íbamos allí por los niños que hubieran
[0:16:04.56]-[0:16:05.56]  en el pueblo.
[0:16:05.56]-[0:16:07.92]  Ahora vienen de muchos pueblos.
[0:16:07.92]-[0:16:10.64]  ¿Y qué enseñaba el maestro?
[0:16:10.64]-[0:16:15.08]  Pues las cuatro reglas no muy bien, no muy bien.
[0:16:15.08]-[0:16:16.08]  Ahora es otra porno.
[0:16:16.08]-[0:16:21.08]  ¿Los niños lo atendían o engañaban?
[0:16:21.08]-[0:16:24.08]  Hombre, hombre, atendían.
[0:16:24.08]-[0:16:25.56]  Una vez el que fuera malo, palo.
[0:16:25.56]-[0:16:26.56]  Sí, te daban.
[0:16:26.56]-[0:16:27.56]  Sí, sí, sí, sí.
[0:16:27.56]-[0:16:28.56]  Entonces no era como ahora.
[0:16:28.56]-[0:16:29.56]  ¿Y la educación era más…
[0:16:29.56]-[0:16:39.56]  No sé, no sé, pero no enseñaban como enseñan ahora y no… es otra forma.
[0:16:39.56]-[0:16:46.48]  Hoy también les exigen más a los que estudian.
[0:16:46.48]-[0:16:49.28]  Hoy les exigen mucho, mucho.
[0:16:49.28]-[0:16:55.88]  Yo tengo una… también que tienen una carrera y les exigen mucho, mucho, no es como antes.
[0:16:55.88]-[0:17:04.72]  Les sacaban una carrera, a lo mejor hoy día a lo mejor saben tanto los niños de quinto
[0:17:04.72]-[0:17:07.68]  o de sexto como un maestro de los de antes o más.
[0:17:07.68]-[0:17:08.68]  Sí.
[0:17:08.68]-[0:17:09.68]  O más.
[0:17:09.68]-[0:17:10.68]  Porque antiguamente ¿quién estudiaba?
[0:17:10.68]-[0:17:11.68]  Nadie, nadie.
[0:17:11.68]-[0:17:15.68]  Antes no había eso y ahora estudian todos.
[0:17:15.68]-[0:17:16.68]  Todos, todos.
[0:17:16.68]-[0:17:24.08]  Antes no siendo un rico muy fuerte, muy fuerte, aquí no estudiaba nadie porque no había eso
[0:17:24.08]-[0:17:25.44]  y ahora aquí estudian todos.
[0:17:25.44]-[0:17:29.68]  Porque antiguamente los niños hasta hasta que era iban a la escuela.
[0:17:29.68]-[0:17:34.80]  Más o menos ahora, bueno, antes no iban como van ahora porque antes había que ir con ovejas
[0:17:34.80]-[0:17:42.60]  y había que ir con las vacas y eso y ahora no porque hasta ahora 14 y 16 y 18 años van.
[0:17:42.60]-[0:17:49.80]  Los que no terminan a lo mejor pues van hasta… porque aquí está el colegio aquí que los
[0:17:49.80]-[0:17:56.00]  que no terminan aquí sexto pues van a Alcañites que hay otro centro.
[0:17:56.00]-[0:18:02.72]  ¿Y antiguamente las fiestas, por ejemplo las bodas cuando eran antiguamente, se casaba
[0:18:02.72]-[0:18:03.72]  la gente en el pueblo?
[0:18:03.72]-[0:18:04.72]  Sí, sí.
[0:18:04.72]-[0:18:07.72]  Y ahora mismo también se casan en el pueblo, sí.
[0:18:07.72]-[0:18:12.68]  ¿Qué era un día de fiesta o más o cómo?
[0:18:12.68]-[0:18:14.60]  Pues antes a lo mejor eran tres días y ahora…
[0:18:14.60]-[0:18:15.60]  ¿Tres días?
[0:18:15.60]-[0:18:16.60]  Sí, antes sí.
[0:18:16.60]-[0:18:24.04]  La víspera, la víspera antes se mataban los carneros o castrones y de fiesta y el día
[0:18:24.04]-[0:18:29.44]  de la boda de fiesta y es otro día para acabar había que ir de fiesta también y ahora es
[0:18:29.44]-[0:18:33.72]  el día de la boda una comida que se va a un restaurante y se acabó la fiesta.
[0:18:33.72]-[0:18:35.72]  ¿Y antiguamente había regalos?
[0:18:35.72]-[0:18:39.24]  ¿O era costumbre que el novio regalara a la novia o eso?
[0:18:39.24]-[0:18:40.92]  Antes a mí no, ni la gente.
[0:18:40.92]-[0:18:41.92]  ¿No?
[0:18:41.92]-[0:18:42.92]  Ni la gente.
[0:18:42.92]-[0:18:45.16]  Ahora sí, ahora las bodas salen carillas.
[0:18:45.16]-[0:18:48.76]  Pero antes, cuando me casé a mí no me dieron nada y tres días comiendo.
[0:18:48.76]-[0:18:53.08]  Sí, sí, sí, era así, era así, sí, sí.
[0:18:53.08]-[0:18:55.72]  Y tres días comiendo a mí no me, nadie me dio nada.
[0:18:55.72]-[0:19:00.12]  Pero ahora vas a la boda y tiene que ser un regalo.
[0:19:00.12]-[0:19:04.52]  Bueno, ya no quieren nada más que dinero.
[0:19:04.52]-[0:19:07.96]  Es así ahora, ahora sí.
[0:19:07.96]-[0:19:09.96]  ¿Y qué le iba a decir?
[0:19:09.96]-[0:19:13.00]  ¿Y el traje de la novia con verano?
[0:19:13.00]-[0:19:16.92]  ¡Hombre por Dios!
[0:19:16.92]-[0:19:21.40]  El traje de la novia, entonces casi todas las novias iban vestidas de negro.
[0:19:21.40]-[0:19:22.40]  ¿De negro?
[0:19:22.40]-[0:19:24.84]  De negro, fíjate, y ahora de blanco y entonces de negro.
[0:19:24.84]-[0:19:25.84]  ¿Y eso?
[0:19:25.84]-[0:19:26.84]  ¡Yo qué sé!
[0:19:26.84]-[0:19:32.24]  Porque era así, porque iban casi vestidas de negro las novias y ahora van vestidas de
[0:19:32.24]-[0:19:33.24]  blanco.
[0:19:33.24]-[0:19:34.24]  Así, así es.
