[0:00:00.00]-[0:00:02.00]  ¿Cuántos años tiene?
[0:05:52.00]-[0:05:54.00]  Que no
[0:05:54.00]-[0:05:56.00]  Que no
[0:05:56.00]-[0:05:58.00]  Que no
[0:05:58.00]-[0:06:00.00]  Que no
[0:06:00.00]-[0:06:02.00]  Que no
[0:06:02.00]-[0:06:04.00]  Que no
[0:06:04.00]-[0:06:06.00]  Que no
[0:06:06.00]-[0:06:08.00]  Que no
[0:06:20.00]-[0:06:22.00]  Yo es que me marché a las doce precis
[0:06:22.00]-[0:06:24.00]  Estás parándome a la mojada
[0:06:54.00]-[0:06:57.00]  Yo me senté enseguida.
[0:06:58.00]-[0:07:01.00]  Yo me senté enseguida por él.
[0:07:02.00]-[0:07:06.00]  Pues, bueno, le vamos a grabar, ¿vale? Si no le importa.
[0:07:06.00]-[0:07:11.00]  Es para nosotros, para la universidad. No va a salir a ninguno.
[0:07:11.00]-[0:07:13.00]  Él lo sabe mejor que yo todo, ¿eh?
[0:07:13.00]-[0:07:14.00]  ¿Yo?
[0:07:14.00]-[0:07:17.00]  Yo, ah, no, pero yo, la mayoría de cosas no me recuerdo.
[0:07:17.00]-[0:07:19.00]  Comenzaste ya, ha sido tanto tiempo.
[0:07:19.00]-[0:07:22.00]  Ya estaba él, Venezuela y todo, muchos años.
[0:07:22.00]-[0:07:24.00]  ¿Este es de que te viviste?
[0:07:24.00]-[0:07:25.00]  18 años.
[0:07:25.00]-[0:07:26.00]  Nosotros.
[0:07:26.00]-[0:07:27.00]  ¿Tú te vas a contar eso?
[0:07:27.00]-[0:07:28.00]  Sí, sí.
[0:07:28.00]-[0:07:32.00]  No, pues queríamos saber si se hacían matanzas aquí en el pueblo.
[0:07:32.00]-[0:07:37.00]  Sí, ¿cómo no? Matanzas, muchas. Y su padre es el que mataba a los cerdos.
[0:07:37.00]-[0:07:40.00]  Mataba a los cerdos, casi todo el pueblo.
[0:07:40.00]-[0:07:44.00]  Después se puso uno ahí, otra vez más, ya era más joven y eso también.
[0:07:44.00]-[0:07:48.00]  Y no tenía, no quería trabajar en el campo.
[0:07:48.00]-[0:07:51.00]  Y le gustaba todo eso y seguí a tocar niceros.
[0:07:51.00]-[0:07:54.00]  Sí, correcto. Sí, sí, sí.
[0:07:54.00]-[0:07:57.00]  Y mataba, pues mirá, hacíamos el embotido todo.
[0:07:57.00]-[0:08:03.00]  Hacía la cebolla, pues la pelamos, la hervía, la, la, la, ¿cómo se dice?
[0:08:03.00]-[0:08:07.00]  Pues, la bollí, ¿eh?
[0:08:07.00]-[0:08:10.00]  La bollí, me entro de enjoyo y después cuando estaba bollida,
[0:08:10.00]-[0:08:13.00]  pues la traía en foro que se escorregara bien.
[0:08:13.00]-[0:08:17.00]  Y después fue traer la sangre y la remenillaba,
[0:08:17.00]-[0:08:20.00]  y les dormía en remenillaba y entonces ya estaba cuallada.
[0:08:20.00]-[0:08:23.00]  Ya estaba lo cual la habían llevado y en fin.
[0:08:23.00]-[0:08:26.00]  Y así pues andaban haciendo toda la clase de eso.
[0:08:26.00]-[0:08:31.00]  Y después partían el cerdo y traían ya a cada cosa,
[0:08:31.00]-[0:08:35.00]  a un puesto magro, a un puesto lo otro, y dieron botifarres,
[0:08:35.00]-[0:08:38.00]  dieron yongarices, dieron después,
[0:08:38.00]-[0:08:41.00]  esos cuchillos de estren también, el yomello,
[0:08:41.00]-[0:08:44.00]  también, en fin, una cantidad enorme, ¿no?
[0:08:44.00]-[0:08:46.00]  No de j...
[0:08:46.00]-[0:08:52.00]  Bueno, yo digo eso y j... y yo, pues, eh, eh, eh.
[0:08:52.00]-[0:08:53.00]  Las salsas.
[0:08:53.00]-[0:08:56.00]  Las salsas, eso, las salsas también, las mejor,
[0:08:56.00]-[0:08:59.00]  porque muchas veces había salsas que eran algo,
[0:08:59.00]-[0:09:02.00]  me, me, me, más baratas y no valían re.
[0:09:02.00]-[0:09:06.00]  Después la embotí, pues no, cuando estaba boba para menjar,
[0:09:06.00]-[0:09:09.00]  ya no, no, no, no, no, no, no, no, no.
[0:09:09.00]-[0:09:11.00]  ¿Y qué salsas hacían?
[0:09:11.00]-[0:09:13.00]  Ah, eso sí, no me acuerdo yo.
[0:09:13.00]-[0:09:16.00]  Las salsas, yo todo esto ya no, sabes, porque yo,
[0:09:16.00]-[0:09:20.00]  en esos era la, la, la, mi madre y la, y las mujeres
[0:09:20.00]-[0:09:23.00]  que, que lo cotidiana y lo compraban, yo sé eso mismo,
[0:09:23.00]-[0:09:26.00]  que sí, que lo decían ellas, pero no porque yo,
[0:09:26.00]-[0:09:29.00]  yo de eso no me entendía, yo iba más pa'l campo.
[0:09:29.00]-[0:09:32.00]  Y eso, por sí, a hacer, a ser un, un,
[0:09:32.00]-[0:09:35.00]  el angilagues que dién pa', pa', pa', pa' hacerlo,
[0:09:35.00]-[0:09:37.00]  eso sí que lo preparamos nosotros, en fin,
[0:09:37.00]-[0:09:40.00]  y pa', pa' sugerrarlo y, y, y letellarlo y todo eso, sí.
[0:09:40.00]-[0:09:41.00]  De lo otro ya.
[0:09:41.00]-[0:09:43.00]  ¿Y las botifarras cómo se hacen?
[0:09:43.00]-[0:09:45.00]  Ah, las botifarras se hacen,
[0:09:45.00]-[0:09:47.00]  y las dos, pues yo tanto usan,
[0:09:47.00]-[0:09:48.00]  ¿sabes qué?
[0:09:48.00]-[0:09:52.00]  Pues, pues, ponen la cebolla, ponen la salsa y todo,
[0:09:52.00]-[0:09:56.00]  y ponen más la grasa, y entonces las, las, las,
[0:09:56.00]-[0:09:59.00]  las pastaban bien, bien masadas, bien masadas, bien masadas,
[0:09:59.00]-[0:10:02.00]  y bueno, pues, y después ponen la máquina a ponerlo
[0:10:02.00]-[0:10:04.00]  y a ponerla embutido y después, bueno, pues,
[0:10:04.00]-[0:10:06.00]  la pastita esa a mí me encantaba,
[0:10:06.00]-[0:10:11.00]  yo me comía un kilo de, de, de pan en, en las pastas esas,
[0:10:11.00]-[0:10:14.00]  bueno, pues, eso sí, hombre, entonces joven, va,
[0:10:14.00]-[0:10:17.00]  bueno, en dieciséis años, diecisiete, bueno, pues, sí,
[0:10:17.00]-[0:10:22.00]  y, y, y después, pues, la, lo que se llama el, el chorizo,
[0:10:22.00]-[0:10:26.00]  y la, la, cómo se llama, cómo se dice eso, eh.
[0:10:26.00]-[0:10:27.00]  La sobrasá.
[0:10:27.00]-[0:10:30.00]  La sobrasá, eso es, la sobrasá, pues eso ya,
[0:10:30.00]-[0:10:33.00]  también se hacía, ponían la salsa y todo,
[0:10:33.00]-[0:10:35.00]  y ese ya tenía más magro,
[0:10:35.00]-[0:10:38.00]  ya no era la, la, la, la botifarra,
[0:10:38.00]-[0:10:40.00]  sí tenían mucho de cebolla y grasa,
[0:10:40.00]-[0:10:42.00]  pero lo otro ya era mucho mejor.
[0:10:42.00]-[0:10:47.00]  Y, y nada, después, el, el, el, el yomello,
[0:10:47.00]-[0:10:49.00]  pues mi madre lo hacía.
[0:10:49.00]-[0:10:50.00]  ¿El qué ha dicho?
[0:10:50.00]-[0:10:52.00]  El yomello, el lomo.
[0:10:52.00]-[0:10:53.00]  Ah.
[0:10:53.00]-[0:10:56.00]  Eh, mi madre lo hacía porque no podía comer grasa y eso,
[0:10:56.00]-[0:10:59.00]  y le hacían los, los, ataba con un hilo y todo eso,
[0:10:59.00]-[0:11:01.00]  y le hacían largo, como si fuera un chorizo,
[0:11:01.00]-[0:11:04.00]  el, el lomo, que sale ahora también en la tele,
[0:11:04.00]-[0:11:10.00]  y resulta que lo comía porque eso no tiene grasa y es mejor.
[0:11:10.00]-[0:11:13.00]  Y cosas todas así, quitando a cada uno,
[0:11:13.00]-[0:11:16.00]  qué pasa, ya le digo, yo, ya de eso,
[0:11:16.00]-[0:11:17.00]  Y el...
[0:11:17.00]-[0:11:18.00]  Diga, diga.
[0:11:18.00]-[0:11:20.00]  El chorizo, ¿cómo lo hacían?
[0:11:20.00]-[0:11:23.00]  El chorizo, pues lo mismo que la, que la morcilla,
[0:11:23.00]-[0:11:26.00]  casi lo que pasa es que ya, ya no tenía grasa,
[0:11:26.00]-[0:11:29.00]  ponían la salsa y todo, y eso no lo guisaban,
[0:11:29.00]-[0:11:33.00]  y eso, la sobrasá tampoco no lo guisaban.
[0:11:33.00]-[0:11:38.00]  Bueno, el chorizo creo que sí, pero, eh, no, tal que no.
[0:11:38.00]-[0:11:39.00]  La pasta boya.
[0:11:39.00]-[0:11:43.00]  La pasta boya, eso, eso ya lo hacían y entonces ya lo dejaban secar,
[0:11:43.00]-[0:11:47.00]  lo dejaban secar un poco ya, pero no así en el sol,
[0:11:47.00]-[0:11:51.00]  no como las botifarras, las botifarras, las morcillas,
[0:11:51.00]-[0:11:54.00]  y esas las ponían al sol y así para que se secaran,
[0:11:54.00]-[0:11:58.00]  pues no se, se florían, se hacían, y aquello no,
[0:11:58.00]-[0:12:01.00]  aquello lo colgaban en otra parte más así y se secaba,
[0:12:01.00]-[0:12:05.00]  bueno, bueno, y el del verano, nosotros lo que comíamos era eso,
[0:12:05.00]-[0:12:09.00]  el jamón y las sobrasadas, lo otro así la, la, la,
[0:12:09.00]-[0:12:16.00]  esto de la, de la morcilla, eso era para nada más matar el cerdo y todo eso,
[0:12:16.00]-[0:12:21.00]  así que ya le digo, no sé, hágame alguna pregunta más
[0:12:21.00]-[0:12:23.00]  y a ver si le puedo decir algo porque...
[0:12:23.00]-[0:12:24.00]  Sí, el jamón.
[0:12:24.00]-[0:12:28.00]  El jamón, pues nada, lo hacían y erren,
[0:12:28.00]-[0:12:31.00]  lo quitaban toda la grasa que podían y eso,
[0:12:31.00]-[0:12:35.00]  y entonces lo ponían en un cuarto oscuro y le ponían mucha sal encima
[0:12:35.00]-[0:12:39.00]  y lo dejaban tapado ahí, y si hacían nieve y eso,
[0:12:39.00]-[0:12:43.00]  le ponían algo de nieve encima para que la sal se fuera filtrando,
[0:12:43.00]-[0:12:48.00]  y así pues cuando mataban lo ponían hasta ya el mes de junio,
[0:12:48.00]-[0:12:52.00]  junio, que ya entonces, ya en junio, y después lo mejor lo sacaban ya
[0:12:52.00]-[0:12:55.00]  y después ya lo colgaban que se secara en, en, en,
[0:12:55.00]-[0:12:59.00]  en la, en la, bajo el sótano, lo colgaban allí y mira,
[0:12:59.00]-[0:13:02.00]  y después a ir comiendo ya y estaba de maravilla,
[0:13:02.00]-[0:13:04.00]  esa sí, esa no tenía salsa de nada, creo,
[0:13:04.00]-[0:13:09.00]  esa era nada más la sal, la sal y nada más, sí, así que...
[0:13:09.00]-[0:13:10.00]  ¿Y cuánta sal le ponían?
[0:13:10.00]-[0:13:15.00]  Ah, eso sí, eso lo, lo colgaban todo, que no se viera nada de eso,
[0:13:15.00]-[0:13:19.00]  todo bien colgado, sí, sí, eso sí, me acuerdo yo,
[0:13:19.00]-[0:13:23.00]  tenía un, un cuartito allí pequeño y mi madre escuro
[0:13:23.00]-[0:13:26.00]  y allí no había luz y allí lo ponía allí y nada,
[0:13:26.00]-[0:13:30.00]  y allí se secaba, se falta, se, se, filtraba bien la sal
[0:13:30.00]-[0:13:33.00]  y todo eso, ¿sabes? que ya después, y lo que le digo,
[0:13:33.00]-[0:13:36.00]  pues si nevaba lo mejor le ponían algo de nieve
[0:13:36.00]-[0:13:39.00]  para que la sal se desciera y pasara algo al jamón y eso,
[0:13:39.00]-[0:13:42.00]  sí, sí, y estaba de maravilla, bueno, bueno, sí, sí,
[0:13:42.00]-[0:13:47.00]  y sano, y sano porque eran las cosas sanas, sí, correcto.
[0:13:47.00]-[0:13:50.00]  ¿Y cuánto tiempo tenían secando el jamón?
[0:13:50.00]-[0:13:53.00]  Ah, pues, de, bien, bueno, vamos a ser el 15 de enero,
[0:13:53.00]-[0:13:57.00]  pues hasta allá a, a, a mayo, más o menos, no.
[0:13:57.00]-[0:13:58.00]  Un mes o más.
[0:13:58.00]-[0:14:01.00]  Un mes, un mes nada más, pues eso lo sabía el mejor y yo,
[0:14:01.00]-[0:14:05.00]  yo sé, bueno, yo porque lo vi, porque no, yo al cabo,
[0:14:05.00]-[0:14:08.00]  yo al fin le digo, yo me enteraba más, yo iba más para el campo,
[0:14:08.00]-[0:14:12.00]  tuve que hacer, a podar, pues de toda clase,
[0:14:12.00]-[0:14:16.00]  la uva, pues podar los árboles, ir, pues,
[0:14:16.00]-[0:14:22.00]  y también recoger, quemar, y cosas, además en esa vez no se quemaba
[0:14:22.00]-[0:14:27.00]  porque se llevaba todo a la casa para el invierno hacer fuego,
[0:14:27.00]-[0:14:32.00]  sí, en ese tiempo, ahí iba yo, yo lo que hacía era ir al campo más bien
[0:14:32.00]-[0:14:36.00]  y a podar los árboles y todo eso, si se podía trabajar algo,
[0:14:36.00]-[0:14:43.00]  pues se trabajaba, sí, las cosas, las verduras, verduras y esas cosas, sí.
[0:14:43.00]-[0:14:51.00]  ¿Y el jamón cuánto tiempo estaban ahí secándose para que se curase?
[0:14:51.00]-[0:14:56.00]  No fuera, ya una vez de eso, pues lo colgaban ahí y hasta que se curaba
[0:14:56.00]-[0:15:01.00]  en el sótano lo colgaban ya de allí que habían sacado la sal
[0:15:01.00]-[0:15:03.00]  y entonces ya lo dejaban allí y ya está ahí,
[0:15:03.00]-[0:15:08.00]  y entonces ya cuando venía el mes de julio, entonces ya es cuando empezaban a cortar,
[0:15:08.00]-[0:15:12.00]  que es cuando se trabajaba más duro nosotros y tenía algo más de alimento
[0:15:12.00]-[0:15:17.00]  y eso es lo que comíamos, además de comprar, pues el pescado,
[0:15:17.00]-[0:15:25.00]  pues el que podía comprar, pero el pescado no se podía comprar ahí
[0:15:25.00]-[0:15:30.00]  porque aquí la cosa está muy apretada, ya le digo, pero algunos aquí
[0:15:30.00]-[0:15:34.00]  les compraban más porque iban al cría, al molino al cría,
[0:15:34.00]-[0:15:38.00]  y a la fábrica esa y como cobraban y tenían que hacer la vendienda,
[0:15:38.00]-[0:15:43.00]  pues le compraran algo más frío, es igual que eso sí lo sé yo,
[0:15:43.00]-[0:15:49.00]  yo mi madre tenía una gallinita de allí y todo eso, pero yo huevos no veía ninguno
[0:15:49.00]-[0:15:53.00]  y le decía, bueno pero tanta gallina y nunca como huevo,
[0:15:53.00]-[0:16:00.00]  y lo vendía porque le salía mejor vender un huevo para comprar otra cosa,
[0:16:00.00]-[0:16:03.00]  porque resulta que el huevo por tener uno solo se lo comía con pocilla
[0:16:03.00]-[0:16:11.00]  que el que dice, y eso sí lo sé yo, y todas cosas de esas así,
[0:16:11.00]-[0:16:15.00]  así que no sé.
[0:16:15.00]-[0:16:19.00]  ¿Y al jamón le ponían algo para que no le picasen los bichos?
[0:16:19.00]-[0:16:24.00]  No, entonces no, yo que sepa yo no le podía nada, estaba en el sótano,
[0:16:24.00]-[0:16:28.00]  en el sótano no había ni moscas, en los sótanos así,
[0:16:28.00]-[0:16:36.00]  era como una bodega de vino y entonces lo colgamos encima del revolver,
[0:16:36.00]-[0:16:41.00]  además no tenía ni revolver, hacía como una bóveda así,
[0:16:41.00]-[0:16:45.00]  y entonces hacíamos nosotros un agujero y entonces le agarramos un gancho
[0:16:45.00]-[0:16:49.00]  y lo colgamos allí y ahí no había bichos ni nada,
[0:16:49.00]-[0:16:53.00]  además no había nada, en esa época no había caldevías,
[0:16:53.00]-[0:16:59.00]  además ni cucaraches ni nada, lo único que había son las arañas
[0:16:59.00]-[0:17:05.00]  que hacían eso, pero pasaban la escoba eso y lo quitaban,
[0:17:05.00]-[0:17:11.00]  ¿no me entiende? y nada, y ahí no había nada, además otra cosa,
[0:17:11.00]-[0:17:17.00]  que resulta que ahí había las tinajas que eran de madera del vino,
[0:17:17.00]-[0:17:22.00]  le poníamos azufre nosotros para desinfectar la tinaja, lo que fuera,
[0:17:22.00]-[0:17:28.00]  y entonces eso bueno pues, hacía un humo que si te descuidabas te ahogaba,
[0:17:28.00]-[0:17:39.00]  y eso muría todo, azufre, y bueno pues quemando en un trozo de tel así,
[0:17:39.00]-[0:17:44.00]  nosotros en la cazuela esa vieja, lo poníamos en el sol, se derretía,
[0:17:44.00]-[0:17:48.00]  y ponían eso allí dentro y lo mojaban, cuando secaban,
[0:17:48.00]-[0:17:52.00]  cuando te daba falta después, pues lo ponían los tinajas y tapaban,
[0:17:52.00]-[0:17:56.00]  y le prendían fuego y bueno pues, y hacía un humo, eso es de una fuerza,
[0:17:56.00]-[0:18:01.00]  eso se mandaba todo lo que había ahí abajo, ¿sabes?
[0:18:01.00]-[0:18:10.00]  así que eso no había, entonces no había ningún bicho ni nada de cucaraches,
[0:18:10.00]-[0:18:18.00]  además otra cosa, yo mismo, esa casa que ve allá amarilla,
[0:18:18.00]-[0:18:21.00]  la que cita la otra ahí estaba yo, y el sótano de ahí,
[0:18:21.00]-[0:18:29.00]  y resulta que, ya me he leído, que tenía las cuadras al lado de los animales,
[0:18:29.00]-[0:18:34.00]  y nada, y había estiércoli, pero eso no había nada,
[0:18:34.00]-[0:18:41.00]  y había pajas de estiércoli y lo sacamos, me contaban, sacaban los miles,
[0:18:41.00]-[0:18:50.00]  los capazos para arriba, bueno pues, todos, sí señor, el muro,
[0:18:50.00]-[0:19:00.00]  pues mira, aquí estábamos en la cuadra, y aquí detrás estaba la bodega,
[0:19:00.00]-[0:19:05.00]  el sótano es el otro, y ahí al pasillo de la reja, estaba el otro corral,
[0:19:05.00]-[0:19:13.00]  que ahí había gallinas, perros, cochinos, y después las corderos y las cabras,
[0:19:13.00]-[0:19:25.00]  y el perro, todo estaba por ahí, sí, sí, sí, sí, ya le digo,
[0:19:25.00]-[0:19:36.00]  pero estábamos sanos, estábamos sanos, más sanos, correcto, correcto, sí, sí, sí.
[0:19:36.00]-[0:19:38.00]  ¿Ustedes tenían muchos animales en casa?
[0:19:38.00]-[0:19:43.00]  Ah, bueno, pues claro, porque yo mismo, mi padre se murió, yo tenía 12 años,
[0:19:43.00]-[0:19:47.00]  y mi hermano tenía 9, y el otro, y todos nosotros mismos,
