[0:00:00.00]-[0:00:02.00]  ¿No hay una silla?
[0:03:11.00]-[0:03:16.00]  ¿Las cabras se llevan al campo con perro, como la oveja o no?
[0:03:16.00]-[0:03:20.00]  No, yo no llevo con las cabras, no llevo perro, ni con las ovejas, ahora tengo oveja.
[0:03:20.00]-[0:03:22.00]  Ahora sí llevo perro.
[0:03:22.00]-[0:03:26.00]  Las ovejas son más cabezonas, no hacen caso.
[0:03:26.00]-[0:03:33.00]  Las cabras, las cabras las llamaba yo y además una vez me quedaba dormido y se ponían todas reunidas.
[0:03:33.00]-[0:03:34.00]  ¿Ah sí?
[0:03:34.00]-[0:03:38.00]  Y no sé, bueno, las ovejas las rean y se van en toda mi casa.
[0:03:38.00]-[0:03:40.00]  Si no llevo a un perro, voy yo.
[0:03:40.00]-[0:03:42.00]  ¿Por qué son más inteligentes las cabras?
[0:03:42.00]-[0:03:47.00]  Las cabras son más inteligentes y como es un grado que se practicaba mucho, se ordeñaba.
[0:03:47.00]-[0:03:52.00]  Las teníamos muy a uno suerte, estaban de comer casi a mano y te querían más.
[0:03:52.00]-[0:03:56.00]  Las ovejas como venía que para torreo, para torreo nunca les caso.
[0:03:56.00]-[0:03:58.00]  ¿Y ordeñaban ustedes mismos las cabras?
[0:03:58.00]-[0:03:59.00]  Claro.
[0:03:59.00]-[0:04:05.00]  Claro, primero se ordeñaban a mano, después llevaban con prematina y ahora ordeñaban a mano.
[0:04:05.00]-[0:04:07.00]  Pero lo primero a mano.
[0:04:07.00]-[0:04:10.00]  ¿Y a mano ordeñaban unas cabras? ¿Qué es lo que hacen exactamente?
[0:04:10.00]-[0:04:13.00]  Oye, ordeñan, cogen los pedones y le dan la leche.
[0:04:13.00]-[0:04:16.00]  Pero hay que acercarse así como con cuidado.
[0:04:16.00]-[0:04:17.00]  ¡Qué va!
[0:04:17.00]-[0:04:20.00]  Cuando la ordeña viene, ella sola, a ver a la ordeña.
[0:04:20.00]-[0:04:21.00]  Sí.
[0:04:21.00]-[0:04:26.00]  Claro, por las mañanas cuando te levantas y están allá apretadas, las ovejas que están apretadas,
[0:04:26.00]-[0:04:30.00]  vienen, traen escorriendo para que la ordeñe y quieren que la ordeñe todas a la vez.
[0:04:30.00]-[0:04:31.00]  Claro.
[0:04:31.00]-[0:04:32.00]  ¿Y eso por qué?
[0:04:32.00]-[0:04:34.00]  Porque duelen los pechos.
[0:04:34.00]-[0:04:39.00]  Y como ella ya conoce el suroario de los ordeños, pues vienen a las ordeñas y lo mismo que cuando están criando,
[0:04:39.00]-[0:04:45.00]  ubicando a su hijo, los llaman para darles de mamá parte del desahogo en los pechos.
[0:04:45.00]-[0:04:46.00]  ¿Los llaman?
[0:04:46.00]-[0:04:47.00]  Claro.
[0:04:47.00]-[0:04:48.00]  ¿Y cómo los llaman?
[0:04:48.00]-[0:04:51.00]  Con un po' ¡Beeeee!
[0:04:51.00]-[0:04:52.00]  Claro.
[0:04:52.00]-[0:04:53.00]  Pero si el esposo no quiere...
[0:04:53.00]-[0:04:57.00]  Y su reempaque es llamando con la voz.
[0:04:57.00]-[0:04:59.00]  Y reconocen los...
[0:04:59.00]-[0:05:05.00]  Claro, y saben quién es su madre y se da un ojo en el suyo la ovella y ya no la tienen.
[0:05:05.00]-[0:05:08.00]  Claro, lo topan para que se vayan.
[0:05:08.00]-[0:05:09.00]  Oye, los rogos se reconocen.
[0:05:09.00]-[0:05:16.00]  Los rogos, ellos con los rogos conocen quién es su hijo y quién no es.
[0:05:16.00]-[0:05:20.00]  Y en el valido, el lenguaje de ella se entiende.
[0:05:20.00]-[0:05:21.00]  ¿Porque valan diferente o qué?
[0:05:21.00]-[0:05:26.00]  No, porque la cría sabe el valido de su madre.
[0:05:26.00]-[0:05:29.00]  Y viene y cuando va llamo, pues viene a su madre.
[0:05:29.00]-[0:05:30.00]  ¿Y eso desde que nace?
[0:05:30.00]-[0:05:31.00]  Desde que nace.
[0:05:31.00]-[0:05:32.00]  ¡Oh!
[0:05:32.00]-[0:05:33.00]  ¿En el momento mismo que nace?
[0:05:33.00]-[0:05:35.00]  En el momento que nace.
[0:05:35.00]-[0:05:43.00]  Cuando pare un alabro o una oveja y a lo mejor no está el pastor delante y a lo mejor lo guiro y está andando ese vos.
[0:05:43.00]-[0:05:46.00]  Y si no lo lames, quiere quitarle ya el telo, ya no lo quiere.
[0:05:46.00]-[0:05:47.00]  ¿Quiere quitar qué?
[0:05:47.00]-[0:05:51.00]  El telo, cuando nace, nace con un telo.
[0:05:51.00]-[0:05:56.00]  Igual que la persona cuando nace, nace en toalleros de sangre y con un telo ahí lavando.
[0:05:56.00]-[0:06:00.00]  Entonces ellas no lo lavan, lo laven con la lengua y lo limpian.
[0:06:00.00]-[0:06:04.00]  Y la que no lo limpia así, no lo quiere.
[0:06:04.00]-[0:06:12.00]  Si a lo mejor no está y ha parido uno y se va y se deja el crío atrás o hay mucha y se le ha perdido el crío, ya no quiere.
[0:06:12.00]-[0:06:21.00]  Por eso está, a la verdad, cuando pare coger un bicho se lo pone y queda la lengua y la lia de algo.
[0:06:21.00]-[0:06:24.00]  ¿Y cuántos pare de una vez?
[0:06:24.00]-[0:06:28.00]  A mí me pare de dos a tres.
[0:06:28.00]-[0:06:34.00]  Lo normal son dos, uno y muchas nos pare tres.
[0:06:34.00]-[0:06:38.00]  A la otra persona, a tres, pare dos.
[0:06:38.00]-[0:06:40.00]  A Carla, pare uno, dos, uno.
[0:06:40.00]-[0:06:45.00]  ¿Y tenía usted a esta entonces presente en el parto?
[0:06:45.00]-[0:06:50.00]  No, alguna para el bien, bienvenido.
[0:06:50.00]-[0:06:54.00]  Y entonces lo echaron y quedaron las lenguas y no me teme que esté, no me teme que esté.
[0:06:54.00]-[0:06:57.00]  Pero otra no.
[0:06:57.00]-[0:07:00.00]  Ese fue en el parto como lo he visto.
[0:07:00.00]-[0:07:06.00]  Ante ella me parió una tres a las diez de la noche y tuve que secárselo.
[0:07:06.00]-[0:07:12.00]  Porque si lo estiré, lo que debería, debería más, debería loco.
[0:07:12.00]-[0:07:14.00]  ¿Doblaba todo?
[0:07:14.00]-[0:07:20.00]  Se me traía la cabeza y dan mano para atrás, venía con los riñones, con los riñones, entonces no podía estar.
[0:07:20.00]-[0:07:22.00]  ¿Con la cabeza para adentro?
[0:07:22.00]-[0:07:23.00]  Con la cabeza para adentro.
[0:07:23.00]-[0:07:26.00]  Ellos suelen salir con dos manos y la cabeza en dos.
[0:07:26.00]-[0:07:28.00]  Y esas pare en volar.
[0:07:28.00]-[0:07:34.00]  Pero si en los movimientos de ellas se les vuelve el bicho, entonces aquello salió con los riñones,
[0:07:34.00]-[0:07:37.00]  y no podía estar, no podía estar.
[0:07:37.00]-[0:07:41.00]  Entonces tuve que meter la mano, devolvérselo y ir atrás.
[0:07:41.00]-[0:07:43.00]  Y los parió a tres vivos.
[0:07:43.00]-[0:07:45.00]  Y a los otros dos y los tiró solos.
[0:07:45.00]-[0:07:49.00]  El primero fue el que le entaponaba a los otros dos.
[0:07:49.00]-[0:07:51.00]  ¿Y entonces es cuando nos calmen o qué?
[0:07:51.00]-[0:07:55.00]  Sí, claro, en cuanto se los saca, tiene que la menú.
[0:07:55.00]-[0:07:59.00]  Y ya, ya, después de estar tranquilos, que se ya...
[0:07:59.00]-[0:08:05.00]  Y ya arriba un estralco, un perro, y el re pa' allá, a defender a aquí.
[0:08:05.00]-[0:08:09.00]  ¿Y cómo sabía usted que iba a parir la cabra esa a la tierra?
[0:08:09.00]-[0:08:12.00]  No te pongo nada por ahí, te quedan los dos lobrés.
[0:08:12.00]-[0:08:14.00]  ¿Y es cómo se nota una cabra?
[0:08:14.00]-[0:08:22.00]  Oye, pues ya empieza a arrinconarse, a varar, a tirarse, y se le nota que está de parte.
[0:08:22.00]-[0:08:25.00]  Bueno, que está muy aburrido, pues lo notamos.
[0:08:25.00]-[0:08:30.00]  Cuando vemos un animal que llevemos lo sin timarca de...
[0:08:30.00]-[0:08:35.00]  Ni pierda por su natura, ni su aguaza, ni sus cosas, digo, hostia, está de parte.
[0:08:35.00]-[0:08:37.00]  Ah, porque suelta el agua.
[0:08:37.00]-[0:08:38.00]  Hombre, claro.
[0:08:38.00]-[0:08:41.00]  Antes de parir, pues tiran la fuente.
[0:08:41.00]-[0:08:45.00]  Y entonces, pues claro, voy a estar a la venta vivo, porque sabes que va a parir.
[0:08:45.00]-[0:08:49.00]  Y no se deja, porque si bien parto bien, yo ni me arrimo.
[0:08:49.00]-[0:08:52.00]  Estoy a la venta vivo para que lo pierde, pero ni me arrimo a ella.
[0:08:52.00]-[0:08:56.00]  Porque cuando luego se tira al suelo y empieza a varar y no puedo echarme,
[0:08:56.00]-[0:08:59.00]  pues no puedo estar a medida de luz.
[0:08:59.00]-[0:09:05.00]  Entonces, pues me cago en las manos, me sorco, y entonces, pues, si lo revuelvo, si lo pongo.
[0:09:05.00]-[0:09:07.00]  ¿Sin guante ni nada?
[0:09:07.00]-[0:09:10.00]  No, con las manos. Y con los guantes no apina bien.
[0:09:10.00]-[0:09:14.00]  Entonces, hay que tener mucho cuidado cuando metes la mano, si no hay animales.
[0:09:14.00]-[0:09:20.00]  De no con la uña ni con algo de su... de tocarle en las paredes de la madre.
[0:09:20.00]-[0:09:23.00]  Porque si no, la infecta.
[0:09:23.00]-[0:09:26.00]  Entonces, te tienes bien las manos para el cop,
[0:09:26.00]-[0:09:29.00]  te lavas bien lavado, te metes los dedos primero así, pero los dedos fuera enganchando,
[0:09:29.00]-[0:09:31.00]  y si no, te metes la manotera.
[0:09:31.00]-[0:09:32.00]  ¿Me sacaste?
[0:09:32.00]-[0:09:34.00]  ¿Con lo que tamaño tiene uno aquí?
[0:09:34.00]-[0:09:35.00]  Sí, sí tiene un tamaño.
[0:09:35.00]-[0:09:37.00]  Y con ella también le da tan bien.
[0:09:37.00]-[0:09:42.00]  Y con jabón que te echa ahí, con eso, las manos se meten.
[0:09:42.00]-[0:09:44.00]  Yo le metí otro alcohol.
[0:09:44.00]-[0:09:46.00]  ¿A traer otro alcohol?
[0:09:46.00]-[0:09:49.00]  A revolvérselo bien y con eso, a su...
[0:09:49.00]-[0:09:51.00]  ¿Y lo haces tú solo? ¿No necesitas ayuda?
[0:09:51.00]-[0:09:53.00]  Yo solo.
[0:09:53.00]-[0:09:58.00]  En las cabras las tía solo, en las ovejas te separan, te separen y entonces no puedes.
[0:09:58.00]-[0:10:00.00]  Entonces, si estoy solo, cojo y la apuro.
[0:10:00.00]-[0:10:03.00]  A un hierro o a un que sea para que me separe.
[0:10:03.00]-[0:10:06.00]  Y si allá a tiempo no la tiene, yo lo hago todo solo.
[0:10:06.00]-[0:10:10.00]  Y, efectivamente, cuando lo dan, lo doblo fuerte, se tiran a su...
[0:10:10.00]-[0:10:14.00]  y a los días están en esperar, apretar y no puede estar.
[0:10:14.00]-[0:10:18.00]  Y ahí, entonces, cuando ven el aliento de que hay ayuda, ya no se puede.
[0:10:18.00]-[0:10:22.00]  Y eso lo aprendió usted de su padre.
[0:10:22.00]-[0:10:24.00]  Eso lo aprendí de mi padre.
[0:10:24.00]-[0:10:27.00]  Y mi padre, como tiene una mano grande,
[0:10:27.00]-[0:10:31.00]  pues entonces no podía comprimar, era de primera parte.
[0:10:31.00]-[0:10:33.00]  Y no podía meter la mano.
[0:10:33.00]-[0:10:36.00]  Yo era muy gris y me picaba como tenía el acento.
[0:10:36.00]-[0:10:39.00]  Y ya luego, luego, luego ella que se arrumaba a su...
[0:10:39.00]-[0:10:43.00]  y yo le voy a decir, que tiene la maratilla más pequeña.
[0:10:43.00]-[0:10:45.00]  Porque a usted se le daba bien, entonces, al principio.
[0:10:45.00]-[0:10:48.00]  Y yo le dije, claro, no, no, no, no.
[0:10:48.00]-[0:10:51.00]  Y se acuerda usted de la primera vez que lo hizo, o no?
[0:10:51.00]-[0:10:54.00]  Claro, me acuerdo.
[0:10:54.00]-[0:10:57.00]  Como ha sido una cadera, que eso no ha sido una vez,
[0:10:57.00]-[0:11:00.00]  y la ha abandonado, que eso era casi todos los días,
[0:11:00.00]-[0:11:02.00]  pues con uno se ha olvidado.
[0:11:02.00]-[0:11:06.00]  Y tomaste una plástica que llevaba, así fue, siempre olvidado.
[0:11:06.00]-[0:11:08.00]  Y la primera vez se puso usted nervioso, o no?
[0:11:08.00]-[0:11:12.00]  No, no, porque yo estaba acostumbrado a ver a mi padre.
[0:11:12.00]-[0:11:15.00]  Y él iba a ir, y entonces me explicaba las cosas,
[0:11:15.00]-[0:11:17.00]  y yo las voy a aprender.
[0:11:17.00]-[0:11:21.00]  Y yo no lo hacía más suave, porque tenía la maratilla más pequeña.
[0:11:21.00]-[0:11:26.00]  Y ya sabía, si coge a mí una bolsa rara por dentro,
[0:11:26.00]-[0:11:30.00]  a una pala, o a un pelo que vea que eso, suéltalo.
[0:11:30.00]-[0:11:33.00]  Tú me cogías que las manos del bicho.
[0:11:33.00]-[0:11:35.00]  Las manos o la cabeza.
[0:11:35.00]-[0:11:37.00]  Claro, entonces lo voy a aprender.
[0:11:37.00]-[0:11:39.00]  Y ya él, y se arrimaba él, y además,
[0:11:39.00]-[0:11:42.00]  la demás, otros que no sabían, los ganaderos,
[0:11:42.00]-[0:11:47.00]  coño, tengo una abeja allí, una cabra que subo de París,
[0:11:47.00]-[0:11:50.00]  y dice, mi hijo, me voy a poner.
[0:11:50.00]-[0:11:52.00]  Y nos han dado a mí.
[0:11:52.00]-[0:11:55.00]  Y él cogía la tarta y ya, yo me dijerai, yo.
[0:11:58.00]-[0:12:00.00]  Y entonces usted la aprendió de su padre,
[0:12:00.00]-[0:12:02.00]  y su padre la habría aprendido del suyo también.
[0:12:02.00]-[0:12:04.00]  Hombre, claro, eso es escalera.
[0:12:04.00]-[0:12:07.00]  Si aquí hemos sido ganaderos desde que todas las razas,
[0:12:07.00]-[0:12:10.00]  mi abuelo, mi padre, todo, todo yo.
[0:12:10.00]-[0:12:12.00]  Y mis tabales, mis tabales, hombre,
[0:12:12.00]-[0:12:14.00]  ahorita no están con el ganado.
[0:12:14.00]-[0:12:16.00]  Pero eso saben igual que yo.
[0:12:16.00]-[0:12:19.00]  El ganado sabe igual que yo.
[0:12:19.00]-[0:12:23.00]  Porque hay mucha tradición aquí en campos de río, de ganadería.
[0:12:23.00]-[0:12:25.00]  Sí, se está perdiendo.
[0:12:25.00]-[0:12:28.00]  Se está perdiendo, pues, que la juventud,
[0:12:28.00]-[0:12:31.00]  que el ganado, y los viejos, ya los que apunten,
[0:12:31.00]-[0:12:33.00]  se está perdiendo, que hay mucho ganado,
[0:12:33.00]-[0:12:36.00]  y que, bueno, que hay muchas.
[0:12:36.00]-[0:12:38.00]  Y yo solo tenía mil.
[0:12:38.00]-[0:12:40.00]  ¿Mil cabras?
[0:12:40.00]-[0:12:42.00]  Tenía tres tíos conmigo.
[0:12:42.00]-[0:12:45.00]  Dos del cotoriano, no, tenía cuatro.
[0:12:45.00]-[0:12:47.00]  Dos del cotoriano y mis dos tabales.
[0:12:47.00]-[0:12:51.00]  Y los tabales, luego el mayor se fue a esto del Canaes,
[0:12:51.00]-[0:12:54.00]  que está del guardián del Canaes, este...
[0:12:54.00]-[0:12:57.00]  En la cosa de agua que hay ahí, ¿no?
[0:12:57.00]-[0:13:01.00]  Y el otro se pidió una de enviduadora ahí en el reino.
[0:13:01.00]-[0:13:04.00]  Y el otro, uno, bueno, no tiene, no.
[0:13:04.00]-[0:13:08.00]  Uno va a bañir, el otro, el retocista, este, y yo solo.
[0:13:08.00]-[0:13:10.00]  Ahora tengo todo.
[0:13:10.00]-[0:13:11.00]  ¿Y ya no tienes cabras?
[0:13:11.00]-[0:13:13.00]  No, ahora tengo cabras.
[0:13:13.00]-[0:13:16.00]  ¿Y se ha cambiado porque las ovejas convienen más o...?
[0:13:16.00]-[0:13:18.00]  No, porque tienes menos trabajo.
[0:13:18.00]-[0:13:20.00]  Pero ordeño, uno solo lleva...
[0:13:20.00]-[0:13:23.00]  La máquina mía entra en 24, lo de la máquina.
[0:13:23.00]-[0:13:26.00]  Y entonces uno solo no puede a tu día tomar.
[0:13:26.00]-[0:13:30.00]  Entonces, claro, aquí tengo los tanques, las alardeñas,
[0:13:30.00]-[0:13:31.00]  tengo todo, pero...
[0:13:31.00]-[0:13:35.00]  Y si ahora al columbarse, pues como ellos son mejor que los ganados,
[0:13:35.00]-[0:13:38.00]  porque los ganados están perdidos, no se dan un dinero,
[0:13:38.00]-[0:13:40.00]  pues ellos se han columbado y después nada,
[0:13:40.00]-[0:13:43.00]  voy a ir hecho para los años que me quede, para tu boda.
[0:13:43.00]-[0:13:45.00]  Y si te mueves, te muero.
[0:13:45.00]-[0:13:49.00]  Porque las cabras no salían rentables.
[0:13:49.00]-[0:13:51.00]  Sí, más que las ovejas.
[0:13:51.00]-[0:13:54.00]  Nosotros ganamos más con las cabras que con las ovejas.
[0:13:54.00]-[0:13:56.00]  Pero tienen que haber todos los tíos.
[0:13:56.00]-[0:13:57.00]  Yo soy un...
[0:13:57.00]-[0:13:59.00]  Hola, hola, hola.
[0:13:59.00]-[0:14:02.00]  A por el crío, yo.
[0:14:02.00]-[0:14:05.00]  ¿Y qué es lo que vendían ustedes de las cabras, la leche?
[0:14:05.00]-[0:14:06.00]  La leche.
[0:14:06.00]-[0:14:08.00]  La vendían para hacer queso.
[0:14:08.00]-[0:14:10.00]  ¿Y hacían usted queso también o no?
[0:14:10.00]-[0:14:13.00]  No, ni el sagalas, estas hacían.
[0:14:13.00]-[0:14:16.00]  Ninguno compromiso eso de mí, pero yo la vendía para...
[0:14:16.00]-[0:14:18.00]  a Villa Vieja.
[0:14:18.00]-[0:14:22.00]  Que eso, que Villa Vieja lo contaráis,
[0:14:22.00]-[0:14:26.00]  se lo aprendimos en toda España.
[0:14:26.00]-[0:14:28.00]  ¿Ah, sí? No, no lo conocí.
[0:14:28.00]-[0:14:31.00]  La parra, la parra por el queso, Villa Vieja.
[0:14:31.00]-[0:14:33.00]  ¿En la parra?
[0:14:33.00]-[0:14:36.00]  Se la aprendimos en la leche.
[0:14:36.00]-[0:14:39.00]  Primero la vendía en Valencia.
[0:14:39.00]-[0:14:41.00]  A...
[0:14:42.00]-[0:14:44.00]  Al Cucarén, ya que le decía.
[0:14:44.00]-[0:14:47.00]  Eso, cuando empecéis, que esto rolloaba más.
[0:14:47.00]-[0:14:50.00]  Y después se montó este de las parras.
[0:14:50.00]-[0:14:53.00]  Y al día de hoy, al día de hoy,
[0:14:53.00]-[0:14:56.00]  ya viene el día, recogés.
[0:14:56.00]-[0:14:59.00]  Y se la daba a ella.
[0:14:59.00]-[0:15:01.00]  Pero ella era más rentable porque
[0:15:01.00]-[0:15:03.00]  una abeja, si te los paren muerto,
[0:15:03.00]-[0:15:05.00]  ya está despachado por la noche.
[0:15:05.00]-[0:15:07.00]  ¿Ah, sí?
[0:15:07.00]-[0:15:09.00]  Ya, es hasta que no paro otra vez,
[0:15:09.00]-[0:15:11.00]  y me tiene que comer y no te dan.
[0:15:11.00]-[0:15:14.00]  Y la cabra no, la cabra, si se le mueren los gichos,
[0:15:14.00]-[0:15:17.00]  la ordeñaba. Y te daba todo el día a la abeja.
[0:15:17.00]-[0:15:19.00]  La abeja, la abeja también,
[0:15:19.00]-[0:15:21.00]  al bordo, los gichos muertos.
[0:15:21.00]-[0:15:23.00]  O a una desgracia de linda o eso,
[0:15:23.00]-[0:15:26.00]  ya está despachado hasta el día de hoy.
[0:15:26.00]-[0:15:29.00]  Y tiene que estar acá nueve comidas y sin preferir,
[0:15:29.00]-[0:15:31.00]  nadie.
[0:15:31.00]-[0:15:33.00]  Y las cabras, las cabras, al momento que llevaban cuatro meses
[0:15:33.00]-[0:15:36.00]  de peñao, si se le, por día de los gichos,
[0:15:36.00]-[0:15:38.00]  empezaba a ordeñarla y ella se iba a,
[0:15:38.00]-[0:15:40.00]  seguía por fin, yo.
[0:15:40.00]-[0:15:42.00]  Aunque se lo hubieran muerto.
[0:15:42.00]-[0:15:45.00]  Aunque se lo hubieran muerto, si la chota yo se los quitaba cuando era pequeñito.
[0:15:45.00]-[0:15:49.00]  A ordeñarla, porque no interesaba más la leche que la carne.
[0:15:49.00]-[0:15:51.00]  Y entonces lo vendía usted para carnes.
[0:15:51.00]-[0:15:54.00]  Lo vendía pequeño, para todos los días, muchos,
[0:15:54.00]-[0:15:56.00]  que tenían seis cabras, otros cinco cabras,
[0:15:56.00]-[0:15:58.00]  que no la ordeñaban.
[0:15:58.00]-[0:16:01.00]  Entonces se lo vendía pequeñito para que ellos lo cuidaran.
[0:16:01.00]-[0:16:04.00]  Y lo vendía, y entonces yo la peña la ordeñaba.
[0:16:04.00]-[0:16:07.00]  Me tenía más cuenta la leche que la leche.
[0:16:07.00]-[0:16:10.00]  Dejaba la chota, que se cubra con una cabra y caía
[0:16:10.00]-[0:16:12.00]  y que una vez que la veía entraba la cabra.
[0:16:12.00]-[0:16:14.00]  Pero los machos lo vendían tanto,
[0:16:14.00]-[0:16:16.00]  tenía, cuando se calotraban.
[0:16:16.00]-[0:16:19.00]  Ahora sí los sabía, lo vendían.
[0:16:19.00]-[0:16:22.00]  Se calotraban, dice usted, ¿y calotrarse qué es?
[0:16:22.00]-[0:16:27.00]  Porque cuando van a dar, son calotros los que dicen.
[0:16:27.00]-[0:16:29.00]  ¿Que no tienen todavía leche?
[0:16:29.00]-[0:16:32.00]  No, son calotros. La leche no vale.
[0:16:32.00]-[0:16:35.00]  Si la ordeña y la juece o algo, se muerden.
[0:16:35.00]-[0:16:37.00]  Son calotros.
[0:16:37.00]-[0:16:39.00]  Entonces eso se lo vendían los hijos,
[0:16:39.00]-[0:16:41.00]  que son cuando ellos se ponen fuertes.
[0:16:41.00]-[0:16:44.00]  Si no se calotran, no vale para nada.
[0:16:44.00]-[0:16:46.00]  Y un día se les terminaba lo así, los estudiaba.
[0:16:46.00]-[0:16:49.00]  Y un día estaban calotrando lo que vendían.
[0:16:49.00]-[0:16:51.00]  Y esto ya lo venía a la madre.
[0:16:51.00]-[0:16:54.00]  ¿Y qué les daban de comer a los chicos eso ya?
[0:16:54.00]-[0:16:57.00]  Los tomaban a otras cabras, a otros que no tenían.
[0:16:57.00]-[0:16:58.00]  Ah, de otras cabras.
[0:16:58.00]-[0:17:00.00]  Pero las cabras que me lo compraban a mí,
[0:17:00.00]-[0:17:01.00]  y ellos los criaban.
[0:17:01.00]-[0:17:03.00]  Porque ellos no las tenían legalidad,
[0:17:03.00]-[0:17:06.00]  entonces tenemos que tener legalidad para vender esa leche.
[0:17:06.00]-[0:17:09.00]  Y entonces, pues uno tenía seis cabras en su casa,
[0:17:09.00]-[0:17:11.00]  o uno tenía cinco, o uno tenía tres,
[0:17:11.00]-[0:17:13.00]  y compraban cabritos,
[0:17:13.00]-[0:17:16.00]  y los vendían a los cantiteros.
