[0:00:00.00]-[0:00:05.00]  No hagas preguntas comprometidas.
[0:02:35.00]-[0:02:39.00]  y cada día, por el proceso corriente era comer cocino, por ejemplo,
[0:02:39.00]-[0:02:42.00]  y cada día, pues, con la riela, los que había hecho, en una o dos,
[0:02:42.00]-[0:02:44.00]  y la repartían a la familia.
[0:02:44.00]-[0:02:46.00]  ¿Y con los chorizos, cómo hacían los chorizos?
[0:02:46.00]-[0:02:50.00]  Y con los chorizos, lo mismo, le hacían a veces a mano, con una maquillita que se daba así,
[0:02:50.00]-[0:02:56.00]  y se dejaban secar, por ejemplo, dependía del tiempo, de cómo estuviera,
[0:02:56.00]-[0:03:00.00]  y en la época de hielo y cosas así, por menos tiempo,
[0:03:00.00]-[0:03:04.00]  sería bastante, luego se llegaban a poner hasta por debajo en las chimeneas,
[0:03:04.00]-[0:03:09.00]  porque se secaban más, y nada, y eso era lo que era embutido bueno.
[0:03:09.00]-[0:03:12.00]  ¿Entonces colgaban los chorizos al humo o...?
[0:03:12.00]-[0:03:14.00]  Sí, sí, al humo también, pero después de estar secos.
[0:03:14.00]-[0:03:15.00]  Después de estar secos.
[0:03:15.00]-[0:03:16.00]  Y poco.
[0:03:16.00]-[0:03:18.00]  ¿Y cómo conservaban los chorizos?
[0:03:18.00]-[0:03:23.00]  Luego ya había quien los metía en aceite, y si no, pues se dejaban.
[0:03:23.00]-[0:03:25.00]  ¿Y cómo, en aceite? ¿En un...?
[0:03:25.00]-[0:03:30.00]  Sí, no, en un recipiente, por ejemplo, pues los chorizos,
[0:03:30.00]-[0:03:34.00]  se cortaban los chorizos y por ejemplo en un puchero, en una olla, otra cosa así,
[0:03:34.00]-[0:03:39.00]  y se echaba aceite, y eso se conservaba como se conserva el queso.
[0:03:39.00]-[0:03:42.00]  Ya, ya, ya. ¿Y para comerlo se sacaba...?
[0:03:42.00]-[0:03:45.00]  Para comerlo, claro, se echaba aceite, ¿sabes?
[0:03:45.00]-[0:03:49.00]  Y si iba a ser crudo, pues casi siempre no se metía en aceite siendo crudo.
[0:03:49.00]-[0:03:54.00]  Y se metía cuando se volvía a meter el cocido, porque cogía mucha grasa.
[0:03:54.00]-[0:03:57.00]  Imagínate que se conservaba mejor, y como una reloj,
[0:03:57.00]-[0:04:00.00]  como lo metía de seco y de duro, pues el aceite lo mantenía.
[0:04:00.00]-[0:04:02.00]  Ya, ya, ya, ya, ya.
[0:04:02.00]-[0:04:05.00]  ¿Y hacían varias clases de chorizo o solo una?
[0:04:05.00]-[0:04:07.00]  Se hacía a lo mejor dos.
[0:04:07.00]-[0:04:11.00]  Depende, había quien cogía la flor de los magorizos, hacía un chorizo,
[0:04:11.00]-[0:04:13.00]  y luego otro con la parte más baja.
[0:04:13.00]-[0:04:17.00]  Por ejemplo, lo del alma. El alma del cerdo es lo que lleva por la tripa.
[0:04:17.00]-[0:04:20.00]  ¿Y cómo se llamaba ese chorizo? ¿El chorizo ese que hacían...?
[0:04:20.00]-[0:04:23.00]  El chorizo casero, mejor.
[0:04:23.00]-[0:04:26.00]  ¿Llamaban igual a las dos clases de chorizo?
[0:04:26.00]-[0:04:32.00]  Pues sí. Se llamaba chorizo ya tenido más bajo y mejor.
[0:04:32.00]-[0:04:37.00]  Y luego pues se metía, depende, había chorizos que decían en la tripa de Cagalan.
[0:04:37.00]-[0:04:41.00]  Eso es lo que se puede decir el resto.
[0:04:41.00]-[0:04:45.00]  ¿Y qué más tenían? ¿Con los lomos qué hacían?
[0:04:45.00]-[0:04:51.00]  Con los lomos pues a veces sacaban el lomo, le adobaban y le dejaban secar.
[0:04:51.00]-[0:04:55.00]  Pero bueno, se podía hacer mucho porque si sacaban los lomos y los jamones y cosas de esas,
[0:04:55.00]-[0:04:58.00]  no podía hacer casi chorizo porque quedaba muy poco.
[0:04:58.00]-[0:05:00.00]  Ya, claro. ¿Y los jamones cuando...?
[0:05:00.00]-[0:05:03.00]  Los jamones se metían en sal.
[0:05:03.00]-[0:05:06.00]  Y los tenían en sal, enterrados de sal.
[0:05:06.00]-[0:05:14.00]  Primero se aprensaban bien y luego se metían en sal y generalmente solían estar de sal
[0:05:14.00]-[0:05:18.00]  tantos días en la sal como kilos pesaba un jamón.
[0:05:18.00]-[0:05:20.00]  Ya, ya, ya.
[0:05:20.00]-[0:05:24.00]  Por ejemplo, un alambón pesaba 10 kilos, pues él tenía 10 kilos, 10 días en la sal.
[0:05:24.00]-[0:05:30.00]  Y luego de la cama se le ponía en un sitio donde no estiéraba húmedo
[0:05:30.00]-[0:05:33.00]  y estuviera seco y si fuera cuanto más frío mejor.
[0:05:33.00]-[0:05:38.00]  Y luego después, pues cuando ya el jamón iba que se le veía más curado y eso,
[0:05:38.00]-[0:05:43.00]  en las casas antes pues los juntaban de pimentón, como si los pintaran o con un trapo
[0:05:43.00]-[0:05:45.00]  le dieran todo alrededor de pimentón.
[0:05:45.00]-[0:05:50.00]  Que eso yo creo que es una de las cosas que se pudiera para que la moscava no se pudiera.
[0:05:50.00]-[0:05:51.00]  Ya.
[0:05:51.00]-[0:05:54.00]  Pues ahora yo veo que los chorizos en los jamones se vienen sin pimentón.
[0:05:54.00]-[0:05:56.00]  Ah, pues pimienta molida.
[0:05:56.00]-[0:05:57.00]  Sí, le dan pimienta molida.
[0:05:57.00]-[0:05:59.00]  No, sigue con esto.
[0:05:59.00]-[0:06:03.00]  Pimenta molida, pues que tuviera el saborcito ese un poco.
[0:06:03.00]-[0:06:06.00]  Y si no daban pimentón entonces la mosca...
[0:06:06.00]-[0:06:11.00]  Era más achacosa, que le pudiera cagar la moscava y también una cagadita de moscava
[0:06:11.00]-[0:06:16.00]  que generalmente eran el huerto, los jamones en el codo, que se puede decir.
[0:06:16.00]-[0:06:21.00]  Y eso pues una cagadita empezaba a que le echaban gusanos de seguida.
[0:06:23.00]-[0:06:27.00]  ¿Y cuánto tiempo tenían los jamones curando?
[0:06:27.00]-[0:06:30.00]  Bueno, los jamones estaban a lo mejor a los tres meses ya varían,
[0:06:30.00]-[0:06:33.00]  pero cuanto más tiempo, más duros estuvieron los jamones,
[0:06:33.00]-[0:06:35.00]  estando bien de la boca mejor.
[0:06:35.00]-[0:06:36.00]  Sí.
[0:06:36.00]-[0:06:38.00]  Generalmente no le compraban jamones las carnes,
[0:06:38.00]-[0:06:42.00]  si tenían un cerdo y tenían dos jamones pues eso eran los que le comían.
[0:06:42.00]-[0:06:45.00]  Y si no tenías el cerdo veías al que compraban.
[0:06:47.00]-[0:06:49.00]  ¿Y con la manteca qué hacían?
[0:06:49.00]-[0:06:50.00]  ¿Qué?
[0:06:50.00]-[0:06:51.00]  ¿Con la manteca?
[0:06:51.00]-[0:06:55.00]  Con la manteca generalmente la derretían, lo que sobraba.
[0:06:55.00]-[0:06:58.00]  La sobraban en una malestilla aquí ahí,
[0:06:58.00]-[0:07:00.00]  y la derretían y la guardaban las mujeres.
[0:07:00.00]-[0:07:02.00]  ¿Y la derretían?
[0:07:02.00]-[0:07:03.00]  ¿Qué?
[0:07:03.00]-[0:07:04.00]  ¿Eso no va a ir a la tienda?
[0:07:04.00]-[0:07:05.00]  Un momentito, un momentito.
[0:07:05.00]-[0:07:08.00]  Sale una cosa como una tela,
[0:07:08.00]-[0:07:13.00]  y eso pues se calienta y se quita la tela y se queda solamente la manteca deshecha.
[0:07:13.00]-[0:07:17.00]  O la metían por ejemplo que te ves bien un cacharro,
[0:07:17.00]-[0:07:21.00]  en un vaso, un puchero, una cacerola,
[0:07:21.00]-[0:07:23.00]  y ya las tenían las mujeres.
[0:07:23.00]-[0:07:25.00]  Para cualquier cosa que hicieran,
[0:07:25.00]-[0:07:27.00]  que estuviera pobre de grasa o algo así,
[0:07:27.00]-[0:07:29.00]  la mamá echaba un poquito de manteca y así se salió.
[0:07:29.00]-[0:07:33.00]  O sea, hacían patatas quizás o otra cosa de esas.
[0:07:34.00]-[0:07:37.00]  Entonces como económicamente se vivía peor.
[0:07:38.00]-[0:07:40.00]  Y la manera esa de la gente era otra.
[0:07:41.00]-[0:07:43.00]  Cosas de esas así pues.
[0:07:43.00]-[0:07:45.00]  ¿Y con el tocino?
[0:07:45.00]-[0:07:48.00]  Con el tocino pues se dejaba para el cocido.
[0:07:48.00]-[0:07:50.00]  Hacían tocino saladillo.
[0:07:50.00]-[0:07:52.00]  ¿Pero cómo separaban ustedes el tocino?
[0:07:52.00]-[0:07:54.00]  ¿Cómo quitaban el tocino del cerdo?
[0:07:54.00]-[0:07:56.00]  El tocino no se quitaba.
[0:07:56.00]-[0:07:58.00]  Como el tocino gordo está en un lado.
[0:07:58.00]-[0:08:02.00]  Y el saladillo que decíamos nosotros que era lo de alma,
[0:08:02.00]-[0:08:04.00]  pues se sacaban unas tiras,
[0:08:04.00]-[0:08:06.00]  lo metían en sal,
[0:08:06.00]-[0:08:08.00]  y luego después se cortaba que estaba muy bueno,
[0:08:08.00]-[0:08:10.00]  comido como si fuera jamón.
[0:08:10.00]-[0:08:12.00]  Y luego desde ordinario,
[0:08:12.00]-[0:08:14.00]  pues era para el cocido.
[0:08:14.00]-[0:08:16.00]  Con la arregla del tiempo se añejaba,
[0:08:16.00]-[0:08:18.00]  empezaba haciendo un frejito el tocino
[0:08:18.00]-[0:08:22.00]  y terminaba siendo alejo cuando se pasara un año por él o algo así.
[0:08:22.00]-[0:08:24.00]  ¿Y era para el cocido sobre todo?
[0:08:24.00]-[0:08:26.00]  Para el cocido más que ninguna cosa.
[0:08:26.00]-[0:08:28.00]  ¿Y el sal cosas no baban?
[0:08:28.00]-[0:08:30.00]  Si, las cosas generalmente estaban en el sal.
[0:08:30.00]-[0:08:32.00]  Porque era lo que más vida agarraba.
[0:08:32.00]-[0:08:34.00]  ¿Y ahora con el tocino qué hacen?
[0:08:34.00]-[0:08:36.00]  Ahora con el tocino a veces hasta se tira,
[0:08:36.00]-[0:08:38.00]  porque no lo quieren ni los gatos.
[0:08:39.00]-[0:08:41.00]  Como no se come cocido como antes,
[0:08:42.00]-[0:08:45.00]  porque antes en una casa iba y a lo mejor una semana
[0:08:45.00]-[0:08:47.00]  se ponía cinco días cocido.
[0:08:47.00]-[0:08:49.00]  Y hoy cada quince días ponen uno,
[0:08:49.00]-[0:08:51.00]  porque no le quiere el chico,
[0:08:51.00]-[0:08:53.00]  porque a su madra no le gustan las ropas.
[0:08:53.00]-[0:08:56.00]  Se hacían las ropas del pan duro que había quedado el día antes,
[0:08:56.00]-[0:08:58.00]  que por todo era así,
[0:08:58.00]-[0:09:00.00]  y se cocían y estaban buenísimas.
[0:09:00.00]-[0:09:03.00]  A mí me gustan más que las que ya de la hora.
[0:09:04.00]-[0:09:09.00]  Cuando mataban a los cerdos se reunían toda la familia o...
[0:09:09.00]-[0:09:12.00]  Hombre generalmente si el cerdo pues se venía a matarles,
[0:09:12.00]-[0:09:15.00]  pues en días que no se podía trabajar a otros sitios,
[0:09:15.00]-[0:09:17.00]  a lo mejor que había llovido, otra cosa así.
[0:09:17.00]-[0:09:19.00]  Y si no pues era una...
[0:09:19.00]-[0:09:22.00]  Vamos a matar al centro de la abuela, por ejemplo,
[0:09:22.00]-[0:09:25.00]  que era el día quince de diciembre y por ahí la venía.
[0:09:26.00]-[0:09:29.00]  Pero se decía que había gachas de matanza.
[0:09:29.00]-[0:09:32.00]  Las gachas de matanza llevaban tocino, frito, entremedia...
[0:09:32.00]-[0:09:34.00]  Un momentín, un momentín.
[0:09:34.00]-[0:09:36.00]  A ver, ¿cómo eran las gachas de matanza?
[0:09:36.00]-[0:09:38.00]  Pues las gachas de matanza llevaban tú.
[0:09:38.00]-[0:09:40.00]  A ver aquí, que él estaba más enterado que yo.
[0:09:40.00]-[0:09:42.00]  Llevaban un poco...
[0:09:42.00]-[0:09:47.00]  Un poco, es que te voy a decir, un poco menos que de lo peor del cerdo, de lo magro.
[0:09:47.00]-[0:09:51.00]  Se echaba, se freía, se freía el tocillito.
[0:09:51.00]-[0:09:53.00]  Y qué es lo que más echaban.
[0:09:53.00]-[0:09:56.00]  En ella, el hígado, el hígado se freía y lo molían
[0:09:56.00]-[0:09:59.00]  y iba entremedia de las gachas.
[0:10:07.00]-[0:10:09.00]  ¿Las mujeres qué hacían el día de la matanza?
[0:10:09.00]-[0:10:11.00]  Pues nada, bajábamos al matadero, se mataba al cerdo,
[0:10:11.00]-[0:10:16.00]  subíamos, sacábamos la madeja de la sangre, que será para morcillas.
[0:10:16.00]-[0:10:23.00]  Pues luego después, subíamos, freíamos un poquito de lo de la tripa del cerdo,
[0:10:23.00]-[0:10:27.00]  la veta, lo que es lo del alma, se freía, se echaba en un platito,
[0:10:27.00]-[0:10:30.00]  luego se tostaba la harina de las gachas con un poquito de sal,
[0:10:30.00]-[0:10:35.00]  un poquito de pimentón, y cuando ya echabas el agua y según se iba espesando,
[0:10:35.00]-[0:10:36.00]  pues ya echabas el...
[0:10:36.00]-[0:10:39.00]  Pero trabajaban, entonces las mujeres trabajaban mucho su día.
[0:10:39.00]-[0:10:40.00]  Claro que trabajaban.
[0:10:40.00]-[0:10:44.00]  Luego teníamos que lavar el mondongo después de, ahí en la casera del arroyo,
[0:10:44.00]-[0:10:46.00]  a lavar el mondongo de los cochinos.
[0:10:46.00]-[0:10:47.00]  ¿El mondongo qué es?
[0:10:47.00]-[0:10:51.00]  Las tripas, con las que se hace luego la longaniza y las morcillas,
[0:10:51.00]-[0:10:53.00]  eso es el mondongo.
[0:10:53.00]-[0:10:59.00]  Y con el molquillo se hacían callos.
[0:10:59.00]-[0:11:01.00]  Callos, ¿cómo se hacen?
[0:11:01.00]-[0:11:05.00]  Como los que venden en conserva, igual, haciendo el refrito y salían buenísimos,
[0:11:05.00]-[0:11:11.00]  mejor que los que compramos de bote, porque son naturales, así que ya lo demás lo explica Paco.
[0:11:11.00]-[0:11:13.00]  ¿Y con la manteca qué hacían, hacían bollos o...?
[0:11:13.00]-[0:11:18.00]  Sí, con la manteca se derretía y con lo que sale de la manteca,
[0:11:18.00]-[0:11:23.00]  que sale así como unas tajaditas después del derretío, se hacían tortas.
[0:11:23.00]-[0:11:24.00]  ¿Tortas de chicharra?
[0:11:24.00]-[0:11:25.00]  Tortas de chicharra que llamaban.
[0:11:25.00]-[0:11:26.00]  ¿Cómo hacían las tortas?
[0:11:26.00]-[0:11:30.00]  Pues amasando la harina con la manteca y luego echaban las chicharritas
[0:11:30.00]-[0:11:31.00]  y las metías en el horno.
[0:11:31.00]-[0:11:35.00]  Y las hacías de más de lo que quisieras, cuadradas o redondas, como quisieses.
[0:11:35.00]-[0:11:39.00]  Así que, eso es la explicación del cochino.
[0:11:39.00]-[0:11:41.00]  ¿Y quedaban de comer al cerdo?
[0:11:41.00]-[0:11:45.00]  ¿Quedábamos? Maíz, ceba, en el tiempo de los tomates, tomates...
[0:11:45.00]-[0:11:46.00]  Cáscaras de melón.
[0:11:46.00]-[0:11:49.00]  Cáscaras de melón, los desperdicios de la casa.
[0:11:49.00]-[0:11:53.00]  Las cáscaras de patata, había quien las cocía y las echábamos un poco de harina,
[0:11:53.00]-[0:11:56.00]  de ceba revuelta, otras se comían las cáscaras solas,
[0:11:56.00]-[0:11:59.00]  según estuviera la casé de la comida del cerdo.
[0:11:59.00]-[0:12:00.00]  Las patatas chiquititas.
[0:12:00.00]-[0:12:03.00]  Las patatas venudas, las cocías y las echabas.
[0:12:03.00]-[0:12:05.00]  ¿Y cuántas veces estaban de comer al cerdo?
[0:12:05.00]-[0:12:07.00]  Dos, por la mañana y por la tarde.
[0:12:07.00]-[0:12:09.00]  Y algunas veces una.
[0:12:09.00]-[0:12:11.00]  Y así estudiaba el latín.
[0:12:14.00]-[0:12:16.00]  ¿No daba pena después matar al cerdo?
[0:12:16.00]-[0:12:20.00]  Pues sí que me daba lástima, pero yo me atrevía a meterle el cuchillo y matarle.
[0:12:20.00]-[0:12:21.00]  Hombre, claro.
[0:12:21.00]-[0:12:23.00]  Le atan las patas y ya no se menea el animal.
[0:12:23.00]-[0:12:28.00]  Te enganchas de debajo del... con un gancho, te clavas el cuchillo y ya la...
[0:12:28.00]-[0:12:31.00]  Esa es la explicación de los cerdos.
[0:12:31.00]-[0:12:33.00]  ¿Y gallinas también tenían?
[0:12:33.00]-[0:12:34.00]  Yo he tenido también gallinas.
[0:12:34.00]-[0:12:36.00]  ¿Y gallinas? ¿Tenían dificultad en tener?
[0:12:36.00]-[0:12:40.00]  Ahora no las tenemos, ahora no tenemos gallinas, pero ahora nada más que en las granjas.
[0:12:40.00]-[0:12:43.00]  Raro es el corral que tiene media docena de gallinas.
[0:12:45.00]-[0:12:47.00]  ¿Antes cómo querían ganar las gallinas?
[0:12:47.00]-[0:12:51.00]  Las gallinas, pues igual, con el desperdicio y con cebada.
[0:12:51.00]-[0:12:53.00]  O maíz.
[0:12:53.00]-[0:12:55.00]  Ahora ya son con pisos compuestos.
[0:12:55.00]-[0:12:56.00]  Sí.
[0:12:56.00]-[0:12:57.00]  Ahora ya no...
[0:12:57.00]-[0:12:58.00]  ¿Las tenías en casa o las tenías sueltas?
[0:12:58.00]-[0:13:00.00]  No, las teníamos sueltas en el corral.
[0:13:00.00]-[0:13:04.00]  Ellas se iban a poner a su ponedero y ya está.
[0:13:04.00]-[0:13:05.00]  Y los conejos también.
[0:13:05.00]-[0:13:06.00]  Y los conejos, pues igual.
[0:13:06.00]-[0:13:08.00]  ¿Y las gallinas, que tenían un gallo?
[0:13:08.00]-[0:13:13.00]  Claro, si querías echar las yuecas que llamamos, pues tenían que tener gallo.
[0:13:13.00]-[0:13:16.00]  Si no, no valían esos huevos para criar.
[0:13:16.00]-[0:13:18.00]  Y los pollos eran para...
[0:13:18.00]-[0:13:20.00]  Y los pollos luego para criarlos para la casa.
[0:13:20.00]-[0:13:22.00]  Cuando eran tomateros, pues matados.
[0:13:22.00]-[0:13:25.00]  Los que no dejabas para Nochebuena, que eran grandes.
[0:13:25.00]-[0:13:28.00]  Gallos solía haber con arreglada gallinas.
[0:13:28.00]-[0:13:32.00]  Por ejemplo, había orquestan que decías anilarios, anilarios.
[0:13:32.00]-[0:13:33.00]  Que pasen...
[0:13:33.00]-[0:13:34.00]  Gallinas y un gallo.
[0:13:34.00]-[0:13:35.00]  Como sé que cada diez, doce...
[0:13:35.00]-[0:13:36.00]  Ya me voy por un bivar.
[0:13:36.00]-[0:13:37.00]  Hasta luego.
[0:13:37.00]-[0:13:40.00]  Cada diez, doce gallinas, pues había un macho.
[0:13:40.00]-[0:13:41.00]  Ya, claro.
[0:13:41.00]-[0:13:44.00]  Y así era como luego se podían encubar los huevos.
[0:13:44.00]-[0:13:45.00]  Vamos a encubarlos.
[0:13:45.00]-[0:13:48.00]  Las yucas los cogían y los criaban.
[0:13:49.00]-[0:13:51.00]  Conejos se criaban mucho.
[0:13:51.00]-[0:13:55.00]  Los conejos entonces a veces bien descompuestos, pero antes...
[0:13:55.00]-[0:13:57.00]  Porque llevaban, se traían del campo.
[0:13:57.00]-[0:14:00.00]  Que si sobraban unas hojas de lechuga.
[0:14:00.00]-[0:14:02.00]  ¿Y cómo tenían los conejos?
[0:14:02.00]-[0:14:03.00]  Sueltos.
[0:14:03.00]-[0:14:04.00]  ¿Sueltos también?
[0:14:04.00]-[0:14:05.00]  En los corrales sueltos.
[0:14:05.00]-[0:14:10.00]  Hasta que ya empezaron a las conejeras los conejos sueltos por el corral.
[0:14:10.00]-[0:14:13.00]  Se metían por debajo de la leña, salían, entraban.
[0:14:13.00]-[0:14:17.00]  Y cuando querías matar a uno, pues te preparabas con un palo.
[0:14:17.00]-[0:14:20.00]  Y cuando estabas comiendo, crechabas de comer y le dabas el cotillazo.
[0:14:20.00]-[0:14:22.00]  Y los conejos vendían los...
[0:14:22.00]-[0:14:23.00]  Para casa.
[0:14:23.00]-[0:14:24.00]  Para casa, no vendían.
[0:14:24.00]-[0:14:26.00]  Pero si estuvieras, si te vendían.
[0:14:26.00]-[0:14:28.00]  Si estabas caso a la cosa, pues vendías.
[0:14:28.00]-[0:14:30.00]  Si no estabas casa, pues los aguantabas.
[0:14:30.00]-[0:14:32.00]  Los aguantabas.
[0:14:32.00]-[0:14:34.00]  A ver, que no...
[0:14:34.00]-[0:14:35.00]  ¿Y con los pollos?
[0:14:35.00]-[0:14:36.00]  También vendían los pollos.
[0:14:36.00]-[0:14:38.00]  Los pollos, los mismos vendían los pollos que las gallinas.
[0:14:38.00]-[0:14:40.00]  Había que comprar las gallinas para el cocido.
[0:14:40.00]-[0:14:41.00]  Las vendías y punto.
[0:14:41.00]-[0:14:44.00]  Y a los pollos los matabas para ti.
[0:14:44.00]-[0:14:46.00]  Matabas uno y con uno hacías...
[0:14:46.00]-[0:14:51.00]  La mitad para comer y la mitad para cenar.
[0:14:51.00]-[0:14:53.00]  Era cuando se os tiraban a comer.
[0:14:53.00]-[0:14:57.00]  Estaba guardando los pollos para cuando fuera santo de su abuelo.
[0:14:57.00]-[0:15:00.00]  Porque no se compraba otra cosa y ese día se mataba.
[0:15:00.00]-[0:15:02.00]  ¿Y los huevos?
[0:15:02.00]-[0:15:04.00]  Los huevos sí comían.
[0:15:04.00]-[0:15:06.00]  Si comían, si no, pues los vendías.
[0:15:06.00]-[0:15:09.00]  Si te sobraban, pues a la vecina o a quien fuese, te preguntaba.
[0:15:09.00]-[0:15:11.00]  A los que los vendías y a ti.
[0:15:11.00]-[0:15:14.00]  Porque tampoco era cosa de consumir los que tuvieses.
[0:15:14.00]-[0:15:18.00]  Si ponían 7 o 8 todos los días, no ibas a gastar los 7 o 8.
[0:15:18.00]-[0:15:19.00]  Tenías que venderlos.
[0:15:19.00]-[0:15:21.00]  ¿Y ya han dejado de tener gallinas?
[0:15:21.00]-[0:15:22.00]  Ya no tenemos gallinas.
[0:15:22.00]-[0:15:24.00]  Ya vamos a la tierra y ya está.
[0:15:24.00]-[0:15:25.00]  Y punto.
[0:15:25.00]-[0:15:26.00]  ¿Y vacas tenían?
[0:15:26.00]-[0:15:27.00]  No, eso no tenían.
[0:15:27.00]-[0:15:29.00]  Yo no le puedo decir nada porque no tenían vacas.
[0:15:29.00]-[0:15:30.00]  No tenían nunca vacas.
[0:15:30.00]-[0:15:31.00]  ¿Y leche entonces?
[0:15:31.00]-[0:15:32.00]  La compraban.
[0:15:32.00]-[0:15:33.00]  La vendían.
[0:15:33.00]-[0:15:36.00]  Aquí había baterías, aquí la vendían suelta.
[0:15:36.00]-[0:15:38.00]  La comprabas.
[0:15:38.00]-[0:15:40.00]  Ibas a por un litro o dos.
[0:15:40.00]-[0:15:42.00]  ¿Y cabras y viejas tampoco tenían?
[0:15:42.00]-[0:15:45.00]  Cabras también había ganado de cabras.
[0:15:45.00]-[0:15:47.00]  Pero yo también la he tenido a las cabras.
[0:15:47.00]-[0:15:49.00]  Pero la llevaba a la vez, que llamaban.
[0:15:49.00]-[0:15:50.00]  A la vez.
[0:15:50.00]-[0:15:52.00]  ¿Qué era eso de la vez?
[0:15:52.00]-[0:15:55.00]  La vez era dos señores que las cuidaban.
[0:15:55.00]-[0:15:58.00]  Las traías a ese corral, cada uno la suya,
[0:15:58.00]-[0:16:01.00]  y se la llevaba todo el día a pasear por el campo.
[0:16:01.00]-[0:16:03.00]  Luego por la tarde venías y la cogías.
[0:16:03.00]-[0:16:04.00]  O ella sola iba a tu casa.
[0:16:04.00]-[0:16:08.00]  La vez era una cosa como la residencia de Viasco.
[0:16:08.00]-[0:16:09.00]  ¿Sí?
[0:16:09.00]-[0:16:12.00]  Una cosa por el estilo era la residencia de cabras.
[0:16:12.00]-[0:16:14.00]  Que por la mañana iban, la llevaban al campo,
[0:16:14.00]-[0:16:17.00]  que pagabas a lo mejor una peseta todos los meses.
[0:16:17.00]-[0:16:21.00]  Y había uno que con eso pagaba al pastor.
[0:16:21.00]-[0:16:23.00]  Y la residencia por pasa igual.
[0:16:23.00]-[0:16:25.00]  ¿Y qué daban a los pastores?
