[0:00:00.00]-[0:00:02.00]  ¿Cómo se llaman ustedes?
[0:01:34.00]-[0:01:37.00]  Un poco para que no podían morder
[0:01:37.00]-[0:01:39.00]  Sí
[0:01:41.00]-[0:01:43.00]  ¿Y cómo se ataba el cerdo?
[0:01:43.00]-[0:01:47.00]  Pues dando vueltas con un cordelillo alrededor de la boca
[0:01:48.00]-[0:01:50.00]  ¿Y qué ostentían del cerdo?
[0:01:50.00]-[0:01:51.00]  ¿Eh?
[0:01:51.00]-[0:01:54.00]  Por ejemplo, ¿qué ostentían del cerdo?
[0:01:54.00]-[0:01:56.00]  ¿Hacían mortillas, chorizo?
[0:01:56.00]-[0:01:58.00]  Sí, se hacían, hombre, todo un poco
[0:01:58.00]-[0:02:00.00]  Todo un poco
[0:02:00.00]-[0:02:03.00]  ¿Y cómo se hacía la mortilla?
[0:02:03.00]-[0:02:05.00]  Pues, qué bien, sí, yo...
[0:02:05.00]-[0:02:08.00]  Hay que hacer de una manera y hay que hacer de otra, ¿no?
[0:02:08.00]-[0:02:10.00]  ¿Ustedes cómo la hacían?
[0:02:10.00]-[0:02:12.00]  Con calabaza
[0:02:12.00]-[0:02:14.00]  Se raspaba la calabaza
[0:02:14.00]-[0:02:17.00]  y luego se envolvía con varias cosas
[0:02:17.00]-[0:02:19.00]  y hacían la mortilla luego ya
[0:02:19.00]-[0:02:22.00]  Pero, por ejemplo, ¿la sangre del cerdo?
[0:02:22.00]-[0:02:24.00]  También había que echar un poco
[0:02:24.00]-[0:02:28.00]  Y, por ejemplo, ¿cómo recogían la sangre?
[0:02:28.00]-[0:02:30.00]  En un...
[0:02:30.00]-[0:02:35.00]  Aquí llamábamos una cazuela, de estas de barro, cosas de esas
[0:02:35.00]-[0:02:37.00]  Sí, pero ¿abrían el cerdo y ponían el barreño?
[0:02:37.00]-[0:02:39.00]  ¿O había una forma de hacer?
[0:02:39.00]-[0:02:41.00]  Cuando se estaba metiendo el cerdo
[0:02:41.00]-[0:02:44.00]  la sangre que aventaba, pues de allí se cogía
[0:02:44.00]-[0:02:46.00]  Sí
[0:02:46.00]-[0:02:51.00]  ¿O se le hacía... se le hacía al cerdo aquí una raja o...?
[0:02:51.00]-[0:02:53.00]  Sí, sí
[0:02:53.00]-[0:02:56.00]  Se le hacía un cuchillo y ahí salía la sangre
[0:02:56.00]-[0:03:02.00]  Y, por ejemplo, ¿qué se hacía para que la sangre no cuajase?
[0:03:02.00]-[0:03:08.00]  La sangre pues se cuajaba, claro, la puso ya de rato, esa cosa
[0:03:08.00]-[0:03:10.00]  se cuajaba
[0:03:10.00]-[0:03:12.00]  ¿Pero qué se hacía? ¿Se daba vueltas a la sangre?
[0:03:12.00]-[0:03:14.00]  Sí, sí
[0:03:14.00]-[0:03:17.00]  Y hasta que llamábamos una porcelana y tal, esas
[0:03:17.00]-[0:03:22.00]  se daba vueltas hasta que se enfriaba
[0:03:22.00]-[0:03:24.00]  hasta que me enfriaba
[0:03:24.00]-[0:03:26.00]  ¿Y utilizaban la sangre para algo más?
[0:03:26.00]-[0:03:30.00]  No, casi nada más que para la morcilla
[0:03:30.00]-[0:03:32.00]  ¿Y al chorizo no se echa sangre?
[0:03:32.00]-[0:03:38.00]  No, no, al chorizo, pimentón y esas, nada más
[0:03:38.00]-[0:03:43.00]  ¿Y los instrumentos? ¿Qué instrumentos utilizaban para matar el foco?
[0:03:43.00]-[0:03:45.00]  ¿Los instrumentos?
[0:03:45.00]-[0:03:47.00]  Sí, ¿qué instrumentos utilizaban para matar el foco?
[0:03:47.00]-[0:03:51.00]  Pues un cuchillo, un cuchillo y nada más
[0:03:51.00]-[0:03:55.00]  y agarrarle uno de las pachas y otro de las orejas
[0:03:55.00]-[0:03:58.00]  ¿Qué me ha dicho usted que hacían con la sangre?
[0:03:58.00]-[0:04:01.00]  Es que se lo he preguntado como estaban
[0:04:01.00]-[0:04:03.00]  Para morcillas
[0:04:03.00]-[0:04:06.00]  Pero ¿se echaba la sangre en un garrenero?
[0:04:06.00]-[0:04:08.00]  Sí, y venga a mover
[0:04:08.00]-[0:04:10.00]  Hasta que se quedaba fría
[0:04:10.00]-[0:04:12.00]  Hasta que se enfriaba
[0:04:12.00]-[0:04:14.00]  ¿No hacían nada más con la sangre?
[0:04:14.00]-[0:04:19.00]  No, casi nada más, yo creo
[0:04:19.00]-[0:04:23.00]  ¿Eran esos cerdos de ustedes o los de otros?
[0:04:23.00]-[0:04:26.00]  Sí, los criábamos
[0:04:26.00]-[0:04:29.00]  Bueno, los criábamos y los comprábamos de pequeños
[0:04:29.00]-[0:04:31.00]  ¿Y dónde los criabas?
[0:04:31.00]-[0:04:35.00]  ¿Dónde? Iban a un mercado, a una feria y compraban
[0:04:35.00]-[0:04:37.00]  De aquí afuera
[0:04:37.00]-[0:04:40.00]  Los mismos podían ser de este pueblo, de Barraco, de San Juan
[0:04:40.00]-[0:04:42.00]  ¿Y dónde tenían?
[0:04:42.00]-[0:04:46.00]  Aquí en el pueblo, en cuadras que había ahí
[0:04:46.00]-[0:04:48.00]  ¿Y qué comían y todo eso?
[0:04:48.00]-[0:04:52.00]  Comían de todo lo que se los echaba
[0:04:52.00]-[0:04:59.00]  Patatas, calabazas y maíz se los echaba, muchas cosas
[0:04:59.00]-[0:05:01.00]  Eran borrachas
[0:05:01.00]-[0:05:05.00]  ¿Y qué cuidados tenían? ¿Les cuidaban o qué?
[0:05:05.00]-[0:05:12.00]  Se los echaban una pila que hay y ahí hasta que se los comían
[0:05:12.00]-[0:05:17.00]  ¿Y qué instrumentos me ha dicho que ustedes utilizaban para matar el cerdo?
[0:05:17.00]-[0:05:19.00]  Para matar los cerdos
[0:05:19.00]-[0:05:22.00]  El cuchillo, ¿verdad?
[0:05:22.00]-[0:05:24.00]  ¿No te hicieron un gancho?
[0:05:24.00]-[0:05:28.00]  Sí, hay quien sí lo gastaba
[0:05:28.00]-[0:05:30.00]  Hay quien sí lo gastaba, otros no
[0:05:30.00]-[0:05:34.00]  ¿Y tienen todavía esos instrumentos, ese gancho?
[0:05:34.00]-[0:05:37.00]  ¿Qué me das tú saber que los tengan todavía?
[0:05:37.00]-[0:05:40.00]  Yo por lo menos no, porque ya hace lo menor
[0:05:40.00]-[0:05:43.00]  15 años que los mató, o más
[0:05:43.00]-[0:05:44.00]  ¿Cuánto tiempo?
[0:05:44.00]-[0:05:47.00]  Más, 15 o más que los barajos los mató
[0:05:47.00]-[0:05:50.00]  ¿Y tenían un banco?
[0:05:50.00]-[0:05:51.00]  Sí
[0:05:51.00]-[0:05:54.00]  ¿También ya no tienen el banco?
[0:05:54.00]-[0:06:00.00]  Los que matan sí que lo tienen, pero los que no matamos los hemos echado ya al tacto
[0:06:00.00]-[0:06:02.00]  ¿Y cómo limpiaban esos instrumentos?
[0:06:02.00]-[0:06:04.00]  ¿Con qué limpiaban?
[0:06:04.00]-[0:06:06.00]  Sí, porque imagino que estarían llenos de sangre
[0:06:06.00]-[0:06:12.00]  Con agua caliente y una valleta, valletas
[0:06:12.00]-[0:06:17.00]  ¿Y quién limpiaba esos instrumentos, los hombres o las mujeres?
[0:06:17.00]-[0:06:20.00]  Bueno, ya depende
[0:06:20.00]-[0:06:23.00]  El que más tiempo tuviera
[0:06:23.00]-[0:06:25.00]  Ya depende
[0:06:25.00]-[0:06:28.00]  ¿Y hacían también chorizos, me han dicho?
[0:06:28.00]-[0:06:29.00]  Sí, hombre
[0:06:29.00]-[0:06:31.00]  ¿Cómo se hacía el chorizo?
[0:06:31.00]-[0:06:34.00]  Bueno, los menudos de los cerdos
[0:06:34.00]-[0:06:36.00]  Los menudos de cerdos se picaban y se vieron
[0:06:36.00]-[0:06:39.00]  Se picaban menudos y hacían luego chorizos
[0:06:39.00]-[0:06:43.00]  Le echaban pimentón, orégano, hierbabuena
[0:06:43.00]-[0:06:46.00]  Cosas delces, verdad, para que no pierdan
[0:06:46.00]-[0:06:48.00]  ¿Cómo se hacía todo? ¿Con tripa?
[0:06:48.00]-[0:06:50.00]  Con la chipa, sí
[0:06:50.00]-[0:06:52.00]  ¿Tipa del mismo guarro?
[0:06:52.00]-[0:06:54.00]  ¿Del mismo cerdo?
[0:06:54.00]-[0:06:56.00]  ¿Sí?
[0:06:56.00]-[0:06:58.00]  ¿Cómo se hacía?
[0:06:58.00]-[0:07:02.28]  cogiéndolo y trabajando, todas las cosas trabajando la verdad.
[0:07:02.28]-[0:07:09.28]  Pero por ejemplo, para el chorizo utilizaban las tripas, o qué parte del muñeco.
[0:07:09.28]-[0:07:10.68]  Las tripas, las tripas.
[0:07:10.68]-[0:07:13.08]  Y limpiaban las tripas.
[0:07:13.08]-[0:07:17.56]  Si, también la lavaban, tienen que lavar a la garganta, chupriendo.
[0:07:17.56]-[0:07:18.92]  ¿Cómo se lavaban las tripas?
[0:07:18.92]-[0:07:22.04]  Uy, pues las mujeres, eso las mujeres, la lavaban.
[0:07:22.04]-[0:07:26.28]  ¿Y no sabe usted cómo, si era con agua, con agua y con limpiado?
[0:07:26.28]-[0:07:28.96]  Claro, con agua, con agua, con agua tiene que ser.
[0:07:28.96]-[0:07:31.44]  Con agua, claro, y nada más.
[0:07:31.44]-[0:07:33.56]  ¿Y el agua cómo iban a por ella?
[0:07:33.56]-[0:07:34.68]  Porque ahora tenemos grifos...
[0:07:34.68]-[0:07:39.00]  No señor, porque iban a la garganta que llamamos.
[0:07:39.00]-[0:07:42.20]  Eso venía del municipio de Tolu.
[0:07:42.20]-[0:07:44.60]  ¿Cómo picaban la carne?
[0:07:44.60]-[0:07:46.48]  Ah, ¿cómo picaban la carne?
[0:07:46.48]-[0:07:48.12]  Antiguamente no había máquinas.
[0:07:48.12]-[0:07:53.96]  Se picaban en una tabla, un cacho de tabla,
[0:07:53.96]-[0:07:57.08]  con las cuchillas, es verdad, se hacían menudo.
[0:07:57.08]-[0:08:02.12]  Y luego ya con las máquinas, ya hay máquinas, ya después.
[0:08:02.12]-[0:08:03.80]  ¿Y cómo funcionan esas máquinas?
[0:08:03.80]-[0:08:08.44]  Pues a torno, dan una manivela, verdad,
[0:08:08.44]-[0:08:13.20]  y tiene cuchillas por medio y se va metiendo la carne,
[0:08:13.20]-[0:08:15.88]  y sale luego picada, picada.
[0:08:15.88]-[0:08:16.88]  La mano.
[0:08:16.88]-[0:08:17.88]  Pero...
[0:08:17.88]-[0:08:19.88]  Acá no nos vamos a ir, ¿eh?
[0:08:19.88]-[0:08:22.68]  Pero lo que queremos saber es cómo se hacían los chorizos.
[0:08:22.68]-[0:08:23.68]  ¿Usted ha hecho chorizos?
[0:08:23.68]-[0:08:25.68]  Sí, no me ha hecho chorizos.
[0:08:25.68]-[0:08:30.68]  Se metía un embudo en la...
[0:08:30.68]-[0:08:31.68]  Hay un embudo.
[0:08:31.68]-[0:08:33.68]  Y se metía la carne en el humo allí.
[0:08:33.68]-[0:08:35.68]  Se metía la trípan en el embudo y claro,
[0:08:35.68]-[0:08:38.68]  iban atacando, apretando y hasta que eso...
[0:08:38.68]-[0:08:40.68]  Sí, pero por ejemplo, esa carne,
[0:08:40.68]-[0:08:43.68]  habría que envolver esa carne con algo.
[0:08:43.68]-[0:08:46.68]  Sí, abradito, con orégano y esas cosas.
[0:08:46.68]-[0:08:48.68]  Pero eso eran las especies que se echaban.
[0:08:48.68]-[0:08:53.68]  Por ejemplo, el chorizo tiene como un pellejo alrededor o algo de eso.
[0:08:53.68]-[0:08:54.68]  La tripa que...
[0:08:54.68]-[0:08:57.68]  La tripa que se pone nada más.
[0:08:57.68]-[0:09:00.68]  Vaya...
[0:09:00.68]-[0:09:02.68]  Pues sí.
[0:09:02.68]-[0:09:08.68]  ¿Y esas especias, las cosas que echaban al chorizo,
[0:09:08.68]-[0:09:10.68]  de dónde las tenían?
[0:09:10.68]-[0:09:12.68]  Del campo.
[0:09:12.68]-[0:09:13.68]  Que se cogían.
[0:09:13.68]-[0:09:14.68]  Recuerda, el campo se traía...
[0:09:14.68]-[0:09:15.68]  Del campo.
[0:09:15.68]-[0:09:17.68]  ¿No compraban esa...
[0:09:17.68]-[0:09:18.68]  El orégano?
[0:09:18.68]-[0:09:19.68]  No, normalmente no.
[0:09:19.68]-[0:09:21.68]  Estas...
[0:09:21.68]-[0:09:23.68]  Estas se cogían del campo.
[0:09:23.68]-[0:09:26.68]  Hay mucho orégano, mucho orégano y lo hecho de eso.
[0:09:26.68]-[0:09:28.68]  Hay mucho orégano.
[0:09:28.68]-[0:09:30.68]  Déjale María, sientale ahí.
[0:09:30.68]-[0:09:32.68]  Gracias.
[0:09:32.68]-[0:09:35.68]  ¿Y jamones? ¿Y hacían también jamones?
[0:09:35.68]-[0:09:38.68]  Luego se quitaban los jamones, se apartaban.
[0:09:38.68]-[0:09:40.68]  Luego se estafaba el cerdo, ¿verdad?
[0:09:40.68]-[0:09:45.68]  Se lo hacía en trozos y claro, cada pieza lo que pidía.
[0:09:45.68]-[0:09:48.68]  ¿Ha dicho usted estazar el cerdo?
[0:09:48.68]-[0:09:49.68]  Estazarlo, sí.
[0:09:49.68]-[0:09:51.68]  ¿Cómo se estazaba?
[0:09:51.68]-[0:09:54.68]  Pues haciendo trozos, eso, hacerlo, cada cosa lo que pide.
[0:09:54.68]-[0:09:56.68]  Cada cosa lo que pide.
[0:09:56.68]-[0:09:59.68]  El jamón es jamón y el lomo es lomo.
[0:09:59.68]-[0:10:02.68]  Y todo, y el tocino es tocino.
[0:10:02.68]-[0:10:04.68]  ¿Y cómo hacían ustedes los jamones?
[0:10:04.68]-[0:10:06.68]  ¿Cómo lo hacíamos?
[0:10:06.68]-[0:10:12.68]  Pues cortándolos del tocino alrededor y luego curarlos al humo.
[0:10:12.68]-[0:10:17.68]  Por ejemplo, cuéntenos ustedes todo, porque no sabemos, por ejemplo,
[0:10:17.68]-[0:10:23.68]  cogían la parte del jamón, echaban sal, todo.
[0:10:23.68]-[0:10:25.68]  Cuéntenos lo que recuerdan.
[0:10:25.68]-[0:10:27.68]  Y luego el jamón.
[0:10:27.68]-[0:10:31.68]  Cuando llegamos a asegar a la guadaña, entonces lo comíamos,
[0:10:31.68]-[0:10:33.68]  pero es porque lo ganábamos.
[0:10:33.68]-[0:10:36.68]  Lo sudábamos.
[0:10:36.68]-[0:10:39.68]  Entonces por la mañanita, lo primero.
[0:10:39.68]-[0:10:42.68]  Y luego a plantar de otro, se pegaba.
[0:10:42.68]-[0:10:45.68]  Pero había que sudarle, ¿sabes?
[0:10:45.68]-[0:10:47.68]  Había que sudarle todo de jamón.
[0:10:47.68]-[0:10:51.68]  ¿Y ustedes recuerdan cómo se hacía?
[0:10:51.68]-[0:10:54.68]  Lo hemos hecho nosotros y no lo vamos a recordar.
[0:10:54.68]-[0:10:56.68]  Venga, pues cuéntamelo usted.
[0:10:56.68]-[0:10:58.68]  Estamos contando cómo se hace.
[0:10:58.68]-[0:11:00.68]  ¿Qué más quieren, verdad?
[0:11:00.68]-[0:11:05.68]  Pues por ejemplo, en algunos sitios pisan el jamón o ponen preso.
[0:11:05.68]-[0:11:09.68]  Bueno, sí, también hay quien le pisa, también hay quien le...
[0:11:09.68]-[0:11:11.68]  ¿Cómo le llaman eso?
[0:11:11.68]-[0:11:14.68]  La prensa, la prensa, en verdad.
[0:11:14.68]-[0:11:16.68]  ¿Y cómo hacían ustedes eso?
[0:11:16.68]-[0:11:18.68]  Yo no lo he hecho, la prensa le...
[0:11:18.68]-[0:11:20.68]  Yo no he pensado tampoco.
[0:11:20.68]-[0:11:23.68]  ¿Y echaban sal al jamón?
[0:11:23.68]-[0:11:25.68]  Sí hombre, para chasco, lo que lo cura.
[0:11:25.68]-[0:11:27.68]  ¿Y dónde compraban la sal?
[0:11:27.68]-[0:11:30.68]  En la tienda, donde íbamos a comprar.
[0:11:30.68]-[0:11:33.68]  Pero por ejemplo, ¿había tiendas o venía alguien al pueblo a vender?
[0:11:33.68]-[0:11:36.68]  No señora, ve aquí, siempre ha habido tiendas.
[0:11:36.68]-[0:11:42.68]  Yo siempre he conocido tiendas y tengo el 31 año cumplido, ya el 32.
[0:11:42.68]-[0:11:46.68]  Siempre aquí, estas tiendas, siempre las he conocido.
[0:11:46.68]-[0:11:49.68]  ¿Y lomos? ¿Hacían lomos?
[0:11:49.68]-[0:11:50.68]  Sí hombre.
[0:11:50.68]-[0:11:51.68]  ¿Y cómo se hacían los lomos?
[0:11:51.68]-[0:11:53.68]  Pues también curándolos también.
[0:11:53.68]-[0:11:58.68]  Había que los metían en adobo, en pimentón, esas cosas, verdad.
[0:11:58.68]-[0:12:02.68]  Y los curaban y otros los metían en una tripa para luego, adelante, tenerlos.
[0:12:02.68]-[0:12:06.68]  Cada uno lo hacía como le parecía.
[0:12:06.68]-[0:12:09.68]  ¿Y ustedes hacían la matanza para comer?
[0:12:09.68]-[0:12:10.68]  Para comer, claro.
[0:12:10.68]-[0:12:11.68]  ¿Y no vendían la matanza?
[0:12:11.68]-[0:12:13.68]  No, para tirar la nuevera.
[0:12:13.68]-[0:12:14.68]  No, digo para venderla.
[0:12:14.68]-[0:12:16.68]  No, no.
[0:12:16.68]-[0:12:17.68]  No.
[0:12:17.68]-[0:12:20.68]  Sí, mira lo que ocurrió una vez a mí.
[0:12:20.68]-[0:12:23.68]  Para vender algo de la matanza, apenas lo hemos cobrado,
[0:12:23.68]-[0:12:26.68]  ya hace lo menos 20 y tantos años, ¿verdad?
[0:12:26.68]-[0:12:29.68]  A poco lo hemos cobrado.
[0:12:29.68]-[0:12:32.68]  ¿Y por ejemplo más cosas? ¿Manteca?
[0:12:32.68]-[0:12:33.68]  No, igual, igual.
[0:12:33.68]-[0:12:34.68]  También.
[0:12:34.68]-[0:12:35.68]  ¿Qué...?
[0:12:35.68]-[0:12:42.68]  Se derretía para lo que ya gastaba con patatas o el cocido, o esas cosas.
[0:12:42.68]-[0:12:46.68]  ¿Y qué se hacía con la manteca? ¿Para qué se usaba la manteca?
[0:12:46.68]-[0:12:50.68]  Para las patatas, las que quería echarlo en ellas.
[0:12:50.68]-[0:12:53.68]  Era como aceite, ¿verdad? ¿Se había para algo...?
[0:12:53.68]-[0:12:57.68]  Una cosa parecida, ¿verdad?
[0:12:57.68]-[0:13:01.68]  ¿Y tocino?
[0:13:01.68]-[0:13:03.68]  Tocino también para comerlo también.
[0:13:03.68]-[0:13:05.68]  Se echaba para...
[0:13:05.68]-[0:13:09.68]  El tocino, pues relativamente se ponía las patatas, ¿no?
[0:13:09.68]-[0:13:14.68]  Porque antes gastaban las patatas para mañana para desayunar.
[0:13:14.68]-[0:13:16.68]  No había leche.
[0:13:16.68]-[0:13:19.68]  Pues era un torrenito de trazo.
[0:13:19.68]-[0:13:22.68]  ¿Y según ustedes, comiendo tocino y manteca usando...?
[0:13:22.68]-[0:13:24.68]  Sí, esto, esto.
[0:13:24.68]-[0:13:26.68]  Me sé como menos, pero sí.
[0:13:26.68]-[0:13:29.68]  ¿Y ahora, por ejemplo, cómo utilizan ahora la manteca?
[0:13:29.68]-[0:13:32.68]  Ahora yo no sé cómo utilizan.
[0:13:32.68]-[0:13:39.68]  Hay quien hace jabón, porque no lo puede comer o no quiere comerlo.
[0:13:39.68]-[0:13:45.68]  Hay quien hace jabón y otros, nosotros ya no sabemos nada de eso.
[0:13:45.68]-[0:13:46.68]  ¿Y tocino?
[0:13:46.68]-[0:13:49.68]  Tocino, pues lo mismo, también lo gastan mucho para el jabón.
[0:13:49.68]-[0:13:52.68]  ¿Se utilizaba tocino, por ejemplo, para el cocido, no?
[0:13:52.68]-[0:13:54.68]  Sí, señora.
[0:13:54.68]-[0:13:55.68]  ¿Se echaba tocino al cocido?
[0:13:55.68]-[0:14:00.68]  Cuando teníamos que dar el jabón por tocino, ¿qué pasaba?
[0:14:00.68]-[0:14:03.68]  ¿Y los huesos? ¿Utilizaban los huesos del cerdo?
[0:14:03.68]-[0:14:05.68]  También sí, también se picaban.
[0:14:05.68]-[0:14:06.68]  ¿Para qué?
[0:14:06.68]-[0:14:10.68]  Se picaban también y para echarle una manteca, con la manteca envuelta.
[0:14:10.68]-[0:14:14.68]  ¿Y qué hacían con los huesos? ¿Los preparaban en sal o...?
[0:14:14.68]-[0:14:16.68]  Sí, hombre, echaban un poquito de sal.
[0:14:16.68]-[0:14:19.68]  Después que se echaba la manteca derretida, ¿verdad?, en ellos,
[0:14:19.68]-[0:14:23.68]  echaban un poquito de sal para conservarlo, ¿verdad?
[0:14:23.68]-[0:14:28.68]  Por ejemplo, ¿tenían más animales en el pueblo ustedes
[0:14:28.68]-[0:14:31.68]  que ganado tenían? ¿Tenían vacas, ovejas...?
[0:14:31.68]-[0:14:33.68]  Este tenía, también.
[0:14:33.68]-[0:14:34.68]  ¿Tenía usted vacas?
[0:14:34.68]-[0:14:39.68]  A una, pocas, pero yo no tenía pocas nunca, pero a una había.
[0:14:39.68]-[0:14:42.68]  ¿Y cómo cuidaba usted las vacas? ¿Cómo se cuidaban?
[0:14:42.68]-[0:14:46.68]  Sí, pues llevarlas al paro y si había hierba, que lo comieran.
[0:14:46.68]-[0:14:50.68]  ¿Sí? ¿Simplemente se echaba de comer hierba las vacas?
[0:14:50.68]-[0:14:53.68]  Sí, lleno y seca, hierba seca también.
[0:14:53.68]-[0:14:56.68]  ¿Y cómo, con qué se echaba esas cosas a las vacas?
[0:14:56.68]-[0:14:57.68]  ¿Con qué?
[0:14:57.68]-[0:15:01.68]  Sí, por ejemplo, ¿ustedes iban con una mula o...?
[0:15:01.68]-[0:15:05.68]  No, nosotros lo recogíamos, este, le pasaba eso.
[0:15:05.68]-[0:15:10.68]  Lo recogían en el paro, hacía un vuelo, ¿verdad?
[0:15:10.68]-[0:15:13.68]  Y luego, pues, Dalí iba, cuando yo iba, hacía falta,
[0:15:13.68]-[0:15:15.68]  iba a estar a comer Dalí.
[0:15:15.68]-[0:15:16.68]  Muy bien.
[0:15:16.68]-[0:15:20.68]  Y cogía al abrazar verdadero,
[0:15:20.68]-[0:15:24.68]  la asaptaba con una soca y se lo llevaba donde le pareciera a él.
[0:15:24.68]-[0:15:29.68]  ¿Y las vacas, por ejemplo, no se limpian o ustedes limpiaban las vacas?
[0:15:29.68]-[0:15:30.68]  No.
[0:15:30.68]-[0:15:32.68]  Las vacas, no, a la cuadra sí.
[0:15:32.68]-[0:15:33.68]  ¿Y cómo limpiaban la cuadra?
[0:15:33.68]-[0:15:37.68]  Pues quitaban la basura, la basura que echaban.
[0:15:37.68]-[0:15:39.68]  ¿Y con esa basura se quemaba o...?
[0:15:39.68]-[0:15:43.68]  No, señora, la echábamos en la huerta.
[0:15:43.68]-[0:15:47.68]  ¿Y ordenaba usted las vacas?
[0:15:47.68]-[0:15:48.68]  Normalmente no.
[0:15:48.68]-[0:15:52.68]  Normalmente casi no, entonces casi lo primero no.
[0:15:52.68]-[0:15:53.68]  ¿Y entonces...?
[0:15:53.68]-[0:15:55.68]  Eran habileñas.
[0:15:55.68]-[0:15:57.68]  ¿Y la leche entonces?
[0:15:57.68]-[0:15:59.68]  La leche, pues, no daban, pues, ¿cómo lo íbamos a sacar?
[0:15:59.68]-[0:16:03.68]  Sí, pero, por ejemplo, si usted no ordenaba la vaca, compraba la leche.
[0:16:03.68]-[0:16:05.68]  No usábamos leche.
[0:16:05.68]-[0:16:07.68]  No tomaban leche.
[0:16:07.68]-[0:16:10.68]  Nosotros tomábamos patatas para mañana.
[0:16:10.68]-[0:16:11.68]  Sí, desayunaban patatas.
[0:16:11.68]-[0:16:12.68]  Y al torrer, no.
[0:16:12.68]-[0:16:14.68]  Ahora, por ejemplo, sí que toman leche.
[0:16:14.68]-[0:16:16.68]  Ahora sí, pero no sabemos dónde vienen.
[0:16:16.68]-[0:16:17.68]  No es de las nuestras.
[0:16:17.68]-[0:16:18.68]  Ya no es de las de ustedes.
[0:16:18.68]-[0:16:21.68]  No.
[0:16:21.68]-[0:16:24.68]  Le iba a preguntar qué leche le gustaba más,
[0:16:24.68]-[0:16:26.68]  si la de antes o la de ahora, pero ya no...
[0:16:26.68]-[0:16:28.68]  No, pues yo creo que, yo no sé,
[0:16:28.68]-[0:16:31.68]  a mí me gustaba, si lo tiraba de lo de antes
[0:16:31.68]-[0:16:35.68]  y lo de ahora me tiraba a lo de antes.
[0:16:35.68]-[0:16:39.68]  ¿Y la nata de la leche esa que quedaba por encima?
[0:16:39.68]-[0:16:42.68]  Pues eso, pues, como se cuajaba,
[0:16:42.68]-[0:16:46.68]  y que no cuajaba la leche, pues iba todo al montón.
[0:16:46.68]-[0:16:47.68]  ¿Se cuajaba la leche?
[0:16:47.68]-[0:16:49.68]  Sí, para hacer el queso.
[0:16:49.68]-[0:16:50.68]  ¿Hacían ustedes queso?
[0:16:50.68]-[0:16:52.68]  Algunas veces sí, hemos hecho.
[0:16:52.68]-[0:16:53.68]  ¿Y cómo se hacía el queso?
[0:16:53.68]-[0:16:59.68]  Pues, están a la vez de cuajar y luego se hacía cuajada, la verdad,
[0:16:59.68]-[0:17:03.68]  y luego, pues la cuajada, pues a hacer el queso.
[0:17:03.68]-[0:17:05.68]  Sí, pero, por ejemplo, ¿cómo se cuajaba la leche?
