[0:00:00.00]-[0:00:02.00]  ¿Queréis que la come?
[0:07:45.00]-[0:07:47.00]  Las embutíamos.
[0:07:47.00]-[0:07:50.00]  Y aquí en las mesas las atábamos.
[0:07:50.00]-[0:07:55.00]  Y en el hogar con la caldera las guisábamos.
[0:07:55.00]-[0:07:57.00]  Las morcillas ya están.
[0:07:57.00]-[0:08:01.00]  Después la sangre que quedaba.
[0:08:01.00]-[0:08:04.00]  Con pan cortado, bien cortado.
[0:08:04.00]-[0:08:06.00]  Como pamigas.
[0:08:06.00]-[0:08:08.00]  Pues hacíamos bolas.
[0:08:08.00]-[0:08:11.00]  Y les echábamos las mismas especias.
[0:08:11.00]-[0:08:13.00]  Que a las morcillas.
[0:08:13.00]-[0:08:17.00]  Y después de los jamones.
[0:08:17.00]-[0:08:19.00]  Los jamones los salábamos.
[0:08:19.00]-[0:08:21.00]  Los salábamos.
[0:08:21.00]-[0:08:23.00]  Los teníamos salados.
[0:08:23.00]-[0:08:26.00]  Pues al mejor 15 o 20 días.
[0:08:26.00]-[0:08:29.00]  Pero en este trayecto había que salarlos.
[0:08:29.00]-[0:08:31.00]  Tres o cuatro veces.
[0:08:31.00]-[0:08:32.00]  Claro.
[0:08:32.00]-[0:08:34.00]  Y lo de lomo.
[0:08:34.00]-[0:08:38.00]  Y todas esas cosas las hacíamos chorizos.
[0:08:38.00]-[0:08:40.00]  Y longaniza.
[0:08:40.00]-[0:08:42.00]  Pero era cosa buena.
[0:08:42.00]-[0:08:46.00]  Porque eran los tocinos de la trasequias.
[0:08:46.00]-[0:08:48.00]  Y ahora no.
[0:08:48.00]-[0:08:50.00]  Con que hacíamos eso.
[0:08:50.00]-[0:08:53.00]  Hacíamos las rastras que nos salían de longaniza.
[0:08:53.00]-[0:08:56.00]  Y a la longaniza le echábamos anís.
[0:08:56.00]-[0:08:59.00]  Anís fuerte.
[0:08:59.00]-[0:09:04.00]  Porque se come toda eso de las carnes.
[0:09:04.00]-[0:09:10.00]  Que siempre las carnes tienen.
[0:09:10.00]-[0:09:14.00]  Aunque lo miren los veterinarios.
[0:09:14.00]-[0:09:18.00]  Pues algún mal tienen como todos.
[0:09:18.00]-[0:09:20.00]  Porque nos miran los médicos.
[0:09:20.00]-[0:09:24.00]  Y nos sacan el mal que Dios quiere.
[0:09:24.00]-[0:09:27.00]  Y a lo mejor el otro no lo dejan dentro.
[0:09:27.00]-[0:09:29.00]  Pues a los tocinos igual.
[0:09:29.00]-[0:09:31.00]  Porque al abrirlos.
[0:09:31.00]-[0:09:33.00]  Entonces lo veíamos.
[0:09:33.00]-[0:09:36.00]  Si en el ligado llevaban piedras.
[0:09:36.00]-[0:09:38.00]  O no llevaban.
[0:09:38.00]-[0:09:41.00]  Y del ligado lo cociamos.
[0:09:41.00]-[0:09:44.00]  Y le echábamos magras.
[0:09:44.00]-[0:09:47.00]  Capoladas.
[0:09:47.00]-[0:09:49.00]  Y hacíamos fardeles.
[0:09:49.00]-[0:09:51.00]  Con la tela del tocino.
[0:09:51.00]-[0:09:54.00]  Fardeles.
[0:09:54.00]-[0:09:56.00]  ¿Y qué es eso?
[0:09:56.00]-[0:09:59.00]  Eso pues son que más se hace el ligado.
[0:09:59.00]-[0:10:02.00]  Y con los fardeles la telica.
[0:10:02.00]-[0:10:04.00]  La echas en agua caliente.
[0:10:04.00]-[0:10:06.00]  Y se extiende.
[0:10:06.00]-[0:10:08.00]  Y puedes tres trocitos.
[0:10:08.00]-[0:10:10.00]  Y haces tortéticas.
[0:10:10.00]-[0:10:14.00]  Pero eso se guarda muchos días.
[0:10:14.00]-[0:10:18.00]  Antes no teníamos nevera.
[0:10:18.00]-[0:10:21.00]  Y los teníamos en el granero.
[0:10:21.00]-[0:10:23.00]  Que decíamos el granero.
[0:10:23.00]-[0:10:25.00]  Al eso de arriba.
[0:10:25.00]-[0:10:28.00]  Y allí colgábamos embalas.
[0:10:28.00]-[0:10:30.00]  Colgábamos la longaniza.
[0:10:30.00]-[0:10:32.00]  Y eso.
[0:10:32.00]-[0:10:34.00]  Y hacíamos chorizo.
[0:10:34.00]-[0:10:37.00]  Y al chorizo le echábamos pimiento.
[0:10:37.00]-[0:10:44.00]  Y el pimiento ya pesadico para cada kilo.
[0:10:44.00]-[0:10:47.00]  Lo que hay que echar.
[0:10:47.00]-[0:10:49.00]  Y a la longaniza también.
[0:10:49.00]-[0:10:52.00]  La canela y todo, todo pesado.
[0:10:52.00]-[0:10:54.00]  Y la sal.
[0:10:54.00]-[0:10:57.00]  Pues así hacíamos el mondongo.
[0:10:57.00]-[0:11:01.00]  Pero entonces comía longaniza.
[0:11:01.00]-[0:11:03.00]  Y olía a longaniza.
[0:11:03.00]-[0:11:06.00]  Que la persona que quería comer longaniza.
[0:11:06.00]-[0:11:09.00]  Y no quería que lo supieran, que cuidaran.
[0:11:09.00]-[0:11:12.00]  Porque le olían.
[0:11:12.00]-[0:11:16.00]  Pero ahora si no huele ni sabe a longaniza.
[0:11:16.00]-[0:11:18.00]  Y más duro todo.
[0:11:18.00]-[0:11:20.00]  El jamón no vale.
[0:11:20.00]-[0:11:22.00]  El jamón no vale.
[0:11:22.00]-[0:11:24.00]  Y las...
[0:11:24.00]-[0:11:26.00]  Ahora las manzanas.
[0:11:26.00]-[0:11:28.00]  Venga a solfatear.
[0:11:28.00]-[0:11:30.00]  Venga el otro día.
[0:11:30.00]-[0:11:32.00]  Eso.
[0:11:32.00]-[0:11:34.00]  Y quien dice eso todo.
[0:11:34.00]-[0:11:40.00]  Y no comemos más que a base de lo que los solfatean.
[0:11:40.00]-[0:11:44.00]  Y tienen por aquí muchos árboles frutales.
[0:11:44.00]-[0:11:46.00]  Pues bastantes.
[0:11:46.00]-[0:11:48.00]  Y más que había.
[0:11:48.00]-[0:11:50.00]  Pero los quitamos.
[0:11:50.00]-[0:11:53.00]  Porque la gente no quiere más que cantidades.
[0:11:53.00]-[0:11:57.00]  Y no tienen gusto esas cantidades.
[0:11:57.00]-[0:11:59.00]  Y hemos tenido que arrancarlas.
[0:11:59.00]-[0:12:03.00]  Nosotros habremos arrancado muchos.
[0:12:03.00]-[0:12:05.00]  No quiero decirles eso.
[0:12:05.00]-[0:12:07.00]  Muchos.
[0:12:07.00]-[0:12:10.00]  Y porque las peras de agua.
[0:12:10.00]-[0:12:12.00]  Con lo buenas que son.
[0:12:12.00]-[0:12:14.00]  Las teníamos que tirar.
[0:12:14.00]-[0:12:17.00]  Que no nos las compraban.
[0:12:17.00]-[0:12:20.00]  Porque ahora hay otras clases de peras.
[0:12:20.00]-[0:12:24.00]  De mucha presencia.
[0:12:24.00]-[0:12:26.00]  No valen.
[0:12:26.00]-[0:12:28.00]  No valen con estas.
[0:12:28.00]-[0:12:31.00]  Y sin embargo las ciruelas mismo.
[0:12:31.00]-[0:12:34.00]  Nosotros, los abiguals.
[0:12:34.00]-[0:12:36.00]  Hemos tenido que arrancar.
[0:12:36.00]-[0:12:40.00]  En un campo, 150 árboles de ciruelos.
[0:12:40.00]-[0:12:42.00]  Porque aquella clase.
[0:12:42.00]-[0:12:44.00]  No la quieren.
[0:12:44.00]-[0:12:46.00]  Eso es mejor que las otras.
[0:12:46.00]-[0:12:48.00]  Si hemos dejado.
[0:12:48.00]-[0:12:50.00]  Pero es el gusto de la gente.
[0:12:50.00]-[0:12:52.00]  Que ahora la gente es muy antipática.
[0:12:52.00]-[0:12:54.00]  No saben ni lo que comen.
[0:12:54.00]-[0:12:56.00]  Ni saben nada.
[0:12:56.00]-[0:12:58.00]  El pan.
[0:12:58.00]-[0:13:00.00]  Para que sepan también.
[0:13:00.00]-[0:13:02.00]  Nos daban harina.
[0:13:02.00]-[0:13:05.00]  Para cada casa los kilos que le pertenecían.
[0:13:05.00]-[0:13:08.00]  Más sabamos y vamos al horno.
[0:13:08.00]-[0:13:10.00]  Pero había que saber más.
[0:13:10.00]-[0:13:12.00]  Al trabajar bien el pan.
[0:13:12.00]-[0:13:15.00]  Y comíamos pan de 8 días.
[0:13:15.00]-[0:13:18.00]  Lo metíamos y había horno.
[0:13:18.00]-[0:13:21.00]  Había una señora que se dedicaba al horno.
[0:13:21.00]-[0:13:23.00]  A la hornera.
[0:13:23.00]-[0:13:25.00]  Pero era siempre ella.
[0:13:25.00]-[0:13:27.00]  Si iban rotando la hornera.
[0:13:27.00]-[0:13:29.00]  Siempre era la hornera.
[0:13:29.00]-[0:13:31.00]  Era ella.
[0:13:31.00]-[0:13:33.00]  Ella era la que nos cobraba.
[0:13:33.00]-[0:13:35.00]  Y llegaba que a los que masaban.
[0:13:35.00]-[0:13:37.00]  Quitaban el pan.
[0:13:37.00]-[0:13:39.00]  Que de lo que masábamos.
[0:13:39.00]-[0:13:42.00]  Si queríamos hacer más alenas.
[0:13:42.00]-[0:13:44.00]  Mantecaos.
[0:13:44.00]-[0:13:46.00]  Y lo hacíamos.
[0:13:46.00]-[0:13:49.00]  Porque el tiempo este que matamos el tocino.
[0:13:49.00]-[0:13:52.00]  Las chichorras porque tenían mucha manteca.
[0:13:52.00]-[0:13:55.00]  Hacíamos tortas con chichorras.
[0:13:55.00]-[0:13:59.00]  Con las chichorricas de la manteca.
[0:13:59.00]-[0:14:02.00]  Y eran riquísimas con azúcar y bien hechas.
[0:14:02.00]-[0:14:06.00]  Y hacíamos tortas para las culecas.
[0:14:06.00]-[0:14:09.00]  Que les decían que ahora la pascua.
[0:14:09.00]-[0:14:12.00]  La pascua porque las capitales.
[0:14:12.00]-[0:14:16.00]  No se les compraban las culecas esas compradas.
[0:14:16.00]-[0:14:18.00]  El huevo ese de...
[0:14:18.00]-[0:14:20.00]  Pintado.
[0:14:20.00]-[0:14:22.00]  Aquí lo pintaban también.
[0:14:22.00]-[0:14:25.00]  Aquí lo masábamos la masa como el pan.
[0:14:25.00]-[0:14:28.00]  Y hacíamos las culecas.
[0:14:28.00]-[0:14:30.00]  Para meterlas al horno.
[0:14:30.00]-[0:14:32.00]  Pero no faltaban.
[0:14:32.00]-[0:14:34.00]  Cada una más de ella.
[0:14:34.00]-[0:14:36.00]  La que les echaba cosas buenas.
[0:14:36.00]-[0:14:38.00]  Buenas las sacaban.
[0:14:38.00]-[0:14:40.00]  Pero todas procurábamos.
[0:14:40.00]-[0:14:43.00]  Cuando nos poníamos a hacer una cosa.
[0:14:43.00]-[0:14:46.00]  Pues echamos lo mejor que podíamos.
[0:14:46.00]-[0:14:48.00]  Pero siempre hay quien quiere.
[0:14:48.00]-[0:14:51.00]  Que cundan más las cosas y echan menos.
[0:14:51.00]-[0:14:53.00]  O pueden menos.
[0:14:53.00]-[0:14:54.00]  Pero...
[0:14:54.00]-[0:14:57.00]  Esas si vivíamos antes.
[0:14:57.00]-[0:15:00.00]  Y nosotros aun vivimos.
[0:15:00.00]-[0:15:01.00]  Solo que el pan.
[0:15:01.00]-[0:15:03.00]  Pues no hay horno.
[0:15:03.00]-[0:15:05.00]  No hay horno.
[0:15:05.00]-[0:15:07.00]  Pero hasta hace pocos años.
[0:15:07.00]-[0:15:08.00]  Que ahí están las...
[0:15:08.00]-[0:15:10.00]  Había horno.
[0:15:10.00]-[0:15:12.00]  Y llegaba que él hacía el pan.
[0:15:12.00]-[0:15:15.00]  Porque ya no nos dejaban más sal.
[0:15:15.00]-[0:15:17.00]  Pero ahora...
[0:15:17.00]-[0:15:19.00]  O sea que...
[0:15:19.00]-[0:15:23.00]  Tortas y magdalenas y eso nos dejaban.
[0:15:23.00]-[0:15:25.00]  Ahora el pan se lo traen de otros pueblos.
[0:15:25.00]-[0:15:27.00]  Lo traen de Calatay.
[0:15:27.00]-[0:15:29.00]  ¿Y quién lo trae?
[0:15:29.00]-[0:15:31.00]  Pues un señor que se dedica eso.
[0:15:31.00]-[0:15:34.00]  Y lleva varios pueblos.
[0:15:34.00]-[0:15:36.00]  Y con eso él...
[0:15:36.00]-[0:15:38.00]  Pues come.
[0:15:38.00]-[0:15:41.00]  Lo que se gana, come.
[0:15:41.00]-[0:15:43.00]  Y el poca de la peña.
[0:15:43.00]-[0:15:47.00]  ¿Y a usted qué fiestas de aquí del pueblo le gustan más?
[0:15:47.00]-[0:15:49.00]  Cuando era joven.
[0:15:49.00]-[0:15:52.00]  ¿Qué fiestas de aquí del pueblo, de su pueblo, le gustaban más?
[0:15:52.00]-[0:15:53.00]  San Blas.
[0:15:53.00]-[0:15:54.00]  Aquí San Blas.
[0:15:54.00]-[0:15:56.00]  Y cuéntanos, ¿cómo era San Blas?
[0:15:56.00]-[0:15:57.00]  ¿Qué se celebraba?
[0:15:57.00]-[0:15:59.00]  Pues San Blas.
[0:15:59.00]-[0:16:02.00]  Pues, oye, era una fiesta.
[0:16:02.00]-[0:16:06.00]  Y que ahora gastan mucho y no se divierte nadie.
[0:16:06.00]-[0:16:08.00]  ¿Y antiguamente qué se hacía?
[0:16:08.00]-[0:16:12.00]  Y antiguamente, pues llegaba el día la vís para San Blas.
[0:16:12.00]-[0:16:16.00]  Y ya todas las calles bien limpias.
[0:16:16.00]-[0:16:18.00]  Y hacíamos antes...
[0:16:18.00]-[0:16:21.00]  Teníamos tarrisos de magdalenas.
[0:16:21.00]-[0:16:23.00]  Y tarrisos en casa.
[0:16:23.00]-[0:16:25.00]  Y tarrisos amantecaos.
[0:16:25.00]-[0:16:27.00]  Y de todas cosas.
[0:16:27.00]-[0:16:32.00]  Y que vinieran los hospedales, que vinieran a comerla de todo ahí.
[0:16:32.00]-[0:16:38.00]  Y ahora compras un kilo y salen 12 magdalenas malas.
[0:16:38.00]-[0:16:42.00]  Porque están más duras que la pata perico.
[0:16:42.00]-[0:16:44.00]  Y eso comemos.
[0:16:44.00]-[0:16:51.00]  Y nada, porque ahora mucha política, pero no entra nadie a comerla a las casas.
[0:16:51.00]-[0:16:55.00]  Y antes, de casa en casa, mozos, todos.
[0:16:55.00]-[0:16:57.00]  Así era la vida en Mezquita.
[0:16:57.00]-[0:17:01.00]  Y llegaba por la mañana la música.
[0:17:01.00]-[0:17:04.00]  Ahora charangas, qué tontadas esas.
[0:17:04.00]-[0:17:10.00]  Antes salía la música de que traían de la almunia.
[0:17:10.00]-[0:17:12.00]  Una música de postín.
[0:17:12.00]-[0:17:14.00]  Corrían el pueblo.
[0:17:14.00]-[0:17:17.00]  Y ya ponían el pueblo en movimiento.
[0:17:17.00]-[0:17:22.00]  Y con cuatro bailes en la plaza, porque hacía mucho frío.
[0:17:22.00]-[0:17:25.00]  Y los abrigos de poca monta.
[0:17:25.00]-[0:17:27.00]  Y la gente se vestía muy elegante.
[0:17:27.00]-[0:17:30.00]  Elegante, como se podía.
[0:17:34.00]-[0:17:37.00]  Ahora solo hay apariencias mañana.
[0:17:37.00]-[0:17:40.00]  Y antes, ahí sonaba.
[0:17:40.00]-[0:17:47.00]  Que ahí había en varias casas, y las apariencias no las vía nadie.
[0:17:47.00]-[0:17:52.00]  Y ahora, sin Abel, aparentan los trajes.
[0:17:52.00]-[0:17:56.00]  Pero troca trajes y mete por la boca poco.
[0:17:56.00]-[0:18:01.00]  Tonterías, porque no comen más que tonterías.
[0:18:01.00]-[0:18:04.00]  Los jóvenes de ahora, tonterías.
[0:18:04.00]-[0:18:07.00]  Hay que comer comida bien hecha.
[0:18:07.00]-[0:18:10.00]  Muchas judías, bien cocidas.
[0:18:10.00]-[0:18:12.00]  Yo las cuesto en el hogar.
[0:18:12.00]-[0:18:18.00]  Y les meto tocino, rabo, chorizo y de todo.
[0:18:18.00]-[0:18:21.00]  ¿Y cuando era joven iba usted al baile?
[0:18:21.00]-[0:18:23.00]  Al baile, sí.
[0:18:23.00]-[0:18:26.00]  Hasta que tuve 20 años, pues iba al baile.
[0:18:26.00]-[0:18:28.00]  Y allí con los viejos amigos.
[0:18:28.00]-[0:18:29.00]  Todos los domingos.
[0:18:29.00]-[0:18:34.00]  Pero era la hora del baile a las tres o por ahí.
[0:18:34.00]-[0:18:37.00]  Y ahora se van cuando es hora de ir a la cama.
[0:18:37.00]-[0:18:39.00]  Se van de casa.
[0:18:39.00]-[0:18:41.00]  Pero antes no.
[0:18:41.00]-[0:18:44.00]  Antes a las tres íbamos al baile.
[0:18:44.00]-[0:18:47.00]  Y allí estaban las mozas, los mozos.
[0:18:47.00]-[0:18:51.00]  Había una música de poca importancia.
[0:18:51.00]-[0:18:54.00]  Pero, y la alegría que tenían aquellos.
[0:18:54.00]-[0:18:57.00]  Nada más con agarrasen con una chica.
[0:18:57.00]-[0:19:00.00]  Que con tal hecha y le dían una meacica a la pierna.
[0:19:00.00]-[0:19:03.00]  Y ahora las ven desnudas también.
[0:19:03.00]-[0:19:05.00]  En cuanto hace frío.
[0:19:05.00]-[0:19:08.00]  En Zaragoza llevan todos desnudos.
[0:19:08.00]-[0:19:12.00]  Pues qué les queda a los hombres que ven.
[0:19:12.00]-[0:19:13.00]  Nada.
[0:19:13.00]-[0:19:16.00]  Está todo visto y hecho.
[0:19:16.00]-[0:19:20.00]  Así que ahí está la vida.
[0:19:20.00]-[0:19:24.00]  Y ahora no tienes todo ningún arreglo.
[0:19:24.00]-[0:19:28.00]  Porque todo se os parece poco, todo mal, todo eso.
[0:19:28.00]-[0:19:32.00]  Y antes con nada, éramos muy felices.
[0:19:32.00]-[0:19:34.00]  Muy felices.
[0:19:34.00]-[0:19:36.00]  Porque las fiestas de San Blas.
[0:19:36.00]-[0:19:40.00]  Nada, con cuatro magdalenas y con cuatro eso.
