[0:00:00.00]-[0:00:07.00] ...chorizos y las morcillas. Luego para hacer las morcillas, cuecen calabaza.
[0:00:07.00]-[0:00:09.00]  ¿Con calabaza hacen aquí?
[0:03:17.00]-[0:03:24.00]  Y luego, una vez ya he hecho las masas de mostilla y de chorizo.
[0:03:24.00]-[0:03:29.00]  Bien picadito y ya he hecho la masa con el tementón y la sal.
[0:03:29.00]-[0:03:31.00]  Luego ya es cuando empiezan a embutir.
[0:03:31.00]-[0:03:36.00]  Ya con la tripa, compran tipas también para mostillas.
[0:03:36.00]-[0:03:38.00]  Esas tipas que vienen aquí.
[0:03:38.00]-[0:03:40.00]  Que los soban en una artesa.
[0:03:40.00]-[0:03:41.00]  Ya.
[0:03:41.00]-[0:03:42.00]  ¿Cómo hacen?
[0:03:42.00]-[0:03:48.00]  Sí, que en una artesa grande de madera, lo soban bien sobao.
[0:03:48.00]-[0:03:51.00]  Una capa de una cosa, capa de otras.
[0:03:51.00]-[0:03:56.00]  Porque no se lo ponen en una capa de sal, otra capa de tementón.
[0:03:56.00]-[0:03:58.00]  Y lo soban bien sobao, bien sobao.
[0:03:58.00]-[0:04:01.00]  Y lo dejan a lo mejor un día o dos.
[0:04:01.00]-[0:04:03.00]  Perdón, ¿lo soban en qué?
[0:04:03.00]-[0:04:04.00]  Lo soban en la artesa.
[0:04:04.00]-[0:04:05.00]  En una artesa de madera.
[0:04:05.00]-[0:04:07.00]  ¿El qué es lo que soba?
[0:04:07.00]-[0:04:10.00]  Lo soban en la artesa de los chorizos y de las mostillas.
[0:04:10.00]-[0:04:12.00]  ¿Para la masa?
[0:04:12.00]-[0:04:14.00]  Nada más, nada más.
[0:04:14.00]-[0:04:17.00]  Y luego ya bajan unos días.
[0:04:17.00]-[0:04:20.00]  Y luego ya embuten en la tripa.
[0:04:20.00]-[0:04:23.00]  Embuten la mostilla y embuten el chorizo.
[0:04:23.00]-[0:04:28.00]  Luego en alguna habitación, suelen poner balas, los suelen colgar.
[0:04:28.00]-[0:04:30.00]  ¿Y cómo lo atan?
[0:04:30.00]-[0:04:31.00]  Con unos hilos.
[0:04:31.00]-[0:04:35.00]  Pues con los hilos de esos que hay, que venden finitos.
[0:04:35.00]-[0:04:37.00]  ¿Dónde venden los hilos?
[0:04:37.00]-[0:04:41.00]  Los atan, los van embutiendo y los hacen tajos como decimos.
[0:04:41.00]-[0:04:46.00]  Ustedes que a veces tienen así un tajo atado,
[0:04:46.00]-[0:04:49.00]  o por tajo, a lo mejor una mostilla grande con cuatro tajos.
[0:04:49.00]-[0:04:51.00]  Como decimos nosotros, así.
[0:04:51.00]-[0:04:54.00]  Así es como lo hacen.
[0:04:54.00]-[0:04:56.00]  Y luego ya pues...
[0:04:56.00]-[0:04:58.00]  ¿Cuántas mostillas hacían más o menos?
[0:04:58.00]-[0:04:59.00]  ¿Sí?
[0:04:59.00]-[0:05:00.00]  ¿Cuántas mostillas hacían?
[0:05:00.00]-[0:05:03.00]  Bueno, según fuera el cerdo.
[0:05:03.00]-[0:05:04.00]  Un mazo.
[0:05:04.00]-[0:05:07.00]  Si se quería comprar más y hacer más, es según.
[0:05:07.00]-[0:05:08.00]  ¿Y si se quería comprar más?
[0:05:08.00]-[0:05:12.00]  Si querías comprar más, porque se fuera poco, pues hacías más cantidad.
[0:05:12.00]-[0:05:14.00]  Eso es según.
[0:05:14.00]-[0:05:17.00]  Nosotros comprábamos pocos.
[0:05:17.00]-[0:05:20.00]  Mi madre mataba un cochino pequeño.
[0:05:20.00]-[0:05:23.00]  ¿Usted siempre ha vivido en el pueblo, no ha salido del pueblo?
[0:05:23.00]-[0:05:26.00]  Yo soy de aquí, de Balcódele, de Ávila y he vivido toda la vida.
[0:05:26.00]-[0:05:28.00]  ¿Está casada también con un señor de...
[0:05:28.00]-[0:05:29.00]  No, yo estoy soltera.
[0:05:29.00]-[0:05:30.00]  Ah, está soltera.
[0:05:30.00]-[0:05:31.00]  Estamos solteros, estos campesinos.
[0:05:31.00]-[0:05:32.00]  Y esta también.
[0:05:32.00]-[0:05:33.00]  Sí, todos.
[0:05:33.00]-[0:05:36.00]  Lo que pasa es que he estado 17 años en Madrid.
[0:05:36.00]-[0:05:38.00]  17 años en Madrid.
[0:05:38.00]-[0:05:39.00]  Ajá.
[0:05:39.00]-[0:05:42.00]  Y luego falleció mi madre en 1992, si me vine.
[0:05:42.00]-[0:05:43.00]  ¿Estuvo trabajando en Madrid?
[0:05:43.00]-[0:05:48.00]  Sí, estuve colocada en la presa de Bernard, donde estoy, ya me militaste.
[0:05:48.00]-[0:05:49.00]  Vale.
[0:05:49.00]-[0:05:51.00]  En frente del Ministerio de Justicia.
[0:05:51.00]-[0:05:53.00]  ¿Usted también ha vivido fuera?
[0:05:53.00]-[0:05:54.00]  Yo no, Majestad.
[0:05:54.00]-[0:05:56.00]  Yo nada más que me he ido por el pueblo.
[0:05:56.00]-[0:05:57.00]  Bueno, pero...
[0:05:57.00]-[0:06:02.00]  Es que luego necesitábamos a alguien que no hubiera salido del pueblo nunca.
[0:06:02.00]-[0:06:04.00]  Porque usted ha vivido mucho tiempo en Madrid.
[0:06:04.00]-[0:06:06.00]  Yo estaba aquí muchos años.
[0:06:06.00]-[0:06:07.00]  No, pero...
[0:06:07.00]-[0:06:09.00]  Cuando yo no fui a Madrid, yo tenía ya...
[0:06:09.00]-[0:06:10.00]  Estaba en 2013.
[0:06:10.00]-[0:06:11.00] ...muchos años.
[0:06:11.00]-[0:06:12.00]  En este sí ha estado aquí.
[0:06:12.00]-[0:06:13.00]  Tiempo.
[0:06:13.00]-[0:06:14.00]  Sí, sí, sí.
[0:06:14.00]-[0:06:15.00]  Me criaba aquí todo.
[0:06:15.00]-[0:06:17.00]  Pues qué na diríamos, una persona mayor usted.
[0:06:17.00]-[0:06:18.00]  Claro.
[0:06:18.00]-[0:06:22.00]  Yo no, porque la voy a decir, que me queda muy poco de España que recorrer.
[0:06:22.00]-[0:06:25.00]  Porque mi madre se llevaba muy bien con las monjas.
[0:06:25.00]-[0:06:26.00]  Sí.
[0:06:26.00]-[0:06:29.00]  Y resulta que cuando mi madre se murió, pues claro...
[0:06:29.00]-[0:06:30.00]  Pero todo esto se agarra, ¿no?
[0:06:30.00]-[0:06:33.00]  Me esperaban a la salida.
[0:06:33.00]-[0:06:34.00]  Claro que sí.
[0:06:34.00]-[0:06:35.00]  Y resulta que...
[0:06:35.00]-[0:06:36.00]  Estaba muy bien en la maza.
[0:06:36.00]-[0:06:39.00]  Que claro, a ellas pues haríamos la amistad.
[0:06:39.00]-[0:06:43.00]  Y eran como vosotras si estáis en colegios.
[0:06:43.00]-[0:06:45.00]  Pues cuando le hacían, me llevaban.
[0:06:45.00]-[0:06:49.00]  Así que yo he recorrido casi toda España.
[0:06:49.00]-[0:06:52.00]  Bueno, pero yo no, yo no soy más que Madrid, que llegando.
[0:06:52.00]-[0:06:53.00]  Yo sí, yo sí.
[0:06:53.00]-[0:06:55.00]  Y ahora esperando a irnos a la residencia.
[0:06:55.00]-[0:06:58.00]  Que era lo que me ha parado esta, por la residencia.
[0:06:58.00]-[0:07:00.00]  Sí, sí.
[0:07:00.00]-[0:07:03.00]  Así que, ¿qué más queréis saber del barco?
[0:07:03.00]-[0:07:05.00]  Bueno, con los huesos del cerdo...
[0:07:05.00]-[0:07:06.00]  Pero...
[0:07:06.00]-[0:07:09.00]  Pero no he vivido 17 años en un vídeo del Lomba.
[0:07:09.00]-[0:07:10.00]  ¿Qué quieres?
[0:07:10.00]-[0:07:12.00]  Que con los huesos del cerdo, ¿qué hacían?
[0:07:12.00]-[0:07:13.00]  Polmida, se salaban.
[0:07:13.00]-[0:07:14.00]  Los huesos.
[0:07:14.00]-[0:07:17.00]  La costilla, la que no era adobada, adobada es...
[0:07:17.00]-[0:07:18.00]  Sí.
[0:07:18.00]-[0:07:19.00]  Adobada es...
[0:07:19.00]-[0:07:21.00]  Pimetón, sal y orégano.
[0:07:21.00]-[0:07:22.00]  Igual que los chorizos.
[0:07:22.00]-[0:07:23.00]  Igual que lo de los chorizos.
[0:07:23.00]-[0:07:24.00]  Igual.
[0:07:24.00]-[0:07:25.00]  Eso es mojado.
[0:07:25.00]-[0:07:31.00]  Y luego, a continuación, cuando comprendías unos días que estaba ya salado la cosa...
[0:07:31.00]-[0:07:32.00]  Se saca.
[0:07:32.00]-[0:07:37.00]  Ya se saca, y en unos palos, y luego los chorizos se colgaban al humo.
[0:07:37.00]-[0:07:38.00]  ¿Cuánto tiempo?
[0:07:38.00]-[0:07:39.00]  Al humo.
[0:07:39.00]-[0:07:40.00]  ¿Cuánto tiempo más?
[0:07:40.00]-[0:07:42.00]  Los chorizos, cuando comprendías que estaban...
[0:07:42.00]-[0:07:43.00]  ¿Dónde ponían los chorizos?
[0:07:43.00]-[0:07:44.00]  Ya como...
[0:07:44.00]-[0:07:45.00]  ¿Dónde colgaban?
[0:07:45.00]-[0:07:46.00]  El mes.
[0:07:46.00]-[0:07:47.00]  ¿Y donde ponían?
[0:07:47.00]-[0:07:48.00]  Se suelen poner como blancos.
[0:07:48.00]-[0:07:50.00]  Se ponían colgados de arriba de las...
[0:07:50.00]-[0:07:51.00]  De los techos.
[0:07:51.00]-[0:07:52.00]  Sí.
[0:07:52.00]-[0:07:53.00]  Ponían palos o ganchos.
[0:07:53.00]-[0:07:54.00]  Se ponían...
[0:07:54.00]-[0:07:55.00]  ¿Como ganchos?
[0:07:55.00]-[0:07:59.00]  Como un cachito de lia, y en el palo, pues ahí se metían los chorizos.
[0:07:59.00]-[0:08:00.00]  En una habitación...
[0:08:00.00]-[0:08:01.00]  Hasta que se secaran.
[0:08:01.00]-[0:08:02.00]  Y metías, pues eso...
[0:08:02.00]-[0:08:03.00]  Y las morcillas.
[0:08:03.00]-[0:08:06.00]  Y las morcillas se metían en las chimeneas.
[0:08:06.00]-[0:08:07.00]  Bueno, pero también...
[0:08:07.00]-[0:08:08.00]  Esas antiguas.
[0:08:08.00]-[0:08:10.00]  También se les ponía también unos chorizos.
[0:08:10.00]-[0:08:11.00]  No.
[0:08:11.00]-[0:08:15.00]  Casi siempre las morcillas era la que tenía el hombre baja toda la vida.
[0:08:15.00]-[0:08:17.00]  Bueno, el zólder me ha aprovechado.
[0:08:17.00]-[0:08:18.00]  Ya más, todos esos...
[0:08:18.00]-[0:08:20.00]  Luego se salan los jamones.
[0:08:20.00]-[0:08:21.00]  También.
[0:08:21.00]-[0:08:23.00]  Los jamones después se salen.
[0:08:23.00]-[0:08:24.00]  Como esa...
[0:08:24.00]-[0:08:26.00]  Con el pimentón y todo eso, ¿no?
[0:08:26.00]-[0:08:29.00]  No, eso luego ya es la que le quiere...
[0:08:29.00]-[0:08:32.00]  Si quiere con pimentón y quino, tal y como está.
[0:08:32.00]-[0:08:35.00]  Después de salado, se salan y se le dan...
[0:08:35.00]-[0:08:39.00]  Se le tienen tres semanas o quince días, a ropallito, por abajo y por arriba.
[0:08:39.00]-[0:08:40.00]  Sí, pero...
[0:08:40.00]-[0:08:42.00]  Y no una sola porque no se graba...
[0:08:42.00]-[0:08:43.00]  Si no, se oye fatal.
[0:08:43.00]-[0:08:44.00]  Pero es que estaba terminada.
[0:08:44.00]-[0:08:45.00]  Usted...
[0:08:45.00]-[0:08:46.00]  Siga, siga.
[0:08:46.00]-[0:08:47.00]  Esta lo está apuntando.
[0:08:47.00]-[0:08:48.00]  Explica la del lomo.
[0:08:48.00]-[0:08:49.00]  Sí.
[0:08:49.00]-[0:08:50.00]  Lo de...
[0:08:50.00]-[0:08:51.00]  Los lomos.
[0:08:51.00]-[0:08:52.00]  Ah, lo dos.
[0:08:52.00]-[0:08:53.00]  El adobado, el mismo.
[0:08:53.00]-[0:08:54.00]  Sí.
[0:08:54.00]-[0:08:55.00]  ¿En qué consiste?
[0:08:55.00]-[0:09:02.00]  Y luego se saca, se seca y luego a continuación pues se mete en aceite o se mete en una bola.
[0:09:02.00]-[0:09:03.00]  Con la...
[0:09:03.00]-[0:09:04.00]  Con tripa, si se dice.
[0:09:04.00]-[0:09:05.00]  ¿En una bola?
[0:09:05.00]-[0:09:06.00]  Como una bola...
[0:09:06.00]-[0:09:07.00]  Sí.
[0:09:07.00]-[0:09:08.00]  De...
[0:09:08.00]-[0:09:09.00]  Batada.
[0:09:09.00]-[0:09:10.00]  De tripa.
[0:09:10.00]-[0:09:12.00]  Ahí es, espérate, que me acuerde.
[0:09:12.00]-[0:09:13.00]  De las mantecas.
[0:09:13.00]-[0:09:14.00]  Ah, sí.
[0:09:14.00]-[0:09:17.00]  La tripa de la manteca se saca.
[0:09:17.00]-[0:09:18.00]  La tripa de la manteca.
[0:09:18.00]-[0:09:20.00]  Sí, que tiene la manteca...
[0:09:20.00]-[0:09:22.00]  De la manteca.
[0:09:22.00]-[0:09:23.00]  Está toda, un velo.
[0:09:23.00]-[0:09:24.00]  Del cerdo, la tripa.
[0:09:24.00]-[0:09:25.00]  Un velo.
[0:09:25.00]-[0:09:26.00]  La tripa del cerdo.
[0:09:26.00]-[0:09:27.00]  Sí.
[0:09:27.00]-[0:09:28.00]  Y luego la manteca se deshace.
[0:09:28.00]-[0:09:29.00]  Ah, pero ¿cómo la deshacía?
[0:09:29.00]-[0:09:30.00]  Puedes hablar un poco.
[0:09:30.00]-[0:09:31.00]  No, es que si no, no se oye.
[0:09:31.00]-[0:09:32.00]  Una sola, una sola.
[0:09:32.00]-[0:09:33.00]  Se deshace la manteca.
[0:09:33.00]-[0:09:34.00]  ¿Se piden?
[0:09:34.00]-[0:09:35.00]  Ya la llamamos chicharros.
[0:09:35.00]-[0:09:36.00]  Déjela hablar a ella.
[0:09:36.00]-[0:09:37.00]  Y luego se hacen unos chicharrenes que la gente se los come con azúcar.
[0:09:37.00]-[0:09:38.00]  No hable.
[0:09:38.00]-[0:09:39.00]  Una sola, por favor.
[0:09:39.00]-[0:09:40.00]  Porque si no...
[0:09:40.00]-[0:09:41.00]  Yo es que lo he visto en la TV.
[0:09:41.00]-[0:09:42.00]  ¿Qué?
[0:09:42.00]-[0:09:43.00]  ¿Qué?
[0:09:43.00]-[0:09:44.00]  ¿Qué?
[0:09:44.00]-[0:09:45.00]  ¿Qué?
[0:09:45.00]-[0:09:46.00]  ¿Qué?
[0:09:46.00]-[0:09:50.00]  ¿Qué?
[0:09:50.00]-[0:09:54.00]  ¿Qué?
[0:09:54.00]-[0:09:58.00]  ¿Qué?
[0:09:58.00]-[0:10:02.00]  ¿Qué?
[0:10:02.00]-[0:10:06.00]  ¿Qué?
[0:10:06.00]-[0:10:10.00]  ¿Qué?
[0:10:10.00]-[0:10:14.00]  ¿Qué?
[0:10:14.00]-[0:10:18.00]  ¿Qué?
[0:10:18.00]-[0:10:22.00]  ¿Qué?
[0:10:22.00]-[0:10:26.00]  ¿Qué?
[0:10:26.00]-[0:10:30.00]  ¿Qué?
[0:10:30.00]-[0:10:34.00]  ¿Qué?
[0:10:34.00]-[0:10:38.00]  ¿Qué?
[0:10:38.00]-[0:10:42.00]  ¿Qué?
[0:10:42.00]-[0:10:46.00]  ¿Qué?
[0:10:46.00]-[0:10:50.00]  ¿Qué?
[0:10:50.00]-[0:10:54.00]  ¿Qué?
[0:10:54.00]-[0:10:58.00]  ¿Qué?
[0:10:58.00]-[0:11:02.00]  ¿Qué?
[0:11:02.00]-[0:11:06.00]  ¿Qué?
[0:11:06.00]-[0:11:10.00]  ¿Qué?
[0:11:10.00]-[0:11:14.00]  ¿Qué?
[0:11:14.00]-[0:11:18.00]  ¿Qué?
[0:11:18.00]-[0:11:22.00]  ¿Qué?
[0:11:22.00]-[0:11:26.00]  ¿Qué?
[0:11:26.00]-[0:11:30.00]  ¿Qué?
[0:11:30.00]-[0:11:34.00]  ¿Qué?
[0:11:34.00]-[0:11:38.00]  ¿Qué?
[0:11:38.00]-[0:11:42.00]  ¿Qué?
[0:11:42.00]-[0:11:46.00]  ¿Qué?
[0:11:46.00]-[0:11:50.00]  ¿Qué?
[0:11:50.00]-[0:11:54.00]  ¿Qué?
[0:11:54.00]-[0:11:58.00]  ¿Qué?
[0:11:58.00]-[0:12:02.00]  ¿Qué?
[0:12:02.00]-[0:12:06.00]  ¿Qué?
[0:12:06.00]-[0:12:10.00]  ¿Qué?
[0:12:10.00]-[0:12:14.00]  ¿Qué?
[0:12:14.00]-[0:12:18.00]  ¿Qué?
[0:12:18.00]-[0:12:22.00]  ¿Qué?
[0:12:22.00]-[0:12:26.00]  ¿Qué?
[0:12:26.00]-[0:12:30.00]  ¿Qué?
[0:12:30.00]-[0:12:34.00]  ¿Qué?
[0:12:34.00]-[0:12:38.00]  ¿Qué?
[0:12:38.00]-[0:12:42.00]  ¿Qué?
[0:12:42.00]-[0:12:46.00]  ¿Qué?
[0:12:46.00]-[0:12:50.00]  ¿Qué?
[0:12:50.00]-[0:12:54.00]  ¿Qué?
[0:12:54.00]-[0:12:58.00]  ¿Qué?
[0:12:58.00]-[0:13:02.00]  ¿Qué?
[0:13:02.00]-[0:13:06.00]  ¿Qué?
[0:13:06.00]-[0:13:10.00]  ¿Qué?
[0:13:10.00]-[0:13:14.00]  ¿Qué?
[0:13:14.00]-[0:13:18.00]  ¿Qué?
[0:13:18.00]-[0:13:22.00]  ¿Qué?
[0:13:22.00]-[0:13:26.00]  ¿Qué?
[0:13:26.00]-[0:13:30.00]  ¿Qué?
[0:13:30.00]-[0:13:34.00]  ¿Qué?
[0:13:34.00]-[0:13:38.00]  ¿Qué?
[0:13:38.00]-[0:13:42.00]  ¿Qué?
[0:13:42.00]-[0:13:46.00]  ¿Qué?
[0:13:46.00]-[0:13:50.00]  ¿Qué?
[0:13:50.00]-[0:13:54.00]  ¿Qué?
[0:13:54.00]-[0:13:58.00]  ¿Qué?
[0:13:58.00]-[0:14:02.00]  ¿Qué?
[0:14:02.00]-[0:14:06.00]  ¿Qué?
[0:14:06.00]-[0:14:10.00]  ¿Qué?
[0:14:10.00]-[0:14:14.00]  ¿Qué?
[0:14:14.00]-[0:14:18.00]  ¿Qué?
[0:14:18.00]-[0:14:22.00]  ¿Qué?
[0:14:22.00]-[0:14:26.00]  ¿Qué?
[0:14:26.00]-[0:14:30.00]  ¿Qué?
[0:14:30.00]-[0:14:34.00]  ¿Qué?
[0:14:34.00]-[0:14:38.00]  ¿Qué?
[0:14:38.00]-[0:14:42.00]  ¿Qué?
[0:14:42.00]-[0:14:46.00]  ¿Qué?
[0:14:46.00]-[0:14:50.00]  ¿Qué?
[0:14:50.00]-[0:14:54.00]  ¿Qué?
[0:14:54.00]-[0:14:58.00]  ¿Qué?
[0:14:58.00]-[0:15:02.00]  ¿Qué?
[0:15:02.00]-[0:15:06.00]  ¿Qué?
[0:15:06.00]-[0:15:10.00]  ¿Qué?
[0:15:10.00]-[0:15:14.00]  ¿Qué?
[0:15:14.00]-[0:15:18.00]  ¿Qué?
[0:15:18.00]-[0:15:22.00]  ¿Qué?
[0:15:22.00]-[0:15:26.00]  ¿Qué?
[0:15:26.00]-[0:15:30.00]  ¿Qué?
[0:15:30.00]-[0:15:34.00]  ¿Qué?
[0:15:34.00]-[0:15:38.00]  ¿Qué?
[0:15:38.00]-[0:15:42.00]  ¿Qué?
[0:15:42.00]-[0:15:46.00]  ¿Qué?
[0:15:46.00]-[0:15:50.00]  ¿Qué?
[0:15:50.00]-[0:15:54.00]  ¿Qué?
[0:15:54.00]-[0:15:58.00]  ¿Qué?
[0:15:58.00]-[0:16:02.00]  ¿Qué?
[0:16:02.00]-[0:16:06.00]  ¿Qué?
[0:16:06.00]-[0:16:10.00]  ¿Qué?
[0:16:10.00]-[0:16:14.00]  ¿Qué?
[0:16:14.00]-[0:16:18.00]  ¿Qué?
[0:16:18.00]-[0:16:22.00]  ¿Qué?
[0:16:22.00]-[0:16:26.00]  ¿Qué?
[0:16:26.00]-[0:16:30.00]  ¿Qué?
[0:16:30.00]-[0:16:34.00]  ¿Qué?
[0:16:34.00]-[0:16:38.00]  ¿Qué?
[0:16:38.00]-[0:16:42.00]  ¿Qué?
[0:16:42.00]-[0:16:46.00]  ¿Qué?
[0:16:46.00]-[0:16:50.00]  ¿Qué?
[0:16:50.00]-[0:16:54.00]  ¿Qué?
[0:16:54.00]-[0:16:58.00]  ¿Qué?
[0:16:58.00]-[0:17:02.00]  ¿Qué?
[0:17:02.00]-[0:17:06.00]  ¿Qué?
[0:17:06.00]-[0:17:10.00]  ¿Qué?
[0:17:10.00]-[0:17:14.00]  ¿Qué?
[0:17:14.00]-[0:17:18.00]  ¿Qué?
[0:17:18.00]-[0:17:22.00]  ¿Qué?
[0:17:22.00]-[0:17:26.00]  ¿Qué?
[0:17:26.00]-[0:17:30.00]  ¿Qué?
[0:17:30.00]-[0:17:34.00]  ¿Qué?
[0:17:34.00]-[0:17:38.00]  ¿Qué?
[0:17:38.00]-[0:17:42.00]  ¿Qué?
[0:17:42.00]-[0:17:46.00]  ¿Qué?
[0:17:46.00]-[0:17:50.00]  ¿Qué?
[0:17:50.00]-[0:17:54.00]  ¿Qué?
[0:17:54.00]-[0:17:58.00]  ¿Qué?
[0:17:58.00]-[0:18:02.00]  ¿Qué?
[0:18:02.00]-[0:18:06.00]  ¿Qué?
[0:18:06.00]-[0:18:10.00]  ¿Qué?
[0:18:10.00]-[0:18:14.00]  ¿Qué?
[0:18:14.00]-[0:18:18.00]  ¿Qué?
[0:18:18.00]-[0:18:22.00]  ¿Qué?
[0:18:22.00]-[0:18:26.00]  ¿Qué?
[0:18:26.00]-[0:18:30.00]  ¿Qué?
[0:18:30.00]-[0:18:34.00]  ¿Qué?
[0:18:34.00]-[0:18:38.00]  ¿Qué?
[0:18:38.00]-[0:18:42.00]  ¿Qué?
[0:18:42.00]-[0:18:46.00]  ¿Qué?
[0:18:46.00]-[0:18:50.00]  ¿Qué?
[0:18:50.00]-[0:18:54.00]  ¿Qué?
[0:18:54.00]-[0:18:58.00]  ¿Qué?
[0:18:58.00]-[0:19:02.00]  ¿Qué?
[0:19:02.00]-[0:19:06.00]  ¿Qué?
[0:19:06.00]-[0:19:10.00]  ¿Qué?
[0:19:10.00]-[0:19:14.00]  ¿Qué?
