[0:00:00.00]-[0:00:02.00]  Hola, buenos días.
[0:01:38.00]-[0:01:47.00]  Tuve a los 11 meses el chico y luego mi hijo. Tres hijos que tengo.
[0:01:47.00]-[0:01:54.00]  Este es el nieto que tengo del hijo mayor que tiene dos hijos. Así que eso le puedo decir.
[0:01:54.00]-[0:01:59.00]  ¿Y usted conoce a alguien del pueblo que haya nacido aquí o que quiera?
[0:01:59.00]-[0:02:04.00]  Bueno, pues yo, mire usted, yo he tenido 27 años la tienda.
[0:02:04.00]-[0:02:05.00]  ¿Una tienda aquí?
[0:02:05.00]-[0:02:14.00]  Una tienda. Yo he pinchado, he pinchado bendiciones. He recogido los niños que han nacido.
[0:02:14.00]-[0:02:16.00]  De comadrona también.
[0:02:16.00]-[0:02:21.00]  He cogido y amortajado el señor o señora que ha muerto o niño.
[0:02:21.00]-[0:02:29.00]  Y lo que he podido hacer lo he hecho. Muy a gusto y me quieren mucho, me han querido y yo los quiero también.
[0:02:29.00]-[0:02:32.00]  Eso le puedo decir de la aldea.
[0:02:32.00]-[0:02:46.00]  Yo he estado muy bien aquí. He tenido tienda. A mí me ha encercado mucho porque no es lo mismo una capital que un pueblo que te necesitas a cualquier hora de necesidad, de lo que sea.
[0:02:46.00]-[0:02:49.00]  Y eso vale mucho aquí. Y tienda y eso.
[0:02:49.00]-[0:02:57.00]  Lo que pasa es que ahora, pues por las circunstancias, murió bastante gente aquí. No menos 7 u 8, ya mayores.
[0:02:57.00]-[0:03:03.00]  Los otros ya se han marchado a casa, hay a pedrones que tienen familia o a Valencia.
[0:03:03.00]-[0:03:06.00]  Y ya se ha quedado esto muy pobre de personas.
[0:03:06.00]-[0:03:08.00]  Queda muy poca gente aquí entonces.
[0:03:08.00]-[0:03:13.00]  Sí, aquí habemos 6 vecinos. Y aquí estoy sola.
[0:03:13.00]-[0:03:23.00]  Bueno, están mis hijos, uno en la cabezuela, otro en Cofrentes y otro aquí. Eso le puedo decir.
[0:03:23.00]-[0:03:38.00]  ¿Usted conoce a alguien de aquí del pueblo de toda la vida que tenga más o menos su edad, que sea nacido aquí en el pueblo y que esté aquí y nos pueda contar un poco?
[0:03:38.00]-[0:03:41.00]  Hombre, pues yo qué le voy a decir.
[0:03:41.00]-[0:03:59.00]  Pues aquí ya, hijos, hijos. De los que murieron, nada de esos porque mi padre, bueno, mi padre murió, pues mi marido, mi padre no me acuerdo, pero mi marido murió de 90 años.
[0:03:59.00]-[0:04:02.00]  Hace 3 años va a ser el día de los santos.
[0:04:02.00]-[0:04:14.00]  Y los que quedan, pues mi suero ya murió, ya muy mayor y gente que se ha ido a Valencia y ha muerto allí. Y aquí nada más si hay hijos.
[0:04:14.00]-[0:04:19.00]  Y aquí hemos visto una casa que ponía Paco, ¿cómo era?
[0:04:19.00]-[0:04:26.00]  Paco... Sí, aquí hay un... Ahí en junto a los contenedores.
[0:04:26.00]-[0:04:38.00]  Ese es de Benifayo que se ha marchado hoy, que tiene un poquito de huerta y se va y viene y está algo delicado y suele ir al médico y todo eso.
[0:04:38.00]-[0:04:45.00]  Y me dijo ayer que vino aquí y dice... Yo me marcho, dice, por si acaso preguntan por mí. Digo, me parece muy bien.
[0:04:45.00]-[0:04:49.00]  Pero hemos visto ahora a un señor en esa casa, ¿podría ser él?
[0:04:49.00]-[0:04:50.00]  ¿Ahora?
[0:04:50.00]-[0:04:51.00]  Sí.
[0:04:51.00]-[0:04:56.00]  Pues se había ido, no sé...
[0:04:56.00]-[0:05:00.00]  ¿Usted sabe si él es de cerca de aquí, muy cerca de aquí?
[0:05:00.00]-[0:05:02.00]  ¿Qué? ¿Quién ahí, aquí?
[0:05:02.00]-[0:05:04.00]  Ha dicho que era de Benifayo.
[0:05:04.00]-[0:05:05.00]  Sí.
[0:05:05.00]-[0:05:07.00]  ¿Y Benifayo dónde está? ¿Cerca de aquí?
[0:05:07.00]-[0:05:10.00]  Eso está por Valencia.
[0:05:10.00]-[0:05:11.00]  Ah.
[0:05:11.00]-[0:05:14.00]  Sí, sí. Eso está ahí por Valencia.
[0:05:14.00]-[0:05:17.00]  Es que esto se considera una aldea, ¿verdad?
[0:05:17.00]-[0:05:21.00]  Sí, sí. Esto es una aldea, una aldea de ahí de Requena.
[0:05:21.00]-[0:05:22.00]  Claro.
[0:05:22.00]-[0:05:26.00]  Esto pertenece a Requena y Pedrones y todo eso, ¿saben?
[0:05:26.00]-[0:05:35.00]  Y desde la cabezuela me parece que es Castiblanques, luego viene, luego la... No.
[0:05:35.00]-[0:05:42.00]  Castiblanques y Biñuelas. Y luego la Caña. Y luego la Venta.
[0:05:42.00]-[0:05:48.00]  Esas ya pertenecen a Valencia también, pero por otro lado, ¿sabe usted?
[0:05:48.00]-[0:05:52.00]  No por aquí por Requena, que es eso, la aldea que van a eso.
[0:05:52.00]-[0:05:56.00]  Así que yo le puedo decir nada más de eso.
[0:05:56.00]-[0:06:02.00]  Y aquí nada más está el primo Ángel, que es el único que queda de familiares,
[0:06:02.00]-[0:06:09.00]  ya de sus padres que murieron hace 20 o 20 y algún año.
[0:06:09.00]-[0:06:16.00]  Sus padres, bueno, sus padres murieron no muy viejos, su madre murió mayor.
[0:06:16.00]-[0:06:21.00]  Y sus padres de los abuelos ya murieron hace mucho tiempo, que eran familia de mi marido.
[0:06:21.00]-[0:06:24.00]  Solían haber aquí mucha familia.
[0:06:24.00]-[0:06:27.00]  Y una pregunta, ¿y antiguamente tenían animales en casa?
[0:06:27.00]-[0:06:33.00]  Sí, aquí siempre ha habido animales. Bueno, en mi casa siempre, siempre.
[0:06:33.00]-[0:06:38.00]  Cerdos para matar, hacían las matanzas y todo eso. Sí.
[0:06:38.00]-[0:06:40.00]  ¿Y cómo era? ¿Qué comían?
[0:06:40.00]-[0:06:48.00]  ¿Qué comían? Pues ponían ceba, bueno, la molían los molinos y le hacían harina y se le molía,
[0:06:48.00]-[0:06:59.00]  y se les ponía alfalce o hojas de remolacha o calabaza o remolachas, lo que daba el tiempo.
[0:06:59.00]-[0:07:00.00]  Lo que daba el tiempo.
[0:07:00.00]-[0:07:02.00]  ¿Y cuántas veces de comer?
[0:07:02.00]-[0:07:09.00]  Que cuántas veces, solo se le daba una. Y si se mataban, pues se les daban, se les solían poner dos veces
[0:07:09.00]-[0:07:16.00]  para que engordaran, para que se les hacía, se hacía la matanza. Aquí se ha hecho muchas matanzas, ¿saben? Sí.
[0:07:16.00]-[0:07:18.00]  ¿Y cómo era un día de matanza?
[0:07:18.00]-[0:07:23.00]  Oh, pues el día de matanza, pues nada, pues se cocía la cebolla para hacer morcillas,
[0:07:23.00]-[0:07:30.00]  se escurría bien en un saco y eso, y luego pues nada, se mataba el cerdo y con la sangre
[0:07:30.00]-[0:07:40.00]  y la manteca se hacían las morcillas, luego se cocían, se ponían en una lata, colgadas en un techo de cocina
[0:07:40.00]-[0:07:45.00]  o eso para que hubiese calentón y nada, se secaban.
[0:07:45.00]-[0:07:46.00]  ¿Y cuánto tiempo estaban ahí?
[0:07:46.00]-[0:07:52.00]  Pues 15 días, unos 15 días que hubiese calentón.
[0:07:52.00]-[0:07:57.00]  Y qué le iba a decir, pero ¿quién mataba?
[0:07:57.00]-[0:08:02.00]  Quién mataba los matadores, que tenían los matadores para matarlos los cerdos.
[0:08:02.00]-[0:08:03.00]  ¿Había en el cuarto?
[0:08:03.00]-[0:08:04.00]  Sí, sí, sí, sí.
[0:08:04.00]-[0:08:05.00]  Entonces, ¿cuándo?
[0:08:05.00]-[0:08:08.00]  Se le llamaba a un primo, un primo con...
[0:08:08.00]-[0:08:09.00]  Ah.
[0:08:09.00]-[0:08:10.00]  Sí.
[0:08:10.00]-[0:08:12.00]  ¿Y cómo era la matanza realmente?
[0:08:12.00]-[0:08:20.00]  Pues la matanza, pues se hacía, pues eso, se lavaban las tripas, se adobaban con inojo y cosas de eso
[0:08:20.00]-[0:08:25.00]  para que no goliensen y todo eso y luego pues se hacía la matanza,
[0:08:25.00]-[0:08:28.00]  se ponía todas las carnes, se molían.
[0:08:28.00]-[0:08:30.00]  Nos quedamos, nos quedamos nosotros con usted, ¿vale?
[0:08:30.00]-[0:08:31.00]  Sí.
[0:08:31.00]-[0:08:32.00]  Y se van a buscar otra persona.
[0:08:32.00]-[0:08:34.00]  Pero voy a sacar un cuaderno si no le importa.
[0:08:34.00]-[0:08:35.00]  ¿Un cuaderno?
[0:08:35.00]-[0:08:39.00]  A ver si ahora, a ver si ahora me hace yo la rifa, ¿eh?
[0:08:39.00]-[0:08:42.00]  No, no, no, nos estáis contando muchísimas cosas muy interesantes.
[0:08:42.00]-[0:08:44.00]  No, no, lo que le digo es toda la verdad, ¿eh?
[0:08:44.00]-[0:08:45.00]  Sí, sí.
[0:08:45.00]-[0:08:46.00]  ¿Eh? Verdad, todo.
[0:08:46.00]-[0:08:47.00]  Sí, sí.
[0:08:47.00]-[0:08:48.00]  ¿Un cuaderno quiere decir un qué?
[0:08:48.00]-[0:08:50.00]  Un, para apuntar, una hoja.
[0:08:50.00]-[0:08:51.00]  Una hoja.
[0:08:51.00]-[0:08:52.00]  Claro.
[0:08:52.00]-[0:08:53.00]  Sí, sí, sí.
[0:08:53.00]-[0:08:55.00]  ¿Un cuaderno?
[0:08:55.00]-[0:08:58.00]  No, no, pero no usted, no, no, nosotros tenemos, no se preocupen.
[0:08:58.00]-[0:08:59.00]  Sí, sí, sí.
[0:08:59.00]-[0:09:01.00]  Sí, me parece muy bien.
[0:09:01.00]-[0:09:03.00]  Si quieren pasar la casa, pueden.
[0:09:03.00]-[0:09:04.00]  Si quieren, nos podemos entrar.
[0:09:04.00]-[0:09:05.00]  Hombre, sí, sí, sí.
[0:09:05.00]-[0:09:07.00]  Vaya, ¿qué fuerza es?
[0:09:07.00]-[0:09:08.00]  Aquí mismo, si quiera.
[0:09:08.00]-[0:09:09.00]  Donde sea, donde sea.
[0:09:09.00]-[0:09:10.00]  Donde sea, donde sea.
[0:09:10.00]-[0:09:11.00]  Quiera.
[0:09:11.00]-[0:09:12.00]  Quiera.
[0:09:12.00]-[0:09:13.00]  Donde sea, donde sea.
[0:09:13.00]-[0:09:16.00]  Mire, aquí tengo que estoy cosiendo ahí un poquito, pero mire,
[0:09:16.00]-[0:09:20.00]  aquí no le me invito porque esta, esta, mire,
[0:09:20.00]-[0:09:25.00]  esta es la casa que tengo, pero sé que, que le dé, la esa, ¿sabes?
[0:09:25.00]-[0:09:26.00]  ¿Qué le darte?
[0:09:26.00]-[0:09:27.00]  Estas son las casas.
[0:09:27.00]-[0:09:28.00]  Sí, sí, sí.
[0:09:28.00]-[0:09:29.00]  Y aquí, ¿sabiste?
[0:09:29.00]-[0:09:33.00]  Mis hijos son cazadores, uno tiene la nuclear y dos son las bañiles.
[0:09:33.00]-[0:09:34.00]  Ajá.
[0:09:34.00]-[0:09:38.00]  Y eso, eso le puedo decir, ¿sabe usted?
[0:09:38.00]-[0:09:39.00]  Sí, sí.
[0:09:39.00]-[0:09:45.00]  Aquí, quiero decirle que aquí son casas que están unas dentro de otras con otras,
[0:09:45.00]-[0:09:52.00]  mire, mire usted, mire, mire la, la, la pared que tienen y mire la pared que tienen, mire,
[0:09:52.00]-[0:09:59.00]  mire, mire la pared que tienen si son huesas para abrir calentón, a ver, en el invierno
[0:09:59.00]-[0:10:00.00]  está caliente.
[0:10:00.00]-[0:10:01.00]  En el desayunamiento.
[0:10:01.00]-[0:10:06.00]  En el desayunamiento, en el verano está fresco y luego en el invierno, pues se hace más
[0:10:06.00]-[0:10:10.00]  fresco, por eso tengo las tufas grandotas aquí, mire, ¿verdad?
[0:10:10.00]-[0:10:11.00]  Claro.
[0:10:11.00]-[0:10:12.00]  ¿La ve?
[0:10:12.00]-[0:10:13.00]  Sí, sí, qué bonita.
[0:10:13.00]-[0:10:15.00]  ¿Casa, casa de...
[0:10:15.00]-[0:10:17.00]  No, pero muy bien.
[0:10:17.00]-[0:10:19.00]  De campo, de campo, ¿no?
[0:10:19.00]-[0:10:21.00]  Eso, y esto por aquí se sube, ¿verdad?
[0:10:21.00]-[0:10:23.00]  A una caseta que tengo arriba.
[0:10:23.00]-[0:10:24.00]  Sí, sí.
[0:10:24.00]-[0:10:25.00]  Y eso.
[0:10:25.00]-[0:10:27.00]  Pues sí, pero no sentamos aquí, donde usted diga.
[0:10:27.00]-[0:10:29.00]  Aquí, ahora un poquito más de fresco.
[0:10:29.00]-[0:10:30.00]  Sí, pero si...
[0:10:30.00]-[0:10:32.00]  Voy a sacar aquí la silla para ver.
[0:10:32.00]-[0:10:33.00]  Sí, no...
[0:10:33.00]-[0:10:47.00]  Ah, gracias, aquí está donde queda.
[0:10:47.00]-[0:10:53.00]  Si quieren, ahí...
[0:10:53.00]-[0:10:56.00]  Sí, aquí hay otra silla.
[0:10:56.00]-[0:10:57.00]  Muy bien.
[0:10:57.00]-[0:10:58.00]  Me estaba...
[0:10:58.00]-[0:11:00.00]  Nos estaba contando lo del cerdo.
[0:11:00.00]-[0:11:01.00]  Lo del cerdo.
[0:11:01.00]-[0:11:02.00]  Sí.
[0:11:02.00]-[0:11:03.00]  Sí, eso del cerdo.
[0:11:03.00]-[0:11:07.00]  El cerdo se mataba y se ponían...
[0:11:07.00]-[0:11:15.00]  Había gas, se echaba el cerdo encima de una mesa, se volteo, le gollaba y había un lebrillo
[0:11:15.00]-[0:11:16.00]  debajo.
[0:11:16.00]-[0:11:21.00]  Se le iba dando con un trozo de caña y una poquita de sal para que no se cortase para
[0:11:21.00]-[0:11:22.00]  luego...
[0:11:22.00]-[0:11:23.00]  ¿La sangre?
[0:11:23.00]-[0:11:25.00]  La sangre, porque nos hicieron cuajos, ¿sabes?
[0:11:25.00]-[0:11:31.00]  Y dándole, dándole hasta que un poquito se enfriaba ya y el cerdo había muerto, pues
[0:11:31.00]-[0:11:37.00]  entonces el cerdo se había muerto, la sangre ya no había peligro.
[0:11:37.00]-[0:11:42.00]  Ya se acortaba la sangre y ya no se cuajaban y pasaba nada.
[0:11:42.00]-[0:11:47.00]  Y nada, y entonces se dejaban muerto encima de la mesa y con unas aliagas de esa remonte
[0:11:47.00]-[0:11:48.00]  que pinchan...
[0:11:48.00]-[0:11:49.00]  ¿Qué son las aliagas?
[0:11:49.00]-[0:11:51.00]  Ahora se las asoma, ve que están ahí.
[0:11:51.00]-[0:11:58.00]  Unas aliagas se cogían del rabo, se encendían y se le ponían por todo, por todo, por todo,
[0:11:58.00]-[0:11:59.00]  por todo, por todo.
[0:11:59.00]-[0:12:06.00]  Y entonces cogían unas piedras que estaban así agujereadas y rascaban y se le quitaban
[0:12:06.00]-[0:12:09.00]  la piel y se lavaba el cerdo.
[0:12:09.00]-[0:12:16.00]  Y cuando estaba lavado, pues entonces se ponía, se cortaban las patas primero y luego se ponían
[0:12:16.00]-[0:12:20.00]  así con el tocote de eso y el de la pata y el de atrás.
[0:12:20.00]-[0:12:23.00]  Eso es todo el verdadero que les digo yo a ustedes.
[0:12:23.00]-[0:12:25.00]  Madre mía, mi padre, mi madre.
[0:12:25.00]-[0:12:30.00]  Nosotros éramos de la bolsilla y tenía mi padre mucha y matábamos a lo mejor tres o
[0:12:30.00]-[0:12:36.00]  cuatro cerdos primero para comer y luego más tarde ya se habían comido un poco lo de aquello,
[0:12:36.00]-[0:12:37.00]  pues otros.
[0:12:37.00]-[0:12:43.00]  Y se hacían así y entonces se cogía, perdone que le haga esto, aquí, aquí, aquí, y el
[0:12:43.00]-[0:12:44.00]  lomo del cerdo.
[0:12:44.00]-[0:12:47.00]  Una cortada por aquí y otra por aquí.
[0:12:47.00]-[0:12:48.00]  Dos.
[0:12:48.00]-[0:12:54.00]  Y entonces se les tiraba del rabo, sabe usted, era así de atrás y se tiraba y entonces salía
[0:12:54.00]-[0:12:57.00]  la loncha, que le decían la loncha.
[0:12:57.00]-[0:13:00.00]  Y esto eran los intermediados, las de esas.
[0:13:00.00]-[0:13:09.00]  Se tendían el cerdo y entonces ya se sacaban el espinazo, bueno, primero los lomos que
[0:13:09.00]-[0:13:15.00]  van a agarrarse las costillas y luego las costillas, sabe, se abría el cerdo, se sacaban
[0:13:15.00]-[0:13:21.00]  los brazuelos que dicen, lo de adelante, los jamones que eran para secarlos y prepararlos
[0:13:21.00]-[0:13:28.00]  y todo eso y ya se cogían los intermediados estos que dicen de aquí, de eso.
[0:13:28.00]-[0:13:33.00]  Se hacían trozos todos, se ponían unas latas en el terrao y se lavaban.
[0:13:33.00]-[0:13:38.00]  Y lo otro después se ponía en un suelo, en una sábana para que se lara, para que
[0:13:38.00]-[0:13:44.00]  se pudiera quitar la grasa que tenían los perniles y todo eso para hacer eso, los narizas
[0:13:44.00]-[0:13:50.00]  y los lomos si los querías y los intermediados esos que tenían también, los de las costillas
[0:13:50.00]-[0:13:58.00]  tenían algo de jamón, de carne y se cogía todo eso, se cogía y se molían máquinas
[0:13:58.00]-[0:14:06.00]  de estas que tienen agujeros, máquinas de partir y se echaban en lebrero la carne y
[0:14:06.00]-[0:14:14.00]  se ponía pimienta, canela, pimentón y agua de hinojo, unos ajos picados y todo eso era
[0:14:14.00]-[0:14:21.00]  lo que se le ponía, se tardaba bien bien eso y eso se dejaba pues a lo mejor 8 o 10 horas
[0:14:21.00]-[0:14:29.00]  para que eso se pusiera bien gustoso, se cogiera bien eso.
[0:14:29.00]-[0:14:37.00]  Luego se cogía una sartén neta pequeña y se echaba un trocito, un puñado de carne
[0:14:37.00]-[0:14:43.00]  de eso y se freía para probarle si estaba dulce o salado o estaba en buen punto de
[0:14:43.00]-[0:14:50.00]  todo eso porque como se le echaba el ajo y el agua de hinojo se cogía el hinojo y esa
[0:14:50.00]-[0:14:56.00]  agua se le echaba para todo de gusto y la morcilla, vamos a la morcilla, por la morcilla
[0:14:56.00]-[0:15:06.00]  se cogía y se ponían un saco de estos de espanto que se decía antes, que se escurría
[0:15:06.00]-[0:15:14.00]  más, se le ponía lo mejor encima piedras o una losa, una madera para que se escurriese
[0:15:14.00]-[0:15:20.00]  y cuando estaba escurrido entonces se molía en la máquina esa que dio, eso era la cebolla
[0:15:20.00]-[0:15:26.00]  para hacer la morcilla y se le daba, se le daba, se le daba y entonces se echaba otra
[0:15:26.00]-[0:15:33.00]  vez al saco y se escurría otro poquito, por la noche se dejaba otra noche para otro día,
[0:15:33.00]-[0:15:38.00]  por la mañana se escurría eso, a que se escurriera y entonces cuando estaba escurrido
[0:15:38.00]-[0:15:46.00]  pues se le ponía arroz cocido que se cocía también 5 o 6 horas antes para que ese arroz
[0:15:46.00]-[0:15:53.00]  se pasara bien y se hiciera bien impactoso, en una sartén o en cualquier cosa y se le
[0:15:53.00]-[0:16:00.00]  ponía la cebolla, esa molida, bueno primero, en la sangre yo lo hacía así y los enseñé
[0:16:00.00]-[0:16:12.00]  así, en la sangre se le ponía pimienta, clavillo, canela y pimentón, esas especias
[0:16:12.00]-[0:16:22.00]  se le ponían a la morcilla, digo la morcilla y en esa sangre se echaba el arroz, la sal
[0:16:22.00]-[0:16:29.00]  y se batía todo eso, yo así se le enseñé aquí iba mejor que con eso porque se combinaba
[0:16:29.00]-[0:16:33.00]  más por todo, si no por otro sitio había que trabajar más porque a lo mejor salía
[0:16:33.00]-[0:16:41.00]  un pegote con sangre y otro no se calía y ese arroz, la sangre y todas las especias
[0:16:41.00]-[0:16:47.00]  y la sal se echaba ahí y se hacía todo uno de esos y entonces se echaba la manteca que
[0:16:47.00]-[0:16:57.00]  la manteca tampoco se lo he dicho, se hacía, se ponía en un palo mismo o en el suelo extendido
[0:16:57.00]-[0:17:06.00]  pero en un palo mejor y se hacía seca, fría y entonces se partía trocitos, trocitos,
[0:17:06.00]-[0:17:15.00]  trocitos, trocitos y se echaba en una gaveta o donde tuviese y la dejaba para otro día
[0:17:15.00]-[0:17:23.00]  y entonces ya esa sangre echas, una esa de cebolla, una esa de manteca y a esas especias
[0:17:23.00]-[0:17:29.00]  y a todo eso, y a la, y a la, y a la, y a la, y a la, y a la, y a la y esa es la tarta
[0:17:29.00]-[0:17:35.00]  que se hacía a la morcilla, la manteca y la cebolla y la sangre ya la tenía y las
[0:17:35.00]-[0:17:43.00]  especias yo así se le enseñé porque va mejor, yo no, aunque está feo decirlo no
[0:17:43.00]-[0:17:48.00]  tengo nada de tonta, ni de borrina hablando en eso ni de nada, me gusta hacer las cosas
[0:17:48.00]-[0:17:55.00]  muy apañadas y muy aseas y muy eso y yo voy a mis nueras y he ido gente a hacerles la matanza
[0:17:55.00]-[0:18:02.00]  si señor, yo solo le puedo decir lo que sé y si me hacen alguna pregunta y la sé se le puedo
[0:18:02.00]-[0:18:08.00]  una pregunta pero lo que no me quedó claro lo de la sangre, como, como, como
[0:18:08.00]-[0:18:15.00]  la sangre le clavaban el cuchillo, el cuchillo sabe y caía al lebrillo que tenías abajo
[0:18:15.00]-[0:18:20.00]  y le estaba dando con una caña a la sangre, a la sangre, a la sangre, a la sangre al lebrillo
[0:18:20.00]-[0:18:27.00]  y cuando ya el chino ya no se meneaba ni nada más a azocarra el chino, cuando iban a azocarra
[0:18:27.00]-[0:18:34.00]  el chino entonces la sangre se dejaba en un sitio, se limpiaba la caña, se dejaba por cualquier sitio
[0:18:34.00]-[0:18:41.00]  la caña y el lebrillo se tapaba con la sábana que no era alguna coca o alguna cosa sabe usted
[0:18:41.00]-[0:18:47.00]  y entonces ya la tenías guardada para otro día si era el lebrillo pequeño y lo tenías que hacer
[0:18:47.00]-[0:18:53.00]  en un lebrillo más grande pues la sangre le echabas la que tuvieses y luego se hacían güeñas
[0:18:53.00]-[0:19:00.00]  todo con lo ensangrentado, la cabeza del cerdo se cocía sabe usted con agua caliente
[0:19:00.00]-[0:19:08.00]  y nada más la cabeza y eso y si entonces se hacía pues eso que se dice sangre y gordo, perro que dicen
[0:19:08.00]-[0:19:15.00]  se hacía güeña, que es la güeña, pues es todo lo del cerdo que está ensangrentado
[0:19:15.00]-[0:19:25.00]  la de gollaura todo eso siempre de la sangre y el liviano, el hígado, los riñones y todo eso
[0:19:25.00]-[0:19:39.00]  ¿Y qué era lo de la máquina de...? ¿Cómo se llamaba? ¿Cómo se llama? Una máquina pues... ¿Qué le voy a decir?
[0:19:39.00]-[0:19:46.00]  Una máquina de partir carnes, de partir carnes, sí claro
[0:19:46.00]-[0:19:49.00]  ¿Y qué le iba a decir? ¿Y chorizos hacían?
[0:19:49.00]-[0:19:55.00]  Sí también se hacía chorizo si se quería sobre asada y todo si vendían paquetes en las tiendas
[0:19:55.00]-[0:19:58.00]  y eso y se hacía y chorizo también se suelía bien
[0:19:58.00]-[0:20:00.00]  ¿Y cómo era? ¿Cómo más hacían el chorizo?
[0:20:00.00]-[0:20:09.00]  El chorizo pues ya tiene otras complicaciones más especias, más pimentón, sabe más pimentón y sangre nada
[0:20:09.00]-[0:20:15.00]  la sangre de la nonganita y el chorizo no tenía nada de sangre nada más que
[0:20:15.00]-[0:20:20.00]  todo lo que eso era para el perro y la hueña
[0:20:20.00]-[0:20:24.00]  ¿Y qué le iba a decir? ¿Qué diferencia hay entre la nonganita y el chorizo?
[0:20:24.00]-[0:20:31.00]  La nonganita y el chorizo pues porque uno tiene más pimentón y el otro no tiene tanto pimentón
[0:20:31.00]-[0:20:38.00]  la nonganita se le saca, se le echa una cucharada o cucharadita y media o dos pequeñas
[0:20:38.00]-[0:20:42.00]  para que tenga color, que no tengan estas mortizas, ¿sabes?
[0:20:42.00]-[0:20:47.00]  que no tengan así color de carne y tienen ese colorcito que tienen ese color
[0:20:47.00]-[0:20:50.00]  ese punto de color tan bonito colgado
[0:20:50.00]-[0:20:57.00]  vamos a ver el cerdo que no sabe otra cosa más tanto como el cerdo
[0:20:57.00]-[0:20:59.00]  Nos está contando muchas cosas
[0:20:59.00]-[0:21:02.00]  El cerdo yo eso y de muchas cosas yo...
[0:21:02.00]-[0:21:05.00]  ¿Y qué le iba a decir? ¿Y con las costillas?
[0:21:05.00]-[0:21:10.00]  Con las costillas pues las costillas se ponían, se les pone limón
[0:21:10.00]-[0:21:14.00]  a otro día o dos limón restregado, ¿sabes?
[0:21:14.00]-[0:21:19.00]  partido un limón y le das eso y lo pones en un lebrillo bastante sal
[0:21:19.00]-[0:21:23.00]  y lo metes allí y le restriegas así
[0:21:23.00]-[0:21:29.00]  así como has puesto el limón tiene un poquito de agüeta, ¿sabes?
[0:21:29.00]-[0:21:32.00]  y entonces le restriegas sal, sal, ¿sabes?
[0:21:32.00]-[0:21:37.00]  y coges y lo arreglas bien, así bien arreglado
[0:21:37.00]-[0:21:42.00]  y lo pones en un cajón como guardas los perniles que los jamones
[0:21:42.00]-[0:21:45.00]  pero el jamón es que hay que ponerlo debajo
[0:21:45.00]-[0:21:49.00]  primero en el cajón o a donde lo pongas pero cubierto de sal
[0:21:49.00]-[0:21:51.00]  el pernil, el jamón es
[0:21:51.00]-[0:21:58.00]  le aprietas bien a las cintas, te aprietas bien a las cintas para que salga
[0:21:58.00]-[0:22:03.00]  y para que nuestro luego cuando vayas a partir el jamón no tengas ese cuajo
[0:22:03.00]-[0:22:05.00]  y esa suciedad, ¿sabes?
[0:22:05.00]-[0:22:09.00]  y se restriegas, se restriegas así bien, así bien, bien
[0:22:09.00]-[0:22:14.00]  y entonces coges y en el garron a donde le has cortado la pata, ¿sabes?
[0:22:14.00]-[0:22:17.00]  queda un agujero y por si acaso moscarda o alguna cosa
[0:22:17.00]-[0:22:19.00]  perdonen si hablo alguna cosa
[0:22:19.00]-[0:22:22.00]  pero es así, ¿sabes?
[0:22:22.00]-[0:22:28.00]  entonces se le ponen ajitos, ajos picados
[0:22:28.00]-[0:22:31.00]  ahí, ¿sabes? y mucha sal
