[0:00:00.00]-[0:00:02.00]  ¿La hierba buena, no?
[0:09:14.80]-[0:09:15.80]  ¿Chucho qué es?
[0:09:15.80]-[0:09:23.80]  Un chucho, un perro que de cualquier forma, que no a veces no vende, que no tiene ninguna especialidad mejor.
[0:09:23.80]-[0:09:25.80]  ¿Y los entrenan los perros?
[0:09:25.80]-[0:09:26.80]  ¿Qué?
[0:09:26.80]-[0:09:27.80]  Si los entrenan, ¿les enseñan a...?
[0:09:27.80]-[0:09:31.80]  Pues de todo hay, de todo hay, de todo hay, hay quien sí,
[0:09:31.80]-[0:09:35.80]  hay quien tiene los perros bien cuidados y los entrenan.
[0:09:35.80]-[0:09:40.80]  Tenemos un campo para entrenamiento de perros, puedes cazar,
[0:09:40.80]-[0:09:46.80]  y el que quiere, pues coges, compras dos codornices o tres o cuatro,
[0:09:46.80]-[0:09:51.80]  te vas con el perro y vas a salir y pam, pam, pam, pura.
[0:09:51.80]-[0:09:53.80]  ¿Usted no tiene un perro?
[0:09:53.80]-[0:09:56.80]  No, no tengo un perro, yo ya, yo soy mayor ya.
[0:09:56.80]-[0:09:57.80]  ¿Tenido perros?
[0:09:57.80]-[0:09:59.80]  Sí, sí, he tenido, sí.
[0:09:59.80]-[0:10:02.80]  ¿Usted sabe enseñar a los perros?
[0:10:02.80]-[0:10:07.80]  No hay más enseñar, yo creo que lo mejor es la caza.
[0:10:07.80]-[0:10:10.80]  Ser obediente los perros, eso cualquiera lo sabe,
[0:10:10.80]-[0:10:20.80]  como hacer como si haces a un pequeño, a un chico, ordenarles, acariciarlos,
[0:10:20.80]-[0:10:25.80]  y si es mi destino, pegarles también, claro.
[0:10:25.80]-[0:10:30.80]  Y bueno, como usted era alcalde tantos años,
[0:10:30.80]-[0:10:34.80]  pues también tuvo que organizar las fiestas entonces, ¿no?
[0:10:34.80]-[0:10:43.80]  Pues sí, aquí se hacen los festejos para la Vicería de la Vega,
[0:10:43.80]-[0:10:47.80]  que se hace una embajada y unas danzas.
[0:10:47.80]-[0:10:49.80]  ¿Hay algún nombre?
[0:10:49.80]-[0:10:53.80]  Danzantes, hay danzantes, danzantes y graciosos.
[0:10:53.80]-[0:10:54.80]  ¿Graciosos?
[0:10:54.80]-[0:10:57.80]  Graciosos o pastores.
[0:10:57.80]-[0:11:01.80]  Pastores o graciosos, sí.
[0:11:01.80]-[0:11:04.80]  Precisamente por eso sacaron estos papeles.
[0:11:04.80]-[0:11:14.80]  Y los graciosos, los graciosos pues son gente que hace lo que hacen los chicos bailando.
[0:11:14.80]-[0:11:23.80]  Pero hace lo que hacen los chicos bailando y...
[0:11:23.80]-[0:11:24.80]  Sí.
[0:11:24.80]-[0:11:27.80]  Pero los chicos bailan y los graciosos imitan, ¿o qué?
[0:11:27.80]-[0:11:29.80]  Sí.
[0:11:29.80]-[0:11:33.80]  No sé si tengo yo aquí, volvemos y lo verán.
[0:11:37.80]-[0:11:38.80]  ¡Molado!
[0:11:38.80]-[0:11:40.80]  ¿Qué es eso, la piedra del sapo?
[0:11:40.80]-[0:11:46.80]  Una piedra que tiene méritos propios, curativos,
[0:11:46.80]-[0:11:53.80]  que da vigor, sobre todo para la cosa sexual.
[0:11:53.80]-[0:11:56.80]  Que la vende de aquí a la tierra.
[0:11:59.80]-[0:12:01.80]  ¿Esa la tienen ustedes aquí?
[0:12:01.80]-[0:12:03.80]  Sí.
[0:12:03.80]-[0:12:08.80]  Se ve, se ve, se ve de ahí, del vasco se ve.
[0:12:08.80]-[0:12:12.80]  Pero que no se ve, de aquí no se ve el sapo, como es la piedra.
[0:12:12.80]-[0:12:16.80]  Y es su punto para mirarla.
[0:12:17.80]-[0:12:19.80]  ¿Viste muchos sapos por aquí?
[0:12:19.80]-[0:12:22.80]  No, no dicen eso.
[0:12:28.80]-[0:12:31.80]  Semana Santa, hay los chicos de aquí.
[0:12:31.80]-[0:12:34.80]  Porque aquí no es tradición, es más bien por aquí y por allí, ¿no?
[0:12:34.80]-[0:12:39.80]  Pero ya va, también. Este año ya han tocado, y ahí...
[0:12:39.80]-[0:12:41.80]  Pero ahí...
[0:12:41.80]-[0:12:43.80]  Pero eso con el torro es que...
[0:12:43.80]-[0:12:45.80]  ¿Para un volado?
[0:12:45.80]-[0:12:49.80]  Eso se hace en la fiesta, la fiesta del septiembre.
[0:12:49.80]-[0:12:51.80]  ¿La piedra del sapo la has visto ahora?
[0:12:51.80]-[0:12:52.80]  No.
[0:12:52.80]-[0:12:54.80]  ¿No?
[0:12:55.80]-[0:12:58.80]  ¿Cómo preparan al toro para embolarlo?
[0:13:04.80]-[0:13:06.80]  Pero ¿cómo lo preparan?
[0:13:06.80]-[0:13:09.80]  Sí, que le echan los cuernos para que prendan.
[0:13:09.80]-[0:13:14.80]  Le ponen unas bolas, unas bolas de...
[0:13:15.80]-[0:13:18.80]  de brea y estopa, ¿sabes?
[0:13:19.80]-[0:13:21.80]  Cosa que arde.
[0:13:21.80]-[0:13:24.80]  Y a los lanzantes, ¿los has visto ahora?
[0:13:33.80]-[0:13:37.80]  Cada uno... Yo he hecho de todo, enseñaba todo.
[0:13:37.80]-[0:13:38.80]  ¿De mí?
[0:13:38.80]-[0:13:39.80]  Sí.
[0:13:39.80]-[0:13:41.80]  ¿Y de dónde usted hace el dios?
[0:13:41.80]-[0:13:44.80]  Estoy después de tradición del pueblo.
[0:13:44.80]-[0:13:46.80]  ¿De su padre, no?
[0:13:46.80]-[0:13:49.80]  No, de mi padre no, porque a las cintas se lo hacía.
[0:13:49.80]-[0:13:51.80]  ¿Su padre, Argoacil, también, no?
[0:13:51.80]-[0:13:52.80]  No.
[0:13:52.80]-[0:13:54.80]  Jabalís.
[0:13:54.80]-[0:13:56.80]  ¿Los llaman así, Jabalís, aquí?
[0:13:56.80]-[0:13:57.80]  Sí, sí, Jabalís.
[0:13:57.80]-[0:13:59.80]  ¿Y a las crías, cómo las llaman?
[0:13:59.80]-[0:14:00.80]  Jabatos.
[0:14:00.80]-[0:14:10.80]  ¿A las crías, a las crías?
[0:14:10.80]-[0:14:11.80]  ¿Tú pasas muy bien, recuerdo?
[0:14:11.80]-[0:14:14.80]  Sí, pero no soy nada de recuerdo.
[0:14:14.80]-[0:14:17.80]  Aquí ahora la gente vive del turismo, ¿no?
[0:14:17.80]-[0:14:19.80]  Sí, mucho.
[0:14:23.80]-[0:14:26.80]  ¿Y sus padres en qué trabajaban? ¿Trabajaban aquí en el campo?
[0:14:26.80]-[0:14:30.80]  Padres, ¿habéis visto el rapo de piedra?
[0:14:30.80]-[0:14:32.80]  ¿Eh? ¿No?
[0:14:34.80]-[0:14:37.80]  Bueno, bueno, pero dejemos los vídeos ya.
[0:14:37.80]-[0:14:39.80]  Nosotros lo que queremos es que usted hable.
[0:14:39.80]-[0:14:43.80]  Es que esta maestra no nos ha contado que usted sabe muchas historias.
[0:14:43.80]-[0:14:49.80]  Es que, por ejemplo, no sé, la historia de la virgen, de la vega.
[0:14:49.80]-[0:14:56.80]  Es que la gente no sabe hasta qué me ha entrado esta historia, ¿no?
[0:14:56.80]-[0:14:59.80]  ¿Cómo es de que apareció en ese tiempo?
[0:14:59.80]-[0:15:01.80]  Aquí en la vega, claro.
[0:15:01.80]-[0:15:08.80]  Me apareció donde se levantó una artita de los pastores, sin una historia.
[0:15:08.80]-[0:15:11.80]  Los pastores.
[0:15:11.80]-[0:15:16.80]  Y la llevaban, la llevaban al suelo de al otro lado y aparecían.
[0:15:16.80]-[0:15:19.80]  Y se marchaba otra vez a menos que un...
[0:15:19.80]-[0:15:20.80]  ¿Lo ha visto, señor?
[0:15:20.80]-[0:15:23.80]  Se asustaba la gente por eso, porque...
[0:15:23.80]-[0:15:25.80]  Hombre, es que ella quería...
[0:15:25.80]-[0:15:30.80]  Y nada más, y ahí le levantaron una hermita muy bonita.
[0:15:30.80]-[0:15:33.80]  Fue ahí una boda, ¿eh?
[0:15:33.80]-[0:15:35.80]  Y se casa uno.
[0:15:35.80]-[0:15:41.80]  Y tiene las bodas de plata, tiene las bodas de plata.
[0:15:41.80]-[0:15:46.80]  Sí, sí. Y es de una hermandad de cuatro pueblos.
[0:15:46.80]-[0:15:51.80]  Alcalá de la selva, Agudar, Valdelinares y Linares.
[0:15:51.80]-[0:15:53.80]  Eso es la cofradía, ¿no?
[0:15:53.80]-[0:15:54.80]  Sí.
[0:15:54.80]-[0:15:58.80]  ¿La hermandad significa así que de todos los pueblos la virgen está aquí?
[0:15:58.80]-[0:16:01.80]  La virgen está aquí. La virgen está aquí.
[0:16:01.80]-[0:16:03.80]  Y en mayo, este mes, se va a entrar...
[0:16:03.80]-[0:16:07.80]  Todos los pueblos, cada uno viene un día a hacer una rogativa.
[0:16:07.80]-[0:16:10.80]  Se dice, rogativas.
[0:16:10.80]-[0:16:11.80]  Sí.
[0:16:11.80]-[0:16:15.80]  Hacen una visita ahí y hacen, pasan el día.
[0:16:16.80]-[0:16:22.80]  ¿Usted recuerda cuentos que le contaran cuando era pequeño?
[0:16:24.80]-[0:16:29.80]  Por ejemplo, que le contaran su madre, su padre, un abuelo, una abuela.
[0:16:30.80]-[0:16:34.80]  Cuentos o romances o leyendas de...
[0:16:34.80]-[0:16:37.80]  Ya, ya, ya. Yo sé lo que quiere decir.
[0:16:37.80]-[0:16:41.80]  No, no, pero yo quiero que usted me lo cuente, no que me saque un papel.
[0:16:41.80]-[0:16:46.80]  Mira, mira, mira. Yo les voy a decir una cosa.
[0:16:46.80]-[0:16:51.80]  Los danzantes bailan unos bailes muy bonitos, ¿sabes?
[0:16:51.80]-[0:16:54.80]  Bailan, pues...
[0:16:54.80]-[0:17:00.80]  Este año queremos hacer dos que después de la pasada guerra civil no se han hecho.
[0:17:00.80]-[0:17:07.80]  Que es el de los morceros y el del arado o aladro.
[0:17:07.80]-[0:17:10.80]  Aladro, eso se llama al arado.
[0:17:10.80]-[0:17:14.80]  El arado. Aquí normalmente se dice aladro.
[0:17:14.80]-[0:17:16.80]  ¿Qué...?
[0:17:17.80]-[0:17:21.80]  ¿Y la asada? ¿Cómo llaman arasada?
[0:17:21.80]-[0:17:22.80]  Azada, azada, sí.
[0:17:22.80]-[0:17:24.80]  ¿No llaman jada o...?
[0:17:24.80]-[0:17:27.80]  No, azada. Aquí no, una azada. Una azada normal, una azada.
[0:17:27.80]-[0:17:29.80]  Ojuela o algo así.
[0:17:29.80]-[0:17:33.80]  Ojo, la ojuela es otra cosa.
[0:17:34.80]-[0:17:43.80]  Los chicos bailan unos bailes que han visto que van con cintas, vestidos y todo eso, y bien, dicen versos.
[0:17:43.80]-[0:17:47.80]  A la Virgen de la Vega le dicen unos.
[0:17:47.80]-[0:17:50.80]  Y el Día San Roque le dicen otros.
[0:17:50.80]-[0:17:59.80]  Y los graciosos, esos cuentan las cosas que han pasado, van haciendo con los chavales.
[0:17:59.80]-[0:18:03.80]  Y estos cuentan lo que por ejemplo...
[0:18:05.80]-[0:18:09.80]  Se les parió en papeles.
[0:18:09.80]-[0:18:12.80]  Mira, el año 98.
[0:18:13.80]-[0:18:19.80]  El pasado año los toros se hicieron embolados, el Día de la Abuela fue el que se hizo respetar.
[0:18:19.80]-[0:18:27.80]  Pues vio una pera madura ahí bajo en ese peral, y a un mozo que había al lado, por ella, le hizo trepar.
[0:18:28.80]-[0:18:32.80]  Cuentos que han pasado, que cogió un chaval en la...
[0:18:33.80]-[0:18:35.80]  En el tronco.
[0:18:35.80]-[0:18:38.80]  ¿Quién trepó? ¿Quién trepó? ¿Le puede repetir cómo es?
[0:18:38.80]-[0:18:40.80]  Sí, sí, sí, un chaval también.
[0:18:40.80]-[0:18:48.80]  El pasado año los toros que se hicieron embolados, el Día de la Abuela fue el que se hizo respetar.
[0:18:48.80]-[0:18:55.80]  Pues vio una pera madura ahí bajo en ese peral, y a un mozo que había al lado, por ella, le hizo trepar.
[0:18:55.80]-[0:18:57.80]  A por ella le hizo trepar.
[0:19:00.80]-[0:19:02.80]  A estos van un cazador.
[0:19:02.80]-[0:19:07.80]  El Día de la Desbeda dos se fueron a cazar.
[0:19:07.80]-[0:19:12.80]  El lodo andaba muy poco, y el otro ya se aburría.
[0:19:12.80]-[0:19:16.80]  Porque pateaba mucho y la caza no salía.
[0:19:16.80]-[0:19:20.80]  De pronto sale una liebre y un tiro le disparó.
[0:19:20.80]-[0:19:24.80]  La liebre se marchó herida, pero al perro lo mató.
[0:19:24.80]-[0:19:26.80]  Esas carrillos qué pasan.
[0:19:26.80]-[0:19:29.80]  Risa, para eso, ¿quién será ese? ¿Quién será ese?
[0:19:29.80]-[0:19:31.80]  ¿Pero esto los ha compuesto usted?
[0:19:31.80]-[0:19:32.80]  Sí.
[0:19:32.80]-[0:19:33.80]  Claro.
[0:19:33.80]-[0:19:37.80]  ¿Esto los...? ¿Esto los...? No, cada año es de su forma.
[0:19:37.80]-[0:19:40.80]  Este precisamente era un hijo mío y yo.
[0:19:40.80]-[0:19:44.80]  ¿Ya ves? Ahí aún tengo más de su forma.
[0:19:46.80]-[0:19:49.80]  Se fue un señor a pescar con unos cuantos chavales.
[0:19:49.80]-[0:19:51.80]  No, muchachos.
[0:19:51.80]-[0:19:56.80]  Y este los enseñaba cómo poner la lombriz, cómo manejar la caña.
[0:19:56.80]-[0:19:59.80]  Cuando de pronto oyó mucha risa y griterío.
[0:19:59.80]-[0:20:03.80]  Es el que los enseñaba vestidos de caído al río.
[0:20:03.80]-[0:20:05.80]  Ahí ya ve.
[0:20:05.80]-[0:20:10.80]  Se pegó un chaparral. Además estaba presente yo también.
[0:20:11.80]-[0:20:13.80]  Lleva bigote.
[0:20:13.80]-[0:20:15.80]  Vaya que trucha pescó.
[0:20:15.80]-[0:20:18.80]  Pues se llevó buen remojete.
[0:20:18.80]-[0:20:22.80]  Y salta el otro. Y dice, no era trucha, que era barbo, porque llevaba bigote.
[0:20:22.80]-[0:20:24.80]  Llevaba bigote el que se cayó.
[0:20:24.80]-[0:20:27.80]  Pero es que el barbo lleva bigote y la trucha no.
[0:20:27.80]-[0:20:28.80]  Sí, sí.
[0:20:28.80]-[0:20:29.80]  ¿Es verdad?
[0:20:29.80]-[0:20:30.80]  Sí, es verdad.
[0:20:30.80]-[0:20:35.80]  Hay que buscar las cosas para que se ríe el personal.
[0:20:44.80]-[0:20:47.80]  Éxito total ha sido el arreglo del Calvario.
[0:20:47.80]-[0:20:50.80]  Se han pasado por él mucha gente este verano.
[0:20:50.80]-[0:20:53.80]  Cuando llegaban arriba seguían el llano andando.
[0:20:53.80]-[0:20:56.80]  Pues era para tocar la popular peña del Sapo.
[0:20:56.80]-[0:20:59.80]  De aquí se ven las cabras montesas. Ahí en el monte se ven.
[0:20:59.80]-[0:21:03.80]  Demoran unos animales ahí enfrente en el pinar.
[0:21:04.80]-[0:21:07.80]  Que han hecho mucha propaganda a este pueblo de Alcalá.
[0:21:07.80]-[0:21:12.80]  Machos de cabra montés que cuando están, que cuando en el pico posan,
[0:21:12.80]-[0:21:18.80]  con belleza y altivez, nos muestran su cornamenta y eso es muy digno de ver.
[0:21:19.80]-[0:21:21.80]  O sea que...
[0:21:21.80]-[0:21:27.80]  Pues la mejor propaganda la han hecho, lo ha hecho el grupo folklórico
[0:21:27.80]-[0:21:32.80]  La Ciudad de los Amantes, que ha puesto en su repertorio el baile de los lanzantes.
[0:21:35.80]-[0:21:38.80]  Sí, yo se lo diré.
[0:21:38.80]-[0:21:43.80]  Hay un grupo folklórico, La Ciudad de los Amantes, que es de Ezebel.
[0:21:43.80]-[0:21:45.80]  Y esos van a bailar por ahí.
[0:21:45.80]-[0:21:54.80]  Por todos los pueblos. Y han metido en su repertorio el baile que bailan aquí los chicos, los lanzantes de Alcalá.
[0:21:54.80]-[0:21:57.80]  Que tocan y bailan los lanzantes también.
[0:21:59.80]-[0:22:01.80]  ¿Y usted ha sido lanzante?
[0:22:01.80]-[0:22:04.80]  Lanzante, embajador y gracioso.
[0:22:07.80]-[0:22:11.80]  Y ya te digo que Guille Storch, que es el que más me ha gustado de todo.
[0:22:11.80]-[0:22:17.80]  Y ya te digo Guille Storch... ¿Esto es todo?
[0:22:17.80]-[0:22:20.80]  ¿Esto que hay por aquí? ¿Qué es esto?
[0:22:20.80]-[0:22:22.80]  Ah, el programa de las fiestas.
[0:22:25.80]-[0:22:28.80]  Mira, estos son...
[0:22:31.80]-[0:22:33.80]  Para los chicos.
[0:22:33.80]-[0:22:38.80]  A San Roque y a su perro le he pedido un favor.
[0:22:38.80]-[0:22:42.80]  Que me salga bien el verso y el baile aún mejor.
