[0:00:00.00]-[0:00:06.00]  ¿Usted cómo se llama?
[0:05:47.00]-[0:05:54.00]  Luego amasarlo bien y luego después de un día o 48 horas,
[0:05:54.00]-[0:05:56.00]  pues a llenar los chorizos.
[0:05:56.00]-[0:05:59.00]  ¿Y cómo se llenan? ¿Qué se hace?
[0:05:59.00]-[0:06:05.00]  Pues hay que las tripas del cerdo, nosotros las cogíamos, las lavábamos bien lavadas,
[0:06:05.00]-[0:06:10.00]  después de bien lavadas, las echábamos, las poníamos en un barrañito,
[0:06:10.00]-[0:06:17.00]  o en una cacerola, las echaba un poquito de sal y las dejaba un día.
[0:06:17.00]-[0:06:23.00]  Y luego esas tripas las cojo después y las raspo raspadas con un cuchillo.
[0:06:23.00]-[0:06:26.00]  Y se queda nada más la tez sola.
[0:06:26.00]-[0:06:32.00]  Y luego lavarlas con un poco de vinagre antes de llenar la matata.
[0:06:32.00]-[0:06:35.00]  ¿Con vinagre? ¿No se lavan con agua?
[0:06:35.00]-[0:06:39.00]  Con agua y un poco de, echar unas gotas de vinagre en ello,
[0:06:39.00]-[0:06:42.00]  porque se quita el sabor de la tripa.
[0:06:42.00]-[0:06:45.00]  Y nada más de esa manera.
[0:06:45.00]-[0:06:48.00]  Los chorizos luego ponerles a atarles y ponerles a secar.
[0:06:48.00]-[0:06:52.00]  Y después de secos, pues ya te voy a...
[0:06:52.00]-[0:06:54.00]  ¿Cómo embutían? ¿Cómo metían?
[0:06:54.00]-[0:06:56.00]  Bueno, pues eso, con una máquina.
[0:06:56.00]-[0:06:59.00]  Antiguamente lo enllanaban a mano.
[0:06:59.00]-[0:07:04.00]  Pero nosotros ya todas tenemos nuestra maquinita en casa.
[0:07:04.00]-[0:07:06.00]  Y pues todas.
[0:07:06.00]-[0:07:10.00]  Esta señora pues todavía sigue haciendo también chorizos,
[0:07:10.00]-[0:07:13.00]  que este año ha hecho, y es más mayor que yo.
[0:07:13.00]-[0:07:15.00]  Y luego ha dicho que colgarlos.
[0:07:15.00]-[0:07:18.00]  Luego los hay que colgar, colgarles a que se sequen.
[0:07:18.00]-[0:07:24.00]  Si los secasen en un desván, pues tienen que estar por lo menos casi un mes.
[0:07:24.00]-[0:07:28.00]  En un desván que llamo yo en el doble de arriba de las casas.
[0:07:30.00]-[0:07:33.00]  Y los primeros días no los tiene que dar el aire.
[0:07:33.00]-[0:07:35.00]  Luego sí, que se ventilen después.
[0:07:35.00]-[0:07:39.00]  Ahora ya es muy diferente, porque ahora ya tienen secaderos,
[0:07:39.00]-[0:07:41.00]  pues que lo hacen todo artificial.
[0:07:41.00]-[0:07:43.00]  No es como nosotros, que lo hacíamos natural.
[0:07:43.00]-[0:07:46.00]  Además nosotros también teníamos una cocina,
[0:07:46.00]-[0:07:50.00]  donde poníamos lumbre con leña,
[0:07:50.00]-[0:07:53.00]  y eso pues era de la manera que también mejor se seca.
[0:07:53.00]-[0:07:56.00]  Y ahí se seca pues mucho más rápido.
[0:07:56.00]-[0:07:58.00]  ¿Y una vez que están secos?
[0:07:58.00]-[0:08:02.00]  Pues una vez que están secos, nosotros les conservábamos para el verano,
[0:08:02.00]-[0:08:04.00]  les conservamos metidos en aceite.
[0:08:04.00]-[0:08:08.00]  Les fríamos, poníamos una sartén grande,
[0:08:08.00]-[0:08:13.00]  se frían unos cinco minutos, estando bien hirviendo.
[0:08:13.00]-[0:08:20.00]  O sea que vuelta y vuelta, y se cogen y se iban poniendo en un barrenón o una cosa,
[0:08:20.00]-[0:08:24.00]  para que escurran si tienen algo de agüilla que salen.
[0:08:24.00]-[0:08:27.00]  Y luego después se colocan en tarros o se colocan en oleas,
[0:08:27.00]-[0:08:32.00]  y se cubren de aceite, y lo tienes, puedes tener todo el año que quieras.
[0:08:32.00]-[0:08:35.00]  Todo el año que quieras puedes tener los choritos.
[0:08:35.00]-[0:08:37.00]  ¿Y del cerdo también nacen morcillas?
[0:08:37.00]-[0:08:40.00]  Las morcillas, las morcillas las hemos dejado.
[0:08:40.00]-[0:08:44.00]  O sea, son las que se hacían con la sangre, que te he dicho que se cogían.
[0:08:44.00]-[0:08:50.00]  Entonces, para eso se pica por cada kilo de arroz,
[0:08:50.00]-[0:08:52.00]  aquí se hacen morcillas de arroz, ¿eh?
[0:08:52.00]-[0:08:53.00]  De arroz.
[0:08:53.00]-[0:08:59.00]  Bueno, pues por cada kilo de arroz, ahora te voy a decir la cantidad, a ver si me acuerdo.
[0:08:59.00]-[0:09:02.00]  Dos kilos de cebollas.
[0:09:04.00]-[0:09:07.00]  Dos papeletas de coninos.
[0:09:07.00]-[0:09:11.00]  Una papeleta de clavo.
[0:09:14.00]-[0:09:19.00]  Y luego un kilo de gorduras de cerdo.
[0:09:19.00]-[0:09:25.00]  Gorduras que son de la manteca, de cosas que se quitan así, o tocino gordo.
[0:09:25.00]-[0:09:26.00]  Eso.
[0:09:26.00]-[0:09:28.00]  Se fríen lo primero las cebollas.
[0:09:29.00]-[0:09:34.00]  Las cebollas refritas, hechas manteca del cerdo,
[0:09:34.00]-[0:09:39.00]  lo refríes la cebolla y tienes el arroz cocido ya, ¿eh?
[0:09:39.00]-[0:09:41.00]  El arroz cocido y frío.
[0:09:42.00]-[0:09:49.00]  Entonces, lo envuelves con la cebolla, con un ajito, una cucharadita de pimiento
[0:09:49.00]-[0:09:55.00]  y la, ¿qué te he dicho? Los cominos, cominos y un poquito de clavo.
[0:09:55.00]-[0:09:59.00]  Eso hay gustos porque ahí a lo mejor que no les gusta el clavo y no lo echan.
[0:09:59.00]-[0:10:01.00]  Pero los cominos siempre les echan.
[0:10:01.00]-[0:10:05.00]  Y los ajos también. Y una cucharada de pimiento también.
[0:10:06.00]-[0:10:09.00]  Y algunos echan esta guindilla, para que piquen un poco.
[0:10:09.00]-[0:10:12.00]  Si no, un poquito de pimiento picante y otros por dulce.
[0:10:12.00]-[0:10:14.00]  Eso es a gusto del consumidor.
[0:10:14.00]-[0:10:20.00]  Y luego pues nada, en llenar las morcillas, eso se masa, o vamos, se lo da una vuelta
[0:10:20.00]-[0:10:24.00]  porque tienes que echar la sangre que ya está cojada en todo ese lodo
[0:10:24.00]-[0:10:29.00]  que parecía una cosa así que no apetece mucho.
[0:10:29.00]-[0:10:34.00]  Pero bueno, luego después pues sabe bueno.
[0:10:34.00]-[0:10:37.00]  Se llenan las tripas gordas del cerdo, las hay que lavar.
[0:10:37.00]-[0:10:39.00]  Unas tripas que tienen, o sea, listentino grueso.
[0:10:39.00]-[0:10:43.00]  Todo lo que es el listentino grueso, pues es lo que se llena.
[0:10:43.00]-[0:10:47.00]  Se llena de morcillas y se pueden comprar tripas porque también las venden.
[0:10:47.00]-[0:10:49.00]  Pero es que esas son más apetitosas.
[0:10:50.00]-[0:10:54.00]  Se atan las morcillas.
[0:10:55.00]-[0:10:57.00]  También se embute igual.
[0:10:57.00]-[0:10:59.00]  Claro, pero esas las hay que llenar a mano.
[0:10:59.00]-[0:11:06.00]  Esas se cogen, se ponen un embudo, se cogen la tripa, se van echando cucharada y se llenan.
[0:11:06.00]-[0:11:12.00]  Se llenan y luego pues nada, se ponen una caldera y a cocer las morcillas.
[0:11:12.00]-[0:11:14.00]  Y ya está.
[0:11:14.00]-[0:11:15.00]  ¿Y cómo se conservan?
[0:11:15.00]-[0:11:19.00]  Las morcillas aquí, bueno, se conservan estas que se fríen,
[0:11:19.00]-[0:11:23.00]  fríendo la cebolla, conservan las morcillas bastante tiempo.
[0:11:23.00]-[0:11:26.00]  Porque no se adinagran.
[0:11:26.00]-[0:11:33.00]  Si las echas con cebolla cruda, entonces sí, la morcilla se adinagra y te dura pocos días.
[0:11:33.00]-[0:11:36.00]  Pero estando con la cebolla frita dura más tiempo.
[0:11:36.00]-[0:11:39.00]  Pero es una cosa que las morcillas no se pueden dejar.
[0:11:39.00]-[0:11:45.00]  Bueno, hay quien las deja secar y luego las echarán en agua, digo yo, o alguna cosa así.
[0:11:45.00]-[0:11:48.00]  Pero yo nunca, yo no, no, nunca.
[0:11:48.00]-[0:11:51.00]  Las morcillas las hemos cogido y nos las hemos comido en ocho días.
[0:11:51.00]-[0:11:54.00]  Y nada más. Fritas, asadas, como quieras.
[0:11:54.00]-[0:11:56.00]  De esa manera.
[0:11:56.00]-[0:11:59.00]  ¿Y cómo decidían cómo se iba a hacer la morcilla?
[0:11:59.00]-[0:12:04.00]  O sea, ¿cómo se iba a comer? ¿Quién decide cómo se come en la casa?
[0:12:04.00]-[0:12:06.00]  Anda, pues mira, fritas, asadas, te digo.
[0:12:06.00]-[0:12:09.00]  Están muy ricas. Y otros pues las echan también en el cocido.
[0:12:09.00]-[0:12:14.00]  A quien le gusta mucho, con alubias, con judías, las morcillas.
[0:12:14.00]-[0:12:18.00]  Hay mucha gente que las echa. Pero esos gustos.
[0:12:18.00]-[0:12:22.00]  Porque a mí, la morcilla, te voy a decir, en el cocido nunca me gustó.
[0:12:22.00]-[0:12:24.00]  Sin embargo, fritas me encantan.
[0:12:24.00]-[0:12:26.00]  Así que por eso, eso es gusto de cada uno.
[0:12:26.00]-[0:12:29.00]  Y hay a quien no le gusta. Hay de todo.
[0:12:29.00]-[0:12:32.00]  ¿Y del cerdo utilizan la manteca?
[0:12:32.00]-[0:12:34.00]  Del cerdo se utiliza todo.
[0:12:34.00]-[0:12:36.00]  La manteca vale para...
[0:12:36.00]-[0:12:40.00]  Hay quien mete hasta los chorizos mitad de aceite y mitad de manteca.
[0:12:40.00]-[0:12:43.00]  Antiguamente. Ahora, pues no.
[0:12:43.00]-[0:12:49.00]  Antes, y ponían también el aceite para que no se cogerían,
[0:12:49.00]-[0:12:54.00]  no metiera nadie la mano a la olla y sacara el chorizo y se lo comería.
[0:12:54.00]-[0:12:59.00]  Pues eran muy... Los antiguos lo decimos, pero tenemos mucho que aprender de ellos.
[0:12:59.00]-[0:13:03.00]  Cogían y echaban una tapita de manteca por arriba en las ollas.
[0:13:03.00]-[0:13:07.00]  Y ya, hasta que no iban al campo,
[0:13:07.00]-[0:13:11.00]  pues no se quitaba la tapa de manteca para sacar las tajadas.
[0:13:11.00]-[0:13:16.00]  Luego después, ya de eso, pues a comer.
[0:13:16.00]-[0:13:20.00]  Una vez que se empezaba la olla, pues a todo el mundo.
[0:13:20.00]-[0:13:24.00]  Cuando se iban, arrancaban los hieros, era cuando empezaban los primeros.
[0:13:24.00]-[0:13:28.00]  Y entonces se comía una tajada de chorizo,
[0:13:28.00]-[0:13:34.00]  de eso que era un cacho de chorizo bueno, no creas que no, de 10 centímetros, así.
[0:13:34.00]-[0:13:39.00]  Era la tajada. Y te daban un chorizo y un huevo para arrancar.
[0:13:39.00]-[0:13:45.00]  O dos tajadas, una de magro del cerdo y otra de chorizo.
[0:13:45.00]-[0:13:47.00]  Pero a ver, la manteca, ¿cómo...?
[0:13:47.00]-[0:13:53.00]  La manteca se cogen todas las gorduras, se echan en un caldero,
[0:13:53.00]-[0:13:58.00]  o en una sartén grande, o lo que sea, según la cantidad que tengas,
[0:13:58.00]-[0:14:03.00]  y lo pones al fuego, echas un poquito de agua abajo para que no se pegue,
[0:14:03.00]-[0:14:08.00]  o grasa, o aceite, y luego se deshace la manteca.
[0:14:08.00]-[0:14:13.00]  Y se quedan los chicharrones, y cuando los ves que están doraditos,
[0:14:13.00]-[0:14:19.00]  pues los quitas, y entonces esa manteca se va echando a ollas,
[0:14:19.00]-[0:14:24.00]  a tarde, si está caliente y lo quieres echar en cosas de cristal,
[0:14:24.00]-[0:14:27.00]  entonces tienes que dejarlo enfriar, porque si no te se parten los...
[0:14:27.00]-[0:14:30.00]  Pero si lo echas en una olla de barro antiguamente,
[0:14:30.00]-[0:14:36.00]  pues metían la olla en un cubo de agua y la iban llenando.
[0:14:36.00]-[0:14:39.00]  Y lo echaban caliente. Y de esa manera eso.
[0:14:39.00]-[0:14:43.00]  Y había pues, oye, quien guisaba las patatas, freían patatas,
[0:14:43.00]-[0:14:46.00]  y hacían pues... hasta que duraba la manteca.
[0:14:46.00]-[0:14:49.00]  Si era todo el año, pues todo el año.
[0:14:49.00]-[0:14:50.00]  La manteca se conserva bien.
[0:14:50.00]-[0:14:52.00]  La manteca se conserva bien, lo que es que se enrancia.
[0:14:52.00]-[0:14:54.00]  Se enrancia, claro.
[0:14:54.00]-[0:14:56.00]  ¿Cómo nota que se ha enranciado la manteca?
[0:14:56.00]-[0:15:00.00]  Porque se pone amarilla. Se pone amarilla, ¿sabes?
[0:15:00.00]-[0:15:04.00]  Pero eso más rancio, que en esto, aquí en Castilla,
[0:15:04.00]-[0:15:08.00]  yo no he oído que eso, pero en Galicia, lo llaman unto.
[0:15:08.00]-[0:15:13.00]  Y entonces, pues hacen el pote galiego con eso.
[0:15:13.00]-[0:15:16.00]  Con el unto.
[0:15:16.00]-[0:15:19.00]  O sea, en las verduras, pues hechan...
[0:15:19.00]-[0:15:24.00]  A mí una vez que me lo explicó un primo que venía a nuestra casa,
[0:15:24.00]-[0:15:25.00]  dice, pues allí...
[0:15:25.00]-[0:15:27.00]  Digo, porque yo le preguntaba, ¿ahí cómo hacen esto?
[0:15:27.00]-[0:15:29.00]  Dice, pues mira, es que echamos unto.
[0:15:29.00]-[0:15:31.00]  Digo, ¿y qué? Si yo no lo sé.
[0:15:31.00]-[0:15:35.00]  Dice, pues el unto es la manteca del cerdo,
[0:15:35.00]-[0:15:42.00]  que lo dejan en rama, ahí las empellas,
[0:15:42.00]-[0:15:44.00]  las cogían y no las deshacían.
[0:15:44.00]-[0:15:47.00]  Las dejaban enteras, según las sacaban del cerdo.
[0:15:47.00]-[0:15:51.00]  Y entonces cortaban un trozo de eso y lo echaban
[0:15:51.00]-[0:15:55.00]  a lo que echaban para hacer lacón con grelos
[0:15:55.00]-[0:15:59.00]  o las verduras que ellos cocían, potaje que hacen con patatas
[0:15:59.00]-[0:16:02.00]  y muchas clases de verduras.
[0:16:02.00]-[0:16:05.00]  Bueno, pues echan manteca de eso, porque se pone blanquito.
[0:16:05.00]-[0:16:09.00]  Una vez que está ya rancia la manteca, se pone blanco el caldo.
[0:16:09.00]-[0:16:12.00]  Y nada, pues eso.
[0:16:12.00]-[0:16:15.00]  Y del cerdo se comía hasta las pezuñas, se come el rabo, se come todo.
[0:16:15.00]-[0:16:19.00]  Y los jamones... Ahora vamos con los jamones.
[0:16:24.00]-[0:16:31.00]  Los jamones se conservan, los coges y se ponen en un cajón,
[0:16:31.00]-[0:16:36.00]  en un sitio, hay sitios que se tienen ya aparentes hechos para ellos,
[0:16:36.00]-[0:16:41.00]  se ponen los jamones y se cubren de sal, cubiertos de sal.
[0:16:41.00]-[0:16:50.00]  Y se tienen, pues, por cada kilo que pese, dos días de eso.
[0:16:50.00]-[0:16:53.00]  Y luego después ya, pues se sacan a los...
[0:16:53.00]-[0:16:55.00]  Si pesan, por ejemplo, el jamón...
[0:16:55.00]-[0:16:57.00]  No hay que prensarlo.
[0:16:57.00]-[0:17:03.00]  Si pesa, por ejemplo, el jamón 12 kilos, pues menos de 24 días, se le sal nada.
[0:17:03.00]-[0:17:09.00]  Luego se cogen y se echan cuatro días unas piedras grandes en ellos.
[0:17:09.00]-[0:17:11.00]  O sea, peso, prensarlo.
[0:17:11.00]-[0:17:17.00]  Igual pueden ser piedras que pueden ser un saco de grano, o sea, cantidad de peso.
[0:17:17.00]-[0:17:23.00]  Que tengan, yo que sé, para que se prensa y sale...
[0:17:23.00]-[0:17:26.00]  Si tiene algo de aguilla o algo entre el hueso, pues sale.
[0:17:26.00]-[0:17:32.00]  Y ya entonces, pues luego se sacan los jamones y nosotros les untamos,
[0:17:32.00]-[0:17:40.00]  yo siempre les unto con pimentón picante, vinagre, hago un...
[0:17:40.00]-[0:17:44.00]  ¿Cómo que estás haciendo? ¿Cómo se llama esto?
[0:17:44.00]-[0:17:49.00]  Bueno, hecho, hago un poco de aceite, un poco de vinagre y el pimentón.
[0:17:49.00]-[0:17:52.00]  Lo envuelvo bien y unto el jamón.
[0:17:52.00]-[0:17:58.00]  Le cojo y le cuelgo al aire. ¿Al aire o al calor?
[0:17:58.00]-[0:18:04.00]  Yo, pues este año tengo cuatro y tres les tengo al aire.
[0:18:04.00]-[0:18:07.00]  Y uno me he metido en la cocina que tengo una estufa.
[0:18:07.00]-[0:18:10.00]  Como sepa dónde les tiene, señora, se los pide.
[0:18:10.00]-[0:18:13.00]  Bueno, anda ahí, ya no me confundas, que vienes a confundirme.
[0:18:13.00]-[0:18:15.00]  Ya no hablo más.
[0:18:15.00]-[0:18:17.00]  ¿Y cuánto tiempo hay que tener los jamones?
[0:18:17.00]-[0:18:21.00]  Los jamones para que estén buenos, antes del año no se pueden comer.
[0:18:21.00]-[0:18:26.00]  Pero bueno, yo al que he puesto en la cocina, le empezaremos antes.
[0:18:26.00]-[0:18:35.00]  Pero los jamones buenos, pues ya de año están mejor que eso.
[0:18:35.00]-[0:18:38.00]  Lo que es que ahora, yo no sé, yo creo que es por el pienso,
[0:18:38.00]-[0:18:43.00]  que son piesos compuestos, ni las matanzas, ni los jamones,
[0:18:43.00]-[0:18:46.00]  ni nada sabe cómo sabía antes.
[0:18:46.00]-[0:18:49.00]  O es que nos hemos hecho más especiales para comer,
[0:18:49.00]-[0:18:52.00]  o no, es que no saben las carnes como antes.
[0:18:52.00]-[0:18:54.00]  ¿Se criaba el cerdo en...
[0:18:54.00]-[0:18:58.00]  Se criaba, nosotros lo criábamos a base de cebada.
[0:18:58.00]-[0:19:01.00]  Cebada, molida y en grano.
[0:19:01.00]-[0:19:06.00]  Y guisantes también, algunas veces también les poníamos a los cerdos.
[0:19:06.00]-[0:19:09.00]  Hombre, alguna vez les tirabas a lo mejor algo de verde.
[0:19:09.00]-[0:19:12.00]  Pero aquí en Castilla, por lo regular, se criaban así de esa manera.
[0:19:12.00]-[0:19:17.00]  No es como en la parte de Extremadura y por ahí,
[0:19:17.00]-[0:19:19.00]  se cría con bellota, pero aquí eso no.
[0:19:19.00]-[0:19:23.00]  Eso es más rico, el jamón, porque es el jamón de jagugo.
[0:19:23.00]-[0:19:26.00]  Y ese jamón es mejor.
[0:19:26.00]-[0:19:29.00]  ¿Qué más animales se tenían en la casa?
[0:19:29.00]-[0:19:31.00]  Aquí de todo.
[0:19:31.00]-[0:19:36.00]  Ovejas también había quien tenía, y que no.
[0:19:36.00]-[0:19:40.00]  Hacían queso, había cabras, había de todo.
[0:19:40.00]-[0:19:43.00]  Y ahora no hay de nada.
[0:19:43.00]-[0:19:45.00]  ¿Usted ha tenido ovejas?
[0:19:45.00]-[0:19:47.00]  No ha tenido.
[0:19:47.00]-[0:19:51.00]  ¿No sabe si se utilizaban para la leche, la lana o la carne?
[0:19:51.00]-[0:19:53.00]  ¿Para la leche?
[0:19:53.00]-[0:19:55.00]  ¿Cómo para la leche?
[0:19:55.00]-[0:19:57.00]  ¿Se consumía leche de oveja?
[0:19:57.00]-[0:19:59.00]  No, eso lo hacían para queso.
[0:19:59.00]-[0:20:05.00]  La leche de oveja la vendían para queso.
[0:20:05.00]-[0:20:09.00]  Y la lana, pues para hacer colchones, lo vendían para hacer mantas.
[0:20:09.00]-[0:20:11.00]  ¿Usted ha tenido colchón de lana?
[0:20:11.00]-[0:20:13.00]  Y le tengo.
[0:20:13.00]-[0:20:16.00]  Y no le cambio bol de flez.
[0:20:16.00]-[0:20:19.00]  Y no digan que son anti-higiénicos, que son nada de nada.
[0:20:19.00]-[0:20:21.00]  ¿No dan trabajo?
[0:20:21.00]-[0:20:24.00]  Hombre, eso sí, porque le tienes que dar la vuelta todos los días.
[0:20:24.00]-[0:20:26.00]  Yo todos los días le cojo y le muevo.
[0:20:26.00]-[0:20:28.00]  De arriba abajo y de abajo arriba.
[0:20:28.00]-[0:20:32.00]  Pero no hay que limpiar la lana.
[0:20:32.00]-[0:20:38.00]  La lana, pues hay que cada dos años, yo nosotros, o dos o tres años, mando a un señor.
[0:20:38.00]-[0:20:40.00]  Antes me lo hacía yo.
[0:20:40.00]-[0:20:43.00]  ¿Cómo lo hacían?
[0:20:43.00]-[0:20:45.00]  Pues con una vara.
[0:20:45.00]-[0:20:49.00]  Se deshace el colchón y lo primero que se hace es lavarle.
[0:20:49.00]-[0:20:52.00]  Se lava el colchón, para luego que esté limpio.
[0:20:52.00]-[0:20:56.00]  Y la lana lo pones al aire, que se airee.
[0:20:56.00]-[0:21:05.00]  Y con una vara de fresno, que ya es apropiada, que está un poco curvada, pues a dar palos.
[0:21:05.00]-[0:21:07.00]  Y de esa manera se ahueca la lana.
[0:21:07.00]-[0:21:10.00]  Y luego después se pone bien puestecito en el colchón.
[0:21:10.00]-[0:21:12.00]  ¿No se lava?
[0:21:12.00]-[0:21:14.00]  Pues aquí no, aquí no se lava.
