[0:00:00.00]-[0:00:04.92]  Y aquí estoy nativa.
[0:05:07.76]-[0:05:08.76]  Yo me he hecho dos a nueve.
[0:05:08.76]-[0:05:09.76]  Que he hecho morcillas para nueve.
[0:05:09.76]-[0:05:10.76]  Bueno, pero ¿qué haces para la gente?
[0:05:10.76]-[0:05:11.76]  ¿No pagas a todo?
[0:05:11.76]-[0:05:12.76]  No, no, ya es que le iba a explicar.
[0:05:12.76]-[0:05:19.12]  En el bar que hay aquí en el pueblo, cuando empezaron a trabajar con aquel bar, pues daban
[0:05:19.12]-[0:05:20.60]  artículos de la casa, ¿no?
[0:05:20.60]-[0:05:24.32]  Y entonces, pues esta criaba seis o siete cerdos o cinco.
[0:05:24.32]-[0:05:25.32]  Sí, aquí hay.
[0:05:25.32]-[0:05:28.96]  Y entonces, pues yo iba a participar, a ayudarles a hacer la labor.
[0:05:28.96]-[0:05:32.96]  Después mataba a otros cuatro, ya te he contado, para los dos de Mondragón y los dos para
[0:05:32.96]-[0:05:33.96]  casa.
[0:05:33.96]-[0:05:34.96]  Así que fíjate tú las morcillas que...
[0:05:34.96]-[0:05:36.96]  Pero ¿usted se las mataba o cómo?
[0:05:36.96]-[0:05:37.96]  No, hombre.
[0:05:37.96]-[0:05:38.96]  Como las matar a los cerdos.
[0:05:38.96]-[0:05:39.96]  El cerdote tiene mucha fuerza, ¿no?
[0:05:39.96]-[0:05:40.96]  No, hombre.
[0:05:40.96]-[0:05:42.96]  Eso están cuatro para sujetarles.
[0:05:42.96]-[0:05:43.96]  O tres al mínimo.
[0:05:43.96]-[0:05:44.96]  Tres, tres.
[0:05:44.96]-[0:05:45.96]  Uno le tienes.
[0:05:45.96]-[0:05:47.96]  Pero no es que no entiendo, ¿cómo saca el cerdo de...
[0:05:47.96]-[0:05:48.96]  Bueno, el cerdo sale.
[0:05:48.96]-[0:05:49.96]  Mira, sale.
[0:05:49.96]-[0:05:50.96]  Hay un gancho.
[0:05:50.96]-[0:05:51.96]  Hay un gancho.
[0:05:51.96]-[0:05:52.96]  Lo foge así.
[0:05:52.96]-[0:05:53.96]  Hay un gancho, lo foge así.
[0:05:53.96]-[0:05:55.96]  Y hay un gancho.
[0:05:55.96]-[0:05:57.96]  Mira, se cae al cerdo, le engancha de así.
[0:05:57.96]-[0:06:00.96]  En una banca como esta, parecida, se tumba el cerdo.
[0:06:00.96]-[0:06:04.96]  Entonces aquí se pone el caldero de la sangre, para recoger la sangre.
[0:06:04.96]-[0:06:07.96]  Entonces, el matarife le está sujetando, para que le seña el hierro.
[0:06:07.96]-[0:06:08.96]  Eso, otro...
[0:06:08.96]-[0:06:09.96]  Y otro de las manos y dos atrás.
[0:06:09.96]-[0:06:12.96]  Dos aquí de las manos y luego de atrás uno de cada pata.
[0:06:12.96]-[0:06:14.96]  O sea que son tres ceros que los tienen.
[0:06:14.96]-[0:06:16.96]  Pero ¿cuánto pesa un cerdo más o menos?
[0:06:16.96]-[0:06:17.96]  Ciento y pivoquillo.
[0:06:17.96]-[0:06:20.96]  Pero no se puede matar hasta los cinco que dicen.
[0:06:20.96]-[0:06:22.96]  Ciento y pivoquillo, sí, pero se mueve, no se patalea.
[0:06:22.96]-[0:06:24.96]  Yo soy el primero que se ha escapado, ¿eh?
[0:06:24.96]-[0:06:25.96]  Sí, sí.
[0:06:25.96]-[0:06:30.96]  Y luego se chumarra, se chucarra con helechos.
[0:06:30.96]-[0:06:32.96]  Pero ahí también no...
[0:06:32.96]-[0:06:34.96]  No, luego se saca, aquí se mata.
[0:06:34.96]-[0:06:36.96]  Se pone aquí, se coge la sangre.
[0:06:36.96]-[0:06:39.96]  Aquí se coge la sangre, se saca a la calle.
[0:06:39.96]-[0:06:43.96]  En la calle se chumarra con... No, lo primero se chumarra entero.
[0:06:43.96]-[0:06:52.96]  Con eso, el matarife le enganza al cerdo.
[0:06:52.96]-[0:06:54.96]  Tira así, le enganza al cerdo.
[0:06:54.96]-[0:06:57.96]  Es que no lo puedo descogar.
[0:06:57.96]-[0:06:58.96]  Está, tiene mucho arco.
[0:06:58.96]-[0:06:59.96]  Ahora.
[0:06:59.96]-[0:07:00.96]  Este va a... el matarife...
[0:07:00.96]-[0:07:01.96]  Hace así.
[0:07:01.96]-[0:07:03.96]  Le coge, le da de así.
[0:07:03.96]-[0:07:05.96]  Y luego a alguno le tiene así, con la pala.
[0:07:05.96]-[0:07:07.96]  Es como siempre la pierna con el...
[0:07:07.96]-[0:07:09.96]  Con este está enganchado, tira fuerte, claro.
[0:07:09.96]-[0:07:11.96]  Más los otros que están dentro le clavan el cuchillo.
[0:07:11.96]-[0:07:13.96]  Y coge la sangre, y una persona tiene que estar...
[0:07:13.96]-[0:07:15.96]  Cuando está sangrando, batiendo la sangre.
[0:07:15.96]-[0:07:17.96]  Si no se coagula.
[0:07:17.96]-[0:07:18.96]  Entonces hay que batirla.
[0:07:18.96]-[0:07:19.96]  Y nada más.
[0:07:19.96]-[0:07:22.96]  Cuando ya luego tienes el arroz cocido, esa sangre se cuela para...
[0:07:22.96]-[0:07:24.96]  No, después de eso, se saca a la calle.
[0:07:24.96]-[0:07:26.96]  Se acaba la calle, ahora se puede...
[0:07:26.96]-[0:07:28.96]  En la calle se chumarra.
[0:07:28.96]-[0:07:30.96]  Con helechos, aquí.
[0:07:30.96]-[0:07:32.96]  Que se trae del monte unas ramas que hay...
[0:07:32.96]-[0:07:35.96]  Y luego ya se pone una escalera.
[0:07:35.96]-[0:07:38.96]  Se pone una escalera y se le abre por medio.
[0:07:38.96]-[0:07:41.96]  Y luego la escalera se pone así, tierso, se los saca.
[0:07:41.96]-[0:07:43.96]  Y luego la...
[0:07:43.96]-[0:07:45.96]  ¿Cómo se llama?
[0:07:45.96]-[0:07:47.96]  El higado.
[0:07:47.96]-[0:07:49.96]  El higado.
[0:07:49.96]-[0:07:51.96]  El higado y el vientre.
[0:07:51.96]-[0:07:54.96]  Con el vientre luego, es cuando se limpia, que cuesta muchísimo, que es la mayor faena que tiene el cerdo.
[0:07:54.96]-[0:07:56.96]  Limpiar el vientre.
[0:07:56.96]-[0:07:58.96]  Hay que extraerle toda la porquería, claro.
[0:07:58.96]-[0:08:00.96]  Darle la vuelta a las morcillas.
[0:08:00.96]-[0:08:03.96]  Con vinagre y sal limpiar, y aguas calientes hasta que aquello no huele.
[0:08:03.96]-[0:08:07.96]  Yo últimamente, como esos que traía, se olían tan mal los cientos.
[0:08:07.96]-[0:08:11.96]  De los piensos compuestos, del piensos compuestos mucho peor que cuando se criaban en casa.
[0:08:11.96]-[0:08:16.96]  Entonces, a mí me dijeron, échale un chorretón de anís a las pipas cuando llegas limpias.
[0:08:16.96]-[0:08:19.96]  Le das unas vueltas y es verdad, eh.
[0:08:19.96]-[0:08:21.96]  Dejaban como el agua otra vez...
[0:08:21.96]-[0:08:23.96]  Hombre, la anís tiene algo de alcohol o...
[0:08:23.96]-[0:08:27.96]  Y le quedaba un aroma mejor a las morcillas.
[0:08:27.96]-[0:08:31.96]  Luego las morcillas en cada zona estipulando.
[0:08:31.96]-[0:08:33.96]  Mira, te voy a enseñar aquí, tío.
[0:08:33.96]-[0:08:35.96]  Que todavía estimo en el condado.
[0:08:35.96]-[0:08:39.96]  Aquí se desechan arroz, que es el sándwich y tal.
[0:08:39.96]-[0:08:44.96]  El arroz, la arrozpendia, que es pimienta, pimienta y de todo.
[0:08:44.96]-[0:08:51.96]  Nosotros en los sitios les echamos cebolla, puerro, pan, murches, en algunos saben murches.
[0:08:51.96]-[0:08:52.96]  Sí, en Calasito.
[0:08:52.96]-[0:08:53.96]  ¿Y en los de nosotros?
[0:08:53.96]-[0:08:56.96]  Pues estamos en Vitoria, porque tenemos que hacer un trabajo por la universidad.
[0:08:56.96]-[0:08:58.96]  ¿Y eso, de las notas al cerro?
[0:08:58.96]-[0:09:03.96]  Bueno, sobre las costumbres, la vida de antes y de antiguamente, porque ya se van perdiendo las tradiciones.
[0:09:03.96]-[0:09:06.96]  Ya son los pichu y el este año. Están coqueladas ahora.
[0:09:06.96]-[0:09:08.96]  Claro, porque las sacó del Arcon.
[0:09:08.96]-[0:09:12.96]  Esto, luego de que se parten pedazos, la morcilla, se cosen las dos bocas.
[0:09:12.96]-[0:09:16.96]  Y se salmorean, eso que te he dicho, con sal y vinagre, la tripa.
[0:09:16.96]-[0:09:22.96]  Después que están limpiadas, una boca se cierra, la otra metes el arroz, cuando está hecho, cierras la boca,
[0:09:22.96]-[0:09:26.96]  la otra boca también, se meten a una caldera grande a cocer.
[0:09:26.96]-[0:09:32.96]  Entonces se pone, ahora tenemos unos trebedes de estos de butano grandes, yo aquí las suelo cocer.
[0:09:32.96]-[0:09:38.96]  Entonces las jueces no tienen que hervir, tienen que estar siempre a una temperatura como para querer hervir, para que no se revienten.
[0:09:38.96]-[0:09:40.96]  ¿Me entiendes?
[0:09:40.96]-[0:09:41.96]  ¿Y qué ingredientes tiene?
[0:09:41.96]-[0:09:48.96]  Mira, tiene arroz, tiene especia, que la especia es la pimienta negra, tiene anises, molidos, eh, todo.
[0:09:48.96]-[0:09:54.96]  Tiene clavo, hombre, la sal es imprescindible, en el clavo la sal y un poquito de canela.
[0:09:54.96]-[0:09:56.96]  Esa es la tradición de la morcilla.
[0:09:56.96]-[0:09:57.96]  ¿De aquí, de esta zona?
[0:09:57.96]-[0:10:01.96]  Ya les he explicado que últimamente hacía compor el cebo ya, porque los de Mondragón,
[0:10:01.96]-[0:10:06.96]  ya sabes, mi primo y todos estos, pues estos, allí estaban acostumbrados a la morcilla de puerro y cebolla,
[0:10:06.96]-[0:10:09.96]  entonces el puerro y la cebolla se refrie con la manteca del cerdo.
[0:10:09.96]-[0:10:14.96]  Se pica bien menuda, yo tengo un aparato, habrá como cosas más adelantadas,
[0:10:14.96]-[0:10:18.96]  pues, y en una sartén grande se refrie el puerro y la cebolla,
[0:10:18.96]-[0:10:21.96]  y eso se mezcla con la sangre y todos los demás ingredientes.
[0:10:21.96]-[0:10:23.96]  ¿Y cuántas morcillas salían de un cerdo?
[0:10:23.96]-[0:10:24.96]  23.
[0:10:24.96]-[0:10:25.96]  ¿23?
[0:10:25.96]-[0:10:26.96]  23 de estas.
[0:10:26.96]-[0:10:27.96]  Qué curioso de va a saber.
[0:10:27.96]-[0:10:30.96]  23 de al morcillón, que el morcillón es lo que era.
[0:10:30.96]-[0:10:31.96]  ¿El estómago?
[0:10:31.96]-[0:10:37.96]  No, el estómago no llenábamos, la morcilla final, esa no tiene más que una boca,
[0:10:37.96]-[0:10:39.96]  tú sabes, que es lo que era el morcillón.
[0:10:39.96]-[0:10:42.96]  En vez de como estas tienen dos, aquello no tenía más que un sitio para entrar,
[0:10:42.96]-[0:10:45.96]  porque el otro era ciego, ¿me entiendes?
[0:10:45.96]-[0:10:49.96]  Aquello era, y se hacía un morcillón así, que aquel se usaba, pues cuando estabas todos,
[0:10:49.96]-[0:10:51.96]  a zar aquello, ¿me entiendes?
[0:10:51.96]-[0:10:54.96]  Y era, ¿se hacía como en otros sitios, después de...
[0:10:54.96]-[0:10:56.96]  ¿El día de la matanza hacían fiesta o no?
[0:10:56.96]-[0:10:59.96]  No, bueno, antiguamente en algunas zonas,
[0:10:59.96]-[0:11:03.96]  No, y aquí nosotros por ejemplo en Cuadrilla, cuando mataba a un hornerciarlo,
[0:11:03.96]-[0:11:07.96]  sí, sí, sí, y se le daba presente antiguamente,
[0:11:07.96]-[0:11:08.96]  ¿Qué era eso?
[0:11:08.96]-[0:11:13.96]  Antiguamente, y ya te voy a contar lo que era, le digo que igual me está grabando todo eso, ¿eh?
[0:11:13.96]-[0:11:14.96]  Es que, ¿sabes lo que es?
[0:11:14.96]-[0:11:17.96]  Es que si no, no nos da tiempo a copiarlo, pero no, pero no va, es para nosotros nada más,
[0:11:17.96]-[0:11:18.96]  no se nos copia nada más.
[0:11:18.96]-[0:11:21.96]  Bueno, entonces, antiguamente, ¿sabes que se hacía?
[0:11:21.96]-[0:11:26.96]  Se cogía y al secretario, al médico, a las cuatro autoridades que había en el pueblo,
[0:11:26.96]-[0:11:28.96]  al médico y al secretario, yo recuerdo que casi siempre,
[0:11:28.96]-[0:11:34.96]  entonces se cogía y se le llevaba un solomillo de cerdo, que era lo mejor,
[0:11:34.96]-[0:11:39.96]  lo mejor, un par de morcillas, el tocino los comíamos como tontos,
[0:11:39.96]-[0:11:41.96]  bueno, eso que no se vea público.
[0:11:41.96]-[0:11:43.96]  No, no, no, no, no se preocupe.
[0:11:43.96]-[0:11:44.96]  Pues todo eso.
[0:11:44.96]-[0:11:46.96]  ¿Y qué le va a decir? ¿Y los chorizos?
[0:11:46.96]-[0:11:48.96]  Mira, los chorizos, cuidado no se colgan.
[0:11:48.96]-[0:11:50.96]  ¿Ves donde se colgan los chorizos?
[0:11:50.96]-[0:11:51.96]  Aquí tenía toda la cocina llena.
[0:11:51.96]-[0:11:52.96]  ¿Y para qué colgaban?
[0:11:52.96]-[0:11:53.96]  Para asijar.
[0:11:53.96]-[0:11:59.96]  Y al día siguiente de la martaza del cerdo se descuartizan.
[0:11:59.96]-[0:12:01.96]  Se parte todo en pedazos.
[0:12:01.96]-[0:12:02.96]  Entonces el lomo se pica.
[0:12:02.96]-[0:12:03.96]  ¿Esta cocina tengo para eso?
[0:12:03.96]-[0:12:07.96]  El lomo se pica, se pone en un barrenón, se da la salsa, eso.
[0:12:07.96]-[0:12:08.96]  ¿Y grabarán un video?
[0:12:08.96]-[0:12:09.96]  Yo ya lo he visto todo.
[0:12:09.96]-[0:12:10.96]  Dos o tres días.
[0:12:10.96]-[0:12:11.96]  Yo he visto todo este año.
[0:12:11.96]-[0:12:12.96]  Se está dos o tres días, o tres días.
[0:12:12.96]-[0:12:13.96]  Sí, tres días después.
[0:12:13.96]-[0:12:15.96]  Y luego se llenan los chorizos y se colgan ahí.
[0:12:15.96]-[0:12:17.96]  Con una máquina se llenan los chorizos.
[0:12:17.96]-[0:12:19.96]  Pero antiguamente también con máquina.
[0:12:19.96]-[0:12:21.96]  Sí, una máquina de mano.
[0:12:21.96]-[0:12:24.96]  ¿No creas que hay máquina que no la puede dar con la mano?
[0:12:24.96]-[0:12:26.96]  Yo últimamente ya no los lleno a mano.
[0:12:26.96]-[0:12:31.96]  Porque el hijo me hizo, con la misma máquina que teníamos de antes, le puse un motor.
[0:12:31.96]-[0:12:37.96]  Y lo enchufamos a la luz y funciona él para picar la carne y para todo eso.
[0:12:37.96]-[0:12:38.96]  ¿Y cómo se hacían los chorizos?
[0:12:38.96]-[0:12:41.96]  Mira, los chorizos son con pimientos secos.
[0:12:41.96]-[0:12:43.96]  Estos me quedaron a mí este año.
[0:12:43.96]-[0:12:46.96]  Los pimientos de estos se echan a mojo.
[0:12:46.96]-[0:12:48.96]  Se echan a mojo el día de antes.
[0:12:48.96]-[0:12:52.96]  Y luego se pasan por la máquina y se pican, que sale como un puré.
[0:12:52.96]-[0:12:54.96]  ¿Qué tal congelaciones?
[0:12:54.96]-[0:12:58.96]  Sí, estos son de un campeonato que le dieron a...
[0:12:58.96]-[0:12:59.96]  Ah, ah, ah.
[0:12:59.96]-[0:13:01.96]  Estos no son caseros, ya van con etiqueta.
[0:13:01.96]-[0:13:03.96]  Así que te voy a enseñar qué hacer con el papel de la gaudí.
[0:13:03.96]-[0:13:05.96]  ¿Y luego se meten al vacío?
[0:13:05.96]-[0:13:07.96]  Mira, luego esto se...
[0:13:07.96]-[0:13:11.96]  Nos llevas al ciego que hay una máquina y te envasa en el vacío.
[0:13:11.96]-[0:13:12.96]  ¿Sabes?
[0:13:12.96]-[0:13:14.96]  Mira qué diferencia deja esta.
[0:13:14.96]-[0:13:15.96]  Mira, ¿ves?
[0:13:15.96]-[0:13:16.96]  Y yo pongo en tarro.
[0:13:16.96]-[0:13:18.96]  Esto son de pimiento.
[0:13:18.96]-[0:13:21.96]  Con pimiento y pimentón hay que echarles.
[0:13:21.96]-[0:13:22.96]  Y estos también.
[0:13:22.96]-[0:13:24.96]  ¿Estos meto así en tarro o algo?
[0:13:24.96]-[0:13:25.96]  El ajo también.
[0:13:25.96]-[0:13:26.96]  Ah, sí.
[0:13:26.96]-[0:13:29.96]  Mira, entonces el pimiento se muele, como te he dicho.
[0:13:29.96]-[0:13:32.96]  Los ajos también se limpian y se trituran.
[0:13:32.96]-[0:13:35.96]  Y el agua de los ajos se les echa a los chorizos.
[0:13:35.96]-[0:13:38.96]  Para que tengan un condimento, vamos.
[0:13:38.96]-[0:13:42.96]  Entonces el pimentón con eso y el pimiento.
[0:13:42.96]-[0:13:44.96]  Bueno, eso me lo voy a limpiar.
[0:13:44.96]-[0:13:46.96]  Muchas gracias.
[0:13:46.96]-[0:13:48.96]  A ver si aprobáis.
[0:13:48.96]-[0:13:50.96]  Sí, lo haremos.
[0:13:50.96]-[0:13:51.96]  ¿Qué hace falta?
