[0:00:00.00]-[0:00:02.00]  ¿Fue mucha gente o...?
[0:02:37.00]-[0:02:39.00]  porque estaba enterrada.
[0:02:39.00]-[0:02:41.00]  Tenía paredes.
[0:02:41.00]-[0:02:43.00]  Pero el techo se lo pusieron
[0:02:43.00]-[0:02:46.00]  pero era una cueva que se enfondó.
[0:02:46.00]-[0:02:48.00]  Así vivíamos nosotros.
[0:02:48.00]-[0:02:50.00]  Aquí debajo.
[0:02:50.00]-[0:02:51.00]  Una vida muy distinta.
[0:02:51.00]-[0:02:53.00]  ¿Y podía contarnos
[0:02:53.00]-[0:02:55.00]  a quién han hecho matanza del cerdo?
[0:02:56.00]-[0:02:57.00]  Pues no te sé decir.
[0:02:57.00]-[0:02:59.00]  Eso no te sé decir.
[0:03:00.00]-[0:03:01.00]  ¿Sabes?
[0:03:01.00]-[0:03:02.00]  Hoy en día sí se usa.
[0:03:02.00]-[0:03:05.00]  Criamos el cerdo y matamoslo para comer.
[0:03:05.00]-[0:03:06.00]  Pero...
[0:03:06.00]-[0:03:08.00]  Yo eso antes no sé.
[0:03:08.00]-[0:03:10.00]  ¿Sus padres no hacían matanza?
[0:03:10.00]-[0:03:12.00]  No, mi padre era pescador.
[0:03:12.00]-[0:03:13.00]  Pescador...
[0:03:13.00]-[0:03:15.00]  Me parece pescaba otro pescaba.
[0:03:15.00]-[0:03:18.00]  En una embarcación
[0:03:18.00]-[0:03:20.00]  de dos metros y medio
[0:03:20.00]-[0:03:22.00]  Crió diez hijos.
[0:03:23.00]-[0:03:26.00]  Hoy no se coge el pescado que mi padre cogía.
[0:03:26.00]-[0:03:28.00]  Frente del mismo molino
[0:03:28.00]-[0:03:32.00]  Mi padre tenía una marca que le decían la cocinilla.
[0:03:32.00]-[0:03:34.00]  No se ponía pescado
[0:03:34.00]-[0:03:36.00]  y cogía mucho pescado.
[0:03:36.00]-[0:03:38.00]  Hoy en día no se coge nada por ahí.
[0:03:38.00]-[0:03:40.00]  Porque ya está todo explotado.
[0:03:41.00]-[0:03:42.00]  ¿Sabes?
[0:03:42.00]-[0:03:45.00]  Mi padre crió diez hijos con una embarcación pequeña.
[0:03:47.00]-[0:03:48.00]  Y eso es lo que había.
[0:03:49.00]-[0:03:51.00]  Después mi padre lo traía y mi madre iba a vender el pueblo.
[0:03:53.00]-[0:03:55.00]  Mi madre se crió con muchos zapatos.
[0:03:55.00]-[0:03:56.00]  Porque se crió...
[0:03:56.00]-[0:03:57.00]  Era de las palmas.
[0:03:58.00]-[0:04:01.00]  Se crió con la mujer más millonaria de las palmas.
[0:04:02.00]-[0:04:03.00]  Por no darle a la casa
[0:04:03.00]-[0:04:05.00]  se decía antes al rey
[0:04:05.00]-[0:04:06.00]  al rey
[0:04:07.00]-[0:04:09.00]  No la tenía
[0:04:09.00]-[0:04:12.00]  Decían casa que tenían que darle a un rey.
[0:04:12.00]-[0:04:13.00]  No la tenía.
[0:04:13.00]-[0:04:14.00]  Tenía nada más que menos.
[0:04:14.00]-[0:04:15.00]  Una menos.
[0:04:16.00]-[0:04:18.00]  Y entonces mi madre se crió con muchos zapatos.
[0:04:18.00]-[0:04:19.00]  Pero al llegar aquí
[0:04:19.00]-[0:04:21.00]  a empezar a tener hijos
[0:04:21.00]-[0:04:22.00]  pues ya no tenía ropa.
[0:04:23.00]-[0:04:25.00]  Para no cansarte el cuento
[0:04:25.00]-[0:04:26.00]  mi madre tenía
[0:04:27.00]-[0:04:29.00]  una cortina detrás de...
[0:04:29.00]-[0:04:31.00]  que mi hermano para descansar te ha retratado ahí
[0:04:32.00]-[0:04:34.00]  en esa puerta.
[0:04:34.00]-[0:04:36.00]  Una cortina y la quitó para hacer un traje.
[0:04:37.00]-[0:04:39.00]  Y ella cuando se casó tenía de todo
[0:04:39.00]-[0:04:41.00]  muchos trajes y mucha ropa.
[0:04:41.00]-[0:04:43.00]  Pero serio, sin nada.
[0:04:43.00]-[0:04:45.00]  Porque la mamá no daba para comprarse un traje.
[0:04:46.00]-[0:04:47.00]  Se pasó mucho, ¿no?
[0:04:48.00]-[0:04:50.00]  Venía a las fiestas
[0:04:50.00]-[0:04:52.00]  y nosotros no teníamos ni que ponerlo.
[0:04:53.00]-[0:04:55.00]  Nosotros lo escondíamos de la gente
[0:04:55.00]-[0:04:57.00]  para que no lo vieran con ropa vieja.
[0:04:57.00]-[0:04:59.00]  Con chaqueta y esas cosas viejas.
[0:05:00.00]-[0:05:02.00]  Y cuando llegamos a casa
[0:05:02.00]-[0:05:04.00]  nos lo pasamos mucho.
[0:05:04.00]-[0:05:06.00]  Por lo menos yo.
[0:05:06.00]-[0:05:09.00]  Y los de mi edad, que ya aquí hay poco de mi edad.
[0:05:10.00]-[0:05:12.00]  Se han ido muriendo, se han ido para las palmas
[0:05:12.00]-[0:05:14.00]  se han muerto en las palmas.
[0:05:14.00]-[0:05:16.00]  Otros estarán vivos y así.
[0:05:19.00]-[0:05:21.00]  Cuéntanos, ¿antes
[0:05:21.00]-[0:05:23.00]  sabías algo de los cultivos o qué se hacía con ellos?
[0:05:24.00]-[0:05:26.00]  No, no sabía nada.
[0:05:26.00]-[0:05:27.00]  No sabía nada.
[0:05:28.00]-[0:05:29.00]  No sabía nada.
[0:05:29.00]-[0:05:32.00]  ¿Sabías algo de los cultivos o qué se hacía con ellos?
[0:05:32.00]-[0:05:33.00]  ¿De los cultivos?
[0:05:33.00]-[0:05:35.00]  Se plantaba tomate.
[0:05:36.00]-[0:05:39.00]  Yo llegué a plantar aquí detrás de la Fuente Santa, que se llama.
[0:05:40.00]-[0:05:42.00]  Mi hija tenía tres años.
[0:05:43.00]-[0:05:45.00]  Mi marido se embarcó porque aquí no había para vivir.
[0:05:46.00]-[0:05:49.00]  Y entonces yo plantaba los tomateros y ella me los arrancaba.
[0:05:50.00]-[0:05:52.00]  Porque me las llevaba para allá atrás porque no tenía quien dejarse.
[0:05:52.00]-[0:05:53.00]  Era pequeña.
[0:05:54.00]-[0:05:56.00]  Yo tenía dos hijos más.
[0:05:56.00]-[0:05:58.00]  Pero yo me llevaba a las más chicas.
[0:05:58.00]-[0:06:00.00]  Y las costaba en una caja de tomate.
[0:06:02.00]-[0:06:03.00]  Para poder estar los tomateros.
[0:06:03.00]-[0:06:05.00]  Pero cuando ella me veía con el plantón,
[0:06:05.00]-[0:06:07.00]  aca reno me los arrancaba.
[0:06:08.00]-[0:06:09.00]  Cosa de niña, ¿verdad?
[0:06:09.00]-[0:06:10.00]  Para ella era un puente.
[0:06:12.00]-[0:06:14.00]  Y a la vieja sí.
[0:06:15.00]-[0:06:16.00]  ¿Y plátanos se cultivaban?
[0:06:16.00]-[0:06:17.00]  Sí, sí.
[0:06:17.00]-[0:06:18.00]  Todo esto era de plátanos.
[0:06:19.00]-[0:06:20.00]  Esta casa no.
[0:06:21.00]-[0:06:23.00]  Mi casa ni estas casas baratas no.
[0:06:23.00]-[0:06:24.00]  Pero esas nuevas,
[0:06:24.00]-[0:06:26.00]  todas eran cercanas de plataneras.
[0:06:26.00]-[0:06:28.00]  Ya después compraron las tierras.
[0:06:28.00]-[0:06:29.00]  Quien tenía dinero.
[0:06:30.00]-[0:06:32.00]  Y plantaron tomas.
[0:06:33.00]-[0:06:34.00]  Primero plataneras.
[0:06:35.00]-[0:06:36.00]  Quitaron las plataneras.
[0:06:36.00]-[0:06:37.00]  Plantaron tomateros.
[0:06:38.00]-[0:06:40.00]  Después ya no plantaban.
[0:06:41.00]-[0:06:42.00]  Que esa señora de la aldea.
[0:06:43.00]-[0:06:45.00]  Y después vendieron los solares.
[0:06:45.00]-[0:06:46.00]  Y hicieron esas casas.
[0:06:48.00]-[0:06:49.00]  Aquí habíamos muy poca gente.
[0:06:51.00]-[0:06:52.00]  Cuando nací yo.
[0:06:52.00]-[0:06:54.00]  Ahora de que nació hay una.
[0:06:54.00]-[0:06:56.00]  Porque aquí vino todo el mundo.
[0:06:56.00]-[0:06:57.00]  Un montón de extranjeros.
[0:06:57.00]-[0:06:59.00]  No es sino extranjeros ahora.
[0:07:01.00]-[0:07:03.00]  Cuéntanos, ¿cómo ha vivido el turismo este pueblo?
[0:07:05.00]-[0:07:06.00]  Mira, empezaron...
[0:07:08.00]-[0:07:10.00]  Empezaron que vinieron una gente de la palma,
[0:07:10.00]-[0:07:12.00]  del hierro, con cosas escaladas.
[0:07:13.00]-[0:07:14.00]  Mantel escalado.
[0:07:15.00]-[0:07:16.00]  Blusita escalada.
[0:07:16.00]-[0:07:18.00]  Todas esas cosas, falda escalada.
[0:07:18.00]-[0:07:19.00]  Que ahora,
[0:07:19.00]-[0:07:22.00]  eso lo usa hasta María Sánchez.
[0:07:22.00]-[0:07:23.00]  ¿La conoce?
[0:07:23.00]-[0:07:24.00]  María Sánchez.
[0:07:26.00]-[0:07:28.00]  Es una cantante de las palmas viejas.
[0:07:29.00]-[0:07:30.00]  Que sale...
[0:07:31.00]-[0:07:32.00]  Bueno, sale Camumesto.
[0:07:33.00]-[0:07:35.00]  Que dice, de la isleta al refugio.
[0:07:35.00]-[0:07:36.00]  No la oye esa canción.
[0:07:37.00]-[0:07:39.00]  Es que no somos de aquí, a lo mejor.
[0:07:40.00]-[0:07:41.00]  ¿Puede cantar?
[0:07:41.00]-[0:07:42.00]  No sé, no sé.
[0:07:42.00]-[0:07:43.00]  La canción no me la sé.
[0:07:44.00]-[0:07:45.00]  No me la sé, no me la sé.
[0:07:46.00]-[0:07:47.00]  No me la sé.
[0:07:47.00]-[0:07:50.00]  Pero que canta esa canción, ella se llama María Sánchez.
[0:07:51.00]-[0:07:53.00]  Y ahora ella, esos trajes los usa ella,
[0:07:53.00]-[0:07:55.00]  ella va a América, pa' todos sitios.
[0:07:56.00]-[0:07:57.00]  A cantar, porque es famosa.
[0:07:58.00]-[0:07:59.00]  Yo me parece que se ha retirado.
[0:08:00.00]-[0:08:03.00]  Y entonces, ella llevó todos esos escalados para allá.
[0:08:03.00]-[0:08:05.00]  Y entonces, como yo te estoy diciendo, de estos escalados,
[0:08:06.00]-[0:08:08.00]  vino gente del hierro, que sabían calar.
[0:08:09.00]-[0:08:11.00]  Y gente de las palmas.
[0:08:11.00]-[0:08:12.00]  Y gente del sur.
[0:08:13.00]-[0:08:15.00]  Y entonces, en esta calle, para que no se nos acabe,
[0:08:15.00]-[0:08:17.00]  y entonces, en esta calle por abajo,
[0:08:18.00]-[0:08:21.00]  se ponían con una mesa, y eso, y la gente calando.
[0:08:22.00]-[0:08:24.00]  Y el turismo, vía y sí, yo haga la ropa.
[0:08:25.00]-[0:08:27.00]  Calada, la brusita, la faldita,
[0:08:27.00]-[0:08:29.00]  y todo era, como era de Canarias, pues era famosa.
[0:08:33.00]-[0:08:34.00]  Es así.
[0:08:34.00]-[0:08:37.00]  ¿Y han notado mucho los turistas aquí alemanes?
[0:08:38.00]-[0:08:39.00]  Aquí hay un montón de gente.
[0:08:39.00]-[0:08:41.00]  De todo hay, de toda semilla.
[0:08:41.00]-[0:08:42.00]  Un montón.
[0:08:42.00]-[0:08:45.00]  Y para allá también eran los nuestros, para allá.
[0:08:45.00]-[0:08:46.00]  Los Canarios, para allá.
[0:08:46.00]-[0:08:48.00]  ¿Sabes? El que puede.
[0:08:49.00]-[0:08:50.00]  El que no puede.
[0:08:54.00]-[0:08:57.00]  ¿Y de cultivos también cultivaban almendra?
[0:08:58.00]-[0:08:59.00]  Eso es en el campo.
[0:09:00.00]-[0:09:01.00]  Eso es para arriba, para tejedas.
[0:09:01.00]-[0:09:03.00]  No, yo no brazo tejedas.
[0:09:04.00]-[0:09:05.00]  Sí, eso es para arriba, para el campo.
[0:09:05.00]-[0:09:07.00]  Se ve el almendra en flor.
[0:09:07.00]-[0:09:11.00]  Eso sí está arriba en el campo, en la cruzaseca,
[0:09:11.00]-[0:09:13.00]  en la cruzaberde, tejedas,
[0:09:13.00]-[0:09:15.00]  todos esos sitios para arriba, en los campos.
[0:09:16.00]-[0:09:17.00]  Eso es muy bonito.
[0:09:18.00]-[0:09:21.00]  La cruz de tejedas, el roque nulo,
[0:09:21.00]-[0:09:22.00]  ¿lo habías oído nombrar?
[0:09:23.00]-[0:09:24.00]  Sí.
[0:09:24.00]-[0:09:27.00]  Sí, el roque nulo, muy bonito.
[0:09:27.00]-[0:09:30.00]  El almendra en flor va turista para arriba.
[0:09:31.00]-[0:09:33.00]  Pero no pertenecen a este pueblo, son pueblos…
[0:09:33.00]-[0:09:34.00]  No, no, no, no, eso es para arriba.
[0:09:34.00]-[0:09:36.00]  Entonces la gente que está aquí,
[0:09:36.00]-[0:09:37.00]  no se iba a trabajar allí.
[0:09:37.00]-[0:09:40.00]  Sí, yo llegué ahí con sardinas tostadas.
[0:09:41.00]-[0:09:42.00]  ¿Con?
[0:09:42.00]-[0:09:45.00]  Sardinas tostadas con gofio, para venderlas.
[0:09:45.00]-[0:09:48.00]  Cuando yo tenía 14 años por ahí,
[0:09:48.00]-[0:09:51.00]  iba con una señora y iban para arriba a venderlas.
[0:09:51.00]-[0:09:54.00]  Las cambiábamos por papas, por queso,
[0:09:54.00]-[0:09:57.00]  por granos, para tener que comer.
[0:09:57.00]-[0:10:00.00]  Ellas tenían sardinas, nosotros teníamos lo demás.
[0:10:00.00]-[0:10:01.00]  No había esa cosa.
[0:10:02.00]-[0:10:04.00]  Un cambio, porque no había dinero.
[0:10:04.00]-[0:10:07.00]  ¿Y había por aquí otro tipo de árboles?
[0:10:07.00]-[0:10:10.00]  ¿Hay almendras? ¿Pero había…
[0:10:10.00]-[0:10:15.00]  Aquí detrás había muchos frutales.
[0:10:15.00]-[0:10:18.00]  ¿Sí? ¿Por donde están…?
[0:10:18.00]-[0:10:21.00]  Pero como ya se vendieron todos esos solares,
[0:10:21.00]-[0:10:23.00]  no podemos ir nada.
[0:10:23.00]-[0:10:27.00]  Había naranjas así, todas rajadas y fuertes que se criaban.
[0:10:28.00]-[0:10:31.00]  Ahora lo que hay por ahí, algunas plantaneras.
[0:10:31.00]-[0:10:35.00]  Aquí en Aguilera hay pocas plantaneras,
[0:10:35.00]-[0:10:37.00]  pero Aguilera está frutido y guía.
[0:10:37.00]-[0:10:38.00]  ¿Saben de eso?
[0:10:39.00]-[0:10:40.00]  Allí sí hay.
[0:10:40.00]-[0:10:42.00]  Y árboles frutales.
[0:10:42.00]-[0:10:45.00]  Pero aquí no, aquí se secó todo.
[0:10:45.00]-[0:10:48.00]  Entonces ahora en el pueblo viven del turismo o…
[0:10:48.00]-[0:10:49.00]  No, también de la pesca.
[0:10:49.00]-[0:10:52.00]  También, algunos viven de la pesca.
[0:10:52.00]-[0:10:56.00]  Pero del turismo viven los bares.
[0:10:57.00]-[0:10:58.00]  Los bares.
[0:10:58.00]-[0:11:03.00]  Los bares que llegan aquí debajo y la gente vive.
[0:11:03.00]-[0:11:05.00]  Y los hoteles.
[0:11:06.00]-[0:11:09.00]  Las casas mismas se alquilan diarios.
[0:11:09.00]-[0:11:11.00]  Porque no las quieren…
[0:11:11.00]-[0:11:12.00]  para sacar más dinero.
[0:11:12.00]-[0:11:15.00]  No las quieren alquilar por meses ni nada,
[0:11:15.00]-[0:11:17.00]  sino porque los gente tiene más dinero.
[0:11:17.00]-[0:11:19.00]  Y eso es lo que hay.
[0:11:20.00]-[0:11:23.00]  Cuéntenos, ¿nos podría decir algún plato típico de esta zona
[0:11:23.00]-[0:11:25.00]  que usted sepa hacer o…?
[0:11:25.00]-[0:11:26.00]  ¿De qué? ¿Típico de comida?
[0:11:26.00]-[0:11:27.00]  Sí.
[0:11:27.00]-[0:11:28.00]  ¿De qué comida?
[0:11:28.00]-[0:11:29.00]  Sí.
[0:11:30.00]-[0:11:31.00]  ¿Vais al baño?
[0:11:31.00]-[0:11:32.00]  Vaya al baño.
[0:11:34.00]-[0:11:36.00]  Vení al caldo pescado, es muy famoso.
[0:11:36.00]-[0:11:38.00]  Aquí en la playa.
[0:11:38.00]-[0:11:39.00]  El sanco yoganario.
[0:11:39.00]-[0:11:41.00]  ¿Saben lo que es el sanco yoganario?
[0:11:41.00]-[0:11:42.00]  ¿Cómo se hace?
[0:11:42.00]-[0:11:44.00]  Eso es con pescado salado.
[0:11:45.00]-[0:11:47.00]  Se desala el pescado, se le quita la…
[0:11:47.00]-[0:11:50.00]  Se pone de remojo y al siguiente día se hace
[0:11:50.00]-[0:11:53.00]  con papa, batata, verdura.
[0:11:53.00]-[0:11:55.00]  Todo se coce junto.
[0:11:55.00]-[0:11:57.00]  Y es el sanco yoganario.
[0:11:57.00]-[0:12:00.00]  Y el caldo pescado es las papas, el pescado,
[0:12:01.00]-[0:12:03.00]  todas las cosas que se le pone, el cilantro,
[0:12:03.00]-[0:12:06.00]  la cebolla, el tomate,
[0:12:06.00]-[0:12:08.00]  todo eso se bata así,
[0:12:09.00]-[0:12:11.00]  con aceite y el pimentón y la cefra.
[0:12:12.00]-[0:12:14.00]  Se le pone agua y hace calda gofio.
[0:12:15.00]-[0:12:18.00]  Los extranjeros les gusta mucho el gofio.
[0:12:18.00]-[0:12:19.00]  Yo he probado el gofio.
[0:12:19.00]-[0:12:20.00]  Sí.
[0:12:20.00]-[0:12:21.00]  A mí me gusta mucho.
[0:12:21.00]-[0:12:22.00]  Sí.
[0:12:22.00]-[0:12:23.00]  ¿Usted lo…
[0:12:23.00]-[0:12:24.00]  Es tardado.
[0:12:24.00]-[0:12:25.00]  ¿Lo hacía…
[0:12:25.00]-[0:12:26.00]  Sí, sí.
[0:12:26.00]-[0:12:27.00]  ¿Cómo se hace?
[0:12:27.00]-[0:12:29.00]  Después, cuando el caldo está hecho,
[0:12:30.00]-[0:12:33.00]  se pone en un calderito un poco de aceite
[0:12:33.00]-[0:12:35.00]  y unos ajitos picados,
[0:12:35.00]-[0:12:36.00]  se dura los ajos,
[0:12:37.00]-[0:12:38.00]  se le pone el caldo,
[0:12:38.00]-[0:12:39.00]  cuando el caldo está hirviendo,
[0:12:39.00]-[0:12:41.00]  tú le pones el gofio y empiezas así
[0:12:41.00]-[0:12:42.00]  y se queda caldadito.
[0:12:42.00]-[0:12:44.00]  Lo pasas en un plato
[0:12:44.00]-[0:12:46.00]  y te vuelves loco comiendo.
[0:12:46.00]-[0:12:47.00]  ¿Verdad, Nina?
[0:12:47.00]-[0:12:48.00]  Sí.
[0:12:48.00]-[0:12:50.00]  Pero también he probado un gofio dulce.
[0:12:50.00]-[0:12:51.00]  Eso es jalapeya.
[0:12:52.00]-[0:12:53.00]  Jalapeya.
[0:12:53.00]-[0:12:54.00]  Eso es sancocho.
[0:12:54.00]-[0:12:55.00]  Sí.
[0:12:55.00]-[0:12:56.00]  Tenía miel, creo.
[0:12:56.00]-[0:12:57.00]  Estaba muy rico.
[0:12:57.00]-[0:12:58.00]  Muchos le ponen miel.
[0:12:58.00]-[0:12:59.00]  Yo le pongo azúcar y aceite,
[0:12:59.00]-[0:13:00.00]  no le pongo miel.
[0:13:02.00]-[0:13:04.00]  Miel no, yo le pongo un poquito de azúcar y aceite
[0:13:04.00]-[0:13:05.00]  y entonces parece turrón.
[0:13:05.00]-[0:13:06.00]  Sí.
[0:13:06.00]-[0:13:07.00]  ¿Verdad?
[0:13:07.00]-[0:13:08.00]  Sí.
[0:13:08.00]-[0:13:09.00]  Parece turrón.
[0:13:09.00]-[0:13:10.00]  Sí, tenía almendras también.
[0:13:10.00]-[0:13:11.00]  Sí.
[0:13:13.00]-[0:13:15.00]  Así de tantas cosas, ¿verdad?
[0:13:16.00]-[0:13:18.00]  ¿Y todavía come gofio hoy?
[0:13:18.00]-[0:13:20.00]  Yo hoy voy a hacer caldo de papa.
[0:13:20.00]-[0:13:22.00]  Ah, para papa.
[0:13:22.00]-[0:13:23.00]  ¿Sabes lo qué es?
[0:13:23.00]-[0:13:24.00]  No.
[0:13:24.00]-[0:13:25.00]  ¿Con pescado?
[0:13:25.00]-[0:13:26.00]  No, sin pescar.
[0:13:26.00]-[0:13:27.00]  ¿No?
[0:13:28.00]-[0:13:32.00]  Son las papas con el cilantro, la cebolla, el pimentón,
[0:13:32.00]-[0:13:36.00]  el aceite, el tomate, un trocito de pimiento verde.
[0:13:36.00]-[0:13:39.00]  Se coge y se le da el aceite y el pimentón.
[0:13:39.00]-[0:13:42.00]  Eso se hundea un poco, sin agua, primero.
[0:13:42.00]-[0:13:45.00]  Después se le pone el agua y se pone el fuego.
[0:13:45.00]-[0:13:49.00]  Cuando está hirviendo, se saca el caldito con las papas,
[0:13:49.00]-[0:13:50.00]  se cae un poquito.
[0:13:50.00]-[0:13:54.00]  Se le echa en un... en un...
[0:13:55.00]-[0:13:56.00]  una palanganita.
[0:13:56.00]-[0:14:01.00]  Y se calda el gofio y a comer con aceituna, con queso,
[0:14:01.00]-[0:14:02.00]  con lo que tú quieras.
[0:14:04.00]-[0:14:07.00]  Son las comidas de los pobres.
[0:14:08.00]-[0:14:10.00]  A usted le gusta cocinar.
[0:14:10.00]-[0:14:11.00]  Sí, a mí me encanta.
[0:14:11.00]-[0:14:14.00]  ¿Y también hacía el pan?
[0:14:14.00]-[0:14:16.00]  No, el pan no.
[0:14:16.00]-[0:14:18.00]  Aquí no, porque uno no tiene espacio para hacerlo,
[0:14:18.00]-[0:14:19.00]  no tengo horno.
[0:14:19.00]-[0:14:21.00]  Eso se necesita un horno.
[0:14:21.00]-[0:14:23.00]  ¿Cómo se hacía antes el pan?
[0:14:23.00]-[0:14:25.00]  Mi hermana, para descansar, lo hacía.
[0:14:25.00]-[0:14:30.00]  Eso se ponía... se hacía... se ponía de remojo con agua,
[0:14:30.00]-[0:14:31.00]  la matalabuga.
[0:14:33.00]-[0:14:36.00]  Otra cosa que se le pone, la levadura.
[0:14:36.00]-[0:14:37.00]  La levadura.
[0:14:37.00]-[0:14:41.00]  Se le echa la harina, se empieza a amasar, amasar, amasar.
[0:14:41.00]-[0:14:43.00]  Y después lo deja reposar.
[0:14:43.00]-[0:14:44.00]  ¿Reposar, sabe lo qué es?
[0:14:44.00]-[0:14:45.00]  Sí, que se deja...
[0:14:45.00]-[0:14:46.00]  Deja un quietito.
[0:14:46.00]-[0:14:47.00]  Deja un quietito.
[0:14:47.00]-[0:14:50.00]  Deja un ratito quietito.
[0:14:50.00]-[0:14:54.00]  Después se coge y se empieza a hacer las pelotitas, se tira,
[0:14:54.00]-[0:14:57.00]  se hace una cortadita y cuando le parece lo mete en el horno.
[0:14:58.00]-[0:15:01.00]  Bien, pero ¿cómo era antes el horno?
[0:15:01.00]-[0:15:02.00]  Porque antes era...
[0:15:02.00]-[0:15:03.00]  ¿De piedra?
[0:15:03.00]-[0:15:04.00]  Sí.
[0:15:04.00]-[0:15:05.00]  ¿De piedra?
[0:15:05.00]-[0:15:06.00]  Hoy no es artificial, niña.
[0:15:06.00]-[0:15:09.00]  ¿Y se hacía aquí en el pueblo o...?
[0:15:09.00]-[0:15:12.00]  Sí, sí, había aquí debajo también.
[0:15:12.00]-[0:15:17.00]  Pero ya hoy todo el mundo son los no letres.
[0:15:17.00]-[0:15:20.00]  Todo el mundo es los no letres.
[0:15:20.00]-[0:15:23.00]  ¿Y también en esa panadería que hacía el pan,
[0:15:23.00]-[0:15:24.00]  hacía tener otros dulces?
[0:15:24.00]-[0:15:26.00]  También lo hay, sí.
