[0:00:00.00]-[0:00:02.00]  Claro, para bailarla, sí.
[0:03:02.00]-[0:03:06.00]  Esta sí es de una oveja mía. No, yo ahora ya no...
[0:03:06.00]-[0:03:16.00]  Tenía esta poquitina de lana y dije, la voy a abrir, para otro ratito que me cuadre, pero no, yo ya ni tengo ganas tampoco de hilar, ni de hacer nada.
[0:03:16.00]-[0:03:20.00]  Nosotros estamos muy vestidos con todo, con lo de la lana que hacemos.
[0:03:20.00]-[0:03:22.00]  ¿Aquí me lo senté?
[0:03:22.00]-[0:03:25.00]  Eso no es, es fuso, fuso.
[0:03:25.00]-[0:03:40.00]  No marches, no marches. Vénganse a ver a estas chicas, cómo se hilan, caramba.
[0:03:40.00]-[0:03:55.00]  ¿De dónde es la roca? ¿De dónde es Madrid?
[0:03:55.00]-[0:03:57.00]  ¿Esta es la roca y este es el fuso?
[0:03:57.00]-[0:03:59.00]  Sí.
[0:03:59.00]-[0:04:01.00]  Es muy trabajosa, ¿no?
[0:04:01.00]-[0:04:03.00]  Sí, es trabajosa.
[0:04:03.00]-[0:04:05.00]  Lleva mucho tiempo.
[0:04:05.00]-[0:04:10.00]  Sí, sí, sí.
[0:04:10.00]-[0:04:15.00]  ¿Y qué querés? Ah, mira cómo lo van grabando.
[0:04:15.00]-[0:04:17.00]  No, es que si no nos lo vamos a acordar de nada.
[0:04:17.00]-[0:04:19.00]  Ay, Dios.
[0:04:19.00]-[0:04:21.00]  Para después recordar todo.
[0:04:21.00]-[0:04:25.00]  Ay, ay, ay, qué cosas van a llevar de nosotras entonces, qué cuento.
[0:04:25.00]-[0:04:27.00]  Esto es la vida de antes, la vida de ahora.
[0:04:27.00]-[0:04:29.00]  Nosotros no estamos en la vida de ahora.
[0:04:29.00]-[0:04:37.00]  Nosotros, por no estar paradas, pues andamos haciendo algo de esto, por estar entretenidas un ratito.
[0:04:37.00]-[0:04:38.00]  Nada más no.
[0:04:38.00]-[0:04:41.00]  ¿Cómo se seca la lana? ¿Se pone al sol?
[0:04:41.00]-[0:04:44.00]  Se pone al sol, claro, se lava.
[0:04:44.00]-[0:04:47.00]  De que cuando le queramos ya hilar y eso, pues la lavamos.
[0:04:47.00]-[0:04:53.00]  Y después ya se pone a secar al sol y pues ya se abre y ya se hace como esta.
[0:04:53.00]-[0:04:55.00]  Bueno, bueno, tú ven acá, ven acá.
[0:04:55.00]-[0:05:01.00]  Sí, por ejemplo, cuando las mujeres trabajan la lana y están reunidas, se hacen algo.
[0:05:01.00]-[0:05:04.00]  Después se hacen cancetines o se hacen jersey.
[0:05:04.00]-[0:05:11.00]  Sí, pero durante el trabajo hay algunos trajes que se cuentan, cuentos o poemas.
[0:05:11.00]-[0:05:13.00]  No, no, no, no.
[0:05:13.00]-[0:05:17.00]  No se canta, no, no, no, ¿tenéis canciones de esta región?
[0:05:17.00]-[0:05:19.00]  No, no, no, no, pero la televisión sí tenemos, sí.
[0:05:19.00]-[0:05:21.00]  Pero no canta la televisión por la noche y eso.
[0:05:21.00]-[0:05:23.00]  Y por el día algún ratito ya los canta.
[0:05:23.00]-[0:05:26.00]  Bueno, día a día no tenemos canciones, nosotros, canciones de por aquí no.
[0:05:26.00]-[0:05:27.00]  No, no.
[0:05:27.00]-[0:05:28.00]  Ni poemas.
[0:05:28.00]-[0:05:30.00]  Antiguos, pero no.
[0:05:30.00]-[0:05:37.00]  Una vez me acuerdo yo que vino uno que ha venido a cantar, unos cantares antiguos, pero ya no, ya no.
[0:05:37.00]-[0:05:40.00]  Bueno, ya no cantamos de los moros.
[0:05:42.00]-[0:05:46.00]  Pero ya ahora ya, pero ahora son muy mayores, muy mayores.
[0:05:46.00]-[0:05:48.00]  ¿Pero que ustedes sabían cantar ahí?
[0:05:48.00]-[0:05:49.00]  Claro, sabían cantar.
[0:05:49.00]-[0:05:50.00]  ¿Románten también?
[0:05:50.00]-[0:05:51.00]  Sí, sí.
[0:05:51.00]-[0:05:52.00]  ¿Cantamos en la iglesia?
[0:05:52.00]-[0:05:54.00]  Sí, cantamos en la iglesia.
[0:05:58.00]-[0:06:01.00]  ¿Y de qué trataban, por ejemplo, las canciones?
[0:06:01.00]-[0:06:12.00]  La iglesia, pues viva la virgen y después cuando nos sentamos en la comunión, cantábamos en la comunión.
[0:06:12.00]-[0:06:15.00]  ¿No cantábamos como son los cantares de la iglesia?
[0:06:15.00]-[0:06:16.00]  Como son los cantares de la iglesia.
[0:06:16.00]-[0:06:18.00]  Igual aquí que más allá, que más allá.
[0:06:18.00]-[0:06:19.00]  Eso es igual.
[0:06:19.00]-[0:06:21.00]  Sí, no, eso es igual.
[0:06:21.00]-[0:06:23.00]  A los únicos ahora otros.
[0:06:23.00]-[0:06:29.00]  Porque cuando escuchamos la televisión los domingos que hay misa por la segunda, pues igual que aquí.
[0:06:29.00]-[0:06:31.00]  No, aquellas canciones cantan.
[0:06:31.00]-[0:06:33.00]  Anda, no, que ellos, que son otras cantan.
[0:06:33.00]-[0:06:34.00]  Pero cantan también.
[0:06:34.00]-[0:06:36.00]  Algunos sí, también son igual.
[0:06:36.00]-[0:06:39.00]  Porque ellos están con un coro allí enseñándolas.
[0:06:39.00]-[0:06:41.00]  Claro, que tiene que ver aquello.
[0:06:41.00]-[0:06:42.00]  Pero nosotros.
[0:06:42.00]-[0:06:44.00]  Aquí no, aquí ahí somos muy pocas.
[0:06:44.00]-[0:06:45.00]  Y nosotros viejos.
[0:06:45.00]-[0:06:51.00]  Y claro, la gente mayor, a las jóvenes no ni van siquiera mis.
[0:06:51.00]-[0:06:53.00]  Y no las hay tampoco.
[0:06:53.00]-[0:06:54.00]  Nosotros ahora.
[0:06:54.00]-[0:06:57.00]  Somos nosotras las que tenemos que cantar en la iglesia.
[0:06:57.00]-[0:07:00.00]  Somos nosotras las que tenemos que cantar en la iglesia.
[0:07:00.00]-[0:07:01.00]  Sí.
[0:07:01.00]-[0:07:05.00]  Todo, pero no hay gente así joven que vaya, no, no.
[0:07:05.00]-[0:07:08.00]  No las hay tampoco.
[0:07:08.00]-[0:07:14.00]  La gente joven todo marchan para escapitar, es porque, para los Sipes, porque no quieren estar prostitutis.
[0:07:14.00]-[0:07:19.00]  Y eso ya ven cómo lo hace.
[0:07:19.00]-[0:07:22.00]  La dama ya ven cómo lo hace.
[0:07:22.00]-[0:07:24.00]  Bueno, es que tengo un filo de palo de dinamo.
[0:07:24.00]-[0:07:32.00]  Y usted nos puede contar un poco de cómo era, por ejemplo, en lo que le enseñaba una madre a una hija, antiguamente.
[0:07:32.00]-[0:07:34.00]  Le enseñaba a hilar la lana.
[0:07:34.00]-[0:07:38.00]  Claro, le enseñaba a tejer, a hacer el calcetín y le enseñaba a hilar.
[0:07:38.00]-[0:07:40.00]  Y a hacer geceis.
[0:07:40.00]-[0:07:42.00]  Y a cocer agua también.
[0:07:42.00]-[0:07:45.00]  Antes nos vestíamos aquí de lana.
[0:07:45.00]-[0:07:50.00]  Cuando hubo una guerra, que Dios quiera que no la volvamos a ver, nadie,
[0:07:50.00]-[0:07:54.00]  que hubo una guerra que nos quedamos sin nada de ropas por aquí,
[0:07:54.00]-[0:07:57.00]  tuvimos que hacer toda la ropa de lana.
[0:07:57.00]-[0:08:00.00]  La tuvimos que hacer para vestirnos, todo, todo.
[0:08:00.00]-[0:08:07.00]  Igual hacíamos faldas, que ejercéis, y refajos, que si sabéis lo que son refajos.
[0:08:07.00]-[0:08:12.00]  Por adentro, en vez de tener combinaciones, lo traíamos ropazos de lana.
[0:08:12.00]-[0:08:17.00]  Todos no teníamos nada, nada. Aquí, entonces, por aquí, no nosotros, no.
[0:08:17.00]-[0:08:20.00]  Toda la gente de por ciertos sitios pasó eso.
[0:08:20.00]-[0:08:24.00]  Que no teníamos lana y teníamos que hacer el vestir de lana, las medias.
[0:08:24.00]-[0:08:26.00]  Y cuidábamos a las gallinas, cuidábamos a las ovejas.
[0:08:26.00]-[0:08:28.00]  Y íbamos a arar.
[0:08:28.00]-[0:08:30.00]  ¿Que sabéis lo que es arar?
[0:08:30.00]-[0:08:31.00]  Sí, sí, sí.
[0:08:31.00]-[0:08:33.00]  Ah, pues íbamos con...
[0:08:33.00]-[0:08:35.00]  Sí, sabéis lo que es arar, pero orarán contratores.
[0:08:35.00]-[0:08:39.00]  Nosotros íbamos con vacas y hueyes.
[0:08:39.00]-[0:08:41.00]  Con una tibas.
[0:08:41.00]-[0:08:42.00]  ¿Cómo?
[0:08:42.00]-[0:08:43.00]  Con tibas.
[0:08:43.00]-[0:08:44.00]  ¿Qué es eso?
[0:08:44.00]-[0:08:45.00]  Araos, los araos.
[0:08:45.00]-[0:08:47.00]  Es arar, pues se llevaban las vacas.
[0:08:47.00]-[0:08:48.00]  Araos.
[0:08:48.00]-[0:08:52.00]  A mí quería agarrar el arao y yo aquí no tengo ninguno.
[0:08:52.00]-[0:08:56.00]  No tengo ninguna tibas, por suerte.
[0:08:56.00]-[0:09:01.00]  Las hacía para venderle los remedios, unas tibas pequeñas.
[0:09:01.00]-[0:09:02.00]  Ah, pero no tienes ninguna.
[0:09:02.00]-[0:09:05.00]  No, no, ahora ya no tengo ninguna.
[0:09:05.00]-[0:09:11.00]  Si no le enseñaba una tibina a aquellas, ya sabían lo que era un arao.
[0:09:11.00]-[0:09:13.00]  Como eran los araos, no más eso.
[0:09:13.00]-[0:09:18.00]  Esas son unas tibinas que hacían como para juguetes, para venderlas.
[0:09:18.00]-[0:09:22.00]  No, romería, caía ahí, para abajo, no llegó una romería.
[0:09:22.00]-[0:09:24.00]  Y yo las llevaba a vender.
[0:09:24.00]-[0:09:29.00]  Y jugos, que eran lo que se... las vacas.
[0:09:29.00]-[0:09:36.00]  Y vamos a arar. Las vacas le poníamos un jugo y se prendían un lado y otro a otro, con aquel jugo por ahí arriba.
[0:09:36.00]-[0:09:39.00]  Que a lo mejor habréis visto por ahí arando, porque no se ven a tele.
[0:09:39.00]-[0:09:40.00]  Sí.
[0:09:40.00]-[0:09:41.00]  Muchas veces arando.
[0:09:41.00]-[0:09:46.00]  Bueno, pues después le poníamos el jugo y llevaban las vacas y íbamos a arar.
[0:09:46.00]-[0:09:55.00]  Y llevábamos con el arao y nosotras con una guijada, las pinchábamos por detrás y...
[0:09:55.00]-[0:09:56.00]  Pero ¿qué pinchaban?
[0:09:56.00]-[0:09:58.00]  Las vacas, vaca canina.
[0:09:58.00]-[0:09:59.00]  Un palo, un palo.
[0:09:59.00]-[0:10:00.00]  Ay, qué rica.
[0:10:00.00]-[0:10:04.00]  Porque había que andar, porque si no me ha la punta para que te perdieras.
[0:10:04.00]-[0:10:06.00]  Si no, no. Estás bien casa.
[0:10:06.00]-[0:10:10.00]  Entonces, los veo yo en la tele, arando.
[0:10:10.00]-[0:10:11.00]  ¿A que los habéis visto?
[0:10:11.00]-[0:10:12.00]  Sí.
[0:10:12.00]-[0:10:13.00]  Arando.
[0:10:13.00]-[0:10:14.00]  No, las vacas con la tiba no las has visto en la tele.
[0:10:14.00]-[0:10:16.00]  Sí, las has visto en la tele, sí.
[0:10:16.00]-[0:10:19.00]  Sí, las he visto yo, vacas en la tele con los araos.
[0:10:19.00]-[0:10:21.00]  Con los araos, con alguna cava que haya.
[0:10:21.00]-[0:10:22.00]  Sí, sí, sí.
[0:10:22.00]-[0:10:25.00]  Las he visto yo, como nosotros sabíamos, las he visto yo en la tele.
[0:10:25.00]-[0:10:30.00]  Serán cosas que hiciera un reportaje cuando fuera, pero yo las he visto, arando.
[0:10:30.00]-[0:10:33.00]  Y así lo teníamos que hacer nosotros.
[0:10:33.00]-[0:10:36.00]  Cuando caigas países de los moros, están en la tele argentina.
[0:10:36.00]-[0:10:37.00]  Nosotros teníamos que hacer eso.
[0:10:37.00]-[0:10:41.00]  Entonces, cuando éramos jóvenes. Ahora ya nada.
[0:10:41.00]-[0:10:42.00]  ¿Y qué se cultivaba?
[0:10:42.00]-[0:10:43.00]  ¿Qué dices?
[0:10:43.00]-[0:10:45.00]  ¿Qué se cultivaba aquí?
[0:10:45.00]-[0:10:48.00]  Bueno, pues el trigo y centeno.
[0:10:48.00]-[0:10:51.00]  Trigo y centeno y patatas.
[0:10:51.00]-[0:10:52.00]  Y alguna patata.
[0:10:52.00]-[0:10:54.00]  Poco, porque aquí es muy miserable este pueblo.
[0:10:54.00]-[0:10:55.00]  Y alguna pez.
[0:10:55.00]-[0:10:56.00]  Es muy pobre.
[0:10:56.00]-[0:11:02.00]  Y ahora ya no se cultiva nada, porque la gente joven está por Madrid y por...
[0:11:02.00]-[0:11:04.00]  Y ahora no hay mucha gente por todo el mundo.
[0:11:04.00]-[0:11:08.00]  Y aquí todos los que somos, ya casi todos somos mayores.
[0:11:08.00]-[0:11:13.00]  Y por eso que no hay ahora ya aquí gente.
[0:11:13.00]-[0:11:18.00]  Y bueno, y si alguno hará alguna, pues las harán con los tractores ya.
[0:11:18.00]-[0:11:19.00]  Ya no harán.
[0:11:19.00]-[0:11:24.00]  Ya hace mucho tiempo que no hay aquí nada. Ya no se hará nada aquí.
[0:11:24.00]-[0:11:28.00]  Pero si se entra en una comodidad europea, ya se ha dado muy poco, porque...
[0:11:28.00]-[0:11:29.00]  No, ya no.
[0:11:29.00]-[0:11:30.00]  Querían que le quedaran las fincas en cuelga.
[0:11:30.00]-[0:11:33.00]  ¿Qué saben ellos lo que es en cuelga?
[0:11:33.00]-[0:11:34.00]  Que querían el ganadería, si yo sé.
[0:11:34.00]-[0:11:35.00]  ¿Qué son las fincas?
[0:11:35.00]-[0:11:36.00]  ¿Las fincas son las fincas?
[0:11:36.00]-[0:11:39.00]  Las fincas son los campos que dábamos.
[0:11:39.00]-[0:11:41.00]  ¿Cómo llaman?
[0:11:41.00]-[0:11:42.00]  Fincas.
[0:11:42.00]-[0:11:43.00]  Bueno, tierras.
[0:11:43.00]-[0:11:44.00]  Tierras.
[0:11:44.00]-[0:11:46.00]  Y cómo querían que dejaran las fincas?
[0:11:46.00]-[0:11:49.00]  Que querían que las dejáramos...
[0:11:49.00]-[0:11:52.00]  Si lo que queríamos era nosotros dejarlas porque ya no haríamos que lo pusieran.
[0:11:52.00]-[0:11:56.00]  Para que dieran pasto, para que criáramos corderos por aquí y ganadería.
[0:11:56.00]-[0:12:00.00]  Y hay que es para forzar para otras naciones y para esos sitios.
[0:12:00.00]-[0:12:05.00]  Anda que no fue entonces cuando nosotros vendimos las tierras de mi hermana,
[0:12:05.00]-[0:12:12.00]  que no compró la tierra de tallarines porque dijo, si hay que dejarlas en cuelga, pues ya no las compró.
[0:12:12.00]-[0:12:15.00]  Bueno, eso no me preocupa.
[0:12:15.00]-[0:12:20.00]  ¿Hay algún plato típico de esta región?
[0:12:20.00]-[0:12:24.00]  Cucido y maragato, pues le andan llamando.
[0:12:24.00]-[0:12:26.00]  ¿Cómo se prepara?
[0:12:26.00]-[0:12:30.00]  Ah, yo no sé nada de eso porque yo nunca he visto comida así.
[0:12:30.00]-[0:12:35.00]  Porque yo nunca he ido a comer fuera.
[0:12:35.00]-[0:12:40.00]  ¿Y ustedes cuando iban a la tierra arad y llevaban la comida o...?
[0:12:40.00]-[0:12:42.00]  ¿Qué van? Eso sí que es verdad.
[0:12:42.00]-[0:12:43.00]  ¿Un trozo de pan o una cosa?
[0:12:43.00]-[0:12:46.00]  A comer no hacíamos comida, no.
[0:12:46.00]-[0:12:51.00]  Entonces llevábamos un poco de pan y tocino, que no sé si sabéis lo que es tocino, de los cerdos.
[0:12:51.00]-[0:12:52.00]  ¡Grasa de cerdo!
[0:12:52.00]-[0:12:53.00]  Y chorizo.
[0:12:53.00]-[0:12:55.00]  Sí, pero bien poco.
[0:12:55.00]-[0:12:58.00]  Bueno, poco, pero lo llevábamos un poco de chorizo, sí.
[0:12:58.00]-[0:13:00.00]  Chorizo y tocino y comíamos eso.
[0:13:00.00]-[0:13:01.00]  ¿Y una cebolla?
[0:13:01.00]-[0:13:03.00]  Y una cebolla, si teníamos una cebolla.
[0:13:03.00]-[0:13:06.00]  Y si no, pues eso, una botella con agua y nada más.
[0:13:06.00]-[0:13:08.00]  Por el día no comíamos otra cosa.
[0:13:08.00]-[0:13:09.00]  ¿Por la noche?
[0:13:09.00]-[0:13:15.00]  Por la noche, cuando andábamos segando el pan, que lo teníamos que segar el pan también, con una hoz.
[0:13:15.00]-[0:13:18.00]  El pan de trigo y centeno que sembrábamos.
[0:13:18.00]-[0:13:20.00]  Después lo segábamos con una hoz.
[0:13:20.00]-[0:13:23.00]  Y vosotros no sabéis lo que es una hoz tampoco.
[0:13:23.00]-[0:13:24.00]  ¿Sabéis qué es una hoz?
[0:13:24.00]-[0:13:25.00]  ¿Y ella se la ha llevado?
[0:13:25.00]-[0:13:27.00]  Como, bueno, un cochillo que...
[0:13:27.00]-[0:13:28.00]  Sí, sí.
[0:13:28.00]-[0:13:32.00]  Viene para agarrar y después así encorvao.
[0:13:32.00]-[0:13:34.00]  Y es una hoz y segábamos el pan.
[0:13:34.00]-[0:13:37.00]  Con aquellas hoces segábamos el pan.
[0:13:37.00]-[0:13:42.00]  Después de que lo segábamos, íbamos con las vacas y el carro.
[0:13:42.00]-[0:13:44.00]  ¿El carro no sabéis lo que es un carro?
[0:13:44.00]-[0:13:45.00]  Sí.
[0:13:45.00]-[0:13:46.00]  Sí.
[0:13:46.00]-[0:13:48.00]  Con unas ruedas.
[0:13:48.00]-[0:13:56.00]  Y pues con aquel carro y las vacas que teníamos, pues traíamos el pan para la era.
[0:13:56.00]-[0:13:59.00]  Lo cargábamos en el carro y lo traíamos para la era.
[0:13:59.00]-[0:14:05.00]  Después de que ya lo teníamos en la era, pues ya lo trillábamos con un trillo.
[0:14:05.00]-[0:14:10.00]  Pero eso es que como nunca habéis oído nada de eso que vais a saber.
[0:14:10.00]-[0:14:14.00]  Teníamos unos trillos que trillábamos el pan.
[0:14:14.00]-[0:14:17.00]  Ah, mira la hoz.
[0:14:17.00]-[0:14:20.00]  Que después lo trillábamos con un trillo.
[0:14:20.00]-[0:14:22.00]  Iban las vacas a la...
[0:14:22.00]-[0:14:27.00]  Iban por atrás, iban la gente, pinchando, agarrando una...
[0:14:27.00]-[0:14:28.00]  ¿Encima del trillo, hombre?
[0:14:28.00]-[0:14:32.00]  Encima del trillo, sí, pero con qué lo cogíamos.
[0:14:32.00]-[0:14:33.00]  ¿El trillo estaba hecho?
[0:14:33.00]-[0:14:36.00]  Bueno, el trillo sí, pero para cogerlo para las vacas.
[0:14:36.00]-[0:14:39.00]  Para que íbamos ahí encima del trillo y con...
[0:14:39.00]-[0:14:40.00]  ¿Cabábamos un calamón?
[0:14:40.00]-[0:14:45.00]  Y con la guijada, que para pinchar las vacas, bueno, pues con aquello las pinchábamos
[0:14:45.00]-[0:14:47.00]  y dábamos vueltas, vueltas, alrededor.
[0:14:47.00]-[0:14:52.00]  Allí hacíamos una trilla en una pradera y así se trillaba el pan.
[0:14:52.00]-[0:14:57.00]  Después de que estaba trillado bastante, que ya la paja estaba bastante deshecha,
[0:14:57.00]-[0:15:01.00]  ya lo ajuntábamos en un campo, un trocito, así junto.
[0:15:01.00]-[0:15:05.00]  Después lo limpiábamos con unos bildos, que le llamaban bildos.
[0:15:05.00]-[0:15:06.00]  El que canta aire.
[0:15:06.00]-[0:15:07.00]  El que canta aire.
[0:15:07.00]-[0:15:10.00]  Cuando andaba aire, si no, no podíamos ni siquiera limpiarlo.
[0:15:10.00]-[0:15:12.00]  Por eso todo eso nos pasó.
[0:15:12.00]-[0:15:13.00]  Los bildos no los...
[0:15:13.00]-[0:15:14.00]  A nosotros, a todos.
[0:15:14.00]-[0:15:16.00]  No se los conocíamos porque los llevamos todos a este...
[0:15:16.00]-[0:15:18.00]  Sí, cuando está la limpiadora, cuando.
[0:15:18.00]-[0:15:19.00]  Ahora, ahora más tarde.
[0:15:19.00]-[0:15:20.00]  Ahora más tarde, pero...
[0:15:20.00]-[0:15:22.00]  Cuando nos creíamos, nadie limpiadora ni nada que...
[0:15:22.00]-[0:15:23.00]  Claro.
[0:15:23.00]-[0:15:26.00] ...cabase de tirarlo al lado, para que el aire separara los granos de la paja.
[0:15:26.00]-[0:15:31.00]  Los bildos y unas bildinas también, que tenían unas...
[0:15:31.00]-[0:15:34.00]  Y todos ustedes van para allá, a la casa de su padre.
[0:15:34.00]-[0:15:35.00]  ¿Cómo son los bildos?
[0:15:35.00]-[0:15:37.00]  Yo me esperaba que hubieran todavía para ahí...
[0:15:37.00]-[0:15:39.00]  Vamos a prender a helado hoy.
[0:15:39.00]-[0:15:41.00]  ¿Cómo son los bildos?
[0:15:41.00]-[0:15:42.00]  Aprendería.
[0:15:42.00]-[0:15:43.00]  ¿Bildos, pues...?
[0:15:43.00]-[0:15:46.00]  Los bildos no se los puedo enseñar porque no tengo ninguno en casa.
[0:15:46.00]-[0:15:48.00]  Porque los llevo a todos.
[0:15:48.00]-[0:15:50.00]  Son para aventar la paja, ¿no?
[0:15:50.00]-[0:15:52.00]  Para levantar la paja.
[0:15:52.00]-[0:15:55.00]  Tienen cuatro dientes alante.
[0:15:55.00]-[0:15:57.00]  ¿Cuántos dientes?
[0:15:57.00]-[0:15:59.00]  Pero como que hay que...
[0:15:59.00]-[0:16:03.00]  Cuando anda aire, tirarlo adelante, ya separa el grano para un lado y la paja para otro.
[0:16:03.00]-[0:16:04.00]  Claro.
[0:16:04.00]-[0:16:07.00]  Con el aire se tira la paja aquella, se tira.
[0:16:07.00]-[0:16:12.00]  Después el grano, como pesa, queda más aquí y la paja ya más allá.
[0:16:12.00]-[0:16:14.00]  Ya la separa del...
[0:16:14.00]-[0:16:16.00]  Ya queda el grano para un lado y la paja para otro.
[0:16:16.00]-[0:16:18.00]  Todo lo siempre lo tenemos así.
[0:16:18.00]-[0:16:20.00]  ¿Y después había que llevarlo a moler a los molinos del río?
[0:16:20.00]-[0:16:21.00]  Que se había...
[0:16:21.00]-[0:16:25.00]  Si vengo de moler molena a los molinos del río, no lo...
[0:16:25.00]-[0:16:31.00]  Hay sentido ese cantar, pues hace pocos días lo sentí yo en la tele.
[0:16:31.00]-[0:16:32.00]  ¿A qué lo habéis oído?
[0:16:32.00]-[0:16:36.00]  Vengo de moler molena a los molinos del río.
[0:16:36.00]-[0:16:39.00]  Dormí con la molinera, no lo sabe su marido.
[0:16:39.00]-[0:16:41.00]  ¿A qué lo hay sentido ese cantar en la tele?
[0:16:41.00]-[0:16:43.00]  Para pocos días que lo oí yo.
[0:16:43.00]-[0:16:49.00]  Por eso, que después le íbamos a moler al río, que está ahí para ese lado allá,
[0:16:49.00]-[0:16:54.00]  cerca de Filiel, es un pueblo que está allá, y hay un río, íbamos a moler allí.
[0:16:54.00]-[0:16:56.00]  Y nos lo molía.
[0:16:56.00]-[0:16:59.00]  Y traíamos la harina para casa.
[0:16:59.00]-[0:17:03.00]  Y amasábamos nosotros en casa el pan.
[0:17:03.00]-[0:17:06.00]  Traían la harina y la apartaban.
[0:17:06.00]-[0:17:10.00]  En un sitio traían los despojos de la harina,
[0:17:10.00]-[0:17:12.00]  y en otro sitio el salvajo que le llamábamos,
[0:17:12.00]-[0:17:16.00]  y el otro traía la harina y la amasábamos nosotros en casa.
[0:17:16.00]-[0:17:20.00]  El salvajo era para críannos verdes, porque queríamos que todos...
[0:17:20.00]-[0:17:21.00]  Bueno, bueno.
[0:17:21.00]-[0:17:25.00]  Para poder comer algo de eso, porque los huevos que nos ponían los gallinos,
[0:17:25.00]-[0:17:26.00]  queríamos gallinas...
[0:17:26.00]-[0:17:27.00]  ¡Cállate la boca!
[0:17:27.00]-[0:17:28.00]  ¡Qué es la verdad, eso!
[0:17:28.00]-[0:17:29.00]  ¡Bueno!
