[0:00:00.00]-[0:00:01.00]  ¡Llamo!
[0:03:04.00]-[0:03:13.00]  Y los vecinos míos siempre me traen una que ellas hacen, y cuando matan siempre me traen una, pero yo no doy mucho por esa morcilla.
[0:03:13.00]-[0:03:16.00]  ¿Y en esta zona qué se le echa, arroz o...?
[0:03:16.00]-[0:03:31.00]  No, aquí se le echa todo, se le echa eso que te digo yo, con harina, harina además de... además parte de eso, harina, nueces, pasas, bueno, higos, pero higos de la taberna, de los pasas.
[0:03:31.00]-[0:03:36.00]  No higos verdes, higos ya de esos que vienen en caja, y eso es lo que se le echa aquí.
[0:03:36.00]-[0:03:38.00]  En otros sitios a lo mejor le echan otra cosa.
[0:03:38.00]-[0:03:46.00]  Hay morcilla de muchos... esa es morcilla de aquí, pero hay morcilla de otro sitio, con carne y pimienta, le llamamos, también, es otra cosa.
[0:03:46.00]-[0:03:53.00]  La morcilla, por ejemplo, que cuando hacemos una favada, es otra morcilla de carne, no es esa dulce. Esa dulce es para comer.
[0:03:53.00]-[0:04:02.00]  Se cortan rebajas delgaditas y se echan saltar un poquito y se come. A mí no me hace muy dulce, eso no me va.
[0:04:02.00]-[0:04:07.00]  Y luego, ¿qué más hacen con el cerdo?
[0:04:07.00]-[0:04:16.00]  De su parte, se salta, se meten en una escolaridad de cantería, de piedra, se deja como tres semanas.
[0:04:16.00]-[0:04:25.00]  Después se levanta, se cura la carne, se huma, se hace un fuego y tiene varios días al humo, y después se deja curar.
[0:04:25.00]-[0:04:33.00]  Incluso yo los llevo para un orro que tengo ahí, para después que se seque, y para otro año se comen.
[0:04:33.00]-[0:04:36.00]  ¿Y la mosca ha muchos problemas en esta zona?
[0:04:36.00]-[0:04:47.00]  Muchos, muchos problemas, sí. Hay que poner una bolsa, tenemos unas bolsas de res, para que no le toque la carne, y ya no hay problema.
[0:04:47.00]-[0:04:54.00]  Hay dos volgados atrás, pero sí, con la bolsa, si no, se quede claro, lo pica la mosca.
[0:04:54.00]-[0:04:55.00]  ¿Y pone larvas?
[0:04:55.00]-[0:05:07.00]  Por las larvas, las gusanas, las moscas, es un café de insecto normal para eso, por las dos fases, el sábano y el temín que estudian, tienen el gusano, la larva, la mosca y el huevo, son cuatro fases.
[0:05:07.00]-[0:05:11.00]  Sí, en la floresta, la mosca cualquiera.
[0:05:11.00]-[0:05:16.00]  ¿Y luego, en esta zona, qué se solía cultivar antes de todo?
[0:05:16.00]-[0:05:40.00]  Esta zona es una zona muy buena, pero es mala, es un minifundio. Ahora ya no, porque no se trabaja, porque ahora en esta zona se trabaja un poco, pero antes, cada casa tenía, no es como ahora, tenía una vaca o dos, ponía maíz, ponía patatas, ponía habas, ponía trigo, de todo, y con esto, pues, se pasaba el año como se podía.
[0:05:40.00]-[0:05:48.00]  Ahora no, porque ahora nadie trabaja ya aquí, puede haber unas cuantas vacas por ahí, pero nada, no se trabaja nada.
[0:05:48.00]-[0:06:01.00]  No se produce nada aquí ahora, lo que se producía antes, porque antes vivía con lo que se producía aquí, había la feria, y no estuvisteis vosotros ya, entonces era una vez al mes, una feria en mercado de estas, que había de todo.
[0:06:01.00]-[0:06:11.00]  Como tenías que comprar, como te iba a decir yo, unos calcetines, pues llevabas una gallina, o huevos para vender, en cambio, era un lucre, ahora no se saca nada de eso.
[0:06:11.00]-[0:06:12.00]  ¿Hacían troque?
[0:06:12.00]-[0:06:28.00]  Claro, llevabas una cesta de patatas, andando por ahí, ibas a comprar, no sé, un, nada más, otra cosa, un pantalón, cualquier cosa, una praga, un pan, bueno, lo que había por alta.
[0:06:28.00]-[0:06:33.00]  ¿Y cómo se hacía la cosecha? ¿Tiene recuerdos de cuando era pequeño? ¿Cómo hacían la cosecha?
[0:06:33.00]-[0:06:50.00]  Bueno, no tengo recuerdos de niño, las cosechas, había que labrar la tierra, la ararra, se sembraba el trigo, el trigo, por ejemplo, esto se hacía en diciembre, pasaba tiempo, el trigo antes se echaba por surcos anchos, como esta mesa, por ejemplo,
[0:06:50.00]-[0:07:05.00]  y la gente en mayo, cuando el trigo salía, porque el trigo tarda mucho un crecer, pues se le quitaba la yerba mala toda con la mano, desde surco aquí, pues se le quitaba toda la yerba mala y quedaba todo limpio.
[0:07:05.00]-[0:07:23.00]  Cuando es en agosto, seca, se cerraba con una hoz, con una hoz, que hacían unos mollos, llamaban unos mollos, daba más vueltas que... y después, uno se ponía en un terreno derecho para que curara,
[0:07:23.00]-[0:07:42.00]  y después se traía para la Aira, llamábamos ya Aira, era un sitio para triar, la rilladora de estas antiguas, con un motor allí delante, y se mollaba, se juntaban como 450 personas, se mollaba su trigo, pues pasaban cosas para el orro, para el payaso.
[0:07:42.00]-[0:07:44.00]  ¿A qué llaman mallar?
[0:07:44.00]-[0:08:00.00]  Triar. Mallar, triar. Los mallos, ya había... Antiguamente, que eso ya no lo acuerdo yo, con los mallos que había con un palo, con rabo, pero eso ya no lo acuerdo yo, yo acuerdo de unas triadoras viejas ahí que trillaban, tenían...
[0:08:00.00]-[0:08:21.00]  Y todo esto para el trigo, pero el maíz, por ejemplo, ¿qué hacían con él? El maíz, donde se cogía el trigo, se haraba la tierra, se sembraba avena y nabos para el invierno, eso se llamaba invierno, antes de abril.
[0:08:21.00]-[0:08:38.00]  Nabos y mezclados, y se cogía para la ganada, para el invierno. Y entonces en abril se haraba la tierra, nosotros decíamos que había que dejarla cocer, que se curtiera, se curtiera, se gradaba, bueno, con unas vacas, como se producía, y se sembraba el maíz.
[0:08:38.00]-[0:08:56.00]  Nosotros que sembraba el maíz. El maíz daba su labor, porque el maíz, cuando pasaba un mes había que cavarlo, cuando era la planta así, se cavaba todo con sus achos, y después pasaban unos 15 días, se pasaba la montona, le llamábamos, y pasábamos un rato con las vacas.
[0:08:56.00]-[0:09:11.00]  Y el maíz se cogía, yo tengo maíz aún, pero ahora no se trabaja, es un sulfato, pues vas a cogerlo en noviembre, en diciembre, está por coger aún, ese es el proceso del maíz.
[0:09:11.00]-[0:09:28.00]  Y el maíz después viene para la cabaña, lo echamos con la pluma, a la noche nos juntamos pocos, porque ahora ya hay pocos, antes había muchos, cuatro o cinco, le quitamos la pluma y va para el horro, el horro y para sacar. Y de allí se va cogiendo para la ganada y limpiar.
[0:09:28.00]-[0:09:30.00]  Eso es lo que se hace.
[0:09:30.00]-[0:09:34.00]  Y nos han dicho que con el maíz hacían una fiesta de la hoja, puede ser, que lo descolaban.
[0:09:34.00]-[0:09:46.00]  La hacian de la ganada, sí, la estoy haciendo de la haciana, de la noche, cuando acabábamos de hacer otros trabajos, de darlo a ganado y se cenaba, ibas para hasta una hora, hasta la mañana, y hacianas de la ganada.
[0:09:46.00]-[0:09:48.00]  ¿Y qué hacían en esa fiesta?
[0:09:48.00]-[0:09:59.00]  Había de todo, cuando era pequeño, los niños se divertían, no era como ahora, trabajando, iba para allí y divertíanse los niños, quitaban, tiraban las piezas de uno a otro, esas cosas.
[0:09:59.00]-[0:10:09.00]  Los mayores miraban, los jóvenes aprovechaban también para mocear algo, una follada, pues aprovechabas, que era lo que había.
[0:10:09.00]-[0:10:11.00]  Y así era.
[0:10:11.00]-[0:10:21.00]  Y después a la última a lo mejor asaban castañas para comerles y un poco de vino, que había una bota para andar pasando, y eso sí, la bota no faltaba.
[0:10:21.00]-[0:10:24.00]  ¿Aquí por esta zona hacían vino?
[0:10:24.00]-[0:10:40.00]  No, dicen que hace muchos años, hay un sitio que lo llaman por ilustrante, que lo llaman las viñas, que los subo, pero de mi acordanza, nada, vino, nada, unas parras por ahí para comer, unas uvas, pero no había vino aquí, no, solo esto.
[0:10:40.00]-[0:10:43.00]  Y has dicho que cultivaban también avena.
[0:10:43.00]-[0:10:55.00]  Sí, avena se cultivaba dos veces al año, una vez para eso del forraje y otra vez como el trigo para coger la semente.
[0:10:55.00]-[0:11:01.00]  ¿Y no cultivaban nada más? ¿Era trigo, maíz, avena?
[0:11:01.00]-[0:11:03.00]  Patatas.
[0:11:03.00]-[0:11:13.00]  Patatas, siempre se cultivaba de todo, por eso aquí te digo que esto fue de todo y no es de nada, todo mundo estaba de todo y nadie tenía de nada.
[0:11:13.00]-[0:11:23.00]  Siempre se llevaba de todo, aquí es buena tierra y tiene buen clima, pero siempre fue un minifundio, cada uno tiene dos forrados de tierra, cuatro, cinco, seis o uno.
[0:11:23.00]-[0:11:33.00]  No es como otros litios que uno tiene una extensión, aquí no, esto es de tres a cuatro, todo repartido, un minifundio.
[0:11:33.00]-[0:11:40.00]  Y cuéntenos también, porque nos interesa mucho, ¿cómo era la educación antes? ¿Usted por ejemplo fue a la escuela?
[0:11:40.00]-[0:11:51.00]  Sí, fui a la escuela, no siempre, no siempre iba a la escuela cuando no había que llamar las vacas porque había que poner las patatas o echar trigo.
[0:11:51.00]-[0:11:55.00]  Y tampoco me gustaba mucho, no me interestimaba.
[0:11:55.00]-[0:12:08.00]  Fui a la escuela hasta los 14 años, un graduado de escolar de acá le llamaba en un certificado de estudios primarios, era lo que hubo, no había más.
[0:12:08.00]-[0:12:11.00]  Yo estudiaba, estudiaba el don Rico con los pobres, no podía.
[0:12:11.00]-[0:12:13.00]  ¿Y luego ha estado aquí toda su vida trabajando?
[0:12:13.00]-[0:12:19.00]  Toda, fue a servicio a Madrid, un año, quince meses.
[0:12:19.00]-[0:12:20.00]  ¿A la mili?
[0:12:20.00]-[0:12:26.00]  A la mili, acá a hacer el campamento y a Madrid, el resto quince meses.
[0:12:26.00]-[0:12:27.00]  ¿Mucha gente estuvo ahí?
[0:12:27.00]-[0:12:30.00]  Tuvo mucha gente, sí, bueno, muchos.
[0:12:30.00]-[0:12:33.00]  Y cuéntenos, ¿y la educación, cómo eran los maestros antes?
[0:12:33.00]-[0:12:38.00]  Malos, leña, antes no era como ahora.
[0:12:38.00]-[0:12:41.00]  Si dices algo, pan.
[0:12:41.00]-[0:12:52.00]  Teníamos nosotros aquí, en la época mía, un maestro había profesor separado, era profesor de una maestra para las niñas y un maestro para las niñas.
[0:12:52.00]-[0:12:56.00]  Un maestro tenía más neuras que a mí, y era otro.
[0:12:56.00]-[0:13:00.00]  Si traía un día bueno, era muy bueno, enseñaba muy bien, era un maestro listo, sí, sí.
[0:13:00.00]-[0:13:13.00]  Incluso en aquella época le daba un poco de inglés, pero después venía un día de Cataluña, chiquita, chiquita.
[0:13:13.00]-[0:13:28.00]  Si tenía otra cosa que yo siempre me acuerdo, yo primero me había hecho una escuela de una señorita que le llamábamos, que era una chica, que ponía los pequeñitos, así hasta los tres o cuatro, hasta los siete que iban a estar las horas de trabajo.
[0:13:28.00]-[0:13:34.00]  Entonces si le daba algo aprendido, las primeras letras y eso, ese maestro iba bien.
[0:13:34.00]-[0:13:44.00]  Ahora que llegaba sin una letra, salía sin una letra a los quince años, lo ponía allí, le llamaba a cabón, le llamaba a no sé qué, le llamaba a no sé cuarto, leía, leía, leía.
[0:13:44.00]-[0:13:56.00]  Tenía yo aquí un vecino que era mi primo, era primo, hijo de una prima mía, era mejor que yo, yo tenía, le había dado cinco años, yo era un poco más grande, pero empezó a recoladeír.
[0:13:56.00]-[0:14:05.00]  Entonces la tabla me explicaba, estudiaba, también estudiaba ahora, pero la cara, hasta que se había enragado de abajo arriba, era como algo sorteado.
[0:14:05.00]-[0:14:18.00]  El chaval empezaba a los siete años, yo le tomaba aquí, venía a hacer los deberes aquí conmigo, cuando yo hacía los misiles, él también se ponía ahí, tomaba aquí la tabla, lo sabía perfectamente.
[0:14:18.00]-[0:14:28.00]  Yo le decía a tu tía, ¿y ella también? Ni un. Le daba un palo que se hacía sangrar la pierna por aquí. Yo como era más grande, me lo leía, el chaval dice,
[0:14:28.00]-[0:14:35.00]  mire, toma toda la letra, usted, el niño sabe la tabla, pero usted es que tiene miedo y no lo dice.
[0:14:35.00]-[0:14:42.00]  Gracias que después el chaval ya migraron los padres, lo llevaron de aquí, si no, el que llegaba allí sin saber nada, salía sin saber nada.
[0:14:42.00]-[0:14:52.00]  Y el maestro, usted hace muy malo para los listos, lo que es medio mental, ya nada, era un animal, no se puede decir otra cosa de otro.
[0:14:52.00]-[0:14:59.00]  ¿Y los maestros utilizaban la violencia?
[0:14:59.00]-[0:15:12.00]  Era maestro nacional, la escuela no era de pavo, era una escuela normal, pero entonces ponía pasantía a otros cuantos que pagaban de los ricos que iban allí para sacar el bachiller.
[0:15:12.00]-[0:15:24.00]  Entonces eso no se atendía mejor. Incluso se quedaba una hora más para poner la pasantía, entonces a lo mejor si nosotros nos supiéramos algo, como él se tenía que dar, nos castigaba.
[0:15:24.00]-[0:15:38.00]  Pero entonces nosotros teníamos que trabajar después en la escuela, había a uno ahí, no sé cómo lo mataba, porque nos lo castigaba, de rodillas en las esquinas, para aprender lo que no era, lo mejor de qué era, una cosa de lo que era.
[0:15:38.00]-[0:15:45.00]  Y entonces aquél empezó a decir, no, lo voy a hablar de yo porque si lo hablaba de él.
[0:15:45.00]-[0:15:54.00]  Yo tenía que ir, tenía que ir a limpiar las vacas, nada, no había que ir.
[0:15:54.00]-[0:16:04.00]  Yo era un jodo, pues era un vendejordez, como su ahora, bueno, aquí lo pasaba a los niños, jarralo por un rato, tirado con dos autorejos, yo decía, lo va a matar.
[0:16:04.00]-[0:16:15.00]  Bluba, bluba, bluba, era un animal, era realmente, era un maestro, era listo, pero tenía un genio que se lo metía a pedor, había días.
[0:16:15.00]-[0:16:20.00]  Llevaba otro día, al mejor muy bien, para llevarlo a un día de cruzado y más.
[0:16:20.00]-[0:16:22.00]  ¿Y qué les enseñaba ese maestro?
[0:16:22.00]-[0:16:34.00]  Todo, las cuatro reglas, bueno, el libro no había más que uno, había primer curso, segundo curso, tercero curso, y cuatro cursos lo vertían.
[0:16:34.00]-[0:16:39.00]  Todo traía ahí, traía gramática, aritmética, geografía, historia, historia sagrada.
[0:16:39.00]-[0:16:42.00]  Eso era el libro, no solo, tenía todo, tenía todo un libro.
[0:16:42.00]-[0:16:52.00]  Y él enseñaba de todo, de cuántas, enseñaba, o según llegaba, un podía llegar a raíz cuadrada, regla de tres, regla de tres, bueno, entonces eso lo enseñaba.
[0:16:52.00]-[0:16:55.00]  ¿Y estuvo en la escuela hasta los 14 años y desde qué edad?
[0:16:55.00]-[0:16:59.00]  Desde los 7, sí, sí, sí.
[0:16:59.00]-[0:17:03.00]  Soy un normal, era eso, salí a los 14, a los 14 yo ya me quise salir de la escuela.
[0:17:03.00]-[0:17:07.00]  Se lo pache, se lo pache, se lo pache, y ya, y ya, y ya, y ya, y ya.
[0:17:07.00]-[0:17:11.00]  ¿Y cómo piensa que está la educación de hoy en día comparada con la de hoy en día?
[0:17:11.00]-[0:17:14.00]  Es muy buena, pero es al revés todo.
[0:17:14.00]-[0:17:22.00]  Creo que ahora luego hay un contramedio de los maestros, y teniendo dos alumnos, en vez de ser como era antes,
[0:17:22.00]-[0:17:11.00]  tanto de
[0:17:13.00]-[0:17:29.00]  como de menos, una cosa creo que ahora luego es un desfase.
[0:17:29.00]-[0:17:35.00]  Porque ahora los alumnos respetan al maestro, antes tenías que llegar, buenos días, sí señor, un buen año,
[0:17:35.00]-[0:17:55.00]  y de esta parte que no saludas a quien estaba, y que no nos tienen aliejos, entonces nos vamos a Franco.
[0:17:55.00]-[0:17:59.00]  Y cuéntenos, antes ha dicho que un amigo, un compañero suyo, sus padres migraron.
[0:17:59.00]-[0:18:01.00]  ¿Aquí había muchas migraciones?
[0:18:01.00]-[0:18:29.00]  Sí, había muchas personas, a Suiza, se fueron los tiempos de los años 60.
[0:18:29.00]-[0:18:57.00]  Suiza, Francia, Alemania.
[0:18:57.00]-[0:19:25.00]  ¿Y luego la gente volvía?
[0:19:25.00]-[0:19:53.00]  Sí, luego la gente volvía.
[0:19:53.00]-[0:20:21.00]  Uno mataba un cerdo para comer en una boda, otro un cordero, a dos, no comía, no se comía, no era marisco.
[0:20:21.00]-[0:20:49.00]  ¿Y luego la gente se dedicaba más a eso?
[0:20:49.00]-[0:20:59.00]  Sí, a eso nos gustaban.
[0:20:59.00]-[0:21:07.00]  Venía un carro de pescado también que venía del puerto del Cariño, por la mañana venía con un caballo y vendía,
[0:21:07.00]-[0:21:12.00]  y le compraba dos o tres de sardinas para comer.
[0:21:12.00]-[0:21:16.00]  Eso es lo que se comía, pescado, y yo comía más que hoy.
[0:21:16.00]-[0:21:20.00]  ¿Qué más comían? ¿Tenían algún plato típico así antes?
[0:21:20.00]-[0:21:22.00]  Papas a la noche.
[0:21:22.00]-[0:21:23.00]  ¿Cómo?
[0:21:23.00]-[0:21:28.00]  Las papas, las papas las comíamos, las papas las hacían con harina y agua, había que cocerlas,
[0:21:28.00]-[0:21:34.00]  ponían ahí una pota grande y las papas mala comida.
[0:21:34.00]-[0:21:38.00]  Se echaba la harina poco a poco y iba revolviendo, revolviendo, porque si no se hacían grumos.
[0:21:38.00]-[0:21:46.00]  Mi madre estaba dándoles una hora las papas, después salía una pasta, la harina cocida con el agua,
[0:21:46.00]-[0:21:54.00]  y le echaban un plato, quemaban, no daban frío, y le echaban un poco de leche fría para acabar con frío.
[0:21:54.00]-[0:21:59.00]  Y así se cerraban, y cuando acabas con las papas, tenías más barriga que la que tengo yo hoy,
[0:21:59.00]-[0:22:02.00]  porque te hinchaban como a la media hora tenías más hambre.
[0:22:02.00]-[0:22:09.00]  No valía nada, aquí hinchaba muchísimo para alimentar, y se comía caldo gallego,
[0:22:09.00]-[0:22:19.00]  caldo de ramizas como tengo yo ahí, de arpollo, de lo que se podía hacer.
[0:22:19.00]-[0:22:23.00]  ¿Y de carne que comían, cerdo y cordero?
[0:22:23.00]-[0:22:35.00]  Sí, de todo cordero, de carne de vitela, llamamos vitela la ternera, no se comía, se vendía, la ternera se vendía.
[0:22:35.00]-[0:22:36.00]  ¿No se comía aquí?
[0:22:36.00]-[0:22:41.00]  No, porque no se podía, había que comprenderla para sacar, no se comía nada.
[0:22:41.00]-[0:22:48.00]  Un día un patrón mandaba en la bicicleta a la ortiguera, a ver si buscaba que ahora estaba la carnicería,
[0:22:48.00]-[0:22:54.00]  traía un poco de chamamalli charretti, que es la pierna delante del terner para hacerle un cocido,
[0:22:54.00]-[0:23:02.00]  que le echaba gusto al cocido del hueso, y la caña esa que tiene el hueso, entonces como un ferrocabía.
[0:23:02.00]-[0:23:10.00]  Un pollo tampoco se comía todos los días, el pollo también gustaba, era diez veces mejor que el que hoy,
[0:23:10.00]-[0:23:14.00]  un pollo de estrés de corral que andaba por el todo el año,
[0:23:14.00]-[0:23:21.00]  sabía que aquí lo comíamos también el día de Patrón, el día de Navidad, no, nosotros comíamos todos los días.
[0:23:23.00]-[0:23:26.00]  ¿Y cómo cocinaban el pollo, por ejemplo?
[0:23:26.00]-[0:23:33.00]  El pollo se cocinaba de ocho maneras, el pollo asado, entero, le alababan, le ponían una pata con grasa,
[0:23:33.00]-[0:23:36.00]  un olor a la encima de la cocina, y se iba asando allí, lo llevaban otras horas,
[0:23:36.00]-[0:23:44.00]  y se asaba, el pollo se comía así, también se comía guisado, con patatas, o con garbanzos, llamaban fricasea.
[0:23:44.00]-[0:23:46.00]  Garbanzos le gustaban mucho.
[0:23:46.00]-[0:23:47.00]  ¿Cómo lo llamaban?
[0:23:47.00]-[0:23:48.00]  Fricasea.
[0:23:48.00]-[0:23:49.00]  Fricasea.
[0:23:49.00]-[0:23:56.00]  Sí, pollo con garbanzos, muy típicos, y mucho adobo, porque no vas a ponerlo muy rojo con pimienta,
[0:23:56.00]-[0:23:59.00]  no, estaba, sabía bien, el pollo.
[0:24:01.00]-[0:24:04.00]  ¿Y luego, por ejemplo, en su casa horneaban, hacían pan?
[0:24:04.00]-[0:24:12.00]  Sí, se hacía pan con el trigo, trillaban la era, se guardaban el horno, se llevaban el molino,
[0:24:12.00]-[0:24:17.00]  una saqueta, había unos molinos por ahí en los ríos, que no estaban hasta hoy, pero los trabajaban, claro,
[0:24:17.00]-[0:24:23.00]  había varios, y se llevaban, y después llegaba la harina del molino, tenía un bortel, una criba,
[0:24:23.00]-[0:24:32.00]  y se quitaban el salvado, le llamaban salvado, y se hacía el pan, con un poco de formento,
[0:24:32.00]-[0:24:37.00]  el formento lo hacían en casa, no era que no había levadura, no había levadura para subir para antes.
[0:24:37.00]-[0:24:38.00]  ¿Cómo hacían el formento?
[0:24:38.00]-[0:24:47.00]  Con harina de maíz, el formento tenía que ser de harina de maíz, y era que, realmente es que se ponía picado,
[0:24:47.00]-[0:24:53.00]  se ponía un ácido que hacía subir la masa, se echaba un poquito de aquello y lo dejaban de una vez para otra,
[0:24:53.00]-[0:24:59.00]  y el pan, pues era riquísimo el pan de casa, se hacían varios pollo, no se cocía todos los días,
[0:24:59.00]-[0:25:05.00]  se cocía una vez a la semana o más, y se ponía ahí a sacar, pues era más duro para que no se cubiera tanto.
[0:25:05.00]-[0:25:12.00]  Tampoco no se sacaba como el pan de ahora, era un pan fresco, que tenía una frescura que en dos o tres días
[0:25:12.00]-[0:25:17.00]  estaba como el coca-más ahora acabado de comer. Después se expumía duro,
[0:25:17.00]-[0:25:21.00]  entonces lo ponían ahí para que no se desvalorizara y colgaban unas tablas.
[0:25:21.00]-[0:25:23.00]  Y así.
[0:25:23.00]-[0:25:27.00]  ¿Qué tenía? Había mucha gente que tampoco no tenía pan o bastante,
[0:25:27.00]-[0:25:32.00]  y que tenía un terreno y tal, y si no pasaba como pudiera, un pataca de jodidas.
[0:25:32.00]-[0:25:34.00]  ¿Y se pasaba hambre en la época?
[0:25:34.00]-[0:25:41.00]  Yo nunca acuerdo de pasar hambre aquí, pero sí, hubo gente que sí que pasó mal, mal, no pasó mal.
[0:25:41.00]-[0:25:45.00]  Sí, sí, aquí en esta casa no se pasaba hambre.
[0:25:45.00]-[0:25:49.00]  Y tampoco cocimos nunca pan de maíz, porque antes cocíamos pan de maíz, llamaban brona.
[0:25:49.00]-[0:25:50.00]  ¿Brona?
[0:25:50.00]-[0:25:54.00]  Claro, llamaban brona, que era un pan de maíz, era pesado.
[0:25:54.00]-[0:25:58.00]  Yo siempre dije que era la fábrica de las misiones.
[0:25:58.00]-[0:26:06.00]  La gente estaba en casa, comía poco, pero los traías a ayudar a una casa que tenía pan,
[0:26:06.00]-[0:26:12.00]  le daba una cena con pan de brona, una taza de leche, comía como un animal.
[0:26:12.00]-[0:26:15.00]  Iba para casa, y le embrababan los ojos por todos lados.
[0:26:15.00]-[0:26:18.00]  Porque, de día, esas eran las misiones que veían.
[0:26:18.00]-[0:26:19.00]  Y después, ¿qué se dio una visión?
[0:26:19.00]-[0:26:20.00]  ¡No, no tengo visión!
[0:26:20.00]-[0:26:22.00]  Y se embrababan los ojos.
[0:26:22.00]-[0:26:26.00]  Sí, sí, era...
[0:26:26.00]-[0:26:31.00]  ¿Y antes, por ejemplo, la religión, cómo había cura en el pueblo?
[0:26:31.00]-[0:26:33.00]  ¡Gracias a Dios!
[0:26:33.00]-[0:26:35.00]  Dios te parte.
[0:26:35.00]-[0:26:37.00]  ¿Aquí cura?
[0:26:37.00]-[0:26:43.00]  Aquí cura, o a veces, aquí esta parroquia era muy religiosa, siempre, no era por boa, pero era muy religiosa.
[0:26:43.00]-[0:26:48.00]  Había un cura de siempre, y en mayo le llamaban la novena de las flores,
[0:26:48.00]-[0:26:50.00]  es decir, una novena que había escrito del mundo.
[0:26:50.00]-[0:26:53.00]  En jueves santo, hacía un...
[0:26:53.00]-[0:26:55.00]  parecido a... ¿qué se llama?
[0:26:55.00]-[0:26:58.00]  Querían hacer, como en Sevilla, en las profesiones,
[0:26:58.00]-[0:27:03.00]  sacaban los santos por ahí, por las carreteras, andaban por ahí con él.
[0:27:03.00]-[0:27:07.00]  A mí era una religión, a la noche rosario todos los días.
[0:27:07.00]-[0:27:11.00]  Si tenía son, nunca te iba a dormir ahí, pero gustaba rastrar el rosario.
[0:27:11.00]-[0:27:17.00]  Si moría una persona, nueve días había que ir a la casa de la que moría a rastrar el rosario.
[0:27:17.00]-[0:27:20.00]  ¿Cómo era el luto en la época, cuando una persona moría?
