[0:00:00.00]-[0:00:07.00]  ¿Y sin mamar?
[0:01:36.00]-[0:01:39.00]  Si no, el cero...
[0:01:39.00]-[0:01:40.00]  Sí.
[0:01:40.00]-[0:01:42.00]  Es peligroso, ¿no?
[0:01:42.00]-[0:01:43.00]  Que puede morder.
[0:01:43.00]-[0:01:45.00]  ¡Coño!
[0:01:45.00]-[0:01:48.00]  Ya verá.
[0:01:48.00]-[0:01:50.00]  ¿Y que se han amarrado las cuatro patas?
[0:01:50.00]-[0:01:51.00]  Sí.
[0:01:51.00]-[0:01:52.00]  Las cuatro patas.
[0:01:52.00]-[0:01:54.00]  ¿Y luego cómo pelaban al cerdo?
[0:01:54.00]-[0:01:56.00]  Se le prendía fuego.
[0:01:56.00]-[0:01:59.00]  ¿Con fuego?
[0:01:59.00]-[0:02:01.00]  Fuego.
[0:02:01.00]-[0:02:05.00]  ¿Y aquí había una persona que se dedicase a hacer matanzas o cada una hacía la suya?
[0:02:05.00]-[0:02:08.00]  Cada una hacía la suya.
[0:02:08.00]-[0:02:10.00]  ¿Y hacían fiestas después?
[0:02:10.00]-[0:02:12.00]  La comida.
[0:02:12.00]-[0:02:15.00]  Ajá.
[0:02:15.00]-[0:02:16.00]  ¿Y luego qué hacían?
[0:02:16.00]-[0:02:20.00]  ¿Les invitaban a los vecinos y comían todos?
[0:02:20.00]-[0:02:24.00]  Cada uno tenía sus clientes.
[0:02:24.00]-[0:02:27.00]  Se va a invitar a todo el pueblo, me cago en Dios.
[0:02:27.00]-[0:02:29.00]  Comen hasta al dueño.
[0:02:29.00]-[0:02:33.00]  Claro.
[0:02:33.00]-[0:02:38.00]  ¿Y luego qué hacían con la carne del cerdo? ¿Cómo la preparaban?
[0:02:38.00]-[0:02:49.00]  Pues después se pone la carne a congelar con sal.
[0:02:49.00]-[0:02:54.00]  Unos días, unos veinte y tantos días.
[0:02:54.00]-[0:02:58.00]  Después se le quita la sal y se cuelga.
[0:02:58.00]-[0:03:04.00]  Los tocinos y más los jamones que hay lo menos me gusta a mí.
[0:03:04.00]-[0:03:07.00]  Sí.
[0:03:07.00]-[0:03:08.00]  ¿Y hacían chorizo aquí también?
[0:03:08.00]-[0:03:09.00]  Sí.
[0:03:09.00]-[0:03:11.00]  ¿Cómo se hace el chorizo?
[0:03:11.00]-[0:03:18.00]  Se lo puede decir su mujer.
[0:03:18.00]-[0:03:31.00]  Se pone la carne de adobo.
[0:03:31.00]-[0:03:41.00]  Veinticuatro horas.
[0:03:41.00]-[0:03:49.00]  Y después comerlo.
[0:03:49.00]-[0:03:53.00]  ¿Y hacer los chorizos que hacían con una máquina?
[0:03:53.00]-[0:03:55.00]  Con máquina.
[0:03:55.00]-[0:04:12.00]  ¿Y antes hacíamos con arma? Porque no picábamos con cuchillos.
[0:04:12.00]-[0:04:14.00]  Y después se hace el chorizo.
[0:04:14.00]-[0:04:21.00]  Se irá a la tripa, a la encherra y pues hace el chorizo con el gran o el pequeño.
[0:04:21.00]-[0:04:26.00]  Gran o pequeño, regular. Como se quiera.
[0:04:26.00]-[0:04:30.00]  ¿Y todos los chorizos se hacían igual? ¿O había diferentes tipos de chorizos?
[0:04:30.00]-[0:04:32.00]  Aquí los chorizos eran todos de...
[0:04:32.00]-[0:04:45.00]  ¿Y luego hacían jamón también?
[0:04:45.00]-[0:04:55.00]  Jamón se lo quita y se cuelga y se sala.
[0:04:55.00]-[0:05:14.00]  Depende de cómo sea el jamón. Si es grande hay que darle más días.
[0:05:14.00]-[0:05:24.00]  Y después se come.
[0:05:24.00]-[0:05:28.00]  Te da la risa.
[0:05:28.00]-[0:05:36.00]  Y vamos a tirar con ellos, hombre.
[0:05:36.00]-[0:05:40.00]  O cuatro o cinco. Depende.
[0:05:40.00]-[0:06:02.00]  ¿Y para cuánto daba un cerdo? ¿Para cuánto tiempo de alimentos?
[0:06:02.00]-[0:06:07.00]  ¿Y aquí qué se dedicaba más? ¿La agricultura? ¿La ganadería?
[0:06:07.00]-[0:06:09.00]  Agricultura.
[0:06:09.00]-[0:06:10.00]  ¿Y aquí?
[0:06:10.00]-[0:06:11.00]  ¿Aquí qué se planta?
[0:06:11.00]-[0:06:14.00]  Sí.
[0:06:14.00]-[0:06:17.00]  ¿Aquí qué se va a plantar? Aquí no se planta nada.
[0:06:17.00]-[0:06:18.00]  ¿No se planta nada?
[0:06:18.00]-[0:06:32.00]  Está todo plantado.
[0:06:32.00]-[0:06:36.00]  ¿Y antes qué se plantaba? ¿Qué se solía plantar aquí antes?
[0:06:36.00]-[0:06:44.00]  Antes se sembraba centeno. Con las vacas, arándulo y hojas, por ejemplo.
[0:06:44.00]-[0:06:47.00]  Y...
[0:06:47.00]-[0:06:55.00]  Esa es la ciega.
[0:06:55.00]-[0:06:58.00]  Como una hoja que ellos no saben que es una fuci.
[0:06:58.00]-[0:07:00.00]  ¿Es como un raño ahora?
[0:07:00.00]-[0:07:02.00]  No.
[0:07:02.00]-[0:07:08.00]  Lo hace a su chisme delgadito con una empuñadura de madera, man.
[0:07:08.00]-[0:07:10.00]  ¿Y eso cómo se utilizaba?
[0:07:10.00]-[0:07:17.00]  Para secar la paja.
[0:07:17.00]-[0:07:35.00]  ¿Y luego con la paja que se hacía, se guardaba en algún sitio?
[0:07:35.00]-[0:07:43.00]  La paja se ponía en un... vamos a ver.
[0:07:43.00]-[0:07:54.00]  La paja se echaba en un sitio que llamábamos la mesa.
[0:07:54.00]-[0:08:02.00]  Y...
[0:08:02.00]-[0:08:12.00]  Después...
[0:08:12.00]-[0:08:14.00]  ¿Y luego trillaban aquí también?
[0:08:14.00]-[0:08:18.00]  No. Se echaba a la máquina.
[0:08:18.00]-[0:08:20.00]  ¿A la máquina?
[0:08:20.00]-[0:08:27.00]  La máquina tirada por un tractor. Antes no había tractor, había motor.
[0:08:27.00]-[0:08:35.00]  Y se echaba a la máquina y se majaba así.
[0:08:35.00]-[0:08:42.00]  ¿Y luego por aquí también se siembra berza o se siembra perrelo?
[0:08:42.00]-[0:08:56.00]  Eso sí.
[0:08:56.00]-[0:08:59.00]  A nosotros nos interesa cómo se hacía antes.
[0:08:59.00]-[0:09:03.00]  Cómo se hacía antes, cómo se trabajaba aquí antes, cómo se vivía.
[0:09:03.00]-[0:09:05.00]  ¿Cómo se hacía antes?
[0:09:05.00]-[0:09:10.00]  Con mucho trabajo.
[0:09:10.00]-[0:09:33.00]  Con la tierra, botábamos patatas o milhos o lo que fuera para mantener a los animales también.
[0:09:33.00]-[0:09:40.00]  Y las patatas rojas así, para que los cojones sacaran el grano.
[0:09:40.00]-[0:09:43.00]  ¿Y jabón hacían ustedes también aquí?
[0:09:43.00]-[0:09:44.00]  ¿Jabón?
[0:09:44.00]-[0:09:47.00]  Si, se batía jabón.
[0:09:47.00]-[0:09:49.00]  ¿Y cómo se hacía?
[0:09:49.00]-[0:09:53.00]  Se usaba una forma de madera.
[0:09:53.00]-[0:09:58.00]  Se le echaba salsa y no sé qué más.
[0:09:58.00]-[0:10:03.00]  La salsa era medio kilo para tres.
[0:10:03.00]-[0:10:19.00]  Comprábamos la salsa, le botábamos la carne que la grasa que se vea es revegida y aquello quedaba en grano.
[0:10:19.00]-[0:10:21.00]  ¿Tenían también gallinas, tenían vacas?
[0:10:21.00]-[0:10:22.00]  Si.
[0:10:22.00]-[0:10:26.00]  Ellas.
[0:10:26.00]-[0:10:28.00]  ¿Había pastoreo?
[0:10:28.00]-[0:10:29.00]  Si, si.
[0:10:29.00]-[0:10:35.00]  Había pastores.
[0:10:35.00]-[0:10:40.00]  Aquí me imagino que tenían bastante problemas con los lobos y los arros.
[0:10:40.00]-[0:10:44.00]  Los lobos hay que comer más en las ovejas.
[0:10:44.00]-[0:10:48.00]  ¿Y cómo se hacía entonces para guardar el ganado y que no hubiese problemas?
[0:10:48.00]-[0:11:02.00]  Y el pastoreo, la calva de ellos.
[0:11:02.00]-[0:11:10.00]  Y vacas y caballos y todo.
[0:11:10.00]-[0:11:23.00]  Y aquí también me imagino que, bueno, aquí también será...
[0:11:23.00]-[0:11:25.00]  Cuéntanos lo del magosto que nos estabas contando antes.
[0:11:25.00]-[0:11:29.00]  ¿Qué se hace aquí cuando hay magosto?
[0:11:29.00]-[0:11:33.00]  Se cojan las cartas y se rasan en el monte.
[0:11:33.00]-[0:11:36.00]  ¿Qué se hace? ¿En alguna piedra o algo así con leña?
[0:11:36.00]-[0:11:41.00]  Con leña, sí. Sin piedra. En la tierra.
[0:11:41.00]-[0:11:43.00]  ¿Y eso qué es, una fiesta o...?
[0:11:43.00]-[0:11:48.00]  Sí, se juntan unos cuantos y a comer.
[0:11:48.00]-[0:11:50.00]  Unas cuantas.
[0:11:50.00]-[0:11:58.00]  Que son más las mujeres, coman más que los hombres.
[0:11:58.00]-[0:12:00.00]  ¿Y vino también hacía?
[0:12:00.00]-[0:12:02.00]  El vino se hace aquí.
[0:12:02.00]-[0:12:04.00]  ¿Cómo se hace el vino?
[0:12:04.00]-[0:12:08.00]  Pues...
[0:12:08.00]-[0:12:14.00]  Se estupan las uvas.
[0:12:14.00]-[0:12:20.00]  Yo le enseño esto.
[0:12:20.00]-[0:12:23.00]  Ahora después terminamos con esto y vamos a verlo.
[0:12:23.00]-[0:12:32.00]  ¿Cómo se hacía el vino? Porque aquí había uva.
[0:12:32.00]-[0:12:35.00]  De Zamora.
[0:12:35.00]-[0:12:38.00]  Y de Portugal.
[0:12:38.00]-[0:12:41.00]  ¿Y cuál es el vino típico de aquí?
[0:12:41.00]-[0:12:44.00]  Tinto.
[0:12:44.00]-[0:12:47.00]  ¿Qué más quiero, señor?
[0:12:47.00]-[0:12:54.00]  Ahora se está estirando.
[0:12:54.00]-[0:12:59.00]  Tiene que marchar.
[0:12:59.00]-[0:13:03.00]  ¿Y luego también aquí es típico celebrar el entroído?
[0:13:03.00]-[0:13:04.00]  Sí.
[0:13:04.00]-[0:13:07.00]  ¿Y qué se hace?
[0:13:07.00]-[0:13:16.00]  Se hacía baile, se sacaba el compadre, el jueves de compadres.
[0:13:16.00]-[0:13:20.00]  Y el jueves de comados era comadre.
[0:13:20.00]-[0:13:23.00]  Y baile.
[0:13:23.00]-[0:13:26.00]  Era todo eso lo que había. Ahora no hay nada.
[0:13:26.00]-[0:13:34.00]  ¿Y cómo eran las fiestas aquí? ¿Venía alguien con música?
[0:13:34.00]-[0:13:36.00]  Sí.
[0:13:36.00]-[0:13:39.00]  ¿Venían de fuera? ¿O es que aquí músicos?
[0:13:39.00]-[0:13:43.00]  No, aquí músicos no había.
[0:13:43.00]-[0:13:48.00]  Yo, músico yo también.
[0:13:48.00]-[0:13:49.00]  ¿Y qué tocaba?
[0:13:49.00]-[0:13:51.00]  El rodobrante.
[0:13:51.00]-[0:13:52.00]  ¿El rodobrante?
[0:13:52.00]-[0:13:54.00]  Sí.
[0:13:54.00]-[0:13:57.00]  ¿Y tocaba en algún grupo?
[0:13:57.00]-[0:14:00.00]  No, éramos tres.
[0:14:00.00]-[0:14:09.00]  El gaitero, el tambor y el bombo. No había más músicos.
[0:14:09.00]-[0:14:14.00]  ¿Y cuáles eran las canciones que sabían tocar ustedes?
[0:14:14.00]-[0:14:16.00]  Una cualquiera.
[0:14:16.00]-[0:14:17.00]  ¿Cualquiera?
[0:14:17.00]-[0:14:21.00]  Cualquiera. Entonces veíamos la canción.
[0:14:21.00]-[0:14:22.00]  Claro.
[0:14:22.00]-[0:14:27.00]  ¿Y la gente cantaba también?
[0:14:27.00]-[0:14:38.00]  Muchos hasta lloraban, lloraban de verdad. De lo malo que hacíamos.
[0:14:38.00]-[0:14:39.00]  No creo.
[0:14:39.00]-[0:14:47.00]  ¿Puede que?
[0:14:47.00]-[0:14:52.00]  Y aquí claro, me imagino que habrá muchos tipos de canciones ¿no?
[0:14:52.00]-[0:14:56.00]  Sí.
[0:14:56.00]-[0:14:58.00]  ¿Y así de ver el vino?
[0:14:58.00]-[0:15:04.00]  Sí, ahora después vamos.
[0:15:04.00]-[0:15:06.00]  ¿Y ahora tengo más que decir?
[0:15:06.00]-[0:15:07.00]  Sí.
[0:15:07.00]-[0:15:10.00]  ¿Qué temas fiestas había aquí en el pueblo?
[0:15:10.00]-[0:15:12.00]  ¿Cuantas fiestas?
[0:15:12.00]-[0:15:14.00]  Sí, ¿qué fiestas había aquí?
[0:15:14.00]-[0:15:17.00]  El Sagrado Corazón de Jesús.
[0:15:17.00]-[0:15:22.00]  ¿Y qué celebraban ahí? ¿Qué fiestas hacían?
[0:15:22.00]-[0:15:25.00]  Paso el Sagrado Corazón de Jesús.
[0:15:25.00]-[0:15:26.00]  ¿Hacías una misa?
[0:15:26.00]-[0:15:30.00]  Una misa y baile.
[0:15:30.00]-[0:15:34.00]  Sí, una misa y baile.
[0:15:34.00]-[0:15:43.00]  Ya estaban las mocitas, aprenden, salieron de la misa para ir a la plaza a agarrar solos.
[0:15:43.00]-[0:15:53.00]  ¿Y aquí cómo le llaman a la festividad de Todos los Santos?
[0:15:53.00]-[0:15:55.00]  El Día de Todos los Santos.
[0:15:55.00]-[0:15:57.00]  ¿No le llaman también Samaín?
[0:15:57.00]-[0:15:58.00]  No.
[0:15:58.00]-[0:16:07.00]  Aquí no es ¿no? ¿Y aquí cómo se celebra esto? ¿Qué hacen en el día de hoy?
[0:16:07.00]-[0:16:15.00]  No envolvas años con cebolas porque ahora nadie te pregunta eso.
[0:16:15.00]-[0:16:19.00]  ¿Qué se suele hacer aquí el Día de Todos los Santos?
[0:16:19.00]-[0:16:20.00]  El Magosto.
[0:16:20.00]-[0:16:21.00]  ¿El Magosto?
[0:16:21.00]-[0:16:27.00]  Sí.
[0:16:27.00]-[0:16:34.00]  Ah, sí, lo que le iba a preguntar antes. ¿Aquí entonces cuando no había motoras ni nada de esto cómo trabajaban en el campo? ¿Con animales?
[0:16:34.00]-[0:16:38.00]  Con las vacas.
[0:16:38.00]-[0:16:42.00]  Entonces para agarrar ¿cómo agarraban aquí entonces?
[0:16:42.00]-[0:16:43.00]  Con el arado.
[0:16:43.00]-[0:16:50.00]  Sí, pero ¿qué hacían? ¿Estaban en el arado a las vacas o alguna...
[0:16:50.00]-[0:16:57.00]  El arado iba producido con un aparato a las vacas.
[0:16:57.00]-[0:17:20.00]  Y se llevaba con la mano, llegaba al cabo de la tierra pues, daba vuelta, vuelta al arado, volvió y aterrizaba hasta que se terminaba la temporada.
[0:17:20.00]-[0:17:23.00]  Entonces de Zamora ¿qué traían? ¿Las uvas o traían directamente el vino?
[0:17:23.00]-[0:17:24.00]  Las uvas.
[0:17:24.00]-[0:17:32.00]  ¿Y aquí ya se pisaban y todo? ¿Y entonces cómo se prepara el vino? ¿Se pisan las uvas y ya está?
[0:17:32.00]-[0:17:34.00]  Ahí está la fábrica.
[0:17:34.00]-[0:17:35.00]  Ajá.
[0:17:35.00]-[0:17:42.00]  No, no dice que quería usted decir admirado.
[0:17:42.00]-[0:17:44.00]  Ahora vamos, sí.
[0:17:44.00]-[0:17:55.00]  Las fiestas, síganme contando, ¿el Sagrado Corazón y qué fiestas hace?
[0:17:55.00]-[0:17:58.00]  Y las magdalenas.
[0:17:58.00]-[0:18:01.00]  ¿Y también hacían misa y baile?
[0:18:01.00]-[0:18:06.00]  Misa y baile. Baile y misa.
[0:18:06.00]-[0:18:10.00]  Y venga, vale.
[0:18:10.00]-[0:18:18.00]  Y aquí se hacía también lo de en Carnaval, en Troidos, hacía también lo de los cigarrón.
[0:18:18.00]-[0:18:20.00]  Eso es en Berín.
[0:18:20.00]-[0:18:22.00]  Solamente en Berín, no se hace por ningún sitio más.
[0:18:22.00]-[0:18:24.00]  No.
[0:18:24.00]-[0:18:26.00]  ¿Y aquí no tienen algo así parecido a eso?
[0:18:26.00]-[0:18:30.00]  No, no se hace.
[0:18:30.00]-[0:18:33.00]  O sea, aquí se hace baile y música.
[0:18:33.00]-[0:18:34.00]  Solo.
[0:18:34.00]-[0:18:35.00]  Solo.
[0:18:35.00]-[0:18:36.00]  Y comer.
[0:18:36.00]-[0:18:38.00]  Y comer.
[0:18:38.00]-[0:18:44.00]  Aquí la gente nos olvida de comer.
[0:18:44.00]-[0:18:47.00]  ¿Y se disfrazaban también en ese día?
[0:18:47.00]-[0:18:48.00]  Sí, muchas veces.
[0:18:48.00]-[0:18:51.00]  ¿Y de qué se disfrazaban?
[0:18:51.00]-[0:18:53.00]  De vestidos de mujeres.
[0:18:53.00]-[0:18:54.00]  ¿Se vestían de mujeres los hombres?
[0:18:54.00]-[0:18:55.00]  Sí.
[0:18:55.00]-[0:18:56.00]  ¿Y las mujeres?
[0:18:56.00]-[0:19:05.00]  Las mujeres de monos.
[0:19:05.00]-[0:19:07.00]  Qué buena.
[0:19:07.00]-[0:19:10.00]  La vida aquí entonces antiguamente era dura, ¿no?
[0:19:10.00]-[0:19:11.00]  Era mucho trabajo.
[0:19:11.00]-[0:19:13.00]  Era mucho trabajo.
[0:19:13.00]-[0:19:18.00]  ¿Cómo era un día, por ejemplo, normal en el campo?
[0:19:18.00]-[0:19:21.00]  En el campo trabajando.
[0:19:21.00]-[0:19:23.00]  ¿Se levantaban muy temprano?
[0:19:23.00]-[0:19:25.00]  Sí, sí.
[0:19:25.00]-[0:19:29.00]  ¿A qué hora se levantaban más o menos en día normal?
[0:19:29.00]-[0:19:30.00]  A las ocho.
[0:19:30.00]-[0:19:31.00]  A las ocho de la mañana.
[0:19:31.00]-[0:19:35.00]  ¿Y cuándo acababa la jornada del campo?
[0:19:35.00]-[0:19:37.00]  Puede ser a las ocho también.
[0:19:37.00]-[0:19:38.00]  ¿A las ocho también?
[0:19:38.00]-[0:19:40.00]  O sea, ¿doce horas en el campo trabajando?
[0:19:40.00]-[0:19:44.00]  Caray, mucho tiempo entonces.
[0:19:44.00]-[0:19:48.00]  Se llevaba una merienda y estabas allí todo el día.
[0:19:48.00]-[0:19:50.00]  Qué bueno.
[0:19:50.00]-[0:19:55.00]  ¿Y aquí luego, por ejemplo, para conocer a las chicas y tal, cómo hacían?
[0:19:55.00]-[0:19:57.00]  ¿Pero visitaban todo el día en el campo?
[0:19:57.00]-[0:20:01.00]  Ay, pues...
[0:20:01.00]-[0:20:03.00]  ¿Cómo se hacía antes, digo?
[0:20:03.00]-[0:20:11.00]  No solo para...
[0:20:11.00]-[0:20:13.00]  ¿Estás hablando algo?
[0:20:13.00]-[0:20:17.00]  ¿Estás hablando algo?
[0:20:17.00]-[0:20:25.00]  En el baile, en el campo...
[0:20:25.00]-[0:20:34.00]  ¿Qué había en el campo?
[0:20:34.00]-[0:20:35.00]  Puede ser.
[0:20:35.00]-[0:20:40.00]  ¿Qué había en el campo?
[0:20:40.00]-[0:20:50.00]  Mucho sitio para hacer cosas que no se los puedo decir ahora.
[0:20:50.00]-[0:20:55.00]  No, pero no se ríe de mí, hombre.
[0:20:55.00]-[0:20:57.00]  ¿Las mujeres también iban al campo?
[0:20:57.00]-[0:20:59.00]  Claro.
[0:20:59.00]-[0:21:01.00]  No van a ir a las mujeres al campo.
[0:21:01.00]-[0:21:04.00]  Ahora, a ver...
[0:21:04.00]-[0:21:07.00]  ¿Y luego para casarse y todo esto cómo hacían?
[0:21:07.00]-[0:21:13.00]  Pues dejaban el campo y se agarraban el mar y alud.
[0:21:13.00]-[0:21:14.00]  Y ya está.
[0:21:14.00]-[0:21:17.00]  ¿Y cómo era una boda aquí en el pueblo?
[0:21:17.00]-[0:21:22.00]  La boda aquí en el pueblo, pues, es como en otro lado cualquiera.
[0:21:22.00]-[0:21:26.00]  ¿Misas y luego hacían convite también? ¿Invitaban a la boda?
[0:21:26.00]-[0:21:29.00]  A alguna gente, pero toda no.
[0:21:29.00]-[0:21:33.00]  Toda no, no.
[0:21:33.00]-[0:21:37.00]  ¿Y qué se hacía después de la boda? ¿Qué se hacía en el convite? ¿A qué se invitaban?
[0:21:37.00]-[0:21:38.00]  A comer.
[0:21:38.00]-[0:21:40.00]  Ya, pero ¿qué comían?
[0:21:40.00]-[0:21:45.00]  Comida, coño.
[0:21:45.00]-[0:21:51.00]  ¿Comían chorizo, comían...?
[0:21:51.00]-[0:21:54.00]  Claro, ¿cazarían corderos o cualquier cosa?
[0:21:54.00]-[0:21:55.00]  Claro.
[0:21:55.00]-[0:21:59.00]  ¿O algo en ternero?
[0:21:59.00]-[0:22:02.00]  No, en ternero no ha visto ninguno muerto.
[0:22:02.00]-[0:22:09.00]  Todos quedaron vivos y viviendo como estábamos.
[0:22:09.00]-[0:22:12.00]  Terneros pocos.
[0:22:12.00]-[0:22:16.00]  Y aquí en las bodas se va a comer un restaurante.
[0:22:16.00]-[0:22:22.00]  Y según es la cartera, así hace el estudiante.
[0:22:22.00]-[0:22:23.00]  ¿Comprendió?
[0:22:23.00]-[0:22:26.00]  Sí, sí, sí.
[0:22:26.00]-[0:22:28.00]  No veo otro camino.
[0:22:28.00]-[0:22:30.00]  Claro.
[0:22:30.00]-[0:22:33.00]  ¿Y hizo usted la mili?
[0:22:33.00]-[0:22:35.00]  ¿Yo? A mí no me quisieron allí.
[0:22:35.00]-[0:22:40.00]  No, se acuestó en hacer la mili.
[0:22:40.00]-[0:22:43.00]  No hice la mili.
[0:22:43.00]-[0:22:48.00]  ¿Y cómo fue elirse a Alemania y a Holanda? ¿Por qué se fue?
[0:22:48.00]-[0:22:51.00]  Porque no me querían en casa.
[0:22:51.00]-[0:22:52.00]  ¿Y le mandaron para allá?
[0:22:52.00]-[0:22:53.00]  Claro.
[0:22:53.00]-[0:22:56.00]  ¿Y de qué trabajó?
[0:22:56.00]-[0:23:06.00]  Trabajé en una fábrica de máquinas de escribir en Alemania.
[0:23:06.00]-[0:23:15.00]  Y en Holanda trabajé en una fábrica de comer chorizos.
[0:23:15.00]-[0:23:21.00]  ¿De comer chorizos?
[0:23:21.00]-[0:23:27.00]  ¿Y en qué parte de Holanda estuvo?
[0:23:27.00]-[0:23:31.00]  Usted no sabe dónde queda eso.
[0:23:31.00]-[0:23:32.00]  ¿En Eindhoven?
[0:23:32.00]-[0:23:34.00]  No.
[0:23:34.00]-[0:23:36.00]  Se llama Oss.
[0:23:36.00]-[0:23:40.00]  ¿En Oss? ¿Y eso que está al norte o al sur?
[0:23:40.00]-[0:23:41.00]  Está al norte.
[0:23:41.00]-[0:23:44.00]  ¿En el norte?
[0:23:44.00]-[0:23:54.00]  ¿De Alemania en qué zona estuvo?
[0:23:54.00]-[0:24:00.00]  No me acuerdo.
[0:24:00.00]-[0:24:02.00]  No me acuerdo.
[0:24:02.00]-[0:24:04.00]  No pasa nada.
[0:24:04.00]-[0:24:06.00]  ¿Y luego allí entonces para hablar cómo hacía con la gente?
[0:24:06.00]-[0:24:12.00]  ¿O conocía ya alguien allí que estuviese tiempo y ya controlase el idioma?
[0:24:12.00]-[0:24:15.00]  Hablaban que no hablaban su manera.
[0:24:15.00]-[0:24:17.00]  Pero se entendían, ¿no?
[0:24:17.00]-[0:24:22.00]  Algunas veces y otras quedaba sabiendo lo mismo.
[0:24:22.00]-[0:24:33.00]  Yo aplicaba el oído pero nada.
[0:24:33.00]-[0:24:39.00]  ¿Y conocían españoles entonces?
[0:24:39.00]-[0:24:41.00]  Algunos sí.
[0:24:41.00]-[0:24:47.00]  ¿Y qué hacían con los españoles allí? ¿Cómo era el tiempo de ocio? ¿Qué hacían cuando tenían tiempo libre?
[0:24:47.00]-[0:24:54.00]  Cuando había un momento libre nos juntábamos y cada uno hablaba lo que le parecía.
[0:24:54.00]-[0:24:56.00]  ¿Que se juntaban en algún bar o algo?
[0:24:56.00]-[0:25:05.00]  No, no. Llegan en la hora de recreo.
[0:25:05.00]-[0:25:11.00]  Juntábamos allí y hablábamos los vecinos de los y los otros.
[0:25:11.00]-[0:25:16.00]  ¿Y fue duro también vivir allí?
[0:25:16.00]-[0:25:17.00]  Claro que fue.
[0:25:17.00]-[0:25:20.00]  ¿Por qué?
[0:25:20.00]-[0:25:30.00]  No entendía la manera de hablar porque era duro.
[0:25:30.00]-[0:25:36.00]  ¿Y con qué edad se fue para allá?
[0:25:36.00]-[0:25:51.00]  Tenía 25 o 26 años.
[0:25:51.00]-[0:25:53.00]  Tres años y otros tres son muy grandes.
[0:25:53.00]-[0:25:56.00]  Y me vine para acá.
[0:25:56.00]-[0:25:58.00]  O sea que estuvo seis años fuera.
[0:25:58.00]-[0:26:01.00]  ¿Y luego para navidades y todo eso lo pasaba también allí?
[0:26:01.00]-[0:26:02.00]  No.
[0:26:02.00]-[0:26:05.00]  Venía para acá.
[0:26:05.00]-[0:26:09.00]  Me dían permiso y me lo daban.
[0:26:09.00]-[0:26:11.00]  ¿Había muchos españoles por allí?
[0:26:11.00]-[0:26:14.00]  Sí, había bastante.
[0:26:14.00]-[0:26:17.00]  Y había.
[0:26:17.00]-[0:26:23.00]  ¿Y me imagino que de todas partes de España, claro?
[0:26:23.00]-[0:26:26.00]  Sí, había.
[0:26:26.00]-[0:26:32.00]  Cacereños, de todas.
[0:26:32.00]-[0:26:37.00]  ¿Y con quién hizo más amistad allí? ¿De qué parte era?
[0:26:37.00]-[0:26:46.00]  Pues un cacereño que fue amigo mío.
[0:26:46.00]-[0:26:54.00]  Y me hizo una cosa que ningún gallego me lo hacía.
[0:26:54.00]-[0:27:00.00]  El caso fue así.
