[0:00:00.00]-[0:00:04.00]  ¿Cómo mataban a... perdón.
[0:01:52.00]-[0:02:00.00]  En diciembre se mata, diciembre, enero, febrero, en abril se suelen fregarlos para quitar la sal y luego se cuelga,
[0:02:00.00]-[0:02:05.00]  para tenerlos así hasta el tiempo que quieras tú tenerlos, dos o tres años para que estén bien conservados.
[0:02:05.00]-[0:02:14.00]  Y los chorizos, cuando se pican luego se guisan con sal, pimentón y ajo, se echa bien de ajo con un poquito vino,
[0:02:14.00]-[0:02:22.00]  nosotros echamos un poquito vino y un poquito agua, se mueve y luego ya se embosa con una máquina y se ata a mano,
[0:02:22.00]-[0:02:27.00]  se embosa con una máquina de estas que se da y se va metiendo la carne y se va eso.
[0:02:27.00]-[0:02:39.00]  La morcilla lo mismo, nada más las morcillas llevan pimentón, calabaza y sal, pero no nos lleva ajo, lleva cebolla,
[0:02:39.00]-[0:02:47.00]  eso es otra masa, la de las morcillas de una manera, si distinta a lo de los chorizos, los chorizos es solo con eso
[0:02:47.00]-[0:02:51.00]  y las morcillas llevan calabaza y arroz que se cuece.
[0:02:51.00]-[0:02:53.00]  ¿Y cómo se sujetan los cerdos?
[0:02:53.00]-[0:03:00.00]  Ay, el cerdo se sujeta entre unos cuantos, sí, entre varios, hay que sujetarle bien de las patas,
[0:03:00.00]-[0:03:06.00]  cogele y de las manos de adelante para que le metan el cuchillo para matarle, se le echa en una mesa
[0:03:06.00]-[0:03:10.00]  y se le sujeta bien sujeto, tienen que ser varios para echarle.
[0:03:10.00]-[0:03:13.00]  ¿Y cómo se le abre al cerdo?
[0:03:13.00]-[0:03:19.00]  Boca arriba, se le pone luego en la mesa dos taruguitos así a los lados, como dos trozos de madera,
[0:03:19.00]-[0:03:26.00]  para sujetarle, ponerle boca arriba con las patas por lo alto y las manos y así le abre y empiezan a sacarle las cosas.
[0:03:26.00]-[0:03:28.00]  ¿Y cómo le lavan luego?
[0:03:28.00]-[0:03:33.00]  Nosotros no tenemos costumbre de lavarlo, en algunos sitios sí tienen costumbre de lavarlo y ponerlos a escurrir
[0:03:33.00]-[0:03:37.00]  y luego al día siguiente abrirles, nosotros no, nosotros nunca hemos tenido costumbre de lavarlo.
[0:03:37.00]-[0:03:40.00]  ¿Y lo colgáis? ¿Lo colgáis al cerdo?
[0:03:40.00]-[0:03:44.00]  No, tampoco, eso es donde los lavan, pero nosotros como no los lavamos, no.
[0:03:44.00]-[0:03:51.00]  Nosotros le matan, le pelan con eso y le abren y ya está, y le empiezan a cortar las cosas,
[0:03:51.00]-[0:03:59.00]  ya te he dicho que le empiezan a sacar las costillas, el magro, la gordura para las morcillas y todas esas cosas,
[0:03:59.00]-[0:04:04.00]  pero nosotros no colgamos nada, luego los chorizos, lo que se cuelga y las cosas.
[0:04:04.00]-[0:04:06.00]  ¿Y aquí cómo se llaman los cerdos?
[0:04:06.00]-[0:04:09.00]  Cerdo, cerdo, aquí no más se llaman cerdo.
[0:04:09.00]-[0:04:12.00]  ¿Y al establo de los cerdos?
[0:04:12.00]-[0:04:14.00]  ¿Pues de establo?
[0:04:14.00]-[0:04:19.00]  No, bueno, aquí sí, porque ya no están como antes que eran zagurdas, que lo llamábamos.
[0:04:19.00]-[0:04:20.00]  ¿Cómo?
[0:04:20.00]-[0:04:21.00]  Zagurdas.
[0:04:21.00]-[0:04:22.00]  Zagurdas.
[0:04:22.00]-[0:04:30.00]  Ahí yo tengo una en el patio, ahí atrás, una zagurdita, que entraban por una puertecita muy pequeña y estaban apartes,
[0:04:30.00]-[0:04:36.00]  cada uno en eso, ya no, ya los tenemos en establo, igual que los chotos y estas cosas, es todo ya en eso.
[0:04:36.00]-[0:04:38.00]  ¿Y al que los mata, cómo se le llama?
[0:04:38.00]-[0:04:39.00]  Matachinero.
[0:04:39.00]-[0:04:40.00]  ¿Cómo?
[0:04:40.00]-[0:04:41.00]  Matachinero.
[0:04:41.00]-[0:04:42.00]  Matachinero.
[0:04:42.00]-[0:04:43.00]  Siempre.
[0:04:43.00]-[0:04:45.00]  Matachinero decían.
[0:04:45.00]-[0:04:46.00]  Sí, sí, Matachinero.
[0:04:46.00]-[0:04:50.00]  ¿Y cuando se mataba el cerdo había que llamar al veterinario o algo?
[0:04:50.00]-[0:04:51.00]  ¿Y al matarife?
[0:04:51.00]-[0:04:52.00]  No, al matarife no.
[0:04:52.00]-[0:04:53.00]  ¿Al veterinario?
[0:04:53.00]-[0:05:01.00]  Solo al veterinario para reconocer, se llevaba un cachito, bueno venía, se le quitaba un cachito de magro para que lo viera,
[0:05:01.00]-[0:05:05.00]  él venía, se lo llevaba y lo hacía y veía si estaba bien o mal.
[0:05:05.00]-[0:05:06.00]  ¿Y eso que lo hacía el...
[0:05:06.00]-[0:05:12.00]  Eso al veterinario, al veterinario no, hija, eso siempre ha sido el veterinario.
[0:05:12.00]-[0:05:15.00]  ¿Y se le pagaba?
[0:05:15.00]-[0:05:16.00]  Se le pagaba.
[0:05:16.00]-[0:05:17.00]  ¿Y cuánto se le pagaba entonces?
[0:05:17.00]-[0:05:22.00]  Cuanto le pagábamos, dos mil pesetas, la última vez que hemos hecho nosotros un atanzo, dos mil pesetas.
[0:05:22.00]-[0:05:23.00]  ¿Y qué hace?
[0:05:23.00]-[0:05:26.00]  Bueno, solo analizarlo, mirarlo con un aparatito.
[0:05:26.00]-[0:05:33.00]  Había veces que se lo llevábamos al ayuntamiento, al pueblo, tenían un día, venía un veterinario,
[0:05:33.00]-[0:05:39.00]  porque primeramente teníamos aquí en el pueblo un veterinario, pero ya no hay un, se junta y en Oropesa,
[0:05:39.00]-[0:05:42.00]  entonces tenías que llamar y vienen y que lo analizan aquí.
[0:05:42.00]-[0:05:44.00]  Y con un aparatito lo miraban ellos en el ayuntamiento.
[0:05:44.00]-[0:05:45.00]  ¿Y tardan mucho o no?
[0:05:45.00]-[0:05:50.00]  No, muy poquito, eso tarda muy poco, porque nos tenían que dar los resultados para hacerlo rápidamente,
[0:05:50.00]-[0:05:53.00]  claro, para luego embosarlo y hacer las cosas.
[0:05:53.00]-[0:05:54.00]  ¿Embosarlo?
[0:05:54.00]-[0:05:57.00]  Embosar se llama a los chorizo y a la morcilla, nosotros así siempre.
[0:05:57.00]-[0:05:58.00]  Embosar.
[0:05:58.00]-[0:06:04.00]  Embosar, nosotros hemos llamado a embosar, en otros sitios no sé cómo será, en nuestro pueblo es embosar.
[0:06:04.00]-[0:06:06.00]  ¿Y venía gente a ayudar a la patata?
[0:06:06.00]-[0:06:08.00]  Sí, toda la familia.
[0:06:08.00]-[0:06:09.00]  ¿La familia solo?
[0:06:09.00]-[0:06:15.00]  La familia, nosotros la familia, todos, los hermanos, los que estuviéramos aquí, los sobrinos y todos.
[0:06:15.00]-[0:06:18.00]  ¿Y tú solías ayudar también a otros y no os pagaban nada?
[0:06:18.00]-[0:06:19.00]  Nada, nada.
[0:06:19.00]-[0:06:20.00]  ¿No os daban los chorizos?
[0:06:20.00]-[0:06:26.00]  Nos daban de comer todos los días, hacíamos una comidona y comíamos todos aquí.
[0:06:26.00]-[0:06:27.00]  ¿Y os daban luego chorizo suave?
[0:06:27.00]-[0:06:32.00]  No, no, no, no, cada uno de nuestros chorizos, bueno, ese día nos dábamos de comer lo que fuera,
[0:06:32.00]-[0:06:35.00]  pero no de danos luego los chorizos, nunca.
[0:06:35.00]-[0:06:45.00]  Ah, sí, lo de jamón había que tratarlo de una manera especial para que no le picara el amor.
[0:06:45.00]-[0:06:46.00]  Claro, crudito.
[0:06:46.00]-[0:06:47.00]  ¿Y cuál es esa picadura?
[0:06:47.00]-[0:07:06.00]  Eso, yo las picaduras no las he visto nunca, pero hay veces que salen como unos…
[0:07:06.00]-[0:07:08.00]  Estamos con lo de la mosca.
[0:07:08.00]-[0:07:17.00]  Sí, que lo de la mosca son estas moscas, unas moscas muy gordas que hay que cajan al picar en el jamón,
[0:07:17.00]-[0:07:21.00]  si eso echan como un bichito y era lo que te estropeaban los jamones.
[0:07:21.00]-[0:07:24.00]  ¿Y cómo se llama? ¿No te ha tenido un nombre?
[0:07:24.00]-[0:07:27.00]  Yo es que no me acuerdo cómo se llama esa mosca.
[0:07:27.00]-[0:07:29.00]  ¿Y qué hacía? ¿Eso pica los jamones?
[0:07:29.00]-[0:07:35.00]  Claro, eso ponía como un gusanito y ese gusanito, la caca que echaba era como un gusanito
[0:07:35.00]-[0:07:39.00]  y luego salían muchos gusanos, muchos gusanos blancos de ella.
[0:07:39.00]-[0:07:48.00]  Esa mosca caga una cosita así como gusanina, gusanina y luego se hacen gordos cuando en el jamón picaban.
[0:07:48.00]-[0:07:51.00]  ¿Y de los cultivos a ver qué se cultiva aquí?
[0:07:51.00]-[0:08:05.00]  Aquí se cultivan trigo, cebada, avena, el hoquemal y luego de legumbres, garbanzos y habas también.
[0:08:05.00]-[0:08:07.00]  ¿Y cómo era la época de la cosecha aquí antes?
[0:08:07.00]-[0:08:10.00]  Antes era, iban los hombres a cerrar los manos.
[0:08:10.00]-[0:08:12.00]  ¿En qué época iban?
[0:08:12.00]-[0:08:13.00]  ¿En qué época?
[0:08:13.00]-[0:08:14.00]  En el verano.
[0:08:14.00]-[0:08:18.00]  En el verano, claro, en esta época y luego en septiembre se trillaba.
[0:08:18.00]-[0:08:20.00]  ¿Y lo hacían los hombres o los hombres?
[0:08:20.00]-[0:08:23.00]  Solo los hombres, no, las mujeres íbamos a las habas.
[0:08:23.00]-[0:08:24.00]  ¿Y eso qué era?
[0:08:24.00]-[0:08:28.00]  Las habas es otra cosa, tú no conoces las habas, tú no conoces las habas.
[0:08:28.00]-[0:08:29.00]  Yo no.
[0:08:29.00]-[0:08:36.00]  Bueno, pues las habas íbamos y a las algarrobas también íbamos las mujeres a secar,
[0:08:36.00]-[0:08:39.00]  pero el trigo y la cebada eso era de hombres.
[0:08:39.00]-[0:08:41.00]  ¿Y lo demás, las mujeres, cómo lo hacían?
[0:08:41.00]-[0:08:49.00]  Las mujeres pues igual que los hombres, a secarlos con un ocino y hacíamos unos montones pequeñitos
[0:08:49.00]-[0:08:52.00]  para luego ir a por ellos, para trillar.
[0:08:52.00]-[0:08:55.00]  ¿Y por qué dejabas a los niños?
[0:08:55.00]-[0:08:59.00]  Yo cuando he ido a secar no tenía niños, entonces era soltera.
[0:08:59.00]-[0:09:01.00]  ¿Y las señoras que estaban casadas?
[0:09:01.00]-[0:09:06.00]  Ah, pues se los quedarían en casa o por ahí o en el colegio, donde fuera.
[0:09:06.00]-[0:09:07.00]  ¿Pero los llevaban?
[0:09:07.00]-[0:09:08.00]  No.
[0:09:08.00]-[0:09:12.00]  Bueno, si iban en verano que se salía afuera a los campos, sí es que se los llevaban.
[0:09:12.00]-[0:09:17.00]  Yo es que no me ha tocado en mi época ya de estar casada, no me ha tocado ir a secar.
[0:09:17.00]-[0:09:23.00]  ¿Y cómo se desabasaban los cosechadores cuando estaban allí? ¿Se desabasaban de alguna manera?
[0:09:23.00]-[0:09:28.00]  Antes se buscaban varios hombres cuando era mano y los segaban entre varios.
[0:09:28.00]-[0:09:33.00]  Y luego ya se iba a recoger, no, ya con las cosechadoras no, es de otra manera, es diferente,
[0:09:33.00]-[0:09:35.00]  la cosechadora es de otra manera.
[0:09:35.00]-[0:09:39.00]  Antes a mano era secar los hombres, los que fueran si eran cuatro, cinco, seis,
[0:09:39.00]-[0:09:43.00]  iban a luchas para arriba y para abajo, segando, segando, iban haciendo montoncitos,
[0:09:43.00]-[0:09:49.00]  los recogían en haces, los ataban y luego iban con un cargabanpa, luego trillalos con una trilla de taque,
[0:09:49.00]-[0:09:56.00]  con una caballería, un burro, un macho, lo que fuera, o yegua, lo que fuera.
[0:09:56.00]-[0:09:58.00]  Tú no lo has visto eso nunca trillar.
[0:09:58.00]-[0:10:00.00]  Eso es muy bonito.
[0:10:00.00]-[0:10:08.00]  Con una trilla, dando vueltas a vueltas, se ponía la cosecha así alrededor y el amulado, el burro,
[0:10:08.00]-[0:10:16.00]  todo el tiempo, y un muchachillo joven o un niño montado para aplastarlo y para ir dando vueltas,
[0:10:16.00]-[0:10:18.00]  eso sí que lo hemos hecho muchas veces.
[0:10:18.00]-[0:10:22.00]  Y luego lo limpiaban cuando andaba a ir, por las mañanas tempranas.
[0:10:22.00]-[0:10:24.00]  ¿Y las personas mayores se ayudaban a la cosecha?
[0:10:24.00]-[0:10:27.00]  Sí, pero menos, así siempre eran más los...
[0:10:29.00]-[0:10:32.00]  ¿Y las personas mayores se ayudaban a cosechar?
[0:10:32.00]-[0:10:35.00]  No, las personas mayores no, no ayudaban.
[0:10:35.00]-[0:10:37.00]  ¿No ayudaban?
[0:10:37.00]-[0:10:41.00]  No, porque ya... las mujeres sí, las mujeres ya te digo que iban...
[0:10:41.00]-[0:10:43.00]  ¿Sabes lo que hacían las mujeres?
[0:10:43.00]-[0:10:48.00]  Los hombres por la mañana se iban a llevar el desayuno al hallito donde secaban,
[0:10:48.00]-[0:10:54.00]  íbamos con el desayuno a llevárselo toda la mañana con la cesta, a llevarlo la comida.
[0:10:54.00]-[0:10:57.00]  Si estaba muy lejos, el desayuno y la comida íbamos.
[0:10:57.00]-[0:11:02.00]  Era el pueblo con una cestita tapada para llevarlo al desayuno, pues ellos iban temprano.
[0:11:02.00]-[0:11:04.00]  Entonces pasabas el día antes allí.
[0:11:04.00]-[0:11:07.00]  No, íbamos, les llevábamos el desayuno, veníamos,
[0:11:07.00]-[0:11:10.00]  nos hacíamos la comida y íbamos a llevárselo otra vez.
[0:11:11.00]-[0:11:13.00]  ¿Y qué te iba a decir?
[0:11:13.00]-[0:11:15.00]  ¿Vosotros tenéis cosecha ahora?
[0:11:15.00]-[0:11:20.00]  Nosotros ya no tenemos cosechadora, ya se aquila una cosechadora y vienen por aquí.
[0:11:20.00]-[0:11:21.00]  ¿Pero tenéis cosecha?
[0:11:21.00]-[0:11:22.00]  Sí, nosotros sí.
[0:11:22.00]-[0:11:23.00]  ¿Tenéis cosecha todavía?
[0:11:23.00]-[0:11:25.00]  Nosotros sí, todos los años cosechamos.
[0:11:25.00]-[0:11:28.00]  ¿Y qué hace la cosecha ahora? ¿Vosotros no la hacéis?
[0:11:28.00]-[0:11:32.00]  No, ahora vienen... ahora pagamos a una cosechadora, mandan de llamar a una cosechadora,
[0:11:32.00]-[0:11:35.00]  vienen y si se lo hacen dos o tres días pues se lo hacen.
[0:11:35.00]-[0:11:37.00]  ¿Qué es una cosechadora, un maquinario?
[0:11:37.00]-[0:11:39.00]  Un maquinario que lleva un peine así muy ancho,
[0:11:39.00]-[0:11:44.00]  que lleva una lucha más grande que a lo mejor todo esto, de ancho así,
[0:11:44.00]-[0:11:49.00]  y lo va segando y entonces va por un tubo saliendo la paja,
[0:11:49.00]-[0:11:53.00]  lo va tirando y la cosecha a los tractores lo echa.
[0:11:53.00]-[0:11:59.00]  En el tractor, en el remorque del tractor, llevan un remorque puesto y va echando...
[0:11:59.00]-[0:12:02.00]  Eso es ya más moderno, es que antiguamente era...
[0:12:02.00]-[0:12:06.00]  ¿Y antes cómo se llamaban a los que venían a cosechar? ¿Tenían algún nombre específico o no?
[0:12:06.00]-[0:12:07.00]  No.
[0:12:07.00]-[0:12:08.00]  ¿No?
[0:12:09.00]-[0:12:12.00]  No, yo no. Eso eran aquí en el pueblo casi siempre...
[0:12:12.00]-[0:12:16.00]  vamos de fuera también de otros pueblos venían a hacerlo,
[0:12:16.00]-[0:12:18.00]  pero yo creo que no tenían ningún nombre especial.
[0:12:18.00]-[0:12:19.00]  Sí, vamos a tener...
[0:12:19.00]-[0:12:23.00]  Yo no me acuerdo que lo llamaran de ninguna manera esos que venían a cosechar,
[0:12:23.00]-[0:12:26.00]  vamos a cosechar a... con unos sino que lo hacían...
[0:12:26.00]-[0:12:28.00]  ¿Era de otro pueblo los que venían?
[0:12:28.00]-[0:12:30.00]  A unos sí, a otros de aquí del pueblo.
[0:12:30.00]-[0:12:31.00]  ¿Y cuánto se les pagaba?
[0:12:31.00]-[0:12:33.00]  Pues eso ya no lo sé yo.
[0:12:33.00]-[0:12:35.00]  ¿Pero no era mucho o sí?
[0:12:35.00]-[0:12:40.00]  No, muy poco, porque en aquella época cuando entonces se hacía mano se pagaba todo muy poco,
[0:12:40.00]-[0:12:42.00]  porque valía todo muy poco.
[0:12:42.00]-[0:12:46.00]  No es como ahora que vale todo más, pero entonces valía muy poquito.
[0:12:46.00]-[0:12:49.00]  ¿Y tampoco se les pagaba más a los hombres que a las mujeres?
[0:12:49.00]-[0:12:51.00]  Hombre, a los hombres lo pagarían más que a las mujeres,
[0:12:51.00]-[0:12:54.00]  a las mujeres siempre se les ha pagado menos.
[0:12:54.00]-[0:12:57.00]  A las mujeres siempre se les ha pagado menos.
[0:12:57.00]-[0:12:59.00]  ¿Y aquí no hacía vendimia, no?
[0:12:59.00]-[0:13:01.00]  ¿Vendimia de qué?
[0:13:01.00]-[0:13:02.00]  ¿De las aceitunas?
[0:13:02.00]-[0:13:03.00]  De uvas.
[0:13:03.00]-[0:13:04.00]  De uvas no, porque aquí no había uvas.
[0:13:04.00]-[0:13:05.00]  ¿De aceitunas sí?
[0:13:05.00]-[0:13:09.00]  De aceitunas sí, iban también la gente a coger a las aceitunas y también se...
[0:13:09.00]-[0:13:11.00]  ¿Y vosotros también teníais aceitunas?
[0:13:11.00]-[0:13:14.00]  Nosotros también hemos ido a cogerlas muchas veces.
[0:13:14.00]-[0:13:15.00]  ¿Sí?
[0:13:15.00]-[0:13:16.00]  Sí.
[0:13:16.00]-[0:13:18.00]  Dicen que hay una costumbre que es la de...
[0:13:18.00]-[0:13:21.00]  a ver, entregar las uvas en la cara de las chicas y levantarlas en la falda.
[0:13:21.00]-[0:13:25.00]  Ah, pero es que nosotros no hemos ido. Aquí uvas no, porque no había viñas, así que no.
[0:13:25.00]-[0:13:27.00]  Y lo de la aceituna, ¿cómo es?
[0:13:27.00]-[0:13:32.00]  Lo de la aceituna, pues íbamos en pandilla muchas y también se nos pagaban.
[0:13:32.00]-[0:13:37.00]  A los olivares así grandes iban en pandilla muchos y según los kilos que cogías te pagaban.
[0:13:37.00]-[0:13:38.00]  ¿Y te pagaban mucho?
[0:13:38.00]-[0:13:45.00]  No, muy poquito. Yo no sé si valían cinco o diez pesetas el kilo de aceitunas cada kilo que cogías, entonces muy poco.
[0:13:45.00]-[0:13:47.00]  Porque valía tú muy poquito.
[0:13:47.00]-[0:13:49.00]  ¿Y aquí cosecha de miel?
[0:13:49.00]-[0:13:52.00]  De miel, en casa de mi abuelo sí hacían cosecha de miel.
[0:13:52.00]-[0:13:55.00]  Tenían colmenas y lo cogían.
[0:13:55.00]-[0:13:58.00]  ¿Y cómo hacían para que no picaran las abejas?
[0:13:58.00]-[0:14:04.00]  Las daban con una cosa, con un saumerio, no sé.
[0:14:04.00]-[0:14:05.00]  ¿Saumerio?
[0:14:05.00]-[0:14:12.00]  Sí, echaban unos ascuas en un bache así, que luego echaban azúcar y salía humo, humo,
[0:14:12.00]-[0:14:20.00]  y se los regaban para que se pusieran como a tontar las abejas y los quitaban los panales esos que los sacaban.
[0:14:20.00]-[0:14:21.00]  ¿Picaban?
[0:14:21.00]-[0:14:25.00]  Sí, sí que picaban alguna vez, yo me acuerdo que picaban.
[0:14:25.00]-[0:14:31.00]  Y cuando íbamos a por agua, estábamos muy cerca de donde las castraban, que se llamaban castrarlas.
[0:14:31.00]-[0:14:34.00]  ¿Y qué es eso de que las castraban?
[0:14:34.00]-[0:14:41.00]  Castrar es sacar el panal para sacar la miel, para sacar el panal para sacar la miel,
[0:14:41.00]-[0:14:48.00]  luego los ponían en unos baches, cómo te voy a decir, un barreño, y los ponían así para que corriera.
[0:14:48.00]-[0:14:58.00]  Y lo otro era la cera, una cosa que quedaba cera para hacer velas, hacían velas, sacaban la miel por un lado
[0:14:58.00]-[0:15:04.00]  y por el otro lado era una cosa como para hacer velas, entonces se usaba para hacer velas.
[0:15:04.00]-[0:15:09.00]  Y hacían velas para la iglesia, que era lo que más se usaba para hacer las velas de la iglesia, pero yo no sé eso.
[0:15:09.00]-[0:15:14.00]  Eso ya no me acuerdo, si lo hacían aquí en el pueblo o lo mandaban para que lo llamaban.
[0:15:14.00]-[0:15:19.00]  Era una cosa muy dura, muy dura, que quedaba en el panal, según lo ponían a escurrir salía la miel.
[0:15:19.00]-[0:15:22.00]  Y luego quedaba eso, y eso era es que cera.
[0:15:22.00]-[0:15:24.00]  ¿Y de qué color era? ¿Igual que la miel?
[0:15:24.00]-[0:15:31.00]  No, era blanco, aquello era blanco y la miel era el colorcito ese de miel, que tiene color oscuro, el otro era cera.
[0:15:31.00]-[0:15:34.00]  ¿Y aquí cómo se llama las abejas? ¿Abejas? ¿Y el abijón igual?
[0:15:34.00]-[0:15:36.00]  Igualito, hija.
[0:15:36.00]-[0:15:42.00]  Sí, sí, sí, nada, aquí no tiene... Aquí eso se llamaba igual.
[0:15:42.00]-[0:15:44.00]  ¿Y qué se hablaba con el colegio?
[0:15:44.00]-[0:15:45.00]  No, nada del colegio.
[0:15:45.00]-[0:15:46.00]  ¿Tú fuiste al colegio?
[0:15:46.00]-[0:15:47.00]  Yo sí.
[0:15:47.00]-[0:15:49.00]  ¿Y qué se aprendía del colegio?
[0:15:49.00]-[0:15:52.00]  Pues en el colegio aprendíamos a leer y a escribir, nada más.
[0:15:52.00]-[0:15:54.00]  ¿Habías estado mucho años aquí?
[0:15:54.00]-[0:15:56.00]  No, muy poco, muy poquito.
[0:15:56.00]-[0:16:00.00]  Pues no sé si estaría hasta los 13 o por ahí, poco tiempo.
[0:16:00.00]-[0:16:06.00]  Y muchas veces que había que ir al campo pues ni estábamos, porque por el verano íbamos a las palvas,
[0:16:06.00]-[0:16:09.00]  que es eso lo que se llamaba después que cosechabas,
[0:16:09.00]-[0:16:15.00]  a los campos porque no era solo aquí en el pueblo, se tenía alquilado cosecha afuera
[0:16:15.00]-[0:16:21.00]  y entonces nos íbamos en verano, cogíamos y nos íbamos todos allí a recoger la cosecha de los campos.
[0:16:21.00]-[0:16:22.00]  ¿Pero eso no se decía en un día?
[0:16:22.00]-[0:16:27.00]  No, nos íbamos para 15 días o para un mes o para lo que fuera
[0:16:27.00]-[0:16:36.00]  y hacían unas chozas, hacían unos... no eran chozas, eran verás cómo debía llamar, sombrajes se llamaban,
[0:16:36.00]-[0:16:45.00]  con unos palos y arriba ponían como, cómo te voy a decir yo qué era aquello, como jaras y cosas
[0:16:45.00]-[0:16:49.00]  y hacían un sombraje y allí estábamos en tiempos veranos.
[0:16:49.00]-[0:16:50.00]  ¿Y qué hacías allí?
[0:16:50.00]-[0:16:56.00]  Pues allí que hacíamos, pues trillar, ir nosotros a por agua y a ponerle la comida a los hombres,
[0:16:56.00]-[0:17:01.00]  los hombres llegando y trillando, que no era solo aquí en el pueblo, había que irse a los campos.
[0:17:01.00]-[0:17:04.00]  Pero luego allí no la anunciaban vuestras o sea.
[0:17:04.00]-[0:17:13.00]  No, esas eran aquí las eran de otro señor, no solo aquí en el pueblo porque había poco y había que irse fuera a los campos a eso
[0:17:13.00]-[0:17:18.00]  y no estábamos lo mismo, estábamos un mes que... o más, un mes allí.
[0:17:18.00]-[0:17:22.00]  ¿Y en el colegio entonces que estabais solo en invierno?
[0:17:22.00]-[0:17:32.00]  Pocas y en invierno, sí. En verano estábamos más por ahí haciendo cosas que en el invierno íbamos al colegio y en verano más a eso.
[0:17:32.00]-[0:17:35.00]  ¿Y por eso no te acuerdas que le enseñabas a los niños que a las niñas?
[0:17:35.00]-[0:17:37.00]  A los mismitos hijas, nos enseñaban.
[0:17:37.00]-[0:17:39.00]  A los mismos nos enseñaban a los niños que a las niñas.
[0:17:39.00]-[0:17:42.00]  A nosotros nos enseñaban a coser, un poco más que a los niños.
[0:17:42.00]-[0:17:49.00]  Por la tarde era tradición de llevar costuras y nos enseñaban a coser, lo que se dice hacer vainica, que repulga,
[0:17:49.00]-[0:17:55.00]  hacer sobre el dedo o lo que fuera, eso nos enseñaban los chicos ¿no?
[0:17:55.00]-[0:18:02.00]  Eso es lo que hacían los chicos por la tarde, se iban al campo a lo mejor a jugar al balón o de paseo y nosotros cosíamos.
[0:18:02.00]-[0:18:05.00]  ¿Y crees que hoy es distinto como se enseñan los colegios?
[0:18:05.00]-[0:18:07.00]  Mucho mejor, mucho mejor.
[0:18:07.00]-[0:18:15.00]  ¿Qué le gustaría que les enseñaran hoy que no les enseñaron?
[0:18:15.00]-[0:18:25.00]  A mí muchas cosas, de saber bien hacer todo, escribir, leer y todo, y cuenta porque entonces no sabíamos ni casi dar cuenta.
[0:18:25.00]-[0:18:28.00]  Pero también habrá cosas que ahora no enseñan, que antes sí.
[0:18:28.00]-[0:18:38.00]  Bueno, no sé qué decir porque ahora nos enseñan muchas más cosas, hay mucho más cultura que entonces,
[0:18:38.00]-[0:18:45.00]  entonces no teníamos nada de cultura si no sabíamos nada.
[0:18:45.00]-[0:18:49.00]  ¿Y tú crees que el pasto tenía más autoridad antes que ahora?
[0:18:49.00]-[0:18:52.00]  El maestro, más autoridad.
[0:18:52.00]-[0:18:53.00]  Ahora más que antes.
[0:18:53.00]-[0:18:56.00]  Ahora más que antes, no le hacéis mucho caso.
[0:18:56.00]-[0:18:59.00]  Hacíamos lo que queríamos con él.
[0:18:59.00]-[0:19:03.00]  ¿Y qué nos dejaban hacer a los niños que hoy se permitan?
[0:19:03.00]-[0:19:06.00]  ¿Qué nos dejaban hacer los profesores a nosotros?
[0:19:06.00]-[0:19:10.00]  Pues que no nos dejaban hacer, por muchas cosas, muchísimas cosas.
