[0:00:00.00]-[0:00:04.00]  ¿Cómo se llama usted?
[0:02:38.00]-[0:02:40.00]  Hacía morcilla con arroz también.
[0:02:40.00]-[0:02:42.00]  Sí, también habia morcillas.
[0:02:42.00]-[0:02:44.00]  ¿Pero qué nacía la matanza? ¿Qué nacían los chorizos?
[0:02:44.00]-[0:02:46.00]  En la casa, en la casa, la madre.
[0:02:46.00]-[0:02:47.00]  Las mujeres, ¿no?
[0:02:47.00]-[0:02:49.00]  Las mujeres, claro.
[0:02:49.00]-[0:02:54.00]  ¿Y del campo? Bueno, el pueblo, para empezar, ha crecido mucho el pueblo.
[0:02:54.00]-[0:02:55.00]  Mucho.
[0:02:55.00]-[0:02:57.00]  ¿Antes cuántos habitantes tenía?
[0:02:57.00]-[0:02:59.00]  No hemos tenido nunca los dos mil, nunca.
[0:02:59.00]-[0:03:01.00]  ¿Y ahora?
[0:03:01.00]-[0:03:13.00]  Ahora, dicen que hay muchos, pero yo este año pasaba un leí, todos los pueblos de la provincia de Zaragoza, los pueblos, los barrios, no, los pueblos.
[0:03:13.00]-[0:03:19.00]  Venía el parque móvil en la prensa, los habitantes que teníamos y el parque móvil.
[0:03:19.00]-[0:03:27.00]  Pues aquí estábamos en el 2012 y me dicen que había dos mil seis cacharros.
[0:03:27.00]-[0:03:29.00]  ¿Casi como personas?
[0:03:29.00]-[0:03:32.00]  No, la mitad, hubo el dicho mal.
[0:03:32.00]-[0:03:34.00]  ¿Qué es el parque móvil?
[0:03:34.00]-[0:03:40.00]  El parque móvil, la maquinaria que hay, tractores, oficiadoras, ¿sabes?
[0:03:40.00]-[0:03:45.00]  Y los coches, porque el año pasado había, hombre, habrá muchos coches.
[0:03:45.00]-[0:03:46.00]  Muchos, muchos.
[0:03:46.00]-[0:03:49.00]  Que antes, para la guerra no había más que uno, aquí en San Mateo.
[0:03:49.00]-[0:03:50.00]  ¿Uno?
[0:03:50.00]-[0:03:51.00]  Uno.
[0:03:51.00]-[0:03:52.00]  ¿Para todo el pueblo?
[0:03:52.00]-[0:03:55.00]  Bueno, era de la fábrica, de una fábrica de la luz.
[0:03:55.00]-[0:03:57.00]  Esa fábrica aquí ahora no funciona.
[0:03:57.00]-[0:04:00.00]  ¿Y cuánta gente había aquí en esa época?
[0:04:00.00]-[0:04:04.00]  En esa época, eso, pues mil ochocientos, por ahí.
[0:04:04.00]-[0:04:08.00]  ¿Aquí en el pueblo? Pues es grandecito, siempre ha sido grandecito.
[0:04:08.00]-[0:04:14.00]  Pero que entonces crecía muy poco el pueblo, eh, no pienses.
[0:04:14.00]-[0:04:17.00]  Que entonces, bien, meh.
[0:04:17.00]-[0:04:22.00]  ¿Y aparte de tocino, de cerdo, qué otros animales comían?
[0:04:22.00]-[0:04:26.00]  Todos, conejos, corderos, para las fiestas.
[0:04:26.00]-[0:04:28.00]  ¿Y cómo los preparaban y cómo los...?
[0:04:28.00]-[0:04:35.00]  Oye, mirá, los mataban igual que en la carnicería, y a frío, a sal, y lo que eso.
[0:04:35.00]-[0:04:36.00]  Sí.
[0:04:36.00]-[0:04:41.00]  Sí, pues no ves qué perras no había, pues.
[0:04:41.00]-[0:04:48.00]  Con el corral, ahora las mujeres están mejor que antes la reina.
[0:04:48.00]-[0:04:53.00]  No, porque estás aquí tú, que es igual que un sinigual, te lo diría.
[0:04:53.00]-[0:04:59.00]  Mira, antes, el corral lo que hablamos, aunque fuera de uno pobre, pequeño el corral,
[0:04:59.00]-[0:05:01.00]  pero sabes tú lo que era.
[0:05:01.00]-[0:05:05.00]  Es que cuidar todos los días a los animales hay.
[0:05:05.00]-[0:05:10.00]  Aquí la agua bajaba por la ceca, pero las casas un poco apartadas, pues ya sabes,
[0:05:10.00]-[0:05:15.00]  si no había un mozo, pues un par de viajeros de agua con los cántaros allá.
[0:05:15.00]-[0:05:19.00]  Claro, bajaba por medio del pueblo, pero ya, mira, casas que estaban apartadas.
[0:05:19.00]-[0:05:20.00]  Claro.
[0:05:23.00]-[0:05:26.00]  ¿Y aquí hay fiestas típicas en este pueblo?
[0:05:26.00]-[0:05:31.00]  Eran para el primer Domingo de Ocho de Oro, el Rosario.
[0:05:31.00]-[0:05:35.00]  Pero hace unos años lo que pasaba, se empeñaron en Cambialas,
[0:05:35.00]-[0:05:38.00]  que no votó la gente que sí, pero pusieron que sí.
[0:05:38.00]-[0:05:44.00]  Porque las vacaciones de los estudiantes, claro, las fiestas se tenían que ir.
[0:05:44.00]-[0:05:46.00]  ¿Y qué fiesta era aquello?
[0:05:46.00]-[0:05:53.00]  Claro, el primer Domingo del Rosario era la fiesta, que es el primer Domingo de Octubre, sabes.
[0:05:53.00]-[0:05:59.00]  Y estaban ya, sabían incorporar a casi todos a las vacaciones.
[0:05:59.00]-[0:06:00.00]  Claro.
[0:06:00.00]-[0:06:04.00]  Y que a mí lo cambiaron, y ahora para la Virgen de Agosto.
[0:06:04.00]-[0:06:06.00]  Claro, entonces ya la...
[0:06:06.00]-[0:06:10.00]  ¿Y antes cómo celebraban las fiestas que hacían?
[0:06:10.00]-[0:06:13.00]  Sí, pues baile, baile por ahí.
[0:06:13.00]-[0:06:16.00]  Pero, ¿cómo que venían músicos?
[0:06:16.00]-[0:06:19.00]  Sí, sí, eso sí, yo toda vida lo he visto.
[0:06:19.00]-[0:06:22.00]  Sí, ¿vienen músicos y se baila, se come?
[0:06:22.00]-[0:06:24.00]  Músico y baile mucho más que ahora.
[0:06:24.00]-[0:06:25.00]  Claro.
[0:06:25.00]-[0:06:26.00]  ¿Si ahora no bailan?
[0:06:26.00]-[0:06:27.00]  No.
[0:06:27.00]-[0:06:28.00]  Yo digo, pues sí.
[0:06:28.00]-[0:06:30.00]  Pero, claro.
[0:06:30.00]-[0:06:32.00]  ¿Tocaban en la bandurria para la Jota, no?
[0:06:32.00]-[0:06:34.00]  Sí, hombre, siempre había esto de las guitarras, ¿sabes?
[0:06:34.00]-[0:06:38.00]  Quadrillas que se dedicaban a eso, vos.
[0:06:38.00]-[0:06:40.00]  Pero si ahora no bailan...
[0:06:40.00]-[0:06:41.00]  No.
[0:06:41.00]-[0:06:45.00]  Yo hace años que estaba un día ahí y le digo, me cagones.
[0:06:45.00]-[0:06:47.00]  Si antes si no había baile, no había otra cosa.
[0:06:47.00]-[0:06:50.00]  La única forma de juntarte con las chicas era en el baile.
[0:06:50.00]-[0:06:51.00]  Claro.
[0:06:51.00]-[0:06:55.00]  Claro, pero ahora, bien, ahora la metrán y dicen, bien, eso ya vi,
[0:06:55.00]-[0:06:58.00]  y un año que lleven juntos, digo, tira, tira.
[0:06:58.00]-[0:07:01.00]  La gente se emparejaba siempre los bailes, ¿no?
[0:07:01.00]-[0:07:02.00]  Claro.
[0:07:02.00]-[0:07:11.00]  ¿Y sabes cuando, para la Semana Santa, había siete domingos de San José que decían que no había baile
[0:07:11.00]-[0:07:18.00]  y en misa te juntabas alguna al salir de misa, bien, si pues oye.
[0:07:18.00]-[0:07:20.00]  Era la cosa así.
[0:07:20.00]-[0:07:27.00]  Era la manera de... pero luego, por ejemplo, ¿cuántas horas trabajaban al día?
[0:07:27.00]-[0:07:31.00]  En el campo nada, trabajábamos todos del pueblo en el campo.
[0:07:31.00]-[0:07:32.00]  ¿Todos los del pueblo?
[0:07:32.00]-[0:07:33.00]  Todo.
[0:07:33.00]-[0:07:35.00]  ¿Qué cosas cultivaban allí?
[0:07:35.00]-[0:07:38.00]  Panizos, se juntaban... lo principal era la remolacha.
[0:07:38.00]-[0:07:39.00]  Remolacha, más que nada.
[0:07:39.00]-[0:07:42.00]  Es que, porque era lo que se sacaban las perras, ¿sabes?
[0:07:42.00]-[0:07:43.00]  Sí, sí, sí.
[0:07:43.00]-[0:07:48.00]  Que era la cosecha, llevaban más trabajo, pero se sacaban más perras.
[0:07:48.00]-[0:07:54.00]  Claro, y como gente había mucha para trabajar, pues había que ir a buscar, aunque llevara más trabajo,
[0:07:54.00]-[0:07:57.00]  lo que más... al cabo del año lo que más se sacaba.
[0:07:57.00]-[0:08:02.00]  Es que nos habían comentado en otras zonas que había trigo y centeno, pero aquí más que nada la remolacha.
[0:08:02.00]-[0:08:08.00]  Sí, pero aquí en la huerta, eso. En el monte también centeno, también hay cebada y trigo.
[0:08:08.00]-[0:08:12.00]  Pero aquí ha sido más la huerta que el monte.
[0:08:12.00]-[0:08:17.00]  Y de la misa que decía usted, por ejemplo, ¿la gente era muy religiosa antes?
[0:08:17.00]-[0:08:18.00]  Sí.
[0:08:18.00]-[0:08:20.00]  ¿Por qué ahora se ama?
[0:08:20.00]-[0:08:22.00]  Con todo que no vais los jóvenes, oye, perdona.
[0:08:22.00]-[0:08:24.00]  ¿Cómo, cómo, perdona?
[0:08:24.00]-[0:08:29.00]  Que antes tenían que ir todos por fuerza.
[0:08:29.00]-[0:08:31.00]  Ah, por fuerza, claro.
[0:08:31.00]-[0:08:34.00]  Si no, ¿sabes tú, después de Franco, cómo quedó aquello?
[0:08:34.00]-[0:08:40.00]  Y los curas tenían una mano que yo me gusta, soy católico y me gusta, pero aquello no me gustaba.
[0:08:40.00]-[0:08:42.00]  Es que hacían a la fuerza.
[0:08:42.00]-[0:08:43.00]  Claro, claro.
[0:08:43.00]-[0:08:47.00]  A los hombres dejarlos libres, a los que hagan mal que lo paguen, ¿verdad?
[0:08:47.00]-[0:08:48.00]  Claro.
[0:08:48.00]-[0:08:52.00]  Pero entonces había, no nos dejaban trabajar los domingos.
[0:08:52.00]-[0:08:55.00]  El cura nos denunciaba a la Guardia Civil.
[0:08:55.00]-[0:08:57.00]  ¿Por trabajar los domingos?
[0:08:57.00]-[0:08:58.00]  Sí, sí.
[0:08:58.00]-[0:09:02.00]  Tuvimos aquí una, ya se murió aquel hombre.
[0:09:02.00]-[0:09:04.00]  Te digo.
[0:09:04.00]-[0:09:07.00]  Pero las mujeres, ¿sabes tú lo que trabajaban aquí?
[0:09:07.00]-[0:09:13.00]  Y luego, por ejemplo, el cura decía, esto hay que hacerlo o esto no, en la vida real.
[0:09:13.00]-[0:09:14.00]  El amo era él.
[0:09:14.00]-[0:09:18.00]  Y si decía que cerraba el baile, cerraba el baile.
[0:09:18.00]-[0:09:23.00]  Más, hubo una cuadrilla, es que aquellos habían estado en la guerra, ¿eh?
[0:09:23.00]-[0:09:27.00]  Y un día salieron por ahí, lo que pasa a los jóvenes cuando se calienta,
[0:09:27.00]-[0:09:29.00]  es que ahora pues ahora igual, desroyo, vamos.
[0:09:29.00]-[0:09:31.00]  No cambia.
[0:09:31.00]-[0:09:39.00]  Y salían con una pea en un tablero, así como, llevaban a uno como de fraile.
[0:09:39.00]-[0:09:45.00]  Y los vio, y los decidí ir a misa, no sé si fue cinco o seis domingos, chica.
[0:09:45.00]-[0:09:51.00]  Y había un mando que no había, no les voy a dar de vuelta, ¿eh?
[0:09:51.00]-[0:09:56.00]  No había, es que la gente fuera a aflojar, pero que no había nada a hacer.
[0:09:56.00]-[0:10:03.00]  Y luego, por ejemplo, en cuanto a los cambios que fue habiendo, cuando aquí llegó, por ejemplo, la minifalda, ¿qué pasó?
[0:10:03.00]-[0:10:06.00]  No, aquí nada, de eso nada, bien.
[0:10:06.00]-[0:10:11.00]  La gente no le dio, pues como era, cuando los primeros que se divorciaban vivían juntos,
[0:10:11.00]-[0:10:18.00]  pues parece que algunos viejos, los jóvenes nada, pero los viejos, ¿qué ande iba a parar?
[0:10:18.00]-[0:10:19.00]  Sí.
[0:10:19.00]-[0:10:20.00]  Claro.
[0:10:20.00]-[0:10:24.00]  Pero si no viven, se han separado, pues se han separado.
[0:10:24.00]-[0:10:29.00]  Bueno, esta mañana hemos tenido aquí un chico que estaba siempre aquí.
[0:10:29.00]-[0:10:36.00]  Nos ha dicho que se había separado, oye, y él tiene al chico, nos ha dicho quince días y dice quince la madre.
[0:10:39.00]-[0:10:44.00]  Oye, es que lo de antes sería malo, pero el matrimonio era mejor antes que ahora.
[0:10:44.00]-[0:10:45.00]  Se repitaba mal.
[0:10:45.00]-[0:10:47.00]  Sí, sí.
[0:10:47.00]-[0:10:53.00]  Ahora, en el momento que he hecho a trabajar la mujer en Europa, ya vino el descalabro.
[0:10:53.00]-[0:11:04.00]  Aquí no, pero cuando estoy aquí a Francia y por ahí, pues a los años eran peor los españoles que los franceses.
[0:11:04.00]-[0:11:07.00]  Para el asunto de las mujeres y el hombre.
[0:11:07.00]-[0:11:13.00]  Se volvieron muy adelante, yo decía, ya te digo.
[0:11:13.00]-[0:11:15.00]  Sí, fue mucha gente por Francia.
[0:11:15.00]-[0:11:17.00]  Sí, era mucha gente a trabajar.
[0:11:17.00]-[0:11:21.00]  Espera que sacáis un poco de...
[0:11:21.00]-[0:11:27.00]  Sí, pues oye, si ahora qué tan mal que en los países que vengan extranjeros.
[0:11:27.00]-[0:11:34.00]  Pues si ha sido toda la vida, todas las naciones que han levantado la mano extranjera.
[0:11:34.00]-[0:11:38.00]  Francia, si no hubiera sido cuando la guerra, pues si no quedó nada.
[0:11:38.00]-[0:11:39.00]  Claro.
[0:11:39.00]-[0:11:40.00]  Claro.
[0:11:40.00]-[0:11:42.00]  Y en Alemania le pasó igual.
[0:11:42.00]-[0:11:46.00]  Y España, ahora si no hubiéramos venido, qué pasaría.
[0:11:46.00]-[0:11:52.00]  Tienes por ahí muchos, por ahí los de estados que vinieron de Sudamérica y por ahí, ¿sabes?
[0:11:52.00]-[0:11:58.00]  Pues oye, esas si no cuidaran a los viejos, no los cuidaría nadie.
[0:11:58.00]-[0:12:03.00]  Porque en España y al trabajo duro ya no los quería nadie.
[0:12:03.00]-[0:12:07.00]  Todos esos niños extranjeros están de pactores y en el campo.
[0:12:07.00]-[0:12:10.00]  Pero ¿sabes lo que ha hablado el otro día uno del jefe del campo?
[0:12:10.00]-[0:12:12.00]  Vienen al campo, ¿sabes?
[0:12:12.00]-[0:12:14.00]  Los traen con papeles.
[0:12:14.00]-[0:12:19.00]  Pero en cuanto tienen ocasión de buscar otro trabajo, de hacen bien se van.
[0:12:19.00]-[0:12:21.00]  Si es ley de vida eso.
[0:12:23.00]-[0:12:28.00]  O sea que vienen para coger el contrato y para que les den los papeles y luego cogen y se van.
[0:12:28.00]-[0:12:30.00]  Hombre, en cuanto tienen ocasión, ¿qué harías tú?
[0:12:30.00]-[0:12:31.00]  No, si.
[0:12:31.00]-[0:12:33.00]  Es ley de vida eso.
[0:12:33.00]-[0:12:36.00]  Y hay mucha inmigración, ve usted que ha llegado mucha gente de fuera.
[0:12:36.00]-[0:12:38.00]  Si hay muchos, si, si, hay muchos.
[0:12:38.00]-[0:12:44.00]  Mira, cualquier mañana aquí hay 20 críos, 25 y no hay ninguno de aquí.
[0:12:44.00]-[0:12:48.00]  Son todos, viene mucha gente joven, con críos.
[0:12:48.00]-[0:12:51.00]  Bueno, eso es bueno para el pueblo, ¿no?
[0:12:51.00]-[0:12:53.00]  Oye, y para todos.
[0:12:53.00]-[0:12:56.00]  Lo que te digo, pastores no habría.
[0:12:56.00]-[0:13:01.00]  Y los oficios malos en las empresas ya no los quería ningún español.
[0:13:01.00]-[0:13:08.00]  Hay que reconocerlo, oye.
[0:13:08.00]-[0:13:11.00]  Y aquí se conocen a mucha gente.
[0:13:11.00]-[0:13:12.00]  Aquí nos conocíamos todos.
[0:13:12.00]-[0:13:14.00]  Todos los antes.
[0:13:14.00]-[0:13:16.00]  Ahora no.
[0:13:16.00]-[0:13:21.00]  Hombre, nosotros como los que, digo, como hay tantos jóvenes,
[0:13:21.00]-[0:13:26.00]  pues como cuando nosotros venimos para aquí de paseo y por ahí por la mañana tarde,
[0:13:26.00]-[0:13:27.00]  no están ellos.
[0:13:27.00]-[0:13:32.00]  Pues no conocemos a muchos, claro.
[0:13:32.00]-[0:13:34.00]  ¿Y cómo ve usted a los jóvenes?
[0:13:34.00]-[0:13:35.00]  ¿Los ve a gusto aquí ahora?
[0:13:35.00]-[0:13:36.00]  ¿Ve que se van?
[0:13:36.00]-[0:13:39.00]  ¿Oye, que viene gente joven?
[0:13:39.00]-[0:13:43.00]  Los jóvenes, es que caen de vicio.
[0:13:43.00]-[0:13:47.00]  Nada, oye, de todo habrá.
[0:13:47.00]-[0:13:53.00]  Yo tengo un nieto que anoche se fueron a ver en el calle.
[0:13:53.00]-[0:13:56.00]  Que jugaba en Zaragoza, en el príncipe Felipe.
[0:13:56.00]-[0:14:00.00]  Pues de propio, digo, a nosotros no nos llegaba nunca nada bien.
[0:14:00.00]-[0:14:05.00]  Los domingos a los negros a trabajar.
[0:14:05.00]-[0:14:07.00]  Es que no había adelanto, un hombre.
[0:14:07.00]-[0:14:10.00]  Y lo que ha traído esto, fíjate, antes lo que te dio,
[0:14:10.00]-[0:14:14.00]  estábamos para arrancar y para coger panizo todo el pueblo.
[0:14:14.00]-[0:14:19.00]  Ahora el panizo se siembra más porque las remolachas las fueron quitando por lo que fuera.
[0:14:19.00]-[0:14:23.00]  Pues cuatro jóvenes, llevaban cuatro máquinas y cuatro camiones.
[0:14:23.00]-[0:14:27.00]  Y en quince días cosechaban lo que hacíamos en todo el invierno, todo el vuelo.
[0:14:27.00]-[0:14:30.00]  Eso es lo que ha traído la ESO, claro.
[0:14:30.00]-[0:14:32.00]  Claro, ahora dice que...
[0:14:32.00]-[0:14:36.00]  Es que esto, o sea, España ha ido demasiado a prisa, para mi modo de ver.
[0:14:36.00]-[0:14:41.00]  Porque aquí se harían todos los años cien pisos.
[0:14:41.00]-[0:14:44.00]  Un pueblo de dos mil habitantes que no llegaba.
[0:14:44.00]-[0:14:46.00]  ¿Tú crees que es para hacer cien pisos cada año?
[0:14:46.00]-[0:14:49.00]  Aquí pertenece a hacer veinte pisos, con todo lo que han venido.
[0:14:49.00]-[0:14:54.00]  Pero oye, y ahora creo que claro que habrá paro, claro.
[0:14:54.00]-[0:14:57.00]  Si usted... la cosa es así.
[0:14:57.00]-[0:15:00.00]  Todo lo que... y no había derecho.
[0:15:00.00]-[0:15:08.00]  Sabes que cualquier metro para aquí, el solar del pueblo, cualquier metro valía a cien mil pesetas el metro.
[0:15:08.00]-[0:15:11.00]  No penses que esto era jauja, ya.
[0:15:11.00]-[0:15:14.00]  Pero ahora se ha bajado algo, dicen.
[0:15:14.00]-[0:15:17.00]  Ahora es posible en todas partes.
[0:15:17.00]-[0:15:21.00]  Sí, hombre, es que ha habido lo que no podía ser.
[0:15:21.00]-[0:15:27.00]  Un piso venga a mil veinte millones, al año siguiente veinticinco, al otro veintisiete, al otro...
[0:15:27.00]-[0:15:32.00]  Oye, ha tenido que llegar al estanco porque todo va a ir demasiado, son tempestades.
[0:15:34.00]-[0:15:36.00]  Pero me cago en Dios.
[0:15:36.00]-[0:15:39.00]  Y luego, por ejemplo, aquí ustedes tenían colegio.
[0:15:39.00]-[0:15:41.00]  Sí, toda la vida.
[0:15:41.00]-[0:15:43.00]  Y iban al colegio. ¿Cómo era la educación?
[0:15:43.00]-[0:15:45.00]  Oye, buena.
[0:15:45.00]-[0:15:51.00]  El que tenía interés, ahora estudia menos que cuando iba yo.
[0:15:51.00]-[0:15:55.00]  Sí, sí, no me mires, no te rías.
[0:15:55.00]-[0:15:58.00]  Yo lo veo por mis nietos.
[0:15:58.00]-[0:16:04.00]  Me cago en la hosta que uno tiene ocho años y el otro veinte y no ha hecho más que estudiar.
[0:16:04.00]-[0:16:08.00]  Y yo, aquí vamos a los seis años a la escuela.
[0:16:08.00]-[0:16:14.00]  No creas que nos llevaban a pagar nada que andabría aquí a los seis años, íbamos a la escuela.
[0:16:14.00]-[0:16:17.00]  Y yo fui hasta los doce, hasta la guerra.
[0:16:17.00]-[0:16:19.00]  Después ya no fui nada.
[0:16:19.00]-[0:16:22.00]  Y se había ahorrado muchas cosas más que mis nietos.
[0:16:22.00]-[0:16:24.00]  Ahora muchas horas.
[0:16:24.00]-[0:16:28.00]  Mira, en febrero tengo cuatro nietos.
[0:16:28.00]-[0:16:38.00]  Y una chica que tiene dieciséis años, esta semana pasada, el lunes fueron al...
[0:16:38.00]-[0:16:39.00]  Al partido.
[0:16:39.00]-[0:16:44.00]  No, a estudiar, que a la universidad, ahí andaban al...
[0:16:44.00]-[0:16:46.00]  En fuera, en el colegio, sí.
[0:16:46.00]-[0:16:48.00]  ¿Sabes?
[0:16:48.00]-[0:16:53.00]  Pues bueno, los cogieron y se los llevaron a Bilbao.
[0:16:53.00]-[0:16:59.00]  Y han estado todas las semanas por Milo, pero no han estudiado.
[0:16:59.00]-[0:17:00.00]  Claro, oye.
[0:17:00.00]-[0:17:02.00]  Y en el sondeo, todo el rato.
[0:17:02.00]-[0:17:08.00]  Pero si a nosotros a los ocho años nos tenían que llevar al campo o al pastor, porque oye, que no había.
[0:17:08.00]-[0:17:10.00]  Y es que no se producía.
[0:17:10.00]-[0:17:14.00]  No creas que la gente que tenía fincas tampoco no tenía un reale.
[0:17:14.00]-[0:17:16.00]  Estaba todo el mundo igual.
[0:17:16.00]-[0:17:18.00]  Claro.
[0:17:18.00]-[0:17:21.00]  No había y no había, no se producía.
[0:17:21.00]-[0:17:23.00]  Claro.
[0:17:23.00]-[0:17:26.00]  ¿Y los colegios que hay aquí son públicos?
[0:17:26.00]-[0:17:28.00]  Ahora mismo, ¿hay alguno privado?
[0:17:28.00]-[0:17:32.00]  Oye, aquí a los once años van al instituto, a fuera, sabes.
[0:17:32.00]-[0:17:34.00]  Hay un colegio de primaria, ¿no?
[0:17:34.00]-[0:17:37.00]  Ah sí, solo los de primaria, uno no, claro, ahora lo menos hay ocho.
[0:17:37.00]-[0:17:39.00]  Ocho colegios hay aquí.
[0:17:39.00]-[0:17:41.00]  Sí, estoy seguro.
[0:17:41.00]-[0:17:46.00]  No, es que este año tienen que... es que han venido muchos.
[0:17:46.00]-[0:17:48.00]  Y son todos chicos pequeños los que vienen.
[0:17:48.00]-[0:17:51.00]  Ya te digo, aquí vienen por las tardes una ventena.
[0:17:51.00]-[0:17:54.00]  No conocemos a ninguno, ni a padres, ni a madre.
[0:17:54.00]-[0:17:57.00]  Ha venido mucha gente joven, chicos, sí.
[0:17:57.00]-[0:18:03.00]  Bueno, que ha debido pasar en Zaragoza, también hay falta muchas aulas para los lagales, todos estos tres años.
[0:18:03.00]-[0:18:11.00]  Estaban estos días con jaleo, que no había para todos, donde querían los padres, claro querían, cerca de casa.
[0:18:11.00]-[0:18:16.00]  Pero que estaban estos días con sorteos, no sé.
[0:18:16.00]-[0:18:21.00]  Han tenido que hacer muchas... es que ha sido un volumen, ¿comprende?
[0:18:21.00]-[0:18:28.00]  Sí, cada año desde los tres años habrán salido en San Mateo sesenta, lo menos.
[0:18:28.00]-[0:18:34.00]  Y antes salían cuatro, pues no puede...
[0:18:34.00]-[0:18:39.00]  A usted le hubiese gustado ir a la universidad.
[0:18:39.00]-[0:18:47.00]  Bien, no te digo... sí, no es por nada, pero yo fui de los listos en la escuela.
[0:18:47.00]-[0:18:54.00]  Y el cura cuando comulgué vino con mi padre a hablar para llevarme al seminario.
[0:18:54.00]-[0:19:01.00]  Pero entonces no había perras y no estudiaba más que el hijo de papá, oye.
[0:19:01.00]-[0:19:03.00]  Era la cosa así.
[0:19:03.00]-[0:19:06.00]  Pero claro, en el seminario...
[0:19:06.00]-[0:19:10.00]  Perdón, un momentito, otra vez, es que lo tengo mal, lo voy a poner bien.
[0:19:10.00]-[0:19:12.00]  Mirad...
[0:19:16.00]-[0:19:17.00]  Ahí no se va a caer ya.
[0:19:17.00]-[0:19:20.00]  Decía que mucha gente se metía en el seminario porque así podían estudiar, ¿no?
[0:19:20.00]-[0:19:24.00]  Sí, pero aquí no, en el pueblo no.
[0:19:24.00]-[0:19:26.00]  Y entonces menos.
[0:19:26.00]-[0:19:33.00]  Después hubo una temporada, que ahora es el jubilado uno, que era amigo mío, más joven,
[0:19:33.00]-[0:19:37.00]  pero que estuvo y rebotó de cura.
[0:19:37.00]-[0:19:40.00]  Había algunos que una vez que habían estudiado, ¿sabes?
[0:19:40.00]-[0:19:42.00]  La matingada, se salían...
[0:19:42.00]-[0:19:43.00]  Se salían...
[0:19:43.00]-[0:19:47.00]  Claro, pero oye, es natural, hay que hacer la vida.
[0:19:47.00]-[0:19:49.00]  Exacto, claro.
[0:19:49.00]-[0:19:51.00]  Pero después ya debieron cortar algo.
[0:19:51.00]-[0:19:53.00]  Sabes, ya no...
[0:19:53.00]-[0:19:58.00]  Decía, no, no, aquí si venís vendráis y si no, no.
[0:20:00.00]-[0:20:07.00]  Pero hubo algunos unos que sacaron carrera, mirá, y se la mataron dos, se fueron.
