[0:00:00.00]-[0:00:10.00]  ¿Cómo tendría que ser el novio o la novia aquí para que se hiciesen novios?
[0:02:36.00]-[0:02:50.00]  Incluso hace unos 800 años hubo mucha emigración del País Vasco a las zonas de Hidalgo, California, Los Angeles, pastores de aquí que hoy en día estaban acentados en Estados Unidos.
[0:02:50.00]-[0:02:55.00]  ¿Y qué cantidad de dinero se le daba al pastor o al molinero por ejemplo o al dueño del horno?
[0:02:55.00]-[0:03:12.00]  Muchos trabajos se realizaban por lo que se llamaba el fardel. El pastor después de terminar sus labores donde estaba de pastor llevaba un fardel que era una especie de comida que se les daba en los caseríos para llevar a su casa como mantenimiento.
[0:03:12.00]-[0:03:24.00]  Generalmente era el mantenimiento de comida y el cambio de ropa y luego aparte de los caseríos que les llevaban pedazo de carne o lo que sea, al final del mes su amigo en la casa se llamaba fardel eso.
[0:03:24.00]-[0:03:26.00]  O sea que era más o menos un trueque ¿no?
[0:03:26.00]-[0:03:31.00]  Sí, era un fardel se llamaba, se llevaban el hombro y...
[0:03:31.00]-[0:03:35.00]  ¿Dónde se celebraban las bodas? ¿En la casa de él o de ella?
[0:03:35.00]-[0:03:48.00]  Pues yo he estado claramente en dos bodas, celebradas en caserío y en los dos han sido en la casa de él. En Astiasu, Caserío y Yurdi y otro en Caserío y Turrios también en Astiasu.
[0:03:48.00]-[0:03:50.00]  O sea que era común celebrarse en casa de él.
[0:03:50.00]-[0:04:03.00]  Sí, la comida la preparaban allá y preparaban los abuelos o los padres o lo que sea y se invitaba, incluso se echaba, en aquellos tiempos se echa fuego, se sacó cohetes, dando las ceremonias.
[0:04:03.00]-[0:04:05.00]  ¿Dónde se hacía el queso?
[0:04:05.00]-[0:04:20.00]  En casi todos los caseríos, nosotros también hacíamos queso y hacíamos en un tipo cesano, teníamos cuatro o cinco ovejas incluso que está con queso de vaca y luego teníamos yogur, yo pedía...
[0:04:20.00]-[0:04:21.00]  Cojada.
[0:04:21.00]-[0:04:34.00]  Cojada, coajo, que en búsqueda se llama gachuri y con la que yo le hacíamos el queso y luego dejábamos colgando en la cocina durante unos cinco o seis meses hasta que se endureciera y luego se comía.
[0:04:34.00]-[0:04:37.00]  ¿Y cómo se hacía el queso?
[0:04:37.00]-[0:05:06.00]  El queso después de reñar la vaca o la oveja se le hacía hervir y cuando estaba ya casi en punto de munición se dejaba bajar un poco la temperatura, luego se introducía cuatro o cinco veces en el cuajo y se quedaba, salía una especie de masa que era lo que es el queso en sí y aquello se exprimía con una especie de cosas circulares de chapa para darle la forma recubierto con un cazo de sábana para que se pudiera hacer.
[0:05:06.00]-[0:05:14.00]  Y se le dejaba secar aquello con una prensa y se le echaba un poco de sal encima para que cogiera un puntillo de sal.
[0:05:14.00]-[0:05:21.00]  ¿La fiesta cuando se hacía aquí por ejemplo?
[0:05:21.00]-[0:05:24.00]  Sí, las fiestas patronales.
[0:05:24.00]-[0:05:07.90]  Las fiestas patronales, había una costumbre en el caso de cuando eran las fiestas patronales el invitar del caserío o de los
[0:05:07.90]-[0:05:13.90]  que se habían salido a vivir afuera de la casa, se le echaba un poco de sal encima y se le dejaba secar.
[0:05:13.90]-[0:05:16.90]  ¿Cuándo se hacía la fiesta?
[0:05:16.90]-[0:05:31.90]  En el caso de las fiestas patronales, había una costumbre en el caso de las fiestas patronales el invitar del caserío o de los que se habían salido a vivir afuera de la casa, se le echaba un poco de sal encima y se le dejaba secar.
[0:05:31.90]-[0:05:37.90]  ¿Cuándo se hacía la fiesta?
[0:05:37.90]-[0:05:46.90]  En el caso de las fiestas patronales, el invitar del caserío, se había salido a vivir afuera del caserío, porque en el caserío siempre se quedaba el mayorazgo, que es el hijo mayor del caserío.
[0:05:46.90]-[0:05:51.90]  Se quedaba o bien soltero o bien con una mujer que había traído al caserío.
[0:05:51.90]-[0:06:02.90]  La costumbre en las fiestas de los pueblos era el que vendía todos sus hermanos con las familias y se preparaba una comida especial.
[0:06:02.90]-[0:06:06.90]  Se comía al año jamón y era entonces.
[0:06:06.90]-[0:06:14.90]  ¿Y la cola cómo la harían?
[0:06:14.90]-[0:06:28.90]  La mayoría de los caseríos tenían un depósito de agua propio y traídas de agua y entonces existía un lavadero que se llamaba, que incluso se llevaba para previar al manado para que viviera el agua y a su vez se usaba también para lavar la ropa.
[0:06:28.90]-[0:06:47.90]  En su vez tenía una piedra inclinada donde se golpeaba la ropa y se ponía en remojo, anteriormente a eso, unos recipientes grandes que se llamaban lejilladoras y se ponía un par de horas en remojo allá y luego a base de golpe y tal, se extendía en el campo o vino sobre la hierba,
[0:06:47.90]-[0:06:53.90]  cuando le pagaba mucho el sol se le echaba agua encima para que no se quedara dura la ropa.
[0:06:53.90]-[0:06:59.90]  ¿Qué prohibían entonces?
[0:06:59.90]-[0:07:05.90]  ¿Qué tipo de obligaciones había en la familia? ¿Estaba establecido algún tipo de obligación?
[0:07:05.90]-[0:07:28.90]  Obligaciones a nivel religioso, pues prácticamente era una reza que desde pequeños los domingos había que organizarse entre los hermanos para ir a misa unas primeras horas, porque había que cuidar a la nora también los domingos y si iban a misa a las 7 de la mañana pues se quedaban un par de hermanos o un hermano en el caserío y luego cuando venían los otros hermanos se iban los otros a la misa.
[0:07:28.90]-[0:07:40.90]  Y luego era una costumbre muy familiar, el domingo, aunque entre semana igual por diferentes motivos de trabajo no se comía en casa, pues ese domingo se juntaban todos los domingos y se comía en casa.
[0:07:40.90]-[0:07:44.90]  O sea que solía haber mucho respeto, por ejemplo, que era el 1 de mayo.
[0:07:44.90]-[0:07:46.90]  Sí, sí, sí, siempre el padre muchísimo, muchísimo.
[0:07:46.90]-[0:07:48.90]  ¿Y entre hermanos también?
[0:07:48.90]-[0:07:59.90]  Sí, entre hermanos también había respeto, pero no es que fuera la dictaturía del padre, sino que había un respeto terrible por la forma de ser los padres y tal, hacia el padre.
[0:07:59.90]-[0:08:11.90]  Yo no voy a decir eso, pero hoy en día se hace mi viejo y tal, son palabras que en aquellos tiempos, bueno, no se podía decir eso porque podía salir un poco jodido.
[0:08:11.90]-[0:08:13.90]  ¿A nivel castigo y todo también era un caso?
[0:08:13.90]-[0:08:19.90]  Sí, no hacía falta en realidad ni dar castigo porque no le salía uno a decir eso en casa.
[0:08:19.90]-[0:08:21.90]  ¿Como está el decido?
[0:08:21.90]-[0:08:22.90]  Sí, sí, sí.
[0:08:22.90]-[0:08:25.90]  ¿Qué estaba bien o mal visto en aquel tiempo y cómo ha cambiado hasta ahora?
[0:08:25.90]-[0:08:27.90]  Mal visto…
[0:08:27.90]-[0:08:33.90]  ¿Socialmente, por los vecinos, por la gente que estaba mal visto que hiciera una persona y qué ha cambiado ahora?
[0:08:33.90]-[0:08:35.90]  Sí, pues…
[0:08:35.90]-[0:08:38.90]  Así ampliando un poco lo que has dicho que era lo de los padres, ¿no?
[0:08:38.90]-[0:08:54.90]  Sí, el comportamiento malo sobre la casa, la bebida mucho también, porque entonces se catalogaban familias de ciertos caseríos que daban la bebida o lo que sea y ya se les marginaba un poco, se consideraban marginados un poco para esto.
[0:08:54.90]-[0:09:04.90]  Y hoy en día, los fines de semana creo que todos los hijos de los caseríos van con el coche, con los turbos estos a 180 bien bebidos.
[0:09:04.90]-[0:09:22.90]  Eso sí se ha cambiado mucho y luego existía entre los caseríos que se llamaba hermandad, que eran cinco o seis caseríos que se juntaban y si por hecho por ver había en algún caserío una desgracia porque los familiares o los hijos estaban en alguna enfermedad o en alguna invalidez,
[0:09:22.90]-[0:09:28.90]  o sea, pues entre los demás caseros le ayudaban a mantener el ganado o algo así para poder salir para adelante de ese caserío.
[0:09:28.90]-[0:09:29.90]  O sea que había una…
[0:09:29.90]-[0:09:31.90]  Sí, hermandad se llamaba, sí.
[0:09:31.90]-[0:09:50.90]  Incluso pues no es como hoy en día que se va al matadero y se venden unas empresas cárnicas del ganado o lo que sea, entonces generalmente se vendían en mataderos comunales que eran del mismo pueblo o cercanos y si un ganado por el monte pastando o lo que sea se rompía una pata o lo que sea tenía un mal,
[0:09:50.90]-[0:10:10.90]  entonces se traía un carnicero al caserío, se montaba el ganado y se repartía en tantas partes como eran los de la hermandad y no perdían entre todos, albonaban al propietario de la vaca esa, albonaban el importe a costo, que lo que sea, no beneficiarse nada pero para que no perdería todo.
[0:10:10.90]-[0:10:20.90]  ¿En los pueblos quién mandaba más, el cura o el alcalde? Y mira a ver si recuerdas alguna historia de algún cura.
[0:10:20.90]-[0:10:42.90]  Pues el cura, el cura mandaría más al alcalde y alguna historia así pues había, esto ya no es un pueblo de Mudeozo y de Tolosa, pero un pueblo, un barrio Osinchu en Vergara, es un barrio muy industrial hoy en día y allá había un cura que era famosísimo, tenía la costumbre de ir al bendecir los campos que hoy en día no se va,
[0:10:42.90]-[0:10:59.90]  entonces había incluso estiátrigales, poco pero aquí ha existido, pocos estiátrigales pero ha existido, ahora hoy en día no vale encima este pan trigal y no hay ningún casero que haga trigo, pero solía ir cada día a un caserío a bendecir el trigo, pero les avisaban el día anterior porque le preparaban buena comida.
[0:10:59.90]-[0:11:13.90]  Y iba con un monadillo y después de bendecir, no solamente vinía a comer aquí a bendecir, sino también llevar algo y la gente le regalaba un pollo, un par de pollos y se los repartían cuerdas entre monadillos y yo, que de más cura de la vida.
[0:11:13.90]-[0:11:16.90]  Eso es cierto, es cierto, es cierto.
[0:11:16.90]-[0:11:24.90]  ¿Qué tenían de pequeños? ¿Brujas, hadas, el coco? ¿Recuerda algún caso de pequeño que le dijeran?
[0:11:24.90]-[0:11:36.90]  El coco, el coco, más que brujas, o sea, en esa zona de aquí, brujas ha sido más la zona de Zugarramurdi, Navarra, ahí porque son las cuevas de Zugarramurdi, han sido siempre mi historia las brujas,
[0:11:36.90]-[0:11:53.90]  pero aquí yo recuerdo, yo me vivía aquí en el año 48, sobre el año 52 hubo unas heladas terribles y había pocos pinares, no es como hoy en día, había muchos, o sea pocos pinares, pero los pinares se pusieron rojos, helaron totalmente.
[0:11:53.90]-[0:12:05.90]  Entonces en los montes pescaron oscuros, rojos y nosotros íbamos al monte y siempre nos decían que en el pinar al estar oscuro que estaba el coco allá adentro, eso recuerdo de pequeño, de 5 o 6 años.
[0:12:05.90]-[0:12:16.90]  ¿Qué les hacía sufrir? ¿Qué les daba dolor o alegría? ¿Las sensaciones fuertes?
[0:12:16.90]-[0:12:21.90]  Alguna sensación fuerte que hay ahora. O si recuerda alguna historia que ya hay.
[0:12:21.90]-[0:12:24.90]  En estos momentos no recuerdo ninguna. ¿Así de su vida particular?
[0:12:24.90]-[0:12:29.90]  Sí, sensación… Una de la familia, de algún antepasado.
[0:12:29.90]-[0:12:32.90]  Lo que nos daba sensación fuerte era en junio cuando nos daban las notas en la escuela.
[0:12:32.90]-[0:12:38.90]  Y esa sensación que nos dijeran que teníamos que ir y sentimos las seminadas otra vez.
[0:12:38.90]-[0:12:41.90]  Eso nos ha pasado a todos.
[0:12:41.90]-[0:12:50.90]  Ahora vamos a llegar con preguntas del cerdo y todo esto de la matanza. ¿Para qué suscetaban al cerdo?
[0:12:50.90]-[0:12:59.90]  Para que no huyera. Yo tengo una anécdota del castillo de mis tíos en el Alto Andazárate.
[0:12:59.90]-[0:13:05.90]  Entonces había un cerdo muy rebelde y había que matarlo y en aquellos tiempos, no sé,
[0:13:05.90]-[0:13:10.90]  era una guerra carlistal o lo que sea, había una pistola. Y dicho por la misma persona,
[0:13:10.90]-[0:13:17.90]  se llevaba, ya murió hace unos 30 años que murió, y no le podía meter el gancho al cerdo
[0:13:17.90]-[0:13:21.90]  y lo que le hicieron es con la pistola le pegó un tiro en la cabeza pero le resbaló la bala
[0:13:21.90]-[0:13:25.90]  y salió el cerdo. Se le iba vuelta a los 50 metros, volvió otra vez y le invistió
[0:13:25.90]-[0:13:33.90]  y le rompió la bala, una pata al que intentó matar al cerdo. Y se sujetaba para que no se escapara, lógico.
[0:13:33.90]-[0:13:35.90]  ¿Y qué hacían con él? ¿Le colgaban?
[0:13:35.90]-[0:13:41.90]  Sí, inicialmente se le mete un gancho debajo de la gargantilla y se le lleva al lado de la mesa.
[0:13:41.90]-[0:13:47.90]  Se le sube encima de la mesa con un gancho metido de la garganta, un hierro, y se le hace desangrar.
[0:13:47.90]-[0:13:54.90]  Una vez desangrar se le limpia y luego se le quema exteriormente con paja, se le quema la piel
[0:13:54.90]-[0:13:59.90]  para que no se le quemen los pelos y luego era deshollado, o sea, limpiado.
[0:13:59.90]-[0:14:07.90]  Luego con la sangrecilla que se recogía en un recipiente se hacían morcillas y se llevaba un pedazo
[0:14:07.90]-[0:14:13.90]  de tocineta, caserío por caserío, más o menos cada caserío tenía una costumbre de llevar unos 6 o 7.
[0:14:13.90]-[0:14:18.90]  Y el hijo más pequeño de caserío llevaba esa ración de tocineta y la morcilla hecha,
[0:14:18.90]-[0:14:23.90]  que cada cual se intentaba hacer lo mejor posible para quedarse en buen lugar, y le daban siempre eso,
[0:14:23.90]-[0:14:29.90]  25 o 30 pesetas de propina como gracias por haberle llevado la morcilla o la tof.
[0:14:29.90]-[0:14:31.90]  ¿Y para qué revolvían la sangre?
[0:14:31.90]-[0:14:37.90]  Para que no se tiene que licuar, o sea, no se tiene que hacer pasta en aquel momento,
[0:14:37.90]-[0:14:44.90]  tiene que hacerse, o hay que meterle una hierba que se llamaba, no me acuerdo ahora en estos momentos,
[0:14:44.90]-[0:14:49.90]  había una hierba que solíamos, orégano también, pero solíamos recoger nosotros en el monte
[0:14:49.90]-[0:14:55.90]  y luego había que meter aquello, además quedaba la sangre bastante espesa
[0:14:55.90]-[0:14:59.90]  y había que ir totalmente moviendo la sangre para hacer la morcilla.
[0:14:59.90]-[0:15:01.90]  ¿La morcilla cómo se hacía?
[0:15:01.90]-[0:15:06.90]  Se le metía cebolla partida, mucha cebolla, luego se le metía orégano,
[0:15:06.90]-[0:15:10.90]  luego metíamos otro hierba que en estos momentos no yo me acuerdo cómo era,
[0:15:10.90]-[0:15:18.90]  algo de muy poco puerro y se, batido todo bien, bien batido,
[0:15:18.90]-[0:15:24.90]  se metía luego en unas tintas que se vendían, había tiendas en Tolosa que se dedicaban a vender,
[0:15:24.90]-[0:15:31.90]  eran naturales, intestino de cerdo natural era, hoy en día hay muchas empresas,
[0:15:31.90]-[0:15:35.90]  en miscofan y empresas de estas que se dedican a hacer eso a nivel mundial,
[0:15:35.90]-[0:15:40.90]  pero en aquel tiempo se aprovechaba el intestino natural y luego se rellenaba,
[0:15:40.90]-[0:15:46.90]  y luego se hacían los lazos y se dejaba colgando, bueno, se le cocía y se dejaba colgando para que se secara.
[0:15:46.90]-[0:15:48.90]  ¿Y con los chorizos también se colgaban?
[0:15:48.90]-[0:15:52.90]  Sí, chorizos nosotros, yo tengo menos recuerdos de chorizos sinceramente,
[0:15:52.90]-[0:15:58.90]  ya hacíamos en el casino pero hacíamos menos chorizo, hacíamos más mostilla y los jamones se quedaban colgando
[0:15:58.90]-[0:16:04.90]  y cuando venía algún invitado pues había que darle, los hijos del casino los quedaban sin nada, era para los invitados.
[0:16:04.90]-[0:16:08.90]  ¿Y en las orcas se metían normalmente o tampoco? ¿Se conservaban en grasa o...?
[0:16:08.90]-[0:16:14.90]  No, yo más eso he recordado a gente foránea que ha venido de la parte de Extremadura y tal,
[0:16:14.90]-[0:16:19.90]  que ha venido aquí, son gente que están en la finca, migrantes que han venido aquí,
[0:16:19.90]-[0:16:24.90]  y las familias, especialmente este que está aquí en el lado blando, uno de ellos es emigrante,
[0:16:24.90]-[0:16:32.90]  sus padres son de Salamanca y estos, creo que haberles visto a ellos en aceite, no meten ni sacan el chorizo,
[0:16:32.90]-[0:16:36.90]  pero aquí no ha sido, aquí ese tipo de conservación ha sido más el huevo,
[0:16:36.90]-[0:16:43.90]  yo he conocido en la casería el huevo en la época de invierno había poco huevo y las gallinas no ponían
[0:16:43.90]-[0:16:46.90]  porque estaban en el diciembre y no es como ahora que están cobijadas y cubiertas,
[0:16:46.90]-[0:16:52.90]  como en los gallineros o yotis que se llamaba en la izquierda, entonces la comen hierba y tal,
[0:16:52.90]-[0:16:56.90]  pero en invierno tienen poco alimento para comer e incluso al mojarse por el frío,
[0:16:56.90]-[0:17:07.90]  y al mojarse por el frío ponían poco y entonces se ponían los huevos en cal, en agua con cal,
[0:17:07.90]-[0:17:11.90]  en unos recipientes grandes y se iba en invierno y vamos sacando de allá, comiendo los huevos con cal,
[0:17:11.90]-[0:17:14.90]  huevos de cinco o seis meses de tiempo.
[0:17:14.90]-[0:17:17.90]  De volver a ser joven que haría?
[0:17:17.90]-[0:17:28.90]  Político, a vivir sin pegar golpes, de volver a ser joven, pero bueno, intentar estudiar un poco más.
[0:17:28.90]-[0:17:31.90]  De tocarle la lotería que le gustaría haber hecho.
[0:17:31.90]-[0:17:39.90]  La lotería, la vidorra ya, con 52 años ya lo único que le llamas es el otro día o la jubilación,
[0:17:39.90]-[0:17:47.90]  pero yo en estos momentos he echado el ojo a un caserío que está aquí deshabitado,
[0:17:47.90]-[0:17:53.90]  hay que pasar la ribera, está totalmente aislado, no hay forma de llegar con ninguna clase de vehículo,
[0:17:53.90]-[0:17:57.90]  solamente se puede llegar en barca, un caserío terrible.
[0:17:57.90]-[0:17:59.90]  Pero precioso tiene que ser.
[0:17:59.90]-[0:18:04.90]  Sí, está derruido pero es de un amigo mío y siempre digo, el día que me toquen la lotería,
[0:18:04.90]-[0:18:06.90]  ese caserío te lo voy a comprar yo.
[0:18:06.90]-[0:18:09.90]  ¿Qué te parece haber sido alcalde que hubiera hecho?
[0:18:09.90]-[0:18:23.90]  Pues, dentro de estas localidades pequeñas están bastante los alcaldes,
[0:18:23.90]-[0:18:30.90]  lo que pasa es que el alcalde tiene poca fuerza a nivel de un estado, un alcalde tiene muy poca fuerza,
[0:18:30.90]-[0:18:37.90]  es lo mismo que un presbítero o un cura, a nivel del papado no tiene ninguna fuerza,
[0:18:37.90]-[0:18:40.90]  hay una escala que tienes que llegar hasta arriba,
[0:18:40.90]-[0:18:47.90]  igual que en el ejército del cabo, el cabo primero, para que no llegue al general que es el último responsable de arriba, hay 16%,
[0:18:47.90]-[0:18:53.90]  entonces el alcalde no tiene mucho en su mano, prácticamente es uno que lo que le mandan de arriba lo va haciendo.
[0:18:53.90]-[0:19:01.90]  Bueno, pues ahora ya vamos a hacer las preguntas del tema tuyo, que son los animales pero de agua.
[0:19:01.90]-[0:19:02.90]  Ah, sí, sí.
[0:19:02.90]-[0:19:08.90]  Pues, yo como no sé mucho de este tema, ¿quieres nos cuentas más o menos?
[0:19:08.90]-[0:19:10.90]  Es por coger lo que tu digas.
[0:19:10.90]-[0:19:13.90]  Es que no estaba abriendo por esto, lo tengo aquí.
[0:19:13.90]-[0:19:15.90]  No, perdona.
[0:19:15.90]-[0:19:25.90]  ¿Cómo ha cambiado el comercio del pescado y los pescadores y todo eso, el mundo de los pescadores cómo ha cambiado?
[0:19:25.90]-[0:19:35.90]  Pues hoy en día los barcos de pesca tienen nuevas técnicas, sonar el radar,
[0:19:35.90]-[0:19:45.90]  eran barcos con casco de madera, hoy en día son barcos con casco de hierro y entonces van a la zona séptima o octava, a gran sol,
[0:19:45.90]-[0:19:54.90]  más o menos están sobre la altura de Irlanda y anteriormente pues los barcos después de estar faenando allá durante cinco o seis días,
[0:19:54.90]-[0:19:59.90]  traían a puerto, o bien a Pasajos, Sondarro, Bermeo, Lequeitio, todos estos puertos de aquí, traían el pescado.
[0:19:59.90]-[0:20:07.90]  Hoy en día lo que hacen se llama fishing y lo que hacen es en lugar de descargar en España, se acercan a las costas de Irlanda,
[0:20:07.90]-[0:20:10.90]  descargan allá y vienen en camiones de Irlanda aquí el pescado.
[0:20:10.90]-[0:20:14.90]  Por su evento parece que tiene que ser mucho más lento y a veces al contrario, más rápido.
[0:20:14.90]-[0:20:22.90]  Porque el barco que pesca en la zona séptima o octava tarda dos días en llegar a Pasajos o Andarra con el pescado
[0:20:22.90]-[0:20:26.90]  y tarda pues dos días de nuevo de ir a los caladeros a pescar.
[0:20:26.90]-[0:20:32.90]  Entonces de esta forma el barco tarda un día en llegar a Puerto de Irlanda, es un día prácticamente lo que tarda un camión de Irlanda aquí,
[0:20:32.90]-[0:20:41.90]  allí y medio, son dos mil cuatrocientos kilómetros y entonces el pescado se subasta en las lonjas comerciales, tanto en Pasajos como en Andarra.
[0:20:41.90]-[0:20:47.90]  ¿Y cómo ha avanzado el comercio por ejemplo? ¿Qué tipo de pescado se vendía antes y qué tipo de pescado se vende ahora?
[0:20:47.90]-[0:20:55.90]  Sí, ha cambiado mucho, por ejemplo un asunto es la merluza, hoy en día la merluza es un pescado que se considera de tres kilos para arriba es merluza
[0:20:55.90]-[0:21:03.90]  y de dos y medio a tres kilos hasta hace poco ha sido mediana, hoy en día ya todas las nomenclaturas de Francia y de los países europeos
[0:21:03.90]-[0:21:08.90]  viene eso catalogado como si fuera merluza, ya de dos kilos y medio ya para arriba la consideran merluza, eso antes era mediana.
[0:21:08.90]-[0:21:15.90]  Entonces lo que hoy en día los barcos traen es muy poca merluza pero traen mucho pescadilla y carioquilla, pescado inmaduro que se le llama.
[0:21:15.90]-[0:21:24.90]  Pescado inmaduro en sí es el pescado de menos de diecinueve centímetros de longitud, eso se ve poco, que es el pitillo o la pijota que le llaman en las partes de Andalucía.
[0:21:24.90]-[0:21:32.90]  Eso está legalmente prohibido, los franceses no lo pescan, aquí las mallas por desgracia sí lo pescan eso.
[0:21:32.90]-[0:21:39.90]  Y la historia de las angulas ya que estamos en Aginara, cuéntanos cómo era, cómo era antes.
[0:21:39.90]-[0:21:54.90]  Pues la gente en los caseríos, que más que que menos como trabajaban en el caserío o bien trabajaban ocho horas en la industria, según las pleamares, según la luna, cada 15 días hay una nueva luna llena, son pleamares altas o pleamares bajas.
[0:21:54.90]-[0:22:04.90]  Una pleamares alta trae una baja mar muy fuerte, entonces los ríos para arriba, aquí estamos a una distancia de unos 108 kilómetros de la desembocadura del río Oria,
[0:22:04.90]-[0:22:14.90]  entonces Aginara ha sido famoso por eso, pues el río sube el agua del mar, las pleamares altas sube muy arriba el agua del mar y entonces se llena el río.
[0:22:14.90]-[0:22:22.90]  Entonces producen unas corrientes marinas, las angulas nacen en el mar de los Argazos, entonces por instinto maternal vienen a las costas de aquí, porque las madres han ido de aquí a de Sobara ya.
[0:22:22.90]-[0:22:38.90]  Una madre tarda, desde que ha soltado las larvas allá, tarda tres años en llegar la angula a los ríos por instinto maternal, vienen en bolas de 4000, 5000 kilos en la que van a la mar por corrientes marinas y luego entran en los ríos de donde han partido sus madres.
[0:22:38.90]-[0:22:52.90]  Y luego pues con faroles al anochecer, hay diferentes teorías, se dice que se asusta a la luz, otros dicen que no, que es al contrario, que viene a la luz, pero se le pone un candilo, un farol en la orilla del río y se pasa con la valla y se va cogiendo la angula.
[0:22:52.90]-[0:22:58.90]  Hay que pasar cientos y cientos de veces en dos o tres horas, que es lo que dura la marea que está la pleamar.
[0:22:58.90]-[0:23:15.90]  Y luego, una vez de cogida la angula, se meten los viveros, ya con agua dulce, entonces el agua salada que ha estado la angula que viene blanca, con la que van a meterla en el agua dulce, tiene una grasa que en esos tres años que ha venido desde los malos de los Argazos hasta aquí,
[0:23:15.90]-[0:23:39.90]  se tira una especie de grasa y va perdiendo la grasa y por eso le sale el lomo negro cuando está en agua dulce. Si la angula sigue en agua salada, se está en blanca. Y hoy en día, ya anteriormente no existían, no calentaban el agua, hoy en día los anguleros todos calentan el agua con calentadores especiales para que pierdan más rápidamente la grasa y se convierta más rápidamente en negro.
[0:23:39.90]-[0:24:04.90]  Porque claro, lo que sucede es que si hoy entran mil kilos de angula, no es esta la cantidad que hay aquí, pero las partenantes de Orián, Londéón en Francia, si entran esas cantidades, entonces si hoy yo compro angula a 900 francos y mañana en lugar de salir 1000 kilos, mañana salen 7000 kilos y hay otros que compran 7000 kilos, o sea, va a comprar más, lógico, para haber más kilos, compra más barato.
[0:24:04.90]-[0:24:26.90]  Entonces claro, yo si he pagado 1000 francos, o 1000 francos por un día los precios, que son 25 mil y pico perlas que se pagan por allá personalmente, si yo he pagado 1000 francos hoy y no los saco enseguida, el día siguiente puede comprar más barato, me pueden buscar los clientes míos y decir, oye, yo tengo angula 3000 o 4000 billetas más barata que tú, y yo te vendo yo, y entonces ya pierdo yo un cliente.
[0:24:26.90]-[0:24:48.90]  Entonces por eso se trata en dos días de volver a ponerse negra la angula para perderla. Y anteriormente el sistema de cocción hasta hace unos 15 años se cocía la angula y se llamaba angula mojada, perdón, se llamaba angula seca, entonces de un kilo de angula viva salían 750, 780 gramos una vez de cocido la angula.
[0:24:48.90]-[0:25:00.90]  Hoy en día lo que hacen es de un kilo, después de cocer meten en aguas nitrogenadas muy frías y le hacen hinchar, entonces con un kilo de angula viva sacan un kilo de angula cocida ya.
[0:25:00.90]-[0:25:06.90]  Y entonces claro, esos 250 gramos de diferencia de una forma u otra, el que no tiene montado ese sistema se arruina.
[0:25:06.90]-[0:25:26.90]  Entonces aquí en Aginaga hay ocho anguleros y había ocho, hoy en día hay siete, uno de ellos no pudo poner ese sistema y tuvo que dejar porque perdían cada kilo de angula a 25.000 para los 250 gramos, que son, ahora son unas 100.000, 5.000 pesetas de diferencia, no podía competir en el mercado, claro.
