[0:00:00.00]-[0:00:01.00]  La vida aquí...
[0:01:38.00]-[0:01:41.00]  ¿Le cogieron cariño algún cerdo alguna vez?
[0:01:42.00]-[0:01:44.00]  De eso que luego de pena...
[0:01:44.00]-[0:01:51.00]  Bueno, pues ya sabes, los criábamos nosotros así que teníamos que tenerle cariño, pero no teníamos más remedio que matarnos a ver qué íbamos a comer.
[0:01:54.00]-[0:01:58.00]  Dándole el nombre incluso, poniéndole aunque sea un nombre al perro.
[0:01:59.00]-[0:02:06.00]  Bueno, pues había veces que los chicos lo llamaban una vez blanco, otra vez colorado, otra vez... en fin.
[0:02:08.00]-[0:02:11.00]  Había cerdos colorados y cerdos blancos.
[0:02:11.00]-[0:02:17.00]  Antes llamaban el cerdo colorado, bueno y ahora lo mismo, el jamón de ibérico.
[0:02:18.00]-[0:02:20.00]  El jamón ibérico, el negro y el colorado.
[0:02:21.00]-[0:02:23.00]  Y se aprovechaba todo eso.
[0:02:24.00]-[0:02:25.00]  Todos, sí, todos.
[0:02:25.00]-[0:02:31.00]  Todos, comíamos bien el tocino y todo, ahora no queremos más que adelgazar, no queremos tocino, no queremos nada de eso.
[0:02:31.00]-[0:02:34.00]  Nada de eso, el colorado.
[0:02:39.00]-[0:02:42.00]  ¿Y sobre los cultivos, qué se cultivaba aquí?
[0:02:43.00]-[0:02:54.00]  Aquí se cultiva por la cebada, se cultiva el centeno, se cultiva el trigo y luego la patata, la lechuga en los huertos por ahí, así como ahora también.
[0:02:55.00]-[0:03:00.00]  Algunos sembran en los huertos y hacen la lechuga y esas cosas, cebollas, patatas.
[0:03:00.00]-[0:03:04.00]  Yo tengo un huerto, yo tenía un huerto con la vida de mi marido, te voy a enseñar la foto.
[0:03:05.00]-[0:03:06.00]  ¿Queréis pasar?
[0:03:07.00]-[0:03:08.00]  Como quieras.
[0:03:24.00]-[0:03:27.00]  Yo, en vida de mi marido, sembrábamos un huerto.
[0:03:27.00]-[0:03:30.00]  Un huerto que llamamos aquí huerto.
[0:03:34.00]-[0:03:36.00]  Si lo sentáis, veis.
[0:03:37.00]-[0:03:41.00]  Mira, veis, trabajábamos muchísimo, si queríamos comer.
[0:03:44.00]-[0:03:45.00]  Mira, aquí está mi marido.
[0:03:45.00]-[0:03:56.00]  Estos son cebollas, esto es legumbre, estos son árboles que teníamos allí, de nueces.
[0:03:57.00]-[0:04:05.00]  Sabes, en el huerto todavía lo tenemos, pero ya está abandurado porque yo no puedo cavarlo y los hijos están fuera todos, así que ninguno.
[0:04:05.00]-[0:04:11.00]  ¿Y cuando cultivaban, cuando iban a las cosechas los niños dónde se quedaban?
[0:04:11.00]-[0:04:21.00]  Pues hija, los teníamos que llevar, llevábamos allí a la merienda, yo no me podía ir, pero el abuelo iba y aquí le daba de merendar, después íbamos en la tarde,
[0:04:21.00]-[0:04:32.00]  porque yo como no me podía quitar de aquí, el comercio que tenía, pues íbamos en las tardes, llevábamos allí la merienda o le daba la merienda antes, y así nos arreglábamos.
[0:04:32.00]-[0:04:37.00]  Hija, mira, ¿ves? Esta soy yo y este es mi marido.
[0:04:37.00]-[0:04:45.00]  Estos árboles tenía yo a las orillas de las paredes y luego por aquí sembraban las lechugas, los pimientos, los tomates y todo eso.
[0:04:45.00]-[0:04:52.00]  Mira, ¿ves? Estas son cebollas.
[0:04:53.00]-[0:04:54.00]  ¿Ves?
[0:04:55.00]-[0:04:57.00]  ¿A que veas cómo era la vida, hija?
[0:04:58.00]-[0:04:59.00]  Mira, ¿ves?
[0:05:00.00]-[0:05:06.00]  Mira, estamos entre el huerto cavando y aquí una nuera cometió un diálogo.
[0:05:06.00]-[0:05:09.00]  Me tiró un diálogo a las fotos y se las hizo.
[0:05:09.00]-[0:05:11.00]  Era mucho trabajo.
[0:05:11.00]-[0:05:13.00]  ¿Tenían viñedos o viñas?
[0:05:13.00]-[0:05:14.00]  No, no, no.
[0:05:15.00]-[0:05:17.00]  ¿Y por el pueblo había gente con viñas?
[0:05:17.00]-[0:05:20.00]  No, viñas no, aquí no se hacía ni uno de esos.
[0:05:22.00]-[0:05:25.00]  Aquí, una cosa es cultiva, en estos huertos como que te enseño yo ahora,
[0:05:25.00]-[0:05:32.00]  pues en estos huertos teníamos las cebollas, las patatas, la lechuga, todo.
[0:05:32.00]-[0:05:38.00]  Lo de verano, los fejones verdes, o la judía verde, como tú quieras llamarla,
[0:05:38.00]-[0:05:42.00]  y esas cosas eran lo que sembrábamos aquí en los huertos y siembran hoy todavía.
[0:05:43.00]-[0:05:45.00]  Algunos señores, pues se los siembran.
[0:05:46.00]-[0:05:49.00]  Claro, es lo que te digo.
[0:05:54.00]-[0:05:56.00]  Pues ya ves, como te enseñé a buscarla.
[0:05:56.00]-[0:06:00.00]  Yo todo el día trabajando y por la noche, para mis hijos,
[0:06:00.00]-[0:06:05.00]  mi marido como andaba trabajando para ir, pues yo tenía que estar hasta las 4 de la mañana
[0:06:05.00]-[0:06:08.00]  de la camisa vieja de mi marido, la hacía nueva para los muchachos.
[0:06:08.00]-[0:06:10.00]  ¿Qué te pasa a ti?
[0:06:10.00]-[0:06:12.00]  No, porque llevo trabajado, maja.
[0:06:13.00]-[0:06:14.00]  Así que fíjate.
[0:06:14.00]-[0:06:15.00]  Y luego en...
[0:06:15.00]-[0:06:20.00]  Así que, desde que... claro, ya ves, hasta que nos pagaron eso,
[0:06:20.00]-[0:06:26.00]  tuvimos que estar en el comercio, yo esto, donde tengo la despensa y tengo el cuarto de baño,
[0:06:26.00]-[0:06:27.00]  pues eso era el comercio.
[0:06:27.00]-[0:06:30.00]  Y aquí no tenía esto, aquí jugaban la partida.
[0:06:31.00]-[0:06:36.00]  Tenía siete meses, siete mesas pequeñas que tengo ahí blancas muy bonitas,
[0:06:36.00]-[0:06:39.00]  pues aquí jugaban la partida y en eso nos dedicábamos, hija.
[0:06:40.00]-[0:06:43.00]  Sí queríamos comer, pero una esclavitud grandísima.
[0:06:44.00]-[0:06:46.00]  Y ¿había médico en el...
[0:06:47.00]-[0:06:51.00]  En el pueblo sí, había médico, maja, y había sacerdote y había de todo.
[0:06:52.00]-[0:06:56.00]  El alcalde, el médico, el cura, el secretario, aquí estaba todo, este pueblo.
[0:06:56.00]-[0:07:01.00]  Y después, cuando empezó la vida así, pues ya se fastidiaban, pero se le fueron todos.
[0:07:02.00]-[0:07:03.00]  ¿Y cómo se avisaba al médico?
[0:07:03.00]-[0:07:06.00]  Pues ahora se avisa porque hay un centro vitiudino.
[0:07:07.00]-[0:07:08.00]  Y viene...
[0:07:08.00]-[0:07:13.00]  Pues tres días, viene lunes, miércoles y viernes aquí.
[0:07:14.00]-[0:07:16.00]  Y luego si nos ponemos enfermos, pues viene a visitarnos,
[0:07:16.00]-[0:07:19.00]  pero si no, tenemos que llamar al centro vitiudino.
[0:07:20.00]-[0:07:22.00]  Así nos tenemos que arreglar, el señor cura viene de Salamanca,
[0:07:22.00]-[0:07:25.00]  a decirnos misa y así nos tenemos que arreglar, hija.
[0:07:25.00]-[0:07:27.00]  Y antes había de todo, de todo en el pueblo.
[0:07:28.00]-[0:07:31.00]  ¿Entonces que iban a casa del médico para llamarle,
[0:07:31.00]-[0:07:35.00]  o el médico cuando estaba enfermo, cuando era pequeña, venía a su casa ya directamente a dar?
[0:07:35.00]-[0:07:38.00]  No, cuando estábamos enfermos lo llamábamos el primer día
[0:07:38.00]-[0:07:41.00]  y después si nos veía mal en la cama y eso, pues venía a visitarnos.
[0:07:42.00]-[0:07:45.00]  No, y ahora también, el médico que tenemos es un maja.
[0:07:46.00]-[0:07:48.00]  O sea que si ahora hay atención buena por parte de los niños.
[0:07:48.00]-[0:07:49.00]  Sí, sí, sí.
[0:07:50.00]-[0:07:54.00]  ¿A alguna vez el médico atendía más a la gente con más dinero,
[0:07:54.00]-[0:07:56.00]  o atendía a todo el mundo por igual?
[0:07:56.00]-[0:08:01.00]  Bueno, pues yo no sé, vamos, entonces ya sabes, aquí había poco dinero.
[0:08:01.00]-[0:08:05.00]  Había cuatro que destacaban, pero los demás, todos, pues éramos pocos o menos.
[0:08:08.00]-[0:08:11.00]  Yo he trabajado muchísimo en la vida para criar diez hijos,
[0:08:11.00]-[0:08:13.00]  diez hijos que crían aquellos tiempos.
[0:08:14.00]-[0:08:15.00]  Diez hijos.
[0:08:15.00]-[0:08:17.00]  Una cosecha y tirándola.
[0:08:18.00]-[0:08:23.00]  Mi marido cobró por autónomo, bueno, y yo por el bar, claro,
[0:08:23.00]-[0:08:25.00]  y yo fui por el comercio.
[0:08:25.00]-[0:08:28.00]  Tenía bar, tenía comercio, tenía el pan, tenía el butano,
[0:08:28.00]-[0:08:30.00]  tenía todo lo que del pueblo.
[0:08:30.00]-[0:08:31.00]  Todo.
[0:08:32.00]-[0:08:33.00]  ¿Y el colegio?
[0:08:33.00]-[0:08:37.00]  El colegio de los niños, aquí hay escuelas, hay dos escuelas muy hermosas.
[0:08:37.00]-[0:08:40.00]  Lo que tiene es que las tienen muy abandonadas ahora,
[0:08:40.00]-[0:08:42.00]  porque en una ya no dan clase,
[0:08:42.00]-[0:08:45.00]  porque nada más hay diez niños o quince niños, por ahí andará.
[0:08:45.00]-[0:08:47.00]  Diez niños habrá, ahora.
[0:08:48.00]-[0:08:49.00]  ¿Y antes?
[0:08:49.00]-[0:08:55.00]  Hoy había muchísimos, había a lo mejor treinta o cuarenta en este pueblo de niños.
[0:08:55.00]-[0:08:57.00]  Pero ahora ya no.
[0:08:57.00]-[0:08:59.00]  Ahora ya mucho...
[0:09:01.00]-[0:09:04.00]  que toda la gente joven se va del pueblo.
[0:09:05.00]-[0:09:08.00]  A Bitiudino, a Salamanca, bueno, en fin,
[0:09:08.00]-[0:09:11.00]  quedamos los de la tercera edad.
[0:09:12.00]-[0:09:16.00]  Las casas que ves buenas todas vienen en el verano o por Navidad,
[0:09:16.00]-[0:09:18.00]  pero lo demás nada.
[0:09:18.00]-[0:09:19.00]  No soy unida.
[0:09:19.00]-[0:09:21.00]  ¿Y qué se aprendía antes en el colegio?
[0:09:21.00]-[0:09:24.00]  Con mujeres se enseñaban de todo, tapis, era bueno.
[0:09:25.00]-[0:09:27.00]  Tenía buenos maestros.
[0:09:27.00]-[0:09:30.00]  Tenía ahí la casa de la maestra, ahí arriba,
[0:09:30.00]-[0:09:33.00]  que se llamaba doña... ahora está en Madrid, está ahí muy viejita,
[0:09:33.00]-[0:09:36.00]  y esa señora estuvo toda la vida dando prachas.
[0:09:36.00]-[0:09:37.00]  ¿El colegio aquel día?
[0:09:37.00]-[0:09:38.00]  Sí, sí, nos enseñabas.
[0:09:38.00]-[0:09:41.00]  Bueno, yo no fui a él, mis hijos.
[0:09:41.00]-[0:09:43.00]  No, sí, mis hijos.
[0:09:43.00]-[0:09:47.00]  Y algunas veces tenía que quitar el mayor para que fuera con su padre,
[0:09:47.00]-[0:09:51.00]  porque, a ver, tenía que quitarlo y después le pagaba,
[0:09:51.00]-[0:09:56.00]  yo sí, le pagaba arriba, había un señor que daba clases en las noches,
[0:09:56.00]-[0:10:01.00]  y me llevaba clases en las noches, y así me tuve que arreglar.
[0:10:01.00]-[0:10:02.00]  Claro.
[0:10:02.00]-[0:10:07.00]  ¿Y en el colegio estaban las niñas por el lado y los niños por el otro?
[0:10:07.00]-[0:10:09.00]  Sí, sí, no, no, estaban a pacto.
[0:10:09.00]-[0:10:10.00]  ¿A separar?
[0:10:10.00]-[0:10:11.00]  Sí, sí.
[0:10:11.00]-[0:10:13.00]  Y ahora, sin embargo, como no son más que diez, pues están juntos.
[0:10:13.00]-[0:10:15.00]  Nosotros no somos más que diez.
[0:10:15.00]-[0:10:17.00]  Ya, eso me diría.
[0:10:17.00]-[0:10:21.00]  ¿Tenían animales de compañía en la casa cuando era joven?
[0:10:21.00]-[0:10:25.00]  Sí, yo sí, teníamos los cerdos, como te digo, y luego teníamos ganado,
[0:10:25.00]-[0:10:29.00]  porque yo tenía un hijo que después se me fue a la mili a los 18 años
[0:10:29.00]-[0:10:33.00]  y ya lo tuve que vender todo ganado porque ya no podíamos atenderlo,
[0:10:33.00]-[0:10:37.00]  pero me lo atendía los pequeños, me lo atendían los muchachos
[0:10:37.00]-[0:10:40.00]  antes de marcharse a la mili, después ellos fueron a la mili
[0:10:40.00]-[0:10:45.00]  y ya se fueron colocando por ahí y ya pues queremos ronros.
[0:10:45.00]-[0:10:48.00]  ¿Y usted cogía cariño?
[0:10:48.00]-[0:10:51.00]  Toma, no, ya lo creo, teníamos unas vaquitas, mira.
[0:10:51.00]-[0:10:58.00]  Mira, teníamos esa churra que era preciosa, era bonita, bonita.
[0:10:58.00]-[0:11:02.00]  La llamaba mi marido, de esos que están en el campo, mi marido y mi hijo,
[0:11:02.00]-[0:11:06.00]  en el campo, con ella, y la llamaba y enseguida venía.
[0:11:06.00]-[0:11:13.00]  La llamábamos nena, nena, la llamábamos y enseguida me daba nena, ven, ven, corre,
[0:11:13.00]-[0:11:16.00]  y venía donde nosotros fuéramos, dentro de nosotros.
[0:11:16.00]-[0:11:18.00]  La que era bastante bonita.
[0:11:18.00]-[0:11:24.00]  Sí, otra la llamábamos estrella, otra la llamábamos, bueno, en fin, de mucha manera.
[0:11:24.00]-[0:11:28.00]  Se llamaba ganado y atendía, porque mira, esa, ya mira,
[0:11:28.00]-[0:11:32.00]  se conoce que eso está esperando a que le de su, el amo algo.
[0:11:32.00]-[0:11:36.00]  Y los niños también, claro, que querían mucho cariño.
[0:11:36.00]-[0:11:40.00]  Sí, los niños sí, los niños, sí.
[0:11:40.00]-[0:11:43.00]  ¿Y si ese cariño se cogía, por ejemplo, a un cerdo?
[0:11:43.00]-[0:11:45.00]  ¿Cogía el cariño al cerdo?
[0:11:45.00]-[0:11:47.00]  Pues igual, es que daba pena.
[0:11:47.00]-[0:11:49.00]  Claro, luego en la matanza...
[0:11:49.00]-[0:11:53.00]  Daba pena, daba pena, pero teníamos que hacerlo, a ver qué íbamos a hacer.
[0:11:53.00]-[0:11:57.00]  ¿Se acuerda de algún cerdo, no sé, alguno que cogiera mucho cariño?
[0:11:57.00]-[0:12:03.00]  No me acuerdo, de uno que teníamos blanco y negro que lo llamaba muñeco.
[0:12:03.00]-[0:12:08.00]  Lo llamaban, los muchachos lo llamaban muñeco, mis hijos.
[0:12:08.00]-[0:12:13.00]  Cuando iban a echarle, se ponían muñeco, muñeco, y lo arrascaban, se echaba y lo arrascaban.
[0:12:13.00]-[0:12:16.00]  Tuvimos muchos años, porque nos daba pena matarlo.
[0:12:16.00]-[0:12:21.00]  Criémos hasta diez cerdos, hasta diez cerdos para matarnos.
[0:12:21.00]-[0:12:26.00]  Luego ya cuando se empezaron los chicos, pues ya llevaban uno ellos también.
[0:12:26.00]-[0:12:32.00]  Teníamos algunas veces hasta diez, y ya quedé sola, así que la vida pues ya está, que se acabó.
[0:12:32.00]-[0:12:34.00]  Ya no hay nada.
[0:12:34.00]-[0:12:41.00]  Y mira, de cualquier manera te voy a decir una cosa, aquello era una vida, pues de mucho trabajo y eso,
[0:12:41.00]-[0:12:43.00]  pero era más bonita que ahora.
[0:12:43.00]-[0:12:48.00]  En cosa de eso. Ahora, claro, hoy no se trabaja,
[0:12:48.00]-[0:12:53.00]  porque los labradores están acostumbrados a que ahora le da al gobierno lo que es eso,
[0:12:53.00]-[0:12:56.00]  y no levantan ni un portillo de una piedra.
[0:12:56.00]-[0:13:00.00]  ¿Sabes? Y entonces la vida era más bonita.
[0:13:00.00]-[0:13:05.00]  Había baile en el pueblo, había comedias en el pueblo, que mis hijas entraron,
[0:13:05.00]-[0:13:08.00]  en las comedias había de todo en el pueblo, pero ahora nada.
[0:13:08.00]-[0:13:15.00]  Ahora sabe lo que hay, que cada uno está en su casa y no nos ayudamos a nadie a nadie.
[0:13:15.00]-[0:13:18.00]  ¿Entiendes? Eso es lo que hay ahora.
[0:13:18.00]-[0:13:19.00]  Se ha perdido...
[0:13:19.00]-[0:13:24.00]  Se ha perdido muchas amistades y muchas cosas. Yo gracias a Dios me llevo bien contra el pueblo.
[0:13:24.00]-[0:13:26.00]  Pero vamos, que lo comprendo.
[0:13:26.00]-[0:13:27.00]  Sí, yo.
[0:13:27.00]-[0:13:33.00]  Sí. Y antes te ponías enferma y venía cualquiera vecina y cualquiera de sitios.
[0:13:33.00]-[0:13:37.00]  Yo misma me puse enferma y como tenía el comercio y eso, tenía los niños pequeños,
[0:13:37.00]-[0:13:41.00]  ya veía que venía y decía, dame la ropa que te la voy a lavar, porque entonces lavábamos en los regatos,
[0:13:41.00]-[0:13:43.00]  no teníamos lavadoras.
[0:13:43.00]-[0:13:45.00]  Claro que no vino lava.
[0:13:45.00]-[0:13:51.00]  Fijate, yo tenía que ir con el baño a la cabeza o un carretillo, la tajuela,
[0:13:51.00]-[0:13:55.00]  que se llamaba la tajuela donde nos arrodillábamos en el regato.
[0:13:55.00]-[0:13:57.00]  Tú eso no lo has conocido.
[0:13:57.00]-[0:13:59.00]  Bueno, pues eso, te lo digo yo.
[0:13:59.00]-[0:14:03.00]  Bueno, pues la tajuela llamábamos a una cosa que nos arrodillábamos en el regato.
[0:14:03.00]-[0:14:07.00]  En el carretillo llevábamos el baño con toda la ropa y la tajuela.
[0:14:07.00]-[0:14:10.00]  Claro que te digo yo, de arrodillar.
[0:14:10.00]-[0:14:16.00]  Y íbamos a lavar y yo tenía que llevar dos niños, uno arriba y otro andándole,
[0:14:16.00]-[0:14:19.00]  que se fuera agarrado el carretillo. ¿Qué te pasa a ti?
[0:14:19.00]-[0:14:20.00]  No.
[0:14:20.00]-[0:14:25.00]  Eso no lo creen los jóvenes, porque mis hijos, los últimos, tampoco lo creen.
[0:14:25.00]-[0:14:30.00]  Los primeros sí, porque me vieron, pero los últimos, no.
[0:14:30.00]-[0:14:32.00]  Así que mira qué vida.
[0:14:32.00]-[0:14:36.00]  Ahora, claro, la vida de hoy es mejor.
[0:14:36.00]-[0:14:37.00]  Lo que pasa es que es diferente.
[0:14:37.00]-[0:14:38.00]  Diferente.
[0:14:38.00]-[0:14:39.00]  Son diferentes.
[0:14:39.00]-[0:14:45.00]  En la época había mucho baile, había dos salones de baile, porque se llenaba, había mucha juventud.
[0:14:45.00]-[0:14:48.00]  Se dio en marcha, se dio en marcha, se dio en marcha, porque aquí no había trabajo.
[0:14:48.00]-[0:14:50.00]  Claro, la gente se moría de hambre.
[0:14:50.00]-[0:14:55.00]  Mucha gente de estos que vienen con buenos cochazos fueron a pedir.
[0:14:55.00]-[0:14:57.00]  Y ahora ya no, claro.
[0:14:57.00]-[0:15:01.00]  Con eso de que nos pagues todo, pues nadie va a pedir.
[0:15:01.00]-[0:15:03.00]  Y animaban los maestros a los niños, ¿eh?
[0:15:03.00]-[0:15:04.00]  Sí, sí, muy bien.
[0:15:04.00]-[0:15:07.00]  Sí, aquí hubo buenos maestros.
[0:15:07.00]-[0:15:11.00]  El maestro que se murió, el que dio escuela siempre aquí,
[0:15:11.00]-[0:15:16.00]  ese salieron mucha gente muy buena de aquí desde lejos.
[0:15:16.00]-[0:15:23.00]  Hay mucha gente en el ejército, tenientes coroneles, capitanes, de todo eso salió mucho, mucho, mucho.
[0:15:23.00]-[0:15:28.00]  El maestro enseñaba muy bien, muy bien, muy bien a los chicos.
[0:15:28.00]-[0:15:31.00]  ¿Y la matanza dónde la dejaban que se curase?
[0:15:31.00]-[0:15:35.00]  Curaba, pues yo aquí, pero arriba, en la habitación, en una habitación que tengo arriba.
[0:15:35.00]-[0:15:37.00]  Allí la curaba siempre.
[0:15:37.00]-[0:15:40.00]  ¿Tenía algún nombre especial?
[0:15:40.00]-[0:15:44.00]  Bueno, pues la tenía, la tenía, pues que no tenía techo raso ni nada,
[0:15:44.00]-[0:15:49.00]  más que la tenía de barro abajo y luego la tenía, pues, ahora ya la tengo de otra manera,
[0:15:49.00]-[0:15:56.00]  que ya la hice de otra manera, pero entonces tenía barro abajo y arriba tableta.
[0:15:56.00]-[0:16:00.00]  A curarla, sino no se curaba, no se cura.
[0:16:00.00]-[0:16:03.00]  Aquí no se cura la matanza.
[0:16:03.00]-[0:16:10.00]  ¿Quién se encargaba de preparar, para que se curase el jamón?
[0:16:10.00]-[0:16:12.00]  ¿Quién preparaba la matanza?
[0:16:12.00]-[0:16:16.00]  Yo, yo la tenía, yo la cuidaba, yo la cuidaba.
[0:16:16.00]-[0:16:20.00]  Yo la cuidaba y mataba a mi marido, con otros que le ayudaban,
[0:16:20.00]-[0:16:24.00]  y ya cuando fueron mis hijas un poco mayores, pues me ayudaban ellas,
[0:16:24.00]-[0:16:30.00]  pero ahora ya no, ahora ya no mato porque me tengo que subir encima de una camilla o encima de una mesa y tal,
[0:16:30.00]-[0:16:34.00]  y no quieren mis hijos que me caiga, dice, no, no, ahora ya déjenme en paz,
[0:16:34.00]-[0:16:38.00]  lo compré país, acabó que país lo compramos también.
[0:16:38.00]-[0:16:42.00]  ¿Y los partos hacían en casa?
[0:16:42.00]-[0:16:44.00]  Yo tuve diez y todos en casa.
[0:16:44.00]-[0:16:49.00]  No fui nunca a un hospital ni a ningún sitio, todos diez en casa.
[0:16:49.00]-[0:16:51.00]  ¿Con el médico ya había alguien…?
[0:16:51.00]-[0:16:55.00]  No, no, con una partera, con una señora que te atendía,
[0:16:55.00]-[0:16:57.00]  ya había una señora que te atendía.
[0:16:57.00]-[0:17:05.00]  Sí, sí, ella se murió, ya se murió la señora, pero aquí mis hijos me los cogí todos a aquella,
[0:17:05.00]-[0:17:09.00]  y nunca fui al hospital ni nada, ni casi usé al médico.
[0:17:09.00]-[0:17:16.00]  Ya, si no moríamos, no moríamos, y si vivíamos, vivíamos, ya sabes.
[0:17:16.00]-[0:17:18.00]  A ver.
[0:17:18.00]-[0:17:24.00]  Y cuando estaban en, o sea, cuando alguien se ponía enfermo en casa,
[0:17:24.00]-[0:17:30.00]  antes de llamar al médico intentaban ustedes ver qué le pasaba, le tocaba, ¿no?
[0:17:30.00]-[0:17:32.00]  ¿Algo directamente se llamaba al médico?
[0:17:32.00]-[0:17:35.00]  No, no, directamente se llamaba, sí, venía en salida, sí.
[0:17:35.00]-[0:17:36.00]  O sea, no había problema.
[0:17:36.00]-[0:17:39.00]  Sí, sí, sí, no había problema, no, no, no había problema.
[0:17:39.00]-[0:17:43.00]  Eso de los médicos, hemos tenido buenos médicos y no había problema.
[0:17:43.00]-[0:17:47.00]  O sea, igual que ahora que tenemos eso, esto es una maravilla.
[0:17:47.00]-[0:17:48.00]  Es un médico bueno, sí.
[0:17:48.00]-[0:17:51.00]  ¿Y si un hombre trabajando en el campo se ponía enfermo?
[0:17:51.00]-[0:17:55.00]  Oye, pues teníamos que irlo a buscar y, oye, lo llevaban al hospital,
[0:17:55.00]-[0:18:00.00]  o aquí ahora mismo también, si nos ponemos muy enfermos y el médico no puede hacerlo,
[0:18:00.00]-[0:18:05.00]  porque no puede mirarnos dentro, pues nos llevan al hospital y nada más, Salamanca.
[0:18:05.00]-[0:18:11.00]  O nos llevan a Vitibudino, si ves que no es una cosa muy grave,
[0:18:11.00]-[0:18:14.00]  pues nos llevan a Vitibudino y ahí, pues, eso nos dicen, pues,
[0:18:14.00]-[0:18:18.00]  o vas a Salamanca o te quedas aquí que te atendemos.
[0:18:18.00]-[0:18:20.00]  Este médico es bueno también, sí.
[0:18:20.00]-[0:18:25.00]  ¿Y la gente se asustaba mucho por las enfermedades que podían?
[0:18:25.00]-[0:18:31.00]  Bueno, pues aquí murieron muchos chicos de, ¿cómo se llama?
[0:18:31.00]-[0:18:37.00]  Una enfermedad que, como no comías bien, no sé cómo se llama esa enfermedad, no.
[0:18:37.00]-[0:18:41.00]  No me acuerdo cómo se llama.
[0:18:41.00]-[0:18:46.00]  Si no comías bien, pues había una enfermedad que hubo muchos chicos que se murieron aquí, muchos chicos.
[0:18:46.00]-[0:18:48.00]  Hoy no pasa eso.
[0:18:48.00]-[0:18:52.00]  ¿Y los padres de ustedes estaban preocupados?
[0:18:52.00]-[0:18:55.00]  Toma, no, a ver, toma, toma, toma.
[0:18:55.00]-[0:19:00.00]  Mira, yo tuve una que vino una hemorragia por la nariz,
[0:19:00.00]-[0:19:07.00]  y tuvo que estar el médico y aquí estuvo como un clavo toda la noche hasta que la arregló.
[0:19:07.00]-[0:19:11.00]  Sí, sí, no, al ser médico no teníamos problema.
[0:19:11.00]-[0:19:15.00]  El único problema es que tienes que ir a Salamanca y si te mueres en el camino,
[0:19:15.00]-[0:19:20.00]  pasa algo, que te pones muy enfermo y eso es mala suerte.
[0:19:20.00]-[0:19:21.00]  Pero vamos que...
[0:19:21.00]-[0:19:25.00]  ¿Los partos, además de la comadrona, intervinían más mujeres de...
[0:19:25.00]-[0:19:26.00]  No, no, no.
[0:19:26.00]-[0:19:27.00]  ¿Sólo...?
[0:19:27.00]-[0:19:34.00]  No, teníamos los hijos y después los llevábamos a la iglesia a bautizar cuando eran pequeños.
[0:19:34.00]-[0:19:39.00]  Después ya hacían la comunión, hacían la comunión y bueno, todo así.
[0:19:39.00]-[0:19:42.00]  En este pueblo ha sido muy bien, eso parece muy bien.
[0:19:42.00]-[0:19:45.00]  ¿Y qué obligaciones tenía un niño antiguamente?
[0:19:45.00]-[0:19:49.00]  O sea, si a una cierta edad tenía que ayudar al padre...
[0:19:49.00]-[0:19:53.00]  Bueno, pues claro, los mayores había que ayudarle, porque yo la primera, como tuve tantos hijos,
[0:19:53.00]-[0:19:55.00]  pues tenía que ayudarle.
[0:19:55.00]-[0:19:57.00]  Uno tiene contra gados, contra gados que lleva ya...
