[0:00:00.00]-[0:00:02.00]  ¿Ya está grabando?
[0:05:15.00]-[0:05:20.00]  Y luego había, un, una persona, bastante grande,
[0:05:20.00]-[0:05:26.00]  tenía dos hazas, y era, ¿cómo se llamaba?
[0:05:26.00]-[0:05:29.00]  Joder.
[0:05:29.00]-[0:05:33.00]  En mi casa había una hasta hace poco, porque la han tirado, mi hermana la han tirado,
[0:05:33.00]-[0:05:37.00]  pero había una, si no, morcillera…
[0:05:37.00]-[0:05:38.00]  Ah, una morcillera.
[0:05:38.00]-[0:05:42.00]  …una ajilla…
[0:05:42.00]-[0:05:45.28]  Es que nosotros de eso como no sabemos no lo puedo decir, ¿no?
[0:05:45.28]-[0:05:46.32]  No, yo es que...
[0:05:46.32]-[0:05:48.32]  Sí, hombre, yo sí lo sé, lo que pasa.
[0:05:48.32]-[0:05:49.32]  Te lías.
[0:05:49.32]-[0:05:50.32]  Porque se lo ha olvidado.
[0:05:50.32]-[0:05:52.32]  No, no, que para mí no me lo he olvidado.
[0:05:52.32]-[0:05:56.08]  Viene como un embudo, sale embústico, embudo, ¿sabes?
[0:05:56.08]-[0:05:57.28]  Y lo voy a... se pone en...
[0:05:57.28]-[0:05:59.00]  Casi ahora me siento igual, no puedo comer.
[0:05:59.00]-[0:06:04.28]  Le echaba la masa, le echaba la masa y le daba una jericandela.
[0:06:04.28]-[0:06:07.12]  Una jericandela, de ahí como ya me lío, yo no...
[0:06:07.12]-[0:06:09.52]  Ya me lío, yo ahora me lío.
[0:06:09.52]-[0:06:10.52]  Bueno, no se preocupes.
[0:06:10.52]-[0:06:11.52]  No, pero...
[0:06:11.52]-[0:06:16.92]  Sí, había que hacer así en la tripa y cogerlo con dos puños que tenía y pujaba,
[0:06:16.92]-[0:06:22.20]  te ponía la tripa en lo que era el canuto de lo que es la punta
[0:06:22.20]-[0:06:27.72]  y sí, pero es que sí, apretaba y se llenaba, iba escurriendo, escurriendo y se llenaba la tripa.
[0:06:27.72]-[0:06:29.72]  O sea, ¿sería tan salvo eso?
[0:06:29.72]-[0:06:30.72]  No lo sé.
[0:06:30.72]-[0:06:35.92]  Sí, porque de la tripa te tenías que apuntar y cuando hacías a lo mejor 18, 20, 30 tripas,
[0:06:35.92]-[0:06:38.52]  por allá, pues te había alto de más la deda.
[0:06:38.52]-[0:06:40.92]  ¿Máquina no tenía?
[0:06:40.92]-[0:06:44.92]  Para la máquina, hay una máquina que si esa ya la tengo yo, la máquina choricera,
[0:06:44.92]-[0:06:49.92]  que tiene cuatro patas y lo que es eso, y se le pone uno en budo, te mete lo que es la tripa
[0:06:49.92]-[0:06:55.92]  y es decir, para manioblar y se llenaba la tripa del chorizo.
[0:06:55.92]-[0:06:58.92]  ¿Y los jamones aquí cómo los hacían?
[0:06:58.92]-[0:07:03.92]  Aquí los jamones se recortaban, porque es jamón, es normal, pues se recortaban
[0:07:03.92]-[0:07:07.92]  y luego se echaban 21 días, 21 días en sal.
[0:07:07.92]-[0:07:13.92]  Se parían boca abajo y se echaban, se parían boca abajo y luego le echaban una piedra
[0:07:13.92]-[0:07:17.92]  para que luego el agua, el agua que tuvieran, que la soltaran.
[0:07:17.92]-[0:07:23.92]  Y al momento de un día los sacaban y luego les truqueaban lo que es el centro,
[0:07:23.92]-[0:07:28.92]  quizás la gota de sangre que quedaba, empezaban a estrujear y luego ya los salaban
[0:07:28.92]-[0:07:31.92]  y ya los colgaban al techo para que se descaran.
[0:07:31.92]-[0:07:36.92]  Se descaran y algo ya, pues hasta truquear, pues los policiales cometen los truques.
[0:07:36.92]-[0:07:40.92]  ¿Y luego cuando mataban al marrano cómo lo pelaban?
[0:07:40.92]-[0:07:45.92]  Con unas cucharas, que hacían una media luna, una media luna, y lo cogían
[0:07:45.92]-[0:07:49.92]  y con la navaja de afeitar que veía antiguamente que había,
[0:07:49.92]-[0:07:52.92]  luego la afeitaban encima de pelado, luego la afeitaban.
[0:07:52.92]-[0:07:55.92]  Y desde que va, pues lo hizo como la mesa, como estaba la mesa.
[0:07:55.92]-[0:07:59.92]  Y se llevaba blanchito, luego le esturriaban con una manguera de agua,
[0:07:59.92]-[0:08:03.92]  y luego lo lavaban perfectamente, perfectamente.
[0:08:03.92]-[0:08:04.92]  ¿Y las pezuñas?
[0:08:04.92]-[0:08:09.92]  Las pezuñas, hay unos gansos, hay unos gansos, y los gansos, como es la uña,
[0:08:09.92]-[0:08:13.92]  la uña, como se llama la uña, bueno, pues lo metían el gancho en la uña y tiraban,
[0:08:13.92]-[0:08:20.92]  y cuando el agua caliente, pues se blandece, pues la uña lo metían y tiraban y los sacaban bien.
[0:08:20.92]-[0:08:23.92]  ¿Y se juntaba mucha gente el día de la matanza?
[0:08:23.92]-[0:08:26.92]  Según la familia, y según cómo te llevabas con la gente,
[0:08:26.92]-[0:08:30.92]  a veces hay siete u ocho, otras veces quince o veinte, por qué no.
[0:08:30.92]-[0:08:37.92]  Luego la alegría termina el cerdo de matarlo, coge un trozo de carne y lo hace a la plancha.
[0:08:37.92]-[0:08:43.92]  Antes no había plancha como hoy, tío, pero antes fue un asco, ¿eh?
[0:08:43.92]-[0:08:48.92]  Previamente en el fuego lo tirabas y te llenabas de cenizas,
[0:08:48.92]-[0:08:51.92]  pero los raspabas, pues las metías ahí y hasta que fuera.
[0:08:51.92]-[0:08:54.92]  ¿Y tenían que venir el veterinario también?
[0:08:54.92]-[0:08:57.92]  Sí, había que irse ya, pero aquí no hacían nada,
[0:08:57.92]-[0:09:02.92]  porque entonces se tiraba el tipo, pues se llevaba un trozo de la punta de la lengua,
[0:09:02.92]-[0:09:05.92]  y aquí, así de la guerrilla, se llevaba un trozo.
[0:09:05.92]-[0:09:07.92]  Pero luego eso no lo llevaban a analizarlo ni a nada,
[0:09:07.92]-[0:09:11.92]  nada más que luego se contaban cuatro amigos que comían cuatro tapas ahí por todo, y ya está.
[0:09:11.92]-[0:09:13.92]  Ya está arreglado.
[0:09:13.92]-[0:09:15.92]  Sí que ya está.
[0:09:15.92]-[0:09:16.92]  Porque ahora esto se ha cambiado.
[0:09:16.92]-[0:09:17.92]  Hoy sí, hoy ha cambiado.
[0:09:17.92]-[0:09:22.92]  Hoy sí se lo llevan a analizarlo, hoy sí, hoy en día sí, se lo llevan a analizarlo,
[0:09:22.92]-[0:09:27.92]  y está enfermo, está mal, pues las cosas lo piensan.
[0:09:27.92]-[0:09:31.92]  Pero antes era todo natural, ¿eh?, era todo natural.
[0:09:31.92]-[0:09:38.92]  Y tú creabas un cerdo en tu casa, y tú sabías lo que salía de ahí,
[0:09:38.92]-[0:09:40.92]  pero luego crearlo era cosa tuya.
[0:09:40.92]-[0:09:47.92]  Pues vuelvo, tú, pues hierbas, molasa, cebolla, molilla,
[0:09:47.92]-[0:09:51.92]  pues todo, todo amasado, ahí no hay peligro de ninguna clase.
[0:09:51.92]-[0:09:54.92]  ¿Y luego dónde los criaban, a los animales sueltos, por ejemplo?
[0:09:54.92]-[0:09:56.92]  No, no, aquí no, aquí al campo no salió nunca.
[0:09:56.92]-[0:10:02.92]  Aquí siempre cocinera, en la casa, y aquí siempre, nada más.
[0:10:02.92]-[0:10:06.92]  Y luego no santo que aquí hay que tener cuidado con ellos que son peligrosos,
[0:10:06.92]-[0:10:07.92]  que muerden mucho.
[0:10:07.92]-[0:10:08.92]  No.
[0:10:08.92]-[0:10:09.92]  ¿No?
[0:10:09.92]-[0:10:10.92]  No.
[0:10:10.92]-[0:10:17.92]  Hombre, cuando deja un morreo un macho, lo deja mucho tiempo para hacer barracud,
[0:10:17.92]-[0:10:21.92]  no te puedes fiar porque cuando ya tiene cuatro o cinco años,
[0:10:21.92]-[0:10:25.92]  sí puede ser, algunos que sean más travesos que otros, pero no,
[0:10:25.92]-[0:10:27.92]  no, normalmente no.
[0:10:27.92]-[0:10:32.92]  Yo en mi casa he criado tres o cuatro a veces y no había problema ningún.
[0:10:32.92]-[0:10:37.92]  Antes mi madre paisanes, yo, mi hermana, bueno,
[0:10:37.92]-[0:10:40.92]  a mí no había problema ningún.
[0:10:40.92]-[0:10:44.92]  Lo único que sí hay que tener en cuenta es que no pueden estar al dente
[0:10:44.92]-[0:10:49.92]  con una gata, un pollo, una cadena, por sí,
[0:10:49.92]-[0:10:54.92]  si cogen alguno y muerden algo de sangre, sí, son sangrientos,
[0:10:54.92]-[0:10:56.92]  son sangrientos.
[0:10:56.92]-[0:10:58.92]  Si no, no pasa nada.
[0:10:58.92]-[0:11:01.92]  Si no, no pasa nada.
[0:11:01.92]-[0:11:05.92]  Ahí se ha dado caso, un cerdo se ha escapado de la casa,
[0:11:05.92]-[0:11:08.92]  bueno, de la cocinera, y se ha metido en la casa
[0:11:08.92]-[0:11:11.92]  y había bebés pequeños y eran conmigo.
[0:11:11.92]-[0:11:16.92]  Sí, ha habido casos de eso en la televisión, ha salido.
[0:11:16.92]-[0:11:20.92]  Y en verdad, cuando te han acostumbrado a la carne,
[0:11:20.92]-[0:11:22.92]  no te puedes fiar, entonces no te puedes fiar.
[0:11:22.92]-[0:11:25.92]  Pero eso parece casi como de una novela.
[0:11:25.92]-[0:11:28.92]  Pero son casos que son...
[0:11:28.92]-[0:11:31.92]  Y lo ves que es imposible, y tú ahora ves pequeño y ve y
[0:11:31.92]-[0:11:34.92]  oye, esto es un animal inocente, que...
[0:11:34.92]-[0:11:39.92]  Si ellos catan sangre, son sangrinos, son muy malos,
[0:11:39.92]-[0:11:42.92]  son bordi malos, sí.
[0:11:42.92]-[0:11:44.92]  ¿Y qué más animales criabos?
[0:11:44.92]-[0:11:48.92]  Pues aquí, cordero, oveja, cabra,
[0:11:48.92]-[0:11:51.92]  por la boca aquí hemos criado a todos.
[0:11:51.92]-[0:11:54.92]  ¿Y cabras las tenían por el monte?
[0:11:54.92]-[0:11:57.92]  Sí, el campo, las cabras las llevábamos al monte,
[0:11:57.92]-[0:11:59.92]  otra vez al campo,
[0:11:59.92]-[0:12:04.92]  sí, yo he tenido y bueno, más de eso, he tenido cabra y oveja.
[0:12:04.92]-[0:12:08.92]  Y nos dijo antes que usted había hecho queso.
[0:12:08.92]-[0:12:12.92]  Sí, y bueno, yo no, mi madre paísana, yo ordeñaba las ovejas,
[0:12:12.92]-[0:12:15.92]  las cabras, yo lo ordeñaba, y yo le traía la leche a mi madre,
[0:12:15.92]-[0:12:18.92]  a mi casa, mi madre pues sí, hacía queso.
[0:12:18.92]-[0:12:21.92]  ¿Y nos puede explicar cómo se la hace?
[0:12:21.92]-[0:12:25.92]  Pues la leche, es la de un...
[0:12:25.92]-[0:12:29.92]  nosotros lejimos la orza, una orza de jala grande.
[0:12:29.92]-[0:12:31.92]  ¿Como para los lomos también?
[0:12:31.92]-[0:12:34.92]  Sí, pero en grande, pero más grande, ¿no?
[0:12:34.92]-[0:12:39.92]  La madera traía 50 o 100 litros de leche de cabra, o 100 litros,
[0:12:39.92]-[0:12:42.92]  claro, tiene que llevarle pie de grande.
[0:12:42.92]-[0:12:46.92]  Luego se pone en un fuego, la llama lenta, lenta,
[0:12:46.92]-[0:12:50.92]  y se va rodeando, rodeando, se caliente la leche esa.
[0:12:50.92]-[0:12:55.92]  Luego se le echa un cuajo, que es del estómago de un animal,
[0:12:55.92]-[0:12:57.92]  pequeño, pero que no coma.
[0:12:57.92]-[0:12:59.92]  Que no haya comido comida, nada,
[0:12:59.92]-[0:13:02.92]  nada más que lo que es la leche de la madre.
[0:13:02.92]-[0:13:07.92]  Y luego, la punta de la cuchara, la punta de una cuchara de esta del café,
[0:13:07.92]-[0:13:11.92]  nada, poca cosa, se le echa la leche y ya va cojando.
[0:13:11.92]-[0:13:15.92]  Ahora ya se va cojando, se va apretando, se va apretando,
[0:13:15.92]-[0:13:18.92]  se va apretando, hasta que va cogiendo la forma.
[0:13:18.92]-[0:13:22.92]  Luego hay una mesa, una mesa que tiene el círculo de lo que es el queso,
[0:13:22.92]-[0:13:27.92]  y una plaita, una plaita de esparto, que le pone el dedo,
[0:13:27.92]-[0:13:33.92]  que le pone lo que es la crema que hay, lo que es la leche y agua.
[0:13:33.92]-[0:13:37.92]  Entonces ya se va apretando, y ya me da la vuelta, apretando,
[0:13:37.92]-[0:13:39.92]  y ya me da la vuelta.
[0:13:39.92]-[0:13:42.92]  ¿Y luego cuando te hacen con los quesos los guardan?
[0:13:42.92]-[0:13:47.92]  Los quesos se ponen en un zarzo, en unas cañas,
[0:13:47.92]-[0:13:51.92]  unas cañas, yo he tenido eso hasta hace poco,
[0:13:51.92]-[0:13:56.92]  pero unas cañas, unas cañas de tesa, que se parten por el medio,
[0:13:56.92]-[0:14:00.92]  y luego lo vas cociendo con alambre, y vas haciendo un zarzo,
[0:14:00.92]-[0:14:03.92]  por ejemplo, con la anchura de la mesa, anchura de la mesa,
[0:14:03.92]-[0:14:06.92]  y la anchura de un metro, un metro y algo.
[0:14:06.92]-[0:14:09.92]  Ahí lo vas poniendo para que se sequen.
[0:14:09.92]-[0:14:13.92]  Y cuando ya están secos, luego los verdes, o lo echan aceite,
[0:14:13.92]-[0:14:16.92]  y lo echan aceite, y la bolsa está grande,
[0:14:16.92]-[0:14:20.92]  pues bueno, le echan un olito que es de aceite, un olito.
[0:14:20.92]-[0:14:25.92]  Siempre tapado, tapado el aceite, siempre que el queso esté tapado,
[0:14:25.92]-[0:14:29.92]  porque si no se florecen, se florecen y se ponen malos,
[0:14:29.92]-[0:14:31.92]  se ponen malos.
[0:14:31.92]-[0:14:33.92]  Y una vez que se pone agria la leche, eso es malo,
[0:14:33.92]-[0:14:35.92]  eso también es malo, es un crimen.
[0:14:35.92]-[0:14:39.92]  Pero siempre tapado, tapado de aceite, siempre tiene que ser al malo,
[0:14:39.92]-[0:14:42.92]  el aceite le queda un dedo, un dedo le queda para encima.
[0:14:42.92]-[0:14:46.92]  Luego después, por ejemplo, a cinco meses, a seis meses,
[0:14:46.92]-[0:14:49.92]  lo saca, va a empezar a sacarlo y a comer, y eso es...
[0:14:49.92]-[0:14:53.92]  De hecho, tengo uno que hace dos años, lo tengo empezado y eso está riquísimo.
[0:14:53.92]-[0:14:56.92]  Ya pica, porque ya pica, porque ya a los dos años y eso,
[0:14:56.92]-[0:15:00.92]  ya empieza a picar, pero eso es fabuloso, es mejor que jamón.
[0:15:00.92]-[0:15:02.92]  ¿Y eso con vino, estará ya?
[0:15:02.92]-[0:15:05.92]  Eso es la maravilla, eso es la maravilla.
[0:15:05.92]-[0:15:10.92]  Ya se lo trocea y ya se pica, se hace morrona ya,
[0:15:10.92]-[0:15:14.92]  pero ya lleva dos años y ya, pero es muy bueno.
[0:15:14.92]-[0:15:18.92]  Te tomas un trocito así y te comes media barra de pan,
[0:15:18.92]-[0:15:21.92]  y está alimentado todos los días.
[0:15:21.92]-[0:15:25.92]  Cuéntanos lo que nos has dicho antes, que le quitaron el trillo a usted.
[0:15:25.92]-[0:15:29.92]  No es que me lo quitaron, es que yo se lo vendí a un señor
[0:15:29.92]-[0:15:33.92]  que es veterinario, que es de ahí, de un pueblo de abajo de Iguadí,
[0:15:33.92]-[0:15:36.92]  un tal de Benalúa, Benalúa como...
[0:15:36.92]-[0:15:38.92]  Sí, no lo hemos visto.
[0:15:38.92]-[0:15:43.92]  Es de ese señor, es de ese veterinario donde yo llevaba la leche de las cabras,
[0:15:43.92]-[0:15:46.92]  yo tenía las cabras, lo llevo ahí y me dice,
[0:15:46.92]-[0:15:51.92]  tú sabes que me hace falta un trillo, porque ahí compré un sardín ahí,
[0:15:51.92]-[0:15:54.92]  una cara que era de Aixenueva, encima de una era,
[0:15:54.92]-[0:15:57.92]  y me hacía falta un trillo, yo tengo un capo y eso,
[0:15:57.92]-[0:16:00.92]  yo digo, yo tengo uno, no vea.
[0:16:00.92]-[0:16:03.92]  Y entonces era, estaba la cara más barata,
[0:16:03.92]-[0:16:06.92]  hacía ya 20 años más, de 20 años, pero bien.
[0:16:06.92]-[0:16:11.92]  Y yo, vente peluco, y yo me dio vergüenza y dije que no,
[0:16:11.92]-[0:16:14.92]  y vamos, se sorprendí.
[0:16:14.92]-[0:16:17.92]  Y me dice, 3.000 pesetas me tienes que dar para eso.
[0:16:17.92]-[0:16:19.92]  Y pues bueno, por sí.
[0:16:19.92]-[0:16:22.92]  Y mira, que esa mano al bordillo, y ve hasta el teate,
[0:16:22.92]-[0:16:25.92]  y mira que no tengo dinero aquí ahora mismo.
[0:16:25.92]-[0:16:28.92]  Y digo, bueno hombre, nosotros nos vemos ahí,
[0:16:28.92]-[0:16:32.92]  ahí en la... en la... en la...
[0:16:32.92]-[0:16:35.92]  venden los piangas y todo eso,
[0:16:35.92]-[0:16:38.92]  y la que sería, que yo llevaba la leche.
[0:16:38.92]-[0:16:40.92]  Y todos los meses nos vemos.
[0:16:40.92]-[0:16:43.92]  Y yo digo, bueno, pues si no te vemos, pues viene.
[0:16:43.92]-[0:16:47.92]  Y me dice, pero todavía, todavía la hora que hay,
[0:16:47.92]-[0:16:49.92]  y no me ha dicho nada.
[0:16:49.92]-[0:16:51.92]  Nada, pues bueno.
[0:16:51.92]-[0:16:55.92]  Por eso, yo dije, si yo tuviera vehículo para traérmelo,
[0:16:55.92]-[0:16:57.92]  y si iba, me lo traía.
[0:16:57.92]-[0:16:59.92]  Si la arreglaba, me lo traía.
[0:16:59.92]-[0:17:01.92]  Y como vaya, me lo traía.
[0:17:01.92]-[0:17:03.92]  A la buena o a la mala, como quiera.
[0:17:03.92]-[0:17:05.92]  Y no le dijo usted nada.
[0:17:05.92]-[0:17:08.92]  Si no lo he visto más, es que no he vuelto a verlo más.
[0:17:08.92]-[0:17:11.92]  Si lo hubiera visto, yo no te daba vergüenza,
[0:17:11.92]-[0:17:14.92]  yo le hubiera dicho algo, pero nada, a mí no me ha dicho nada.
[0:17:14.92]-[0:17:17.92]  Ni lo he visto, ni a dónde vive.
[0:17:17.92]-[0:17:20.92]  Porque para vivir es lo demás, porque yo pregunto, digo, mira,
[0:17:20.92]-[0:17:22.92]  el fumado de estar, se llama...
[0:17:22.92]-[0:17:24.92]  Digo, a ver, ¿a dónde vive este señor?
[0:17:24.92]-[0:17:27.92]  Y yo pregunte y va, pero...
[0:17:27.92]-[0:17:30.92]  ¿Y quedan muchos trillos por aquí?
[0:17:30.92]-[0:17:32.92]  No, hay un poco.
[0:17:32.92]-[0:17:34.92]  Hay un poco ya...
[0:17:34.92]-[0:17:38.92]  Hay gente que tiene, hay gente que tiene, pero yo no tengo ninguno.
[0:17:38.92]-[0:17:40.92]  Y a mí me gustaría tener una uva.
[0:17:40.92]-[0:17:42.92]  Me gustaría tener uno que yo lo hice y...
[0:17:42.92]-[0:17:45.92]  Mare, eso, pero a ver, lo hice y te quedó hecho.
[0:17:45.92]-[0:17:48.92]  Pero yo tenía, lo que había traído,
[0:17:48.92]-[0:17:51.92]  es un rulo y luego una silla, lo que es una silla.
[0:17:51.92]-[0:17:53.92]  Hay otros que son mejores que el que yo tenía,
[0:17:53.92]-[0:17:56.92]  que es un asiento que está cuadrado, cuatro patas,
[0:17:56.92]-[0:17:59.92]  y el asiento era de cuerda.
[0:17:59.92]-[0:18:01.92]  De cuerda, y era de ellos.
[0:18:01.92]-[0:18:04.92]  Y de esos sí, me gustaría tener, así me digo.
[0:18:04.92]-[0:18:06.92]  Me gustaría.
[0:18:06.92]-[0:18:09.92]  ¿Los de rulo, esos antes había de rulo también?
[0:18:09.92]-[0:18:10.92]  No, los de rulo.
[0:18:10.92]-[0:18:13.92]  Pero antes había uno de cuchilla, al aldeado,
[0:18:13.92]-[0:18:16.92]  que era más trascendente que podíamos sentar.
[0:18:16.92]-[0:18:20.92]  Tenía que ir de pie, con los pies unos más adelante que otros,
[0:18:20.92]-[0:18:22.92]  y estar con los mulos ahí.
[0:18:22.92]-[0:18:26.92]  Los mulos sí, pues vamos, trillamos, yo trillamos, de todas maneras, pero...
[0:18:26.92]-[0:18:29.92]  ¿Así ahí nos podías contar cómo era todo el proceso del...
[0:18:29.92]-[0:18:30.92]  ¿Del trillo?
[0:18:30.92]-[0:18:32.92]  Sí, pues eso sí.
[0:18:32.92]-[0:18:34.92]  ¿Eso como ya no se usa hoy?
[0:18:34.92]-[0:18:37.92]  No se usa, pero yo lo he hecho.
[0:18:37.92]-[0:18:42.92]  Y hay veces que me hacía falta el trillo para hacer cosas que yo me hacía falta,
[0:18:42.92]-[0:18:45.92]  pero no lo tengo, que me equivoqué, pero bueno,
[0:18:45.92]-[0:18:48.92]  me equivoqué y ya no tiene culpa nadie.
[0:18:48.92]-[0:18:53.92]  Sí, el trillo, porque trae la miel, o la cebada, o el trigo, o lo que sea,
[0:18:53.92]-[0:18:55.92]  que la tiende en la ira.
[0:18:55.92]-[0:18:59.92]  Los mulos primero, los meten los mulos primero para que lo hallan un poco.
[0:18:59.92]-[0:19:03.92]  Luego ya meten el trillo, y a trillar, dando igualtas, y lo trilla,
[0:19:03.92]-[0:19:05.92]  y eso lo mueve, la paja.
[0:19:05.92]-[0:19:08.92]  La paja, la puchillera, los mulos, lo mueven.
[0:19:08.92]-[0:19:14.92]  Ya que lleva un día y medio, pues ya se termina.
[0:19:14.92]-[0:19:18.92]  Pues ya los montones, los montones, como una pirámide de esas,
