[0:00:00.00]-[0:00:01.20]  ¿La matanza?
[0:03:37.20]-[0:03:42.20]  Ah, eso ya con la prensa, cuando tenemos la prensa también,
[0:03:42.20]-[0:03:48.20]  pero ahora lo hacemos con una máquina, una máquina que viene de las viñas en los sacos,
[0:03:48.20]-[0:03:52.20]  según lo traemos en tractor y se desocupan los sacos en aquella máquina
[0:03:52.20]-[0:03:56.20]  y aquella máquina lo va triturando y lo va llevando a la cuba,
[0:03:56.20]-[0:03:59.20]  ya lo va directamente a la cuba.
[0:03:59.20]-[0:04:10.20]  Y después tiene que cocer un mes o así, después se saca toda aquella maleza,
[0:04:10.20]-[0:04:14.20]  que se le echa el aguardiente para hacer el aguardiente
[0:04:14.20]-[0:04:20.20]  y después nada, beberlo con los chorizos del cerdo, cuando se mata al cerdo.
[0:04:20.20]-[0:04:23.20]  Eso lo sabe bien tu padre.
[0:04:23.20]-[0:04:26.20]  Y venía mucha gente a ayudar a la matanza.
[0:04:26.20]-[0:04:31.20]  Sí, sí, sí, muy bien, nos juntamos aquí en una cuadrilla y hacemos fiesta,
[0:04:31.20]-[0:04:34.20]  comemos aquí todos juntos y lo pasamos muy bien.
[0:04:34.20]-[0:04:36.20]  ¿Y sobre eso vivías a tu familia?
[0:04:36.20]-[0:04:40.20]  Yo ayudarles a la matanza, sí, sí, nos ayudábamos.
[0:04:40.20]-[0:04:42.20]  Ahora ya nos hacen las matanzas de antes.
[0:04:42.20]-[0:04:46.20]  Antes sí, porque te juntabas, ibas a ayudarle a los vecinos y eso,
[0:04:46.20]-[0:04:50.20]  pero ahora ya se hacen menos matanzas porque yo sí, yo maté a todos los amigos,
[0:04:50.20]-[0:04:54.20]  y a mí me vienen a ayudar, porque tú nunca estás cuando matamos, claro.
[0:04:54.20]-[0:04:58.20]  A mí me vienen a ayudar, pero yo no ayudo porque ahora la mayoría de la gente
[0:04:58.20]-[0:05:05.20]  pues ya compra carne y hace chorizos y entonces no necesita así mucha gente, ¿sabes?
[0:05:05.20]-[0:05:07.20]  ¿Y los cultivos, qué se cultiva aquí?
[0:05:07.20]-[0:05:12.20]  Pues aquí de todo, de todo, porque, ¿qué te cuento?
[0:05:12.20]-[0:05:22.20]  Las patatas, las alubias, garbanzos, bueno, de todo, espérate, los garbanzos,
[0:05:22.20]-[0:05:30.20]  pimientos, tomate, cebollas, pepinos, sandías también se crían,
[0:05:30.20]-[0:05:38.20]  yo nunca solo las tuve, de todo, calabacín, zanahorias, aquí de todo, ¿eh?
[0:05:38.20]-[0:05:42.20]  De toda clase de autores.
[0:05:42.20]-[0:05:45.20]  ¿Y cómo era la época de la cosecha antes?
[0:05:45.20]-[0:05:49.20]  Bueno, pues antes pues de la cosecha del vino.
[0:05:49.20]-[0:05:53.20]  Bueno, pues antes era, antiguamente, pues se traía el vino en unas cestas,
[0:05:53.20]-[0:05:58.20]  se llamaban cestas, que se ponían en el carro así de las vacas, ¿sabes?
[0:05:58.20]-[0:06:02.20]  Porque antes se carreaba con las vacas.
[0:06:02.20]-[0:06:05.20]  Y entonces había unas cestas muy grandes así,
[0:06:05.20]-[0:06:09.20]  se colocaban en el carro unas cestas larguísimas, tal vez,
[0:06:09.20]-[0:06:13.20]  mucho más largas que esta mesa, y entonces la gente vendimeaba
[0:06:13.20]-[0:06:15.20]  y echaba para aquella cesta.
[0:06:15.20]-[0:06:19.20]  Y después con unas palas o eso, desocupaban la uva de aquella cesta
[0:06:19.20]-[0:06:22.20]  con mucho trabajo para lagar, que le llamaban el lagar,
[0:06:22.20]-[0:06:24.20]  y allí pisábamos el vino.
[0:06:24.20]-[0:06:27.20]  Yo de niña, pues me recuerdo de chavala pisábamos el vino descalzos.
[0:06:27.20]-[0:06:31.20]  Y había también unas vigas, unas vigas así que la bajaban
[0:06:31.20]-[0:06:35.20]  y se aprensaba con unos maderos, con unas maderas,
[0:06:35.20]-[0:06:39.20]  y bajaban aquella viga y con aquel peso,
[0:06:39.20]-[0:06:42.20]  que le metían peso, pues el vino iba saliendo.
[0:06:42.20]-[0:06:46.20]  Pero después ya salían unas prensas y ahora ya salieron las máquinas esas
[0:06:46.20]-[0:06:50.20]  que ya lo llevan directamente a la Cuba, sin trabajo.
[0:06:50.20]-[0:06:55.20]  ¿Utilizaban de las campanas para avisar a los cosechadores?
[0:06:55.20]-[0:06:58.20]  No, no, eso de las campanas aquí no.
[0:06:58.20]-[0:07:02.20]  Porque las campanas usaban, por ejemplo,
[0:07:02.20]-[0:07:06.20]  antes yo me recuerdo cuando yo era una niña,
[0:07:06.20]-[0:07:11.20]  pues a las doce de mediodía tocaban, decían que era la oración.
[0:07:11.20]-[0:07:14.20]  Entonces todo el mundo, porque antes había mucha religión,
[0:07:14.20]-[0:07:17.20]  entonces todo el mundo pues rezaba.
[0:07:17.20]-[0:07:22.20]  Estaba por el campo y una oración, a lo mejor era con un padre nuestro, se rezaba.
[0:07:22.20]-[0:07:26.20]  ¿Sabes? Ahora ya no existe eso.
[0:07:26.20]-[0:07:32.20]  Y ¿qué nueva cosa echaban, mujeres o los hombres o porfiri?
[0:07:32.20]-[0:07:33.20]  Todos, todos igual.
[0:07:33.20]-[0:07:37.20]  Todo el mundo que trabajaba se iba a dar, con las vacas se iba a dar.
[0:07:37.20]-[0:07:39.20]  Yo también fui a dar.
[0:07:39.20]-[0:07:41.20]  Me acababan las viñas.
[0:07:41.20]-[0:07:43.20]  Bueno, trabajaban mucho antes.
[0:07:43.20]-[0:07:46.20]  Ahora ya no se trabaja, pero antes mucho.
[0:07:46.20]-[0:07:50.20]  Y lo de las campanas, pues a lo mejor hoy les tocaban a la oración,
[0:07:50.20]-[0:07:52.20]  bueno, tocaban…
[0:07:52.20]-[0:07:55.20]  Bueno, cuando a lo mejor moría alguien, pues también tocaban.
[0:07:55.20]-[0:07:59.20]  Bueno, las tocaban y las tocan, las campanas.
[0:07:59.20]-[0:08:01.20]  ¿Venía gente de fuera a coger?
[0:08:01.20]-[0:08:04.20]  Sí, a cegar, a cegar el pan.
[0:08:04.20]-[0:08:05.20]  Venían cegadores.
[0:08:05.20]-[0:08:08.20]  Yo me acuerdo de mi madre, de la bisabuela que veían,
[0:08:08.20]-[0:08:12.20]  pues que metía obreros para cegar el pan que se cegaba con una ola.
[0:08:12.20]-[0:08:16.20]  Se cegaba mucho los terrenos, que hay mucho terreno aquí, ¿sabes?
[0:08:16.20]-[0:08:18.20]  Entonces antes estaba todo el mundo,
[0:08:18.20]-[0:08:22.20]  trabajaba el terreno, ahora ya no, ahora está todo sin trabajar.
[0:08:22.20]-[0:08:25.20]  Entonces venían mucha gente, ¿sabes?
[0:08:25.20]-[0:08:28.20]  Llamábamos a ganar jornal, ¿cómo le decís allí?
[0:08:28.20]-[0:08:32.20]  A ganar perras, jornal, aquí le llamábamos el jornal.
[0:08:32.20]-[0:08:35.20]  Entonces venían muchos gallegos y mucha gente de fuera
[0:08:35.20]-[0:08:40.20]  y se metían a cegar y a recoger las castañas, allí en Castro.
[0:08:40.20]-[0:08:44.20]  Yo cuando me crié en Castro, pues recogían las castañas,
[0:08:44.20]-[0:08:48.20]  venían muchas, llamaban apañadoras, venían de por ahí de la montaña
[0:08:48.20]-[0:08:50.20]  a recoger las castañas.
[0:08:50.20]-[0:08:52.20]  ¿Y a los cochechadores pagaban?
[0:08:52.20]-[0:08:54.20]  Pues el dueño de...
[0:08:54.20]-[0:08:58.20]  Ah, los cochechadores, pues venían a comprarlas,
[0:08:58.20]-[0:09:01.20]  por ejemplo las castañas, me refiero a eso.
[0:09:01.20]-[0:09:06.20]  Venían unos señores a comprarlas y ellos las pagaban.
[0:09:06.20]-[0:09:07.20]  Vaya, el dueño.
[0:09:07.20]-[0:09:09.20]  Venían unos señores de fuera, traían un camión,
[0:09:09.20]-[0:09:13.20]  en aquellos tiempos, fíjate tú, esto hace mejor 60 años,
[0:09:13.20]-[0:09:16.20]  me acuerdo yo, de aquella no había coches ni nada,
[0:09:16.20]-[0:09:20.20]  y venían unos camiones y todos los niños, no lo cuento, que es muy bonito.
[0:09:20.20]-[0:09:23.20]  Y todos los niños cuando venía un camión, pues les decíamos a nosotros
[0:09:23.20]-[0:09:25.20]  ¡Uy, que hay un camión!
[0:09:25.20]-[0:09:28.20]  Y nos juntábamos todos los chavales ahí alrededor del camión
[0:09:28.20]-[0:09:30.20]  y estábamos con la boca abierta mirando el camión,
[0:09:30.20]-[0:09:32.20]  ¿qué te parece? ¿Qué tiempos?
[0:09:35.20]-[0:09:37.20]  Porque antes no había coche ninguno y venía aquel camión
[0:09:37.20]-[0:09:39.20]  a recoger las castañas y después todos los niños,
[0:09:39.20]-[0:09:43.20]  que yo, que ya era una niña, pues bajábamos todos al camión.
[0:09:43.20]-[0:09:46.20]  ¿Te parece bien esto para una asignatura?
[0:09:47.20]-[0:09:49.20]  Pues sí, sí, es verdad.
[0:09:49.20]-[0:09:51.20]  ¿Se pagaban más a los hombres que a las mujeres?
[0:09:51.20]-[0:09:55.20]  Bueno, de aquella los hombres eran más los que hacían el trabajo,
[0:09:55.20]-[0:09:58.20]  que te lo dice mejor nadie, trabajo.
[0:09:58.20]-[0:10:00.20]  Y entonces los hombres eran los que ganaban.
[0:10:00.20]-[0:10:02.20]  Las mujeres pues no es como ahora,
[0:10:02.20]-[0:10:05.20]  las mujeres ahora todo el mundo las mujeres ganan, pero de aquella no.
[0:10:05.20]-[0:10:09.20]  Las mujeres iban a recoger las castañas y les pagaban a las mujeres,
[0:10:09.20]-[0:10:13.20]  pero a los hombres siempre les pagaban algo más.
[0:10:15.20]-[0:10:18.20]  ¿Y en la vendiña había costumbre de desplegar las uvas en la cara
[0:10:18.20]-[0:10:20.20]  de las chicas que iban a entrar en la falda?
[0:10:21.20]-[0:10:23.20]  Bueno, ya sabes, siempre hubo bromas.
[0:10:23.20]-[0:10:26.20]  Siempre había bromas, a lo mejor estabas vendiñando
[0:10:26.20]-[0:10:29.20]  y tirabas así un racimo.
[0:10:30.20]-[0:10:34.20]  Bueno, la falda, bueno, antes había mucho respeto.
[0:10:35.20]-[0:10:37.20]  Aunque también a lo mejor habría algo,
[0:10:37.20]-[0:10:40.20]  pero se respetaba mucho, no es como ahora.
[0:10:42.20]-[0:10:46.20]  A lo mejor sí, de esas bromas de tirarte así las uvas a la cara, eso sí.
[0:10:46.20]-[0:10:50.20]  A lo mejor no te dabas cuenta, te metían piedras
[0:10:50.20]-[0:10:53.20]  para que te pesara el cesto, eso sí, esas bromas.
[0:10:54.20]-[0:10:56.20]  ¿Y la cosecha de la miel?
[0:10:56.20]-[0:10:59.20]  De la miel, bueno, por aquí se cosechaba poco.
[0:11:00.20]-[0:11:02.20]  ¿Y cómo hacían para que las abejas no picaran?
[0:11:03.20]-[0:11:06.20]  Para que no picaran las abejas, las abejas pues a veces
[0:11:06.20]-[0:11:08.20]  picaban, una gran gente picaba.
[0:11:09.20]-[0:11:14.20]  Porque yo había un señor ahí, bueno, un castro, que tenía colmenas,
[0:11:14.20]-[0:11:18.20]  un señor era el cura, el cura tenía toda aquella huerta llena de colmenas
[0:11:18.20]-[0:11:22.20]  y a lo mejor pasabas por allí y al pasar te picaban las abejas.
[0:11:22.20]-[0:11:25.20]  Te recogía la miel, le comías muchas flores
[0:11:26.20]-[0:11:29.20]  y les echaban, no sé qué les echaba él, comida,
[0:11:29.20]-[0:11:32.20]  no sé si le echaba azúcar o no sé qué les echaba a las abejas.
[0:11:32.20]-[0:11:36.20]  Sí, pero así de cosechar nada nosotros no.
[0:11:37.20]-[0:11:38.20]  Sí.
[0:11:38.20]-[0:11:41.20]  ¿Y recuerdas a alguien que le picaran las abejas?
[0:11:41.20]-[0:11:42.20]  ¿Cómo?
[0:11:42.20]-[0:11:45.20]  Que si recuerdas de alguien que le hayan picado las abejas.
[0:11:45.20]-[0:11:47.20]  Ah, ¿de a mí cuántas veces? A mí sí.
[0:11:47.20]-[0:11:49.20]  Le ponemos la cara así como un bolchillo.
[0:11:50.20]-[0:11:52.20]  ¿Y cómo llamas aquí a las abejas?
[0:11:52.20]-[0:11:53.20]  ¿Abejas?
[0:11:53.20]-[0:11:54.20]  Sí, llaman así ¿no?
[0:11:54.20]-[0:11:55.20]  Sí, sí.
[0:11:55.20]-[0:11:56.20]  ¿Y a la rijua?
[0:11:56.20]-[0:12:00.20]  Un tábano me parece, tábano.
[0:12:00.20]-[0:12:03.20]  Le pones ahí tábano, me parece que tábano.
[0:12:03.20]-[0:12:07.20]  Si te pica un tábano ya era malísimo, ya te ponías mal.
[0:12:07.20]-[0:12:09.20]  A mí un tábano nunca me picó.
[0:12:09.20]-[0:12:11.20]  Un tábano me parece que es eso, sí,
[0:12:11.20]-[0:12:14.20]  es uno que es malo, más que las abejas.
[0:12:14.20]-[0:12:15.20]  Sí.
[0:12:15.20]-[0:12:17.20]  ¿Y aquí antes había cobrezo?
[0:12:17.20]-[0:12:18.20]  Sí.
[0:12:18.20]-[0:12:19.20]  ¿Y de lo tú vivías también?
[0:12:19.20]-[0:12:20.20]  Sí.
[0:12:20.20]-[0:12:21.20]  Sí, pero luego...
[0:12:21.20]-[0:12:23.20]  ¿Y qué se aprendía antes en el cobrezo?
[0:12:23.20]-[0:12:26.20]  Pues nada, porque llevabas una cartilla, era una cartilla,
[0:12:26.20]-[0:12:28.20]  y leías a mí en aquella cartilla,
[0:12:28.20]-[0:12:31.20]  y así no es como ahora que lleváis muchos libros,
[0:12:31.20]-[0:12:34.20]  era una cartilla con las primeras letras y tal.
[0:12:34.20]-[0:12:37.20]  Y después mejor te ponían un dictado,
[0:12:37.20]-[0:12:40.20]  le ibas escribiendo, solo te dictaba la maestra,
[0:12:40.20]-[0:12:42.20]  y después la maestra te corregía.
[0:12:43.20]-[0:12:45.20]  Y yo cuando fui a la escuela era eso,
[0:12:45.20]-[0:12:47.20]  y cuando fui yo fui muy poco a la escuela,
[0:12:47.20]-[0:12:50.20]  porque yo cuando se me vio mi padre,
[0:12:50.20]-[0:12:52.20]  pues quedamos todos muy pequeños,
[0:12:52.20]-[0:12:56.20]  y yo cuidaba mucho a mi hermano, que se murió ya hace tiempo.
[0:12:56.20]-[0:12:59.20]  Entonces yo fui poco a la escuela,
[0:12:59.20]-[0:13:01.20]  porque tenía que cuidar a mi hermano,
[0:13:01.20]-[0:13:04.20]  y muchas veces tampoco había maestra,
[0:13:04.20]-[0:13:06.20]  a donde me pidió que me querían Castro.
[0:13:06.20]-[0:13:08.20]  Y no venían a maestras,
[0:13:08.20]-[0:13:10.20]  y antes había más abandono,
[0:13:10.20]-[0:13:12.20]  y no es como ahora, ahora ya hay muchos maestros,
[0:13:12.20]-[0:13:15.20]  y en fin, las escuelas ya están muy bien organizadas,
[0:13:15.20]-[0:13:17.20]  pero antes...
[0:13:17.20]-[0:13:20.20]  Pero yo sí me recuerdo de ir a la escuela,
[0:13:20.20]-[0:13:22.20]  y deben de poner un dictado,
[0:13:22.20]-[0:13:24.20]  nos mandaban de él,
[0:13:24.20]-[0:13:26.20]  y luego te tomaban la lección.
[0:13:26.20]-[0:13:28.20]  Y vosotros así no la hacéis ahora, ¿verdad?
[0:13:28.20]-[0:13:30.20]  Por ejemplo, yo...
[0:13:30.20]-[0:13:33.20]  mis compañeras y todas,
[0:13:33.20]-[0:13:36.20]  a lo mejor nos ponía la maestra,
[0:13:36.20]-[0:13:38.20]  por ejemplo, esta lección,
[0:13:38.20]-[0:13:40.20]  y la tenías que saber de memoria, ¿me comprendes?
[0:13:40.20]-[0:13:42.20]  Y después la maestra te iba preguntando,
[0:13:42.20]-[0:13:44.20]  iba preguntando así por las mesas,
[0:13:44.20]-[0:13:49.20]  y tú me tenías que decir la lección que estudiaste, de memoria.
[0:13:49.20]-[0:13:51.20]  Y si no la sabías, ¡pum, pum!
[0:13:51.20]-[0:13:53.20]  ¡Palo va y palo viene!
[0:13:53.20]-[0:13:56.20]  Y tenías reglas, y entonces aprendías a la fuerza,
[0:13:56.20]-[0:13:58.20]  porque no había miedo al palo.
[0:13:58.20]-[0:14:00.20]  Sí, es de lo que me recuerdo.
[0:14:00.20]-[0:14:02.20]  ¿Y qué enseñaban a las niñas y qué enseñaban a los niños?
[0:14:02.20]-[0:14:04.20]  Bueno, pues yo, como con los niños,
[0:14:04.20]-[0:14:06.20]  nunca fui a la escuela, pues se dicen,
[0:14:06.20]-[0:14:09.20]  igual, igual, exactamente igual.
[0:14:09.20]-[0:14:11.20]  Sí, bueno, aprendías el catecismo,
[0:14:11.20]-[0:14:13.20]  aprendías, bueno, ¿sabes?
[0:14:13.20]-[0:14:15.20]  las cuatro reglas,
[0:14:15.20]-[0:14:17.20]  era lo que... no es como ahora,
[0:14:17.20]-[0:14:19.20]  ahora esto no estudiáis.
[0:14:19.20]-[0:14:21.20]  Pero de aquella que ibas a la escuela,
[0:14:21.20]-[0:14:23.20]  a los 14 años ya salías de la escuela.
[0:14:23.20]-[0:14:27.20]  Y ¿qué te gustaría que enseñara a nadie que no enseñara?
[0:14:27.20]-[0:14:29.20]  Bueno, pues,
[0:14:29.20]-[0:14:31.20]  que a mí me gustaría, pues,
[0:14:31.20]-[0:14:33.20]  que la religión, porque la juventud,
[0:14:33.20]-[0:14:35.20]  no la estudie, ¿verdad?
[0:14:35.20]-[0:14:39.20]  Sí, depende de cada...
[0:14:39.20]-[0:14:41.20]  Porque, por ejemplo,
[0:14:41.20]-[0:14:43.20]  una vez vino, pues fue hace dos años,
[0:14:43.20]-[0:14:45.20]  a preguntarme a mí,
[0:14:45.20]-[0:14:47.20]  de el catecismo,
[0:14:47.20]-[0:14:49.20]  que no lo sabía, no sé qué era,
[0:14:49.20]-[0:14:51.20]  no sé si era el crey o lo que era,
[0:14:51.20]-[0:14:53.20]  y que no lo sabía, y yo se lo dije.
[0:14:53.20]-[0:14:55.20]  Entonces,
[0:14:55.20]-[0:14:57.20]  religión ahora me parece que tampoco.
[0:14:57.20]-[0:14:59.20]  Antes sí, antes se llamaban el catecismo,
[0:14:59.20]-[0:15:01.20]  para estudiar el catecismo,
[0:15:01.20]-[0:15:03.20]  y sabíamos, sabíamos la doctrina,
[0:15:03.20]-[0:15:05.20]  preguntaban la doctrina,
[0:15:05.20]-[0:15:07.20]  pues íbamos a la catequesis,
[0:15:07.20]-[0:15:09.20]  antes llamaban la doctrina,
[0:15:09.20]-[0:15:11.20]  íbamos a la doctrina,
[0:15:11.20]-[0:15:13.20]  y ahora es la catequesis.
[0:15:13.20]-[0:15:15.20]  Ahora sí, es la doctrina.
[0:15:15.20]-[0:15:17.20]  ¿Y el maestro tenia
[0:15:17.20]-[0:15:19.20]  todas las autoridades, claro?
[0:15:19.20]-[0:15:21.20]  Sí, se respetaba más,
[0:15:21.20]-[0:15:23.20]  porque cuando llegaba el maestro
[0:15:23.20]-[0:15:25.20]  a clase, estábamos todos aquí en la mesa,
[0:15:25.20]-[0:15:27.20]  y... no, llegaba el maestro,
[0:15:27.20]-[0:15:29.20]  llegaba cualquier persona de fuera,
[0:15:29.20]-[0:15:31.20]  y nos poníamos de pie, todos, todos.
[0:15:31.20]-[0:15:33.20]  Y, buenos días tenga usted,
[0:15:33.20]-[0:15:35.20]  buenas tardes tenga usted,
[0:15:35.20]-[0:15:37.20]  es que ahora no lo hacéis.
[0:15:37.20]-[0:15:39.20]  Bueno, pues antes había mucha educación,
[0:15:39.20]-[0:15:41.20]  más que ahora, ¿eh?
[0:15:41.20]-[0:15:43.20]  Antes había mucho respeto
[0:15:43.20]-[0:15:45.20]  a los maestros, a la gente mayor,
[0:15:45.20]-[0:15:47.20]  y a todo el mundo, porque ya te digo,
[0:15:47.20]-[0:15:49.20]  entraba alguien a la escuela,
[0:15:49.20]-[0:15:51.20]  cualquiera que entrara,
[0:15:51.20]-[0:15:53.20]  vaya gente que a lo mejor iba a hablar con la maestra,
[0:15:53.20]-[0:15:55.20]  o entraba la, ¿cómo se llama?
[0:15:55.20]-[0:15:57.20]  ¿Cómo es?
[0:15:57.20]-[0:15:59.20]  La espectora, antes llamaban a la espectora,
[0:15:59.20]-[0:16:01.20]  me parece.
[0:16:01.20]-[0:16:03.20]  Cuando entraba allí, a los niños,
[0:16:03.20]-[0:16:05.20]  y a todos nos poníamos de pie,
[0:16:05.20]-[0:16:07.20]  buenos días tenga usted,
[0:16:07.20]-[0:16:09.20]  y así, todos así, firmes.
[0:16:09.20]-[0:16:11.20]  Y, bueno, entonces,
[0:16:11.20]-[0:16:13.20]  cuando llegaba la directora,
[0:16:13.20]-[0:16:15.20]  que era la directora del colegio,
[0:16:15.20]-[0:16:17.20]  entonces ya nos mandaba sentarnos,
[0:16:17.20]-[0:16:19.20]  y seguíamos sentándonos,
[0:16:19.20]-[0:16:21.20]  pero ahora eso me parece que no se hace,
[0:16:21.20]-[0:16:23.20]  entonces había mucho respeto.
[0:16:23.20]-[0:16:25.20]  ¿Y que no dejaba hacer a los niños,
[0:16:25.20]-[0:16:27.20]  que si se permitan?
[0:16:27.20]-[0:16:29.20]  ¿Que dejaban antes de que llegara el maestro?
[0:16:29.20]-[0:16:31.20]  Bueno, lo sé,
[0:16:31.20]-[0:16:33.20]  porque en la escuela había tanto respeto,
[0:16:33.20]-[0:16:35.20]  allí no,
[0:16:35.20]-[0:16:37.20]  no se hacía nada,
[0:16:37.20]-[0:16:39.20]  no podías hablar, pues no te dejaban hablar.
[0:16:39.20]-[0:16:41.20]  Y, pues, cuando salías al recreo,
[0:16:41.20]-[0:16:43.20]  pues era cuando los chavales,
[0:16:43.20]-[0:16:45.20]  a lo mejor, hacían,
[0:16:45.20]-[0:16:47.20]  las chavalas, era cuando jugaban,
[0:16:47.20]-[0:16:49.20]  y eso con la escuela, no.
[0:16:49.20]-[0:16:51.20]  Entonces había mucho respeto,
[0:16:51.20]-[0:16:53.20]  porque te voy a contar otra métrica,
[0:16:53.20]-[0:16:55.20]  eso fue en Castro, y era verdad.
[0:16:55.20]-[0:16:57.20]  Entonces había chavales que no,
[0:16:57.20]-[0:16:59.20]  a lo mejor no aprendían la lección,
[0:16:59.20]-[0:17:01.20]  y eso me recuerda yo de verles,
[0:17:01.20]-[0:17:03.20]  aquel maestro, que precisamente era de Calamocos,
[0:17:03.20]-[0:17:05.20]  iba a dar clase a Castro,
[0:17:05.20]-[0:17:07.20]  y tenía los chavales, dos chavales,
[0:17:07.20]-[0:17:09.20]  con las manos así, así,
[0:17:09.20]-[0:17:11.20]  y con unos garbanzos debajo de las rodillas.
[0:17:13.20]-[0:17:15.20]  Eso sí que, eso es verdad, ¿eh?
[0:17:15.20]-[0:17:17.20]  De castigo, vaya castigo, ¿eh?
[0:17:19.20]-[0:17:21.20]  Entonces aprendían las lecciones,
[0:17:21.20]-[0:17:23.20]  aunque, aunque fueras un burro, tenías que aprenderlo.
[0:17:23.20]-[0:17:25.20]  Pero no metían esas cosas de...
[0:17:25.20]-[0:17:27.20]  Y palo va, y palo viene,
[0:17:27.20]-[0:17:29.20]  antes había mucha disciplina.
[0:17:29.20]-[0:17:31.20]  Yo entiendo que eso hicieron bien,
[0:17:31.20]-[0:17:33.20]  oye, es quitar eso, porque antes daban muchos palos a los niños,
[0:17:33.20]-[0:17:35.20]  con una regla, y así, una regla,
[0:17:35.20]-[0:17:37.20]  plas, plas,
[0:17:37.20]-[0:17:39.20]  ¿sabes lo que es una regla?
[0:17:39.20]-[0:17:41.20]  Un palo largo, y plas, plas,
[0:17:41.20]-[0:17:43.20]  y había niños que no querían ir a la escuela,
[0:17:43.20]-[0:17:45.20]  porque les pagaba el maestro, y claro,
[0:17:45.20]-[0:17:47.20]  nadie decía nada, porque como estaba
