[0:00:00.00]-[0:00:02.00]  ¿Se quiere granada o...?
[0:04:17.00]-[0:04:21.00]  Y viene y me dice, tenía yo a mi madre aquí todavía, me dice,
[0:04:21.00]-[0:04:23.00]  prima, ¿tú me podrías echar una mano?
[0:04:23.00]-[0:04:25.00]  Y le digo, ¿qué quieres? ¿Que te haga de comer o algo?
[0:04:25.00]-[0:04:29.00]  Y me dice, no, para que vayas vamos a hacer los chorizos,
[0:04:29.00]-[0:04:32.00]  porque tiene una muchacha que le va a hacer la limpieza y eso.
[0:04:32.00]-[0:04:36.00]  Pero he ido a llamarla y no está en casa y le digo yo así muy rápido,
[0:04:36.00]-[0:04:39.00]  tú, la muchacha, seguro que está en la peluquería,
[0:04:39.00]-[0:04:43.00]  porque era unos días cercanos a Semana Santa.
[0:04:43.00]-[0:04:47.00]  Bueno, pues yo ahora cuando termine de arreglar mi madre voy.
[0:04:47.00]-[0:04:50.00]  Y llego y me encuentro y ahí está la muchacha.
[0:04:50.00]-[0:04:53.00]  Y le digo, ¿qué te dije yo? Y dice, pues que parece que era divina, vamos.
[0:04:53.00]-[0:04:55.00]  Y dice que está en la peluquería y la peluquería está.
[0:04:55.00]-[0:04:58.00]  Y ya le terminamos de hacer los chorizos, 30 chorizos le hicimos.
[0:04:58.00]-[0:05:01.00]  Entre la muchacha y yo.
[0:05:01.00]-[0:05:02.00]  ¿De un cerdo solo?
[0:05:02.00]-[0:05:05.00]  No, era de carne que había comprado en la canjicería.
[0:05:05.00]-[0:05:09.00]  Y me dice que otro día hay que hacerle más.
[0:05:09.00]-[0:05:13.00]  Y yo tengo la máquina y está allí en su casa que la llevé yo para hacer los chorizos.
[0:05:13.00]-[0:05:17.00]  Porque a mano cuesta mucho trabajo, está difícil y se echa mucho tiempo
[0:05:17.00]-[0:05:20.00]  con unos embudos que había antiguamente, que no sé si lo conocen a.
[0:05:20.00]-[0:05:25.00]  Son iguales que los embudos de plástico, pero tienen un poquito cortados
[0:05:25.00]-[0:05:28.00]  para poder darle con el dedo para abajo la carne.
[0:05:28.00]-[0:05:31.00]  ¿Y eso es para preparar chorizos y estas cosas?
[0:05:31.00]-[0:05:33.00]  Sí.
[0:05:33.00]-[0:05:35.00]  ¿Y con la sangre qué hacían?
[0:05:35.00]-[0:05:42.00]  La sangre, espérate, la sangre cuando se quita le echamos un poquito de sal en el cubito.
[0:05:42.00]-[0:05:46.00]  La cogemos siempre en un cubo para que quede más alta, en el fondo.
[0:05:46.00]-[0:05:50.00]  Y se mata, se quita del cochino y se deja un rato.
[0:05:50.00]-[0:05:55.00]  Después se corta en trozos y está en una sartén con agua caliente y se cuece.
[0:05:55.00]-[0:05:59.00]  Y la dejamos que se cueza bien y si vemos que son los trozos muy grandes
[0:05:59.00]-[0:06:03.00]  porque siempre aumentan un poco, con la fumadera se corta.
[0:06:03.00]-[0:06:06.00]  Con una fumadera que tenemos solamente para eso.
[0:06:06.00]-[0:06:09.00]  Se le van dando unos cortecitos y ya cuando vemos que está,
[0:06:09.00]-[0:06:12.00]  quitamos un trozo en un plato y lo partimos con un cuchillo,
[0:06:12.00]-[0:06:17.00]  vemos que está cocido, pues ya quedamos con la fumadera en un escurrido
[0:06:17.00]-[0:06:19.00]  que está solamente para las cosas.
[0:06:19.00]-[0:06:22.00]  Lo vamos poniendo y algo le vamos al escurrido para que no le quede mucha agua.
[0:06:22.00]-[0:06:26.00]  Y después lo enfolgamos debajo del grifo y ya está la sangre del parápat
[0:06:26.00]-[0:06:28.00]  y calda para comerse la leña.
[0:06:28.00]-[0:06:29.00]  Solo sangre.
[0:06:29.00]-[0:06:33.00]  Eso es un aperitivo mientras que termina porque si son dos o tres cerdos,
[0:06:33.00]-[0:06:37.00]  porque mientras que uno, mi marido va por ejemplo abriendo uno,
[0:06:37.00]-[0:06:43.00]  otros van quemando con el soplete, de antes eran con toros, que era más natural,
[0:06:43.00]-[0:06:47.00]  con toros del campo que se cogía, pero ya es con una bombona de gas
[0:06:47.00]-[0:06:51.00]  y un soplete y se chambusca el cochino así.
[0:06:51.00]-[0:06:57.00]  Y entonces ya cuando terminan unos de preparar, de terminar de abrir uno,
[0:06:57.00]-[0:07:02.00]  ya está el otro puesto en la mesa para hacerle la misma faena que se le ha hecho al primero,
[0:07:02.00]-[0:07:05.00]  de abrirlo otra vez y de enguitarle los jamones,
[0:07:05.00]-[0:07:09.00]  corregarle los jamones, las costillas, rillar el tocino.
[0:07:09.00]-[0:07:14.00]  Y entonces se toma un aperitivo, hasta después que se hace la cachola,
[0:07:14.00]-[0:07:22.00]  que se le dice aquí, que esto lleva cebolla, ajo, pimiento, pimiento rojo,
[0:07:22.00]-[0:07:28.00]  pimiento verde, tomate, se hace un sofrito de eso y se le echa la carne, el lomo,
[0:07:28.00]-[0:07:32.00]  un poquito de panceta, ¿sabes lo que es la panceta?
[0:07:32.00]-[0:07:35.00]  Para que haga un poquito de grasa.
[0:07:35.00]-[0:07:41.00]  La asadura blanca, la asadura negra y costilla.
[0:07:41.00]-[0:07:45.00]  Y lo último que se le echa ya cuando se va a apartar es un poquito de zanja.
[0:07:45.00]-[0:07:48.00]  Y patata también se le echa a esto que está molida.
[0:07:48.00]-[0:07:52.00]  A la mostilla. A la mostilla no, a la cachola.
[0:07:52.00]-[0:07:54.00]  Patata fresca.
[0:07:54.00]-[0:08:01.00]  Es que nos han dicho otras cosas, que hay otros sitios que echan hasta acá el cebolla, el pollo.
[0:08:01.00]-[0:08:03.00]  Yo eso no quiero.
[0:08:03.00]-[0:08:05.00]  Esos son la gente de por ahí de Galicia.
[0:08:05.00]-[0:08:07.00]  No, aquí en esta zona.
[0:08:07.00]-[0:08:08.00]  Aquí en Villa Blanca.
[0:08:08.00]-[0:08:10.00]  No, en Villa Blanca, en otro pueblo.
[0:08:10.00]-[0:08:11.00]  En otro pueblo.
[0:08:11.00]-[0:08:15.00]  Sí, yo lo veo en la tele, lo de algunas veces los de Arguiñano y esos veo que echan,
[0:08:15.00]-[0:08:17.00]  hacen también mostilla.
[0:08:17.00]-[0:08:23.00]  Aquí en esta zona, en un pueblo que se hagan los ligaditos, el estómago, los pulmones.
[0:08:23.00]-[0:08:25.00]  Pero eso es el chorizo negro.
[0:08:25.00]-[0:08:27.00]  Es que no te lo he terminado de decir.
[0:08:27.00]-[0:08:34.00]  El chorizo negro lleva el buche, que se le quita la piel y se le da con sal.
[0:08:34.00]-[0:08:40.00]  Se lava bien, lava y luego se pica con una tijera, porque eso con un cuchillo no puede ser.
[0:08:40.00]-[0:08:45.00]  Con una tijera se pica y se le echa los desperdicios de la asadura, decimos.
[0:08:45.00]-[0:08:49.00]  Porque no del gañote, todas las cosas se le pica a esos chorizos.
[0:08:49.00]-[0:08:55.00]  La carne que tiene más grasa y la sangre que queda líquida.
[0:08:55.00]-[0:08:57.00]  Y esas son las morcillas negras.
[0:08:57.00]-[0:09:00.00]  Y mi primo este la hizo con cebolla.
[0:09:00.00]-[0:09:02.00]  Pero esa está rica, pero bueno, ya es.
[0:09:02.00]-[0:09:07.00]  Con cebolla lo he hecho yo nunca, pero a mí no me hace mucho chiste la de cebolla.
[0:09:07.00]-[0:09:10.00]  Es una vez que vino una muchacha de Córdoba.
[0:09:10.00]-[0:09:14.00]  Al campo también fuimos a comer y traía cebolla, morcillas de cebolla.
[0:09:14.00]-[0:09:17.00]  Y le había hecho una cantidad, ¡puf!
[0:09:17.00]-[0:09:19.00]  Para medio pueblo.
[0:09:19.00]-[0:09:23.00]  Se parece este niño a un muchacho de aquí del pueblo.
[0:09:23.00]-[0:09:26.00]  Muy guapo, ¿no?
[0:09:26.00]-[0:09:30.00]  Hoy habéis visto aquí una comentación de moto.
[0:09:30.00]-[0:09:32.00]  Ustedes habéis estado pasando por aquí quizás.
[0:09:32.00]-[0:09:36.00]  Y qué habrá pasado después de eso, qué ha pasado, ambulancia.
[0:09:36.00]-[0:09:40.00]  Y mi sobrino me estaba diciendo que iban a pasar los bomberos y la ambulancia.
[0:09:40.00]-[0:09:42.00]  Y así que así ven todo algo a pasar.
[0:09:42.00]-[0:09:46.00]  Después de pasar lo de la moto que iban a comer a la nave.
[0:09:46.00]-[0:09:49.00]  Mañana nos tocará nosotros limpiar lo de la comida.
[0:09:49.00]-[0:09:54.00]  Porque mañana ya terminamos de trabajar y seguro que vamos a limpiar
[0:09:54.00]-[0:09:57.00]  las naves del ayuntamiento de Estado y de nosotros.
[0:09:57.00]-[0:09:59.00]  Esta gente.
[0:10:01.00]-[0:10:03.00]  Y queríamos preguntarte también...
[0:10:03.00]-[0:10:05.00]  ¿De qué?
[0:10:05.00]-[0:10:10.00]  Ustedes a la morcilla no le echan arroz ni cosas así, ¿no?
[0:10:10.00]-[0:10:12.00]  No.
[0:10:12.00]-[0:10:15.00]  Si vemos que tiene un poco de aire, la pinchamos un poquito.
[0:10:15.00]-[0:10:20.00]  Y le pongo otro corde por la mitad para que esté fuerte, para que no esté afluja.
[0:10:20.00]-[0:10:23.00]  Y después corde arriba para colgarla en el pan.
[0:10:23.00]-[0:10:26.00]  Y las ponemos al aire que se nos seque en la cejita.
[0:10:26.00]-[0:10:31.00]  Te voy a enseñar un chorizo que tengo ahí en el frigorífico de lo que hicimos nosotros de mí.
[0:10:31.00]-[0:10:33.00]  Ahora.
[0:10:33.00]-[0:10:34.00]  Es de los gorditos.
[0:10:34.00]-[0:10:36.00]  Blanca también la hacemos, ¿eh?
[0:10:36.00]-[0:10:38.00]  Chorizo blanco.
[0:10:38.00]-[0:10:40.00]  ¿Cómo es?
[0:10:40.00]-[0:10:46.00]  El blanco lleva la carne magra solamente, un poquito de grasa porque si no se pone seca,
[0:10:46.00]-[0:10:49.00]  la pimienta y el clava.
[0:10:49.00]-[0:10:51.00]  Ahí viene alguien, no sé quién, mi hija.
[0:10:54.00]-[0:10:56.00]  Esa es como yo cantarinas.
[0:10:56.00]-[0:10:58.00]  Ah, esta es mi nieta.
[0:10:58.00]-[0:11:00.00]  Mira qué nieta más guapa tengo.
[0:11:00.00]-[0:11:02.00]  Hola, abuela.
[0:11:02.00]-[0:11:04.00]  Aquí te lo dejamos.
[0:11:04.00]-[0:11:08.00]  Esta niña tiene 20 años, ¿tiene edad?
[0:11:08.00]-[0:11:10.00]  Sí.
[0:11:10.00]-[0:11:12.00]  Y está trabajando en la cooperativa de las fresas.
[0:11:12.00]-[0:11:15.00]  También te puedo decir huella de las fresas.
[0:11:15.00]-[0:11:17.00]  Aquí hay muchas fresas.
[0:11:17.00]-[0:11:19.00]  ¿Ya te vas?
[0:11:19.00]-[0:11:22.00]  No, quiero volver a la boda para montarme el trabajo.
[0:11:22.00]-[0:11:25.00]  Oh, los caballos de huerta, ya conocí.
[0:11:25.00]-[0:11:29.00]  Tengo que hacer lo del traje vegetal que tiene y se está haciendo dos trajes vegetales.
[0:11:29.00]-[0:11:31.00]  La abuela se los está haciendo.
[0:11:31.00]-[0:11:32.00]  Ah, usted.
[0:11:32.00]-[0:11:34.00]  Yo no, la otra abuela.
[0:11:34.00]-[0:11:37.00]  Yo no sé y que no puedo...
[0:11:37.00]-[0:11:40.00]  Mira, venga a un estajo Cristian Live.
[0:11:40.00]-[0:11:44.00]  Las niñas, tengo cuatro hijas, una está en Sevilla, la he llamado ahora,
[0:11:44.00]-[0:11:46.00]  cuando estuvimos almorzándolo, la llamamos.
[0:11:46.00]-[0:11:49.00]  Esta viene a lo mejor trabajando a mí, por acá.
[0:11:49.00]-[0:11:53.00]  Esta, la madre está trabajando y tiene dos más pequeños,
[0:11:53.00]-[0:11:55.00]  una de ocho años y un niño de cuatro.
[0:11:55.00]-[0:11:59.00]  A mediodía a las dos, a donde va a almorzar la niña, en Calafuera.
[0:11:59.00]-[0:12:04.00]  Lleva cinco años trabajando y cinco años me lleva comiendo aquí diariamente.
[0:12:04.00]-[0:12:10.00]  La madre cuando viene a las tres recoge los dos del comedor,
[0:12:10.00]-[0:12:12.00]  porque están todos los dos en el colegio ya,
[0:12:12.00]-[0:12:16.00]  y se vienen para acá y yo les dejo, si es puchero, hay que hacerlo preparar ella,
[0:12:16.00]-[0:12:18.00]  o si es patata con carne, ya ella se lo come.
[0:12:18.00]-[0:12:20.00]  ¿Qué ha pasado?
[0:12:20.00]-[0:12:23.00]  La abuela está dormitiva, ¿eh?
[0:12:23.00]-[0:12:25.00]  ¿La abuela dónde la tiene en el cuarto?
[0:12:25.00]-[0:12:28.00]  En el cuarto de abuela, me parece que hay muchas cámporas allí en la casa.
[0:12:28.00]-[0:12:30.00]  ¿Dónde está?
[0:12:30.00]-[0:12:33.00]  Al lado del baú hay una caja, me parece, que tiene botas, ¿eh?
[0:12:33.00]-[0:12:35.00]  Di que ha pasado algo en la ambulancia y eso.
[0:12:35.00]-[0:12:37.00]  No sé, no.
[0:12:37.00]-[0:12:40.00]  ¿Ella era una mujer? ¿Ella era una constitución de mujer?
[0:12:40.00]-[0:12:45.00]  No, no. Se mató aquí un niño con 22 años el día de Semana Santa,
[0:12:45.00]-[0:12:47.00]  aquí del vecino.
[0:12:47.00]-[0:12:49.00]  ¿Y eso?
[0:12:49.00]-[0:12:54.00]  El niño ya con la carrera terminó en Itáfrica, ya ha hecho la carrera,
[0:12:54.00]-[0:13:00.00]  y vino unos días para después regresar, para recoger la diploma y demás,
[0:13:00.00]-[0:13:06.00]  y fue a un motocorro, parece que era portugués, dos días seguidos.
[0:13:06.00]-[0:13:12.00]  Y el segundo día, yo tengo la mamá que te digo que me ayuda a arreglar los chorizo
[0:13:12.00]-[0:13:15.00]  y el hermano tocan en la banda de music, a lo mejor.
[0:13:15.00]-[0:13:18.00]  Y hubo un concierto en la iglesia y la madre fue y llevó la niña,
[0:13:18.00]-[0:13:20.00]  que es de la edad de mi nieta también,
[0:13:20.00]-[0:13:25.00]  y después salieron a Aldamonte a ver otro concierto conmigo.
[0:13:25.00]-[0:13:28.00]  El niño llegó de la concentración de motos, del motocro,
[0:13:28.00]-[0:13:30.00]  y no me confundió con lo de hoy.
[0:13:30.00]-[0:13:36.00]  Le dijo a la madre que no se iba a Aldamonte de casa, que se iba a quedar en casa.
[0:13:36.00]-[0:13:40.00]  Y de momento pensó que salía y se fue.
[0:13:40.00]-[0:13:46.00]  Y nada, ahí antes de llegar a la autovía se cayó contra un piso.
[0:13:46.00]-[0:13:48.00]  ¿Cómo hacía?
[0:13:48.00]-[0:13:49.00]  Con 22 años.
[0:13:49.00]-[0:13:53.00]  Es que tenía la llamada en el móvil y todo, que llamó a la madre,
[0:13:53.00]-[0:13:57.00]  pero la madre con la banda de musica en la iglesia no escuchó el móvil.
[0:13:57.00]-[0:14:00.00]  Si no, le dice que no se hubiese ido, que ya ella se venía.
[0:14:00.00]-[0:14:03.00]  Lo que tiene que pasar tiene mucha fuerza y nada más.
[0:14:03.00]-[0:14:05.00]  Con 22 años.
[0:14:05.00]-[0:14:07.00]  ¿Y cómo se salió o no se salió?
[0:14:07.00]-[0:14:11.00]  Porque iba demasiado rápido.
[0:14:11.00]-[0:14:13.00]  Demasiado rápido.
[0:14:13.00]-[0:14:17.00]  Y ahora para junio, hace un año, de otro primo.
[0:14:17.00]-[0:14:21.00]  Pero no los evidentes, sino que el niño le dio un atacón de garganta,
[0:14:21.00]-[0:14:24.00]  lo llevan al hospital, siempre estaba con las defesas.
[0:14:24.00]-[0:14:27.00]  Ah, él tenía la cajera de peritos.
[0:14:27.00]-[0:14:30.00]  Y lo llevan al hospital.
[0:14:30.00]-[0:14:35.00]  El padre se viene al pueblo porque tenía animales y una abuela,
[0:14:35.00]-[0:14:38.00]  una hermana de la madre, una tía de la madre,
[0:14:38.00]-[0:14:43.00]  que estaba con ellos porque se quedó viuda y no tenía hijos
[0:14:43.00]-[0:14:48.00]  y estaban cuidando a ella, la cuidan la madre del niño que murió y otra hermana.
[0:14:48.00]-[0:14:53.00]  Y vino para decirle a la otra hermana que quiere llevar a la tía para su casa.
[0:14:53.00]-[0:14:58.00]  Y cuando regresó a las 9 de la noche, ya se encuentra el hijo en cuidado intensivo.
[0:14:58.00]-[0:15:01.00]  Y ya no salió más. Seis días duros.
[0:15:01.00]-[0:15:06.00]  Le entró eso, yo no sé qué enfermedad le entraría a ese niño tan rápido,
[0:15:06.00]-[0:15:09.00]  que fue volado.
[0:15:09.00]-[0:15:11.00]  ¿Cómo?
[0:15:11.00]-[0:15:13.00]  Hacía 22 años, también se hacía en cumplido.
[0:15:13.00]-[0:15:18.00]  Hacía la arromedía con mi hija, la más chica, la que tiene 22 años.
[0:15:18.00]-[0:15:22.00]  Y era aficionado a los caballos y los garnitos,
[0:15:22.00]-[0:15:25.00]  está siempre con el padre porque la madre está...
[0:15:25.00]-[0:15:28.00]  Pues cómo está la madre.
[0:15:28.00]-[0:15:32.00]  El único hino porque a otros se le había muerto también.
[0:15:32.00]-[0:15:34.00]  ¿Pero tenía enfermedad?
[0:15:34.00]-[0:15:38.00]  Sí, dice que de la garganta, con una infección muy grande que cogió,
[0:15:38.00]-[0:15:44.00]  para realizar los riñones, las lecciones las tenía baja, cogió infección de asando y ya.
[0:15:44.00]-[0:15:48.00]  ¿Tú una septicemia?
[0:15:48.00]-[0:15:50.00]  ¿Septicemia o sepsis de asando?
[0:15:50.00]-[0:15:52.00]  Algo así.
[0:15:52.00]-[0:15:54.00]  ¿Sepsis generalizadas?
[0:15:54.00]-[0:15:57.00]  Madre mía.
[0:15:57.00]-[0:16:03.00]  Nosotros fuimos para Ayamonte para el sanatorio y estaba en un momento exagerado.
[0:16:03.00]-[0:16:09.00]  Claro que metieron muchos medicamentos en los seis días que estuvo en mi cuidado intensivo.
[0:16:09.00]-[0:16:14.00]  Y de seguida se puso...
[0:16:14.00]-[0:16:16.00]  ¿Han contrato o no?
[0:16:16.00]-[0:16:18.00]  Sí.
[0:16:18.00]-[0:16:20.00]  ¿Y el chaquetón más, no?
[0:16:20.00]-[0:16:21.00]  ¿Tú no traes dos chaquetónas?
[0:16:21.00]-[0:16:23.00]  No, es que trajo mi madre, ve.
[0:16:23.00]-[0:16:25.00]  Allí en el cuartillo está, ¿acorda?
[0:16:25.00]-[0:16:27.00]  ¿Cómo tiene el chaleco tú?
[0:16:27.00]-[0:16:28.00]  ¿Tú vas a ir después?
[0:16:28.00]-[0:16:29.00]  Yo sí, ¿por qué?
[0:16:29.00]-[0:16:32.00]  Porque cuando te dejo a tiempo vas a correr a buscar.
[0:16:32.00]-[0:16:34.00]  Ahí tengo que salir a dar el chaquetón, ¿no?
[0:16:34.00]-[0:16:36.00]  Claro.
[0:16:36.00]-[0:16:37.00]  Hasta ahora.
[0:16:37.00]-[0:16:42.00]  Ten cuidado con los caballos que ya saben el año pasado que te pasó con el caballo.
[0:16:42.00]-[0:16:46.00]  Se cayó el novio y así se mata el caballo.
[0:16:46.00]-[0:16:50.00]  Y menos más él ya en un caballo y el novio en otro.
[0:16:50.00]-[0:16:52.00]  Y el caballo...
[0:16:52.00]-[0:16:57.00]  Porque tienen un picaero de caballo y ellos van a tomar los caballos.
[0:16:57.00]-[0:16:59.00]  ¿Y entonces qué pasa?
[0:16:59.00]-[0:17:03.00]  Que el caballo había mucho aire como ahora por la promenada de aquí que es el mes que viene.
[0:17:03.00]-[0:17:06.00]  Había unos plásticos por la carretera de San Silvestre.
[0:17:06.00]-[0:17:08.00]  ¿No habéis venido usted, de verdad?
[0:17:08.00]-[0:17:11.00]  Sí, hemos venido por la carretera de San Silvestre.
[0:17:11.00]-[0:17:14.00]  ¿Habéis visto una cooperativa que hay?
[0:17:14.00]-[0:17:16.00]  Y has visto muchos naranjos.
[0:17:16.00]-[0:17:20.00]  ¿Dónde está la gasolinera?
[0:17:20.00]-[0:17:22.00]  Es posible, pero como no...
[0:17:22.00]-[0:17:24.00]  ¿Qué? ¿Café?
[0:17:24.00]-[0:17:27.00]  ¿Qué le haces?
[0:17:27.00]-[0:17:29.00]  Hola, que nos ha dado.
[0:17:29.00]-[0:17:30.00]  Hola.
[0:17:30.00]-[0:17:34.00]  Ten cuidado con los caballos, tú.
[0:17:37.00]-[0:17:39.00]  Y...
[0:17:39.00]-[0:17:40.00]  Perdona...
[0:17:40.00]-[0:17:42.00]  Se seguimos preguntando sobre...
[0:17:42.00]-[0:17:43.00]  Venía a preguntarme.
[0:17:43.00]-[0:17:47.00]  Pues nada, quería que nos contases también si a ustedes han tenido gallinas.
[0:17:47.00]-[0:17:50.00]  Oh, gallinas y los pollitos para echar a los huevos.
[0:17:50.00]-[0:17:51.00]  ¿Ah, sí?
[0:17:51.00]-[0:17:52.00]  Sí.
[0:17:52.00]-[0:17:55.00]  Y la madre de ella tiene gallina en el campo.
[0:17:55.00]-[0:18:01.00]  Yo había sacado una gallina... ¿cuántos pollos me dijo que había sacado? 8 o 10.
[0:18:01.00]-[0:18:04.00]  Pero como mi nieto este de Sevilla le mató dos, pero ya grande, ¿no?
[0:18:04.00]-[0:18:09.00]  Y lo hicieron por sermana sosta. Con una escopeta de plum y ya mató.
[0:18:09.00]-[0:18:12.00]  ¿No cortaban aquí con un cuchillo la...
[0:18:12.00]-[0:18:13.00]  Yo los mato.
[0:18:13.00]-[0:18:14.00]  A ver, cuéntennos.
[0:18:14.00]-[0:18:19.00]  Nada, yo cojo el pollo. A ver, que te cojo pa' hacerte la demostración.
