[0:00:00.00]-[0:00:02.00]  Hola, ¿cómo estás?
[0:01:50.00]-[0:01:52.00]  Que jóvenes
[0:01:52.00]-[0:01:54.00]  El papelito de esa calle
[0:01:54.00]-[0:01:56.00]  Su dirección
[0:01:56.00]-[0:01:58.00]  Pues ya
[0:01:58.00]-[0:02:00.00]  ¿Tú ha gustado el trabajo de llegar aquí?
[0:02:00.00]-[0:02:02.00]  Bueno, hemos ido preguntando
[0:02:02.00]-[0:02:04.00]  Hemos tardado un poquito en aparcar
[0:02:04.00]-[0:02:06.00]  Pero nos han guiado bien, todo el mundo conoce la calle
[0:02:06.00]-[0:02:08.00]  Aquí atrás si hay mucho sitio para aparcar
[0:02:08.00]-[0:02:10.00]  Sí, ahí hemos aparcado
[0:02:10.00]-[0:02:12.00]  Está la evacuada
[0:02:12.00]-[0:02:14.00]  Sí, creo que
[0:02:14.00]-[0:02:16.00]  Le ha explicado
[0:02:16.00]-[0:02:18.00]  Un poco, ¿no?
[0:02:18.00]-[0:02:20.00]  Me ha dicho
[0:02:20.00]-[0:02:22.00]  A ti me dió mi sobrina
[0:02:22.00]-[0:02:24.00]  Dídate
[0:02:24.00]-[0:02:26.00]  Tú quieres que venga una...
[0:02:26.00]-[0:02:28.00]  Tengo una amiga
[0:02:28.00]-[0:02:30.00]  Y esa amiga tiene otra amiga
[0:02:30.00]-[0:02:32.00]  Yo a ella no la conozco
[0:02:32.00]-[0:02:34.00]  Pero esa amiga me ha dicho que quiere conocer
[0:02:34.00]-[0:02:36.00]  Cosas antiguas de Antequera
[0:02:36.00]-[0:02:38.00]  Y yo le he dicho tu nombre
[0:02:38.00]-[0:02:40.00]  ¿Te parece bien? Digo, bueno
[0:02:40.00]-[0:02:42.00]  Eso es lo que me han dicho ustedes
[0:02:42.00]-[0:02:44.00]  Ya no sé si soy de España
[0:02:44.00]-[0:02:46.00]  Si todas las tres
[0:02:46.00]-[0:02:48.00]  ¿Las cuatro soy española?
[0:02:48.00]-[0:02:50.00]  No
[0:02:50.00]-[0:02:52.00]  ¿Tú de dónde eres?
[0:02:52.00]-[0:02:54.00]  Yo de Madrid, así soy española
[0:02:54.00]-[0:02:56.00]  ¿De dónde? De Madrid
[0:02:56.00]-[0:02:58.00]  ¿De Madrid y de España?
[0:02:58.00]-[0:03:00.00]  Nosotras dos somos españolas
[0:03:00.00]-[0:03:02.00]  Nosotras dos somos romanas
[0:03:02.00]-[0:03:04.00]  Romanas
[0:03:04.00]-[0:03:06.00]  ¿Un país muy maligna también?
[0:03:06.00]-[0:03:08.00]  Ya se pondrá derecho
[0:03:08.00]-[0:03:10.00]  El pobre
[0:03:10.00]-[0:03:12.00]  Como España, ¿no?
[0:03:12.00]-[0:03:14.00]  España también
[0:03:14.00]-[0:03:16.00]  Tu derecho también
[0:03:16.00]-[0:03:18.00]  Hay mucho gasto y hay muchas cosas ahí
[0:03:18.00]-[0:03:20.00]  Y no hay mucha orden tampoco
[0:03:20.00]-[0:03:22.00]  Bueno, ya
[0:03:22.00]-[0:03:24.00]  Ya habrá, ¿no?
[0:03:24.00]-[0:03:26.00]  Ya habrá, si Dios quiere
[0:03:26.00]-[0:03:28.00]  Pues sí, le íbamos a preguntar
[0:03:28.00]-[0:03:30.00]  Que nos cuente un poco usted
[0:03:30.00]-[0:03:32.00]  De las cosas que se acuerda
[0:03:32.00]-[0:03:34.00]  Que eran diferentes, por ejemplo
[0:03:34.00]-[0:03:36.00]  Muchas veces preguntamos por el
[0:03:36.00]-[0:03:38.00]  El cura, qué trato tenía
[0:03:38.00]-[0:03:40.00]  Cómo ha cambiado
[0:03:40.00]-[0:03:42.00]  No sé
[0:03:42.00]-[0:03:44.00]  Antes era así de grande
[0:03:44.00]-[0:03:46.00]  Así de grande
[0:03:46.00]-[0:03:48.00]  Bueno, han crecido también
[0:03:48.00]-[0:03:50.00]  Después de la guerra han crecido
[0:03:50.00]-[0:03:52.00]  Pero
[0:03:52.00]-[0:03:54.00]  Yo soy de la guerra
[0:03:54.00]-[0:03:56.00]  Entonces lo que tengo más en la cabeza siempre
[0:03:56.00]-[0:03:58.00]  Yo ahora voy a mi cuarto
[0:03:58.00]-[0:04:00.00]  ¿A qué vengo? ¿A qué vengo?
[0:04:00.00]-[0:04:02.00]  Me tengo que venir otra vez
[0:04:02.00]-[0:04:04.00]  Voy otra vez, que venía por esto
[0:04:04.00]-[0:04:06.00]  Pero si ahora me habla de la guerra
[0:04:06.00]-[0:04:08.00]  Yo tenía ocho años, entonces
[0:04:08.00]-[0:04:10.00]  Esos sustos y esas cosas, entonces es cuando yo cambié
[0:04:10.00]-[0:04:12.00]  Yo era una niña muy mimada
[0:04:12.00]-[0:04:14.00]  Porque mi madre
[0:04:14.00]-[0:04:16.00]  Se crió sin madre y entonces
[0:04:16.00]-[0:04:18.00]  Todo lo que yo
[0:04:18.00]-[0:04:20.00]  Quería, lo que hacía
[0:04:20.00]-[0:04:22.00]  Caprichosa
[0:04:22.00]-[0:04:24.00]  Mare educadita
[0:04:24.00]-[0:04:26.00]  No, pero cuando iba con ella íbamos a vivir
[0:04:26.00]-[0:04:28.00]  Pero entonces
[0:04:28.00]-[0:04:30.00]  Era más bien reverde
[0:04:30.00]-[0:04:32.00]  Las comidas, no quiero esto, no quiero eso
[0:04:32.00]-[0:04:34.00]  La mareaba mucho
[0:04:34.00]-[0:04:36.00]  Pero ya vino la guerra
[0:04:36.00]-[0:04:38.00]  Vinieron las escasas
[0:04:38.00]-[0:04:40.00]  Yo no pasé hambre
[0:04:40.00]-[0:04:42.00]  Porque mis tíos abuelos tenían tiendas
[0:04:42.00]-[0:04:44.00]  Entonces como las cosas estaban racionadas
[0:04:44.00]-[0:04:46.00]  Como en todos los países que hay guerra
[0:04:46.00]-[0:04:48.00]  Ponía las raciones
[0:04:48.00]-[0:04:50.00]  La azúcar, no había
[0:04:50.00]-[0:04:52.00]  El chocolate, pero tampoco venía
[0:04:52.00]-[0:04:54.00]  Bueno, y las comidas
[0:04:54.00]-[0:04:56.00]  Porque las cosas de campo también
[0:04:56.00]-[0:04:58.00]  Con las cosas de los tres años de guerra
[0:04:58.00]-[0:05:00.00]  Pues se quedó el campo
[0:05:00.00]-[0:05:02.00]  Que no había de nada
[0:05:02.00]-[0:05:04.00]  Y entonces había
[0:05:04.00]-[0:05:06.00]  Agarrobes
[0:05:06.00]-[0:05:08.00]  La cosa se puso de moda
[0:05:08.00]-[0:05:10.00]  Compraban las agarrobes
[0:05:10.00]-[0:05:12.00]  Ahora ya no se ve
[0:05:14.00]-[0:05:16.00]  Que son estas cosas
[0:05:16.00]-[0:05:18.00]  Como negras, ¿no?
[0:05:18.00]-[0:05:20.00]  Sí, como negras, unas pipitas tienen
[0:05:20.00]-[0:05:22.00]  No sé lo que hacen de las agarrobes
[0:05:22.00]-[0:05:24.00]  Pues se iban a la Intercampo
[0:05:24.00]-[0:05:26.00]  Para poder comer las agarrobes
[0:05:26.00]-[0:05:28.00]  Cuando había también
[0:05:28.00]-[0:05:30.00]  Tenían que esperar
[0:05:30.00]-[0:05:32.00]  Y cosas malas también
[0:05:32.00]-[0:05:34.00]  Porque pasaba aquí
[0:05:34.00]-[0:05:36.00]  En una cuesta
[0:05:36.00]-[0:05:38.00]  Ya no me acuerdo cómo
[0:05:38.00]-[0:05:40.00]  La cuesta roja, les decían una cuesta
[0:05:40.00]-[0:05:42.00]  Y los camiones, entonces no eran
[0:05:42.00]-[0:05:44.00]  La velocidad de Ura
[0:05:44.00]-[0:05:46.00]  Se atrancaban más, se subían niños
[0:05:46.00]-[0:05:48.00]  A los altos y tiraban los sacos
[0:05:48.00]-[0:05:50.00]  De lo que llevaban
[0:05:50.00]-[0:05:52.00]  Y ya estaban la gente con Dios
[0:05:52.00]-[0:05:54.00]  Para robarlos
[0:05:54.00]-[0:05:56.00]  Y entonces los civiles
[0:05:56.00]-[0:05:58.00]  Pues dijeron, esto se va a acabar
[0:05:58.00]-[0:06:00.00]  Y mataron a un niño que tenía 14 años
[0:06:00.00]-[0:06:02.00]  Tirando el saco
[0:06:02.00]-[0:06:04.00]  De verdad, ya no se subieron ningún niño más
[0:06:04.00]-[0:06:06.00]  Y eso también me impresionó muchísimo
[0:06:06.00]-[0:06:08.00]  De que el muchacho
[0:06:08.00]-[0:06:10.00]  Que lo que iba era buscando comida
[0:06:10.00]-[0:06:12.00]  La escasía de la guerra es muy malo
[0:06:12.00]-[0:06:14.00]  Entonces cuando a mí me hablan
[0:06:14.00]-[0:06:16.00]  De guerra o de algo, no
[0:06:16.00]-[0:06:18.00]  Cuando ahora
[0:06:18.00]-[0:06:20.00]  Se filmó
[0:06:20.00]-[0:06:22.00]  Un parte, como se
[0:06:22.00]-[0:06:24.00]  Como le dice
[0:06:24.00]-[0:06:26.00]  Que estaba
[0:06:26.00]-[0:06:28.00]  Carlos Sotelo, como se llama
[0:06:28.00]-[0:06:30.00]  Que teníamos que filmar
[0:06:30.00]-[0:06:32.00]  Para la OTA
[0:06:32.00]-[0:06:34.00]  Y no filmaba
[0:06:34.00]-[0:06:36.00]  Entonces me dijeron, ¿ustedes creen que eres comunista?
[0:06:36.00]-[0:06:38.00]  Y yo dije, yo ni soy comunista
[0:06:38.00]-[0:06:40.00]  Ni soy socialista, yo en la guerra me partieron
[0:06:40.00]-[0:06:42.00]  Y yo no soy de partido
[0:06:42.00]-[0:06:44.00]  Pero ahora
[0:06:44.00]-[0:06:46.00]  Para la guerra no filmo para nada
[0:06:46.00]-[0:06:48.00]  Yo guerra no quiero ninguna
[0:06:48.00]-[0:06:50.00]  Ni soldados
[0:06:50.00]-[0:06:52.00]  Los soldados que van a defender, defenderlo de otro
[0:06:52.00]-[0:06:54.00]  Entonces yo de guerra
[0:06:54.00]-[0:06:56.00]  Es que me pongo
[0:06:56.00]-[0:06:58.00]  Muerta
[0:06:58.00]-[0:07:00.00]  Nosotros filmamos
[0:07:00.00]-[0:07:02.00]  Y enseguida de los nacionales
[0:07:02.00]-[0:07:04.00]  Que entraron los moros, venían
[0:07:04.00]-[0:07:06.00]  Que todas esas cosas
[0:07:06.00]-[0:07:08.00]  De la guerra, eso, vamos a dejar la guerra
[0:07:08.00]-[0:07:10.00]  Ahora
[0:07:10.00]-[0:07:12.00]  De cosas de religión
[0:07:12.00]-[0:07:14.00]  Pues yo hice la comunión con 7 años
[0:07:14.00]-[0:07:16.00]  Entonces era el año antes de la guerra
[0:07:18.00]-[0:07:20.00]  Y quizás, quizás
[0:07:20.00]-[0:07:22.00]  Yo me sentaba y no
[0:07:22.00]-[0:07:24.00]  No me llegaban las piernas al suelo y era
[0:07:24.00]-[0:07:26.00]  La monja me regañaba
[0:07:26.00]-[0:07:28.00]  Me decía, las piernas quietas
[0:07:28.00]-[0:07:30.00]  Y yo me decía, pff
[0:07:30.00]-[0:07:32.00]  Eso si me acuerdo
[0:07:32.00]-[0:07:34.00]  Y también del sermón que nos dieron
[0:07:34.00]-[0:07:36.00]  Que tenía 7 años
[0:07:36.00]-[0:07:38.00]  Recuerdo que era sobre
[0:07:38.00]-[0:07:40.00]  Van Crassio
[0:07:40.00]-[0:07:42.00]  Que iba a llevarle la comunión a los presos
[0:07:42.00]-[0:07:44.00]  Que había cristianos
[0:07:44.00]-[0:07:46.00]  Y que San Sebastián
[0:07:46.00]-[0:07:48.00]  Los niños como
[0:07:48.00]-[0:07:50.00]  No quería jugar, era un hijo único
[0:07:52.00]-[0:07:54.00]  Y le tiraron piedras
[0:07:54.00]-[0:07:56.00]  Lo tenía casi medio matado
[0:07:56.00]-[0:07:58.00]  Y lo llevaba con el pecho porque ahí llevaba
[0:07:58.00]-[0:08:00.00]  La sagrada forma para dársela al or
[0:08:00.00]-[0:08:02.00]  A los presos que estaban en el círculo
[0:08:02.00]-[0:08:04.00]  Romanos, dárselo por las ventanas
[0:08:04.00]-[0:08:06.00]  Entonces, Sebastián
[0:08:06.00]-[0:08:08.00]  Aunque era soldado romano, ya era cristiano
[0:08:08.00]-[0:08:10.00]  Lo cogió y lo llevó para
[0:08:10.00]-[0:08:12.00]  Que lo llevara y luego se lo llevó a su madre ya muerto
[0:08:12.00]-[0:08:14.00]  Y entonces
[0:08:14.00]-[0:08:16.00]  Esa cosa del sermón que nos dieron
[0:08:16.00]-[0:08:18.00]  A mí, de los cristianos
[0:08:18.00]-[0:08:20.00]  Y de eso, pues se me metió mucho en la cabeza
[0:08:20.00]-[0:08:22.00]  Que memoria
[0:08:22.00]-[0:08:24.00]  Sí, mucho me dejó en la cabeza
[0:08:24.00]-[0:08:26.00]  Y me dijo, ahora me pregunta que voy a comer
[0:08:26.00]-[0:08:28.00]  No sé
[0:08:28.00]-[0:08:30.00]  Pero eso le pasa a todo el mundo
[0:08:30.00]-[0:08:32.00]  Pero me acuerdo todo eso de la
[0:08:32.00]-[0:08:34.00]  Comunión y de mi vestido que era
[0:08:34.00]-[0:08:36.00]  Muy feo, no cullona
[0:08:36.00]-[0:08:38.00]  Por ahí porque mi madre le dio
[0:08:38.00]-[0:08:40.00]  Porque ya era una costura muy buena
[0:08:40.00]-[0:08:42.00]  Bueno, a vuestro gusto, a vuestro gusto
[0:08:42.00]-[0:08:44.00]  Y tenía así, uno, uno solo cullona
[0:08:44.00]-[0:08:46.00]  Y por abajo
[0:08:46.00]-[0:08:48.00]  Tres cullonas, la tela sin risa
[0:08:48.00]-[0:08:50.00]  Trinchichi
[0:08:50.00]-[0:08:52.00]  Vaya yo, ayer iba loca de contenta con él
[0:08:52.00]-[0:08:54.00]  Pero luego después cuando me veo en los retratos
[0:08:54.00]-[0:08:56.00]  Y veo a mi amiga, digo, mi mamá, me metió mi velo
[0:08:56.00]-[0:08:58.00]  En el bocateto
[0:08:58.00]-[0:09:00.00]  Y era blanco también
[0:09:00.00]-[0:09:02.00]  Blanco y velo blanco
[0:09:02.00]-[0:09:04.00]  Nosotros ya no llevamos velo, ¿no?
[0:09:04.00]-[0:09:06.00]  No
[0:09:06.00]-[0:09:08.00]  No, ahora no, yo mi velo
[0:09:08.00]-[0:09:10.00]  Y mi coronita
[0:09:10.00]-[0:09:12.00]  Ahora solo coronita
[0:09:12.00]-[0:09:14.00]  Mi corona me llevaba y ramo de flora
[0:09:14.00]-[0:09:16.00]  Que luego había que dejarlo en el
[0:09:16.00]-[0:09:18.00]  Versus que se decía por la tarde
[0:09:18.00]-[0:09:20.00]  En la función
[0:09:20.00]-[0:09:22.00]  Y seguía dos veces por la mañana a la misa
[0:09:22.00]-[0:09:24.00]  Para comorgar
[0:09:24.00]-[0:09:26.00]  Y después por la tarde el sermón que nos daba
[0:09:26.00]-[0:09:28.00]  Como era el mes de mayo
[0:09:28.00]-[0:09:30.00]  Leiría algo del mes de mayo, del mes de maría
[0:09:30.00]-[0:09:32.00]  O lo que fuera
[0:09:32.00]-[0:09:34.00]  ¿Y se acuerda de qué cosas les decía
[0:09:34.00]-[0:09:36.00]  El cura antes de hacer
[0:09:36.00]-[0:09:38.00]  La comunión?
[0:09:38.00]-[0:09:40.00]  Cuando estaban preparándonos, sí
[0:09:40.00]-[0:09:42.00]  Nos preparaba una monja
[0:09:42.00]-[0:09:44.00]  Yo estaba en un colegio de
[0:09:44.00]-[0:09:46.00]  Monjas
[0:09:46.00]-[0:09:48.00]  De teresianas
[0:09:48.00]-[0:09:50.00]  Teresianas no, no
[0:09:50.00]-[0:09:52.00]  Teresianas son otras
[0:09:52.00]-[0:09:54.00]  Clases de monjas que no me...
[0:09:56.00]-[0:09:58.00]  Franciscana
[0:09:58.00]-[0:10:00.00]  Franciscana
[0:10:00.00]-[0:10:02.00]  De la orden tercera de San Francisco
[0:10:02.00]-[0:10:04.00]  Y era la
[0:10:04.00]-[0:10:06.00]  La madre
[0:10:06.00]-[0:10:08.00]  General
[0:10:08.00]-[0:10:10.00]  Fundadora de aquí de Antequera
[0:10:10.00]-[0:10:12.00]  ¿Queréis que os diga la fundadora como era?
[0:10:12.00]-[0:10:18.00]  Sí
[0:10:18.00]-[0:10:20.00]  Y era
[0:10:20.00]-[0:10:22.00]  De la gente
[0:10:22.00]-[0:10:24.00]  Bien de Antequera
[0:10:24.00]-[0:10:26.00]  La gente bien quiere decir con dinero
[0:10:26.00]-[0:10:28.00]  Entonces
[0:10:28.00]-[0:10:30.00]  Ella desde niña
[0:10:30.00]-[0:10:32.00]  Quería ser monja
[0:10:32.00]-[0:10:34.00]  En la descarcer, la clausura
[0:10:34.00]-[0:10:36.00]  Pero
[0:10:36.00]-[0:10:38.00]  Su padre se casó tres veces
[0:10:38.00]-[0:10:40.00]  Entonces ella tuvo varias
[0:10:40.00]-[0:10:42.00]  Madres, ya vamos a poner por la última
[0:10:42.00]-[0:10:44.00]  Que ella tenía
[0:10:44.00]-[0:10:46.00]  Ya mayor, lo que quería era
[0:10:46.00]-[0:10:48.00]  Casarla, casarla y casarla y casarla
[0:10:48.00]-[0:10:50.00]  Y entonces pues
[0:10:50.00]-[0:10:52.00]  La casa con un tal
[0:10:52.00]-[0:10:54.00]  Que
[0:10:54.00]-[0:10:56.00]  Le gustaba mucho el juego
[0:10:56.00]-[0:10:58.00]  Entonces aunque era rico
[0:10:58.00]-[0:11:00.00]  Como ella, pues también se quedó
[0:11:00.00]-[0:11:02.00]  Sin dinero
[0:11:02.00]-[0:11:04.00]  Y fueron por el preso, entonces
[0:11:04.00]-[0:11:06.00]  Ella cogió su alaja y la dio
[0:11:06.00]-[0:11:08.00]  Para que no se lo llevaran preso y entonces
[0:11:08.00]-[0:11:10.00]  La suegra ya la miraba un poquito bien
[0:11:10.00]-[0:11:12.00]  Porque ella lo que quería hacer
[0:11:12.00]-[0:11:14.00]  Siempre es obra de caridad, con las niñas
[0:11:14.00]-[0:11:16.00]  Vestiditos para la ardilla de comunión
[0:11:16.00]-[0:11:18.00]  Se iba la hermanita a fregar
[0:11:18.00]-[0:11:20.00]  El suelo, que entonces era el suelo
[0:11:20.00]-[0:11:22.00]  Y venía con la enagua moja por abajo
[0:11:22.00]-[0:11:24.00]  Porque era un vestido largo
[0:11:24.00]-[0:11:26.00]  La suegra se ponía incapaz
[0:11:26.00]-[0:11:28.00]  Y fregaste el suelo cuando tú tienes aquí tres
[0:11:28.00]-[0:11:30.00]  Mozas, entonces le decían mozas
[0:11:30.00]-[0:11:32.00]  A las muchachas de servicio
[0:11:32.00]-[0:11:34.00]  Palabra antigua
[0:11:34.00]-[0:11:36.00]  Y
[0:11:36.00]-[0:11:38.00]  Luego ya se quedó viuda
[0:11:40.00]-[0:11:42.00]  Pasó mucho con el marido, pero por fin
[0:11:42.00]-[0:11:44.00]  Hasta le hizo que
[0:11:44.00]-[0:11:46.00]  Que se hiciera cristiano
[0:11:46.00]-[0:11:48.00]  O sea que era estaba
[0:11:48.00]-[0:11:50.00]  Botizado, pero no quería nada de la iglesia
[0:11:50.00]-[0:11:52.00]  Con la iglesia no quería nada, pero al fin
[0:11:52.00]-[0:11:54.00]  Así, entonces luego después
[0:11:54.00]-[0:11:56.00]  Ella ya quiere fundar
[0:11:56.00]-[0:11:58.00]  El obispo nos quiere darle
[0:11:58.00]-[0:12:00.00]  Permiso y entonces
[0:12:00.00]-[0:12:02.00]  Ya ella vive
[0:12:02.00]-[0:12:04.00]  Cuando ya, sí
[0:12:04.00]-[0:12:06.00]  Cuando ya muere el marido está en la calle Cantarero
[0:12:08.00]-[0:12:10.00]  Al lado de una farmacia que había
[0:12:10.00]-[0:12:12.00]  Y luego ya viene ella a una casa que era de sus padres
[0:12:12.00]-[0:12:14.00]  En esta calle
[0:12:14.00]-[0:12:16.00]  Por donde hay una esquina
[0:12:16.00]-[0:12:18.00]  Hay una fábrica de mantecaos
[0:12:18.00]-[0:12:20.00]  En la otra esquina, así que la calle La Vega
[0:12:20.00]-[0:12:22.00]  La esquina
[0:12:22.00]-[0:12:24.00]  Y entonces ella ahí
[0:12:24.00]-[0:12:26.00]  Empieza a llamar niñas
[0:12:26.00]-[0:12:28.00]  Le gustaba tener siete niñas y siete niños
[0:12:28.00]-[0:12:30.00]  A los niños a leer
[0:12:30.00]-[0:12:32.00]  Y a escribir
[0:12:32.00]-[0:12:34.00]  Y ella tenía que abordar y acosar
[0:12:34.00]-[0:12:36.00]  Y ella rezaba
[0:12:36.00]-[0:12:38.00]  Cantando
[0:12:38.00]-[0:12:40.00]  El catecismo, para que aprendieran
[0:12:40.00]-[0:12:42.00]  A rezar las almas, el credo, el Padre Nuestro
[0:12:42.00]-[0:12:44.00]  Cantando, cantando
[0:12:44.00]-[0:12:46.00]  Y ella dedicándose
[0:12:46.00]-[0:12:48.00]  Entonces ella empezó a querer fundar
[0:12:48.00]-[0:12:50.00]  Para los niños pobres
[0:12:50.00]-[0:12:52.00]  Y el obispo pues no quería
[0:12:52.00]-[0:12:54.00]  Dice una viuda, esta va a fundar ahora
[0:12:54.00]-[0:12:56.00]  Y entonces pues le puso
[0:12:56.00]-[0:12:58.00]  Unas cosas muy trabajosas
[0:12:58.00]-[0:13:00.00]  A las seis de la tarde tenía que salir
[0:13:00.00]-[0:13:02.00]  De esta calle a otra calle
[0:13:02.00]-[0:13:04.00]  Entrar a los portales
[0:13:04.00]-[0:13:06.00]  Tocar atravesar la campana y salirse
[0:13:06.00]-[0:13:08.00]  Y no hablar con nadie
[0:13:08.00]-[0:13:10.00]  Y entonces, ella ha vuelto loca
[0:13:10.00]-[0:13:12.00]  Y ella pasó a Vica
[0:13:12.00]-[0:13:14.00]  Allí con la campana, está loca
[0:13:14.00]-[0:13:16.00]  Y la creían que era loca
[0:13:16.00]-[0:13:18.00]  Entonces ella por fin le da
[0:13:18.00]-[0:13:20.00]  Ella con un capuchino le hace que
[0:13:20.00]-[0:13:22.00]  Que la pueda fundar
[0:13:22.00]-[0:13:24.00]  Y en ese tiempo también funda
[0:13:24.00]-[0:13:26.00]  La madre
[0:13:26.00]-[0:13:30.00]  Bueno, ella se llamaba
[0:13:30.00]-[0:13:32.00]  ¿Has visto la del Valle?
[0:13:32.00]-[0:13:34.00]  Pues la del Valle también es de ese tiempo
[0:13:34.00]-[0:13:36.00]  Era niña sin madre
[0:13:36.00]-[0:13:38.00]  También muy bonita
[0:13:38.00]-[0:13:40.00]  Y entonces, esta ya funda
[0:13:40.00]-[0:13:42.00]  En la carrera que hay un
[0:13:42.00]-[0:13:44.00]  Convento
[0:13:44.00]-[0:13:46.00]  De franciscanos que
[0:13:46.00]-[0:13:48.00]  Que lo habían abandonado los franciscanos
[0:13:48.00]-[0:13:50.00]  Por lo que fuera, no sé si fue por otra guerra
[0:13:50.00]-[0:13:52.00]  Estaba abandonado
[0:13:52.00]-[0:13:54.00]  Y se lo da el obispo a ella
[0:13:54.00]-[0:13:56.00]  Y ella allí trabaja con los niños pobres
[0:13:56.00]-[0:13:58.00]  Entonces su amiga
[0:13:58.00]-[0:14:00.00]  La señorita
[0:14:00.00]-[0:14:02.00]  Cuando yo decía
[0:14:02.00]-[0:14:04.00]  Ay, por Dios
[0:14:04.00]-[0:14:06.00]  Que la niña de mi muchacha hace la reverencia
[0:14:06.00]-[0:14:08.00]  De la iglesia del santísimo
[0:14:08.00]-[0:14:10.00]  Ay, por Dios, ¿por qué no me traes
[0:14:10.00]-[0:14:12.00]  Mis niñas? Yo te damos dinero
[0:14:12.00]-[0:14:14.00]  Que para que me vayan a decir
[0:14:14.00]-[0:14:16.00]  Pues mira, me vienen bien
[0:14:16.00]-[0:14:18.00]  Que venga dinero para tener libretas para otras
[0:14:18.00]-[0:14:20.00]  Pero venía a una sillita
[0:14:20.00]-[0:14:22.00]  Y escribían allí
[0:14:22.00]-[0:14:24.00]  Las ricas con las pobres
[0:14:24.00]-[0:14:26.00]  Y juntas
[0:14:26.00]-[0:14:28.00]  Pero ya la madre
[0:14:28.00]-[0:14:30.00]  La otra
[0:14:30.00]-[0:14:32.00]  Que ya estaba muy vieja, que ya está acá
[0:14:32.00]-[0:14:34.00]  Y tiene muchas complicaciones
[0:14:34.00]-[0:14:36.00]  En su convento
[0:14:36.00]-[0:14:38.00]  Y ya se queda ella de monja
[0:14:38.00]-[0:14:40.00]  Y otras superiores
[0:14:40.00]-[0:14:42.00]  Y ya empiezan a poner, yo creo que mientras ella vivió
[0:14:42.00]-[0:14:44.00]  Pero cuando ella murió
[0:14:44.00]-[0:14:46.00]  Empezó a apartar
[0:14:46.00]-[0:14:48.00]  En la misma clase, aquí las que pagan y aquí las que no pagan
