[0:00:00.00]-[0:00:02.00]  ¿Dónde estudiáis vosotras?
[0:04:22.00]-[0:04:27.00]  No una finca de lujo, ni mucho menos, nada más que para ganarnos todos los días el pan y todo, compañeros.
[0:04:27.00]-[0:04:33.00]  Otra cosa no hay, antes que no lo vayais a rellenar cuando me hayáis grabado.
[0:04:33.00]-[0:04:36.00]  ¡Ay, es que su señora! De Extremadura.
[0:04:36.00]-[0:04:42.00]  Y cuando querían hacer la matanza entonces, ¿la hacían ustedes mismos?
[0:04:42.00]-[0:04:47.00]  Sí, nosotros, claro. No te digo que nos reuníamos la familia y nos seguimos reuniendo.
[0:04:47.00]-[0:04:53.00]  Nos reunimos la familia, porque no es como una cosa mujer, un matadero, una cosa industrial, digamos.
[0:04:53.00]-[0:04:58.00]  Pues si es un matadero y es una industria, pues entonces a lo mejor lo hacen como sea.
[0:04:58.00]-[0:05:02.00]  Yo no sé cómo lo dan, yo creo que van a matar los cerdos fuera, donde sea,
[0:05:02.00]-[0:05:06.00]  y después traen ya las cosas y lo hacen en casa, ¿no?
[0:05:06.00]-[0:05:10.00]  Pero nosotros, como así lo hacemos para casa, nada más, ¿no? Pues los matamos en casa.
[0:05:10.00]-[0:05:12.00]  Aquí por supuesto no, porque esto ya no está para eso.
[0:05:12.00]-[0:05:16.00]  Los matamos en el campo, les quitamos todo lo más sucio y luego ya los traemos acá.
[0:05:16.00]-[0:05:19.00]  Y aquí lo hacemos y los colgamos los choritos y los preparamos.
[0:05:19.00]-[0:05:23.00]  Nos reunimos toda la familia, como te digo, es como una tradición.
[0:05:23.00]-[0:05:26.00]  Y bueno, lo pasamos bien, porque estamos toda la familia juntitas.
[0:05:26.00]-[0:05:29.00]  Eso es un día o dos días que dura y bueno, y ya está.
[0:05:29.00]-[0:05:33.00]  Hay una presita de vez en cuando y esas cosas.
[0:05:33.00]-[0:05:36.00]  No lo habéis visto en hotel alguna vez, te comesas también las cosas esas, ¿no?
[0:05:36.00]-[0:05:41.00]  No lo habéis visto nunca, ¿no? Pues si, pues anda que a los que lo ven no les gusta nada luego.
[0:05:41.00]-[0:05:43.00]  Ay, muy bien que sí les gusta, claro.
[0:05:43.00]-[0:05:46.00]  Es una cosa, hombre pues sí, es una cosa.
[0:05:46.00]-[0:05:49.00]  Fíjate que nos damos trabajo, porque eso nos damos el trabajo, ¿eh? Muchísimo.
[0:05:49.00]-[0:05:54.00]  Pero nos gusta reunirnos la familia, tenemos que hacer unas otras de comida y de todo, claro.
[0:05:54.00]-[0:05:58.00]  Según los que temo, pues si estamos muchos, pues hay que hacer unas otras de comida de miedo.
[0:05:58.00]-[0:06:04.00]  Sí, pero bueno, entre todos nos damos el trabajo y lo pasamos lo mejor que podemos y ya está.
[0:06:04.00]-[0:06:07.00]  Eso es la matanza en sí.
[0:06:07.00]-[0:06:09.00]  ¿Y hace falta avisar al veterinario?
[0:06:09.00]-[0:06:11.00]  Al veterinario sí, viene a reconocernos.
[0:06:11.00]-[0:06:17.00]  Ahí en la plaza de Abacto tienen una mijita del despachito y viene el veterinario oficial.
[0:06:17.00]-[0:06:22.00]  Que tenemos a veterinarios particulares y si lo queremos reconocer particular también lo podemos reconocer particular.
[0:06:22.00]-[0:06:26.00]  Pero el oficial, digamos, que tenemos que rellenar los papeles en el ayuntamiento.
[0:06:26.00]-[0:06:30.00]  Pues entonces tenemos que avisar qué día vamos a matar y ya no.
[0:06:30.00]-[0:06:36.00]  Ese día, a tal hora, tiene que llevar allí las muestras, se saca un poco de la lengua y de la carrillera.
[0:06:36.00]-[0:06:40.00]  Y eso se les lleva de muestra con el papel que nos dan en el ayuntamiento.
[0:06:40.00]-[0:06:42.00]  Lo pagamos en el banco, lo que hay que pagar.
[0:06:42.00]-[0:06:46.00]  Y ya después de pagado y se llevamos por el banco, entonces ya llevamos el papel y las muestras.
[0:06:46.00]-[0:06:49.00]  ¿Y antes era igual? ¿También había veterinarios?
[0:06:49.00]-[0:06:53.00]  Sí, sí, igual. Aquí había siempre un veterinario oficial. Aquí viviendo, ahora no.
[0:06:53.00]-[0:06:58.00]  Ahora van y vienen. Pero antes viviendo siempre vivía aquí.
[0:06:58.00]-[0:07:02.00]  Lo mismo que había los médicos y lo mismo que había muchos sacerdotes, tampoco los hay ahora.
[0:07:02.00]-[0:07:07.00]  Nada más que uno y por suerte lo tenemos aquí, que muchos pueblos no lo tienen ni siquiera.
[0:07:07.00]-[0:07:12.00]  ¿En este pueblo también ha habido siempre, ahora que ha dicho esto de los médicos, también ha habido siempre médicos?
[0:07:12.00]-[0:07:17.00]  Sí, siempre he habido, pero ya desde que empezaron estos de las urgencias, porque ya unos pocos de año.
[0:07:17.00]-[0:07:20.00]  Pero unos pocos no tenemos médicos, desde las tres de la tarde ya no tenemos.
[0:07:20.00]-[0:07:25.00]  Hasta el día siguiente, las nueve, ocho y media de la mañana. Ocho y media más bien.
[0:07:25.00]-[0:07:27.00]  Ya tenemos médicos otra vez.
[0:07:27.00]-[0:07:30.00]  ¿Es que eso también en el Andes, como era aquí, por ejemplo en la medicina y todo eso?
[0:07:30.00]-[0:07:34.00]  ¿Como, no sé, el médico atendía a todo el mundo por igual?
[0:07:34.00]-[0:07:37.00]  Sí, sí, sí. Cualquier hora que lo llamara. De madrugada.
[0:07:37.00]-[0:07:40.00]  A veces que los pobres se tienen que levantar durante la noche 20 veces.
[0:07:40.00]-[0:07:44.00]  Y otras noches que a lo mejor no se le ofrecía nada, ¿no? Pero se ofrecía algo.
[0:07:44.00]-[0:07:45.00]  ¿Y cómo se le pagaba al médico?
[0:07:45.00]-[0:07:49.00]  Pues claro. Al médico, antes una iguala le decíamos. Decíamos una iguala.
[0:07:49.00]-[0:07:50.00]  ¿Y?
[0:07:50.00]-[0:07:55.00]  A la iguala. Yo estoy iguala con don... que era que se llamaban los médicos.
[0:07:55.00]-[0:07:59.00]  Otros don... que han ido pasando ya luego muchos, ¿no?
[0:07:59.00]-[0:08:03.00]  Pero vamos, vivían aquí y todo. Vivían aquí y a cualquier hora que se te ofrecía,
[0:08:03.00]-[0:08:05.00]  los llamaba y acudía y ya está.
[0:08:05.00]-[0:08:09.00]  Lo mismo que se llama ahora el equipo, digamos, de guardia de Zafra, que es el que nos viene aquí a nosotros.
[0:08:09.00]-[0:08:12.00]  Pues igual era entonces, pero viviendo aquí en su casa.
[0:08:12.00]-[0:08:14.00]  Y vamos, los llamábamos y veníamos y ya está.
[0:08:14.00]-[0:08:17.00]  Y ¿en qué cosas está la iguala?
[0:08:17.00]-[0:08:21.00]  Claro, yo sé lo que valdría entonces. Yo no me acuerdo ni siquiera porque eso era cuando yo era chiquitita.
[0:08:21.00]-[0:08:25.00]  Y no sé, hija, no te puedo decir, pero se pagaría poca cosa por cada persona,
[0:08:25.00]-[0:08:29.00]  según los miembros que hubiera la familia. Pues sí se pagaba, claro.
[0:08:29.00]-[0:08:34.00]  Pero eso es poquita cosa, porque claro, no creo que en aquella época se pudiera pagar mucho.
[0:08:34.00]-[0:08:39.00]  Yo ya te voy a decir que estoy en la seguridad social
[0:08:39.00]-[0:08:44.00]  para por lo menos, por lo menos 42, 43 años.
[0:08:44.00]-[0:08:49.00]  Yo estoy en la seguridad social. Entonces, ya hacías de 43 años, pues ya lo que estés,
[0:08:49.00]-[0:08:52.00]  ser un adolescente, digamos, ¿no?
[0:08:52.00]-[0:08:55.00]  Entonces, que yo me acuerdo era eso.
[0:08:55.00]-[0:09:00.00]  Teníamos la iguala, como se le decía, y cada una pertenecía al médico que quería pagarle la iguala.
[0:09:00.00]-[0:09:03.00]  Claro, y luego eso cambió.
[0:09:03.00]-[0:09:07.00]  Y bueno, sigamos con lo de la matanza y todo eso.
[0:09:07.00]-[0:09:10.00]  Aparte de los cerdos, ¿qué más animales tienen por esta zona?
[0:09:10.00]-[0:09:14.00]  Por esta zona tenemos los cabritos, los chivitos,
[0:09:14.00]-[0:09:18.00]  tenemos las ovejas, los horriquitos, digamos,
[0:09:18.00]-[0:09:23.00]  los terneros, pero aquí nos acostumbramos a la carne de ternera, fíjate.
[0:09:23.00]-[0:09:26.00]  Nos acostumbramos mucho nosotros. Hemos matado a nosotros aquí,
[0:09:26.00]-[0:09:29.00]  como lo tenemos en casa, si queremos matarnos a uno y no lo comemos, ya está, ¿no?
[0:09:29.00]-[0:09:33.00]  Pero que parece que no estamos tan acostumbrados a la ternera como a nosotros.
[0:09:33.00]-[0:09:36.00]  Los cabritos sí. Los cabritos también, eso los mató todos.
[0:09:36.00]-[0:09:40.00]  Bueno, nosotros hemos sido pandiceros toda la vida y ahora estamos,
[0:09:40.00]-[0:09:42.00]  bueno, como en casa, pero para casa no más.
[0:09:42.00]-[0:09:45.00]  Pero pensadlo, en casa ya está, con todas las ondas que está,
[0:09:45.00]-[0:09:48.00]  hay que cortar unas buenas azuleitas,
[0:09:48.00]-[0:09:52.00]  y así, las que tenemos nosotros las cabras que tenemos siempre en casa,
[0:09:52.00]-[0:09:55.00]  que tenemos poquitas, para eso, la leche para el queso.
[0:09:55.00]-[0:09:58.00]  Y así nos vamos arreglando y a mí a las de los pueblos,
[0:09:58.00]-[0:10:02.00]  tenemos que vivir así, con lo que tenemos en casa.
[0:10:02.00]-[0:10:04.00]  Y gracias a la que lo tenemos.
[0:10:04.00]-[0:10:06.00]  Y para el queso...
[0:10:06.00]-[0:10:09.00]  ¿Cuántos pobresitos ha oído que no han tenido nada?
[0:10:09.00]-[0:10:11.00]  Que han pasado más hambre que qué, cuando es que da época,
[0:10:11.00]-[0:10:13.00]  y nosotros gracias a Dios no la pasamos, pero bueno.
[0:10:13.00]-[0:10:15.00]  Pero tampoco tenemos para...
[0:10:15.00]-[0:10:18.00]  ¿Veis? Mi casa no está de lujo, ni un tropeño.
[0:10:18.00]-[0:10:20.00]  Lo preciso y ya está, ¿sabes?
[0:10:20.00]-[0:10:22.00]  Así que tiene, hija.
[0:10:22.00]-[0:10:25.00]  ¿Y para el queso, qué utilizan? ¿Qué tipo de leche?
[0:10:25.00]-[0:10:28.00]  ¿Tipo de leche? Nosotras hablan de cabras, que es la que tenemos en casa.
[0:10:28.00]-[0:10:30.00]  Antes teníamos vacas también, pero ahora ya no.
[0:10:30.00]-[0:10:34.00]  Sí las tenemos, pero vacas de nodriza, digamos, que ya no son de leche.
[0:10:34.00]-[0:10:36.00]  ¿Y cómo lo hacen?
[0:10:36.00]-[0:10:39.00]  ¿El queso? Pues muy bien, pues la leche se cuaja,
[0:10:39.00]-[0:10:41.00]  se le echa un poquito de cuajo en polvo,
[0:10:41.00]-[0:10:45.00]  que es el que nosotros usamos, el cuajo que se echa por aquí,
[0:10:45.00]-[0:10:47.00]  porque ahí también se lo echan...
[0:10:47.00]-[0:10:49.00]  ¿Sabes cómo te lo digo?
[0:10:52.00]-[0:10:55.00]  Es de una planta, es de la planta de la alcachofa,
[0:10:55.00]-[0:10:57.00]  pero ¿qué no me acuerdo cómo se llama eso?
[0:10:57.00]-[0:10:59.00]  ¿Cardu? De los cardu, de los cardu, eso.
[0:10:59.00]-[0:11:02.00]  Esa florecita que lleva en el medio, eso, de ahí también.
[0:11:02.00]-[0:11:04.00]  Pero a mí no me gusta, a mí no me gusta.
[0:11:04.00]-[0:11:08.00]  Antes, cuando mi suegra, que tú te olvides de mi suegra,
[0:11:08.00]-[0:11:10.00]  por cierto, ya no hemos tenido daño ya que se murió,
[0:11:10.00]-[0:11:12.00]  pues ellos también vivían siempre en el campo.
[0:11:12.00]-[0:11:14.00]  Yo no he vivido nunca en el campo, desde luego,
[0:11:14.00]-[0:11:16.00]  pero hemos vivido también del campo,
[0:11:16.00]-[0:11:19.00]  pero dormíamos y abiertaíamos la vida en el pueblo.
[0:11:19.00]-[0:11:21.00]  Pero ellos no, yo la vi en el campo.
[0:11:21.00]-[0:11:24.00]  Y lo cuajaban con eso y ellos decían que a él le salía bien,
[0:11:24.00]-[0:11:27.00]  pero como lo cuajó una poca vez, es que yo lo probé
[0:11:27.00]-[0:11:29.00]  y no me hacía mucha gracia ese gustillo,
[0:11:29.00]-[0:11:31.00]  pues yo no lo vuelvo a tomar.
[0:11:31.00]-[0:11:33.00]  Lo que uso siempre es el que se compra,
[0:11:33.00]-[0:11:35.00]  comprar uno de los tartarritos en la farmacia,
[0:11:35.00]-[0:11:37.00]  le echas un poquito de cuajo,
[0:11:37.00]-[0:11:39.00]  esperas que con la leche templadita,
[0:11:39.00]-[0:11:41.00]  cuando ya está templadita la leche, se lo echas,
[0:11:41.00]-[0:11:45.00]  le das una vueltecita, la tapa, que no se te enfríe,
[0:11:45.00]-[0:11:47.00]  y cuando ya pasa...
[0:11:47.00]-[0:11:50.00]  Pones siempre en el frasco del cuajo,
[0:11:50.00]-[0:11:52.00]  dice 45 minutos, pero yo,
[0:11:52.00]-[0:11:56.00]  hora, hora y media, por lo menos, tardo en cuajarse.
[0:11:56.00]-[0:11:59.00]  Esa cuaja le das vueltecita y ya deja que se asiente,
[0:11:59.00]-[0:12:01.00]  se le quita el suero, ese suero que tiene,
[0:12:01.00]-[0:12:04.00]  lo echan en los moldes y lo vas haciendo.
[0:12:04.00]-[0:12:06.00]  Es que a nosotros nos han contado de algunos pueblos
[0:12:06.00]-[0:12:09.00]  que se utilizan de cuajos, y no nos enteramos muy bien.
[0:12:09.00]-[0:12:11.00]  Otra clase de cuajos a lo mejor.
[0:12:11.00]-[0:12:13.00]  Sí, algo de, no sé, de animal, algo así.
[0:12:13.00]-[0:12:17.00]  Sí, de animal también, sí, de animal también lo hacían antiguamente,
[0:12:17.00]-[0:12:19.00]  pero yo no, yo esas cosas no te lo puedo explicar,
[0:12:19.00]-[0:12:22.00]  pero no lo sé, pero sí lo he oído yo decir,
[0:12:22.00]-[0:12:25.00]  de la cuajera que le decíamos nosotros,
[0:12:25.00]-[0:12:28.00]  la cuajera, una cosa que tiene el animal en el instintina.
[0:12:28.00]-[0:12:30.00]  Y eso lo secaban, lo lavaban lo que fuera,
[0:12:30.00]-[0:12:32.00]  como fuera lo secaban y luego eso no sé si lo molían,
[0:12:32.00]-[0:12:33.00]  si lo que harían.
[0:12:33.00]-[0:12:36.00]  Eso desde luego lo he oído, como me estás diciendo tú,
[0:12:36.00]-[0:12:40.00]  pero no lo he practicado, porque no sé cómo va eso, hija.
[0:12:40.00]-[0:12:42.00]  A ver qué más cosas.
[0:12:42.00]-[0:12:44.00]  ¿Cultivos y todo eso por aquí?
[0:12:44.00]-[0:12:46.00]  ¿Cultivos por aquí? Pues por aquí lo normal,
[0:12:46.00]-[0:12:51.00]  trigo, cebada, avena y cosas de esas es lo que se suele sembrar por aquí.
[0:12:51.00]-[0:12:54.00]  Aquí, ves tú, el maíz y esas cosas más.
[0:12:54.00]-[0:12:57.00]  El maíz, el algodón, ni el tabaco, como por ejemplo,
[0:12:57.00]-[0:12:59.00]  por la parte de Cáceres, también en Extremadura, ¿no?
[0:12:59.00]-[0:13:03.00]  Aquí no, aquí entre nosotros nada más que cereales de esos.
[0:13:03.00]-[0:13:07.00]  Trigo, cebada, avena, garbanzos, también los garbanzos.
[0:13:07.00]-[0:13:10.00]  Y luego no sé, pero otra cosa más así,
[0:13:10.00]-[0:13:15.00]  de otra clase de lugumbres, ni arroces, ni nada de esas cosas,
[0:13:15.00]-[0:13:17.00]  en la provincia de Badajoz incluso, cerca de Badajoz,
[0:13:17.00]-[0:13:19.00]  las regas de Badajoz, eso sí, siempre en arroz,
[0:13:19.00]-[0:13:21.00]  pero aquí nosotros por aquí, pero nosotros en nuestro pueblo no.
[0:13:21.00]-[0:13:28.00]  Nada más que eso que os digo. Cebada, avena, trigo y garbanzos.
[0:13:28.00]-[0:13:32.00]  Ah, esto es alga roba también, alga roba también.
[0:13:32.00]-[0:13:34.00]  Una cosa parecida a la lenteja, ¿no?
[0:13:34.00]-[0:13:36.00]  Pero alga roba también se embran.
[0:13:36.00]-[0:13:38.00]  Ya menos, aquí ya eso se usa menos.
[0:13:38.00]-[0:13:40.00]  Porque claro, aquí lo que pasa también con otros sitios,
[0:13:40.00]-[0:13:43.00]  lo que se puede hacer con máquina, porque a mano,
[0:13:43.00]-[0:13:46.00]  a mano para arrancar, por ejemplo, los garbanzos,
[0:13:46.00]-[0:13:47.00]  lo hacen ya con las cosechadoras, ¿qué hacen?
[0:13:47.00]-[0:13:51.00]  Pues parten los garbanzos y ya te pones a preparar
[0:13:51.00]-[0:13:53.00]  un plato de garbanzos y tienes más partidos que enteros.
[0:13:53.00]-[0:13:56.00]  Pero en fin, las cosas hay que ir llevando como va la cosa
[0:13:56.00]-[0:13:59.00]  y hasta que vamos a hacer. Pero antes era arrancado.
[0:13:59.00]-[0:14:02.00]  Así que...
[0:14:02.00]-[0:14:06.00]  ¿Y los campos que trabaja cada uno de los suyos o...?
[0:14:06.00]-[0:14:10.00]  Depende, claro. Nosotros sí, nosotros tenemos una explotación nuestra,
[0:14:10.00]-[0:14:15.00]  nuestra, nuestra. Hay que llevarlos, van arriendo o nada,
[0:14:15.00]-[0:14:19.00]  o van cuando los buscan a hacer un jornado o dos o tres,
[0:14:19.00]-[0:14:21.00]  o lo que haga falta, ¿no?
[0:14:21.00]-[0:14:23.00]  Pero vamos, que la mayoría de la gente que estamos llegando
[0:14:23.00]-[0:14:25.00]  en los pueblos, que sí todos tenemos algo.
[0:14:25.00]-[0:14:27.00]  Unas parcelitas, ¿no?
[0:14:27.00]-[0:14:29.00]  Que tienen... y aunque no tengan ganado, por ejemplo,
[0:14:29.00]-[0:14:32.00]  pero tienen para sembrar y para cultivar, ¿no?
[0:14:32.00]-[0:14:34.00]  Lo poquito que tengan, sí.
[0:14:34.00]-[0:14:37.00]  Pues en general la mayoría de las que estamos quedando en el pueblo,
[0:14:37.00]-[0:14:40.00]  la mayoría, la mayoría, tiene algunas parcelitas.
[0:14:40.00]-[0:14:43.00]  Lo que pasa es que hoy no se vive con una parcela ni con dos.
[0:14:43.00]-[0:14:45.00]  Hoy la vida, y a mí,
[0:14:45.00]-[0:14:47.00]  necesita muchísimas cosas que antes no.
[0:14:47.00]-[0:14:49.00]  Antes no teníamos teléfonos,
[0:14:49.00]-[0:14:51.00]  no teníamos agua corriente,
[0:14:51.00]-[0:14:54.00]  no teníamos la electricidad que tenemos ahora con los aparatos que tenemos,
[0:14:54.00]-[0:14:59.00]  de congeladores, de frigoríficos, de lavadoras, de todo.
[0:14:59.00]-[0:15:02.00]  Y todo eso necesita, claro, un gasto que antes no la había,
[0:15:02.00]-[0:15:04.00]  antes teníamos que acarrear el agua de la fuente.
[0:15:04.00]-[0:15:07.00]  La fuente esta no era así, no era así redondita como es ahora.
[0:15:07.00]-[0:15:09.00]  Era grande, como un pilamur grande,
[0:15:09.00]-[0:15:11.00]  para que bebieran las bestias, con tantas bestias había.
[0:15:11.00]-[0:15:13.00]  Claro, ya no las hay.
[0:15:13.00]-[0:15:17.00]  Y entonces, pues ahí teníamos que traer el agua que nos hacía falta a las casas.
[0:15:17.00]-[0:15:21.00]  De ahí, y de otras fuentes que si habéis pasado habréis visto algunas más por ahí,
[0:15:21.00]-[0:15:25.00]  hay cuatro, con lo menos cuatro, así grande, cuatro.
[0:15:25.00]-[0:15:27.00]  ¿Y para lavar la ropa antiguamente?
[0:15:27.00]-[0:15:29.00]  Lavar la ropa íbamos a la ribera,
[0:15:29.00]-[0:15:33.00]  a donde el pantano, no sé si habéis hablado alguien del pantano,
[0:15:33.00]-[0:15:36.00]  que tenemos que de ahí nos viene el agua corriente.
[0:15:36.00]-[0:15:39.00]  Pues la ribera, la ribera de Aldila se llama,
[0:15:39.00]-[0:15:44.00]  la ribera de Aldila, Aldila.
[0:15:44.00]-[0:15:46.00]  ¿Y cómo lo hacían, no sé para...?
[0:15:46.00]-[0:15:49.00]  Pues íbamos allí, y como allí estaba corriendo el agua,
[0:15:49.00]-[0:15:53.00]  teníamos unos lavaderos, digamos como unos batideros de piedra,
[0:15:53.00]-[0:15:57.00]  las poníamos, las poníamos de rodilla y allí las lavábamos,
[0:15:57.00]-[0:15:59.00]  las tendíamos en las piedretitas que le dieron al sol,
[0:15:59.00]-[0:16:02.00]  y cuando ya estaban, veíamos que estaban limpias, las cogíamos otra vez,
[0:16:02.00]-[0:16:05.00]  las enjuagábamos bien, las tendíamos luego en las paredes,
[0:16:05.00]-[0:16:08.00]  bueno, donde podíamos por allí, hasta que se secaba.
[0:16:08.00]-[0:16:12.00]  La doblábamos, la trabamos en los costales y nos lo traíamos para arriba.
[0:16:12.00]-[0:16:15.00]  Así que imagínate tú, imagínate lo que era.
[0:16:15.00]-[0:16:18.00]  Y íbamos no todos los días, ni muchísimo menos,
[0:16:18.00]-[0:16:21.00]  a lo mejor una vez a la semana, además entonces nadie la limpié hasta que hoy,
[0:16:21.00]-[0:16:24.00]  porque no podía verla, porque no podía, ni había ropa,
[0:16:24.00]-[0:16:27.00]  ni había cosas con la comodidad que tenemos hoy.
