[0:00:00.00]-[0:00:03.00]  ¿Nos quiere hablar un poco de la matanza? ¿Usted ha hecho matanza?
[0:15:00.80]-[0:15:07.80]  Como el gobierno dice que hay que sembrar girasol, dar un poco de subvención y no más que eso.
[0:15:07.80]-[0:15:09.80]  ¿Y cómo era el cultivo del trigo?
[0:15:09.80]-[0:15:11.80]  Del trigo lo veis, es actual, de la cebada.
[0:15:11.80]-[0:15:13.80]  ¿Y cómo es la cebada?
[0:15:13.80]-[0:15:25.80]  La cebada la tienen que traer de Mallorca o de donde sea, de la manera, y han calado y luego tienen que preparar la tierra y después con la máquina sembrarlo.
[0:15:25.80]-[0:15:39.80]  Y antiguamente pues era muy diferente que ahora, porque antes se tiraba a mano y se cegaba, se apañaba y ahora como las cosechadoras pues ha cambiado todo completamente.
[0:15:39.80]-[0:15:42.80]  ¿Y luego qué hacían con el trigo, con el grano?
[0:15:42.80]-[0:15:56.80]  Pues el grano ahora, pues nada, ahora la cosechadora y después lo llevan a la, ahora trigo se siembra poco, y lo llevan ahí a las paneras o vienen camiones y se vende.
[0:15:56.80]-[0:16:02.80]  Y antes, antes pues se recogía porque como no era tanto lo que lavaban tampoco las tierras.
[0:16:02.80]-[0:16:05.80]  ¿Y entonces con ese grano qué hacían antes, antiguamente?
[0:16:05.80]-[0:16:13.80]  Bueno pues igual se cerraba casa y después lo venían a comprarlo y se vendía.
[0:16:13.80]-[0:16:16.80]  ¿Y nunca molían?
[0:16:16.80]-[0:16:17.80]  ¿Cómo?
[0:16:17.80]-[0:16:18.80]  ¿No molían?
[0:16:18.80]-[0:16:29.80]  Si, moler, entonces se molía para pan, antiguamente se hacía pan, harina para pan, después ya era la harina y se daba la harina, se emasaba en casa.
[0:16:29.80]-[0:16:37.80]  Y luego después ya vino, que ya los panaderos daban en un fardel cinco kilos o lo que sea y traían el pan.
[0:16:37.80]-[0:16:46.80]  Y después ya todo eso ya se perdió, después ya daban cartillas y ahí basabas el vale en los panaderías.
[0:16:46.80]-[0:16:51.80]  Y luego después ahora ya nada, ahora ya va al pan y le compra.
[0:16:51.80]-[0:16:54.80]  Así que, la vida ha cambiado mucho.
[0:16:54.80]-[0:16:58.80]  Cuéntanos un poco cómo era esto del pan, usted llevaba el grano al molinero y ¿qué pasaba?
[0:16:58.80]-[0:17:01.80]  Llevábamos el grano y lo molíamos, la harina.
[0:17:01.80]-[0:17:10.80]  Y la harina pues se encerraba en casa y ya digo que luego después se daba al panadero o se emasaba en casa, porque se emasaba mucho en casa.
[0:17:10.80]-[0:17:14.80]  Luego se emasaba, para quince días había pan, que se ponía mozo.
[0:17:14.80]-[0:17:20.80]  Cuéntanos cómo era lo de hacer el pan, lo de emasarlo.
[0:17:20.80]-[0:17:34.80]  Pues el pan se vaciaba en una artesa la harina, se echaba la sal y después el agua se emasaba, se hacían los bollos así redonditos y se les dejaba con la levadura para que creciera.
[0:17:34.80]-[0:17:37.80]  Cuando el pan estaba allá es cuando se metía en el horno.
[0:17:37.80]-[0:17:40.80]  ¿Y cuánto tiempo se tenía allí?
[0:17:40.80]-[0:17:42.80]  ¿Cuánto tiempo se tenía en el horno?
[0:17:42.80]-[0:17:46.80]  Ah, pues eso ya se veía cuando el pan se ponía dorado o cocido.
[0:17:46.80]-[0:17:52.80]  Para que no estuviera cocido, eso ya era un gusto, había quienes les gustaba menos y otros más.
[0:17:52.80]-[0:17:53.80]  ¿Y luego?
[0:17:53.80]-[0:17:55.80]  Y luego pues a comerlo.
[0:17:55.80]-[0:17:57.80]  ¿Y hoy qué pasa?
[0:17:57.80]-[0:18:04.80]  Pues hoy va usted ya a una persona que vende aquí el pan, que lo trae de Mallorca.
[0:18:04.80]-[0:18:09.80]  Y si usted necesita una barra, pues va a una barra y si es un pan, un pan.
[0:18:09.80]-[0:18:12.80]  ¿Y sale más carbo así?
[0:18:12.80]-[0:18:22.80]  Hombre, la vida toda está más cara ahora que antes. Ahora también, no sé, qué decir, parece que se vive mejor ahora que antes.
[0:18:22.80]-[0:18:24.80]  Más cómodo, ¿no?
[0:18:24.80]-[0:18:29.80]  Pues no lo sé, el que lo tiene lo tiene y el que no lo tiene, no lo tiene.
[0:18:29.80]-[0:18:31.80]  No más que eso.
[0:18:31.80]-[0:18:34.80]  ¿Y el pan de entonces estaba más rico que el de ahora?
[0:18:34.80]-[0:18:39.80]  Bueno, y aún me parece a mí que sabía más rico entonces, eso es que había más hambre.
[0:18:39.80]-[0:18:41.80]  Es verdad.
[0:18:41.80]-[0:18:42.80]  ¿Y era tan blanco?
[0:18:42.80]-[0:18:51.80]  Porque se cogía un cacho de pan solo y sabía rosquillas y es que ahora pues, no, lo queremos ya, no sé, qué, cómo decir.
[0:18:51.80]-[0:18:54.80]  ¿Y el pan era blanco o era moreno?
[0:18:54.80]-[0:19:01.80]  Bueno, cuando hubo las caseros y cuando la guerra y todo eso, pues era negro con salvados, pero lo demás es blanco.
[0:19:01.80]-[0:19:04.80]  ¿Y por qué entonces después de la guerra era con salvados?
[0:19:04.80]-[0:19:07.80]  Pues porque había mucha necesidad.
[0:19:07.80]-[0:19:10.80]  Y era una forma de hacer que fuera más...
[0:19:10.80]-[0:19:17.80]  Y escaseó todo, como escaseaba el aceite y como escaseaba todas las cosas, como aquí y en todas partes, porque era España, la guerra de España.
[0:19:17.80]-[0:19:25.80]  Pues entonces escaseó todo y entonces pues se comía con salvados y gracias que salíamos al panadero cuando venía que nos dieran...
[0:19:25.80]-[0:19:33.80]  Si por ejemplo traía una ración de un pan, a ver si por favor nos daba otro porque no teníamos bastante.
[0:19:33.80]-[0:19:38.80]  ¿Y cuántos hornos había aquí en el pueblo? ¿Había hornos?
[0:19:38.80]-[0:19:40.80]  Sí.
[0:19:40.80]-[0:19:42.80]  ¿Pero particulares? ¿Todas las casas tenían un horno?
[0:19:42.80]-[0:19:52.80]  Había uno particular que iba a amasar, si quería que ya que no tenía un casa horno, pues iba a amasar en casa de esa hornera.
[0:19:52.80]-[0:19:59.80]  La daba lo que llevara por amasar y ya está. Los que no, pues amasaban en casa.
[0:20:02.80]-[0:20:06.80]  ¿Y esos hornos se conservan o...?
[0:20:06.80]-[0:20:08.80]  Hay pocos.
[0:20:08.80]-[0:20:10.80]  ¿Y qué han hecho con ellos?
[0:20:10.80]-[0:20:16.80]  No sé si habrá alguno, pocos habrá. Y ahora ya no se usan porque antes se usaban hasta para hacer los dulces.
[0:20:16.80]-[0:20:20.80]  Si hacían los dulces ahora pues ya no se aceptaban los dulces en casa.
[0:20:20.80]-[0:20:22.80]  ¿Entonces qué han hecho, tiraron?
[0:20:22.80]-[0:20:29.80]  No, al que le tiene le tiene por una cosa decirle que tiene un sitio bien y le tiene, pero no porque...
[0:20:29.80]-[0:20:37.80]  ¿El pan dice que fue salvado después de la guerra y ahora...?
[0:20:37.80]-[0:20:44.80]  Hoy el pan integral no es eso, esas barras, también parece que tienen algo de eso, no sé.
[0:20:44.80]-[0:20:52.80]  También hay barras de esas ahora con un poco de sabor que dicen que son tan buenas que ponen para las que enferman, es todo eso.
[0:20:52.80]-[0:20:55.80]  No sé cómo lo llaman. Integral.
[0:20:55.80]-[0:20:59.80]  ¿Y viste aquí con el vino, había vino, había viñedo, había viñas aquí?
[0:20:59.80]-[0:21:03.80]  Entonces había viñedo, ahora ya todo, ya tampoco hay viñedo.
[0:21:03.80]-[0:21:05.80]  No hay.
[0:21:05.80]-[0:21:07.80]  Aquí había mucho viñedo.
[0:21:07.80]-[0:21:09.80]  ¿Y qué ha pasado con las viñas?
[0:21:09.80]-[0:21:14.80]  Bueno, hay legas ahí en Mallorca, sí, hay viñas todavía. En Mallorca hay viñas, muchas viñas todavía.
[0:21:14.80]-[0:21:16.80]  ¿Y aquí qué ha pasado con ellas?
[0:21:16.80]-[0:21:32.80]  Bueno, pues aquí los pájaros ya comían mucho y ya se quería trabajar menos, porque hay muchos que han podido tener el viñedo y le han cepao, por lo que no querían.
[0:21:32.80]-[0:21:34.80]  ¿Qué le han hecho?
[0:21:34.80]-[0:21:38.80]  Quitar la cepa para la lumbre.
[0:21:38.80]-[0:21:41.80]  ¿Por qué? ¿Que ya no es rentable la del vino?
[0:21:41.80]-[0:21:47.80]  Yo creo que no, yo creo, vamos, porque para quitarlo, pues no sería.
[0:21:47.80]-[0:21:50.80]  ¿Y usted ha ido a la vendimia, recuerda cómo era?
[0:21:50.80]-[0:22:05.80]  La vendimia era muy bonita, muy bonita si pilaba el tiempo fresco, si le pilaba así de sol, pues cogía uno mucho galvana, se metía debajo de las cepas. Era muy bonito.
[0:22:05.80]-[0:22:10.80]  ¿Y iba entonces a la vendimia y el vino, al fin y al cabo el vino para qué?
[0:22:10.80]-[0:22:21.80]  El vino lo hacían en casa también. Aquí yo he ido a la vendimia para aquí para el pueblo, pero bueno, no era viñedo, era de por ahí de Melgar o de Mallorca o de eso.
[0:22:21.80]-[0:22:31.80]  Y se traía la uva para casa y tenía nagar y se pisaba, se metían los hombres descalzos a pisarlo y después de ahí iba a las carrales.
