[0:00:00.00]-[0:00:01.00]  Mira.
[0:05:04.00]-[0:05:13.00]  eso se van desuniendo las tripas, y se saca eso de adentro, el entresiego, y se mueve para las mosquillas.
[0:05:14.00]-[0:05:16.00]  ¿Y cómo se la vuelve? ¿Se hace una masa o algo?
[0:05:16.00]-[0:05:25.00]  Una masa grande, y ahora ahí se le echa comino, pimienta, y su sal.
[0:05:25.00]-[0:05:33.00]  Y avasá, y sale riquísimo.
[0:05:33.00]-[0:05:37.00]  ¿Y cuando hace una matanza va toda la familia, se reúne todo el pueblo?
[0:05:37.00]-[0:05:42.00]  Esto según, porque antes iba toda la gente, pero ahora no.
[0:05:42.00]-[0:05:50.00]  Ahora mata, cada uno mata, y como sea que tenga para los hijos, pero después de gente de Malleo,
[0:05:50.00]-[0:05:56.00]  si están cerquita, nosotros estamos aquí, mi hija me iba a ir muy cerca, mi hijo enfrente,
[0:05:56.00]-[0:06:00.00]  mata uno, va a entonar a aquel, mata al otro, baja al otro, y así.
[0:06:00.00]-[0:06:07.00]  Y en el campo pues matan a la gente en el campo, los que vienen de Sevilla, porque tienen finca, y eso es todo.
[0:06:07.00]-[0:06:11.00]  ¿Y los utensilios que se utilizan para la matanza, cómo son?
[0:06:11.00]-[0:06:23.00]  Pues eso, un lebrillo, lebrillo grande, la máquina es esa de picar, se pica, hasta cina en las máquinas, las máquinas grandes que hay así.
[0:06:23.00]-[0:06:25.00]  Y ya está.
[0:06:25.00]-[0:06:37.00]  Lo ponen las trepas en la misma, eso que tiene una, en la máquina de picar, tiene un embudo, otro que está dividido en dos cachos.
[0:06:37.00]-[0:06:45.00]  Uno pone un embudo y le baja la máquina y va cenando, y va cenando por el otro lado de las trepas,
[0:06:45.00]-[0:06:48.00]  coge las trepas, la va tirando y va cenando.
[0:06:48.00]-[0:06:53.00]  Y para picarle, quita la del embudo, y pica con eso solo.
[0:06:53.00]-[0:06:56.00]  Y eso es más.
[0:06:56.00]-[0:07:00.00]  Tiene guarro y tiene muchas ganas de matarlo.
[0:07:00.00]-[0:07:02.00]  ¿Porque luego se come mucho?
[0:07:02.00]-[0:07:07.00]  Ah, claro, pues todo se come, chorizo y esas cosas están buenísimas.
[0:07:07.00]-[0:07:10.00]  Los mataderos, los mataderos por ahí, esas, si les sigo.
[0:07:10.00]-[0:07:12.00]  ¿Y los mataderos por aquí cerca?
[0:07:12.00]-[0:07:16.00]  El matadero que hay aquí, pero está cerrado por la tarde.
[0:07:16.00]-[0:07:21.00]  Lo que hay es en la carretera, pues también igual.
[0:07:21.00]-[0:07:29.00]  Un comercio que hay ahí, junto a la carretera, pero ahí no matan, matan en los mataderos, pero por las tardes cierra.
[0:07:29.00]-[0:07:33.00]  Tarde el capudo, el matadero que dicen de capudo, es de tarde rato.
[0:07:33.00]-[0:07:37.00]  Llegando la hora de comer, cierran y ya, hasta mañana.
[0:07:37.00]-[0:07:39.00]  Así de eso es la magia mía.
[0:07:39.00]-[0:07:44.00]  ¿Y si nos cuentas poquito sobre las fiestas que había antes en el pueblo?
[0:07:44.00]-[0:07:46.00]  ¿Cómo era la vida cuando usted era joven?
[0:07:46.00]-[0:07:49.00]  Pues aquí la vida entonces era, yo que sé, cómo decirte.
[0:07:49.00]-[0:07:54.00]  Porque si es de tú, hoy como está la vida, está todo el mundo trabajando, en trabajos finos y bonitos.
[0:07:54.00]-[0:08:01.00]  Y antes qué era, con una hacha o unas herramientas para cortar leña y cortar por ahí,
[0:08:01.00]-[0:08:07.00]  el descorchado para descorchar, unas hachas a los árboles, que se ven ahí por enfrente.
[0:08:07.00]-[0:08:09.00]  Esa era la vida entonces aquí.
[0:08:09.00]-[0:08:11.00]  ¿La gente se dedicaba más al campo?
[0:08:11.00]-[0:08:17.00]  Al campo, porque solo que había, no había cosas de fábrica, de nada, ni nada, ni nada en el pueblo.
[0:08:17.00]-[0:08:21.00]  Hoy a lo mejor hay otras cosas, hasta los mataderos.
[0:08:21.00]-[0:08:24.00]  Ya hay una obra, pues hay máquinas y otras cosas.
[0:08:24.00]-[0:08:31.00]  Pero entonces no, entonces tú tenías que hacer un techo de arriba, con teja ahí,
[0:08:31.00]-[0:08:36.00]  y con teja te lo techaban los arbañiles, el arbañil, el peón y ya está.
[0:08:36.00]-[0:08:39.00]  ¿Y usted, sus padres por ejemplo, a qué se dedicaban?
[0:08:39.00]-[0:08:43.00]  Mis padres se dedicaban a sembrar en el campo.
[0:08:43.00]-[0:08:49.00]  Tenían una finca, Renda, y estábamos allí todos en el campo con las cabras, los juarros.
[0:08:49.00]-[0:08:54.00]  Mis hermanos se iban con los cochinos, otros con las cabras.
[0:08:54.00]-[0:09:03.00]  Después entró la guerra y se los llevaron a eso, a la guerra, a los dos.
[0:09:03.00]-[0:09:06.00]  Y estábamos solos, ponían mi padre Hugo.
[0:09:06.00]-[0:09:09.00]  Le coloco un poquito esto para que se vea mejor, ¿vale?
[0:09:09.00]-[0:09:16.00]  Mi padre ponía, llevaba agua para secar los secadores, para los dichos, para el guarro, para esto, para otro.
[0:09:16.00]-[0:09:23.00]  Un porquero, para guardar los cochinos, y así te vamos, ¿sabes?
[0:09:23.00]-[0:09:31.00]  Y yo, las bestias que se van para allá, que tienes que ir por agua, atrás que había un pozo,
[0:09:31.00]-[0:09:36.00]  que tienes que berrer las majas de los cochinos, que se van los guarros aquelos,
[0:09:36.00]-[0:09:39.00]  que ven por ellos y los traen, y esa es la más terrestre de todo.
[0:09:39.00]-[0:09:44.00]  Y hoy no, hoy están en casa, que si me voy a asomar aquí, que si me voy a asomar allí,
[0:09:44.00]-[0:09:49.00]  que si me voy a la discoteca y están las majas que yo oigo, y entonces no veo eso.
[0:09:49.00]-[0:09:55.00]  Entonces no, hoy ponen la lavadora a lavar, y entonces tenía que coger una maquina.
[0:09:55.00]-[0:10:03.00]  Ahora, yo, el cubo y el cesto, irme a la manera que estaban en las fuentes y aquí a lavar, a mano.
[0:10:03.00]-[0:10:06.00]  ¿Tenían algo especial para lavar?
[0:10:06.00]-[0:10:08.00]  Un desfregador.
[0:10:08.00]-[0:10:10.00]  ¿Y se iban todos en compañía del pueblo?
[0:10:10.00]-[0:10:15.00]  No, no, no, la mujer antes lavábamos ahí abajo, por si a mí me entra aquí por abajo,
[0:10:15.00]-[0:10:19.00]  a donde está la puente, y la puente va acá un poco, acá en tapas, el pozo y todo lo que había ahí.
[0:10:19.00]-[0:10:23.00]  Y ahí sí, había pila, íbamos todas las mujeres aquí del pueblo, que teníamos que lavar,
[0:10:23.00]-[0:10:27.00]  por ahí íbamos ahí a lavar, y en lo otro.
[0:10:27.00]-[0:10:29.00]  Esas eran las fiestas que teníamos.
[0:10:29.00]-[0:10:34.00]  Llegaba la feria, que era lo único que había, una feria, y la feria nada,
[0:10:34.00]-[0:10:37.00]  cuatro huertas por ahí, cuatro puestos que ponían,
[0:10:37.00]-[0:10:44.00]  y dos o tres casetas, y ya está, si tenías dinero para ir a tomar un café de iba,
[0:10:44.00]-[0:10:49.00]  y si no tenías dinero te aguantabas, y te ponías en la baranda de las casetas a ver de bailar los demás.
[0:10:49.00]-[0:10:51.00]  O sea que en las casetas hay que pagarlas.
[0:10:51.00]-[0:10:54.00]  Hombre, en las casetas, la entrada, tenías que pagarlas.
[0:10:54.00]-[0:10:57.00]  Esto es muy ando duro, un duro, que entonces era duro,
[0:10:57.00]-[0:11:01.00]  por los pagaba y andaba a bailar, pero el que no, decía no,
[0:11:01.00]-[0:11:05.00]  entró en la caseta, porque tenía a lo mejor dos hijos, tres, y el matrimonio,
[0:11:05.00]-[0:11:08.00]  y decía, loco, voy a gastar más de cinco euros esta noche,
[0:11:08.00]-[0:11:12.00]  para estar sentado, pues para estar sentado, me siento aquí por fuera.
[0:11:12.00]-[0:11:16.00]  Siempre ponían, a lo mejor otros, con una mijina de,
[0:11:16.00]-[0:11:20.00]  un cachino para poner un café y un vaso de vino o algo.
[0:11:20.00]-[0:11:22.00]  Pues no estamos aquí, no estamos en un café,
[0:11:22.00]-[0:11:26.00]  y con un café te tomaba, te venías a casa y venías más contenta que todas las cosas.
[0:11:26.00]-[0:11:28.00]  ¿Cuántos días dura la feria?
[0:11:28.00]-[0:11:30.00]  La feria tres días.
[0:11:30.00]-[0:11:32.00]  Tres días, y se sigue haciendo hasta ahora.
[0:11:32.00]-[0:11:35.00]  Ahora sí, ahora sí también, pero vamos ahora a trabajar ya,
[0:11:35.00]-[0:11:41.00]  porque vienen ya, traen a hacer una seta, y vienen, los traen de Sevilla,
[0:11:41.00]-[0:11:46.00]  los cantantes que, vamos, el man y así de esa gente,
[0:11:46.00]-[0:11:50.00]  y los pagan una noche o dos y vienen ahí a tocar a la caseta,
[0:11:50.00]-[0:11:53.00]  y los que quieran bailar, bailan ahí.
[0:11:53.00]-[0:11:57.00]  Un puesto que venga de Tujón, un puesto para vender cuatro cocinas y de acá.
[0:11:57.00]-[0:12:02.00]  No mucho, porque no hay tampoco gusto.
[0:12:02.00]-[0:12:05.00]  La feria de jamón era muy bonita, dos años o tres que la han hecho,
[0:12:05.00]-[0:12:10.00]  pero el año pasado y este año, me pagan, también no lo han hecho ni nada,
[0:12:10.00]-[0:12:16.00]  porque la feria de jamón, todos los mataderos, de aquí que hay no menos, tres mataderos,
[0:12:16.00]-[0:12:25.00]  ponían un puesto grande, con el jamón, con el chorizo, con el morcón, con todo, y a vender.
[0:12:25.00]-[0:12:27.00]  ¿Y qué le daban a jamón, porque aquí es muy famoso?
[0:12:27.00]-[0:12:30.00]  A jamón, pues mira, ahora ya jamón, dice, lo están dando muy arreglado,
[0:12:30.00]-[0:12:35.00]  en calle Juan Caballero, en la carretera, pero yo no me quiero creer en nada,
[0:12:35.00]-[0:12:40.00]  no sé, muy barato, un kilo, mi cuñada está ahí por encima, fue, dice, el otro día,
[0:12:40.00]-[0:12:44.00]  y dice, yo me he traído una paletiza, y me ha salido un 50 duro.
[0:12:44.00]-[0:12:49.00]  Digo, ya que eramos chicas, dice, una paletiza, un jamoncito muy seguro,
[0:12:49.00]-[0:12:53.00]  porque hay paletiza, que la paletiza tiene más hueso que el jamón,
[0:12:53.00]-[0:12:58.00]  porque jamón tiene más magro, y te escunde más el jamón, que la paletiza,
[0:12:58.00]-[0:13:03.00]  sacas su, las quitas mejor que la paletiza, la paletiza empieza a sacar, sacar,
[0:13:03.00]-[0:13:08.00]  te encuentras una plancha que hacen con un hueso grande, y ya está, se acabó el jamón.
[0:13:08.00]-[0:13:10.00]  ¿Y sabe cómo se prepara el jamón?
[0:13:10.00]-[0:13:16.00]  El jamón se sala, cómo no lo sabes, lo metas en sal, y lo tienes 22 días,
[0:13:16.00]-[0:13:24.00]  si es grande, si es grande le das un día o dos más, y lo coges, el jamón así, mira,
[0:13:24.00]-[0:13:32.00]  es este, ¿no? Yo lo he arreglado también, es así, ahora por aquí, tiene unas venas que le salen para acá,
[0:13:32.00]-[0:13:37.00]  y otra aquí junto al hueso, un hueso que tiene, a mitad de jamón va un hueso grande,
[0:13:37.00]-[0:13:45.00]  y brota por aquí, ahora coges tú, y haces así, lo estripas, estripamos, estripado,
[0:13:45.00]-[0:13:51.00]  y sale la sangre, primeramente busca esta vena, esta vena, y luego busca esta de aquí,
[0:13:51.00]-[0:13:55.00]  y lo de sangre, cuando ya está desangrado lo dejas colgado, esta noche,
[0:13:55.00]-[0:14:01.00]  la noche hay colgado, si lo puedes colgar en el frío, en el frío es un...
[0:14:02.00]-[0:14:05.00]  Anda que tengo la cabeza buena.
[0:14:05.00]-[0:14:10.00]  ¿Esto qué ponen ahora? ¿Qué tiene ahí en metido, como el congelador o otro?
[0:14:10.00]-[0:14:17.00]  No, se meten los carnes y las cosas, la nevera, coña, se olvida y no puedo,
[0:14:17.00]-[0:14:23.00]  y ahí lo tienen toda la noche metido, está fresquito, y al otro día sube otra vez,
[0:14:23.00]-[0:14:29.00]  ahora coge la sal en una bañera grande, hay bañeras grandes así para meter,
[0:14:29.00]-[0:14:34.00]  y si hay nada más un jamón o dos, pon un caucito en una bañera de que se,
[0:14:34.00]-[0:14:40.00]  antes activas que había, que se bañaban la gente, y ahora igual, porque hay algunas más chicas,
[0:14:40.00]-[0:14:46.00]  pues aquí ya tienen, muchos tienen así las bañeras esas, coge la hecha de sal por abajo,
[0:14:46.00]-[0:14:53.00]  bien cubierta esa, ahora coge jamón, aquí, hace así, lo mete, y si es son dos,
[0:14:53.00]-[0:15:00.00]  pues este con la pata para acá, y este con la pata, esta la pata, así,
[0:15:00.00]-[0:15:05.00]  pero todo esto, lleno de sal, conterrado, y aquí son este, ahora pone el otro,
[0:15:05.00]-[0:15:09.00]  y ahora le hecha toda esa ahí, mucha sal, mucha sal, lo deja colmado de sal ahí, bien ahí,
[0:15:09.00]-[0:15:14.00]  y los tiene los 22 días, y cuando los saca, pues vuelve otra vez igual,
[0:15:14.00]-[0:15:19.00]  a lavarlo con agua templa ahí que se lava, se escurre, y cuando ya te parece,
[0:15:19.00]-[0:15:25.00]  pues vas con una aguja que hay de palo, que pincha, y lo huele,
[0:15:25.00]-[0:15:31.00]  como no te da olor a nada, que te da olor a carne y a amo, pues vas a salarlo,
[0:15:31.00]-[0:15:38.00]  y ya está, y cuando lo coge y lo saca, le hace igual, lo lava con agua templa, y lo colgarlo,
[0:15:38.00]-[0:15:44.00]  y cuando pasan los días, empieza a poner blanco y eso, con una mitad de aceite,
[0:15:44.00]-[0:15:50.00]  y lo refrita todo, aceite, frita un poco, y ahora te haría riedad,
[0:15:50.00]-[0:15:56.00]  y lo deja ahí, lo cuelga y ahí ya está, ah colgado todo lo que tú quieras,
[0:15:56.00]-[0:16:01.00]  porque aquí mis gentes, mis malos, los cuelgan, y los tienen ahí,
[0:16:01.00]-[0:16:10.00]  y ahora, seguramente que también a mi hija tiene que ir a su bodega, y los tiene colgados,
[0:16:10.00]-[0:16:15.00]  tienes que partir un jamón, ahora lo coge y lo corta, lo corta,
[0:16:15.00]-[0:16:22.00]  y cuando se ve una cosa que le cortan aquí y aquí, y ponen el jamón aquí,
[0:16:22.00]-[0:16:27.00]  de palo lo hacen mis gentes, lo hacen muy bonito, y ahora ponen aquí el jamón,
[0:16:27.00]-[0:16:35.00]  claro, hasta aquí y van cortando, como lo de esto, que no lo de si que otro se coge el jamón aquí,
[0:16:35.00]-[0:16:40.00]  y venga y corta ahí sobre la mesa, pero pinga todo esto, lo estoy creyendo esto,
[0:16:40.00]-[0:16:46.00]  o lo ponen así, jala, no tienes que cogerlo con la mano, solamente está sujeto,
[0:16:46.00]-[0:16:55.00]  subió aquí y tiene un palo y aquí otro, una tabla, y aquí puesto, y ahora lo arregla.
[0:16:55.00]-[0:17:01.00]  ¿Y ya que estamos hablando de comida, platos típicos de aquí, que se cocinen?
[0:17:01.00]-[0:17:03.00]  ¿Algo rico de comer?
[0:17:03.00]-[0:17:12.00]  El rico de comer se hace cada uno el que puede, porque si tú puedes freír un pozo o asarlo,
[0:17:12.00]-[0:17:17.00]  si no lo puedes comprar y no puedes asar, a lo más no puedes ir porque en el bar siempre es más caro,
[0:17:17.00]-[0:17:21.00]  se lo tienes que comer, freírlo en tu casa.
[0:17:21.00]-[0:17:26.00]  ¿Pero no tienen un plato típico? Por ejemplo un cocido, o no.
[0:17:26.00]-[0:17:31.00]  Bueno, no te voy a decir, el plato, esto lo hacen aquí en Cadena,
[0:17:31.00]-[0:17:38.00]  en la Concha, ahí abajo cae también, ya están pozos y todas esas cosas, y dan de comer,
[0:17:38.00]-[0:17:45.00]  pero son mismas que tengo que freír un pozo, cuando los hago con esto, y los frío, ¿sabes?
[0:17:45.00]-[0:17:50.00]  Esto es mi especie, mi cosa, y a mi costumbre me sale bueno.
[0:17:50.00]-[0:17:57.00]  Que llega una Navidad y queremos cambiar, pues cojo el lomo, compro un lomo fresco,
[0:17:57.00]-[0:18:03.00]  lo abro aquí, así, y se va a cortar, cortar, cortar, y le voy dando vuelta, vuelta, vuelta,
[0:18:03.00]-[0:18:08.00]  y hago un bistecín grande, sin llegar abajo se va a cortar, se va a cortar, y se hace así en grande.
[0:18:08.00]-[0:18:17.00]  Ahora cojo pico carne, de puro, y de lo mismo recorte de jamón, del lomo y esas cosas,
[0:18:17.00]-[0:18:25.00]  y le planta y le ponen un huevo o dos, y lo bate, y hace una masa, como los arcanfiles,
[0:18:25.00]-[0:18:33.00]  se habrá lo que son los arcanfiles, y se hace su masa y ahora lo pone esto aquí, en el lomo aquí,
[0:18:33.00]-[0:18:38.00]  coge y luego dobla, y lo va liando, lo va liando, lo va liando, y lo deja liadito,
[0:18:38.00]-[0:18:46.00]  y ahora coge con los hilos y los ata aquí, hace tres o cuatro cuerdas, que sea,
[0:18:46.00]-[0:18:52.00]  y el hilo así enviado, para que no se abra, no se salga lo que tiene dentro, y eso está,
[0:18:52.00]-[0:19:00.00]  primeramente lo hago en una sartén, pero grande, una sartén grande, de esta parte, le doy vuelta,
[0:19:00.00]-[0:19:06.00]  ajito y todo eso picado en la misma carne, y le voy de la otra vuelta, y cuando salga ahí he cogido
[0:19:06.00]-[0:19:12.00]  los cuatro cachos que tiene, porque tiene cuatro partes, le echo un poquito de vino y de agua ahí,
[0:19:12.00]-[0:19:18.00]  y se cueza, y cuando se queda el caldo, el caldo, el caldo pelado, que ya se ha bebido todo, todo, todo,
[0:19:18.00]-[0:19:25.00]  lo saca y lo pone en el plato para cortarlo, para hacer los rodajas así, y acá, está tibio el lomo,
[0:19:25.00]-[0:19:34.00]  el lomo está tibio, esa cosa así, yo la he hecho en muchos sitios, si luego cuando me iban las matanzas,
[0:19:34.00]-[0:19:41.00]  pues me obligaban a hacer, uno una cosa, o el otro, o en uno había una montería que había no sé cuántos hombres,
[0:19:41.00]-[0:19:49.00]  y el dueño dice, vas usted a tener que hacer hoy un potaje, mira usted, yo le he echado los ormanzos en agua,
[0:19:49.00]-[0:19:54.00]  porque aquí esta gente hoy como los altos, digo, pues le ofreí usted carne, dice, no, no, tú le haces el potaje,
[0:19:54.00]-[0:20:01.00]  un potaje que tú, y bueno, yo, qué potaje le haces aquí, en el campo, le digo, hazte un potaje, que a ver cómo,
[0:20:01.00]-[0:20:08.00]  un potaje, yo digo, pues te vas a caer, ya lo había hecho en otro, para ir para, para terminar el castilblanco,
[0:20:08.00]-[0:20:14.00]  y digo, bueno, pues lo voy a hacer, pues es que coci mis garanzos, una gota, porque una gota grande así,
[0:20:14.00]-[0:20:20.00]  para cocer tanto ormanzo que ya, pero una gota grande, que tienen los tios esos, para los cazadores y eso,
[0:20:20.00]-[0:20:28.00]  y ahora cogí una tripa grande así, las que estaban llenando morcilla, digo, llenan esa tripa,
[0:20:28.00]-[0:20:34.00]  chivita pa' que llenarla de sangre, una tripa, pero de la morcilla del puchero, sangre que se le llama,
[0:20:34.00]-[0:20:44.00]  llenaron mi tripa, me las traje en un perro grande, a herverla un poco, a cocela un poco, y una cabeza grande,
[0:20:44.00]-[0:20:54.00]  esto de hocico y la octoreja del guarro, coci en otra otra, un pedazo de tocino de panceta,
[0:20:54.00]-[0:21:04.00]  la otra estira de panceta, y huesos del guarro de las palpitas y del lomo, pues ya todo aquello coci,
[0:21:04.00]-[0:21:10.00]  cuando estaba, digo, ahora lo voy a juntar, junté todo aquello con los garanzos, y cuando lo junté todo con los garanzos,
[0:21:10.00]-[0:21:19.00]  me fui allá a un, a un eso que había, una romaza, romaza, no sé si ustedes saben, me sé acerca, eran romazas y cogí romazas,
[0:21:19.00]-[0:21:25.00]  una vez las preparé muy bien y se las eché, y cuando ya estaba cocido, le digo al dueño, digo, mira usted,
[0:21:25.00]-[0:21:31.00]  que esto ya está cocido, que ustedes llamados hombres, que pueden comer cuando quieran, ya venían los hombres de casa,
[0:21:31.00]-[0:21:39.00]  y entonces, dice, pues ando ustedes uno, yo no, yo no voy a apartar ni a nada, entonces estoy aquí amarrando todo eso,
[0:21:39.00]-[0:21:45.00]  y yo estoy aquí en mi trabajo, ustedes cogen la olla y la ponen en medio de la mesa, la mesa, un pan de realidad,
[0:21:45.00]-[0:21:51.00]  que ya tienen los cazadores aquí en pal campo, digo, ponse de la mesa ahí la olla, y ahora con el cazo,
[0:21:51.00]-[0:21:59.00]  cada uno se va apartando en su plato lo que quiere, así, el primero venga, yo le saqué toda la, toda la brinda,
[0:21:59.00]-[0:22:06.00]  y saqué todo en una batalla grande, y luego les dejé aquello, y ahora quería que todo fuera pa',
[0:22:06.00]-[0:22:14.00]  y me quería, me les dijiste, porque había hecho, ay, mira usted, que bueno, y esa comida, digo, bueno, garbanzos guisados,
[0:22:14.00]-[0:22:22.00]  no, no, algo tengo, digo, un campero, eso es un potaje campero, pues niño, le puse el potaje campero,
[0:22:22.00]-[0:22:31.00]  y cada día que te iba a la matanza, tenía que hacer un potaje campero, ya veía que ese, corría otro, y tenía que hacer el potaje campero,
[0:22:31.00]-[0:22:41.00]  y esa era la lucha que había, llegaba la aceituna, y aquí del pueblo, a coger toda la gente aceituna aquello,
[0:22:41.00]-[0:22:49.00]  se hace mucho aceite aquí, ahí había dos molinos y lo hacían, pero ahora no, ahora se van pa' ir pa' abajo, pa' cantillar,
