[0:00:00.00]-[0:00:02.00]  ¿Podemos estar con ustedes?
[0:05:50.00]-[0:06:14.00]  Aquí se llevaba la norma entonces de hacer una cría, o sea tenías una hembra, la echabas al macho y paría pues 8, 10, hasta 12, hasta 14, hasta 20 han parido también de una hembra
[0:06:14.00]-[0:06:20.00]  y luego te dejabas para ti, para otro año.
[0:06:20.00]-[0:06:29.00]  Y esa animal misma la engordabas cuando terminabas de criar, la engordaban y luego la mataban.
[0:06:29.00]-[0:06:35.00]  ¿Y al matarla, cómo la mataban? ¿La colgaban y la abrían o qué hacían con ella?
[0:06:35.00]-[0:06:45.00]  Una vez que estaba ya pelada, se colgaba y se le pegaba fuego, como te digo yo, y se le socarraba el pelo que quedaba ahí.
[0:06:45.00]-[0:06:52.00]  Y entonces ya se procedía a escapirla.
[0:06:52.00]-[0:06:53.00]  ¿Hiciste usted?
[0:06:53.00]-[0:06:54.00]  He hecho muchas veces.
[0:06:54.00]-[0:06:56.00]  ¿Sí? ¿Y cómo lo hizo?
[0:06:56.00]-[0:06:58.00]  Eso lo partía muy viejo.
[0:06:58.00]-[0:07:02.00]  Era una residencia para viejos aquí.
[0:07:02.00]-[0:07:04.00]  ¿De dónde sois?
[0:07:04.00]-[0:07:05.00]  De Madrid.
[0:07:05.00]-[0:07:07.00]  Pues de Madrid.
[0:07:07.00]-[0:07:13.00]  ¿Y usted entonces ha matado un cerdo y lo ha abierto? ¿Y cómo lo ha hecho?
[0:07:13.00]-[0:07:15.00]  He matado, pero muchos, muchos.
[0:07:15.00]-[0:07:25.00]  Cuéntennos una vez que lo haya matado, ¿qué le pasó, alguna anécdota o algo? ¿Qué hizo con el cerdo?
[0:07:25.00]-[0:07:34.00]  Primero le metías el cuchillo y luego en vez de ir al sitio, iba por otro lado.
[0:07:34.00]-[0:07:35.00]  ¿Por otro lado?
[0:07:35.00]-[0:07:36.00]  Por otro lado.
[0:07:36.00]-[0:07:37.00]  ¿Por dónde?
[0:07:37.00]-[0:07:46.00]  Como te diría yo, como se ve aquí, iba por entre la paretilla, porque hay que buscar esto, esto, aquí hay que buscar eso, ¿sabes?
[0:07:46.00]-[0:07:47.00]  ¿El garnate?
[0:07:47.00]-[0:08:04.00]  El garnate, ahí donde, sí, donde tiene que salir el... y si no le das por ahí, se va por otro lado el cuchillo y ahí venga a pinchar y hacerle parecer al animal hasta que pegaba.
[0:08:04.00]-[0:08:10.00]  Y algunas veces se moría de disgusto.
[0:08:10.00]-[0:08:19.00]  Ya cuando estaba, ya cuando estaba eso que ya estaba arreglado de sopar, de todo, ahora por suerte ya lo ha cortado.
[0:08:19.00]-[0:08:21.00]  ¿Y haces las piezas?
[0:08:21.00]-[0:08:24.00]  Yo uso todas las piezas que tiene.
[0:08:24.00]-[0:08:25.00]  ¿Sí?
[0:08:25.00]-[0:08:26.00]  Cuéntennos la.
[0:08:26.00]-[0:08:28.00]  Ah, eso de contadas, no, pero...
[0:08:28.00]-[0:08:29.00]  Hombre, alguna, yo qué sé.
[0:08:29.00]-[0:08:31.00]  No, cuéntanos, no, que diga cuáles son, digo.
[0:08:31.00]-[0:08:34.00]  Las piezas, ¿qué piezas son?
[0:08:34.00]-[0:08:43.00]  Pues tiene, contándolos, lo primero, la papada, ¿sabes lo qué es?
[0:08:43.00]-[0:08:44.00]  No.
[0:08:44.00]-[0:08:51.00]  La papada, la papada ya se quedaba, se encorcataba la papada y luego ya se cortaba la panceta.
[0:08:51.00]-[0:08:52.00]  La panceta.
[0:08:52.00]-[0:08:54.00]  La panceta, si sabes lo qué es.
[0:08:54.00]-[0:08:56.00]  La barrieta, la barriga.
[0:08:56.00]-[0:08:57.00]  ¿Esto?
[0:08:57.00]-[0:09:06.00]  Sí, esto. Y luego después tenía de ahí para acá otros dos que eran los blancos, el torino, torino.
[0:09:06.00]-[0:09:14.00]  Y luego tenía pues las extremidades, los perniles, y los espaldares o delanteros.
[0:09:14.00]-[0:09:16.00]  El antico palipilio.
[0:09:16.00]-[0:09:17.00]  Palipilios.
[0:09:17.00]-[0:09:27.00]  El día tiene tres cosas, y aquí claro, algunas veces, aquí en Los Españoles le decimos muchas cosas, muchas cosas lo mismo.
[0:09:27.00]-[0:09:28.00]  Claro.
[0:09:28.00]-[0:09:31.00]  O muchas cosas a lo mismo, eso.
[0:09:31.00]-[0:09:39.00]  Y aquí, la persona que mataba al cochino, ¿tenía algún nombre especial o lo mataba cualquiera?
[0:09:39.00]-[0:09:44.00]  Pues mira, esto salió de matado porque nosotros hemos vivido en una masana.
[0:09:44.00]-[0:09:45.00]  ¿En una masana?
[0:09:45.00]-[0:09:48.00]  En una masana, en una casa de campo.
[0:09:48.00]-[0:09:50.00]  Y ahora la tengo, ¿no?
[0:09:50.00]-[0:09:51.00]  ¿Y a ella?
[0:09:51.00]-[0:09:56.00]  Pues voy alguna vez, ahora ya no tengo vehículo.
[0:09:56.00]-[0:09:59.00]  Pero antes iba, y vivía allí.
[0:09:59.00]-[0:10:05.00]  Y la verdad, va desde aquí, cuando mientras que estuve en activo, y estando humildad también, pero ahora es que ya no puedo.
[0:10:05.00]-[0:10:08.00]  No, pero antes vivía allí, en la masana.
[0:10:08.00]-[0:10:09.00]  Sí, sí, sí, allí, allí.
[0:10:09.00]-[0:10:11.00]  Y con su familia y todo.
[0:10:11.00]-[0:10:12.00]  Sí, sí, sí.
[0:10:12.00]-[0:10:13.00]  Y todo, y todo, y todo.
[0:10:13.00]-[0:10:15.00]  Qué curioso.
[0:10:15.00]-[0:10:18.00]  ¿Y ustedes han sido agricultores también?
[0:10:18.00]-[0:10:21.00]  Pregunta, pregunta. Pregunta.
[0:10:21.00]-[0:10:25.00]  ¿Y allí vivían solo ustedes o más gente?
[0:10:25.00]-[0:10:30.00]  Mira, pues ahí vivíamos, también una hermana mía vivía allí también.
[0:10:30.00]-[0:10:33.00]  Vivían, teníamos cada uno nuestra vivienda.
[0:10:33.00]-[0:10:36.00]  Era de mi padre y nos la partimos para los dos.
[0:10:36.00]-[0:10:39.00]  Y vivíamos los dos aquí en la masana.
[0:10:39.00]-[0:10:44.00]  Y luego vinimos aquí, y esta casa también era de mis padres, y también la partimos para los dos.
[0:10:44.00]-[0:10:46.00]  ¿Y allí hacían matanzas?
[0:10:46.00]-[0:10:47.00]  Allí hacíamos matanzas.
[0:10:47.00]-[0:10:48.00]  Sí.
[0:10:48.00]-[0:10:49.00]  Ellos mataban y yo también.
[0:10:49.00]-[0:10:50.00]  Sí.
[0:10:50.00]-[0:10:51.00]  Y los arreglaba yo.
[0:10:51.00]-[0:10:54.00]  ¿Y la persona que lo mataba no tenía ningún nombre especial, ni nada de eso?
[0:10:54.00]-[0:11:01.00]  Ah, sí. Pues mira, esto, que te digo que viene porque estábamos en la masana.
[0:11:01.00]-[0:11:03.00]  Gracias porque los tenis lavados.
[0:11:03.00]-[0:11:04.00]  Viene...
[0:11:04.00]-[0:11:07.00]  Luego saltas por ahí y dirás, mira el sentíete.
[0:11:07.00]-[0:11:10.00]  Que no, que no. Sí, esto va a ser para nosotros, de verdad.
[0:11:10.00]-[0:11:17.00]  Aquí había uno que era el aguacil del pueblo, en vida mía.
[0:11:17.00]-[0:11:19.00]  Era el matachín.
[0:11:19.00]-[0:11:22.00]  El aguacil y era el matachín.
[0:11:22.00]-[0:11:24.00]  Y ese era el que mataba al cerdo.
[0:11:24.00]-[0:11:26.00]  Ese es el que mataba al cerdo y todo el pueblo.
[0:11:26.00]-[0:11:27.00]  Sí.
[0:11:27.00]-[0:11:32.00]  Y como estábamos en la masada...
[0:11:32.00]-[0:11:37.00]  Perdona.
[0:11:37.00]-[0:11:45.00]  Pues le tenían que avisar al aguacil o al matachín para que viniera a ver que ya le venía bien.
[0:11:45.00]-[0:11:49.00]  A ver que ya le venía bien el venir a matar al cerdo.
[0:11:49.00]-[0:11:59.00]  Como a lo primero pues aún venía bien, le venía un poco eso y con mucha humildad y todo eso.
[0:11:59.00]-[0:12:06.00]  Pero luego después, según fue pasando los años, ya iba siguiendo cada vez más, cada vez más ese día.
[0:12:06.00]-[0:12:10.00]  Como que había aquí un tijerero.
[0:12:10.00]-[0:12:11.00]  Un tijerero.
[0:12:11.00]-[0:12:15.00]  Un tijerero que hacía tijeras y hacía cuchillos.
[0:12:15.00]-[0:12:16.00]  ¿Sabes?
[0:12:16.00]-[0:12:17.00]  Sí.
[0:12:17.00]-[0:12:24.00]  Entonces, a mi padre ya se le subió el gato a la parra y dijo, este tío no viene aquí más.
[0:12:24.00]-[0:12:34.00]  Y le paga la mula y metenme la mula, echa el mere de comer y luego después les cobraba pues algo demasiado.
[0:12:34.00]-[0:12:36.00]  El que mataba al cerdo cobraba.
[0:12:36.00]-[0:12:37.00]  Cobraba.
[0:12:37.00]-[0:12:38.00]  Algo demasiado.
[0:12:38.00]-[0:12:39.00]  Sí.
[0:12:39.00]-[0:12:40.00]  No lo ajusto.
[0:12:40.00]-[0:12:42.00]  Y además, con todas esas exigencias.
[0:12:42.00]-[0:12:51.00]  Pues ya le hicieron el cuchillo, que aún lo tengo yo ahí, y el gancho.
[0:12:51.00]-[0:12:54.00]  Y con el cuchillo y el gancho aquel ya se empezó a matar él.
[0:12:54.00]-[0:12:56.00]  Pues yo aprendí, ¿no?
[0:12:56.00]-[0:12:57.00]  Con él aprendí.
[0:12:57.00]-[0:12:58.00]  ¿Y recuerda cuánto le pagaban?
[0:12:58.00]-[0:12:59.00]  No, eso ya no.
[0:12:59.00]-[0:13:00.00]  ¿No?
[0:13:00.00]-[0:13:02.00]  No, eso no, porque a lo mejor tenía yo...
[0:13:02.00]-[0:13:03.00]  Vamos, ¿le pagaban dinero?
[0:13:03.00]-[0:13:04.00]  Sí, le pagaban dinero.
[0:13:04.00]-[0:13:05.00]  ¿Dinero?
[0:13:05.00]-[0:13:06.00]  Claro.
[0:13:06.00]-[0:13:07.00]  Claro.
[0:13:07.00]-[0:13:10.00]  Y luego después el jamón.
[0:13:10.00]-[0:13:14.00]  ¿Se trataba de alguna forma especial para que no se pusiera mal o...?
[0:13:14.00]-[0:13:16.00]  Oh, y eso había de todas.
[0:13:16.00]-[0:13:17.00]  ¿Sí?
[0:13:17.00]-[0:13:23.00]  Había que se trataban a lo mejor a todos igual y unos salían buenos y otros no salían buenos.
[0:13:23.00]-[0:13:25.00]  ¿Y por qué se trataban?
[0:13:25.00]-[0:13:26.00]  ¿Qué? ¿Con qué?
[0:13:26.00]-[0:13:29.00]  Sí, que por qué se trataban... ¿por qué se trataba el jamón?
[0:13:29.00]-[0:13:30.00]  ¿Qué se hacía con él?
[0:13:30.00]-[0:13:31.00]  ¿Sanarlo?
[0:13:31.00]-[0:13:32.00]  Ah, eso.
[0:13:32.00]-[0:13:33.00]  Sí.
[0:13:33.00]-[0:13:34.00]  Sí, se salaba.
[0:13:34.00]-[0:13:35.00]  Sí.
[0:13:35.00]-[0:13:45.00]  Y luego se le echaban unas piedras de encima, estaban 15 días allí para que soltaban lo que tenían y luego pues a cobrarlos y ya.
[0:13:45.00]-[0:13:54.00]  Pero no había, yo qué sé, no le podía entrar algún tipo de enfermedad al jamón si no se le hacía ese tratamiento o algo.
[0:13:54.00]-[0:13:59.00]  ¿Por qué se le trataba? Yo qué sé, le podía entrar...
[0:13:59.00]-[0:14:01.00]  Que no se secaba bien.
[0:14:01.00]-[0:14:02.00]  No, entraba una...
[0:14:02.00]-[0:14:04.00]  ¿La mosca o algo de eso?
[0:14:04.00]-[0:14:08.00]  Sí, entraba una cosa que le decían... a ver si me acuerdo.
[0:14:08.00]-[0:14:10.00]  ¿Que cagan los jamones?
[0:14:10.00]-[0:14:12.00]  Sí, sí, sí. Se echaban sartón.
[0:14:12.00]-[0:14:13.00]  ¿Sartón?
[0:14:13.00]-[0:14:14.00]  Sartón.
[0:14:14.00]-[0:14:15.00]  ¿Qué es eso?
[0:14:15.00]-[0:14:20.00]  Que es una cosa que lo cría él, el mismo jamón, que son gusanillos.
[0:14:20.00]-[0:14:22.00]  ¿Qué?
[0:14:22.00]-[0:14:31.00]  Pues se empezaba a ir por entre carne y tocino, por las piernas y se iba metiendo.
[0:14:31.00]-[0:14:37.00]  Ah, pues eso, pues se echaban una mejor... yo ni lo sé eso.
[0:14:37.00]-[0:14:40.00]  ¿Con la sal? ¿Por eso se salaba y se ponía el peso?
[0:14:40.00]-[0:14:43.00]  No, no, pero eso ya era después de cuando se colgaban.
[0:14:43.00]-[0:14:44.00]  Ah, después.
[0:14:44.00]-[0:14:48.00]  Sí, después. En la sal no, en la sal no se colgaban.
[0:14:48.00]-[0:14:54.00]  Y algunas salían buenas, otras pues hasta había que...
[0:14:54.00]-[0:14:58.00]  era lo menos, eso era lo menos.
[0:14:58.00]-[0:15:05.00]  ¿Y de qué hablábamos? ¿De que eso, de que venía el aguatil?
[0:15:05.00]-[0:15:10.00]  Sí, pues luego mi padre ya se les mataba, hasta los vecinos se les mataba.
[0:15:10.00]-[0:15:15.00]  Y ya pues, ya no ha venido más, ya luego buscando eso pues ya los arreglaba yo.
[0:15:15.00]-[0:15:17.00]  ¿Y te lavaban también?
[0:15:17.00]-[0:15:18.00]  No, no, no, no, no.
[0:15:18.00]-[0:15:19.00]  No, no, no, no, no, no.
[0:15:19.00]-[0:15:20.00]  ¿A casa solo?
[0:15:20.00]-[0:15:21.00]  Ah, ¿solo para casa?
[0:15:21.00]-[0:15:25.00]  Hombre, y si salía, si salía un amigo pues también se lo hacía.
[0:15:25.00]-[0:15:28.00]  ¿Y se juntaban y hacían las matanzas juntos?
[0:15:28.00]-[0:15:31.00]  Bueno, sí, a lo mejor se juntaban.
[0:15:31.00]-[0:15:37.00]  ¿Te recuerda alguna matanza? ¿Alguna que se divirtiera mucho o que le pasara algo?
[0:15:37.00]-[0:15:42.00]  Bueno, pues sí, a lo mejor como estábamos en las masadas, pues a lo mejor mataba uno,
[0:15:42.00]-[0:15:46.00]  pues iba, iban a lo mejor todos allí y luego al otro lado.
[0:15:46.00]-[0:15:47.00]  ¿Sí?
[0:15:47.00]-[0:15:49.00]  Sí, sí.
[0:15:49.00]-[0:15:57.00]  ¿Qué más? Pues ya nada, cuando estaba colgado ya el cerdo, ya no había más que hacer.
[0:15:57.00]-[0:16:00.00]  ¿Y se hacían chorizos y morcillas?
[0:16:00.00]-[0:16:01.00]  Ah, sí, sí, hombre, claro.
[0:16:01.00]-[0:16:03.00]  ¿Y cómo se hacían?
[0:16:03.00]-[0:16:07.00]  Bueno, los morcillas, eso te lo dirá mi señora.
[0:16:07.00]-[0:16:08.00]  No, yo no, no, no.
[0:16:08.00]-[0:16:12.00]  Pues mira, los morcillas, lo primero que hacen a la cena son las morcillas.
[0:16:12.00]-[0:16:19.00]  Se recoge la sangre, se le da vueltas para que no se cuaje,
[0:16:19.00]-[0:16:26.00]  se le da vueltas y se mantiene ya, como es en el invierno que hace frío aquí,
[0:16:26.00]-[0:16:32.00]  mucho frío, como ahora Navidad, pues bueno, pues eso no tiene novedad.
[0:16:32.00]-[0:16:35.00]  Se tiene en un sitio que no sea como aquí.
[0:16:35.00]-[0:16:39.00]  ¿Algún instrumento para...?
[0:16:39.00]-[0:16:40.00]  Sí, también.
[0:16:40.00]-[0:16:45.00]  Pues luego, eso, pues cocían el arroz y le echaban las especias que querían
[0:16:45.00]-[0:16:49.00]  y hasta de eso, de los piñones, de esos también, piñones.
[0:16:49.00]-[0:16:50.00]  ¿Piñones?
[0:16:50.00]-[0:16:57.00]  Y en un vaso, que está, lo tenemos allá arriba de Acelas, un vaso así, así largo,
[0:16:57.00]-[0:16:59.00]  te diría yo...
[0:16:59.00]-[0:17:03.00]  Pero nada, que la tierra, ya no hay motivo para que la tierra sea así,
[0:17:03.00]-[0:17:05.00]  ya está, lo vayas tú a hacer otra...
[0:17:05.00]-[0:17:07.00]  ¿Cómo que no?
[0:17:07.00]-[0:17:09.00]  Si lo prefiero.
[0:17:09.00]-[0:17:13.00]  A los tiempos lo hacían, era una cosa así...
[0:17:22.00]-[0:17:24.00]  Y lo acababa así.
[0:17:24.00]-[0:17:40.00]  Y aquí, y aquí lo iba, pues tenía una cosa que aquí se agachaba y se metía por ahí.
[0:17:40.00]-[0:17:47.00]  Y por aquí salía, aquí se llenaba de pasta de arroz.
[0:17:47.00]-[0:17:48.00]  ¿Y aquí qué se ponía?
[0:17:48.00]-[0:17:50.00]  Y aquí se ponía la tripa, ahí.
[0:17:50.00]-[0:17:51.00]  Sí, la tripa.
[0:17:51.00]-[0:17:53.00]  Más o menos largo, más largo, ¿sabes?
[0:17:53.00]-[0:17:54.00]  Sí.
[0:17:54.00]-[0:17:59.00]  Y ahí se metía la tripa y entonces se echaba por ahí y se apretaba con el palo, así,
[0:17:59.00]-[0:18:01.00]  que venía y apretaba.
[0:18:01.00]-[0:18:06.00]  Y cuando ya se había gastado, se levantaba y echaba otra vez.
[0:18:06.00]-[0:18:08.00]  Eso le decían la jeringa.
[0:18:08.00]-[0:18:09.00]  La jeringa.
[0:18:09.00]-[0:18:18.00]  Sí, a lo mejor había una jeringa para... yo creo que era de diez o doce.
[0:18:18.00]-[0:18:22.00]  Y a lo primero decían aquí, decían, la jeringa y los dos reales.
[0:18:22.00]-[0:18:32.00]  Porque cuando se lo llevaba otra que no era socia de eso, pues tenía que dar los dos reales.
[0:18:32.00]-[0:18:40.00]  Y luego venía lo del chorizo, lo del chorizo y hacer los narizas.
[0:18:40.00]-[0:18:43.00]  Porque una cosa es la nariz, otra cosa es chorizo.
[0:18:43.00]-[0:18:47.00]  ¿Y qué diferencia había entre una cosa y otra en hacerlo?
[0:18:47.00]-[0:18:54.00]  Se impuye según él echa de pimiento o no echa de pimiento colorado.
[0:18:54.00]-[0:19:02.00]  A lo mejor le echaban a la longaniza, le echaban las especias que fueran, canela, pimienta y eso,
[0:19:02.00]-[0:19:07.00]  lo mejor lo sabían los mugetitos.
[0:19:07.00]-[0:19:15.00]  Y los chorizos, pues eso, le echaban un poco picante o no picante, pero mucho pimiento colorado.
[0:19:15.00]-[0:19:26.00]  Y luego es que de los chorizos a lo mejor se mataba una cabra o una hueja, lo que tenías, y eso era para los chorizos.
[0:19:26.00]-[0:19:28.00]  ¿Para hacer los chorizos?
[0:19:28.00]-[0:19:33.00]  Los chorizos, sí. Y las longanizas eran todas de cerdo.
[0:19:33.00]-[0:19:41.00]  ¿Y no tenían miedo, yo qué sé, alguna vez en una matanza que no han matado al cerdo así muy bien y muy rápidamente,
[0:19:41.00]-[0:19:46.00]  cómo no han tenido miedo al cerdo a que le salga y les embista?
[0:19:46.00]-[0:19:48.00]  ¿Tabío se dio el caso de eso también?
[0:19:48.00]-[0:19:49.00]  ¿Sí?
[0:19:49.00]-[0:19:50.00]  Sí, ¿le ocurrió a usted?
[0:19:50.00]-[0:19:51.00]  No, a mí no, pero se ha dado el caso.
[0:19:51.00]-[0:19:53.00]  ¿Pero estaba usted?
[0:19:53.00]-[0:20:02.00]  Echarlo así y a ver, debollao y ahí todo y lo dejaron y se van a echarse una copa o yo no sé qué,
[0:20:02.00]-[0:20:07.00]  y ahora que vuelo estaba el gorrino, se había jajado. Pero bueno, eso es una inspección.
[0:20:07.00]-[0:20:10.00]  ¿Sí? ¿No tuvieron miedo del gorrino?
[0:20:10.00]-[0:20:14.00]  No, no tenían miedo. No son muy fieles.
[0:20:14.00]-[0:20:15.00]  ¿No?
[0:20:15.00]-[0:20:18.00]  A veces también también son fieles también.
[0:20:18.00]-[0:20:20.00]  ¿Pero no son como los caballos de los que están aquí?
[0:20:20.00]-[0:20:28.00]  No. Bueno, son familia, pero eso. Y bueno, y luego ya qué, pues...
[0:20:28.00]-[0:20:29.00]  Echarlo y a comerlo.
[0:20:29.00]-[0:20:30.00]  ¿Y eso?
[0:20:30.00]-[0:20:31.00]  Y a comer.
[0:20:31.00]-[0:20:33.00]  Bueno, y ¿de qué más querís?
[0:20:33.00]-[0:20:35.00]  Pues de los cultivos.
[0:20:35.00]-[0:20:39.00]  ¿Qué se cultivaba aquí? ¿O qué se cultiva?
[0:20:39.00]-[0:20:47.00]  Aquí se cultiva pues trigo, y el frintero también es trigo.
[0:20:47.00]-[0:20:51.00]  O sea, bueno, el frintero no es trigo.
[0:20:51.00]-[0:20:53.00]  ¿Se mala y avena?
[0:20:53.00]-[0:20:55.00]  Se mala y avena. Avena quinesia.
[0:20:55.00]-[0:20:58.00]  ¿De eso qué se lava?
[0:20:58.00]-[0:20:59.00]  ¿Qué se lava?
[0:20:59.00]-[0:21:02.00]  Que se lava para estar bien.
[0:21:02.00]-[0:21:04.00]  ¿Sí?
[0:21:04.00]-[0:21:10.00]  ¿Y eso qué es? ¿Qué es? ¿Qué es?
[0:21:10.00]-[0:21:12.00]  ¿Y el frintero no lo lava?
[0:21:12.00]-[0:21:14.00]  Porque eso es más moderno.
[0:21:14.00]-[0:21:17.00]  Pues pero de eso aquí se siembra muy poco.
[0:21:17.00]-[0:21:25.00]  Los ganaderos siembran algo, pero es que la avena tiene muy poco peso.
[0:21:25.00]-[0:21:28.00]  Si quiere beba un poco de agua.
[0:21:28.00]-[0:21:29.00]  ¿Eh?
[0:21:29.00]-[0:21:32.00]  Que si quiere beba un poco de agua porque...
[0:21:32.00]-[0:21:35.00]  No, es que eso es mejor.
[0:21:35.00]-[0:21:38.00]  Pero es que hay fumado mucho.
[0:21:38.00]-[0:21:41.00]  ¿Ustedes también fumeís?
[0:21:41.00]-[0:21:42.00]  Sí.
[0:21:42.00]-[0:21:49.00]  Pues ya lo sabéis que recomienda las caquetillas.
[0:21:49.00]-[0:21:51.00]  Es que es perjudicial de alfabés.
[0:21:51.00]-[0:21:57.00]  Entonces aquí lo que no han cultivado es ni olivo, ni vin, ni árboles frutales.
[0:21:57.00]-[0:22:00.00]  Y vinos tampoco.
[0:22:00.00]-[0:22:03.00]  ¿Habéis venido por esa carretera de arriba y habéis visto pinos?
[0:22:03.00]-[0:22:04.00]  Sí.
