[0:00:00.00]-[0:00:03.00]  No importa, ¿te apetece?
[0:02:59.00]-[0:03:06.00]  Estaba así por el cuello, directo al corazón, y desangrábase.
[0:03:06.00]-[0:03:10.00]  Luego abría, lo pelaba, se pelaba y abría.
[0:03:11.00]-[0:03:20.00]  Sacaba las tripas para dar, para hacer las corcillas y la longaniza.
[0:03:21.00]-[0:03:23.00]  ¿Y cómo se pelaba?
[0:03:24.00]-[0:03:26.00]  Con agua caliente y un cochino.
[0:03:26.00]-[0:03:29.00]  En un duerno grande, se metía dentro.
[0:03:30.00]-[0:03:32.00]  Y había que, miren el teléfono.
[0:03:32.00]-[0:03:39.00]  Había que darme vueltas para que no pusieran las tripas ni pusieran el cerdo.
[0:03:40.00]-[0:03:42.00]  Con agua bien caliente.
[0:03:42.00]-[0:03:47.00]  Y luego cuchillos que cortaran bien, afeitándolos.
[0:03:48.00]-[0:03:52.00]  Y luego, es por utilizar que llamaban espiezalo.
[0:03:52.00]-[0:03:54.00]  ¿Y eso qué, cómo se hace?
[0:03:54.00]-[0:03:56.00]  Cortándolo.
[0:03:56.00]-[0:03:58.00]  ¿Hay alguna manera de cortarlo?
[0:03:58.00]-[0:04:00.00]  Sí, sí, con el cuchillo.
[0:04:00.00]-[0:04:03.00]  Pero me refiero, ¿se dividía?
[0:04:03.00]-[0:04:05.00]  ¿Qué?
[0:04:05.00]-[0:04:12.00]  Se abría, después se abría por abajo, por la barriga.
[0:04:12.00]-[0:04:14.00]  Se sacaba lo de dentro todo.
[0:04:15.00]-[0:04:21.00]  Luego para espiezarlo, lo cortaban por la verdad, por la coluna.
[0:04:21.00]-[0:04:26.00]  Y luego los jamones para un lado, el tucin para otro, los lacones para otro.
[0:04:26.00]-[0:04:28.00]  La calamona para otro.
[0:04:28.00]-[0:04:29.00]  ¿Qué es eso?
[0:04:29.00]-[0:04:31.00]  La calamona, la cabeza.
[0:04:33.00]-[0:04:34.00]  Y así.
[0:04:35.00]-[0:04:40.00]  ¿Y qué hacían luego con el cuchillo, con la sangre, y eso qué se hacía?
[0:04:40.00]-[0:04:43.00]  Bueno, la sangre, algo usaban para la morcilla.
[0:04:44.00]-[0:04:47.00]  Acharan la cebolla, para que tu me das.
[0:04:47.00]-[0:04:53.00]  Para que cogieras algo de color, pero muy poca, a otra gente no la echaba.
[0:04:53.00]-[0:04:54.00]  ¿No?
[0:04:54.00]-[0:04:57.00]  Otra, mucha gente no la echaba, a otros sí.
[0:04:58.00]-[0:05:02.00]  ¿Y cómo hacían la morcilla?
[0:05:02.00]-[0:05:05.00]  Con una máquina.
[0:05:06.00]-[0:05:08.00]  Mira, tengo yo aquí una vieja.
[0:05:09.00]-[0:05:12.00]  Le arregláramos la pastela eléctrica, pero no...
[0:05:12.00]-[0:05:17.00]  No valía.
[0:05:17.00]-[0:05:23.00]  Con esta máquina, pues echaba la carne por aquí, y cerraba con un rabilo aquí,
[0:05:23.00]-[0:05:28.00]  y salía por aquí, que tenía unas cuchillas aquí atrás, y salía por ahí.
[0:05:28.00]-[0:05:33.00]  Y luego para embutir, para hacer los chorizos y la morcilla,
[0:05:33.00]-[0:05:38.00]  se ponía otro embudo más pequeño, y se ponía el cuchillo.
[0:05:38.00]-[0:05:43.00]  Y se metía ahí la tripa, y se iba dando rabil,
[0:05:43.00]-[0:05:48.00]  y se iba haciendo las morcillas o chorizo.
[0:05:49.00]-[0:05:52.00]  ¿Y cómo hacían el chorizo?
[0:05:52.00]-[0:05:58.00]  ¿Cómo se... cómo... o sea, ver qué se echaba, qué echaban a...
[0:05:59.00]-[0:06:03.00]  A picadillo, la carne del cerdo, que se picaba.
[0:06:03.00]-[0:06:08.00]  A carne y tocino, y eso, y había veces que había quien
[0:06:08.00]-[0:06:15.00]  que compraba carne para que fuera más, para hacer más chorizos.
[0:06:16.00]-[0:06:21.00]  Y luego, vos, a amarrar los chorizos y a colgar para curar,
[0:06:21.00]-[0:06:26.00]  y fue por abajo, vaya, fue muy suave para curar.
[0:06:26.00]-[0:06:27.00]  ¿Sí?
[0:06:27.00]-[0:06:28.00]  Y los buenos, ¿no?
[0:06:28.00]-[0:06:29.00]  Sí, sí, sí.
[0:06:29.00]-[0:06:34.00]  Ah, qué curioso. ¿Y bueno, hacían jamones también?
[0:06:34.00]-[0:06:38.00]  Sí, sí, sí. Había quien picaba los jamones últimamente,
[0:06:38.00]-[0:06:42.00]  y ellos se picaban porque no salaban, se perdían.
[0:06:42.00]-[0:06:47.00]  Y entonces, bueno, después ya se compraron los congeladores,
[0:06:47.00]-[0:06:51.00]  y los metían a filetes, al congelador.
[0:06:51.00]-[0:06:55.00]  Pero primero se cerraron, se...
[0:06:55.00]-[0:06:59.00]  se salaban, estaban nueve días entre salas.
[0:06:59.00]-[0:07:00.00]  Ah, sí.
[0:07:00.00]-[0:07:03.00]  Y luego, pues había que sacarlos y lavarlos un poco,
[0:07:03.00]-[0:07:06.00]  por ponerlos a secar, para que secaran.
[0:07:06.00]-[0:07:10.00]  Y el hecho que estropeaban, ¿y por qué...?
[0:07:10.00]-[0:07:13.00]  No sé por qué se estropeaban, que se perdían, vaya,
[0:07:13.00]-[0:07:17.00]  que no estaban sacados y no... porque llamaban,
[0:07:17.00]-[0:07:20.00]  que había que sacar la gota que llamaban,
[0:07:20.00]-[0:07:26.00]  de donde el juego de los jamones, había que estar allí,
[0:07:26.00]-[0:07:30.00]  apretando para sacar la gota que llamaban,
[0:07:30.00]-[0:07:34.00]  pero unos salaban y otros no salaban.
[0:07:34.00]-[0:07:38.00]  Y luego ya casi la mayor parte de la gente,
[0:07:38.00]-[0:07:44.00]  por congelador hubo embutidos, a chorizos.
[0:07:44.00]-[0:07:47.00]  Y así en la matanza, en la madera,
[0:07:47.00]-[0:07:53.00]  y así en la matanza, o era la matanza, ahora ya nada.
[0:07:53.00]-[0:07:55.00]  ¿Ustedes de dónde son?
[0:07:55.00]-[0:07:56.00]  De Madrid.
[0:07:56.00]-[0:07:58.00]  Ay, maldito.
[0:07:58.00]-[0:08:00.00]  Ay, leña, sabes.
[0:08:00.00]-[0:08:01.00]  Sí.
[0:08:01.00]-[0:08:04.00]  ¿Y la matanza se juntaba mucha gente?
[0:08:04.00]-[0:08:09.00]  Bueno, pues los vecinos igual ocho o diez.
[0:08:09.00]-[0:08:12.00]  Era un día de fiesta, el día de la matanza,
[0:08:12.00]-[0:08:13.00]  el día de fiesta.
[0:08:13.00]-[0:08:19.00]  Era de trabajo, pero después de matar y preparar,
[0:08:19.00]-[0:08:24.00]  pues las mujeres iban al río a lavar las tripas.
[0:08:24.00]-[0:08:26.00]  Ah, a lavar las tripas.
[0:08:26.00]-[0:08:27.00]  Sí, para...
[0:08:27.00]-[0:08:29.00]  Que a mí bastantes veces.
[0:08:29.00]-[0:08:33.00]  Para mutir, para... para... para la morcilla y los chorizos.
[0:08:33.00]-[0:08:37.00]  Y había que comprar tripas también para la morcilla.
[0:08:37.00]-[0:08:40.00]  Bueno, sí, que me dijo para la morcilla y que para los chorizos,
[0:08:40.00]-[0:08:45.00]  pues había que comprar, porque el cerdo tiene poca tripa.
[0:08:45.00]-[0:08:49.00]  Y entonces aprovechabas, y como el asunto era... estaba tan escaso,
[0:08:49.00]-[0:08:52.00]  pues había que aprovecharlo todo.
[0:08:52.00]-[0:08:55.00]  Y...
[0:08:55.00]-[0:08:58.00]  Y tenían más animales, ha dicho.
[0:08:58.00]-[0:09:02.00]  Sí, vacas, había quien tenía vacas, un burro para...
[0:09:02.00]-[0:09:06.00]  para carretar vianda, para trabajar la tierra.
[0:09:06.00]-[0:09:10.00]  Alguna oveja, gallinas, conejos.
[0:09:10.00]-[0:09:13.00]  ¿Y cómo se cuidaban las vacas?
[0:09:13.00]-[0:09:16.00]  Pues ni había que sacarlas,
[0:09:16.00]-[0:09:19.00]  sacarlas en prado, vianda,
[0:09:19.00]-[0:09:24.00]  y traer vacas, y sacarlas al prado a pecer,
[0:09:24.00]-[0:09:28.00]  y luego recogíanse para ordeñar,
[0:09:28.00]-[0:09:33.00]  limpiarlas a calcucho,
[0:09:33.00]-[0:09:35.00]  y cosas así.
[0:09:35.00]-[0:09:37.00]  Y ahora, pues, ahora se va perdiendo todo.
[0:09:37.00]-[0:09:40.00]  Sí.
[0:09:40.00]-[0:09:42.00]  Ahora se va perdiendo todo.
[0:09:42.00]-[0:09:46.00]  Aquí, en ese pueblo, un yequecía grande, bueno, ahora ya bastante grande,
[0:09:46.00]-[0:09:49.00]  porque cuando vinimos para aquí éramos
[0:09:49.00]-[0:09:52.00]  sobre 50 vecinos, porque yo soy del consejo, pero...
[0:09:52.00]-[0:09:54.00]  de otro pueblo.
[0:09:54.00]-[0:09:57.00]  ¿De qué pueblo es usted? ¿De qué pueblo es?
[0:09:57.00]-[0:09:59.00]  Un pueblo que se llama Paedo.
[0:09:59.00]-[0:10:02.00]  Paedo de Canamo, el último del consejo,
[0:10:02.00]-[0:10:05.00]  y ahí ando con castellón.
[0:10:05.00]-[0:10:09.00]  Y...
[0:10:09.00]-[0:10:12.00]  así la vida.
[0:10:12.00]-[0:10:14.00]  ¿Y a qué edad se vino usted a...?
[0:10:14.00]-[0:10:15.00]  ¿Aquí?
[0:10:15.00]-[0:10:16.00]  Sí.
[0:10:16.00]-[0:10:18.00]  Cuando me casé, a los 30 años.
[0:10:18.00]-[0:10:20.00]  Llevo aquí 45.
[0:10:20.00]-[0:10:22.00]  Ah, mucho tiempo.
[0:10:22.00]-[0:10:27.00]  He hecho ese lunes de octubre de este mes.
[0:10:27.00]-[0:10:30.00]  Y me estaba usted contando las vacas,
[0:10:30.00]-[0:10:32.00]  ¿y qué hacían con la leche?
[0:10:32.00]-[0:10:33.00]  Vendía así.
[0:10:33.00]-[0:10:35.00]  ¿Ah, sí? ¿Toda?
[0:10:35.00]-[0:10:39.00]  Bueno, se dejaba para consumo,
[0:10:39.00]-[0:10:42.00]  y luego una u otra se vendía.
[0:10:42.00]-[0:10:45.00]  Y aquí hacía así, últimamente, ya que
[0:10:45.00]-[0:10:47.00]  y a la leche, ya no aquello, pues,
[0:10:47.00]-[0:10:50.00]  hacía así, hacía así de fuego al frito.
[0:10:50.00]-[0:10:52.00]  ¿Y cómo se hace?
[0:10:52.00]-[0:10:55.00]  Pues hay que coger la leche
[0:10:55.00]-[0:10:58.00]  y recodirla,
[0:10:58.00]-[0:11:00.00]  saca el suero,
[0:11:00.00]-[0:11:02.00]  y luego amasala con sal,
[0:11:02.00]-[0:11:04.00]  había lo que tienen, y ahora hacía lo también
[0:11:04.00]-[0:11:06.00]  con pimienta picante,
[0:11:06.00]-[0:11:09.00]  y natural, y sal,
[0:11:09.00]-[0:11:11.00]  y estaban muy ricos, y poníanse a curar,
[0:11:11.00]-[0:11:15.00]  y luego vendían, sí que después ya prohibieron también
[0:11:15.00]-[0:11:17.00]  de venderlo sangrado,
[0:11:17.00]-[0:11:19.00]  o trataban de... pero después
[0:11:19.00]-[0:11:22.00]  tuvieron que vender alguno, pero clandestinamente,
[0:11:22.00]-[0:11:24.00]  como se fuera al extraperlo.
[0:11:24.00]-[0:11:26.00]  ¿Por qué ahora no lo dejan?
[0:11:26.00]-[0:11:28.00]  No, y la manteca tampoco.
[0:11:28.00]-[0:11:30.00]  Antes no vendía ni manteca,
[0:11:30.00]-[0:11:32.00]  ya último día tenía que llevarlo guardado,
[0:11:32.00]-[0:11:34.00]  como ya era un rapaz,
[0:11:34.00]-[0:11:36.00]  uno de Mieris,
[0:11:36.00]-[0:11:39.00]  pues tenía guardado, y cuando venía
[0:11:39.00]-[0:11:41.00]  a Digetagistimis, y ya que no lo vía,
[0:11:41.00]-[0:11:43.00]  ya lo llevaba él,
[0:11:43.00]-[0:11:45.00]  que no lo vieron, porque ya no se podía,
[0:11:45.00]-[0:11:47.00]  había que andar sacando licencia
[0:11:47.00]-[0:11:49.00]  y el demonio.
[0:11:49.00]-[0:11:52.00]  Y así era la vida.
[0:11:52.00]-[0:11:56.00]  ¿Y ha dicho usted que tenía también ovejas?
[0:11:56.00]-[0:11:58.00]  A mí alguna.
[0:11:58.00]-[0:12:00.00]  Yo aquí nunca la subí en casa,
[0:12:00.00]-[0:12:02.00]  mi madre sí la subió, vaya,
[0:12:02.00]-[0:12:04.00]  10 o 12, poca cantidad,
[0:12:04.00]-[0:12:06.00]  no cantidad como por castilla.
[0:12:06.00]-[0:12:11.00]  Bueno, yo tenía un primo que de chavaluco,
[0:12:11.00]-[0:12:13.00]  de 10 años fui a la casa de la tía
[0:12:13.00]-[0:12:15.00]  a lindiar ovejas,
[0:12:15.00]-[0:12:17.00]  y aquél llegó a tener ciento y pico.
[0:12:17.00]-[0:12:19.00]  Madre mía.
[0:12:19.00]-[0:12:21.00]  Pero vaya, de lo normal eran
[0:12:21.00]-[0:12:23.00]  tener cuatro o cinco ovejas.
[0:12:23.00]-[0:12:26.00]  A alguna casa todos tampoco las tenían.
[0:12:26.00]-[0:12:29.00]  ¿Y cómo se cuidaban las ovejas?
[0:12:29.00]-[0:12:31.00]  ¿Al dónde?
[0:12:31.00]-[0:12:33.00]  A pasar.
[0:12:33.00]-[0:12:36.00]  Y uno lindialas que no las fuera
[0:12:36.00]-[0:12:38.00]  atacar el perro,
[0:12:38.00]-[0:12:40.00]  o que le llevaran.
[0:12:40.00]-[0:12:43.00]  Y luego de noche va a la cuadra.
[0:12:43.00]-[0:12:45.00]  Y el invierno, pues sí,
[0:12:45.00]-[0:12:47.00]  ya comían hierba,
[0:12:47.00]-[0:12:49.00]  cuando estaban al tiempo,
[0:12:49.00]-[0:12:51.00]  se echaba hierba en la cuadra,
[0:12:51.00]-[0:12:53.00]  baja.
[0:12:57.00]-[0:13:00.00]  ¿Y supongo que le cogerían la lana?
[0:13:00.00]-[0:13:02.00]  Sí, antes se vendía la lana,
[0:13:02.00]-[0:13:04.00]  ahora se tira.
[0:13:04.00]-[0:13:06.00]  ¿Y eso?
[0:13:06.00]-[0:13:08.00]  Ahora se tira, la compra.
[0:13:08.00]-[0:13:10.00]  Polchones frescos,
[0:13:10.00]-[0:13:12.00]  polchones de lodo.
[0:13:12.00]-[0:13:14.00]  Y mi primo iba a Grabo,
[0:13:14.00]-[0:13:16.00]  y había una fiera que llamaban
[0:13:16.00]-[0:13:18.00]  San Simón, no sé si sería por ahora,
[0:13:18.00]-[0:13:20.00]  que era fiera de lana,
[0:13:20.00]-[0:13:22.00]  y vendían la toda.
[0:13:22.00]-[0:13:24.00]  ¿Y para qué se utilizaba la lana?
[0:13:24.00]-[0:13:26.00]  Para polchones.
[0:13:26.00]-[0:13:28.00]  ¿Y cómo se hacía eso?
[0:13:28.00]-[0:13:30.00]  Pues había que lavarlas.
[0:13:30.00]-[0:13:32.00]  Había que escogerlas,
[0:13:32.00]-[0:13:34.00]  ya que había la maleta que tenía hierba,
[0:13:34.00]-[0:13:36.00]  en Dampolmonte, y eso.
[0:13:36.00]-[0:13:38.00]  Y se lavaba,
[0:13:38.00]-[0:13:40.00]  y le descartaba,
[0:13:40.00]-[0:13:42.00]  le descartaba,
[0:13:42.00]-[0:13:44.00]  y luego hacía el colchón.
[0:13:44.00]-[0:13:46.00]  Y el colchón, pues,
[0:13:46.00]-[0:13:48.00]  cada dos o tres años,
[0:13:48.00]-[0:13:50.00]  había que deshacerlo,
[0:13:50.00]-[0:13:52.00]  para mañalar la lana,
[0:13:52.00]-[0:13:54.00]  porque tenía así, apegada.
[0:13:54.00]-[0:13:56.00]  Y cada dos o tres años,
[0:13:56.00]-[0:13:58.00]  a mañalar la bala,
[0:13:58.00]-[0:14:00.00]  y mañalar para que quedara otra vez,
[0:14:00.00]-[0:14:02.00]  o balada.
[0:14:02.00]-[0:14:04.00]  Y ahora colchones,
[0:14:04.00]-[0:14:06.00]  han de ir colchones de lana,
[0:14:06.00]-[0:14:08.00]  para que quien los quiera.
[0:14:08.00]-[0:14:10.00]  Y antes que las filanteras,
[0:14:10.00]-[0:14:12.00]  para hacer calcetos.
[0:14:12.00]-[0:14:14.00]  Ah, también.
[0:14:14.00]-[0:14:16.00]  Para hacer chaquetas,
[0:14:16.00]-[0:14:18.00]  y eso de lana.
[0:14:18.00]-[0:14:20.00]  Ah, que bien.
[0:14:20.00]-[0:14:22.00]  Y también,
[0:14:22.00]-[0:14:24.00]  cogían la leche de...
[0:14:24.00]-[0:14:26.00]  Bueno, aquí no,
[0:14:26.00]-[0:14:28.00]  para la parte que soy yo, sí.
[0:14:28.00]-[0:14:30.00]  Porque ya ya van las ovejas,
[0:14:30.00]-[0:14:32.00]  para hacer eso, las ovejas,
[0:14:32.00]-[0:14:34.00]  y los cabras.
[0:14:34.00]-[0:14:36.00]  Pero aquí en las Urias,
[0:14:36.00]-[0:14:38.00]  no tengo miedo de
[0:14:38.00]-[0:14:40.00]  de colpeñar a las ovejas.
[0:14:40.00]-[0:14:42.00]  No te puedo decir,
[0:14:42.00]-[0:14:44.00]  que las que no tenía,
[0:14:44.00]-[0:14:46.00]  pero no me parece.
[0:14:46.00]-[0:14:48.00]  Ahora sí, para que se yo,
[0:14:48.00]-[0:14:50.00]  que están dedicados a ti.
[0:14:50.00]-[0:14:52.00]  Rabaños, o había rabaños,
[0:14:52.00]-[0:14:54.00]  que ahora ya bajaron también bastante.
[0:14:54.00]-[0:14:56.00]  Había rabaños grandísimos.
[0:14:56.00]-[0:14:58.00]  Pues ahí, claro, pues,
[0:14:58.00]-[0:15:00.00]  las cabras, y las ovejas,
[0:15:00.00]-[0:15:02.00]  y las lagras, pues a mí,
[0:15:02.00]-[0:15:04.00]  me echaba la leche.
[0:15:04.00]-[0:15:06.00]  Me echaba la leche para el queso.
[0:15:06.00]-[0:15:08.00]  Había algo que yo no hacía,
[0:15:08.00]-[0:15:10.00]  de cabra a la sola,
[0:15:10.00]-[0:15:12.00]  o de oveja.
[0:15:12.00]-[0:15:14.00]  Que era mucho mejor,
[0:15:14.00]-[0:15:16.00]  y más caro.
[0:15:16.00]-[0:15:18.00]  Porque como la oveja
[0:15:18.00]-[0:15:20.00]  era muy poco leche,
[0:15:20.00]-[0:15:22.00]  para hacer un queso,
[0:15:22.00]-[0:15:24.00]  un puño más o menos,
[0:15:24.00]-[0:15:26.00]  yo que sé, llevaría
[0:15:26.00]-[0:15:28.00]  cuatro o cinco litros de leche,
[0:15:28.00]-[0:15:30.00]  yo que sé, se lo llevaría ahí para ahí,
[0:15:30.00]-[0:15:32.00]  y una cabra daría un litro o dos.
[0:15:32.00]-[0:15:34.00]  Ya muy poco.
[0:15:34.00]-[0:15:36.00]  Después ya no sabía de
[0:15:36.00]-[0:15:38.00]  la raza que llaman de leche,
[0:15:38.00]-[0:15:40.00]  de las vacas ahora.
[0:15:40.00]-[0:15:42.00]  Ahora las vacas de hacer
[0:15:42.00]-[0:15:44.00]  40 litros de leche,
[0:15:44.00]-[0:15:46.00]  a lo mejor antes pues salían 10 o 12.
[0:15:46.00]-[0:15:48.00]  Y a la que la aben,
[0:15:48.00]-[0:15:50.00]  tiene una vaca, pero buenísima.
[0:15:50.00]-[0:15:52.00]  Pero después ya fueron
[0:15:52.00]-[0:15:54.00]  mejorando las razas.
[0:15:54.00]-[0:15:56.00]  Y yo te digo,
[0:15:56.00]-[0:15:58.00]  que ahora ganamos ahí muy poco.
[0:15:58.00]-[0:16:00.00]  En todo el consejo,
[0:16:00.00]-[0:16:02.00]  en todo el consejo,
[0:16:02.00]-[0:16:04.00]  en todo el pueblo,
[0:16:04.00]-[0:16:06.00]  los que vienen para acá,
[0:16:06.00]-[0:16:08.00]  igual hay envergenos.
[0:16:08.00]-[0:16:10.00]  Pues vacas hay uno,
[0:16:10.00]-[0:16:12.00]  dos,
[0:16:14.00]-[0:16:16.00]  cuatro vecinos que tienen ganado vacas.
[0:16:16.00]-[0:16:18.00]  Y primero,
[0:16:18.00]-[0:16:20.00]  pues a los que venía para aquí,
[0:16:20.00]-[0:16:22.00]  pues el que más se quemara,
[0:16:22.00]-[0:16:24.00]  pues una, dos, tres,
[0:16:24.00]-[0:16:26.00]  aquí las cuatro, seis, ocho,
[0:16:26.00]-[0:16:28.00]  si con fuera la casa se eran muy fricas,
[0:16:28.00]-[0:16:30.00]  tenía más.
[0:16:30.00]-[0:16:32.00]  Si era muy pobre, pues una o dos,
[0:16:32.00]-[0:16:34.00]  tres.
[0:16:34.00]-[0:16:36.00]  Y ahí,
[0:16:36.00]-[0:16:38.00]  para ir arreglándose
[0:16:38.00]-[0:16:40.00]  con trabajo,
[0:16:40.00]-[0:16:42.00]  y así.
[0:16:44.00]-[0:16:46.00]  ¿Y cultivaban aquí algo?
[0:16:46.00]-[0:16:48.00]  Si.
[0:16:48.00]-[0:16:50.00]  ¿Y qué?
[0:16:50.00]-[0:16:52.00]  Patatas, maíz,
[0:16:52.00]-[0:16:54.00]  jabas,
[0:16:54.00]-[0:16:56.00]  pan,
[0:16:56.00]-[0:16:58.00]  y hay muchos años que no,
[0:16:58.00]-[0:17:00.00]  que no se cosecha,
[0:17:00.00]-[0:17:02.00]  pero que se cosechaba un supa
[0:17:02.00]-[0:17:04.00]  y en centeno, trigo.
[0:17:04.00]-[0:17:06.00]  ¿Y cómo se hacía eso?
[0:17:06.00]-[0:17:08.00]  ¿Cómo hacía lo que se iba a hacer?
[0:17:08.00]-[0:17:10.00]  Había que sembrarlo.
[0:17:10.00]-[0:17:12.00]  ¿Y cómo se sembraba?
[0:17:12.00]-[0:17:14.00]  A mano.
[0:17:14.00]-[0:17:16.00]  Y luego, lo había que ensayarlo,
[0:17:16.00]-[0:17:18.00]  arrancar la hierba mala,
[0:17:18.00]-[0:17:20.00]  dejarlo que era bueno,
[0:17:20.00]-[0:17:22.00]  y luego cuando llegaba ahí por...
[0:17:22.00]-[0:17:24.00]  justo lo supe para que era cuando se cogía,
[0:17:24.00]-[0:17:26.00]  eran unas espigas así,
[0:17:26.00]-[0:17:28.00]  había que cogerlo,
[0:17:28.00]-[0:17:30.00]  a mano, aquí a mano.
[0:17:30.00]-[0:17:32.00]  Ahora por castilla no,
[0:17:32.00]-[0:17:34.00]  que ya tenía un machinario.
[0:17:34.00]-[0:17:36.00]  ¿Y cómo se cogía a mano?
[0:17:36.00]-[0:17:38.00]  O sea, ¿con qué...?
[0:17:38.00]-[0:17:40.00]  Bueno, coger una espiga,
[0:17:40.00]-[0:17:42.00]  y tirar,
[0:17:42.00]-[0:17:44.00]  y al gozo que llamábamos, a la goza.
[0:17:44.00]-[0:17:46.00]  Y luego pues se metían
[0:17:46.00]-[0:17:48.00]  en orden,
[0:17:48.00]-[0:17:50.00]  y cuando tenías terminado
[0:17:50.00]-[0:17:52.00]  de recoger,
[0:17:52.00]-[0:17:54.00]  pues a los 8 o 15 días
[0:17:54.00]-[0:17:56.00]  se amayaron, se llamaba otra fractura,
[0:17:56.00]-[0:17:58.00]  se llamaban los vecinos
[0:17:58.00]-[0:18:00.00]  para amayar.
[0:18:00.00]-[0:18:02.00]  ¿Y qué es eso, qué es amayar?
[0:18:02.00]-[0:18:04.00]  Es romper, sacar el grano de la espiga.
[0:18:04.00]-[0:18:06.00]  ¿Y eso cómo se hace?
[0:18:06.00]-[0:18:08.00]  A palos.
[0:18:08.00]-[0:18:10.00]  ¿Palos?
[0:18:10.00]-[0:18:12.00]  Las espigas que se llaman las espigas,
[0:18:12.00]-[0:18:14.00]  así, a lo mejor pues,
[0:18:14.00]-[0:18:16.00]  en la era que llamábamos,
[0:18:16.00]-[0:18:18.00]  donde tenía este ruido de ruedor,
[0:18:18.00]-[0:18:20.00]  y a lo mejor según la gente
