[0:00:00.00]-[0:00:02.00]  ¿Ya está?
[0:07:16.00]-[0:07:17.00]  Las cosas como sean.
[0:07:17.00]-[0:07:20.00]  Antes, como lo hacíamos en casa.
[0:07:20.00]-[0:07:21.00]  Claro, más cultural.
[0:07:21.00]-[0:07:22.00]  Era bueno.
[0:07:22.00]-[0:07:23.00]  Era bueno.
[0:07:23.00]-[0:07:26.00]  Ahora pienso, pienso, pienso, ya va.
[0:07:26.00]-[0:07:33.00]  Entonces, ahora, ahora si matan cerdo, a la casa que matan cerdo, casi no secan nada.
[0:07:33.00]-[0:07:42.00]  Porque van al riesgo de cuando lo tienen que comer, está fatal, porque no se seca.
[0:07:42.00]-[0:07:46.00]  La carne lleva mucha agua y no se seca.
[0:07:46.00]-[0:07:53.00]  Es que se quedan unos huecos adentro y aquello se pone amarillo, rancio.
[0:07:53.00]-[0:07:56.00]  Ya no, ya no vale.
[0:07:56.00]-[0:08:03.00]  Ahora la gente hace esto, matan, los que matan, perdón, que hay alguna casa que mata, lo
[0:08:03.00]-[0:08:08.00]  dejan unos días secar un poquito y después lo cortan y lo echan al costelado.
[0:08:08.00]-[0:08:09.00]  Y ya está.
[0:08:09.00]-[0:08:13.00]  Pero secar, apenas nadie se seca nada.
[0:08:13.00]-[0:08:15.00]  Porque no se seca.
[0:08:15.00]-[0:08:16.00]  No se seca.
[0:08:16.00]-[0:08:24.00]  Sigo por los piensos, sigo, no sé, por lo que es, que no se seca nada.
[0:08:24.00]-[0:08:26.00]  Ya te digo.
[0:08:26.00]-[0:08:30.00]  ¿Y de los cultivos qué es lo típico de por aquí?
[0:08:30.00]-[0:08:31.00]  ¿Qué es lo que más te...
[0:08:31.00]-[0:08:41.00]  De los cultivos, por mi, maíz, trigo, alfalfa.
[0:08:41.00]-[0:08:42.00]  ¿O qué cosa más?
[0:08:42.00]-[0:08:45.00]  Sí.
[0:08:45.00]-[0:08:47.00]  ¿Y la parte de trigo, maíz, se le falta?
[0:08:47.00]-[0:08:48.00]  Sí.
[0:08:48.00]-[0:08:53.00]  Sí, porque girasol, se hacían girasoles, ahora no hacen.
[0:08:53.00]-[0:08:55.00]  Ahora eso también habrá cambiado, ¿no?
[0:08:55.00]-[0:08:58.00]  Lo que se cultivaba antes y lo de ahora.
[0:08:58.00]-[0:09:10.00]  Ahora pues se cultivan manzanas, se cultivan perperas, melocotones, nectarinas, todo esto.
[0:09:10.00]-[0:09:12.00]  ¿Esto?
[0:09:12.00]-[0:09:14.00]  Esto tanto como quieras.
[0:09:14.00]-[0:09:20.00]  Sí, sí, sin melocotones, entonces también hay... ¿Cómo se llaman allá?
[0:09:20.00]-[0:09:22.00]  ¿Fruita?
[0:09:22.00]-[0:09:27.00]  Sí, todo hace de fruta, pero hoy día aquel día...
[0:09:27.00]-[0:09:31.00]  Los primeros que son los albaricófil también hay.
[0:09:31.00]-[0:09:43.00]  Ahora este tiempo también hay, aún las tienen que coger, aquellas manzanas así que son muy rojistas, que son muy buenas.
[0:09:43.00]-[0:09:45.00]  ¿Cómo se llaman?
[0:09:45.00]-[0:09:46.00]  ¿Qué es pomes?
[0:09:46.00]-[0:09:49.00]  Pomes que cuellen ahora, como se dio.
[0:09:49.00]-[0:09:53.00]  Ay, no me acuerdo.
[0:09:53.00]-[0:09:56.00]  Que son las últimas que se cogen, que a un año...
[0:09:56.00]-[0:09:57.00]  Hay muchas pomes.
[0:09:57.00]-[0:09:58.00]  ¿Manzanes?
[0:09:58.00]-[0:10:04.00]  No, no, pomes, manzanas, aún hay, ahora para coger.
[0:10:04.00]-[0:10:10.00]  Ahora hay otras que son verdes que también la están cogiendo ahora, que se dicen la granismis.
[0:10:10.00]-[0:10:13.00]  La granismis a mí me gusta mucho.
[0:10:13.00]-[0:10:15.00]  Sí, también.
[0:10:15.00]-[0:10:24.00]  Y después no sé, uriba, alguna uriba, algunos poquísimos, antes muchos, pero ahora no.
[0:10:24.00]-[0:10:31.00]  Ahora como un año la mata el frío, pues la gente los arrancó.
[0:10:31.00]-[0:10:37.00]  Almendras también hay, pero no con abundancia, no.
[0:10:37.00]-[0:10:38.00]  ¿Antes?
[0:10:38.00]-[0:10:46.00]  Antes sí, todo esto sí, pero ahora como todo se ha arreglado la tierra, pues plantan frutales y cosas así.
[0:10:46.00]-[0:10:48.00]  ¿Había una comera que lo hacía?
[0:10:48.00]-[0:10:53.00]  Sí, sí, sí, bueno, pero llevan unas aceitunas, muchas de fuera.
[0:10:53.00]-[0:10:56.00]  Aquí hay cuatro, no, no hay mucha.
[0:10:56.00]-[0:10:58.00]  Antes se le quería comprar la uriba.
[0:10:58.00]-[0:10:59.00]  ¿Por aquí?
[0:10:59.00]-[0:11:01.00]  Para llevarlo, hacer el aceite aquí.
[0:11:01.00]-[0:11:02.00]  Sí.
[0:11:02.00]-[0:11:06.00]  Pero para los socios, Dios mío, nada más.
[0:11:06.00]-[0:11:09.00]  Solo la compran fuera, la uriba, porque aquí no hay.
[0:11:09.00]-[0:11:10.00]  ¿No hay uriba para la compañía?
[0:11:10.00]-[0:11:12.00]  Sí, sí.
[0:11:12.00]-[0:11:14.00]  Entonces ha costado nada el aceite que ustedes hacen.
[0:11:14.00]-[0:11:16.00]  Sí, sí, sí, sí.
[0:11:16.00]-[0:11:20.00]  Y aún hay casas que para su gasto aún nace.
[0:11:20.00]-[0:11:32.00]  O uribas para su gasto, pero poco a poco, hay muy pocos de uribas y no sé qué hay más.
[0:11:32.00]-[0:11:36.00]  Su familia viene de una familia de agricultores.
[0:11:36.00]-[0:11:37.00]  Sí.
[0:11:37.00]-[0:11:45.00]  ¿Y usted recuerda cuando era pequeña, que quién ayudaba?
[0:11:45.00]-[0:11:48.00]  ¿Ayudaba a toda la familia a recoger o eran los hermanos?
[0:11:48.00]-[0:11:50.00]  Claro, claro.
[0:11:50.00]-[0:11:58.00]  ¿No te ayudaban las mujeres diferentes, cosas que se acababan de hacer?
[0:11:58.00]-[0:12:01.00]  No, ayudábamos también.
[0:12:01.00]-[0:12:10.00]  Las mujeres ayudábamos y si no había que hacer en casa, a jornada por otra casa.
[0:12:10.00]-[0:12:13.00]  ¿Y les pagaban o...?
[0:12:13.00]-[0:12:20.00]  Sí, que no les pagaban, pero poquito a poquito, no mucho.
[0:12:20.00]-[0:12:34.00]  Y en invierno, yo, hablo de yo, a las almendras donde las rompían, cómo se llama, la trencadura, envían alvistos.
[0:12:34.00]-[0:12:36.00]  ¿Una por una?
[0:12:36.00]-[0:12:37.00]  Sí.
[0:12:37.00]-[0:12:38.00]  No, pero la máquina.
[0:12:38.00]-[0:12:42.00]  Pero yo andaba con el marchantet que teníamos en la máquina.
[0:12:42.00]-[0:12:51.00]  Pero, pero abans, una por una, si rompían, si, y si te pagaban tres pesetas por saco.
[0:12:51.00]-[0:12:54.00]  Tres pesetas por saco.
[0:12:54.00]-[0:13:09.00]  Sé que cuando terminabas el saco que recogías, que sacaban la mel de el grano, porque si no se llevaba a casa la gente, tenía que dar el resultado.
[0:13:09.00]-[0:13:11.00]  Ya, ya, ya.
[0:13:11.00]-[0:13:23.00]  Yo cuando fui a donde echaban las almendras, ya tenían la máquina, entonces, y íbamos con las mesas que había y los traíamos.
[0:13:23.00]-[0:13:29.00]  Sí, los maquines, salía el jamón y el cáscara, si tenía que traer.
[0:13:29.00]-[0:13:36.00]  A más, los trozos también los tenías que quitar.
[0:13:36.00]-[0:13:42.00]  Entonces, tomé, había muchas almendras, por ahora tampoco hay pocos, hay muy pocos ahora.
[0:13:42.00]-[0:13:47.00]  ¿Y usted, aparte de esto, luego iba a la escuela de pequeña?
[0:13:47.00]-[0:13:48.00]  Sí.
[0:13:48.00]-[0:13:50.00]  ¿Había aquí una escuela en el pueblo?
[0:13:50.00]-[0:13:51.00]  Sí, ni tan.
[0:13:51.00]-[0:13:59.00]  Pero, ¿y cómo era? Supongo que no sería como las de ahora, ¿cómo eran los grupos? ¿Eran solo de chicas?
[0:13:59.00]-[0:14:01.00]  Las chicas solas y los chicos solos.
[0:14:01.00]-[0:14:05.00]  Sí, las chicas íbamos solas y los chicos solos, sí.
[0:14:05.00]-[0:14:08.00]  ¿Y tenían maestras o eran hombres los profesores?
[0:14:08.00]-[0:14:13.00]  Sí, sí, sí, no, no, no había maestras. Para las chicas, maestras, para los chicos, maestras.
[0:14:13.00]-[0:14:16.00]  ¿Y la enseñanza era distinta a la que recibía un chico de la de una chica?
[0:14:16.00]-[0:14:20.00]  No, igual, creo yo, yo creo que igual, me parece.
[0:14:20.00]-[0:14:25.00]  Pero también, imagino que en aquellos tiempos una gran parte de la educación sería en la casa misma.
[0:14:25.00]-[0:14:37.00]  Hombre, en casa lo principal. Y si no, no es como ahora, no. Ya ahora hacen lo que quieren, no.
[0:14:37.00]-[0:14:39.00]  ¿Y qué estudiaban?
[0:14:39.00]-[0:14:43.00]  Pues, lo básico, lo básico, pero...
[0:14:43.00]-[0:14:47.00]  Las cuatro reglas, y poco más.
[0:14:47.00]-[0:14:56.00]  El que tenía dinero mandaba el chico afuera y el 90% pobres.
[0:14:56.00]-[0:15:01.00]  Cuatro reglas, que a los 14 años fuera de escuela.
[0:15:01.00]-[0:15:05.00]  14 años, ¿verdad? A volar.
[0:15:05.00]-[0:15:10.00]  ¿Y la imagen del profesor cómo era? Porque ahora se ha desvirtuado un poco.
[0:15:10.00]-[0:15:14.00]  El profesor no era como ahora.
[0:15:14.00]-[0:15:19.00]  Porque no podías hacer mucha cosa, o si no, el palo volaba.
[0:15:19.00]-[0:15:21.00]  Claro, se le respetaba más.
[0:15:21.00]-[0:15:24.00]  Hombre, hombre, si solo respetaba.
[0:15:24.00]-[0:15:29.00]  No podías hacer mucha cosa, no. Porque si no...
[0:15:29.00]-[0:15:31.00]  ¿Y tú te lo dirías a la gente?
[0:15:31.00]-[0:15:34.00]  No. Y no hay aún.
[0:15:34.00]-[0:15:35.00]  Ah, no hay aún.
[0:15:35.00]-[0:15:39.00]  No, no, no. Han muerto la gente.
[0:15:39.00]-[0:15:45.00]  ¿Pero supongas que una gente que familia, que si tenía dinero, no tenía los chicos afuera?
[0:15:45.00]-[0:15:50.00]  Antes, sí. Iban a Lérida, los chicos de mi tiempo, así, eh.
[0:15:50.00]-[0:15:55.00]  Pero poquísimos, poquísimos. Algunos, algunos.
[0:15:55.00]-[0:15:57.00]  Muy poqués.
[0:15:57.00]-[0:16:01.00]  El hijo del médico, el hijo...
[0:16:01.00]-[0:16:02.00]  ¿Qué pasó?
[0:16:02.00]-[0:16:07.00]  Yo pasé de... del secretario, el hijo de...
[0:16:07.00]-[0:16:11.00]  No más gente así. Nosotros, no.
[0:16:11.00]-[0:16:15.00]  Siempre había alguno de clase media, o de más media.
[0:16:15.00]-[0:16:17.00]  Yo me considero de la más baja.
[0:16:17.00]-[0:16:20.00]  Pues que hacían ahora, son los padres.
[0:16:20.00]-[0:16:24.00]  Y pues hacían un poquito más, pero no una carrera.
[0:16:24.00]-[0:16:28.00]  Carrera tan solo era los estos, pero...
[0:16:28.00]-[0:16:32.00]  Así como ahora todos hacen carrera, ahora todos.
[0:16:32.00]-[0:16:36.00]  Entonces, no. Entonces, no más los que podían, pero...
[0:16:36.00]-[0:16:40.00]  ¿Y usted viene de una familia muy grande? ¿Tiene muchos hermanos o...?
[0:16:40.00]-[0:16:42.00]  Tenía uno y se murió.
[0:16:42.00]-[0:16:47.00]  ¿Y usted cuando terminó el colegio...?
[0:16:47.00]-[0:16:48.00]  A trabajar.
[0:16:48.00]-[0:16:50.00]  ¿Y aquí en el pueblo?
[0:16:50.00]-[0:16:52.00]  A trabajar, me te digo.
[0:16:52.00]-[0:16:53.00]  ¿Y de qué...?
[0:16:53.00]-[0:16:58.00]  A coger maíz, a coger almendras, a coger olivas, a coger lo que sea.
[0:16:58.00]-[0:17:04.00]  Alfalfa, a trascabar cebollas, que esto me lo ha dejado.
[0:17:04.00]-[0:17:08.00]  También se cultivan muchas cebollas, no tantas como antes,
[0:17:08.00]-[0:17:11.00]  pero también se cultivan cebollas aquí.
[0:17:11.00]-[0:17:15.00]  Pero antes muchas, pero si tenía que hacer todo a mano.
[0:17:15.00]-[0:17:19.00]  No como ahora que echan y chufatan y no sale hierba, no.
[0:17:19.00]-[0:17:22.00]  Entonces, salía toda la hierba que había.
[0:17:22.00]-[0:17:28.00]  Ahora no, ahora chufatan y ya no hace falta ir a trascabar.
[0:17:28.00]-[0:17:31.00]  ¿Pero si fluirá la cadena?
[0:17:31.00]-[0:17:35.00]  Claro, es que todo influye, todo influye.
[0:17:35.00]-[0:17:37.00]  Porque antes cogías las cebollas,
[0:17:37.00]-[0:17:42.00]  ponías dos o tres cajas allí para todo invierno y todo el día
[0:17:42.00]-[0:17:43.00]  y se conservaban.
[0:17:43.00]-[0:17:49.00]  Y ahora, las cajas igual, las ponías, no tenía que hacer falta de nada.
[0:17:49.00]-[0:17:52.00]  Ahora se tienen que empolvar, se tienen que poner cosas
[0:17:52.00]-[0:17:55.00]  porque los bichitos no se pongan.
[0:17:55.00]-[0:18:01.00]  Todo no lo comemos artificial, en una parada.
[0:18:01.00]-[0:18:07.00]  Pues yo hasta los 17 años o así,
[0:18:07.00]-[0:18:12.00]  estuve trabajando así por campo.
[0:18:12.00]-[0:18:16.00]  Al tiempo de la cebolla, la cebolla, al tiempo del maíz, el maíz,
[0:18:16.00]-[0:18:19.00]  al tiempo de las almendras, las almendras,
[0:18:19.00]-[0:18:26.00]  al tiempo de las olivas, las olivas, lo que sea.
[0:18:26.00]-[0:18:31.00]  Que si un día teníamos que ir a recoger la alfalfa,
[0:18:31.00]-[0:18:36.00]  que al tiempo del grano, segaban y teníamos que ir a ayudar,
[0:18:36.00]-[0:18:41.00]  pues teníamos que ir.
[0:18:41.00]-[0:18:43.00]  Y todo así.
[0:18:43.00]-[0:18:53.00]  Y a los 17, capa los 18, me ofrecieron a ver si quería ser carnicera.
[0:18:53.00]-[0:18:55.00]  Y acepté.
[0:18:55.00]-[0:18:58.00]  Y mira, a mí me fui bien.
[0:18:58.00]-[0:18:59.00]  ¿Y ya fuiste carnicera?
[0:18:59.00]-[0:19:01.00]  25 años, 25 años.
[0:19:01.00]-[0:19:07.00]  Entonces mi hijo cogió un bar y la mamá fue a la carnicería.
[0:19:07.00]-[0:19:08.00]  La mamá al bar.
[0:19:08.00]-[0:19:13.00]  15 años más y picó el bar.
[0:19:13.00]-[0:19:16.00]  ¿Y después de la infección, tenías que ser médico?
[0:19:16.00]-[0:19:17.00]  ¿Alguna soledad?
[0:19:17.00]-[0:19:20.00]  Sí, dos médicos había.
[0:19:20.00]-[0:19:24.00]  ¿Y qué hacían ustedes cuando se ponían malos,
[0:19:24.00]-[0:19:26.00]  a la mejor en mitad de la noche?
[0:19:26.00]-[0:19:28.00]  Lo llamamos.
[0:19:28.00]-[0:19:31.00]  Ibamos a buscarlo.
[0:19:31.00]-[0:19:35.00]  Bueno, en aquel tiempo me pienso, me pienso,
[0:19:35.00]-[0:19:40.00]  que teníamos que llamar al sereno que decían, ¿no?
[0:19:40.00]-[0:19:45.00]  Entonces íbamos allí, a casa del médico y el médico se venía a casa.
[0:19:45.00]-[0:19:47.00]  Y visitaba y ya está.
[0:19:47.00]-[0:19:51.00]  Oye, que esto es lo que había.
[0:19:51.00]-[0:19:54.00]  Y si te ponías mal, mal, valería.
[0:19:54.00]-[0:19:57.00]  Al Arnau, al hospital.
[0:19:57.00]-[0:20:01.00]  Entonces, el Arnau, en mi tiempo no sé si...
[0:20:01.00]-[0:20:03.00]  No, no, no.
[0:20:03.00]-[0:20:04.00]  Al hospital.
[0:20:04.00]-[0:20:05.00]  Al hospital.
[0:20:05.00]-[0:20:09.00]  O la gente era mucho de las clínicas.
[0:20:09.00]-[0:20:12.00]  Así como ahora todo el mundo es de la Seguridad Social,
[0:20:12.00]-[0:20:16.00]  entonces todo el mundo tenía, pagaba su clínica.
[0:20:16.00]-[0:20:18.00]  Se asociaba, ¿eh?
[0:20:18.00]-[0:20:19.00]  Acompañía.
[0:20:19.00]-[0:20:23.00]  Si se pasaba el termo, pues ellos lo juraban.
[0:20:23.00]-[0:20:26.00]  Pero pagaban cada mes.
[0:20:26.00]-[0:20:33.00]  Había la Alianza, había la Perpetua Socorro, que decían.
[0:20:33.00]-[0:20:36.00]  Después había la Clínica Montserrat.
[0:20:36.00]-[0:20:40.00]  Había la Clínica San José.
[0:20:40.00]-[0:20:43.00]  Y había varias clínicas pagando.
[0:20:43.00]-[0:20:51.00]  Entonces había para los más pobres, que no podían, el hospital provincial.
[0:20:51.00]-[0:20:58.00]  Y por ejemplo el tema de los embarazos, claro, ¿no?
[0:20:58.00]-[0:20:59.00]  ¿Era todo en caja?
[0:20:59.00]-[0:21:01.00]  Todo aquí, todo aquí.
[0:21:01.00]-[0:21:04.00]  Bueno, yo ya fui a la herida.
[0:21:04.00]-[0:21:09.00]  Ya había el Arnau, cuando tuve mi hijo, ya estaba el Arnau.
[0:21:09.00]-[0:21:17.00]  Ahora, a visitar, a visitarme a la herida, mientras estuve embarazada, ni una vez.
[0:21:17.00]-[0:21:18.00]  No, no, no.
[0:21:18.00]-[0:21:20.00]  Hasta el momento de Nater.
[0:21:20.00]-[0:21:21.00]  Aquí todo.
[0:21:21.00]-[0:21:25.00]  Pero aquí había dos comadronas al pueblo.
[0:21:25.00]-[0:21:26.00]  Claro, entonces.
[0:21:26.00]-[0:21:30.00]  Después uno de los médicos también era comadrón.
[0:21:30.00]-[0:21:33.00]  Y en cambio su madre era usted, imagino que la tendría en casa.
[0:21:33.00]-[0:21:36.00]  En casa, pero mi madre me tuvo a la herida.
[0:21:36.00]-[0:21:39.00]  Vivía a la herida, era de la herida.
[0:21:39.00]-[0:21:42.00]  Lo que pasa es que entonces mi padre era de aquí, y subimos a vivir aquí.
[0:21:42.00]-[0:21:45.00]  Pero a mí y a mis hermanas nos tuvieron a la herida.
[0:21:45.00]-[0:21:53.00]  Mi madre, a punto de morir de mi parto, pero en casa.
[0:21:53.00]-[0:22:01.00]  Estando adentro a la capital de la herida, no la pudieron coger y llevarla a una clínica.
[0:22:01.00]-[0:22:04.00]  Tres días de parto, la pobre.
[0:22:04.00]-[0:22:05.00]  Tres días.
[0:22:05.00]-[0:22:15.00]  Y después le vino una borraje después, que la tuvieron allí en la cama unos cuantos días, fiesa.
[0:22:15.00]-[0:22:17.00]  Esto siempre me lo explicaba.
[0:22:17.00]-[0:22:19.00]  Ahora, yo no lo digo.
[0:22:19.00]-[0:22:23.00]  No, no, te lo explica ahora, es verdad.
[0:22:23.00]-[0:22:28.00]  Sí, sí, va, la tiende la morra ella, se va a quedar allí, mira, pobreta.
[0:22:28.00]-[0:22:36.00]  Y mira, lo pudo contar, pero a veces se quedaban las parteras así.
[0:22:36.00]-[0:22:38.00]  No tenían asistencia.
[0:22:38.00]-[0:22:39.00]  Bueno, bueno estar bien.
[0:22:39.00]-[0:22:42.00]  No tenían asistencia.
[0:22:42.00]-[0:22:46.00]  Pero bueno, mira, aquellos tiempos eran así.
[0:22:46.00]-[0:22:57.00]  Y su relación con sus padres, sus tíos, sus abuelos, los adultos de su familia cuando era pequeña, ¿cómo era?
[0:22:57.00]-[0:23:01.00]  Porque eso es otra cosa que también ha cambiado mucho, cómo tratan ahora los hijos de sus padres.
[0:23:01.00]-[0:23:04.00]  Muy diferente, muy diferente.
[0:23:04.00]-[0:23:06.00]  ¿Usted qué relación tenía?
[0:23:06.00]-[0:23:13.00]  Relación tenía, pero no aquello que hacen ahora, ni pensar en eso.
[0:23:13.00]-[0:23:16.00]  ¿Qué ha cambiado en el futuro de la vida?
[0:23:16.00]-[0:23:17.00]  ¿Por qué?
[0:23:17.00]-[0:23:20.00]  Porque antes se trataba de ustedes a los padres.
[0:23:20.00]-[0:23:25.00]  Sí, y también, sí, y a los abuelos también.
