[0:00:00.00]-[0:00:04.00]  ¿Aquí hacían matanza?
[0:01:55.00]-[0:01:57.00]  ¿Y recogían la sangre o...?
[0:01:57.00]-[0:01:58.00]  Sí, sí.
[0:01:58.00]-[0:01:59.00]  ¿Cómo era eso?
[0:01:59.00]-[0:02:05.00]  La sangre la recogen, la señoren. Yo nunca lo vi porque fue una de las cosas que nunca me gustó.
[0:02:05.00]-[0:02:12.00]  Pero yo mamá sí que la recogía y después con esa sangre hacen las morcillas.
[0:02:12.00]-[0:02:15.00]  ¿Y cuando recogen la sangre tienen que hacer algo especial o no?
[0:02:15.00]-[0:02:23.00]  Revolverlo porque si no, como sale muy caliente, si no lo revuelven se panela, cría, se pone...
[0:02:23.00]-[0:02:38.00]  Panelaos llaman aquí y dicen que cría o se pone gorda. Entonces hay que revolverlo para que vaya enfriando un poco y que no se ponga... que no cría grumos.
[0:02:38.00]-[0:02:40.00]  ¿Y revolvían con la mano o...?
[0:02:40.00]-[0:02:42.00]  Sí, sí, con la mano, con la mano lo hacían.
[0:02:42.00]-[0:02:46.00]  ¿No tenían una cuchara de madera o algo especial?
[0:02:46.00]-[0:02:56.00]  No, no, yo creo que lo siguen revolviendo con la mano porque lo que te digo yo estuve en la matanza de mi hermano este año y yo creo que con la mano lo cogieron.
[0:02:56.00]-[0:02:59.00]  Y yo no estaba allí porque no me gusta, es una cosa que no me gusta verlo.
[0:02:59.00]-[0:03:06.00]  Estaba pero no estaba donde lo cogían la sangre. Pero así lo hacían.
[0:03:06.00]-[0:03:14.00]  Y así lo hacen, así yo creo que se sigue haciendo, creo que lo hacen como siempre, tradicional.
[0:03:14.00]-[0:03:20.00]  Porque hubo temporada una vez que cambiaron que si esto, que si lo otro y yo mi hermano por ejemplo.
[0:03:20.00]-[0:03:28.00]  No me acuerdo qué porque yo entonces no estaba pero me acuerdo que... no sé, no te lo sé decir.
[0:03:28.00]-[0:03:38.00]  Que cambiaron de sistema pero volvieron a lo tradicional otra vez porque lo que habían hecho no les resultó bien.
[0:03:38.00]-[0:03:43.00]  Y lo hacen, pues eso, siguen haciendo todos los años.
[0:03:43.00]-[0:03:50.00]  Yo aquí hago chorizo sin morcillas pero ya voy al matadero a buscarlo, vamos a Noreña.
[0:03:50.00]-[0:03:52.00]  ¿Qué es lo que busca el matadero?
[0:03:52.00]-[0:04:00.00]  Traemos el cerdo de allí, con la carne, traemos los jamones y traemos la carne que nos gusta porque te lo dan despiezado, lo que quieras.
[0:04:00.00]-[0:04:09.00]  Y después aquí pues lo hacemos. Te dan la sangre, te dan todo allí, te dan bueno, te lo venden, no lo compras.
[0:04:09.00]-[0:04:11.00]  Pero ¿cómo viene la sangre?
[0:04:11.00]-[0:04:22.00]  No fresca, eh. Del día. Sí, porque empiezan a matar a las 6 de la mañana y tú vas temprano y lo traes caliente.
[0:04:22.00]-[0:04:23.00]  ¿Caliente?
[0:04:23.00]-[0:04:27.00]  Sí, sí, sí. La sangre, o bien caliente.
[0:04:27.00]-[0:04:36.00]  No caliente como cuando sale, pero más bien templada que se ve que está fresca, que no es que esté atrosada
[0:04:36.00]-[0:04:42.00]  porque si lo dejas de hoy para mañana ya no está caliente, ya no está...
[0:04:42.00]-[0:04:47.00]  Nosotros lo hacemos todos los años en ese plazo.
[0:04:47.00]-[0:04:53.00]  Y este año lo hicimos en ese mes de diciembre.
[0:04:53.00]-[0:04:58.00]  ¿Y qué se le da en un cubo o cómo viene la sangre?
[0:04:58.00]-[0:05:03.00]  La sangre tienes que llevar un recipiente para traer.
[0:05:03.00]-[0:05:09.00]  Yo tengo una garrafa de esas de agua con tapadera. La uso para eso siempre.
[0:05:09.00]-[0:05:13.00]  La tengo guardada ahí. Y cuando me hace falta pues la llevo.
[0:05:13.00]-[0:05:17.00]  Que yo este año no fui, fui un sobrín que vive aquí.
[0:05:17.00]-[0:05:23.00]  Le aguanto a las 6 de la mañana y me fue a buscarlo. Entonces lo trajo.
[0:05:23.00]-[0:05:26.00]  ¿Y la carne es una carne especial o...?
[0:05:26.00]-[0:05:33.00]  Bueno, la carne es una carne de cerdo. Te lo dan por donde quieras, los jamones o la paletilla que llaman.
[0:05:33.00]-[0:05:37.00]  Lo que quieras tú, por donde más te guste.
[0:05:37.00]-[0:05:41.00]  Depende como... porque los chorizos... depende también de la carne.
[0:05:41.00]-[0:05:46.00]  Si echas carne muy seca, por ejemplo jamón solo.
[0:05:46.00]-[0:05:52.00]  Yo un año se me dio por decir, va, el jamón es mejor que nada, vamos a echar jamón.
[0:05:52.00]-[0:05:58.00]  Y me salen los chorizos muy duros. Ya no quedan jugosinos como...
[0:05:58.00]-[0:06:09.00]  Si traes jamón y traes la panceta que llaman, que lleva la parte así delante del cerdo que tiene más grasa,
[0:06:09.00]-[0:06:13.00]  ya te quedan los chorizos más...
[0:06:13.00]-[0:06:17.00]  Y en mis manos los críacos si tienen mucha grasa pues se lo quitan.
[0:06:17.00]-[0:06:21.00]  Porque depende, hay veces que tienen más grasa unos que otros.
[0:06:21.00]-[0:06:22.00]  Y quita la grasa.
[0:06:22.00]-[0:06:24.00]  Y quita la grasa, mucha grasa.
[0:06:24.00]-[0:06:27.00]  ¿Y cómo se puede quitar si está mezclada...?
[0:06:27.00]-[0:06:30.00]  Ya, pero la grasa tiene su sitio, ¿no?
[0:06:30.00]-[0:06:32.00]  Ya.
[0:06:32.00]-[0:06:35.00]  Cada cosa tiene su sitio.
[0:06:35.00]-[0:06:42.00]  Los guiñones, por ejemplo, están envueltos en una masa de grasa blanca que es grasa sola.
[0:06:42.00]-[0:06:48.00]  Y si tienes, oye, mucho el tocino...
[0:06:48.00]-[0:06:57.00]  Por ejemplo, vosotros veis el tocino que se compra en las carnicerías que está con vetas, uno más y otro menos.
[0:06:57.00]-[0:07:05.00]  Y si tiene mucho blanco pues se quita el blanco, se despedaza y se quita el blanco y se...
[0:07:05.00]-[0:07:07.00]  Y así.
[0:07:07.00]-[0:07:12.00]  ¿Y la carne, compran, pican en la carnicería la carne o cómo traen la carne?
[0:07:12.00]-[0:07:23.00]  Nosotros lo traemos sin picar porque mi hermano tuvo una carnicería antiguamente y entonces tiene una máquina eléctrica de picar.
[0:07:23.00]-[0:07:29.00]  Y entonces hoy me trae la máquina y él como lo entiende bien, pues bien y me lo pica aquí.
[0:07:29.00]-[0:07:31.00]  La carne viene sin picar.
[0:07:31.00]-[0:07:35.00]  Ahora, yo lo que no sé es si lo pican allí, eso no lo sé.
[0:07:35.00]-[0:07:40.00]  No sé porque yo siempre lo trajimos así sin picar.
[0:07:40.00]-[0:07:43.00]  ¿Y pican mucho ustedes la carne?
[0:07:43.00]-[0:07:50.00]  No, yo traigo lo que voy a hacer de chorizo, la carne que traigo es para los chorizos, no traigo más.
[0:07:50.00]-[0:07:52.00]  O tú que dices, ¿picado muy menudo?
[0:07:52.00]-[0:07:58.00]  Claro, eso es lo que pregunto, si pican, ¿cómo pican la carne?
[0:07:58.00]-[0:08:13.00]  Me pico más bien menudo, porque la máquina tiene dos placas, una con los agujeros más grandes y otra con los agujeros más pequeños, si la picas con los grandes te salen los chichos más grandes.
[0:08:13.00]-[0:08:25.00]  Y si no, pues con los pequeños te queda más fino y a nosotros nos gusta el chorizo más fino.
[0:08:25.00]-[0:08:34.00]  ¿Y tiene algún color la carne diferente de cuando se criaba el cerdo en casa a ahora que se llama?
[0:08:34.00]-[0:08:35.00]  No, yo creo que no.
[0:08:35.00]-[0:08:40.00]  Porque la carne del cerdo es de un color más que la de vaca, ¿no?
[0:08:40.00]-[0:08:45.00]  Si hombre, es más clara, la de vaca es más oscura.
[0:08:45.00]-[0:08:47.00]  Pero...
[0:08:47.00]-[0:08:49.00]  Yo tengo que congelar algo.
[0:08:49.00]-[0:08:52.00]  De vaca, bueno.
[0:08:52.00]-[0:08:53.00]  ¿Esta carne?
[0:08:53.00]-[0:08:59.00]  Esta carne son filetes, punta de pierna, sí, estos son filetes.
[0:08:59.00]-[0:09:06.00]  Entonces mi hermano tiene una máquina para embasarlo al vacío, igual que lo compras por ahí.
[0:09:06.00]-[0:09:14.00]  Y entonces él, pues como mata igual un chato que dos porque tienen una residencia y le sale más barato, pues...
[0:09:14.00]-[0:09:17.00]  Y entonces lo embasan hacia el vacío.
[0:09:17.00]-[0:09:18.00]  Es estupendo.
[0:09:18.00]-[0:09:23.00]  Y esta carne pues es un poco más, lo hay más claro, ¿eh?
[0:09:23.00]-[0:09:30.00]  Pero esto llega y ya en el congelador, yo lo tengo en el congelador y ya que lo quieres, pues lo sacas.
[0:09:30.00]-[0:09:38.00]  Ahora yo por ejemplo si quiero estos filetes para cenar, pues los dejo ahí fuera y los sacas están exactamente igual que los metiste.
[0:09:38.00]-[0:09:41.00]  Igual, igual, igual.
[0:09:41.00]-[0:09:45.00]  Y esto es un poco más oscuro porque esto tampoco era...
[0:09:45.00]-[0:09:47.00]  Depende del tamaño del animal.
[0:09:47.00]-[0:09:51.00]  Y además si la que compra uno en la carnicería no tiene ese color.
[0:09:51.00]-[0:09:54.00]  No tiene ese color, pero sale mejor este, ¿eh?
[0:09:54.00]-[0:09:56.00]  Sí.
[0:09:56.00]-[0:10:01.00]  Muy bien, esto muy bien. Lo que compras en la carnicería no tiene este gusto.
[0:10:01.00]-[0:10:09.00]  Le voy a preguntar las morcillas, aquí de qué hacen las morcillas, porque las morcillas son muy diferentes según los sitios.
[0:10:09.00]-[0:10:12.00]  Aquí las morcillas se echa la cebolla...
[0:10:12.00]-[0:10:13.00]  ¿Cocida o frita?
[0:10:13.00]-[0:10:23.00]  No, no, no, cruda. La cebolla picada, picada menuda y la sangre y la grasa del cerdo.
[0:10:23.00]-[0:10:31.00]  Una buena cantidad de grasa del cerdo. Se echa en una balsa que tengas, la apropiada para eso.
[0:10:31.00]-[0:10:45.00]  Y primero se echa la cebolla y después se echa la grasa, se coloca toda la... el cacharro todo como un trozo de grasa así todo por encima bien repartido.
[0:10:45.00]-[0:10:54.00]  Y después se echa la sangre y pimentón, dulce y picante, depende del gusto de cada uno.
[0:10:54.00]-[0:10:56.00]  ¿Echan más de un tipo que de otro o como...?
[0:10:56.00]-[0:10:59.00]  No, aquí más bien dulce.
[0:10:59.00]-[0:11:08.00]  Para esta parte el picante no... hombre hay gente que le gusta y a lo mejor igual hacen un poco más picante porque...
[0:11:08.00]-[0:11:19.00]  pero normalmente habiendo críos nosotros aquí en casa siempre lo hicimos y yo igual ahora lo hacemos normal.
[0:11:19.00]-[0:11:22.00]  Pero más dulce que picante siempre.
[0:11:22.00]-[0:11:30.00]  Si traes un kilo de dulce, traes un kilo de picante y todavía sobra. Se echan menos.
[0:11:30.00]-[0:11:37.00]  Y la morcilla lleváis una más, bueno a veces le echamos un poco de calabazo también, que el calabazo sabéis lo que es.
[0:11:37.00]-[0:11:38.00]  ¿Como calabaza?
[0:11:38.00]-[0:11:39.00]  Sí.
[0:11:39.00]-[0:11:41.00]  Aquí le llaman calabazos.
[0:11:41.00]-[0:11:45.00]  Aquí es calabaza. O calabaza bueno también.
[0:11:45.00]-[0:11:47.00]  Pero tanta cantidad como de morcilla.
[0:11:47.00]-[0:11:49.00]  No, como de cebolla no.
[0:11:49.00]-[0:11:50.00]  Como de cebolla.
[0:11:50.00]-[0:11:52.00]  No, un poco.
[0:11:52.00]-[0:11:58.00]  Calabaza a lo mejor sí, es repartido porque dicen que es mejor.
[0:11:58.00]-[0:12:03.00]  Bueno aquí siempre hay esa costumbre, hay otros pueblos que no y hay gente que no le gusta.
[0:12:03.00]-[0:12:09.00]  Y nosotros aquí si la hay a veces no la hay porque no se sieme.
[0:12:09.00]-[0:12:19.00]  Nosotros siempre sembramos ahí, la sembré yo el otro día que las encontré ahí que el marido mío se había guardado el año pasado cuando lo hicimos.
[0:12:19.00]-[0:12:22.00]  Y era él el encargado de sembrarlas.
[0:12:22.00]-[0:12:26.00]  Y ahora a lo mejor ya ya tarde, dicen que ya ya tarde y bueno, nada.
[0:12:26.00]-[0:12:34.00]  Y si no lo tienes pues no lo echas no pasa nada, tampoco es una cosa que sea precisamente...
[0:12:34.00]-[0:12:40.00]  Pero la morcilla es la cebolla y la grasa y la sangre, el pimentón y la sal.
[0:12:40.00]-[0:12:41.00]  Nada más.
[0:12:41.00]-[0:12:43.00]  ¿Y luego?
[0:12:43.00]-[0:12:46.00]  Y luego pues la hay que colgar, los hay que secar.
[0:12:46.00]-[0:12:48.00]  ¿No se cuece?
[0:12:48.00]-[0:12:51.00]  Sí, ahí es verdad, hay que cocerlos.
[0:12:51.00]-[0:12:55.00]  Aquí los cuecen, en otros sitios no los cuecen, hay sitios que no los cuecen.
[0:12:55.00]-[0:12:56.00]  ¿Ah no?
[0:12:56.00]-[0:12:57.00]  Sí.
[0:12:57.00]-[0:13:05.00]  Yo tengo una cuñada que es de la parte de Sama, de un pueblo de Sama, de la Nueva y allí no los cuecen.
[0:13:05.00]-[0:13:08.00]  Pero aquí sí, aquí los cocemos.
[0:13:08.00]-[0:13:14.00]  Se pone un... yo tengo una barbacoa de seis redondes.
[0:13:14.00]-[0:13:20.00]  Antiguamente se atizaba fuera y lo cocían fuera, yo me acuerdo de mamá de verla cocerlo fuera.
[0:13:20.00]-[0:13:27.00]  Pero ahora pues con eso, con el gas lo pones ahí y lo cueces en sede.
[0:13:27.00]-[0:13:30.00]  ¿Y el agua que suelto de las morcillas?
[0:13:30.00]-[0:13:32.00]  Ya para tirar, eso para tirar.
[0:13:32.00]-[0:13:34.00]  ¿Aquí no se tomaba?
[0:13:34.00]-[0:13:35.00]  No, no, no, no.
[0:13:35.00]-[0:13:37.00]  ¿Ni tenía un nombre especial tampoco?
[0:13:37.00]-[0:13:46.00]  No, yo aquí voy y a lo mejor había otros cerdos ya pequeños, porque a veces ya cuando se mataban unos ya se compraban otros.
[0:13:46.00]-[0:13:51.00]  Pues a lo mejor igual se les echaba algo, pero poco, porque yo me acuerdo de ir a mi abuela a decir,
[0:13:51.00]-[0:13:57.00]  no le eches mucho que tiene mucha grasa y igual le hace daño, claro, porque eran pequeños todavía.
[0:13:57.00]-[0:13:59.00]  Eso sí.
[0:13:59.00]-[0:14:02.00]  Pero otra manera ahora nada, tirarlo.
[0:14:02.00]-[0:14:05.00]  Se aprovecha para nada.
[0:14:05.00]-[0:14:08.00]  Y eso es.
[0:14:08.00]-[0:14:10.00]  Y nada más, no sé que te voy a decir más.
[0:14:10.00]-[0:14:14.00]  ¿Y aquí dice que tenían vacas cuando usted, ahora quedan vacas en el pueblo o no?
[0:14:14.00]-[0:14:15.00]  No.
[0:14:15.00]-[0:14:16.00]  No.
[0:14:16.00]-[0:14:19.00]  ¿Y cuando usted era niña había vacas en el pueblo?
[0:14:19.00]-[0:14:23.00]  Sí, sí, sí, nosotros teníamos cuatro, ocho, seis, depende.
[0:14:23.00]-[0:14:25.00]  ¿Y esas vacas para qué eran?
[0:14:25.00]-[0:14:30.00]  Pues esas vacas, se vendía la leche, entonces se vendía la leche.
[0:14:30.00]-[0:14:33.00]  Tenía un camión recogiendo la leche diariamente.
[0:14:33.00]-[0:14:34.00]  ¿Diariamente?
[0:14:34.00]-[0:14:37.00]  Sí, sí, diariamente.
[0:14:37.00]-[0:14:38.00]  ¿Y vendían?
[0:14:38.00]-[0:14:41.00]  Sí, se vendía la leche, sí, sí.
[0:14:41.00]-[0:14:42.00]  ¿Y quién ordeñaba?
[0:14:42.00]-[0:14:48.00]  Pues mi padre y mi madre los dos, mis dos hermanos, yo tengo tres hermanos varones.
[0:14:48.00]-[0:14:56.00]  Yo nunca, a mí nunca me gustó ir a la cuadra.
[0:14:56.00]-[0:15:01.00]  Pero ellos, mamá sí, mamá iba con papá para ordeñar igual que él,
[0:15:01.00]-[0:15:08.00]  y si papá un día no estaba por cualquier cosa, pues iba ella y ordeñaba, escribía,
[0:15:08.00]-[0:15:14.00]  y tenía unos bidones y lo echaban en el bidón, y después venía el camión y lo recogía,
[0:15:14.00]-[0:15:20.00]  bajaban ahí a la carretera y lo llevaban, era lo que había.
[0:15:20.00]-[0:15:24.00]  ¿Y había que mantener la leche a una temperatura como...?
[0:15:24.00]-[0:15:31.00]  Bueno, ahora sí, ahora ya unos años que tienen los que tienen ganadería, pues tienen enfriadores,
[0:15:31.00]-[0:15:34.00]  aquí en el pueblo hubo muchos con enfriadores,
[0:15:34.00]-[0:15:39.00]  porque entonces ya empezaron a venir no diariamente a buscarlo,
[0:15:39.00]-[0:15:46.00]  pero de aquella no, de aquella ordeñaban, y yo me acuerdo de papá el de Firaima,
[0:15:46.00]-[0:15:51.00]  hay que levantar, levantar mañana a madrugar que viene la leche, y ordeñar, claro,
[0:15:51.00]-[0:15:57.00]  y si venía el camión a las 8 tenías que tener ordeñado para que lo llevara el camión,
[0:15:57.00]-[0:16:02.00]  no podías quedarte en la cama, tenía que ser...
[0:16:02.00]-[0:16:16.00]  ¿Y no se enfriaba, es decir, llevaban la leche caliente o llevaban la leche ya más fresca o...?
[0:16:16.00]-[0:16:19.00]  La leche lo llevaban según salía de la vaca.
[0:16:19.00]-[0:16:20.00]  Ya.
[0:16:20.00]-[0:16:25.00]  Y ahí se, mi mamá tenía un caldero para ordeñar y después en aquel caldero había un...
[0:16:25.00]-[0:16:35.00]  en el bidón donde lo echaban tenía un colador grande que ponían encima y lo echaban en el colador para que no fuera...
[0:16:35.00]-[0:16:38.00]  Oye, la leche siempre se coló, yo me acuerdo de siempre...
[0:16:38.00]-[0:16:41.00]  ¿Ah sí? ¿Y por qué se coló?
[0:16:41.00]-[0:16:49.00]  Oye, porque al ordeñar puede caer rago, siempre suelen tener alguna cosa, oye, la vaca,
[0:16:49.00]-[0:16:53.00]  por mi limpia, aunque la lavaron siempre, yo me acuerdo del papá,
[0:16:53.00]-[0:16:56.00]  coger un caldero y ir a lavar la...
[0:16:56.00]-[0:16:57.00]  La ubre.
[0:16:57.00]-[0:17:00.00]  La ubre de la vaca por ordeñar, claro.
[0:17:00.00]-[0:17:04.00]  Pero así todo la leche se cola y se cuela y se sigue colando.
[0:17:04.00]-[0:17:06.00]  ¿Y salía de un buen color la leche?
[0:17:06.00]-[0:17:08.00]  La leche sí.
[0:17:08.00]-[0:17:13.00]  La leche mancha el vaso, no esto que echamos ahora que no mancha el vaso.
[0:17:13.00]-[0:17:15.00]  Aquello manchaba el vaso.
[0:17:15.00]-[0:17:21.00]  A mí me gustaba mucho, no me gusta de nena, pero de nena me gustaba mucho ir a la cuadra
[0:17:21.00]-[0:17:28.00]  y tomar un vaso de leche recién ordeñado, porque fui muy ruina de comedora y así de...
[0:17:28.00]-[0:17:31.00]  Y me gustaba mucho la leche.
[0:17:31.00]-[0:17:39.00]  Ir ahí y tomar un vaso, yo con un vaso y me echaba papá un vaso de leche y lo tomaba...
[0:17:39.00]-[0:17:40.00]  ¿Recién?
[0:17:40.00]-[0:17:45.00]  Recién, sí, sí, saliente, recién ordeñado y me gustaba.
[0:17:45.00]-[0:17:48.00]  Y ahora seguramente ya no me gustará si lo tomo ahora.
[0:17:48.00]-[0:17:51.00]  Pero cuando acaba de ordeñar se tiene mucha nata, ¿no?
[0:17:51.00]-[0:17:52.00]  Sí, claro.
[0:17:52.00]-[0:17:54.00]  ¿Y cómo, cómo, por qué?
[0:17:54.00]-[0:17:57.00]  No, pero cuando acaba de ordeñar tiene como una espuma.
[0:17:57.00]-[0:17:58.00]  Eso es.
[0:17:58.00]-[0:18:05.00]  Sale como una espuma de la fuerza del ordeño, pero bueno, yo como por favor ordeñaba a lo mejor en un caldero que tenía para eso,
[0:18:05.00]-[0:18:11.00]  pues me lo echaba a mí en un vaso, pues ya no tenía tanta...
[0:18:11.00]-[0:18:16.00]  Pero sí, nata sí, te daba la leche de un día para otro y tenía una nata así.
[0:18:16.00]-[0:18:19.00]  No me acuerdo de eso, de hacer manteca, sí, de hacer cosas así.
[0:18:19.00]-[0:18:20.00]  ¿Qué hacían con la nata?
[0:18:20.00]-[0:18:25.00]  Pues eso, una manteca o dos o cuatro y subiera y lo comíamos.
[0:18:25.00]-[0:18:27.00]  Pues mira, todavía lo hago ahora.
[0:18:27.00]-[0:18:28.00]  Sí.
[0:18:28.00]-[0:18:33.00]  Todavía lo hice hace poco, no sé si tengo en la nevera alguna, en el congelador, una.
[0:18:33.00]-[0:18:38.00]  Porque tengo un primo ahí abajo que tiene una vaca, es la única que hay en todo el pueblo.
[0:18:38.00]-[0:18:46.00]  Que está retirada ya, pero tiene la porque él tiene un ropundante para la leche y dice mientras pueda que quiera tomar leche de casa.
[0:18:46.00]-[0:18:52.00]  Y a veces pues la nata se lo quitan porque tiene mucho, tiene una nata así de horda.
[0:18:52.00]-[0:18:57.00]  Y muchas veces me lo dan y hago un bizcocho, hago una manteca.
[0:18:57.00]-[0:19:02.00]  Y la manteca pues ahora como todas las modernidades, con la batidora.
[0:19:02.00]-[0:19:03.00]  ¿Con la batidora se hace?
[0:19:03.00]-[0:19:06.00]  Sí, lo echas en el cacharro, la batidora.
[0:19:06.00]-[0:19:08.00]  Pero en una batidora de...
[0:19:08.00]-[0:19:11.00]  Normal, la batidora normal de...
[0:19:11.00]-[0:19:13.00]  ¿El vaso de este de batir?
[0:19:13.00]-[0:19:15.00]  El vaso y la batidora.
[0:19:15.00]-[0:19:19.00]  ¿Mete la nata en el vaso con la batidora y luego que echa agua, cómo?
[0:19:19.00]-[0:19:24.00]  Me echas la nata y lo bates con la batidora bien un rato.
[0:19:24.00]-[0:19:32.00]  Y después que ves que ya se empieza a poner manteca porque después se empieza a soltar el suero que llamamos.
[0:19:32.00]-[0:19:37.00]  Que es como si fuese el agua que tiene la leche, que no imagino yo que será.
[0:19:37.00]-[0:19:42.00]  Cuando ya se empieza a poner un poco duro, que ves queso, pues entonces agua fría.
[0:19:42.00]-[0:19:45.00]  Echas un poco de agua fría y sigues batiendo.
[0:19:45.00]-[0:19:52.00]  Y eres batiendo, sigues batiendo, hasta que se ponga y la manteca se queda fuera del agua.
[0:19:52.00]-[0:19:54.00]  Separa el agua que tiene la manteca.
[0:19:54.00]-[0:19:59.00]  Entonces lo saco del cacharro ese, lo pongo en un plato, lo lavo bien al grifo.
[0:19:59.00]-[0:20:05.00]  Lo estripo bien para que salga la leche todo y que quede la manteca limpia, amarilla, hermosa.
[0:20:05.00]-[0:20:08.00]  No sé si tendré una en la helera.
[0:20:08.00]-[0:20:10.00]  Que eso es un robuste.
[0:20:10.00]-[0:20:11.00]  Bueno.
[0:20:11.00]-[0:20:12.00]  ¿Ves, Verda?
[0:20:12.00]-[0:20:13.00]  Sí.
[0:20:13.00]-[0:20:14.00]  Que amarilla, ¿no?
[0:20:14.00]-[0:20:15.00]  Sí.
[0:20:15.00]-[0:20:17.00]  Este es un color muy amarillo.
[0:20:17.00]-[0:20:20.00]  Sí, porque depende, esto depende de las vacas también.
[0:20:20.00]-[0:20:22.00]  Las vacas, según que vaca la leche…
[0:20:22.00]-[0:20:23.00]  Depende, sí.
[0:20:23.00]-[0:20:25.00]  Una que es más amarilla, otra más blanca, sí.
[0:20:25.00]-[0:20:26.00]  ¿Ah, sí?
[0:20:26.00]-[0:20:28.00]  O de lo que comen también.
[0:20:28.00]-[0:20:36.00]  Porque es curioso, porque nos han enseñado otras mantecas y eran de color más blanco, sí.
[0:20:36.00]-[0:20:42.00]  No, yo lo he comprado también, que esa manteca que dices, oye, porque eso hay manteca en lugar de margarina,
[0:20:42.00]-[0:20:47.00]  pues también hay manteca para comprar, pero es más blanco, no es como esta.
[0:20:47.00]-[0:20:48.00]  Sí.
[0:20:48.00]-[0:20:52.00]  Es muy delicioso, a mí me encanta, lo que pasa es que no puedo comer mucho.
[0:20:52.00]-[0:20:54.00]  ¿Por el colesterol?
[0:20:54.00]-[0:21:01.00]  No, no tengo colesterol, pero bueno, estoy gorda, demasiado, y bueno, este vaso no nos conviene.
[0:21:01.00]-[0:21:05.00]  Puedes comerlo un día, pero…
[0:21:05.00]-[0:21:08.00]  Pues esta es la manteca, así se queda.
[0:21:08.00]-[0:21:15.00]  Después de la nata, lo bates bien batido con eso, que antiguamente, antes claro, no había batidoras,
[0:21:15.00]-[0:21:28.00]  pero yo antiguamente me acuerdo que lo hacían en un cacharro, lo tapaban por encima con un paño, y después así, dando así, dando, dando.
[0:21:28.00]-[0:21:30.00]  Y eso se llamaba amazar, ¿no?
[0:21:30.00]-[0:21:32.00]  Amazar, efectivamente.
[0:21:32.00]-[0:21:35.00]  Eso mismo, eso era amazar.
[0:21:35.00]-[0:21:47.00]  Nos va a contar un poco también, o sea, que la leche, vendían la leche y hoy en día ya no se vende aquí nada, ¿no?
[0:21:47.00]-[0:21:49.00]  Ya nada, no quedan.
[0:21:49.00]-[0:21:54.00]  Y tienen vacas todavía para el carne, por ejemplo, ¿o no?
[0:21:54.00]-[0:21:58.00]  No, ahora mismo no.
[0:21:58.00]-[0:22:01.00]  Nos ha dicho antes que aquí había ovejas.
[0:22:01.00]-[0:22:03.00]  Sí, eso es, eso es, sí.
[0:22:03.00]-[0:22:09.00]  Y todavía. ¿Y para qué eran antes las ovejas y ahora cuál es la…?
[0:22:09.00]-[0:22:22.00]  Bueno, pues las ovejas ahora y antes pues para criar los corderos, que lo que dan, que venden los corderos, lo que dan.
[0:22:22.00]-[0:22:31.00]  Lo que producen las ovejas aquí, porque aquí no se ordeñan ni nada, hoy hay países cabrales y por ahí que hacen el queso ese, se la ordeñan, pero aquí no.
[0:22:31.00]-[0:22:32.00]  Aquí no.
[0:22:32.00]-[0:22:35.00]  ¿No es solo que te crían un cordero?
