[0:00:00.00]-[0:00:02.00]  Diganme tus nombres.
[0:02:37.00]-[0:02:38.00]  Es que la gris es...
[0:02:38.00]-[0:02:39.00]  Es que la gris es...
[0:02:39.00]-[0:02:40.00]  Es que la gris es...
[0:02:40.00]-[0:02:41.00]  Es que la gris es...
[0:02:41.00]-[0:02:42.00]  Es que la gris es...
[0:02:42.00]-[0:02:43.00]  Es que la gris es...
[0:02:43.00]-[0:02:44.00]  Es que la gris es...
[0:02:44.00]-[0:02:45.00]  Es que la gris es...
[0:02:45.00]-[0:02:46.00]  Es que la gris es...
[0:02:46.00]-[0:02:53.00]  Es que la garba con...
[0:02:53.00]-[0:02:55.00]  y si no tienes lavadoras, no tienes lavamante
[0:02:55.00]-[0:02:57.00]  ni vives ni se mueres
[0:02:57.00]-[0:02:59.00]  en el tiempo ha sido muy lavado
[0:02:59.00]-[0:03:01.00]  si, y las balsas que había, lavaderos que había
[0:03:01.00]-[0:03:03.00]  y con fuentes, había unos lavaderos
[0:03:03.00]-[0:03:05.00]  ni hay progresos
[0:03:05.00]-[0:03:07.00]  ni veras, ni televisión
[0:03:07.00]-[0:03:09.00]  y todo el mundo vive
[0:03:09.00]-[0:03:11.00]  y te cae una pedregada y al año que empieza
[0:03:11.00]-[0:03:13.00]  a la otra vez
[0:03:13.00]-[0:03:15.00]  no puedo parar
[0:03:15.00]-[0:03:17.00]  pero con la agricultura
[0:03:17.00]-[0:03:19.00]  de nuestra gente
[0:03:19.00]-[0:03:21.00]  no se puede
[0:03:21.00]-[0:03:23.00]  no hay nada que no sepa
[0:03:23.00]-[0:03:25.00]  todas son claras
[0:03:25.00]-[0:03:27.00]  y las traemos a la
[0:03:27.00]-[0:03:29.00]  de la señora que nos parece
[0:03:29.00]-[0:03:31.00]  tengo toda la cinta
[0:03:31.00]-[0:03:33.00]  como no dice nada
[0:03:33.00]-[0:03:35.00]  y ahí está
[0:03:35.00]-[0:03:37.00]  ¿sabes a señor?
[0:03:37.00]-[0:03:39.00]  tenéis dos cosas muy importantes
[0:03:39.00]-[0:03:41.00]  mucha suerte
[0:03:41.00]-[0:03:43.00]  que sois jóvenes y guapas
[0:03:43.00]-[0:03:45.00]  gracias
[0:03:45.00]-[0:03:47.00]  lo de guapa no se, pero lo de jóvenes si que es verdad
[0:03:47.00]-[0:03:49.00]  las dos cosas
[0:03:49.00]-[0:03:51.00]  es que no hay otro
[0:03:51.00]-[0:03:53.00]  bueno, si
[0:03:53.00]-[0:03:55.00]  ¿y tienen hijos?
[0:03:55.00]-[0:03:57.00]  si, dos
[0:03:57.00]-[0:03:59.00]  ¿están más cerca de los dos?
[0:03:59.00]-[0:04:01.00]  si, dos
[0:04:01.00]-[0:04:03.00]  yo dos tengo, pero ya son mayores
[0:04:03.00]-[0:04:05.00]  y no viven con nosotros
[0:04:05.00]-[0:04:07.00]  si, viven conmigo
[0:04:07.00]-[0:04:09.00]  yo dos tengo, pero casados también
[0:04:09.00]-[0:04:11.00]  ¿se han ido a vivir a ciudad?
[0:04:11.00]-[0:04:13.00]  no, el uno vive en la misma casa que en el otro piso
[0:04:13.00]-[0:04:15.00]  y el otro en Barbastro
[0:04:15.00]-[0:04:17.00]  ah, si
[0:04:17.00]-[0:04:19.00]  ¿tienen niños?
[0:04:19.00]-[0:04:21.00]  si, no parecen a cada uno
[0:04:21.00]-[0:04:23.00]  si, nada acontecido
[0:04:23.00]-[0:04:25.00]  el de casa ya tiene la nieta
[0:04:25.00]-[0:04:27.00]  estudiando en Madrid
[0:04:27.00]-[0:04:29.00]  y el nieto está en Inglaterra
[0:04:29.00]-[0:04:31.00]  se ha ido a aprender un poco el inglés
[0:04:31.00]-[0:04:33.00]  ah, pues muy bien
[0:04:33.00]-[0:04:35.00]  ya tiene 22 años, la nieta 19
[0:04:35.00]-[0:04:37.00]  y el pueblo
[0:04:37.00]-[0:04:39.00]  supongo que habrá fiestas
[0:04:39.00]-[0:04:41.00]  si, aquí si
[0:04:41.00]-[0:04:43.00]  ¿y cuándo son?
[0:04:43.00]-[0:04:45.00]  aquí hay una fashion martín
[0:04:45.00]-[0:04:47.00]  el 11 de noviembre es la fiesta de todo el pueblo
[0:04:47.00]-[0:04:49.00]  de todo el pueblo este
[0:04:49.00]-[0:04:51.00]  como aquí hay varios barrios, cada barrio tiene su fiesta
[0:04:51.00]-[0:04:53.00]  su paternal
[0:04:53.00]-[0:04:55.00]  ah, cada bar y en el de ustedes que
[0:04:55.00]-[0:04:57.00]  cuelga fiesta
[0:04:57.00]-[0:04:59.00]  entonces venimos aquí
[0:04:59.00]-[0:05:01.00]  como estamos abajo, venimos aquí
[0:05:01.00]-[0:05:03.00]  el 11 de noviembre es el martín
[0:05:03.00]-[0:05:05.00]  que es el patrón del pueblo
[0:05:05.00]-[0:05:07.00]  la iglesia también
[0:05:07.00]-[0:05:09.00]  pues eso se hace todo el pueblo
[0:05:09.00]-[0:05:11.00]  todo el pueblo
[0:05:11.00]-[0:05:13.00]  empieza ya en el salito de todos estos barrios
[0:05:13.00]-[0:05:15.00]  y hasta ese de allá de ahí
[0:05:15.00]-[0:05:17.00]  que ahora ya se lo ha comido
[0:05:17.00]-[0:05:19.00]  se lo ha comido a Insa
[0:05:19.00]-[0:05:21.00]  y después
[0:05:21.00]-[0:05:23.00]  es que el barrio es del mismo ayuntamiento
[0:05:23.00]-[0:05:25.00]  hay un
[0:05:25.00]-[0:05:27.00]  los ha preparado
[0:05:27.00]-[0:05:29.00]  los barrios de allá
[0:05:29.00]-[0:05:31.00]  San Ippolito de aquí
[0:05:31.00]-[0:05:33.00]  y Santa Vega de Usana
[0:05:33.00]-[0:05:35.00]  y claro, hacen comida
[0:05:35.00]-[0:05:37.00]  bueno, buena comida
[0:05:37.00]-[0:05:39.00]  y baile
[0:05:39.00]-[0:05:41.00]  que viene una orquesta
[0:05:41.00]-[0:05:43.00]  que hacíamos ronda
[0:05:43.00]-[0:05:45.00]  ¿ronda que era eso?
[0:05:45.00]-[0:05:47.00]  que cantar, que quichates
[0:05:47.00]-[0:05:49.00]  era pues la orquesta
[0:05:49.00]-[0:05:51.00]  por todas las
[0:05:51.00]-[0:05:53.00]  por todas las casas y buscaban un jotere
[0:05:53.00]-[0:05:55.00]  y les cantaban a las chicas
[0:05:55.00]-[0:05:57.00]  ¡hola!
[0:05:57.00]-[0:05:59.00]  ¡que bonito!
[0:05:59.00]-[0:06:01.00]  eso ya no lo hacen
[0:06:01.00]-[0:06:03.00]  poco a poco se fue empezando
[0:06:03.00]-[0:06:05.00]  claro
[0:06:05.00]-[0:06:07.00]  y luego se baila
[0:06:07.00]-[0:06:09.00]  y aquí en la pista cantaban a la orquesta
[0:06:09.00]-[0:06:11.00]  y al salir de Insa se cantaba
[0:06:11.00]-[0:06:13.00]  a esta cantaba a la cancion
[0:06:13.00]-[0:06:15.00]  de la Jota
[0:06:15.00]-[0:06:17.00]  el calzador
[0:06:17.00]-[0:06:19.00]  en Insa aún lo hacen
[0:06:19.00]-[0:06:21.00]  casi todos los años
[0:06:21.00]-[0:06:23.00]  pero aquí ya los pueblos pequeños
[0:06:23.00]-[0:06:25.00]  ha quedado poca gente
[0:06:25.00]-[0:06:27.00]  ¡hola!
[0:06:27.00]-[0:06:29.00]  estamos entrevistando
[0:06:31.00]-[0:06:33.00]  ¿no está ahí el cariño?
[0:06:33.00]-[0:06:35.00]  si, si
[0:06:35.00]-[0:06:37.00]  que ahora ya nos tendremos aquí
[0:06:37.00]-[0:06:39.00]  con estas chicas
[0:06:39.00]-[0:06:41.00]  que nos hacen una entrevista
[0:06:41.00]-[0:06:43.00]  ¿qué nos haces?
[0:06:43.00]-[0:06:45.00]  bueno pues si
[0:06:45.00]-[0:06:47.00]  que se viva ya ha sido suficiente
[0:06:47.00]-[0:06:49.00]  que te ha gustado
[0:06:49.00]-[0:06:51.00]  encantada
[0:06:51.00]-[0:06:53.00]  ¿también puedes venir a misa?
[0:06:53.00]-[0:06:55.00]  ¿también puedes venir a misa?
[0:06:55.00]-[0:06:57.00]  ¿también te gusta?
[0:06:57.00]-[0:06:59.00]  ¿te gusta venir a misa?
[0:06:59.00]-[0:07:01.00]  bueno, bueno
[0:07:01.00]-[0:07:03.00]  los abuelos lo intentan
[0:07:03.00]-[0:07:05.00]  ah si
[0:07:05.00]-[0:07:07.00]  han entrado
[0:07:07.00]-[0:07:09.00]  pero igual
[0:07:09.00]-[0:07:11.00]  vale
[0:07:11.00]-[0:07:13.00]  hasta luego, gracias
[0:07:13.00]-[0:07:15.00]  nos vemos ya
[0:07:17.00]-[0:07:19.00]  como estábamos hablando
[0:07:19.00]-[0:07:21.00]  antes de la educación
[0:07:21.00]-[0:07:23.00]  del colegio
[0:07:23.00]-[0:07:25.00]  los compañeros siguen teniendo
[0:07:25.00]-[0:07:27.00]  relación con ellos
[0:07:27.00]-[0:07:29.00]  si, si, si
[0:07:29.00]-[0:07:31.00]  son del pueblo también
[0:07:31.00]-[0:07:33.00]  si claro, del pueblo también
[0:07:33.00]-[0:07:35.00]  no venía tanta gente de fuera como ahora
[0:07:35.00]-[0:07:37.00]  claro
[0:07:37.00]-[0:07:39.00]  si, se han creado juntos
[0:07:39.00]-[0:07:41.00]  si, si, si
[0:07:41.00]-[0:07:43.00]  algunos se han casado y se han ido fuera
[0:07:43.00]-[0:07:45.00]  pero van viniendo
[0:07:45.00]-[0:07:47.00]  viniendo
[0:07:47.00]-[0:07:49.00]  final de semana
[0:07:49.00]-[0:07:51.00]  si, otros ya se han muerto
[0:07:51.00]-[0:07:53.00]  y que
[0:07:53.00]-[0:07:55.00]  asignaturas estudiaban ustedes en el colegio?
[0:07:55.00]-[0:07:57.00]  pues todas
[0:07:57.00]-[0:07:59.00]  en conjunto
[0:07:59.00]-[0:08:01.00]  un poquito de todo
[0:08:01.00]-[0:08:03.00]  todas, si
[0:08:03.00]-[0:08:05.00]  porque en un libro iban todas las
[0:08:05.00]-[0:08:07.00]  asignaturas, ¿me entiendes?
[0:08:07.00]-[0:08:09.00]  ¿utilizaban solo un libro?
[0:08:09.00]-[0:08:11.00]  solo un libro
[0:08:11.00]-[0:08:13.00]  era grande, ¿no?
[0:08:13.00]-[0:08:15.00]  pero allí estaban todas las
[0:08:15.00]-[0:08:17.00]  asignaturas
[0:08:17.00]-[0:08:19.00]  ¿y allí qué es lo que les enseñaban a escribir?
[0:08:19.00]-[0:08:21.00]  pues si, a todo
[0:08:21.00]-[0:08:23.00]  si, las cuentas
[0:08:23.00]-[0:08:25.00]  las también
[0:08:25.00]-[0:08:27.00]  eso, multiplicar, dividir
[0:08:27.00]-[0:08:29.00]  o sea
[0:08:29.00]-[0:08:31.00]  arrastar, multiplicar y dividir
[0:08:31.00]-[0:08:33.00]  y luego pues también lo demás
[0:08:33.00]-[0:08:35.00]  también
[0:08:35.00]-[0:08:37.00]  una cultura, ¿no?
[0:08:37.00]-[0:08:39.00]  si, si, si
[0:08:39.00]-[0:08:41.00]  cada uno según la inteligencia que tuviera
[0:08:41.00]-[0:08:43.00]  pues aprendía más o aprendía menos
[0:08:43.00]-[0:08:45.00]  ¿me entiendes? hacía más o hacía menos
[0:08:45.00]-[0:08:47.00]  claro
[0:08:47.00]-[0:08:49.00]  y nada, ¿en cuanto a todos los
[0:08:49.00]-[0:08:51.00]  profesores os mandaban deberes?
[0:08:51.00]-[0:08:53.00]  pues no, entonces
[0:08:53.00]-[0:08:55.00]  no, era atender en clase
[0:08:55.00]-[0:08:57.00]  atender en clase nada más
[0:08:57.00]-[0:08:59.00]  porque aquí precisamente
[0:08:59.00]-[0:09:01.00]  hubo una maestra que era
[0:09:01.00]-[0:09:03.00]  tía mía, estaba casada con una hermana y mi padre
[0:09:03.00]-[0:09:05.00]  y estuvo todo el tiempo
[0:09:05.00]-[0:09:07.00]  ella, hasta que se jubiló
[0:09:07.00]-[0:09:09.00]  el primer pueblo que
[0:09:09.00]-[0:09:11.00]  ejerció fue este y aquí
[0:09:11.00]-[0:09:13.00]  se quedó hasta que se jubiló
[0:09:13.00]-[0:09:15.00]  fíjate, así que siempre tuvimos
[0:09:15.00]-[0:09:17.00]  el mismo profesor
[0:09:17.00]-[0:09:19.00]  y la profesora
[0:09:19.00]-[0:09:21.00]  ¿y los profesores que ponían muchos
[0:09:21.00]-[0:09:23.00]  castigos?
[0:09:23.00]-[0:09:25.00]  no, no, no
[0:09:25.00]-[0:09:27.00]  buena profesora
[0:09:27.00]-[0:09:29.00]  quiere decir
[0:09:29.00]-[0:09:31.00]  íbamos muchos, eh
[0:09:31.00]-[0:09:33.00]  si llevamos 25, a lo mejor
[0:09:33.00]-[0:09:35.00]  20, 20
[0:09:35.00]-[0:09:37.00]  13, si, si, si
[0:09:37.00]-[0:09:39.00]  muchos
[0:09:39.00]-[0:09:41.00]  ¿y ahora ya no hay colegio?
[0:09:41.00]-[0:09:43.00]  no, lo cerraron y se agrupan a
[0:09:43.00]-[0:09:45.00]  Ainsa
[0:09:45.00]-[0:09:47.00]  va un autobús, lo recoge
[0:09:47.00]-[0:09:49.00]  salen ahí a la carretera y
[0:09:49.00]-[0:09:51.00]  van a Ainsa
[0:09:51.00]-[0:09:53.00]  han hecho una concentración y todos van a ir
[0:09:53.00]-[0:09:55.00]  si
[0:09:55.00]-[0:09:57.00]  ¿y hasta esta maestra?
[0:09:57.00]-[0:09:59.00]  estuvo dos años antes de
[0:09:59.00]-[0:10:01.00]  jubilarse que ejercía
[0:10:01.00]-[0:10:03.00]  porque cerraron aquí la escuela porque no había niños
[0:10:03.00]-[0:10:05.00]  claro
[0:10:05.00]-[0:10:07.00]  ¿y se acuerda de alguna travesura, alguna cosa
[0:10:07.00]-[0:10:09.00]  de pequeñita?
[0:10:09.00]-[0:10:11.00]  pues hombre, no sé, siempre hay algo, ¿no?
[0:10:11.00]-[0:10:13.00]  eso
[0:10:13.00]-[0:10:15.00]  ¿se acuerda de algunas?
[0:10:15.00]-[0:10:17.00]  si, porque los de aquel barrio
[0:10:17.00]-[0:10:19.00]  cuando se iban nos poníamos ahí
[0:10:19.00]-[0:10:21.00]  en la punta y venga a tirar las piedras
[0:10:21.00]-[0:10:23.00]  detrás de ellos
[0:10:23.00]-[0:10:25.00]  y ellos como bajaban que bajaban
[0:10:25.00]-[0:10:27.00]  hacia abajo y subían arriba
[0:10:27.00]-[0:10:29.00]  pues ahora las piedras detrás de ellos
[0:10:29.00]-[0:10:31.00]  les iban
[0:10:31.00]-[0:10:33.00]  no tirábamos a tocar ahí
[0:10:33.00]-[0:10:35.00]  no
[0:10:35.00]-[0:10:37.00]  y luego pues
[0:10:37.00]-[0:10:39.00]  no sé, varias así
[0:10:39.00]-[0:10:41.00]  cosas de niños
[0:10:41.00]-[0:10:43.00]  cosas de niños eso
[0:10:43.00]-[0:10:45.00]  y a esconderte
[0:10:45.00]-[0:10:47.00]  y dar un susto y
[0:10:47.00]-[0:10:49.00]  cosas así
[0:10:49.00]-[0:10:51.00]  ¿y usted hermano?
[0:10:51.00]-[0:10:53.00]  no
[0:10:53.00]-[0:10:55.00]  éramos cuatro chicas
[0:10:55.00]-[0:10:57.00]  cuatro chicas
[0:10:57.00]-[0:10:59.00]  si
[0:10:59.00]-[0:11:01.00]  y las cuatro
[0:11:01.00]-[0:11:03.00]  estuvieron
[0:11:03.00]-[0:11:05.00]  o sea, caro Nicolás, cogido a los 14
[0:11:05.00]-[0:11:07.00]  si, si, todas
[0:11:07.00]-[0:11:09.00]  y se pusieron al campo o a las labores de la casa
[0:11:09.00]-[0:11:11.00]  pues una era modista
[0:11:11.00]-[0:11:13.00]  se fue a aprender a coser y
[0:11:13.00]-[0:11:15.00]  se estableciera modista
[0:11:15.00]-[0:11:17.00]  y la otra, no, la otra
[0:11:17.00]-[0:11:19.00]  se fue fuera a una capital
[0:11:19.00]-[0:11:21.00]  a Venefar
[0:11:21.00]-[0:11:23.00]  y allí iba al repaso y estaba con
[0:11:23.00]-[0:11:25.00]  unos familiares
[0:11:25.00]-[0:11:27.00]  y iba a repaso, a un colegio
[0:11:27.00]-[0:11:29.00]  para repaso nada más
[0:11:29.00]-[0:11:31.00]  por ir conservando
[0:11:31.00]-[0:11:33.00]  la enseñanza, ¿no? lo que había aprendido
[0:11:33.00]-[0:11:35.00]  y yo pues toda la vida en casa
[0:11:35.00]-[0:11:37.00]  y la otra
[0:11:37.00]-[0:11:39.00]  que nos llevamos nueve años aprendió de
[0:11:39.00]-[0:11:41.00]  peluquera y se estableció
[0:11:41.00]-[0:11:43.00]  en Bargastro pero ella está jubilada también
[0:11:43.00]-[0:11:45.00]  si, ninguna
[0:11:45.00]-[0:11:47.00]  ¿no le ayudó a su padre?
[0:11:47.00]-[0:11:49.00]  no, no, no
[0:11:49.00]-[0:11:51.00]  éramos herreros pero como éramos chicas
[0:11:51.00]-[0:11:53.00]  no podíamos hacer ese oficio
[0:11:53.00]-[0:11:55.00]  claro
[0:11:55.00]-[0:11:57.00]  pues nada
[0:11:57.00]-[0:11:59.00]  ¿y cuando a las casas de aquí
[0:11:59.00]-[0:12:01.00]  las hacían ustedes o
[0:12:01.00]-[0:12:03.00]  ya dan ya casas de algunos abuelos?
[0:12:03.00]-[0:12:05.00]  no, no de los abuelos ya
[0:12:05.00]-[0:12:07.00]  yo solo a menos no la vi
[0:12:07.00]-[0:12:09.00]  ¿la que viva allá abajo? si, allá abajo
[0:12:09.00]-[0:12:11.00]  si, que compramos el solar cuando me
[0:12:11.00]-[0:12:15.00]  casé yo con mi marido y la hicimos
[0:12:15.00]-[0:12:17.00]  antes de llegar al puente
[0:12:17.00]-[0:12:19.00]  es el barrio ese primero que hay
[0:12:19.00]-[0:12:21.00]  es así pero la de aquí no
[0:12:21.00]-[0:12:23.00]  la de aquí ya eran de los abuelos
[0:12:23.00]-[0:12:25.00]  y mis abuelos y
[0:12:25.00]-[0:12:27.00]  ya muy antiguas
[0:12:27.00]-[0:12:29.00]  ¿cantan muchos años? si, si, si
[0:12:29.00]-[0:12:31.00]  ¿de este pueblo era? si, si
[0:12:31.00]-[0:12:37.00]  ¿y en cuanto a los padres el respeto que había?
[0:12:37.00]-[0:12:39.00]  pues mucho más que ahora
[0:12:39.00]-[0:12:41.00]  si, si, si
[0:12:41.00]-[0:12:43.00]  ¿pero piensan que era mejor el respeto
[0:12:43.00]-[0:12:45.00]  porque era a lo mejor un poco de respeto
[0:12:45.00]-[0:12:47.00]  al respeto con miedo o?
[0:12:47.00]-[0:12:49.00]  pues no sé como decirte
[0:12:49.00]-[0:12:51.00]  pues si un poco de temor se tenía
[0:12:51.00]-[0:12:53.00]  no sé
[0:12:53.00]-[0:12:55.00]  ahora no sé como decir
[0:12:55.00]-[0:12:57.00]  a veces es bonito la confianza
[0:12:57.00]-[0:12:59.00]  y eso de tu tu ru tu
[0:12:59.00]-[0:13:01.00]  ¿no?
[0:13:01.00]-[0:13:03.00]  pero yo no sé yo encuentro que mejor era antes
[0:13:03.00]-[0:13:05.00]  mejor antes
[0:13:05.00]-[0:13:07.00]  si, mejor de respeto
[0:13:07.00]-[0:13:09.00]  pero ahora se ve eso que en seguida que
[0:13:09.00]-[0:13:11.00]  te vienes con una persona y a tu bar tu vienes
[0:13:11.00]-[0:13:13.00]  aunque seas mayor
[0:13:13.00]-[0:13:15.00]  pues no sé yo lo encuentro un poco
[0:13:15.00]-[0:13:17.00]  ¿eh?
[0:13:17.00]-[0:13:19.00]  a ver y bueno
[0:13:19.00]-[0:13:23.00]  las labores de la casa
[0:13:23.00]-[0:13:25.00]  me ha dicho antes que no tenían
[0:13:25.00]-[0:13:27.00]  por ejemplo lavadora
[0:13:27.00]-[0:13:29.00]  no, nada
[0:13:29.00]-[0:13:31.00]  un lavadero que había en el
[0:13:31.00]-[0:13:33.00]  barrio un lavadero
[0:13:33.00]-[0:13:35.00]  una balsa y con unas piedras
[0:13:35.00]-[0:13:37.00]  por alrededor y al aire
[0:13:37.00]-[0:13:39.00]  ¿que el jabón hacíamos ustedes?
[0:13:39.00]-[0:13:41.00]  no, nada solo con la balsa
[0:13:41.00]-[0:13:43.00]  también no, que hacíamos el jabón
[0:13:43.00]-[0:13:45.00]  también vendían pero vamos
[0:13:45.00]-[0:13:47.00]  mayormente lo hacíamos en casa
[0:13:47.00]-[0:13:49.00]  con aceites
[0:13:49.00]-[0:13:51.00]  y grasas
[0:13:51.00]-[0:13:53.00]  las grasas de los cerdos
[0:13:53.00]-[0:13:55.00]  así cuando se mataban los cerdos
[0:13:55.00]-[0:13:57.00]  lo más inferior
[0:13:57.00]-[0:13:59.00]  y aceites que guardaban
[0:13:59.00]-[0:14:01.00]  de frey y cosas así
[0:14:01.00]-[0:14:03.00]  pues hacíamos el jabón
[0:14:03.00]-[0:14:05.00]  ¿y se juntaban todas las mujeres?
[0:14:05.00]-[0:14:07.00]  si
[0:14:07.00]-[0:14:09.00]  claro
[0:14:09.00]-[0:14:11.00]  hombre claro
[0:14:11.00]-[0:14:13.00]  el cotilleo
[0:14:13.00]-[0:14:15.00]  ¿que había muchos cotillos aquí por ejemplo?
[0:14:15.00]-[0:14:17.00]  no, no, no
