[0:00:00.00]-[0:00:10.00]  ¿Cuál es su nombre?
[0:03:50.00]-[0:03:51.00]  Hola.
[0:03:51.00]-[0:03:52.00]  Buenas tardes.
[0:03:52.00]-[0:03:53.00]  Hola.
[0:03:53.00]-[0:03:54.00]  Muchísimas gracias.
[0:03:54.00]-[0:03:56.00]  Muchísimo gusto. Pueden tomar asiento aquí si quieren.
[0:03:56.00]-[0:03:57.00]  Hola, buenos días.
[0:04:01.00]-[0:04:05.00]  Pues estamos contando a doña Mila de nosotros. Muchas gracias.
[0:04:05.00]-[0:04:06.00]  Lo podemos abrir.
[0:04:06.00]-[0:04:07.00]  ¿Sí?
[0:04:07.00]-[0:04:08.00]  Si necesitan algo, yo estoy aquí.
[0:04:08.00]-[0:04:10.00]  Perfecto, muchísimas gracias.
[0:04:10.00]-[0:04:11.00]  ¿Puedo ir?
[0:04:11.00]-[0:04:12.00]  Sí, por favor.
[0:04:12.00]-[0:04:21.00]  Pues estamos contando a doña Mila de nosotros que estamos estudiando sobre cómo era la vida aquí en Faznía en el pasado, hace años.
[0:04:21.00]-[0:04:31.00]  Entonces aquí nos estaba hablando sobre cómo, qué se cultivaba aquí y qué animales había aquí en Faznía. ¿Se acuerda también qué animales?
[0:04:31.00]-[0:04:38.00]  Sí, animales, cabras. Cabras y algunos tenía alguna vaca también.
[0:04:38.00]-[0:04:41.00]  Y eso, y perros.
[0:04:41.00]-[0:04:42.00]  Y burros.
[0:04:42.00]-[0:04:44.00]  Y burros y bestias.
[0:04:44.00]-[0:04:53.00]  Y para cargar y harar las huertas, porque había que labrar las huertas, para plantar, para cultivarlas, tenían que estar los burros o mulos.
[0:04:53.00]-[0:04:54.00]  Sí.
[0:04:54.00]-[0:04:59.00]  Y camellos, fíjate, digo camellos. Venían muchos de África y tenían los camellos para cargar.
[0:04:59.00]-[0:05:00.00]  Y había caballos.
[0:05:00.00]-[0:05:05.00]  Y caballos. Algunos caballos, pocos había, pero también había algún caballo, burros y mulos.
[0:05:05.00]-[0:05:09.00]  Y con las cabras, por ejemplo, ¿qué se hacía con las cabras?
[0:05:09.00]-[0:05:17.00]  Con las cabras se hacía queso, entonces se hacía queso, lo hacía cada uno con su manada, lo hacían.
[0:05:17.00]-[0:05:23.00]  Es como hoy que están las granjas donde llevan la leche.
[0:05:23.00]-[0:05:30.00]  Entonces lo hacíamos nosotros mismos. Se hacía el queso.
[0:05:30.00]-[0:05:37.00]  Y eran las mujeres que hacían el queso.
[0:05:37.00]-[0:05:46.00]  Y hombres también, pero no. Había manada, los ricos, por ejemplo, Fanny, era casi todo de don Río, era un rico, que había naricos, que era casi todo.
[0:05:46.00]-[0:05:51.00]  Yo poco teníamos en propiedad los demás, porque todo era de los ricos.
[0:05:51.00]-[0:06:02.00]  Entonces después estábamos de medianeros, plantando y cogiendo de medianeros, como de esclavo.
[0:06:02.00]-[0:06:05.00]  Sí, era como esclavo, porque el oriente estaba en de Maracumbri.
[0:06:05.00]-[0:06:11.00]  Y después sí, sí. Y tenían un encargado con un caballo y estaba todo el día vigilando.
[0:06:11.00]-[0:06:16.00]  Si se cogía mucho, si se cogía poco, no te dejaban y estaba siempre vigilando.
[0:06:16.00]-[0:06:21.00]  Y entonces después, lo poquito que nos quedaba, era muy poquito, muy poquito.
[0:06:21.00]-[0:06:26.00]  Yo le digo a ellos que nosotros vivimos el tercer mundo que se está viendo hoy.
[0:06:26.00]-[0:06:31.00]  Sí, es verdad, teníamos que ir a rebuscar las papas que se quedaban.
[0:06:31.00]-[0:06:37.00]  Después se te encontraba el guarda, no decía que estabas cogiendo las malas, sino las buenas.
[0:06:37.00]-[0:06:41.00]  Después te hacías venir a tu padre al Luzgado.
[0:06:41.00]-[0:06:46.00]  Había una cosa con la política, después también quedó mucha cosa, mucha redestinia con la política.
[0:06:46.00]-[0:06:51.00]  Y abasallaron mucho al que no era, a mi padre por ejemplo, que era republicano.
[0:06:51.00]-[0:06:53.00]  A mi padre lo asallaron mucho, mucho.
[0:06:53.00]-[0:06:55.00]  A los que eran del otro partido.
[0:06:55.00]-[0:07:01.00]  Entonces los tenían todo el día atropellados, los de la derecha.
[0:07:01.00]-[0:07:06.00]  Tú no sabes si te conoces como sería tu padre y tu casa.
[0:07:06.00]-[0:07:14.00]  Mi padre era mi padre haciendo carbón en la cumbre y yo con siete años iba con él.
[0:07:14.00]-[0:07:23.00]  Le anotaba la leña y yo se la iba llevando para donde hacíamos, nosotros le decíamos los cachimbos.
[0:07:23.00]-[0:07:24.00]  ¿Cachimbos?
[0:07:24.00]-[0:07:26.00]  Sí.
[0:07:26.00]-[0:07:29.00]  La hornera, bueno, hornera.
[0:07:29.00]-[0:07:32.00]  Sí, para hacer el carbón, verdad. Pero era para hacer el carbón.
[0:07:32.00]-[0:07:37.00]  Para hacer el carbón, sí.
[0:07:37.00]-[0:07:41.00]  Disculpe que se nos olvidamos preguntar por su nombre y su edad.
[0:07:47.00]-[0:07:49.00]  ¿Y cuánto años tiene?
[0:07:49.00]-[0:07:51.00]  73 años.
[0:07:51.00]-[0:07:54.00]  Era más nuevo que yo.
[0:07:54.00]-[0:07:56.00]  Sí, más o menos.
[0:07:56.00]-[0:08:03.00]  Y aquí entonces, porque en la península se salía a matar el cochino para hacer la salchicha aquí.
[0:08:03.00]-[0:08:10.00]  Sí, aquí hacíamos la morcilla, salábamos el cochino y para matar al cochino lo salábamos.
[0:08:10.00]-[0:08:13.00]  Y se comía fresca la que se comía y se guardaba alguna en manteca.
[0:08:13.00]-[0:08:20.00]  Y la demás se salaba porque eso era para hacer despotaje o escaldar el gofio,
[0:08:20.00]-[0:08:23.00]  porque aquí lo más que vivíamos era de las papas y el gofio.
[0:08:23.00]-[0:08:30.00]  Y escaldábamos el gofio y le poníamos, por ejemplo, si hacíamos un potaje con papas
[0:08:30.00]-[0:08:34.00]  y un trozo de calabaza y unas coles y le poníamos un trozo de carne.
[0:08:34.00]-[0:08:38.00]  Y después escaldábamos el gofio para comer y caldito de aquel.
[0:08:38.00]-[0:08:41.00]  Había muy, ya te digo, pasábamos necesidad, necesidad.
[0:08:41.00]-[0:08:43.00]  No venía nada de fuera.
[0:08:43.00]-[0:08:46.00]  Pero lo que cultivábamos.
[0:08:46.00]-[0:08:51.00]  Yo le digo que la única que mandaba era Eva de Perón, de Argentina,
[0:08:51.00]-[0:08:55.00]  la única que negociaba con la que ayudó a España en esa época.
[0:08:55.00]-[0:09:00.00]  Y venía la ración, pero es que venía y la gente grande se cogía lo que servía
[0:09:00.00]-[0:09:02.00]  y nosotros no dábamos lo que nos servía,
[0:09:02.00]-[0:09:07.00]  un queso ya todo más, un milo podrido con la parte de dentro todo podrido,
[0:09:07.00]-[0:09:10.00]  los quesos maníos, maníos, la leche en polvo, la silla,
[0:09:10.00]-[0:09:13.00]  y era una nata por arriba que parecía aceite.
[0:09:13.00]-[0:09:14.00]  ¿No te acuerdas de eso?
[0:09:14.00]-[0:09:16.00]  Sí, yo sí me acuerdo hasta de las raciones.
[0:09:16.00]-[0:09:19.00]  Después hubo racionamiento también.
[0:09:19.00]-[0:09:25.00]  Entonces nos daban una cartilla para las raciones,
[0:09:25.00]-[0:09:27.00]  porque la comida era toda racionada.
[0:09:27.00]-[0:09:33.00]  Y según tenía de familia te daban de cantidades.
[0:09:33.00]-[0:09:39.00]  Por ejemplo, si mi madre tenía nueve hijos, mi padre y mi madre éramos once,
[0:09:39.00]-[0:09:42.00]  pues nos daban tal vez para quince días medio litro de aceite
[0:09:42.00]-[0:09:46.00]  y el aceite no estaba ni refinado ni nada, parecía gasoil.
[0:09:46.00]-[0:09:50.00]  O el aceite toda cuajada, cuajada, malísima.
[0:09:50.00]-[0:09:52.00]  Nos pasamos mucho, mucho.
[0:09:52.00]-[0:09:55.00]  Ahora hablan de tanta depuración y de tanta cosa.
[0:09:55.00]-[0:09:57.00]  Y mira que uno comía basura, eh.
[0:09:57.00]-[0:10:02.00]  El aceite venía en bidones sobrantes y después tenían un eso que lo marcaban
[0:10:02.00]-[0:10:06.00]  y aquí te marcaban una cuarta, medio litro, un litro,
[0:10:06.00]-[0:10:11.00]  era un eso que tenían dándole aire así.
[0:10:11.00]-[0:10:16.00]  Y mi madre iba a buscar las raciones y aquí ya lo brotaban caminando
[0:10:16.00]-[0:10:19.00]  por la cumbre conmigo en clase.
[0:10:20.00]-[0:10:23.00]  Así que se pasaba mucho trabajo.
[0:10:23.00]-[0:10:26.00]  Y bueno, nosotros como venimos de fuera,
[0:10:26.00]-[0:10:29.00]  no sabemos muy bien cómo, qué es el gofio, ¿nos podría decir cómo...?
[0:10:29.00]-[0:10:34.00]  Gofio es, pues por ejemplo, el trigo, el hormigio, se tuesta,
[0:10:34.00]-[0:10:38.00]  y en vez de hacer harina, hacemos gofio.
[0:10:38.00]-[0:10:41.00]  El hormigio y el trigo se tuestan y después se mueven como si fuera harina
[0:10:41.00]-[0:10:43.00]  y eso es el gofio.
[0:10:43.00]-[0:10:46.00]  Vete una vez y te digo que te den gofio y lo llevan para tu pueblo.
[0:10:46.00]-[0:10:48.00]  De recuerdo de mi hermana.
[0:10:48.00]-[0:10:49.00]  ¿Y el frangollo?
[0:10:49.00]-[0:10:51.00]  El frangollo crudo, el frangollo,
[0:10:51.00]-[0:10:55.00]  teníamos un molino de estos de piedra y lo molíamos a la mano,
[0:10:55.00]-[0:10:59.00]  el hormigio crudo, lo molíamos así para que saliera molido
[0:10:59.00]-[0:11:04.00]  y después hacíamos frangollo para comer, había que comer de lo que saliera.
[0:11:04.00]-[0:11:06.00]  Todavía tengo yo un par de piedras.
[0:11:06.00]-[0:11:09.00]  Yo también tengo, nosotros también tenemos arriba en la finca,
[0:11:09.00]-[0:11:12.00]  mi hijo ha ido recuperando todo y tiene esas cocinillas de antiguas,
[0:11:12.00]-[0:11:15.00]  tiene arado, tiene el molino,
[0:11:15.00]-[0:11:18.00]  y tiene cosas así, la ha ido conservando.
[0:11:18.00]-[0:11:21.00]  Y se pasó la necesidad mucha, mucha, mucha.
[0:11:21.00]-[0:11:24.00]  Y por ejemplo para el invierno, cuando hacía frío,
[0:11:24.00]-[0:11:27.00]  ¿cómo se calentaba aquí en los hogares?
[0:11:27.00]-[0:11:31.00]  Pues cerrando las puertas y poniendo alguna manta así teníamos y sacos
[0:11:31.00]-[0:11:34.00]  y ya corrucándonos todos ahí.
[0:11:34.00]-[0:11:39.00]  Nosotros que éramos nueve por ejemplo, los cinco más pequeños,
[0:11:39.00]-[0:11:43.00]  nos tenía mi madre en colchón ahí y ahí nos acostábamos todos en ese colchón
[0:11:43.00]-[0:11:46.00]  y nos tapaba con una manta y lo demás sacos.
[0:11:46.00]-[0:11:49.00]  De esas que mi padre vendía guanos que venía de las Palmas,
[0:11:49.00]-[0:11:51.00]  ¿te acuerdas de los guanos que venía de las Palmas?
[0:11:51.00]-[0:11:54.00]  Los vendía mi padre y esas sacas grandes que daba mi madre en la lavaba
[0:11:54.00]-[0:11:56.00]  y nos servían de manta.
[0:11:56.00]-[0:11:58.00]  ¿Y en su hogar también así?
[0:11:58.00]-[0:12:01.00]  Sí, bueno, lo mismo.
[0:12:01.00]-[0:12:06.00]  Entonces las camas no eran como hoy tampoco,
[0:12:06.00]-[0:12:13.00]  las camas se hacían un corchón con tela y después lo llenábamos de pinoyos.
[0:12:13.00]-[0:12:16.00]  O faxina de millo, la faxina de la camisa de millo.
[0:12:16.00]-[0:12:19.00]  Y ahí dormíamos.
[0:12:19.00]-[0:12:25.00]  ¿Y para lavar la ropa, cómo lavan la ropa?
[0:12:25.00]-[0:12:28.00]  Pues la piedra de lavar, se iba a lavar.
[0:12:28.00]-[0:12:31.00]  ¿Pues la piedra de lavar?
[0:12:31.00]-[0:12:36.00]  Se iba donde había agua, porque agua no había tan poco potable en las casas.
[0:12:36.00]-[0:12:41.00]  Entonces, por ejemplo, nosotros que vivíamos para allá,
[0:12:41.00]-[0:12:47.00]  para el canto allá del pueblo, había unas charcas grandes,
[0:12:47.00]-[0:12:50.00]  así que venía el agua estilada de una fuente y estaba aquella,
[0:12:50.00]-[0:12:53.00]  ¿te acuerdas del fuerte que el que estaba antes de llegar al túnel?
[0:12:53.00]-[0:12:55.00]  Estaba siempre llenito de agua clarita, clarita.
[0:12:55.00]-[0:13:00.00]  Y había de una gente que vivía ahí rica, había unas piedras de lavar que se decían.
[0:13:00.00]-[0:13:03.00]  Y entonces me mandaba mi madre, con 12 años,
[0:13:03.00]-[0:13:08.00]  me mandaba mi madre un saco de ropa y un hermano más pequeño que yo a cargarme el agua.
[0:13:08.00]-[0:13:13.00]  Y ahí lavaba ahí un pedazo de jabón solo, un trocito de jabón que parecía cemento,
[0:13:13.00]-[0:13:15.00]  ¿te acuerdas que para que empezaba parecía cemento?
[0:13:15.00]-[0:13:18.00]  Y ahí lavábamos la ropa.
[0:13:18.00]-[0:13:22.00]  Si, en los tiempos tenían lavadero, ahí pueblos que tenían lavadero.
[0:13:22.00]-[0:13:26.00]  Que corría el agua y había el lavadero en las fotos de los barrancos.
[0:13:26.00]-[0:13:31.00]  Mi madre vivía en la Brotaba, en la Guamansa cuando era nueva,
[0:13:31.00]-[0:13:34.00]  porque a mí me traía chiquitito para aquí.
[0:13:34.00]-[0:13:40.00]  Y entonces al día de lavar la casa había un lavadero grande
[0:13:40.00]-[0:13:45.00]  y entonces ahí se juntaban 20 o 30 mujeres juntas,
[0:13:45.00]-[0:13:50.00]  lavando ahí, porque venía el agua por un canal.
[0:13:50.00]-[0:13:54.00]  Y entonces lavaban ahí también.
[0:13:54.00]-[0:13:57.00]  Y en la capital, en Santa Cruz, también todavía están los lavaderos
[0:13:57.00]-[0:14:00.00]  donde iba la gente a lavar antiguamente.
[0:14:00.00]-[0:14:04.00]  Y mi madre se dedicaba a comprar y a vender y mi padre.
[0:14:04.00]-[0:14:07.00]  Entonces era traspelno, porque había que...
[0:14:07.00]-[0:14:10.00]  Si conseguían algo, por ejemplo, una como mi madre,
[0:14:10.00]-[0:14:16.00]  le llevaba a la gente del ejército pollo, huevo o le llevaba queso.
[0:14:16.00]-[0:14:20.00]  Por ejemplo, los pollos, los pichones, para los niños que tenían enfermos y anemios,
[0:14:20.00]-[0:14:24.00]  le decían a mi madre, mira si me encuentro unos pollitos que tengo el niño malo.
[0:14:24.00]-[0:14:28.00]  Mi madre le llevaba pichones o pollitos y entonces a ella le pagaban después
[0:14:28.00]-[0:14:31.00]  con azúcar o con arroz o con algo.
[0:14:31.00]-[0:14:36.00]  Entonces mi madre, eso que a ella le daban, venía el café que conseguía, les traspelno.
[0:14:36.00]-[0:14:38.00]  Y entonces venía y lo vendían los pueblos.
[0:14:38.00]-[0:14:43.00]  Mi madre vendía por ahí, mi padre, les traspelno, ¿te acuerdas?
[0:14:43.00]-[0:14:46.00]  ¿Y de qué trabajaba usted?
[0:14:46.00]-[0:14:51.00]  Yo trabajaba en la construcción, trabajé y en la galería.
[0:14:51.00]-[0:14:53.00]  En la galería donde más trabajé.
[0:14:53.00]-[0:14:58.00]  Bueno, donde más no, trabajar, trabajé en el campo y en la galería.
[0:14:58.00]-[0:15:01.00]  La galería estuve 22 años.
[0:15:01.00]-[0:15:06.00]  Eso es de Bada Tierra, donde se saca la galería.
[0:15:06.00]-[0:15:08.00]  ¿Y cómo es ese trabajo?
[0:15:08.00]-[0:15:11.00]  En la galería, eso es como por ejemplo, decir las minas.
[0:15:11.00]-[0:15:13.00]  ¿Es muy igual que las minas?
[0:15:13.00]-[0:15:19.00]  Sí, lo que pasa es que no es por el suelo, sino que es hacer pa' allá un agujero.
[0:15:19.00]-[0:15:27.00]  Por ejemplo, donde hay un risco que miran los estos, esta gente que mira por donde puede haber agua.
[0:15:27.00]-[0:15:32.00]  Entonces coge y se hace por ahí pa' allá un agujero hasta que se encuentre en el agua.
[0:15:32.00]-[0:15:37.00]  Y ahí murió mucha gente porque daban barrenos, después no explotaban,
[0:15:37.00]-[0:15:41.00]  porque iban los que les parecía haber, después explotaban el barreno y mataban.
[0:15:41.00]-[0:15:46.00]  Y entonces salían gases, porque debajo de la tierra hay gases, por el teide y porque hay gases.
[0:15:46.00]-[0:15:51.00]  Y entonces, ahí moría mucha gente por los gases y por los barrenos.
[0:15:51.00]-[0:15:56.00]  Me acuerdo yo cuando vivía allá, de ver venir de ahí de la galería de Fania,
[0:15:56.00]-[0:16:01.00]  de venir a hacer un camastro con unos troncos de pino,
[0:16:01.00]-[0:16:07.00]  y que iban los heridos y borrimundos allí, que los venían a buscar en un camión, pa' llevarlos pa' Santa Cruz.
[0:16:07.00]-[0:16:10.00]  Los heridos de la galería.
[0:16:10.00]-[0:16:17.00]  Ya no, murió mucha gente porque era con mecha y hoy son eléctricos, ¿no?
[0:16:17.00]-[0:16:24.00]  Bueno, hoy pocos son los que están trabajando, pero después de la mecha vino eléctrico
[0:16:24.00]-[0:16:27.00]  y yo también trabajé mucho con una pegada eléctrica.
[0:16:27.00]-[0:16:34.00]  Y entonces, ya esa no tenía tanto peligro, sino reestrar bien al frente porque
[0:16:34.00]-[0:16:43.00]  a lo mejor se podía quedar algún cartucho o algo y podía matar a uno porque al perforar otra vez,
[0:16:43.00]-[0:16:49.00]  si trompiezas con un chiquito cartucho apinitita, se mataba a uno.
[0:16:49.00]-[0:16:57.00]  Y aquí también se hacía pan.
[0:16:57.00]-[0:16:58.00]  Sí.
[0:16:58.00]-[0:17:03.00]  ¿Y cómo era? ¿Era comunal, digamos, o cada casita tenía su propio alojamiento?
[0:17:03.00]-[0:17:07.00]  Aquí en Fania, por ejemplo, había un panadero y entonces había dos.
[0:17:07.00]-[0:17:12.00]  Y entonces tú llevabas, por ejemplo, leche, huevo, y entonces no se hacía pan,
[0:17:12.00]-[0:17:17.00]  sino lo hacían algún día pa' venderlo a los ricos.
[0:17:17.00]-[0:17:21.00]  Pero los pobres comíamos pan por Navidad y por las fiestas patronales.
[0:17:21.00]-[0:17:22.00]  No comíamos pan.
[0:17:22.00]-[0:17:24.00]  Y la ración, el pan, también era racionado.
[0:17:24.00]-[0:17:25.00]  Era racionado.
[0:17:25.00]-[0:17:26.00]  Y no acuerdo de venir a comprarlo.
[0:17:26.00]-[0:17:27.00]  El que lo podía comprar.
[0:17:27.00]-[0:17:29.00]  Ya por último sí compraba alguno, pero…
[0:17:29.00]-[0:17:31.00]  Ya venía acá de Bruno a buscar los queabanos.
[0:17:31.00]-[0:17:36.00]  Yo era de traerle los huevos, la leche, porque no hiciera pan de leche,
[0:17:36.00]-[0:17:42.00]  y después venir a buscar pa' las fiestas, ya te digo, pa' las fiestas patronales o Navidad,
[0:17:42.00]-[0:17:46.00]  porque no se podía comer todos los días, sino que caldito y gofio.
[0:17:46.00]-[0:17:50.00]  Y entonces el pescado aquí tampoco se consumía de mucho.
[0:17:50.00]-[0:17:51.00]  No, el pescado sí.
[0:17:51.00]-[0:17:54.00]  El pescado se iba a pescar, entonces ya había más pesca que ahora.
[0:17:54.00]-[0:17:57.00]  Iban mis hermanos y pescaban, y mi madre salaba los pescados,
[0:17:57.00]-[0:17:59.00]  y el pescado sí, más o menos sí.
[0:17:59.00]-[0:18:01.00]  El pescado sí, más o menos había pescado.
[0:18:01.00]-[0:18:02.00]  Y venían de la Jera.
[0:18:02.00]-[0:18:04.00]  Y venían las pescadoras.
[0:18:04.00]-[0:18:08.00]  Y de la Jera ahí abajo venían, caminaban por el bosque arriba al pueblo,
[0:18:08.00]-[0:18:15.00]  con las cestas llenas de pescado, y después mucha gente lo cambiaba por papa,
[0:18:15.00]-[0:18:17.00]  le daban, ella, el pescado.
[0:18:17.00]-[0:18:22.00]  Es decir, venían a cargar pa' arriba y otra vez cargar pa' abajo pa' la familia.
[0:18:22.00]-[0:18:26.00]  Antes se usaba mucho el trueque, como no había dinero se usaba mucho el trueque,
[0:18:26.00]-[0:18:29.00]  tú me das y yo te doy material.
[0:18:29.00]-[0:18:33.00]  Y hoy día dice una señora, que yo paso gran profesora, dice el trueque,
[0:18:33.00]-[0:18:35.00]  ¿y eso qué es el trueque?
[0:18:35.00]-[0:18:39.00]  Digo, pues antes no había monedas, y se cambiaban las cosas antiguamente.
[0:18:39.00]-[0:18:46.00]  Y las cosas cambiaban, como de la rotaba venían de Benijo, de la rotaba,
[0:18:46.00]-[0:18:52.00]  de todo eso venían a buscar papas aquí, ahí a Chifira, por aquí pa' arriba.
[0:18:52.00]-[0:18:57.00]  Y venían a buscar las papas y ellos también traían algunas pa' las semillas.
[0:18:57.00]-[0:19:00.00]  Y cambiaban las semillas, uno cambiaba.
[0:19:00.00]-[0:19:06.00]  Y aquí se pasaba mucho higo, higo de la higuera, se pasaba mucho higo, aquí en el sur.
[0:19:06.00]-[0:19:10.00]  Entonces teníamos mucho higo pasado, y entonces venían, en el tiempo de las castañas,
[0:19:10.00]-[0:19:13.00]  venían y nos traían castañas, nosotros les dábamos higos pasados.
[0:19:13.00]-[0:19:15.00]  ¿Y calque usted los higos que yo calque?
[0:19:15.00]-[0:19:18.00]  Calque los higos, y después veníamos, que hacíamos la ciudad de Norte,
[0:19:18.00]-[0:19:22.00]  la castaña, pues se van a calcar más bien que pa' arriba, pero los higos claro.
[0:19:22.00]-[0:19:26.00]  Se ponía y dice, calque, calque usted las castañas que yo calco los,
[0:19:26.00]-[0:19:29.00]  en el saco, llenando un saco de higos, fue un saco castañas.
[0:19:29.00]-[0:19:32.00]  Dice, calque, calque usted las castañas que yo calco los higos.
[0:19:32.00]-[0:19:36.00]  Y claro, las castañas cuanto más le daban más salían pa' arriba y los castañas...
[0:19:36.00]-[0:19:40.00]  Y siempre estaba la historia esa, que los del Norte siempre han sido más listos
[0:19:40.00]-[0:19:42.00]  y han engañado a los del Sur.
[0:19:44.00]-[0:19:47.00]  ¿Y hay muchas diferencias entonces, piensa usted, entre el Norte y el Sur de la isla?
[0:19:47.00]-[0:19:50.00]  No, que va, que va, que va. El Sur tiene más vida que el Norte.
[0:19:50.00]-[0:19:53.00]  El Norte está más pa' todo, está más...
[0:19:53.00]-[0:19:56.00]  como empezaron por ahí los hoteles por el puerto de la Cruz,
[0:19:56.00]-[0:19:59.00]  el Norte tiene, ha tenido más fama, digamos,
[0:19:59.00]-[0:20:03.00]  pero el Sur está más conservado y está mejor y tiene mejores hoteles.
[0:20:03.00]-[0:20:08.00]  Hay más compartidos porque antiguamente aquello era de cuatro ricos nada más.
[0:20:08.00]-[0:20:14.00]  Un par de ricos, esos tenían todo, desde abajo, desde el puerto de la Cruz,
[0:20:14.00]-[0:20:16.00]  arriba, al monte.
[0:20:16.00]-[0:20:20.00]  Eso era todo de ellos, de los cuatro ricos y ahí no había nada más que medianeros.
[0:20:20.00]-[0:20:23.00]  Y las casas eran pajales.
[0:20:23.00]-[0:20:28.00]  Antiguamente no eran casas de ellas como estas hoy,
[0:20:28.00]-[0:20:30.00]  sino de pajales que solo...
[0:20:30.00]-[0:20:35.00]  Los ricos vivían en charlés, pero los medianeros, y esos vivían en esto de...
[0:20:35.00]-[0:20:38.00]  con unas paredes y después unos tequios de pajar,
[0:20:38.00]-[0:20:41.00]  de la paja de los trigo, de la avena o de los...
[0:20:42.00]-[0:20:44.00]  los techo de las casas.
[0:20:44.00]-[0:20:47.00]  Y otra vez se nevaba, porque entonces caía nieve.
