[0:00:00.00]-[0:00:01.00]  ¿Era eso?
[0:06:02.00]-[0:06:10.00]  Porque eso ahora últimamente se hace con un soplete de pelar el cerdo.
[0:06:10.00]-[0:06:15.00]  Pero antes no era costumbre pelarlo con...
[0:06:15.00]-[0:06:28.00]  Antes se pelaba a fuego, pero como los sopletes todavía no estaban en marcha, se cogía del bosque como una esparraguera que se llama guetóbas.
[0:06:28.00]-[0:06:33.00]  Y eso se hacía un as de leña y eso arde muy fácilmente.
[0:06:33.00]-[0:06:34.00]  Es como paja, ¿no?
[0:06:34.00]-[0:06:42.00]  Sí, es un matojo que se hace dentro del bosque y se llama guetóba en mallorquín.
[0:06:42.00]-[0:06:45.00]  En castellano no lo sé.
[0:06:45.00]-[0:06:46.00]  No, pero yo...
[0:06:46.00]-[0:06:48.00]  No, pero eso está bien porque la cosa se llama...
[0:06:48.00]-[0:07:01.00]  Sí, pero eso había fuego y eso pasaba eso por encima del cerdo y que podían afeitarlo, digamos.
[0:07:01.00]-[0:07:10.00]  Pero con el agua, si se ponía en su punto que hirviera y se escaldaba y eso se pelaba.
[0:07:10.00]-[0:07:18.00]  Porque eso igual pasa con el soplete que si chamuscas el pelo simplemente.
[0:07:18.00]-[0:07:27.00]  Y con el agua te quedaba limpio porque le quitabas la capa de piel de encima y lo arrancabas.
[0:07:27.00]-[0:07:29.00]  Te quedaba mejor afeitado.
[0:07:29.00]-[0:07:32.00]  Pero se echaba el agua y después se rascaba.
[0:07:32.00]-[0:07:40.00]  Bueno, se limpiaba un poco con una piedra pómese que aquí es una piedra tosca.
[0:07:40.00]-[0:07:42.00]  Pedra tosca, vale.
[0:07:42.00]-[0:07:53.00]  Pero si lo hacías con un soplete, eso luego había que rascarlo con una piedra pómese o con el cuchillo
[0:07:53.00]-[0:08:00.00]  porque te quedaba la piel quemada encima, la superficial, y llevaba más trabajo.
[0:08:00.00]-[0:08:04.00]  Pero había muchos que era eso.
[0:08:04.00]-[0:08:07.00]  Y luego, yo que sé...
[0:08:07.00]-[0:08:09.00]  ¿Estó una vez muerto ya el cerdo?
[0:08:09.00]-[0:08:10.00]  Sí, sí.
[0:08:10.00]-[0:08:12.00]  ¿Y cómo se...
[0:08:12.00]-[0:08:16.00]  Se mataba con un cuchillo al cuello.
[0:08:16.00]-[0:08:26.00]  Le gollabas donde estaba la nuez, le cortabas la vena principal y eso quedaba.
[0:08:26.00]-[0:08:29.00]  La sangre se aprovechaba, todo se aprovechaba.
[0:08:29.00]-[0:08:31.00]  ¿Y eso se hacía con la sangre aquí también?
[0:08:31.00]-[0:08:36.00]  La sangre se hacía frito y había alguna gente que lo ponía en los butifarrones.
[0:08:36.00]-[0:08:46.00]  Se cosía luego la sangre una vez quitada y luego se añadía los butifarrones o se hacía para hacer frito o para...
[0:08:46.00]-[0:08:49.00]  ¿Y cómo? ¿Se conservaba de alguna manera? ¿Había que preparar?
[0:08:49.00]-[0:08:51.00]  No, coserla simplemente.
[0:08:51.00]-[0:08:54.00]  Ah, vale. Y eso lo hacían normalmente las mujeres, a lo mejor.
[0:08:54.00]-[0:08:57.00]  Sí, sí. Eso ya era trabajo de las mujeres.
[0:08:57.00]-[0:09:09.00]  Pero el hombre, pues después, cuando lo tenías pelado al cerdo, se descuartizaba, se sacaban las tripas para limpiar y aprovechar para las sobrasadas, las anonisas.
[0:09:09.00]-[0:09:23.00]  Y si no, a veces se compraba en una carnicería, pedían más tripa por si era muy grande, que no bastara sus tripas, si no bastaban.
[0:09:23.00]-[0:09:35.00]  Se hacía también que se quitaba de las costillas lo que es astau.
[0:09:35.00]-[0:09:45.00]  Eso se quitaba con un trapo bien para que luego eso se cosía, se cosía de coser.
[0:09:45.00]-[0:09:46.00]  Ah, sí, sí.
[0:09:46.00]-[0:09:53.00]  Y eso se doblaba y se llenaba también de sobrasadas.
[0:09:53.00]-[0:10:13.00]  Que las piezas grandes, o sea, digamos, las tripas delgadas, eran más para hacer sobrasaditas de esas pequeñas, pero que se hacía de las tripas gruesas, esas grandes, que eso se comía luego en verano.
[0:10:13.00]-[0:10:16.00]  Y es más sabroso y más...
[0:10:16.00]-[0:10:17.00]  Llevaba más tiempo.
[0:10:17.00]-[0:10:26.00]  Sí, sí. Porque también era más grueso y se comían siempre, primero las delgadas y luego las más gruesas.
[0:10:26.00]-[0:10:40.00]  Y se sacaban antes, antes de descuartizar, por ejemplo, quitaban lo que era la panceta y luego lo abrías por el espinazo.
[0:10:40.00]-[0:10:54.00]  Eso sí se hacía en una banqueta, porque también había que tenía un gancho en un portal o otro y había que los colgaban de las patas de atrás.
[0:10:54.00]-[0:10:55.00]  Ajá, para que para la sangre.
[0:10:55.00]-[0:10:58.00]  Y lo abrías por delante en vez de por detrás.
[0:10:58.00]-[0:11:01.00]  Pero era más complicado.
[0:11:01.00]-[0:11:03.00]  Bueno, más complicado, yo qué sé.
[0:11:03.00]-[0:11:06.00]  Yo sé hacerlo de las dos maneras, pero...
[0:11:06.00]-[0:11:27.00]  Colgado siempre tienes que estar, y si estás en una mesa, la banqueta era una mesa con barras para que si hacías sangre o si echabas agua para limpiar algo, pues se caía al suelo, no manchaba la carne ni manchaba nada.
[0:11:27.00]-[0:11:38.00]  Y luego se iba descuartizando lo que era sobrasada, lo que estaba manchado de sangre o había un poco se echaban los butifarrones.
[0:11:38.00]-[0:11:47.00]  Y también se sacaban lo que eran los muslos tanto delante como de atrás para hacer esquemates, que decimos.
[0:11:47.00]-[0:12:05.00]  Y luego había que también lo que era, digamos, la parte del cuello que se cortaba entera y se hacía, yo qué sé, un rollo de, depende de lo grande que tuviera.
[0:12:05.00]-[0:12:21.00]  Y eso se ponía con sal y venía a ser, eso se hacía un rollo con sal y pimienta negra y todo eso, y se colgaba eso en un sitio que estuviera la sombra.
[0:12:21.00]-[0:12:25.00]  Y eso luego se cortaba igual casi que el jamón.
[0:12:25.00]-[0:12:31.00]  Pero estaba en... era... ¿Cómo te lo diría yo?
[0:12:31.00]-[0:12:32.00]  ¿Cómo se llamaba?
[0:12:32.00]-[0:12:40.00]  Eso era ventresca curada, pero no era ventresca, era eso del cuello.
[0:12:40.00]-[0:12:50.00]  Porque la ventresca también se colgaba, se salaba y se elegía el tramo y venía a ser como panceta, pero sin aún mal.
[0:12:50.00]-[0:13:04.00]  Una cosa que eso se empleaba luego para hacer un sofrito, se cortaba un trozo y se hacían como hoy que te venden eso de panceta ya cortadita.
[0:13:04.00]-[0:13:11.00]  Venía a ser para hacer un plato de fideos o fideos de rôtel, que se decían.
[0:13:11.00]-[0:13:20.00]  Que ponían cuatro dados de patata y ponían esa ventresca, hacían el sofrito y eso era un plato de comer.
[0:13:20.00]-[0:13:23.00]  Está bueno, sí se sabe hacer.
[0:13:23.00]-[0:13:26.00]  La panceta iba ahumada, ha dicho.
[0:13:26.00]-[0:13:31.00]  La panceta ahumada yo no he visto hacer nunca aquí.
[0:13:31.00]-[0:13:32.00]  No, no se ha probado.
[0:13:32.00]-[0:13:50.00]  Eso es de fuera, pero jamón sí que se hacía, lo que era complicado es atinar el jamón, porque eso había que tenerlo 20 días en sal colgado para que tirara el agua.
[0:13:50.00]-[0:14:07.00]  Y luego había que tenerlo 40 días dentro de un cajón con una piedra para que se prensara y cogiera al gusto y salía más moreno, digamos.
[0:14:07.00]-[0:14:13.00]  No tan blanco como eso que te venden, pero que era bueno igual.
[0:14:13.00]-[0:14:32.00]  Pero tenías que andar porque eso no había ni casi mata moscas como aquel que dice y tenías que elegir un sitio, un sellero, un sitio que no estuviera húmedo y que se secara.
[0:14:32.00]-[0:14:37.00]  Y tenía problemas con la mosca, ¿no?
[0:14:37.00]-[0:14:54.00]  No, pero las moscas más o menos también en esas chadas pues a lo mejor se ponía un mosquitero de rejilla en las ventanas para que no pudieran entrar o quemaban o miraban si había algo.
[0:14:54.00]-[0:15:16.00]  Y la sobrasada pues luego se trempaba eso una vez puesto y luego se curaba las langonizas o eso 7, 8, 10 días y ya podías comer.
[0:15:16.00]-[0:15:27.00]  Y los botifarrones y los quemados, los quemados nunca se comían temprano, se guardaba para... pero se hierven.
[0:15:27.00]-[0:15:40.00]  Los botifarrones y los quemados se cuecen y los botifarrones los podías comer a la mañana siguiente o el mismo día si querías.
[0:15:40.00]-[0:15:58.00]  Pero los quemados se colgaban también para que el agua que habían cogido hirviendo la tiraran y se secaran y luego los colgaban también en la persa y eso duraba todo el año también.
[0:15:58.00]-[0:16:00.00]  ¿El de los dos cerdos para todo el año?
[0:16:00.00]-[0:16:03.00]  Sí, sí, sí, sí.
[0:16:03.00]-[0:16:09.00]  ¿Y bueno, y ese día de la matanza, la gente se levantaba prudente, matabas el cerdo y cómo era?
[0:16:09.00]-[0:16:26.00]  Pues eso, yo que sé, a media mañana cuando tenían todo el cerdo descuartizado, las tripas limpias y todo eso, se hacía la merienda que normalmente era de frito y luego el frito de matanzas.
[0:16:26.00]-[0:16:39.00]  En sitios sí y en otros sitios hacían a lo mejor sopas, sopas mallorquinas que habéis comido alguna vez.
[0:16:39.00]-[0:16:47.00]  Había sitios que en vez de frito de sangre hacían el frito de matanzas.
[0:16:47.00]-[0:16:48.00]  ¿Eso lo hacían?
[0:16:48.00]-[0:16:57.00]  Y hacían, en vez de frito de sangre y frito de matanzas, las sopas mallorquinas esas.
[0:16:57.00]-[0:16:58.00]  ¿Cómo?
[0:16:58.00]-[0:17:13.00]  Las sopas mallorquinas eran cuatro trozos de carne magra dentro con verdura y tal y se ponían las sopas que querían cada uno y luego eso se comía como primer plato.
[0:17:13.00]-[0:17:17.00]  Se hacían dos platos para la merienda.
[0:17:17.00]-[0:17:39.00]  La costumbre también era que antes de eso hacían un tentempié que repartían un poco de vino y tal y torraban, casi al empezar a estar pelado el cerdo le cortaban la barbilla, que eso se dio el morro.
[0:17:39.00]-[0:17:50.00]  Y eso lo torraban al fuego y luego se partían un plato con un trozo de pan y un vaso de vino para los que estaban trabajando, pero sin pararse ni nada.
[0:17:50.00]-[0:18:00.00]  O un chico o la mujer torraba el morro, que digamos, y tú cogías un trozo de morro.
[0:18:00.00]-[0:18:02.00]  Era trabajo duro.
[0:18:02.00]-[0:18:12.00]  Sí, y luego eso, cuando estaba todo a punto que solo faltaba llenar las tripas, pues se hacía la merienda esta que te digo.
[0:18:12.00]-[0:18:30.00]  Y el frito de matanzas viene a ser trozos de hígado, trozos de lomo y luego un trozo de pimiento rojo, de esos de torral.
[0:18:30.00]-[0:18:47.00]  Pero hecho en vez de trozos, el frito de sangre son trozos pequeños, pero esos eran trozos grandes con patatas y ajos y eso era el frito de la merienda.
[0:18:47.00]-[0:19:03.00]  Y luego, después de haber colgado las sobrasadas, todo, cuando se terminaba, se hacía el sopá o el diná de matanzas, que a lo mejor eran las cinco de la tarde.
[0:19:03.00]-[0:19:32.00]  Y en eso también, el primero era arroz brut de matanzas y luego el segundo era oscalduns de matanzas también, con albóndigas hechas de lo mismo cerdo y pollo y a lo mejor había conejo, todo eso, porque entonces se casaba y lo que había.
[0:19:32.00]-[0:19:35.00]  ¿Y a la casa?
[0:19:35.00]-[0:19:57.00]  A la casa había, yo que sé, conejos, perdices, algo así, codonises también a veces, pero la codonis no se empleaba el día de matanzas, era fuera de temporada, porque la codonis es en verano y en invierno no hay codonises.
[0:19:57.00]-[0:20:04.00]  Y luego pues eso, y ya está, hechas la matanza, quedaba uno a su casa.
[0:20:04.00]-[0:20:12.00]  También la costumbre era que de los dos cerdos no los mataban el mismo día.
[0:20:12.00]-[0:20:28.00]  Uno a lo mejor era principios de noviembre o mediados y luego el segundo, pues, pasado reyes o depende también según cómo fuera o la gente que había.
[0:20:28.00]-[0:20:29.00]  O como engordarse.
[0:20:29.00]-[0:20:30.00]  Sí.
[0:20:30.00]-[0:20:46.00]  Y normalmente del primero pues no se hacía la matanza fiesta, digamos, se cogían los vecinos y pero del segundo se hacía la matanza, digamos, más fiesta.
[0:20:46.00]-[0:20:55.00]  Y alguna vez después de cenar en algunos sitios pues los viejos jugaban a cartas y los jóvenes bailaban o...
[0:20:55.00]-[0:20:57.00]  ¿Y la precomusica había?
[0:20:57.00]-[0:21:10.00]  Sí, que a lo mejor eso era típico que una guitarra pequeña, un guitarro y una zambomba y cuatro... y ya está.
[0:21:10.00]-[0:21:11.00]  Y al que cantase bien.
[0:21:11.00]-[0:21:14.00]  Sí, sí, yo no también.
[0:21:18.00]-[0:21:19.00]  Sí, pero que ahora ya no...
[0:21:19.00]-[0:21:21.00]  No, eso no se estiva.
[0:21:21.00]-[0:21:23.00]  ¿Y los niños colaboraban?
[0:21:23.00]-[0:21:43.00]  Sí, sí, sí, sí. Eso los niños, yo que sé, a partir de siete años o eso, a dar agua para limpiar las tripas, ayudaban a la mujer o le pedían trae un plato, una bandeja y lo traía un niño.
[0:21:43.00]-[0:21:48.00]  Y algunos no, pues lo veían pero no colaboraban.
[0:21:48.00]-[0:21:59.00]  También hacían sus juegos de jugar, les ponían un delantal para que fuera el de la matanza mayor a los pequeños.
[0:21:59.00]-[0:22:11.00]  Eso hacían los delantales esos, solían ser de... de tela de llengo.
[0:22:11.00]-[0:22:12.00]  Ah, sí, sí, claro.
[0:22:12.00]-[0:22:13.00]  ¿De qué es?
[0:22:13.00]-[0:22:14.00]  Por aquí había...
[0:22:14.00]-[0:22:24.00]  Sí, muchas veces se hacía, los delantales esos de los niños se hacían muchas veces de las fundas de un colchón.
[0:22:24.00]-[0:22:28.00]  Que entonces los colchones eran todos de lana.
[0:22:28.00]-[0:22:33.00]  O sea que hoy tampoco ya no se estila todo eso.
[0:22:33.00]-[0:22:35.00]  Ya, ya. No, yo lo recuerdo los colchones de lana.
[0:22:35.00]-[0:22:44.00]  Sí, sí, sí, sí. Eso cada año también había que darle una paliza o colchón, sacar la lana y coserlo otra vez.
[0:22:44.00]-[0:22:47.00]  Pero eso lo hacían, lo solían hacer las mujeres o no.
[0:22:47.00]-[0:22:48.00]  No.
[0:22:48.00]-[0:22:49.00]  O sea, se hacía en casa. ¿Cómo se hacía?
[0:22:49.00]-[0:22:51.00]  Se hacía en casa eso también.
[0:22:51.00]-[0:22:52.00]  Sí.
[0:22:52.00]-[0:23:01.00]  Se vaciaba, o sea, eso tenía unos puntos que hoy los tienen pero completamente diferentes.
[0:23:01.00]-[0:23:07.00]  Se hacía que se quitaban las vetas, esos puntos que hoy tienen los colchones.
[0:23:07.00]-[0:23:08.00]  Sí, exacto.
[0:23:08.00]-[0:23:11.00]  Era una beta que se pasaba con una aguja de arriba abajo.
[0:23:11.00]-[0:23:18.00]  Tenía los ojales y esa beta se hacía un lacito, como una beta normal.
[0:23:18.00]-[0:23:24.00]  Y se derataban todas esas vetas y se abría en una parte del colchón.
[0:23:24.00]-[0:23:35.00]  Se vaciaba aquí mismo dentro de una cochería y con un palo o dos se topaba esa lana.
[0:23:35.00]-[0:23:37.00]  Sí, digo yo.
[0:23:37.00]-[0:23:38.00]  Se topaba esa lana.
[0:23:38.00]-[0:23:46.00]  Porque eso llegaba que de usarlo, pues llegaba que se ligaba la lana.
[0:23:46.00]-[0:23:51.00]  Y entonces tú le dabas la paliza y eso se volvía a esponjar.
[0:23:51.00]-[0:23:52.00]  Claro.
[0:23:52.00]-[0:23:58.00]  Y quedaba que un colchón, cuando antes de darle la paliza, pues estaba que a lo mejor
[0:23:58.00]-[0:24:01.00]  solo era así y luego te quedaba un colchón así.
[0:24:01.00]-[0:24:09.00]  Y se ataba, se pasaban las vetas otra vez, se cosía y se volvía a hacer todo eso.
[0:24:09.00]-[0:24:16.00]  Y eso había profesionales que también eran particulares que a lo mejor trabajaban en
[0:24:16.00]-[0:24:22.00]  otro sitio o lo que sea y venían por la noche porque eso se hacía rápido.
[0:24:22.00]-[0:24:27.00]  Rápido, rápido que a lo mejor tardaban dos horas o tres.
[0:24:27.00]-[0:24:33.00]  Pero que un profesional de esos en un día si tenías tres colchones, en un día de oro
[0:24:33.00]-[0:24:34.00]  hacía los tres.
[0:24:34.00]-[0:24:40.00]  Y también, yo que sé, cobraba cinco pesetas de cada colchón o algo así.
[0:24:40.00]-[0:24:45.00]  Pero en mi casa se hacía, mis hermanas lo hacían.
[0:24:45.00]-[0:24:50.00]  O sea que, o mi madre, que eso se hacía.
[0:24:50.00]-[0:24:53.00]  Pero también había gente que se dedicaba a eso.
[0:24:53.00]-[0:24:54.00]  Claro.
[0:24:54.00]-[0:25:02.00]  Es igual que había las ollas de tiesto, de barro.
[0:25:02.00]-[0:25:05.00]  Porque de tiesto no se entendía, era así.
[0:25:05.00]-[0:25:07.00]  Sí, sí, eso no pasa nada.
[0:25:07.00]-[0:25:16.00]  Las ollas, de usarlas, se ponían grietas.
[0:25:16.00]-[0:25:19.00]  Y eso había un emplomador.
[0:25:19.00]-[0:25:24.00]  Eso ponía unas gafas, venía manualmente.
[0:25:24.00]-[0:25:31.00]  Eso era como una peonza, rit-rac, rit-rac y te hacía un agujero en el barro a cada lado
[0:25:31.00]-[0:25:41.00]  de la grieta y eso ponía una, como si le hubiera puesto una grapa, venía a ser eso.
[0:25:41.00]-[0:25:49.00]  Y eso, o también, que eso lo habré visto porque la hay todavía.
[0:25:49.00]-[0:25:52.00]  Que las cuerdan con alambre.
[0:25:52.00]-[0:25:55.00]  No he visto ninguna de...
[0:25:55.00]-[0:25:57.00]  Porque yo recuerdo, no lo sé.
[0:25:57.00]-[0:26:07.00]  Pero eso puede decir, si hay, eso le hacían ahora una gresionera, digamos, una cazuela de barro.
[0:26:07.00]-[0:26:17.00]  Le hacían un círculo por las asas con alambre y eso hacía unos cuadros así, yo que sé,
[0:26:17.00]-[0:26:26.00]  de a lo mejor 7-8 centímetros, que daba un cuadrado, que era para prevenir estas grietas que se hacían.
[0:26:26.00]-[0:26:34.00]  Y que eso, la abuela o eso, la gresionera esa la tenía súper celosa.
[0:26:34.00]-[0:26:40.00]  O sea que al arte no rompe, gresionera.
[0:26:40.00]-[0:26:42.00]  No había nada más.
[0:26:42.00]-[0:26:46.00]  Empezaba a ver si había algo, era de cobre.
[0:26:46.00]-[0:26:55.00]  Lo que eran las herramientas, digamos, de la cocina, si había algo grande, era de cobre.
[0:26:55.00]-[0:27:05.00]  Y eso pues, traía mucho trabajo de limpieza, de todo, porque hace como un ollín verde.
[0:27:05.00]-[0:27:12.00]  Y eso tenías que limpiarlo con sal fumante o sal...
[0:27:12.00]-[0:27:15.00]  ¿Cómo se limpiaba con sal fumante?
[0:27:15.00]-[0:27:23.00]  Sí, pero el sal fumante, habido siempre, pero el sal fumante no lo podías dar según cómo.
[0:27:23.00]-[0:27:30.00]  Tenías que ir debajo de una olla robo porque si no jodías el suelo de la casa.
[0:27:30.00]-[0:27:35.00]  O sea que había que engeneárselas así.
[0:27:35.00]-[0:27:47.00]  Y lo hacían muchas veces con sal gorda y agua, porque la sal gorda no se funde tan rápidamente como la que comemos.
[0:27:47.00]-[0:27:51.00]  Es porque simplemente está sin triturar.
[0:27:51.00]-[0:27:57.00]  Y con eso rascaban y venía a ser como de cepillo, digamos.
[0:27:57.00]-[0:28:07.00]  Comía, yo que sé, visto, también había donde se guardaban los huesos salados de la matanza,
[0:28:07.00]-[0:28:11.00]  que también los había de tiesto y de cristal.
[0:28:11.00]-[0:28:18.00]  Y esos de tiesto también antes, con agua caliente y sal y todo eso, se limpiaban.
[0:28:18.00]-[0:28:26.00]  Y los de cristal, pues a lo mejor cogían igual que a una botella que la empecemos mucho,
[0:28:26.00]-[0:28:33.00]  que llega la cal del agua, y eso para quitarlo a lo mejor cogían grava.
[0:28:33.00]-[0:28:42.00]  Y a menear que la alfabia esa a lo mejor pesaba 10 kilos de cristal, porque eran grandes.
[0:28:42.00]-[0:28:45.00]  Y eso tenías que...
[0:28:45.00]-[0:28:48.00]  ¿Pero grava la cogían de cualquier sitio?
[0:28:48.00]-[0:28:57.00]  Sí, de cualquier sitio, cuatro piedrecitas o de un sitio que había llovido y había dejado la grava encima.
[0:28:57.00]-[0:29:03.00]  La grava casi ni canteras, había canteras pero eran de mares.
[0:29:03.00]-[0:29:16.00]  Porque de piedra había poca, ahora hay muchas de canteras, pero antes tampoco había gran cantidad.
[0:29:16.00]-[0:29:22.00]  ¿Y la primera vez que fue a una matanza más o menos recuerda de edad?
[0:29:22.00]-[0:29:28.00]  ¿De cuándo tomaba biberón? Sí, de toda la vida.
[0:29:28.00]-[0:29:37.00]  Y ahora hasta hace cinco años o eso, que tenía una hermana que todavía hacía.
[0:29:37.00]-[0:29:44.00]  Pero ahora como tienen azúcar y no pueden comer, pues también se ha terminado.
[0:29:44.00]-[0:29:51.00]  ¿Cómo ha cambiado? Porque ahora ha dicho que eran diferentes, ¿no? ¿Cómo ha cambiado? ¿Qué contrastes hay?
[0:29:51.00]-[0:30:01.00]  Bueno, ahora lo que hay en el mercado, el sistema y todo es incluso malo.
[0:30:01.00]-[0:30:12.00]  Eso para comprobarlo basta que te vayas a comprar al SID y comprar un botifarrón.
[0:30:12.00]-[0:30:24.00]  Y si no te lo comes hoy, aunque lo metas en la nevera, te hará como un limo que no te da ni ganas de...
[0:30:24.00]-[0:30:35.00]  Y es porque lo cuecen o bien con microondas o bien en un barreño, que está el agua hirviendo,
[0:30:35.00]-[0:30:44.00]  pero que con aquella agua han hecho 50.000 botifarrones o...
[0:30:44.00]-[0:30:52.00]  Si no, eso se puede probar cualquier día. Hay sitios en los pueblos que todavía hay carnicerías,
[0:30:52.00]-[0:31:01.00]  pero que la estricta vigilancia de todo, porque ahora incluso los particulares no pueden hacer matanzas.
