[0:00:00.00]-[0:00:02.00]  78 años.
[0:05:19.00]-[0:05:34.00]  Y después ya fueron para todo el valle del Angreo, se llama, para abajo, para los pozos de para abajo, y el hombre mío trabajó, ¿qué te diré?, treinta y tantos años en la mina.
[0:05:34.00]-[0:05:49.00]  Y mi padre, que venía andando en invierno con unos nevades gordísimos y tenía que ir andando, pero entonces no había ni carreteras, ni coches, ni nada.
[0:05:49.00]-[0:05:57.00]  El que tenía una bicicleta con dentro, de Villoria para abajo, que para aquí para arriba nada, todo andar.
[0:05:57.00]-[0:05:59.00]  ¿Andar? ¿Ni carros de caballo, ni nada?
[0:05:59.00]-[0:06:17.00]  No, no, nada, nada, sí. Los caballos utilizaban los para la carga, por ejemplo, tenemos que ir a Villoria a buscar el carbón, ahí sí pozos que se cerró y subieron caballos, pero de otra manera para la gente no.
[0:06:17.00]-[0:06:23.00]  Tengo una curiosidad muy grande, ¿antes cuando no había electricidad cómo se iluminaban?
[0:06:23.00]-[0:06:40.00]  Pues iluminaban con carburos, con unos candiles que se llamaban de carburos, que yo en casa de un hermano mío, que hay muchos años que están en la viana, todavía tienen uno de cuando se alumbraban con el carburos.
[0:06:40.00]-[0:07:00.00]  Que se echaban, eran unos piedres, y echaban abajo los piedres, arriba el agua, y arroscaban bien y iban soltando gotina a gotina porque si no inflamaban y con aquellos carburos se alumbraban, con aquellos candiles de carburos.
[0:07:00.00]-[0:07:17.00]  Y cocines de carbón, vaya por Dios, hay un hermano en Oviedo que tendrá ahora 70 y algo de años y sería la primera cocina que puso mi padre y mi madre cuando él nació.
[0:07:17.00]-[0:07:34.00]  Se tecaba en el llar que se llamaba y allí también hacían, bueno había hornos para cocer el pan, eso sí, todavía hay alguno por ahí.
[0:07:34.00]-[0:07:56.00]  Echaban adentro leña muy seca y hasta que se ponía el horno blanco, luego sacabanlo y limpiabanlo y metían allá el pan tapado con una tapadera de madera y allí ya sabían que tiempo llevaba a cocer el pan.
[0:07:56.00]-[0:08:08.00]  Igual amasaban el pan, no como nosotros ahora, por ejemplo, si se masa hoy o mañana, o eso, para 4 o 6 días o más, sí, no se comía del día como ahora.
[0:08:08.00]-[0:08:10.00]  ¿Y cómo lo conservaban el pan?
[0:08:10.00]-[0:08:28.00]  Pues conservaban, sí, era pan recogido de casa, de trigo y había molín para moler de los vecinos también. Yo sé que mi madre tenía el número el día 13 para moler y era un día cada vecino.
[0:08:28.00]-[0:08:29.00]  ¿Quién?
[0:08:29.00]-[0:08:47.00]  Mi madre tenía el número 13 para moler, tocaba ese día, moler el trigo o el maíz. La verdad las cosas mejor nosotros no lo sabéis porque como no lo vivíais, pues no lo sabéis.
[0:08:47.00]-[0:08:49.00]  ¿Y su padre qué hacía?
[0:08:49.00]-[0:09:11.00]  Mi padre a la mina. A la mina, pues, qué te voy a decir, cuántos años tendría fía, igual trabajó en la mina 50 años, o ha trabajado en la mina porque después que se retiró ya duró poco.
[0:09:11.00]-[0:09:28.00]  Y de trabajar todo el mes, todo el mes de ir y venir andando y de verlo yo venir a casa cuando cobraba y posar encima de la mesa 50 duros, ¿sabéis cuántos son 50 duros?
[0:09:28.00]-[0:09:44.00]  En antiguos pesetes, 250 pesetes, eso lo vi yo, 250 pesetes de los de antes. Y trabajar todo el mes, marchar de noche y venir de noche.
[0:09:44.00]-[0:09:57.00]  Y venir andando por los montes porque ahí detrás de la viana había unos cuantos viñas y ahí trabajaban los mineros que había aquí, trabajaban ahí.
[0:09:57.00]-[0:10:13.00]  Y nevando y lloviendo y como estuviese y no como ahora que van en coche y vienen y sin mojarse y sin pisar barro y entonces ya era caminos que todo era barro.
[0:10:13.00]-[0:10:28.00]  Y ahora hay todo pistas por el monte, hay todo pistas, andan todos los coches por ahí arriba y para todos lados donde aquí van el coche y un Suzuki, un todoterreno, todo y todo.
[0:10:34.00]-[0:10:36.00]  ¿Y sus abuelos?
[0:10:36.00]-[0:10:59.00]  Mis abuelos, conocí una abuela sola. Mi abuela paterna tenía a mi padre cinco años cuando murió y mi abuela materna ahora 60 y 68 años que murió porque esa conocí la yo.
[0:10:59.00]-[0:11:09.00]  Murió, porque nosotros somos cinco hermanos. Cuando nació la tercera hermana murió mi abuela, conocí a esa sola.
[0:11:09.00]-[0:11:10.00]  ¿Y era abuela paterna?
[0:11:10.00]-[0:11:18.00]  Abuela materna, abuela paterna no la conocí. Abuelo paterno tampoco y abuelo materno tampoco.
[0:11:18.00]-[0:11:36.00]  Mi madre tenía cuatro hermanos con ella, dos mujeres y dos hombres. Uno marchó de joven para Buenos Aires y nunca más volvió.
[0:11:36.00]-[0:11:52.00]  Murió allá, tenía siete hijos y después que murió mi tío en Buenos Aires, todavía el año pasado, todavía un sobrino mío que estaba en Oviedo,
[0:11:52.00]-[0:12:10.00]  por internet y por todo eso, conectó con ellos, con la poca familia que quedaba allá. Vivimos mucho tiempo sin saber de ellos porque cuando la guerra y todo eso,
[0:12:10.00]-[0:12:24.00]  cuando estalló la guerra en el 36 tenía yo diez años, hasta el 39 no supimos nada de ellos. Después sí habíamos estado tal vez a escribirnos con él y eso, pero...
[0:12:30.00]-[0:12:32.00]  ¿Y su padre fue a la guerra civil o no?
[0:12:32.00]-[0:12:42.00]  No, mi padre no. Mi padre cuando estalló la guerra, pues estábamos a hierba, fue el 18 de julio cuando estalló la guerra.
[0:12:42.00]-[0:12:55.00]  Cuando estábamos en el prago, estaban sacando, ya sentíamos muchos disparos y todo eso y era ahí por los alrededores de Oviedo, por esos montes de Oviedo por ahí,
[0:12:55.00]-[0:13:13.00]  y fue en el 36 cuando la gente estaba todo asustada porque no sabía ni qué era ni cómo era, pues sí, aquí fueron bastantes a la guerra y muchos quedaron allá.
[0:13:13.00]-[0:13:27.00]  El padre de esta que soltó ahora al perrito, puso ese malo estando allá pidiendo un permiso para venir a casa y vino y tal día que tenía que se presentara ya otra vez,
[0:13:27.00]-[0:13:44.00]  y le decía a los cuñados, no vayas, que no puedes ir, no vayas, y dice, tengo que ir hombre, cómo no voy a ir, tengo que ir. Y fue la mujer a Velo, a Figaredo que lleva la parte de Miérez,
[0:13:44.00]-[0:13:59.00]  a esa parte y en un encontró y no se pidió más de ella. Estaban en el hospital y los trataban en un hospital que sí o sí, si los mataron, si murieron, sí o no, sí o sí.
[0:13:59.00]-[0:14:14.00]  Porque yo leí un libro donde me dejó un hermano mío y traía muchos, muchos que yo conocí que murieron en la guerra. Aquí mira un hermano de ese ojo gordo que está ahí murió en la guerra también.
[0:14:14.00]-[0:14:40.00]  Mi padrín está en Astorga, murió allí, allí lo enterraron y listo. Tenía yo 10 años, 10 o 11 por ahí, cuando avisaron que hubiese muerto y fue mi tío a la viana y dieron esa noticia que hubiese muerto.
[0:14:40.00]-[0:14:59.00]  Y después de los que andaban por el monte, que andaban fugaos como ellos llamaban por aquí, pues venían de noche a buscar los pueblos, a ver dónde encontraron casas para poder coger comida.
[0:14:59.00]-[0:15:10.00]  Y ahora nuestra casa como estaba aquí, ellos venían de ahí arriba del monte, pues era la primera que entraban allá y de lo que encontraban, llevárenlo.
[0:15:10.00]-[0:15:29.00]  Yo estoy de acuerdo que tenían que comer, vaya por Dios, pues tenían que comer donde lo pillaran. Nosotros no nos hicieron daño de nada, nada más que sí, coger comida.
[0:15:29.00]-[0:15:53.00]  Yo fui y quedamos en unos cabañines que había pequeños y dormimos allá y dijo uno, llegaron así a la manetería y dijo uno que están aquí, están porque se ve, había agujeros y había la ropa que lo teníamos colgado allí porque estábamos en la cama.
[0:15:53.00]-[0:16:07.00]  Y estaba una chava, otra chava, la comiendo. Alfim, nos la aportaban y cataés una vaca y damos un poco de leche y marchamos.
[0:16:07.00]-[0:16:24.00]  Teníamos un miedo que apagárraban, fue como si hicieran nada, pero yo tenía el miedo igual. Entonces levantémos y yo fui a la cuadra y cateé la leche y ellos tomaron la leche y marcharon.
[0:16:24.00]-[0:16:39.00]  Y después vi los otra vez por el 15 de agosto que son las fiestas en la Viana, pues una vez allá arriba en el monto también, no veía más.
[0:16:39.00]-[0:16:56.00]  Sí, cuando venían para allá buscar comida y eso, pero por aquí no. Algunos que eran así un poco politiqueros y eso, pues algunos llevaban, daban ellos sacudillos o polvo.
[0:16:56.00]-[0:17:12.00]  Y algunos que ellos pegaban a gente porque no miren de la vida de ellos y entonces había los que ellos turraron bastante.
[0:17:12.00]-[0:17:25.00]  Bueno, pues cambiando de tema vamos a algo más ameno, ¿no? Por ejemplo, ¿la lana sirve para muchas cosas?
[0:17:25.00]-[0:17:29.00]  La lana es mi vida, donde tengo un tono porque no lo quiero nadie.
[0:17:29.00]-[0:17:30.00]  ¿Y de qué color la tienes?
[0:17:30.00]-[0:17:46.00]  Blanca. Bueno, puede haber alguna oveja negra, pero antes venían, hay una temporada, venían y recogíanlo, comprabes, no barato, pero bueno, recogíanlo.
[0:17:46.00]-[0:18:01.00]  Yo aquí, un hijo mío que tengo en la Viana que viene aquí y le subejes, es esta que quiere allí de él y entonces tiene luz y tiene máquina para que lo esquila eléctrica y esquila a los ovejes y algunos quemenlo.
[0:18:01.00]-[0:18:16.00]  Eso fue lo que recogió ahora en mayo, cuando lo esquilaron ahora en mayo, está ya almacenado para poder tirarlo a la basura. No lo recoge nadie.
[0:18:16.00]-[0:18:19.00]  ¿No ha sido nada con la lana? ¿Colchones, almohadas?
[0:18:19.00]-[0:18:28.00]  Antes todo era lana, sí, ahora no. Puede haber alguna casa que haya algún colchón de lana, yo por lo menos en mi casa no tengo nada.
[0:18:28.00]-[0:18:41.00]  Y sí, sí, hacías jeséis, calcetines y eso todo se hacía de lana, todo. Antes no se perdía nada.
[0:18:41.00]-[0:18:58.00]  Vieron venir y no lo ofrecían y yo vino una vez de la agraria a dar unos cursillos aquí a la escuela y después hicimos una excursión, fuimos a Valladolid, me parece.
[0:18:58.00]-[0:19:08.00]  Y vi los joven, la vían a cargar en los autocarres, sacos de lana llevaban los para la fábrica de lesmantes de Palencia.
[0:19:08.00]-[0:19:18.00]  Y hasta ahí poco vendíanse, venían y compraban, pero ahora no, ahora no lo compra nadie.
[0:19:18.00]-[0:19:26.00]  Y los colchones, comprámoslos y la lana tirase.
[0:19:26.00]-[0:19:29.00]  ¿Y con la pluma de las gallinas hacíais algo antiguamente?
[0:19:29.00]-[0:19:47.00]  No, no, con la pluma de las gallinas tirabas a la basura. Aquí bastante gente tiene pollos y matan pollos para casa, maten a las ovejas para casa, a los pungeradores, les van para la basura.
[0:19:47.00]-[0:20:11.00]  Antes compraron todo, pero ahora no compren nada. Hoy todavía vino uno hasta aquí vendiendo colchones a cambio de colchones de lana, pero colchones de lana ahora que los tienen, tienen lo pa' él y ahora que no los tenemos, bueno, si quieres comprar los colchones, cómprelos si tienes falta, pero si no, cambiaos por lana y por eso.
[0:20:11.00]-[0:20:17.00]  ¿Y los colchones, los de Sarajevo, lavaban la lava?
[0:20:17.00]-[0:20:42.00]  No, no se lavaba. Bueno, lavaban si por casualidad tuviera oscuro, sucio, lavaban, pero tarda tanto en secar y después colchones, madre mía, yo detrás de mi casa hay allí un poco de patio de la escuela, yo tengo dos chavales y yo ya no era quien de variar la lana para hacer los colchones,
[0:20:42.00]-[0:21:10.00]  mandaba yo lo a ellos, dos al día hacíamos, variar la lana, dejarlo muy finino, muy finino y luego echarlo en la tela para hacer el colchón, pero ahora no se, no creo que yo, yo tejió más lana que he queció, chaquetes y jersey y cosas y calcetines y todo,
[0:21:10.00]-[0:21:22.00]  para los niños pequeños, para las personas mayores, para poner con botes y eso, pero ahora no se utiliza nada.
[0:21:22.00]-[0:21:33.00]  Bueno, y así hablando un poquito de la gastronomía y de la bebida típica, si es la sidra, ¿qué me puedes contar?
[0:21:33.00]-[0:21:48.00]  Pues la sidra sí que se hace bastante, mirad, detrás de esa ventana hay ahí un jagar, hay ahí un mogollón de botellas de sidra, que yo no tengo llave, si no, los sacaba una botella.
[0:21:48.00]-[0:22:03.00]  Tengo una en casa, ¿queréis un poco de sidra? Si la queréis, tengo la en 100 Abril, el otro día que vine a por ello, porque he estudiado un chaval mío y tiene ahí el jagar y de un hermano.
[0:22:03.00]-[0:22:24.00]  Hola, hacen uno los dos, ellos tienen un pomeray, recogen la manzana y después tienen el molín, que es la manzana y recogen la sidra y luego un botellar y corchar y ya lo tienen ahí para tulano.
[0:22:24.00]-[0:22:34.00]  Yo no he ido hasta poco, pero mi hermano que vive en La Viana, siempre que viene siempre lleva unos grosajes de botellas hasta mucho.
[0:22:34.00]-[0:22:39.00]  Si crece una botellina voy a buscarla porque la tengo en casa. ¿De qué color era la sidra?
[0:22:39.00]-[0:23:05.00]  Bueno, la sidra, una sidra muy parecida, clarina, depende de la manzana también, porque hay una manzana muy roja y hay otra más verde y aquí mezclan la manzana para que sea la sidra, para que sea un color auténtico de sidra tal,
[0:23:05.00]-[0:23:19.00]  como para parte de Villa Viciosa que hace tanta sidra, pues, qué te voy a decir, como la sidra gaetero conoceréis luego, ¿no? Y cava.
[0:23:19.00]-[0:23:32.00]  Pues mira, todavía tengo ahí una botellina, una botellina que me dio, estábamos aquí jugando y estaba un chaval mío ahí y no sé quién pasó y dijo, no tenéis nada que beber.
[0:23:32.00]-[0:23:52.00]  Y entonces mi hijo fue al coche y trajo un botellín, pero ya era color nuevo y digo, ¡wow! eso, mira, eso no, eso no, yo la asturiana, la asturiana y cava sí, pero, pero esto, sidra buena no me gusta, no gusta me lo diga ella.
[0:23:52.00]-[0:24:16.00]  Y cuando pisen la manzana, pues entonces, sidra dulce, pues ya se consume bastante también, porque entonces está buena, porque allí es jugo puro de manzana, no es como lo que se hace en los fábricas que ponen composiciones de cosas, pero aquí es la pura sidra de manzana.
[0:24:16.00]-[0:24:19.00]  ¿Y sale de un color así más o menos, no?
[0:24:19.00]-[0:24:31.00]  Sí, un botín no sé, más sí, un botín, siempre se va. Vos buscamos la botella y bebeislo, probáislo y así la casera.
[0:24:31.00]-[0:24:40.00]  Pues me gustaría saber con la leche que sacan de la vaca, lo que hacen con ella.
[0:24:40.00]-[0:24:55.00]  Pues con la leche, se echan un cacharro y por arriba sale la nata, que se llama, y eso la nata recógese y se hace la manteca.
[0:24:55.00]-[0:25:07.00]  La manteca antes vendía en la viana, iban al mercado y vendíanlo, ahora ya hay poco, ahora ya hay poco aquí porque el que lo tiene, consumelo en casa,
[0:25:07.00]-[0:25:17.00]  metenlo en los congeladores, pues tienen para una temporada la manteca y la leche pues para los cerdos, salen los cerdos.
[0:25:17.00]-[0:25:31.00]  Y nosotros tomamos también algunas veces de eso, que queda duro, cuando se quita la nata, la leche de por bajo, queda dura, dura y sabe muy rica.
[0:25:31.00]-[0:25:34.00]  Yo he hecho y azúcar y como así.
[0:25:34.00]-[0:25:35.00]  ¿Sí?
[0:25:35.00]-[0:25:40.00]  Sí, sabe muy rico.
[0:25:40.00]-[0:25:48.00]  Y hacen queso también aquí, yo tenía una cuña aquí que lo hacía porque tenía mucha leche y hacía queso.
[0:25:48.00]-[0:26:02.00]  Y teníamos una temporada secando, tenía un aparato, un molde para hacerlo y después sacábalo y poníamos a secar y consumíamos en casa.
[0:26:02.00]-[0:26:05.00]  Eso no se vendía, no lo vendía nadie.
[0:26:05.00]-[0:26:17.00]  Yo ya hay poco que mi hermano mío que viene mucho para acá que está en la viana, pues trae otro hermano que tengo allá que lo hace en casa ahí.
[0:26:17.00]-[0:26:26.00]  Y tiene él ahí y como lo hace todos los días, tiene la casa de él ahí, pero así yo me la voy a comer en mi casa.
[0:26:26.00]-[0:26:38.00]  Si está frío hago un platín de sopas, si está caliente con un lechugino delante de la comida, pero el queso, queso hecho de casa.
[0:26:38.00]-[0:26:42.00]  ¿Y cuál es el mejor, el queso de cabra o el queso de vaca?
[0:26:42.00]-[0:26:54.00]  No lo sé, no sé porque nosotros aquí cabres no les, no sé si lo sé, si no lo sé, antes ya había bastante.
[0:26:54.00]-[0:27:09.00]  Yo estuve en Castilla y vi cómo lo hacían, hacían lo de cabra, de oveja y de vaca, uno mezclado, otro cada uno por su lado y estaba un queso muy bueno, muy bueno.
[0:27:09.00]-[0:27:23.00]  Pero claro, estaba muy preparado para hacerlo y aquí ya se hace de otra manera, ya se echa la leche, tiene que ser sin hervir ni nada, nada más que cierta cantidad de litros.
[0:27:23.00]-[0:27:30.00]  Para hacer queso, por ejemplo así, grandote.
[0:27:30.00]-[0:27:45.00]  Yo nunca lo hice, hoy hay muchos años que estoy sola y los hijos que no los tengo aquí, tengo cuatro y están todos casados y están todos por un lado y por otro.
[0:27:45.00]-[0:27:55.00]  Y yo estoy sola aquí, ya hay 19 años que me murió el marido y aquí estoy.
[0:27:55.00]-[0:28:16.00]  Y entonces ahora no tengo ni vaques, ni gallines, ni conejos, ni nada, porque si quiero ir de vacaciones o quiero ir para casa los hijos o eso, pues no quiero tener nada para dejar que me lo cuiden los vecinos.
[0:28:16.00]-[0:28:19.00]  ¿Y el queso sale duro?
[0:28:19.00]-[0:28:27.00]  Sí, duro, duro, sí, una cosa parecida a queso mechero, es duro.
[0:28:27.00]-[0:28:30.00]  ¿Y hacéis miel aquí?
[0:28:30.00]-[0:28:38.00]  Ahora no sé si lo habrá, si no, pero hay unos años sí que se hacía miel.
[0:28:38.00]-[0:28:52.00]  Yo sé de cuatro o cinco vecinos que tenían enjambres, que lo recogían ellos y lo hacían en casa la miel.
[0:28:52.00]-[0:28:59.00]  Eso sí que era el miel natural también, lo que se hacía en casa.
[0:28:59.00]-[0:29:04.00]  Y esta gran portal, esto tenía, tenía ajedrez.
[0:29:04.00]-[0:29:06.00]  ¿Y de qué color salía la miel?
[0:29:06.00]-[0:29:10.00]  La miel, la miel más oscura que está.
[0:29:10.00]-[0:29:20.00]  Miel, miel pura, que yo era miel de casa, miel pura, no como lo que compramos en los mercados, que si yo como estará hecho.
[0:29:20.00]-[0:29:37.00]  También me gusta porque soy bastante golosa y gustan de todo lo dulce, pero de un sabor a otro hay diferencia, de lo que es casero a lo que tú haces en casa o a lo que compres, hay diferencia.
[0:29:37.00]-[0:29:51.00]  Pero ahora no sé si habrá algo, si un chaval ahí todavía lo tiene, sé que los tienen, uno o dos, no sé, habrá dos que lo tengan, nada más.
[0:29:51.00]-[0:30:00.00]  Casi todo el mundo tenía a ver, y recogían para ellos, para todo el año, la miel.
[0:30:00.00]-[0:30:02.00]  ¿Y dónde la guardabais, la miel?
[0:30:02.00]-[0:30:12.00]  En tarros esterilizados, y echabas allá y después roscabasen bien, bien, y allí conservabasé.
[0:30:12.00]-[0:30:20.00]  Cuando te hacía falta, pues abrís el tarro, pues aquello ya no tenía importancia que lo cerrase mucho, porque tal vez está estando a diario.
[0:30:20.00]-[0:30:26.00]  Pero conservabasé bastante tiempo.
[0:30:26.00]-[0:30:42.00]  Y pues aquí entre vecinos, pues siempre un te regalaba uno, otro te regalaba otro, pero dejándolo para ellos, pues si os quedaba, regalabas a la familia, a las amistades, o así.
[0:30:42.00]-[0:30:46.00]  ¿Y usted ha ido a la hierba?
[0:30:46.00]-[0:30:56.00]  No fui poco a la hierba, ya lo creo que sí, y coger unos cargues, que entonces era…
[0:30:56.00]-[0:30:58.00]  ¿Fermín, ya vienes?
[0:30:58.00]-[0:31:00.00]  Vale.
[0:31:05.00]-[0:31:15.00]  Era amarrado con unos cuerdes bastante grandes, sin ponerse en la cabeza, y no había piste, ni carreteres, ni nada, caminos.
[0:31:15.00]-[0:31:21.00]  Y acarrear todo en el hombro a la cuadra.
[0:31:21.00]-[0:31:23.00]  ¿En el hombro, no en la cabeza?
[0:31:23.00]-[0:31:28.00]  En la cabeza, no sabréis qué es, es una sábana de hierba.
[0:31:28.00]-[0:31:30.00]  No tengo ni idea.
[0:31:30.00]-[0:31:36.00]  Bueno, pues estos días por aquí, se dio que se recogió bastante.
[0:31:36.00]-[0:31:49.00]  Porque con sacos, hacían lo que se llama un sábano, tres sacos cocidos, abiertos, y allí echabas un montón de hierba,
[0:31:49.00]-[0:31:55.00]  y amarrabas por los cuatro lados, y se traía a la cabeza.
[0:31:55.00]-[0:32:05.00]  Pero nosotros traíamos con soles, y allá unos montones de hierba barbarísimos.
[0:32:05.00]-[0:32:15.00]  Y nunca creas que cerca, que para allá arriba todo se vaya, todo llegue aquí del pueblo, y todo sacariaba al hombro.
[0:32:15.00]-[0:32:24.00]  Y nosotros después más tarde ya compremos un caballo, y el milmano que estaba aquí, otro, y entonces ya lo traíamos con los caballos.
[0:32:24.00]-[0:32:26.00]  ¿Y de qué color era la hierba?
[0:32:26.00]-[0:32:35.00]  La hierba, bueno cuando se cierra a taberdino como es, como esos hojes, pues después queda seca.
[0:32:35.00]-[0:32:41.00]  Así nada, un poco, un poco amarillenta, no sé cómo te voy a decir.
[0:32:41.00]-[0:32:47.00]  Mira, por desgracia que hoy no lo hay, porque otras veces hay hierba por aquí que pasaron los tractores bastante.
[0:32:47.00]-[0:32:53.00]  Pero, hierba todavía se recoge mucho.
[0:32:53.00]-[0:33:05.00]  Porque los que están en la viana vienen todos los días, y porque tienen aquí la hacienda, tienen aquí los animales, tienen que recoger la hierba,
[0:33:05.00]-[0:33:16.00]  y todos los días vienen, ya para la mañana cogen el coche, o una Land Rover, traen para ir lejos,
[0:33:16.00]-[0:33:26.00]  o lleven una Land Rover, un todoterreno, para llevar allá la gente y las cosas para trabajar con la hierba.
[0:33:26.00]-[0:33:36.00]  Y bueno, ahora, ¿qué es lo que os decimos?
[0:33:36.00]-[0:33:42.00]  Que a casi todos los sitios van con los coches, andando no van a nadie.
[0:33:42.00]-[0:33:52.00]  Antes, vivíamos andando con la comida, una cesta en la cabeza, igual andabais dos o tres kilómetros para allá arriba con aquella cesta de comida,
[0:33:52.00]-[0:34:01.00]  al pragua, a los que estaban allá, a la hierba, y ir por la mañana y venir por la tarde, y alguna vez ya casi por la noche.
[0:34:01.00]-[0:34:04.00]  Y entonces no teníamos agua en casa.
[0:34:04.00]-[0:34:07.00]  ¿Y dónde iban a ir a traer agua?
[0:34:07.00]-[0:34:12.00]  A la fuente, un cacholejos, y a lavar al río, lejos también.
[0:34:12.00]-[0:34:14.00]  ¿Y el río cómo tiene el agua, clara?
[0:34:14.00]-[0:34:25.00]  Blanca, sí, como lo de la fuente, igual. Aquí el río no está contaminado de nada, y da el agua muy clarina.
[0:34:25.00]-[0:34:42.00]  Y luego trajeron desde arriba de la montaña el agua, los vecinos, a hacer una zanja, meter la tubería, y después aquí pasó por aquí la tubería.
[0:34:42.00]-[0:34:51.00]  Y metieronlo por las casas, pero luego en verano venían los que están del pueblo en La Viana,
[0:34:51.00]-[0:34:58.00]  y que si lavar coches, que si lavar ropa y lavar agua, pues ponían en pocos casas.
[0:34:58.00]-[0:35:07.00]  Y ahora trajeron otra fuente y repatiaron por el pueblo, no sé, habrá cuatro o cinco fuentes,
[0:35:07.00]-[0:35:15.00]  para lavar coches, para regar, el huertes, porque algunas veces el depósito ya es muy grande,
[0:35:15.00]-[0:35:21.00]  pero hay mucho gasto de agua y algunas veces casi se agota.
[0:35:21.00]-[0:35:26.00]  Entonces ahora agua no, agua ahora aquí tenemos bastante.
[0:35:26.00]-[0:35:33.00]  ¿Entonces qué agua es mejor, el de aquí o el de Madrid, por ejemplo?
[0:35:33.00]-[0:35:42.00]  No sé, yo creo que lo decís por un despreciado vuestro, porque te digo que bien del monte, de la peña,
[0:35:42.00]-[0:35:49.00]  una agua buenísima. ¿Oíste hablar alguna vez de Mea? No.
[0:35:49.00]-[0:35:55.00]  En Mea, en Peña Mea hay un bar que hay en Villoria que se llama Peña Mea,
[0:35:55.00]-[0:36:02.00]  pero arriba en el monte, bastante alto, yo nunca estuve allá y soy de aquí, me gustaría haber ido.
[0:36:02.00]-[0:36:07.00]  Está en una montaña bastante alta y allí sale una fuente que digo yo,
[0:36:07.00]-[0:36:13.00]  ¿dónde podrá venir esta agua? Una agua buenísima, la agua es muy buena,
[0:36:13.00]-[0:36:18.00]  todos los que vienen de todo, estas fuentes que pusieron por pueblos pequeños, no,
[0:36:18.00]-[0:36:24.00]  pero lo que viene del depósito grande, que es una fuente muy buena que se llama,
[0:36:24.00]-[0:36:31.00]  donde la trajeron feleguera, que el día Santiago hacen la fiesta arriba en el monte,
[0:36:31.00]-[0:36:38.00]  la fiesta de Santiago, tres días de fiesta, y hicieron una capillina allá los vecinos,
[0:36:38.00]-[0:36:45.00]  y dicen misa ya, y vamos a la fiesta, y a merendar.
[0:36:45.00]-[0:36:48.00]  ¿Y qué meriendas hay ahí?
