[0:00:00.00]-[0:00:01.00]  ¿Y por qué?
[0:06:49.00]-[0:06:53.00]  Gallinas también, sí, también había. Había de todo, de todo eso de gallinas.
[0:06:53.00]-[0:06:58.00]  Sí, había viñas que también se cosechaba vino. Eso también se vendía.
[0:06:58.00]-[0:06:59.00]  Ah, ¿tenían ustedes vino en la zona?
[0:06:59.00]-[0:07:07.00]  Sí, sí. Vino para casa, pero siempre que… siempre sobraba. O sea, que el que sobraba, el sobrante, pues se vendía.
[0:07:07.00]-[0:07:11.00]  O sea, que en la casa el padre se dedicaba, pues a lo mejor, al campo.
[0:07:11.00]-[0:07:12.00]  Sí, a todo eso, al campo.
[0:07:12.00]-[0:07:13.00]  Y la madre se dedicaba…
[0:07:13.00]-[0:07:14.00]  A sus labores.
[0:07:14.00]-[0:07:15.00]  ¿Y los hijos?
[0:07:15.00]-[0:07:18.00]  Los hijos, pues, a… era a la escuela.
[0:07:18.00]-[0:07:25.00]  Y cuando eres mayor, pues a… yo a mí no me toco salir de casa, pero a huevo, ¿quién le toco salir de casa?
[0:07:25.00]-[0:07:27.00]  ¿Y con respecto a la escuela?
[0:07:27.00]-[0:07:28.00]  Pues bien aquí…
[0:07:28.00]-[0:07:30.00]  Había, ¿había qué colegio en…
[0:07:30.00]-[0:07:36.00]  Había escuelas públicas nacionales, escuelas nacionales y había tres maestros.
[0:07:36.00]-[0:07:37.00]  ¿De dónde…?
[0:07:37.00]-[0:07:40.00]  De fuera, venían de fuera.
[0:07:40.00]-[0:07:41.00]  Muy bien.
[0:07:41.00]-[0:07:46.00]  Sí, había párvulos, maestros, escuela de chicos y de chicas.
[0:07:46.00]-[0:07:47.00]  Sí.
[0:07:47.00]-[0:07:48.00]  ¿Y había muchos niños?
[0:07:48.00]-[0:07:49.00]  Uy, muchos.
[0:07:49.00]-[0:07:50.00]  Sí.
[0:07:50.00]-[0:07:51.00]  Muchos.
[0:07:51.00]-[0:07:58.00]  Si hemos tenido aquí, casi que por poco no llegaba a 500 habitantes en aquellos tiempos que yo hablo.
[0:07:58.00]-[0:08:01.00]  ¿Y cuál era la relación entre alumno y profesor?
[0:08:01.00]-[0:08:07.00]  Bien, bien, aquí muy bien, sí. Aquí no ha habido nunca… no, no ha habido…
[0:08:07.00]-[0:08:08.00]  ¿Pero…?
[0:08:08.00]-[0:08:10.00]  No, no, no ha habido, no.
[0:08:10.00]-[0:08:11.00]  No ha habido, no.
[0:08:11.00]-[0:08:12.00]  No ha habido, no.
[0:08:12.00]-[0:08:13.00]  No ha habido, no.
[0:08:13.00]-[0:08:14.00]  No ha habido, no.
[0:08:14.00]-[0:08:15.00]  No ha habido, no.
[0:08:15.00]-[0:08:19.00]  Ah, sí, pero, oye, puntos suspensivos.
[0:08:19.00]-[0:08:20.00]  Cuéntennos, cuéntennos.
[0:08:20.00]-[0:08:22.00]  No, de eso, eso no, no.
[0:08:22.00]-[0:08:23.00]  La gente no nos interesa.
[0:08:23.00]-[0:08:24.00]  No, no.
[0:08:24.00]-[0:08:29.00]  Nos contaron que en otro pueblo esta mañana los profesores con los alumnos eran muy, bueno,
[0:08:29.00]-[0:08:31.00]  bastante severos y los curas también.
[0:08:31.00]-[0:08:39.00]  Aquí uno, un maestro un poco severo con los curas, uno sí, uno, uno.
[0:08:39.00]-[0:08:42.00]  Luego los chicos cuando acababan la escuela, ¿qué hacían?
[0:08:42.00]-[0:08:43.00]  Iban a…
[0:08:43.00]-[0:08:44.00]  A jugar.
[0:08:44.00]-[0:08:46.00]  Pero no me refiero, bueno, eso fuera de la escuela.
[0:08:46.00]-[0:08:48.00]  ¿Hasta qué edad iban al colegio?
[0:08:48.00]-[0:08:49.00]  Hasta 14 años.
[0:08:49.00]-[0:08:50.00]  Hasta 14.
[0:08:50.00]-[0:08:51.00]  ¿Y después qué hacían?
[0:08:51.00]-[0:08:55.00]  Pues después pues el que tenía, como aquí siempre ha habido trabajo en casa, pues a
[0:08:55.00]-[0:09:01.00]  trabajar a casa y después el que esto pues iba, ha visto, hubo plantación de pinos muchos,
[0:09:01.00]-[0:09:04.00]  muchos, muchos años y a trabajar a los pinos.
[0:09:04.00]-[0:09:05.00]  ¿A los pinos?
[0:09:05.00]-[0:09:06.00]  Sí.
[0:09:06.00]-[0:09:10.00]  Y luego lo que decía usted, cuando salían los niños del colegio, ¿se iban a jugar?
[0:09:10.00]-[0:09:11.00]  A jugar.
[0:09:11.00]-[0:09:12.00]  ¿Cómo siempre tenían los niños?
[0:09:12.00]-[0:09:13.00]  Hoy pues jugando…
[0:09:13.00]-[0:09:14.00]  ¿Cómo siempre tenía usted cuando era joven?
[0:09:14.00]-[0:09:21.00]  Ay, o yo, a jugar a la una andaba la una, a mano media mango mangantera, a la vilaba,
[0:09:21.00]-[0:09:26.00]  a la piedreta, a las tabas, a todos esos juegos.
[0:09:26.00]-[0:09:27.00]  ¿Qué son estos juegos?
[0:09:27.00]-[0:09:28.00]  Cuéntenoslo.
[0:09:28.00]-[0:09:29.00]  Es que nosotros no tenemos estos juegos allí.
[0:09:29.00]-[0:09:31.00]  Ya, explíquenos un poco cómo funcionaron.
[0:09:31.00]-[0:09:34.00]  La regla, si había reglas, cómo…
[0:09:34.00]-[0:09:38.00]  Es muy interesante, es decir, nosotros queremos recopilar esto, cogerlo, porque ya no existe,
[0:09:38.00]-[0:09:41.00]  entonces necesitamos que gente como usted nos lo vaya contando.
[0:09:41.00]-[0:09:45.00]  Pues la vilaba era pues a coger y a cogerte.
[0:09:45.00]-[0:09:49.00]  Corría, a correr, íbamos una cuadrilla, había dos cuadrillas, ¿verdad?
[0:09:49.00]-[0:09:53.00]  Y esto a la vilaba y a marro, se decía.
[0:09:53.00]-[0:09:58.00]  Se ponía una cuadrilla en un lado y otra en otro y a cogerte.
[0:09:58.00]-[0:10:01.00]  Y cuando ya cogías a todos, pues tú ganabas.
[0:10:01.00]-[0:10:02.00]  Ya, muy bien.
[0:10:02.00]-[0:10:03.00]  ¿Y el resto de los juegos que ha dicho?
[0:10:03.00]-[0:10:11.00]  A la anganda balamula, eso era de ponerte así como un cuquias y a saltar.
[0:10:11.00]-[0:10:13.00]  Poner las manos así y a saltar.
[0:10:13.00]-[0:10:14.00]  Muy bien.
[0:10:14.00]-[0:10:22.00]  Y a la mano, media mano, manga entera era, pues también igual, de ponerte así y a mirar y a brincar aquí al…
[0:10:22.00]-[0:10:24.00]  ¿Y lo de las tabas? Habló dicho algo de las tabas, ¿verdad?
[0:10:24.00]-[0:10:32.00]  Sí, las tabas, sí. Las tabas eran con cuatro tabas, echalas así al alto y a poner primero, segundo hoyos
[0:10:32.00]-[0:10:42.00]  y tablicas. Era el primero, si se ponían así las tabas, después la daba vuelta y después los hoyos y las tablicas.
[0:10:42.00]-[0:10:46.00]  ¿Y luego qué jugaban, con sus amigos, con los hermanos, todos los chicos del pueblo?
[0:10:46.00]-[0:10:49.00]  Ah, todos, todos. No, sí había grupos, sí.
[0:10:49.00]-[0:10:51.00]  ¿Y los chicos iban con las chicas?
[0:10:51.00]-[0:10:56.00]  No, entonces había más separación.
[0:10:56.00]-[0:10:58.00]  No, se iba más separado.
[0:10:58.00]-[0:10:59.00]  Siempre separados, ¿no?
[0:10:59.00]-[0:11:01.00]  Sí, sí, sí. Los chicos jugaban en una parte y las chicas en otra.
[0:11:01.00]-[0:11:03.00]  ¿Y a qué jugaban ustedes?
[0:11:03.00]-[0:11:06.00]  Ah, igual que los chicos, los mismos jugados.
[0:11:06.00]-[0:11:07.00]  ¿A los mismos jugados?
[0:11:07.00]-[0:11:09.00]  Sí, sí, sí. Y después a la comba.
[0:11:09.00]-[0:11:15.00]  ¿No se juntaban nunca? Bueno, cuando eran más mayores, ¿no? Y a lo mejor ya se juntaban los grupos.
[0:11:15.00]-[0:11:22.00]  No, poco, poco, poco, poco, poco. Hasta que no eras muy mayor, muy mayor, ya no, no, no.
[0:11:22.00]-[0:11:30.00]  Cada uno iba sobre… cada uno iba los chicos con los chicos y las chicas con las chicas, como dice la canción.
[0:11:30.00]-[0:11:33.00]  Los chicos con los chicos y las chicas con las chicas.
[0:11:33.00]-[0:11:34.00]  Ya.
[0:11:34.00]-[0:11:35.00]  Pues sí.
[0:11:35.00]-[0:11:42.00]  ¿Piensa que es mejor como lo hacían entonces, que estuvieran separados, o como ahora que están mucho más mismos?
[0:11:42.00]-[0:11:46.00]  Hombre, según qué cosas era mejor antes, pero a otras las veo mejor ahora.
[0:11:46.00]-[0:11:47.00]  Por ejemplo.
[0:11:47.00]-[0:11:48.00]  Para muchas cosas las veo mejor ahora.
[0:11:48.00]-[0:11:49.00]  Por ejemplo.
[0:11:49.00]-[0:11:51.00]  Ah, ejemplos.
[0:11:51.00]-[0:11:52.00]  Dígame, dígame.
[0:11:52.00]-[0:11:54.00]  Ejemplos, ejemplos.
[0:11:54.00]-[0:11:55.00]  Es muy interesante.
[0:11:55.00]-[0:11:57.00]  Iluminame ejemplos.
[0:11:57.00]-[0:12:00.00]  Bueno, creo que he quedado relativamente claro.
[0:12:00.00]-[0:12:03.00]  No sé qué ejemplos poner. Muchos podía poner, pero…
[0:12:03.00]-[0:12:05.00]  No, vale, pero…
[0:12:05.00]-[0:12:10.00]  Pero, ¿y usted cuando terminó el colegio a los 14 años, qué hizo? ¿Se quedó aquí en el pueblo?
[0:12:10.00]-[0:12:17.00]  Pues a los 14 años tenía un tío NGA que era maestro. Bueno, mejor dicho, el último curso de 3 a 14 lo hice yo en NGA.
[0:12:17.00]-[0:12:19.00]  Pero en las escuelas nacionales, ¿eh?
[0:12:19.00]-[0:12:22.00]  Que tenía ya un tío maestro y me bajé allá.
[0:12:22.00]-[0:12:31.00]  A terminar el curso. Se ve que aquí no me cabía esto y decían, a ver si esta moceta allá se le abre la inteligencia.
[0:12:31.00]-[0:12:32.00]  Cambia de agua.
[0:12:32.00]-[0:12:33.00]  Ya.
[0:12:33.00]-[0:12:36.00]  ¿En el colegio con qué estudiaron? ¿Tenían varios libros? ¿Tenían solo uno?
[0:12:36.00]-[0:12:41.00]  Yo empecé a estudiar con manuscrito y a leer y el mapa.
[0:12:41.00]-[0:12:45.00]  Así empezamos los ríos, que ahora por cierto ya los he olvidado.
[0:12:45.00]-[0:12:57.00]  Las provincias y todo eso sí, y mucho leer. Y algún dictado y por la tarde se hacía toda la tarde bordar.
[0:12:57.00]-[0:13:04.00]  Toda la tarde, las dos horas de 3 a 5 aquí. Yo hablo de mi escuela. Bordar.
[0:13:04.00]-[0:13:05.00]  ¿Pero así te vas?
[0:13:05.00]-[0:13:13.00]  Sí, bordar. Por la mañana no. Por la mañana hacías todo eso. Cantar la tabla, 2 por 2, 4, 2 por 3, 6, 2 por 4, 2 por 5.
[0:13:13.00]-[0:13:17.00]  ¿Se acuerda usted? Dice que tiene mala memoria, pero vamos.
[0:13:17.00]-[0:13:18.00]  De eso sí.
[0:13:18.00]-[0:13:19.00]  Tiene muy buena memoria.
[0:13:19.00]-[0:13:21.00]  ¿No había faltas de autografía?
[0:13:21.00]-[0:13:24.00]  No, no había faltas de autografía, no.
[0:13:24.00]-[0:13:25.00]  ¿Cómo que no?
[0:13:25.00]-[0:13:27.00]  De eso. Hombre que procuraban...
[0:13:27.00]-[0:13:28.00]  ¿Habías estudiado mejor que ahora?
[0:13:28.00]-[0:13:32.00]  Sí, sí. Escribir mejor.
[0:13:32.00]-[0:13:36.00]  ¿En la iglesia? Porque he visto que tienen ustedes catequesis o algún tipo...
[0:13:36.00]-[0:13:38.00]  Sí, teníamos doctrina.
[0:13:38.00]-[0:13:39.00]  ¿Docrina?
[0:13:39.00]-[0:13:40.00]  Lo llamaba doctrina.
[0:13:40.00]-[0:13:42.00]  ¿Y qué hacían? ¿Cuántas horas era? ¿Qué hacían?
[0:13:42.00]-[0:13:46.00]  Pues eran... ¿cuántas horas?
[0:13:46.00]-[0:13:48.00]  Bueno, tampoco es...
[0:13:48.00]-[0:13:54.00]  No sé si eran los... 4 días me parece que eran a la semana. 4 días.
[0:13:54.00]-[0:13:55.00]  Muy bien.
[0:13:55.00]-[0:13:57.00]  Sí, me parece que eran 4 días de doctrina.
[0:13:57.00]-[0:13:58.00]  ¿Y qué hacían?
[0:13:58.00]-[0:14:02.00]  Pues, pues sí que sé, ya casi no me acuerdo, pero...
[0:14:02.00]-[0:14:03.00]  ¿Qué hacían?
[0:14:03.00]-[0:14:04.00]  ¿Qué hacían?
[0:14:04.00]-[0:14:05.00]  ¿Qué hacían?
[0:14:05.00]-[0:14:06.00]  ¿Qué hacían?
[0:14:06.00]-[0:14:07.00]  ¿Qué hacían?
[0:14:07.00]-[0:14:08.00]  ¿Qué hacían?
[0:14:08.00]-[0:14:09.00]  ¿Qué hacían?
[0:14:09.00]-[0:14:10.00]  ¿Qué hacían?
[0:14:10.00]-[0:14:11.00]  ¿Qué hacían?
[0:14:11.00]-[0:14:12.00]  No, no, nada nada.
[0:14:12.00]-[0:14:13.00]  ¿Qué les preguntaban?
[0:14:13.00]-[0:14:15.00]  Pues esto de...
[0:14:15.00]-[0:14:21.00]  ¡Soy cristianos! Sí, por la gracia de nuestro señor Jesucristo.
[0:14:21.00]-[0:14:22.00]  Y si creían ¿no? También.
[0:14:22.00]-[0:14:23.00]  Cantando todo...
[0:14:23.00]-[0:14:26.00]  No, no, no. Cantando no.
[0:14:26.00]-[0:14:30.00]  ¡Soy cristianos! Sí, por la gracia de nuestro señor Jesucristo.
[0:14:30.00]-[0:14:32.00]  Ya. ¿Y si creéis?
[0:14:32.00]-[0:14:34.00]  Si creís en Dios, sí, todas esas cosas.
[0:14:34.00]-[0:14:37.00]  Muy bien. ¿Eso lo impartía... Lo hacía el cura?
[0:14:37.00]-[0:14:39.00]  No, no, el cura. Aquí nos roban la doctrina al cura.
[0:14:39.00]-[0:14:41.80]  siempre el cura siempre el cura. ¿El cura era de aquí?
[0:14:41.80]-[0:14:48.64]  No, bueno no era de aquí pero yo cuando esto llevaba ya muchos años aquí.
[0:14:48.64]-[0:14:49.76]  De Tiermas era.
[0:14:49.76]-[0:14:52.52]  Es que nos han dicho que hay un monasterio por aquí cerca también
[0:14:52.52]-[0:14:55.64]  para ir detrás y hay un cura que está...
[0:14:55.64]-[0:14:57.24]  Ah, en Valentuñana,
[0:14:57.24]-[0:14:59.88]  Valentuñana, nuestra señora de Valentuñana.
[0:14:59.88]-[0:15:02.68]  Es la historia del pueblo, la sabe muy bien.
[0:15:02.68]-[0:15:03.88]  Bueno, nos interesa también...
[0:15:03.88]-[0:15:06.20]  Él sabe mucho, sí.
[0:15:06.20]-[0:15:11.40]  Pues si preguntáis por él si vais a Valentuñana que está aquí cerca al monasterio,
[0:15:11.40]-[0:15:13.44]  sí, Primo Segundo Mío es.
[0:15:13.44]-[0:15:15.92]  Otra cosa, en la casa, ¿cómo era la educación?
[0:15:15.92]-[0:15:19.48]  Los padres con los hijos, ¿qué relación tenía? El marido con la mujer...
[0:15:19.48]-[0:15:20.92]  En nuestra casa muy buena.
[0:15:20.92]-[0:15:22.20]  ¿Tenían ustedes hermanos?
[0:15:22.20]-[0:15:23.76]  Sí, dos hermanos.
[0:15:23.76]-[0:15:27.12]  Tenía yo. En nuestra casa pues muy bien a comer en familia.
[0:15:27.12]-[0:15:32.52]  Si no habías llegado a las 8 o a las 8 y cuarto pues ya sabes lo que te tocaba.
[0:15:32.52]-[0:15:38.32]  Pues grítate y venid a la hora y te estamos esperando y todas esas cosas.
[0:15:38.32]-[0:15:39.32]  Ya.
[0:15:39.32]-[0:15:41.20]  ¿Sus padres eran de aquí también?
[0:15:41.20]-[0:15:44.16]  Mi madre era de Navarín, mi padre era de aquí.
[0:15:44.16]-[0:15:45.40]  Hasta el ladito también.
[0:15:45.40]-[0:15:46.28]  Sí.
[0:15:46.28]-[0:15:48.24]  Mi madre era de Navarín, sí.
