[0:00:00.00]-[0:00:05.00]  Estamos con Errigoiti.
[0:01:27.00]-[0:01:29.00]  Sí.
[0:01:29.00]-[0:01:31.00]  Pues pobre pero alegre, ¿no?
[0:01:31.00]-[0:01:32.00]  Pobre pero alegre.
[0:01:32.00]-[0:01:33.00]  Hombre, sí.
[0:01:33.00]-[0:01:34.00]  Con mucho humor.
[0:01:34.00]-[0:01:38.00]  Cinco duros no me faltan.
[0:01:38.00]-[0:01:39.00]  Los cinco duros...
[0:01:39.00]-[0:01:41.00]  Ese ha sido mi hijo.
[0:01:41.00]-[0:01:43.00]  Que vive en Gernika.
[0:01:43.00]-[0:01:46.00]  Los cinco duros que le sobran, ¿para qué los quiere?
[0:01:46.00]-[0:01:50.00]  Luego para los sobrinos, si me cuidan bien.
[0:01:50.00]-[0:01:53.00]  O para los nietos, si me cuidan bien.
[0:01:53.00]-[0:01:55.00]  Ahí está.
[0:01:55.00]-[0:01:56.00]  ¿Y el marido?
[0:01:56.00]-[0:01:58.00]  El marido está en el cielo.
[0:01:58.00]-[0:02:00.00]  Y la hija también.
[0:02:00.00]-[0:02:01.00]  Vaya.
[0:02:01.00]-[0:02:02.00]  Sí.
[0:02:02.00]-[0:02:03.00]  ¿Cuántos hijos tú?
[0:02:03.00]-[0:02:04.00]  Tres.
[0:02:04.00]-[0:02:07.00]  Dos chicos y la chica.
[0:02:07.00]-[0:02:09.00]  Hace dos años se me murió la chica.
[0:02:09.00]-[0:02:10.00]  Vaya.
[0:02:10.00]-[0:02:12.00]  Sí. Dejando tres hijos.
[0:02:12.00]-[0:02:14.00]  ¿Y los nietos con quién están?
[0:02:14.00]-[0:02:18.00]  Conmigo. Con el padre. Conmigo y con el padre.
[0:02:18.00]-[0:02:20.00]  Sí.
[0:02:20.00]-[0:02:24.00]  Y vamos a ver, ¿cuándo... vamos a volver primero o cuando era más pequeña?
[0:02:24.00]-[0:02:26.00]  Cuando era más pequeño, sí.
[0:02:26.00]-[0:02:30.00]  ¿Cuándo era pequeña, de qué vivían en la casa?
[0:02:30.00]-[0:02:31.00]  ¿En la casa?
[0:02:31.00]-[0:02:33.00]  Talo y leche. Alubias.
[0:02:33.00]-[0:02:34.00]  Nada más.
[0:02:34.00]-[0:02:38.00]  Y tocino y chorizo. Talo y leche. Nada más.
[0:02:38.00]-[0:02:40.00]  En la que yo entonces no había nada.
[0:02:40.00]-[0:02:41.00]  Talo y leche.
[0:02:41.00]-[0:02:43.00]  ¿Y lo hacían ustedes, el talo?
[0:02:43.00]-[0:02:44.00]  Sí.
[0:02:44.00]-[0:02:45.00]  Sí.
[0:02:45.00]-[0:02:46.00]  Talos nos hacíamos otros.
[0:02:46.00]-[0:02:48.00]  Y al mañana talo y leche.
[0:02:48.00]-[0:02:49.00]  Al medio de día alubias.
[0:02:49.00]-[0:02:53.00]  A la noche un poco bácalo asado igual.
[0:02:53.00]-[0:02:57.00]  Con un poco de aceite y luego leche.
[0:02:57.00]-[0:03:00.00]  Talo y leche otra vez. Dale, talo y leche.
[0:03:00.00]-[0:03:03.00]  Y los domingos, las madres, coméramos diez.
[0:03:03.00]-[0:03:07.00]  Y fíjate, la pobre madre, ¿cómo estaría?
[0:03:07.00]-[0:03:10.00]  Pues los domingos nos daba la mía.
[0:03:10.00]-[0:03:14.00]  Pan con media onza de chocolate.
[0:03:14.00]-[0:03:15.00]  Como algo...
[0:03:15.00]-[0:03:16.00]  Como extraño, hombre.
[0:03:16.00]-[0:03:17.00]  Especial.
[0:03:17.00]-[0:03:18.00]  Especial.
[0:03:18.00]-[0:03:20.00]  Polin, contenta, soy yo. Con media onza de chocolate.
[0:03:20.00]-[0:03:23.00]  Pígate, ¿qué va a hacer?
[0:03:23.00]-[0:03:25.00]  Para diez personas.
[0:03:25.00]-[0:03:28.00]  Y así andábamos. De esto.
[0:03:28.00]-[0:03:29.00]  ¿Iban a la escuela?
[0:03:29.00]-[0:03:32.00]  Sí. Ibamos a la escuela, sí.
[0:03:32.00]-[0:03:35.00]  Todos los días íbamos a la escuela.
[0:03:35.00]-[0:03:38.00]  ¿Y cuántos años tenía cuando dejó de ir a la escuela?
[0:03:38.00]-[0:03:41.00]  Trece años. Sí.
[0:03:41.00]-[0:03:47.00]  Y luego pues en casa, en la huerta, trabajando con los padres.
[0:03:47.00]-[0:03:49.00]  Y así hemos vivido toda la vida.
[0:03:49.00]-[0:03:52.00]  ¿Y en la escuela qué aprendió?
[0:03:52.00]-[0:03:56.00]  Un poco sumar, restar y multiplicar. Y nada más.
[0:03:56.00]-[0:03:58.00]  Pero no le han tomado el pelo nunca, ¿eh?
[0:03:58.00]-[0:03:59.00]  No, no, eso no.
[0:03:59.00]-[0:04:02.00]  ¿Hasta cuánto, hasta cuánto, hasta qué edad estuvo en la escuela?
[0:04:02.00]-[0:04:03.00]  Trece años.
[0:04:03.00]-[0:04:04.00]  Así es.
[0:04:04.00]-[0:04:05.00]  Con trece años en la calle.
[0:04:05.00]-[0:04:07.00]  Pero empezar como ahora no, tampoco.
[0:04:07.00]-[0:04:11.00]  Nos empezamos con siete o ocho años en la escuela.
[0:04:11.00]-[0:04:15.00]  Ahora con dos años ya le llevan a las pobres chicas y chavales a la escuela.
[0:04:15.00]-[0:04:18.00]  ¿Y una pregunta dicho que comían talo?
[0:04:18.00]-[0:04:19.00]  ¿Eh?
[0:04:19.00]-[0:04:20.00]  ¿Ha dicho que comían talo?
[0:04:20.00]-[0:04:21.00]  Claro, sí.
[0:04:21.00]-[0:04:25.00]  ¿Y cómo nací? ¿Cómo hacían el talo?
[0:04:25.00]-[0:04:34.00]  Pues el talo se hace, harina, hola, harina, echas agua y haces así un montón de esto, de masa.
[0:04:34.00]-[0:04:38.00]  Luego cogías un cachito y hacías, pegás los talitos y al fuego.
[0:04:38.00]-[0:04:40.00]  ¿Pero antes se hacía igual?
[0:04:40.00]-[0:04:41.00]  ¿Eh?
[0:04:41.00]-[0:04:42.00]  ¿Antes era igual?
[0:04:42.00]-[0:04:45.00]  Sí, antes y ahora los talos son iguales, antes y ahora también.
[0:04:45.00]-[0:04:46.00]  ¿Y no era de maíz?
[0:04:46.00]-[0:04:47.00]  ¿De maíz?
[0:04:47.00]-[0:04:48.00]  Sí.
[0:04:48.00]-[0:04:49.00]  De maíz comíamos talo, es de maíz.
[0:04:49.00]-[0:04:50.00]  ¿Harina de maíz?
[0:04:50.00]-[0:04:51.00]  Harina de maíz, sí.
[0:04:51.00]-[0:04:53.00]  Sí, harina de maíz.
[0:04:53.00]-[0:04:57.00]  Y el trigo que cogíamos, vendíamos el trigo.
[0:04:57.00]-[0:05:00.00]  Y en casa talo.
[0:05:00.00]-[0:05:03.00]  ¿Y de no tener maíz?
[0:05:03.00]-[0:05:05.00]  Comprar.
[0:05:05.00]-[0:05:09.00]  Si terminábamos teníamos que comprar en el molino.
[0:05:09.00]-[0:05:13.00]  Es que el pan era cosa grande entonces.
[0:05:13.00]-[0:05:16.00]  ¿No comían el pan de ahora?
[0:05:16.00]-[0:05:18.00]  No, yo te he dicho, pues, los domingos.
[0:05:18.00]-[0:05:19.00]  ¿Con chocolate?
[0:05:19.00]-[0:05:24.00]  Con media onza de chocolate.
[0:05:24.00]-[0:05:28.00]  ¿Y en la escuela en qué idioma aprendía?
[0:05:28.00]-[0:05:29.00]  ¿Qué idioma hablaban?
[0:05:29.00]-[0:05:31.00]  En euskera, en euskera.
[0:05:31.00]-[0:05:36.00]  Sí, no, siempre hablábamos en euskera, también en euskera, también en euskera.
[0:05:36.00]-[0:05:38.00]  O sea que tenían maestros que sabían euskera.
[0:05:38.00]-[0:05:39.00]  Sí, sí.
[0:05:39.00]-[0:05:42.00]  ¿De dónde venían los maestros?
[0:05:42.00]-[0:05:44.00]  Yo no sé de dónde eran.
[0:05:44.00]-[0:05:46.00]  No eran euskeldunas.
[0:05:46.00]-[0:05:47.00]  ¿No eran euskeldunas?
[0:05:47.00]-[0:05:48.00]  No, no.
[0:05:48.00]-[0:05:51.00]  Pero nosotros siempre hablábamos en euskera.
[0:05:51.00]-[0:05:56.00]  Pero al estar hablando con ellos, con el maestro, pues entonces sí.
[0:05:56.00]-[0:06:02.00]  Las palabras que sabíamos decíamos, es verdad, pero lo demás no.
[0:06:02.00]-[0:06:04.00]  En euskera, nosotros todo en euskera.
[0:06:04.00]-[0:06:08.00]  Es que en el tiempo nuestro no se hablaba nada en castellano.
[0:06:08.00]-[0:06:09.00]  ¿Y de venir alguien de fuera?
[0:06:09.00]-[0:06:10.00]  ¿Eh?
[0:06:10.00]-[0:06:12.00]  ¿De venir alguien de fuera cómo se entendía?
[0:06:12.00]-[0:06:18.00]  Ahora no sé, cómo ahora, si, en el porro un poco.
[0:06:18.00]-[0:06:25.00]  ¿Y la euskera que hablaban aquí, era parecida a la euskera que se hablaba en otros valles de alrededor o en Gipuzkoa?
[0:06:25.00]-[0:06:31.00]  No, en Gipuzkoa hablan esto, es que el euskera vato habla, se habla en Gipuzkoa.
[0:06:31.00]-[0:06:33.00]  Hay que irse a ir a hablar.
[0:06:33.00]-[0:06:34.00]  ¿Y en pero este año?
[0:06:34.00]-[0:06:38.00]  No, va, ya, no la ven a la estana, eh.
[0:06:38.00]-[0:06:41.00]  Va, que voy a decir.
[0:06:41.00]-[0:06:50.00]  Que el euskera que se hablaba en Gipuzkoa hace 40 años o 50 años, ¿ustedes lo entendían el de hace 60 años?
[0:06:50.00]-[0:06:54.00]  No, teníamos un coñado de Gipuzkoa y se lo entendía muy poco, eh.
[0:06:54.00]-[0:06:59.00]  Había, hablaba muy diferente de nuestro, hablaba, sí.
[0:06:59.00]-[0:07:02.00]  Y luego, después de la escuela, a casa.
[0:07:02.00]-[0:07:03.00]  A casa.
[0:07:03.00]-[0:07:07.00]  ¿Y cómo era la vida de los hombres y cómo era la vida de las mujeres?
[0:07:07.00]-[0:07:11.00]  Muy malas, malas mujeres.
[0:07:11.00]-[0:07:14.00]  Las mujeres tenían que trabajar en la huerta.
[0:07:14.00]-[0:07:16.00]  Y luego venir a casa y poner las comidas y hacer cosas.
[0:07:16.00]-[0:07:19.00]  Y luego no había ni agua en casa.
[0:07:19.00]-[0:07:22.00]  Y fíjate cómo andábamos, mal.
[0:07:22.00]-[0:07:25.00]  No teniendo agua en casa.
[0:07:25.00]-[0:07:29.00]  Y después de casada también en mucho tiempo estuvimos sin agua en casa, eh.
[0:07:29.00]-[0:07:35.00]  Fíjate, coger la ropa íbamos ahí al barranco abajo, íbamos a lavar la ropa.
[0:07:35.00]-[0:07:36.00]  Sí.
[0:07:36.00]-[0:07:39.00]  La vida era triste en aquellos tiempos.
[0:07:39.00]-[0:07:40.00]  ¿Y cómo se alegraban la vida?
[0:07:40.00]-[0:07:42.00]  Si la vida era triste...
[0:07:42.00]-[0:07:47.00]  No, te quiero decir, nosotros como no vimos otra cosa, pues igual que ahora, ¿verdad?
[0:07:47.00]-[0:07:51.00]  Pero te quiero decir que comparando con lo de ahora, que era muy triste.
[0:07:51.00]-[0:07:53.00]  ¿Para divertirse qué hacían?
[0:07:53.00]-[0:07:56.00]  Teníamos todos los domingos los Romería ahí abajo.
[0:07:56.00]-[0:07:59.00]  Y venga a bailar, hombre.
[0:07:59.00]-[0:08:02.00]  Y luego íbamos a confesar y los franes nos reían.
[0:08:02.00]-[0:08:04.00]  Si bailábamos a guerra.
[0:08:04.00]-[0:08:06.00]  Sí.
[0:08:06.00]-[0:08:08.00]  ¿Qué les decían?
[0:08:08.00]-[0:08:13.00]  Que no nos querían dar a esto la solución.
[0:08:13.00]-[0:08:14.00]  ¿Por qué?
[0:08:14.00]-[0:08:21.00]  Porque habíamos bailado en el barranco.
[0:08:21.00]-[0:08:27.00]  ¿Quién venía a las fiestas para celebrar? ¿Quién venía?
[0:08:27.00]-[0:08:29.00]  ¿Gente de fuera, músicos de fuera?
[0:08:29.00]-[0:08:30.00]  Ah, sí.
[0:08:30.00]-[0:08:31.00]  ¿Quién venía?
[0:08:31.00]-[0:08:34.00]  La fiesta de aquí se hacía en fiestas grandes. Venían autobuses también.
[0:08:34.00]-[0:08:37.00]  En tiempos nuestros venía. Hasta hace poco, ¿eh?
[0:08:37.00]-[0:08:41.00]  Hasta hace pocos años venían autobuses, venían.
[0:08:41.00]-[0:08:46.00]  Y venía la gente, ya empezaban a la mañana, venía el primer autobús.
[0:08:46.00]-[0:08:52.00]  Y luego a las once que estaba misa mayor, venía mucha gente a misa mayor.
[0:08:52.00]-[0:08:58.00]  Y luego hay aquí un santo que traían a los niños a besar.
[0:08:58.00]-[0:09:01.00]  A los niños que no sabían hablar.
[0:09:01.00]-[0:09:03.00]  ¿Qué santo era ese?
[0:09:03.00]-[0:09:06.00]  El cuerpo santo le llaman, no sé yo. El cuerpo santo.
[0:09:06.00]-[0:09:07.00]  ¿Y qué pasaba?
[0:09:07.00]-[0:09:11.00]  Y a ese santo, me parece, le encontraban ahí una ermita.
[0:09:11.00]-[0:09:20.00]  Y cuando empezaban a sacar la ermita de los huesos, les dijo, quieto, creo que les dijo.
[0:09:20.00]-[0:09:22.00]  Yo sé que lo he oído, quieto.
[0:09:22.00]-[0:09:31.00]  Y les cortaron la mano. Y esa mano, era postiza luego, pero a los niños les daban para que aprendan eso.
[0:09:31.00]-[0:09:34.00]  Y ese santo le pusieron en el pórtico de pies.
[0:09:34.00]-[0:09:37.00]  Ya saben los chavales de lo que suelen hacer.
[0:09:37.00]-[0:09:40.00]  Y se empezaron a echarles piedras al santo ese.
[0:09:40.00]-[0:09:44.00]  Algunos se quedaron mudos y otros se quedaron con los brazos así arriba.
[0:09:44.00]-[0:09:47.00]  Decían, ¿eh? Los que tenían en los padres nuestros.
[0:09:47.00]-[0:09:57.00]  Y luego que haciendo rogativos, no sé qué, le tenían a las ermitas, pues se empezaron a hablar y se bajaron los brazos también.
[0:09:57.00]-[0:10:02.00]  Y por eso le traían. Ahora no traen, verdad, pero antes traían. Cantidad de gente venía.
[0:10:02.00]-[0:10:05.00]  Ahí habla esto del santo ese.
[0:10:05.00]-[0:10:11.00]  Y ahora también viene gente a verle. Ya viene. Es un esqueleto ahora. Esqueleto es verdad, pero está entero.
[0:10:11.00]-[0:10:14.00]  Y ahí viene. Le llaman al cuerpo santo.
[0:10:14.00]-[0:10:16.00]  Y ahí está el santo ese.
[0:10:16.00]-[0:10:18.00]  ¿Y usted le tenía devoción?
[0:10:18.00]-[0:10:20.00]  Pues no sé yo.
[0:10:20.00]-[0:10:26.00]  Porque en su época la gente era muy religiosa.
[0:10:26.00]-[0:10:33.00]  Ah, sí. Más que... Ahora no va ni un joven a mis esperantes. Todos, digamos.
[0:10:33.00]-[0:10:38.00]  Y además cada casa había ocho, diez familias.
[0:10:38.00]-[0:10:43.00]  Y el pueblo era grande, ¿eh? Y había mucha gente. Sí.
[0:10:43.00]-[0:10:52.00]  Y venían, pues había esto, el día de... el día de esto, del primer domingo, era el día de Sagrado Corazón.
[0:10:52.00]-[0:10:58.00]  Y por la tarde mucha gente, al rosario y eso. No hay rosario tampoco, ni nada.
[0:10:58.00]-[0:11:04.00]  ¿Y en aquella época tanta religión para qué?
[0:11:04.00]-[0:11:09.00]  Yo no sé. Había mucho, ¿eh? Más que ahora. Sí, había más que ahora.
[0:11:09.00]-[0:11:14.00]  Religión, yo no sé. Nos tenían asustados, ¿o no? ¿Cómo no sé? ¿Cómo de todo era pecado?
[0:11:14.00]-[0:11:16.00]  ¿Y por qué vivían asustados?
[0:11:16.00]-[0:11:22.00]  Porque todo era pecado, hija. Todo era pecado.
[0:11:22.00]-[0:11:23.00]  Pero, ¿y de no pero...
[0:11:23.00]-[0:11:28.00]  Si te daba un beso, algún chico también, a confesar corriendo, hija.
[0:11:28.00]-[0:11:29.00]  ¿Sí?
[0:11:29.00]-[0:11:31.00]  Sí. Hombre.
[0:11:31.00]-[0:11:40.00]  Si te tocaba hacer algo también, a los chicos, a confesar. Hombre.
[0:11:40.00]-[0:11:41.00]  ¿Qué ibas a preguntar, Amelia?
[0:11:41.00]-[0:11:47.00]  Sí, que de no querer ir a misa, ¿qué pasaba? ¿Cómo la miraban en el pueblo?
[0:11:47.00]-[0:11:50.00]  Pues bien, todo eso. La gente no se...
[0:11:50.00]-[0:11:52.00]  De decir hoy no voy a misa. No quiero ir a misa.
[0:11:52.00]-[0:11:55.00]  No, no, no. Eso de estas no había antes, ¿eh?
[0:11:55.00]-[0:11:56.00]  No.
[0:11:56.00]-[0:12:02.00]  No, no, no. A mí sí. A misa sí. No, entonces no había. Antes era...
[0:12:02.00]-[0:12:06.00]  Algunos igual sí quedaría, pero no. Ahora como ahora no.
[0:12:06.00]-[0:12:10.00]  Todos iban a misa. Entonces sí.
[0:12:10.00]-[0:12:15.00]  ¿Y quién estudiaba en el pueblo? ¿De su familia estudió alguien?
[0:12:15.00]-[0:12:22.00]  En la aldea nadie estudió y ahora todos van a esto, a la carrera, aprendiendo las carreras. Antes no.
[0:12:22.00]-[0:12:23.00]  ¿Quién podía estudiar?
[0:12:23.00]-[0:12:24.00]  ¿Eh?
[0:12:24.00]-[0:12:26.00]  ¿Quién podía estudiar?
[0:12:26.00]-[0:12:32.00]  Pero tampoco iban a ningún sitio a estudiar tampoco, pero ahora sí. Ahora salen fuera a estudiar.
[0:12:32.00]-[0:12:37.00]  ¿Y entonces quién era alcalde del pueblo, por ejemplo, si nadie estudiaba?
[0:12:37.00]-[0:12:41.00]  Estudiar nadie. Pero, ¿cómo nosotros?
[0:12:41.00]-[0:12:45.00]  ¿Y al paladeto también?
[0:12:45.00]-[0:12:47.00]  ¿Y qué hacía el alcalde?
[0:12:47.00]-[0:12:48.00]  ¿Había alcaldesas?
[0:12:48.00]-[0:12:52.00]  Alcaldesas no. Alcalde sí, pero alcaldesas no era conocido aquí.
[0:12:52.00]-[0:12:53.00]  ¿Por qué?
[0:12:53.00]-[0:12:54.00]  Siempre alcaldes.
[0:12:54.00]-[0:12:57.00]  ¿Pero por qué piensan que no había alcaldesas?
[0:12:57.00]-[0:13:05.00]  Porque no se acostumbra nunca a alcaldesas. No se acostumbra nunca, que siempre alcaldes.
[0:13:05.00]-[0:13:07.00]  ¿Los hombres sabían más que las mujeres?
[0:13:07.00]-[0:13:13.00]  Sí, las mujeres abajo. Los hombres más grandes eran.
[0:13:13.00]-[0:13:15.00]  Porque se vivía de esa manera, ¿no?
[0:13:15.00]-[0:13:17.00]  De esa manera se vivía entonces.
[0:13:17.00]-[0:13:18.00]  Muy bien.
[0:13:18.00]-[0:13:20.00]  Así es.
[0:13:20.00]-[0:13:22.00]  Y vamos a ver, ¿con las amigas qué hacía?
[0:13:22.00]-[0:13:25.00]  Bien. Nos alojamos más bien, las amigas.
[0:13:25.00]-[0:13:26.00]  ¿Qué cosas hacían?
[0:13:26.00]-[0:13:36.00]  Hacíamos meriendas también, choclatadas y también castañas, asar castañas con chicos y chicas.
[0:13:36.00]-[0:13:38.00]  Pero si era pecado.
[0:13:38.00]-[0:13:46.00]  No, no. Pecado era dar un beso y que te toque un chico.
[0:13:46.00]-[0:13:48.00]  Mi mamá.
[0:13:48.00]-[0:13:52.00]  ¿Cuándo se reunían los amigos? ¿Cuándo se reunían con las amigas?
[0:13:52.00]-[0:13:54.00]  Ah, los domingos solos.
[0:13:54.00]-[0:13:55.00]  Domingos solos.
[0:13:55.00]-[0:13:58.00]  Sí. El día de la hora no, porque el día de la hora tenías que trabajar.
[0:13:58.00]-[0:14:07.00]  Ya cuando veníamos de la escuela ya teníamos puesto el trabajo en casa, lo que teníamos que hacer.
[0:14:07.00]-[0:14:12.00]  ¿Y cuándo vio el mar por primera vez usted?
[0:14:12.00]-[0:14:16.00]  ¿El mar? Pronto vi el mar.
[0:14:16.00]-[0:14:21.00]  Tenía hermanas mayores en Bilbao, éramos muchos y las hermanas mayores.
[0:14:21.00]-[0:14:25.00]  Y allí entonces, el mar vi y pronto.
[0:14:25.00]-[0:14:27.00]  ¿Y a Bilbao cómo iban?
[0:14:27.00]-[0:14:29.00]  En el tren.
[0:14:29.00]-[0:14:33.00]  ¿Y cómo eran los viajes en tren en aquella época?
[0:14:33.00]-[0:14:38.00]  Andando a Garzaganica en el tren íbamos.
[0:14:38.00]-[0:14:40.00]  ¿Cuánto tiempo duraba el viaje?
[0:14:40.00]-[0:14:43.00]  No sé, pero media hora sí el tren.
[0:14:43.00]-[0:14:44.00]  Vaya juerga, ¿no?
[0:14:44.00]-[0:14:47.00]  Hombre, ¿dónde íbamos a verlo? Vaya juerga.
[0:14:47.00]-[0:14:51.00]  ¿Y en Bilbao, de llegar a Bilbao, qué hacían?
[0:14:51.00]-[0:14:54.00]  Nada, estaba en casa la hermana y nada más.
[0:14:54.00]-[0:15:00.00]  ¿Qué íbamos a hacer? ¿Dónde íbamos a ir? No había esto.
[0:15:00.00]-[0:15:02.00]  ¿Y de haber tenido dinero?
[0:15:02.00]-[0:15:04.00]  ¿Dinero quién tenía entonces?
[0:15:04.00]-[0:15:08.00]  Sí, pero imagínese, ¿qué le gustaría haber hecho?
[0:15:08.00]-[0:15:09.00]  No sé.
[0:15:09.00]-[0:15:13.00]  Imagínese el que tiene usted ahora 20 años.
[0:15:13.00]-[0:15:16.00]  De usted nada, ¿eh? De tú.
[0:15:16.00]-[0:15:18.00]  Su, su.
[0:15:18.00]-[0:15:20.00]  Me haces mayor, hija, más que lo que yo dije.
[0:15:20.00]-[0:15:22.00]  Ah, pues entonces no. Entonces tú.
[0:15:22.00]-[0:15:27.00]  De haber tenido dinero, ¿qué cosas le hubiera gustado hacer?
[0:15:27.00]-[0:15:30.00]  Así, ropas elegantes o algo.
[0:15:30.00]-[0:15:33.00]  La ropa no es de aparragatas.
[0:15:33.00]-[0:15:36.00]  Alguna vez que teníamos zapatos para...
[0:15:36.00]-[0:15:41.00]  Fíjate, cuando llovía, para ir a misa con aparragatas puestos por aquí,
[0:15:41.00]-[0:15:48.00]  y luego en los puertos que vestíamos aparragatas, fíjate cómo andábamos.
[0:15:48.00]-[0:15:52.00]  Pero hacer, a ver, hacer qué cosas.
[0:15:52.00]-[0:15:57.00]  Imagínese que tiene, que hubiese, de tener dinero, ¿eh?
[0:15:57.00]-[0:16:00.00]  Dinero que sobraba, de vivir bien.
[0:16:00.00]-[0:16:02.00]  ¿Qué cosas le hubiese gustado hacer?
[0:16:02.00]-[0:16:05.00]  Siendo joven, volviendo ahora y soñando un poco, porque hay que soñar también.
[0:16:05.00]-[0:16:09.00]  No sé, chica. Yo me acuerdo, yo no lo hubiésemos hecho.
[0:16:09.00]-[0:16:12.00]  No, pero ahora, de la manera que usted piensa ahora...
[0:16:12.00]-[0:16:13.00]  ¿Ahora?
[0:16:13.00]-[0:16:14.00]  Sí.
[0:16:14.00]-[0:16:17.00]  Vivo bien y gracias a Dios.
[0:16:17.00]-[0:16:20.00]  ¿Y en aquella época en que hubiese cambiado su vida? El tener dinero.
[0:16:20.00]-[0:16:25.00]  Que éramos así, ¿no? Y como no habíamos conocido nada más, pues nada, sin dinero,
[0:16:25.00]-[0:16:31.00]  ahí contentas, con las amigas, jugando, los domingos, bailando y así, contentas.
[0:16:31.00]-[0:16:36.00]  Y la gente que tenía más dinero, ¿cómo vivía entonces? ¿Qué hacían?
[0:16:36.00]-[0:16:41.00]  Nada. Si llegaba la gente, entonces en tipo nuestro no había dinero, ¿eh?
[0:16:41.00]-[0:16:42.00]  ¿Y en Bilbao no había gente con dinero?
[0:16:42.00]-[0:16:47.00]  No, en Bilbao no. Yo de Bilbao no sé nada, ¿eh? Yo de Bilbao no sé nada, porque eso,
[0:16:47.00]-[0:16:52.00]  de vez en cuando, en la casa de la hermana, pasaron los días y a casa, otra vez.
[0:16:52.00]-[0:16:54.00]  ¿Le hubiera gustado estudiar más?
[0:16:54.00]-[0:16:58.00]  ¿Qué va? Contento, cuando salía de la escuela.
[0:16:58.00]-[0:17:04.00]  Y ahora, de estar en la escuela, de estar en el instituto y pensar...
[0:17:04.00]-[0:17:10.00]  como has visto, inteligente, a ver, ¿qué carrera, de poder hacer alguna carrera, qué haría?
[0:17:10.00]-[0:17:12.00]  Para hacer qué después?
[0:17:12.00]-[0:17:19.00]  Yo no tengo esa ilusión de carreras, eso. Vivir bien en casa y nada más.
[0:17:19.00]-[0:17:21.00]  Pues sí, que ya es bastante.
[0:17:21.00]-[0:17:24.00]  Sí, o sea que no le llama nada la atención, Leo.
[0:17:24.00]-[0:17:25.00]  No.
[0:17:25.00]-[0:17:26.00]  No, salir de aquí.
[0:17:26.00]-[0:17:27.00]  No.
[0:17:27.00]-[0:17:28.00]  No.
[0:17:28.00]-[0:17:30.00]  He ido a Roma también, ¿eh?
[0:17:30.00]-[0:17:31.00]  ¿Sí?
[0:17:31.00]-[0:17:35.00]  Sí, pues estuvimos ocho días en Roma también.
[0:17:35.00]-[0:17:38.00]  ¿Para qué fueron a Roma? ¿Para qué?
[0:17:38.00]-[0:17:44.00]  Pues había una feligración a Roma, y fuimos a verle al Papa, y estuvimos ocho días.
[0:17:44.00]-[0:17:47.00]  Y también había ladrones, ¿eh?
[0:17:47.00]-[0:17:48.00]  ¿Quiénes?
[0:17:48.00]-[0:17:52.00]  Y nos llamaban a... ¡Españoles! Nos llamaban.
[0:17:52.00]-[0:17:57.00]  Y esos macarrones se llamaban nosotros.
[0:17:57.00]-[0:18:01.00]  ¿Cuándo estuvo?
[0:18:01.00]-[0:18:04.00]  En el 25 año.
