[0:00:00.00]-[0:00:02.00]  Están en misa ahora.
[0:01:18.00]-[0:01:20.00]  Aquí le decimos migas.
[0:01:20.00]-[0:01:22.00]  ¿Qué lleva?
[0:01:22.00]-[0:01:24.00]  Eso es harina de almortas.
[0:01:24.00]-[0:01:28.00]  Y se hace con tocino, harina, agua y pimentón.
[0:01:28.00]-[0:01:31.00]  Y eso hacen concursos a las tres de la mañana.
[0:01:31.00]-[0:01:32.00]  ¿Dónde?
[0:01:32.00]-[0:01:34.00]  Concursos de migas. Lo ganan.
[0:01:34.00]-[0:01:37.00]  Que lo ganan. Que las mejores están.
[0:01:37.00]-[0:01:39.00]  O sea que se lleva el premio.
[0:01:39.00]-[0:01:41.00]  Y que suele ser el premio.
[0:01:41.00]-[0:01:44.00]  Pues una vez se dan un jamón, otra vez se dan dinero.
[0:01:44.00]-[0:01:47.00]  Según lo que acuerde la Junta.
[0:01:47.00]-[0:01:50.00]  Está muy bien el verano.
[0:01:50.00]-[0:01:53.00]  El invierno, como todos los pueblos, nos quedamos los fijos.
[0:01:53.00]-[0:01:56.00]  Pero el verano esto bulla y salta.
[0:01:56.00]-[0:02:00.00]  Luego termina la priscina municipal y le anima mucho esto.
[0:02:00.00]-[0:02:02.00]  ¿Cuántas habitantes son?
[0:02:02.00]-[0:02:05.00]  Muy pocos, unos 850 si llegamos.
[0:02:05.00]-[0:02:08.00]  O quizás en el invierno quedamos unos 700.
[0:02:08.00]-[0:02:14.00]  Vuelven en la Semana Santa, en la Nochevieja, en el verano.
[0:02:14.00]-[0:02:18.00]  Pero mientras tanto, bueno, los fines de semana que hay caza,
[0:02:18.00]-[0:02:20.00]  vienen muchas personas.
[0:02:20.00]-[0:02:22.00]  Solo nosotros estamos las que entre semana.
[0:02:22.00]-[0:02:24.00]  Los fines de semana ya había mucha gente.
[0:02:24.00]-[0:02:26.00]  Y aquí vamos pasando.
[0:02:26.00]-[0:02:30.00]  ¿Y aquí trabaja con ganado?
[0:02:30.00]-[0:02:32.00]  Sí, aquí hay ganados.
[0:02:32.00]-[0:02:34.00]  Antes había más, ahora cada vez hay menos.
[0:02:34.00]-[0:02:37.00]  Ahora han montado una fábrica de madera.
[0:02:37.00]-[0:02:40.00]  Antes sí que siempre había fábricas de madera.
[0:02:40.00]-[0:02:43.00]  Pero cuando la gente empezaba a emigrar,
[0:02:43.00]-[0:02:45.00]  se fueron cerrando.
[0:02:45.00]-[0:02:47.00]  Llegan a Virtuna hace dos años.
[0:02:47.00]-[0:02:49.00]  Está por ahí para Puenca.
[0:02:49.00]-[0:02:52.00]  Y hay pues bastantes trabajadores entre emigrantes,
[0:02:52.00]-[0:02:55.00]  de estos ahora palestinos o colombianos, o como se llame.
[0:02:55.00]-[0:02:57.00]  Hay tantos.
[0:02:57.00]-[0:02:59.00]  Entre socios del pueblo hay una fábrica.
[0:02:59.00]-[0:03:01.00]  Y así van viviendo.
[0:03:01.00]-[0:03:04.00]  En esas no hay más que eso.
[0:03:04.00]-[0:03:08.00]  ¿Y de cultivos que hay por aquí?
[0:03:08.00]-[0:03:11.00]  Pues poca cosa. Cada vez hay menos también.
[0:03:11.00]-[0:03:13.00]  Viña y poca.
[0:03:13.00]-[0:03:16.00]  Simbran cebada, trigo, girasoles.
[0:03:16.00]-[0:03:18.00]  Muchos, eso es lo que más simbran.
[0:03:18.00]-[0:03:20.00]  Porque es lo que mejor se recorreta.
[0:03:20.00]-[0:03:22.00]  Y eso es lo que mejor los morda.
[0:03:22.00]-[0:03:24.00]  Y eso es lo que hay poca cosa.
[0:03:24.00]-[0:03:26.00]  De cimbra y poca.
[0:03:26.00]-[0:03:28.00]  El campo hay poca gente.
[0:03:28.00]-[0:03:30.00]  Hay muchos jubilaos.
[0:03:30.00]-[0:03:32.00]  Lo que más jubilao la gente es jubilar.
[0:03:32.00]-[0:03:34.00]  Está mucha en Valencia.
[0:03:34.00]-[0:03:36.00]  Además hay en Valencia.
[0:03:36.00]-[0:03:38.00]  Y están trabajando.
[0:03:38.00]-[0:03:41.00]  Más que como está cerca, porque a esta hora y media del pueblo.
[0:03:41.00]-[0:03:43.00]  Viviendo mucho.
[0:03:45.00]-[0:03:47.00]  ¿Y ganados? ¿Qué tipo de ganado hay?
[0:03:47.00]-[0:03:50.00]  Pues hay ovejas y cabras.
[0:03:50.00]-[0:03:52.00]  Es lo que más hay.
[0:03:52.00]-[0:03:54.00]  Tampoco hay muchos ahora.
[0:03:54.00]-[0:03:56.00]  Mejor hay tres o cuatro ganados.
[0:03:56.00]-[0:03:58.00]  Que antes había un montón.
[0:03:58.00]-[0:04:00.00]  Y luego?
[0:04:00.00]-[0:04:03.00]  Y se hace queso.
[0:04:03.00]-[0:04:05.00]  Ah, no. Aquí no hacen queso.
[0:04:05.00]-[0:04:08.00]  Es la provincia de Cuenca, pero más para arriba.
[0:04:08.00]-[0:04:10.00]  Aquí queso no lo hacen.
[0:04:10.00]-[0:04:12.00]  ¿Aquí qué hacen?
[0:04:12.00]-[0:04:14.00]  Pues aquí se hace el morteruelo.
[0:04:14.00]-[0:04:16.00]  Se hace el ajo arriero.
[0:04:16.00]-[0:04:18.00]  El potaje que llaman.
[0:04:18.00]-[0:04:20.00]  Las migas que te digo.
[0:04:20.00]-[0:04:22.00]  Eso es lo más típico de aquí.
[0:04:22.00]-[0:04:25.00]  El ajo y los buñuelos se hacen en la Semana Santa.
[0:04:25.00]-[0:04:27.00]  Es típico en la Semana Santa.
[0:04:27.00]-[0:04:29.00]  Y el morteruelo pues todo el año.
[0:04:29.00]-[0:04:31.00]  ¿El morteruelo qué es?
[0:04:31.00]-[0:04:33.00]  El morteruelo es una comida que está muy buena.
[0:04:33.00]-[0:04:35.00]  A quien le gusta ver.
[0:04:35.00]-[0:04:39.00]  Lleva higado de cerdo, solomillos, conejo, pan rallado, especias.
[0:04:39.00]-[0:04:41.00]  Eso está muy bueno.
[0:04:41.00]-[0:04:43.00]  Eso casi siempre hay.
[0:04:43.00]-[0:04:45.00]  Yo soy la que vende.
[0:04:45.00]-[0:04:47.00]  Y en el mesón también.
[0:04:47.00]-[0:04:49.00]  El mesón también venden el morteruelo.
[0:04:49.00]-[0:04:51.00]  Ahí hay un mesón en paz.
[0:04:51.00]-[0:04:53.00]  Hay dos discotecas más que una está cerrada.
[0:04:53.00]-[0:04:55.00]  Y otra hora la tienen ahí.
[0:04:55.00]-[0:04:57.00]  Han hecho el polivalente y los jóvenes allá tienen ordenadoras.
[0:04:57.00]-[0:04:59.00]  Y siempre tienen ahí bastante.
[0:04:59.00]-[0:05:01.00]  Tienen su asociación de juveniles.
[0:05:01.00]-[0:05:03.00]  Su asociación de mujeres.
[0:05:03.00]-[0:05:05.00]  Su asociación de vecinos.
[0:05:05.00]-[0:05:07.00]  O sea que de su asociación estamos bien preparados.
[0:05:07.00]-[0:05:09.00]  Cada uno con la suya.
[0:05:09.00]-[0:05:11.00]  Y los jóvenes pues ahí van haciendo cosas.
[0:05:11.00]-[0:05:13.00]  Y ahí siempre tienen.
[0:05:13.00]-[0:05:15.00]  ¿Y nos podría decir alguna receta?
[0:05:15.00]-[0:05:17.00]  Para que sea típica de aquí.
[0:05:17.00]-[0:05:19.00]  Por la que te digo.
[0:05:19.00]-[0:05:21.00]  El morteruelo, las garchas, esas cosas.
[0:05:21.00]-[0:05:23.00]  ¿Y el ajo arriero?
[0:05:23.00]-[0:05:25.00]  El ajo arriero es con patata y bacalao.
[0:05:25.00]-[0:05:27.00]  Y pan rallado.
[0:05:27.00]-[0:05:29.00]  Pan rallado pero la miga.
[0:05:29.00]-[0:05:31.00]  Y huevos cocidos.
[0:05:31.00]-[0:05:33.00]  Eso se hace en un lebrillo grande.
[0:05:33.00]-[0:05:35.00]  Se pone la patata a cocer.
[0:05:35.00]-[0:05:37.00]  Luego la chafas bien con un instrumento que tenemos.
[0:05:37.00]-[0:05:39.00]  Una maza.
[0:05:39.00]-[0:05:41.00]  Y se le va dando.
[0:05:41.00]-[0:05:43.00]  Se le va dando. Se le va echando pan rallado.
[0:05:43.00]-[0:05:45.00]  La miga solo.
[0:05:45.00]-[0:05:47.00]  Se le va echando aceite.
[0:05:47.00]-[0:05:49.00]  Y el caldo de cocerlo.
[0:05:49.00]-[0:05:51.00]  Y eso se hace en una pasta.
[0:05:51.00]-[0:05:53.00]  Y cuando está bien trabajado, que quiera trabajarlo.
[0:05:53.00]-[0:05:55.00]  Luego se le parte huevos cocidos por arriba y bacalao.
[0:05:55.00]-[0:05:57.00]  Bacalao desmenuzado.
[0:05:57.00]-[0:05:59.00]  Eso se tiene que trabajar mucho para que esté bueno.
[0:06:01.00]-[0:06:03.00]  ¿Y los dulces típicos?
[0:06:03.00]-[0:06:05.00]  ¿Aparte de guiñones?
[0:06:05.00]-[0:06:07.00]  Se hacen aquí de todo.
[0:06:07.00]-[0:06:09.00]  En la panadería hacen bollos,
[0:06:09.00]-[0:06:11.00]  magdalenas, rolletes de segador,
[0:06:11.00]-[0:06:13.00]  que llaman.
[0:06:13.00]-[0:06:15.00]  Y muchas cosas, son letillas que llaman otras dulces.
[0:06:15.00]-[0:06:17.00]  Eso hay mucho surtido.
[0:06:17.00]-[0:06:19.00]  Solo hacen aquí en la panadería.
[0:06:19.00]-[0:06:21.00]  Hasta en la que vuelvo.
[0:06:21.00]-[0:06:23.00]  Que es el orino nuestro.
[0:06:23.00]-[0:06:25.00]  Hacen muchas cosas en la panadería.
[0:06:25.00]-[0:06:27.00]  El pan lo hacen también de leña.
[0:06:29.00]-[0:06:31.00]  Hay uno de leña y otro que hay ahí.
[0:06:31.00]-[0:06:33.00]  Ese es de esos que hacen a la congelada.
[0:06:33.00]-[0:06:35.00]  Que lo meten en el segundo está bueno.
[0:06:35.00]-[0:06:37.00]  ¿Y antes el pan se hacía en cada casa?
[0:06:37.00]-[0:06:39.00]  Antes se hacía en cada casa.
[0:06:39.00]-[0:06:41.00]  En los hornos.
[0:06:41.00]-[0:06:43.00]  Cada mujer cocía.
[0:06:43.00]-[0:06:45.00]  Había muchos hornos antes.
[0:06:45.00]-[0:06:47.00]  En cada calle había uno.
[0:06:47.00]-[0:06:49.00]  Y la gente lo hacía particular.
[0:06:49.00]-[0:06:51.00]  Claro, estaba el pan más bueno que ahora.
[0:06:51.00]-[0:06:53.00]  Pero es que también teníamos más hambre.
[0:06:53.00]-[0:06:55.00]  Cada uno se hacía su pan.
[0:06:55.00]-[0:06:57.00]  ¿Se hacía diario?
[0:06:57.00]-[0:06:59.00]  No, cada ocho días.
[0:06:59.00]-[0:07:01.00]  O sea, tenías pan ocho días duro.
[0:07:01.00]-[0:07:03.00]  El último ya no había que se lo comiera.
[0:07:03.00]-[0:07:05.00]  Por lo duro que estaba.
[0:07:05.00]-[0:07:07.00]  Pero se cocía cada uno en su casa.
[0:07:07.00]-[0:07:09.00]  Pero aguantaba más.
[0:07:09.00]-[0:07:11.00]  Sí, se aguantaba.
[0:07:11.00]-[0:07:13.00]  Porque no llevaba ninguna cosa química.
[0:07:13.00]-[0:07:15.00]  Era todo natural.
[0:07:15.00]-[0:07:17.00]  Pero eso ya se fue desapareciendo.
[0:07:17.00]-[0:07:19.00]  Igual que las matanzas.
[0:07:19.00]-[0:07:21.00]  Las matanzas había en todas las casas.
[0:07:21.00]-[0:07:23.00]  Pero con esto de los veterinarios.
[0:07:23.00]-[0:07:25.00]  Es la sanidad que se ha puesto tan...
[0:07:25.00]-[0:07:27.00]  No dejando hacer en las casas.
[0:07:27.00]-[0:07:29.00]  Ahora a ti se compraron en la carnicería.
[0:07:29.00]-[0:07:31.00]  Y tú haceslo en tu casa.
[0:07:31.00]-[0:07:33.00]  ¿Y cómo se hacían las matanzas?
[0:07:33.00]-[0:07:35.00]  Las matanzas, eso es para verlo.
[0:07:35.00]-[0:07:37.00]  Se les mata el cerdo en la mesa.
[0:07:37.00]-[0:07:39.00]  Se va escuartizando el matador en la mesa.
[0:07:39.00]-[0:07:41.00]  Luego ya tenías que irlo haciendo tu chorizo.
[0:07:41.00]-[0:07:43.00]  Morcillas.
[0:07:43.00]-[0:07:45.00]  Eso lleva mucho lío.
[0:07:45.00]-[0:07:47.00]  ¿Se contrataba un matarice?
[0:07:47.00]-[0:07:49.00]  Sí. Antes había un matarice por el pueblo.
[0:07:49.00]-[0:07:51.00]  Había dos, había más. Dos o cuatro había.
[0:07:51.00]-[0:07:53.00]  Y cada uno llamaba a quien quería.
[0:07:53.00]-[0:07:55.00]  Y así era las matanzas.
[0:07:55.00]-[0:07:57.00]  Pero te lo pasabas muy bien.
[0:07:57.00]-[0:07:59.00]  Como había tanto hambre, se juntaba toda la familia
[0:07:59.00]-[0:08:01.00]  y hacías las matanzas.
[0:08:01.00]-[0:08:03.00]  Y aquel día tu el día de matanzas, se pasaba poco bien a comer.
[0:08:03.00]-[0:08:05.00]  Luego había que regalar...
[0:08:05.00]-[0:08:07.00]  Siempre se lo daba alguien.
[0:08:07.00]-[0:08:09.00]  Cuando venía de ayudarte,
[0:08:09.00]-[0:08:11.00]  le daba una rista de morcillas,
[0:08:11.00]-[0:08:13.00]  un chorizo, un poco de tocino,
[0:08:13.00]-[0:08:15.00]  una pata, se les lo daba al que venía a ayudarte.
[0:08:15.00]-[0:08:17.00]  Eso era la matanza.
[0:08:17.00]-[0:08:19.00]  Y esas cosas que ahora son para verlas.
[0:08:19.00]-[0:08:21.00]  Esas cosas son para verlas.
[0:08:21.00]-[0:08:23.00]  ¿Y eso se sigue haciendo?
[0:08:23.00]-[0:08:25.00]  No. Ya en particular no mata nadie.
[0:08:25.00]-[0:08:27.00]  Bueno, no sé si matará a alguien,
[0:08:27.00]-[0:08:29.00]  pero si matan es poca gente.
[0:08:29.00]-[0:08:31.00]  La matanza ya es poca gente en la casa.
[0:08:31.00]-[0:08:33.00]  Lo único que si lo hacemos,
[0:08:33.00]-[0:08:35.00]  el embutido en la casa, lo tenemos que comprar en la carnecería.
[0:08:35.00]-[0:08:37.00]  Y entonces lo hacemos en las casas.
[0:08:37.00]-[0:08:39.00]  Pero tiene que pasar ya por sanidad y todo.
[0:08:39.00]-[0:08:41.00]  Y que no dejan...
[0:08:41.00]-[0:08:43.00]  No te dejan de hacerlo en la casa.
[0:08:43.00]-[0:08:45.00]  Y igual que ahora no se tienen animales en las casas,
[0:08:45.00]-[0:08:47.00]  que antes en todas las casas no había animales.
[0:08:47.00]-[0:08:49.00]  Tenías el cerdo, cornejos, gallinas,
[0:08:49.00]-[0:08:51.00]  el burro, las cabras...
[0:08:51.00]-[0:08:53.00]  Ahora no hayan hecho naves
[0:08:53.00]-[0:08:55.00]  y les tiene que estar fuera del pueblo.
[0:08:55.00]-[0:08:57.00]  Porque sanidad no te deja tampoco tener en la casa.
[0:08:57.00]-[0:08:59.00]  Tiene que ser ya...
[0:08:59.00]-[0:09:01.00]  cosa...
[0:09:01.00]-[0:09:03.00]  fuera del pueblo, para los olores.
[0:09:03.00]-[0:09:05.00]  Eso está muy vigilo.
[0:09:05.00]-[0:09:07.00]  Las veterinarios te dejan.
[0:09:07.00]-[0:09:09.00]  Ahora ya hay pocos burros también en el pueblo.
[0:09:09.00]-[0:09:11.00]  En las casas.
[0:09:11.00]-[0:09:13.00]  En la época si acaso hay dos o tres.
[0:09:13.00]-[0:09:15.00]  Eso se va perdiendo, una lastima.
[0:09:15.00]-[0:09:17.00]  Sí, sí.
[0:09:17.00]-[0:09:19.00]  Por lo tanto lo de antes está...
[0:09:19.00]-[0:09:21.00]  A mí me gustaba.
[0:09:21.00]-[0:09:23.00]  El burro que servía para ir a otros...
[0:09:23.00]-[0:09:25.00]  El burro para ir a otros pueblos,
[0:09:25.00]-[0:09:27.00]  para ir al campo a arar,
[0:09:27.00]-[0:09:29.00]  que hablaban con los burros.
[0:09:29.00]-[0:09:31.00]  El que tenía ya,
[0:09:31.00]-[0:09:33.00]  que era más rico tenía mulos, entonces...
[0:09:33.00]-[0:09:35.00]  La mayoría burros.
[0:09:35.00]-[0:09:37.00]  Y las mujeres también trabajaban en el campo.
[0:09:37.00]-[0:09:39.00]  Sí, antes trabajaban en el campo.
[0:09:39.00]-[0:09:41.00]  Sí, antes la mayoría de todas las mujeres, en el campo.
[0:09:41.00]-[0:09:43.00]  Todas las mujeres en el campo.
[0:09:43.00]-[0:09:45.00]  Era el único trabajo que había.
[0:09:45.00]-[0:09:47.00]  La casa, bueno, la casa por esta época
[0:09:47.00]-[0:09:49.00]  se había abandonado porque te iba al campo.
[0:09:49.00]-[0:09:51.00]  Pero todas las mujeres al campo ahora no vamos ninguna.
[0:09:51.00]-[0:09:53.00]  Ahora estamos en la casa.
[0:09:53.00]-[0:09:55.00]  Vamos a trabajar aquí, hace horas,
[0:09:55.00]-[0:09:57.00]  o a las casas,
[0:09:57.00]-[0:09:59.00]  pero el campo ya se ha acabado.
[0:09:59.00]-[0:10:01.00]  A alguna que le guste y vaya, sabes, a mí es que no me gusta.
[0:10:01.00]-[0:10:03.00]  Me gustaba ir a comer y para trabajar
[0:10:03.00]-[0:10:05.00]  en el campo. Que sin mosquito, que sin la hormiga,
[0:10:05.00]-[0:10:07.00]  a mí no me guste eso.
[0:10:07.00]-[0:10:09.00]  Yo como mejor en mi casa, más cómoda.
[0:10:09.00]-[0:10:11.00]  Claro.
[0:10:11.00]-[0:10:13.00]  Y ya eso ya se ha acabado.
[0:10:13.00]-[0:10:15.00]  ¿Y los niños ayudaban también antiguamente?
[0:10:15.00]-[0:10:17.00]  Bueno, antiguamente, antiguamente sí.
[0:10:17.00]-[0:10:19.00]  Luego ya en mis años, ya no, los críos iban al colegio.
[0:10:19.00]-[0:10:21.00]  Antiguamente no iba nadie al colegio.
[0:10:21.00]-[0:10:23.00]  Iban todo el mundo al campo.
[0:10:23.00]-[0:10:25.00]  Pero luego ya en mis años no.
[0:10:25.00]-[0:10:27.00]  Ya cuando yo era cría, ya todo el mundo iba a los chicos al colegio.
[0:10:27.00]-[0:10:29.00]  Los padres procuraban ya mandarlos al colegio.
[0:10:29.00]-[0:10:31.00]  ¿Y cómo era un colegio?
[0:10:31.00]-[0:10:33.00]  Uy, un colegio...
[0:10:33.00]-[0:10:39.00]  Pues había pocos maestros entonces.
[0:10:39.00]-[0:10:41.00]  Y con una enciclopedia íbamos todos a la escuela.
[0:10:41.00]-[0:10:43.00]  En la misma casa con la enciclopedia estábamos todos los críos aviados.
[0:10:43.00]-[0:10:45.00]  No es como ahora que cada uno lleva una mochila,
[0:10:45.00]-[0:10:47.00]  ni 40.000 libros, ni 40.000 cosas.
[0:10:47.00]-[0:10:49.00]  Antes con una enciclopedia íbamos todos a la clase.
[0:10:49.00]-[0:10:51.00]  Todos.
[0:10:51.00]-[0:10:53.00]  Y cuando tocaba leer alguno, pues leía el otro así,
[0:10:53.00]-[0:10:55.00]  porque en la misma escuela casi íbamos todos.
[0:10:55.00]-[0:10:57.00]  Había poca...
[0:10:57.00]-[0:10:59.00]  Como ahora, que si primero, que si segundo, que si tercero.
[0:10:59.00]-[0:11:01.00]  Antes era distinto.
[0:11:01.00]-[0:11:03.00]  Así nos pasó, que no aprendimos mucho.
[0:11:03.00]-[0:11:05.00]  ¿Y ahora mismo educación para niños y niñas?
[0:11:05.00]-[0:11:07.00]  Pues sí.
[0:11:07.00]-[0:11:09.00]  O sea, ya va poco.
[0:11:09.00]-[0:11:11.00]  Había una escuela de parbulete de los más pequeñetes,
[0:11:11.00]-[0:11:13.00]  y luego de los más mayores, y me parece que había tres.
[0:11:13.00]-[0:11:15.00]  Y otra de los de medianos.
[0:11:15.00]-[0:11:17.00]  Me parece que había tres escuelas aquí,
[0:11:17.00]-[0:11:19.00]  de mi tiempo.
[0:11:19.00]-[0:11:21.00]  Antes no se lo que había.
[0:11:21.00]-[0:11:23.00]  A lo mejor menos.
[0:11:27.00]-[0:11:29.00]  ¿Y ahora es más grande?
[0:11:29.00]-[0:11:31.00]  Ahora hay un colegio ya muy grande.
[0:11:31.00]-[0:11:33.00]  Hay unos colegios, ahora que también hay un día.
[0:11:33.00]-[0:11:35.00]  Lo que pasa es que con la ESO,
[0:11:35.00]-[0:11:37.00]  o la ESO, ¿cómo se llama eso?
[0:11:37.00]-[0:11:39.00]  Con la ESO, y sabemos que ahora los llevan otros por los institutos,
[0:11:39.00]-[0:11:41.00]  pero aquí hay un colegio muy hermoso.
[0:11:41.00]-[0:11:43.00]  Lo que pasa es que a partir de 12 años,
[0:11:43.00]-[0:11:45.00]  ya se los llevan a la carbonera,
[0:11:45.00]-[0:11:47.00]  es que hay un instituto.
[0:11:47.00]-[0:11:49.00]  Y ahí para hacer convivencias y cosas de esas,
[0:11:49.00]-[0:11:51.00]  se los llevan ahí.
[0:11:51.00]-[0:11:53.00]  Y aquí quedan, por de 12 años, por bajo.
[0:11:53.00]-[0:11:55.00]  Pero aún habrá noventa o cien colegios,
[0:11:55.00]-[0:11:57.00]  que se los llevan a la escuela.
[0:11:57.00]-[0:11:59.00]  Para aún habrá noventa o cien crios.
[0:11:59.00]-[0:12:01.00]  Para el colegio aquí.
[0:12:01.00]-[0:12:03.00]  No, noventa o cien hay,
[0:12:03.00]-[0:12:05.00]  por lo resto, por la escuela.
[0:12:07.00]-[0:12:09.00]  Unos de los pueblos que hay por aquí de alrededor,
[0:12:09.00]-[0:12:11.00]  que más crios tienen.
[0:12:11.00]-[0:12:13.00]  Y ya no tiene ninguno,
[0:12:13.00]-[0:12:15.00]  y por los problemas que hay por allá,
[0:12:15.00]-[0:12:17.00]  hay crios que ya no hay.
[0:12:17.00]-[0:12:19.00]  ¿Acargarán las escuelas?
[0:12:19.00]-[0:12:21.00]  Yo solo sé que cada día hay más maestros,
[0:12:21.00]-[0:12:23.00]  cada día hay más maestros.
[0:12:23.00]-[0:12:25.00]  Yo digo, ¿con los maestros qué?
[0:12:25.00]-[0:12:27.00]  Porque se los llevan de 12 años a Carbón,
[0:12:27.00]-[0:12:29.00]  esto fíjate.
[0:12:29.00]-[0:12:31.00]  Con las escuelas que aquí eran divinas,
[0:12:31.00]-[0:12:33.00]  tienen gimnasio, tiene todo.
[0:12:33.00]-[0:12:35.00]  Es una escuela preciosa.
[0:12:35.00]-[0:12:37.00]  Todos los días los crios en autobús
[0:12:37.00]-[0:12:39.00]  están por las carreteras.
[0:12:39.00]-[0:12:41.00]  Que aprecian luego los accidentes y las cosas.
[0:12:41.00]-[0:12:43.00]  Habiendo aquí medios.
[0:12:43.00]-[0:12:45.00]  ¿Y los maestros qué hay?
[0:12:45.00]-[0:12:47.00]  No lo entiendo.
[0:12:47.00]-[0:12:49.00]  Por eso, ¿por qué es?
[0:12:49.00]-[0:12:51.00]  ¿Y el médico antes?
[0:12:51.00]-[0:12:53.00]  ¿Había un médico aquí?
[0:12:53.00]-[0:12:55.00]  Sí, había un médico aquí.
[0:12:55.00]-[0:12:57.00]  Siempre hemos tenido un médico.
[0:12:57.00]-[0:12:59.00]  Ahora ya se ha modernizado todo,
[0:12:59.00]-[0:13:01.00]  como en todos los sitios.
[0:13:01.00]-[0:13:03.00]  Hay centro médico,
[0:13:03.00]-[0:13:05.00]  hay las 24 horas del día médico,
[0:13:05.00]-[0:13:07.00]  y cada día tienes tu servicio.
[0:13:07.00]-[0:13:09.00]  ¿Y a veces era ir a casa del médico?
[0:13:09.00]-[0:13:11.00]  Antes tenías cerca al médico.
[0:13:11.00]-[0:13:13.00]  O el médico si te daba muy mala
[0:13:13.00]-[0:13:15.00]  iba a visitarte.
[0:13:15.00]-[0:13:17.00]  Pero solo un médico.
[0:13:17.00]-[0:13:19.00]  Ahora está muy bien servido de médicos.
[0:13:19.00]-[0:13:21.00]  Hay un servicio muy bueno.
[0:13:21.00]-[0:13:23.00]  Las 24 horas, de todo.
[0:13:23.00]-[0:13:25.00]  Hay que hacer análisis aquí.
[0:13:25.00]-[0:13:27.00]  Ahora quieren hacer el sintón ese.
[0:13:27.00]-[0:13:29.00]  ¿Sabes lo que es?
[0:13:29.00]-[0:13:31.00]  Eso que está en el corazón y que saca la sangre.
[0:13:31.00]-[0:13:33.00]  Ahora lo quieren hacer aquí porque ya hay
[0:13:33.00]-[0:13:35.00]  gente y tipo de personas que no sabe el problema.
[0:13:35.00]-[0:13:37.00]  Entonces lo quieren hacer aquí.
[0:13:37.00]-[0:13:39.00]  Para que tengamos mejor servicio.
[0:13:39.00]-[0:13:41.00]  Porque hay que ir a Cuenca.
[0:13:41.00]-[0:13:43.00]  Hay que desplazar para ir a Cuenca a hacerte el sintón.
[0:13:43.00]-[0:13:45.00]  Y hay mucha gente ya.
[0:13:45.00]-[0:13:47.00]  Ahora que el servicio de médicos está muy bueno.
[0:13:49.00]-[0:13:51.00]  Aquí de pueblo, aunque es pequeño, tenemos servicio de todo.
[0:13:51.00]-[0:13:53.00]  Carnicería, de supermercados,
[0:13:53.00]-[0:13:55.00]  estamos bien.
[0:13:55.00]-[0:13:57.00]  Bares, de todo, está bien.
[0:13:57.00]-[0:13:59.00]  ¿Y se va agrandando el pueblo?
[0:13:59.00]-[0:14:01.00]  Sí, cada vez más.
[0:14:01.00]-[0:14:03.00]  Porque la gente viene mucho a vacaciones.
[0:14:03.00]-[0:14:05.00]  ¿En el centro de Cuenca?
[0:14:05.00]-[0:14:07.00]  De Valencia, de Madrid, de Barcelona
[0:14:07.00]-[0:14:09.00]  viene mucha gente también.
[0:14:09.00]-[0:14:11.00]  A Verano está de Viva.
[0:14:11.00]-[0:14:13.00]  Vienen aquí a... son de aquí.
[0:14:13.00]-[0:14:15.00]  Viene mucha gente.
[0:14:15.00]-[0:14:17.00]  Y el pueblo cada vez va creciendo más.
[0:14:17.00]-[0:14:19.00]  Lo que pasa es que crece, pues claro, en el buen tiempo.
