[0:00:00.00]-[0:00:02.00]  de aquí, ¿no?
[0:02:11.76]-[0:02:15.76]  Son los chicharrones y los chicharrones los se aprovecha para hacer los bollos de chicharrones
[0:02:15.76]-[0:02:17.76]  ¿Eso qué es? No lo había oído nunca
[0:02:17.76]-[0:02:22.76]  Pues los bollos de chicharrones es un dulce que se hace con chicharrones
[0:02:22.76]-[0:02:27.76]  con los chicharrones del cerdo y con la masa del pan
[0:02:27.76]-[0:02:34.76]  y se le echa un poquito de anís en grano y se le echa canela y eso
[0:02:34.76]-[0:02:38.76]  y son bollos de chicharrones porque son los chicharrones del cerdo
[0:02:38.76]-[0:02:43.76]  que los sacan de deshacer la manteca, luego la manteca las deshacen
[0:02:43.76]-[0:02:45.76]  y de la manteca sacan las perronillas
[0:02:45.76]-[0:02:47.76]  No sé qué es
[0:02:47.76]-[0:02:51.76]  Esos son unos dulces de aquí típicos de Extremadura
[0:02:51.76]-[0:02:55.76]  ¿No has escuchado nunca de cuando tienes el pie aplastado que te hace una perronilla?
[0:02:55.76]-[0:02:56.76]  No
[0:02:56.76]-[0:03:01.76]  Esos son los dulces típicos de aquí de Extremadura, la perronilla
[0:03:01.76]-[0:03:06.76]  y los bollos de chicharrones y luego del hígado del cerdo se pica
[0:03:06.76]-[0:03:10.76]  ¿Y se hace cachuela? ¿Sabes tan bien lo que es la cachuela?
[0:03:10.76]-[0:03:11.76]  No, no lo sé
[0:03:11.76]-[0:03:15.76]  Bueno, pues la cachuela es como si fuese el foie gras
[0:03:15.76]-[0:03:17.76]  La cachuela es el hígado del...
[0:03:17.76]-[0:03:19.76]  ¿El caldillo? ¿Le dicen el caldillo?
[0:03:19.76]-[0:03:22.76]  Aquí es cachuela, en Madrid se llama el caldillo
[0:03:22.76]-[0:03:28.76]  Aquí es cachuela, la cachuela se rehoga con ajo y una guinda colorada
[0:03:28.76]-[0:03:29.76]  Es como rojo
[0:03:29.76]-[0:03:34.76]  Sí, y de que ya está bien rehogado con la que está rehechada
[0:03:34.76]-[0:03:41.76]  Se le echa la manteca y la pimienta colorada y se rehoga bien
[0:03:41.76]-[0:03:47.76]  y ya de que antes, las antiguas, se aban un poquito así en la lumbre y veían la grasa
[0:03:47.76]-[0:03:57.76]  El mondongo ese se hace con la sangre del cerdo, con ajo, con cebolla y perejil
[0:03:57.76]-[0:04:00.76]  y especies, la que le gusta, la que no, no
[0:04:00.76]-[0:04:04.76]  y se llena con el embudo, un embudo, se le entra la tripa al embudo
[0:04:04.76]-[0:04:07.76]  y con la mano, pim, pim, pim y se cuece
[0:04:07.76]-[0:04:12.76]  y una vez que ya está cocida, se saca una tripa y se pica
[0:04:12.76]-[0:04:18.76]  Si le ves que le sale ya la grasita, pues entonces luego se cuelga al sereno
[0:04:18.76]-[0:04:24.76]  y se deja una noche al sereno y luego antes, como no había frigorífico, pues se conservaba
[0:04:24.76]-[0:04:26.76]  se hacía duro y eso
[0:04:26.76]-[0:04:32.76]  Hoy ya no, al que le gusta duro lo deja y al que no, pues luego entra la mitad en las cámaras
[0:04:32.76]-[0:04:36.76]  y esas son las matanzas y las migas por la mañana para desayunar
[0:04:36.76]-[0:04:38.76]  ¿Que se comía habitualmente?
[0:04:38.76]-[0:04:44.76]  Por la mañana habitualmente se comían lo primero las migas con pectorejo
[0:04:44.76]-[0:04:47.76]  Hoy ya está más moderna la gente, hoy ya ponen salina
[0:04:47.76]-[0:04:51.76]  pero antes era lo que eran las migas con ajo frito y guinda frita
[0:04:51.76]-[0:04:56.76]  Freían los ajos y las guindas y una vez que los ajos y las guindas estaban fritas echaban las migas
[0:04:56.76]-[0:05:01.76]  Hay a quien le gustan las migas canas, que son migas blancas con una copita de anís
[0:05:01.76]-[0:05:07.76]  y hay a quien a las migas le echaba un poquito de pimienta colorada para hacerla
[0:05:07.76]-[0:05:11.76]  Yo se tomaba para desayunar cuando ya se mataba el guarro
[0:05:11.76]-[0:05:16.76]  para desayunar hay quien la tomaba con una copita de anís y eso
[0:05:16.76]-[0:05:23.76]  y luego a mediodía lo típico un buen cocido, cole y eso
[0:05:23.76]-[0:05:30.76]  y antiguamente por la noche se comía patata, guisa con montongo y con hueso
[0:05:30.76]-[0:05:33.76]  Antiguamente, hoy ya las matanzas están muy modernas
[0:05:33.76]-[0:05:42.76]  Ya si se pone garbanzos o incluso haces arroz y por la noche pues bueno se hace el pectorejo
[0:05:42.76]-[0:05:48.76]  ya de que ya está el guarro reconocido y de todo, pues se hace el pectorejo
[0:05:48.76]-[0:05:53.76]  Asas pectorejo, asas un poquito de carne y entonces haces como un jilimoje que es
[0:05:53.76]-[0:06:00.76]  cebolla, tomate y pimientos verdes, aceite, sal y vinagre y el pectorejo
[0:06:00.76]-[0:06:04.76]  Y al día siguiente, hoy ya se llenan las matanzas en el día
[0:06:04.76]-[0:06:06.76]  porque se hacen a peso
[0:06:06.76]-[0:06:12.76]  Pesas la carne y a arreglar la carne pues le echas la pimienta y la sal
[0:06:12.76]-[0:06:20.76]  Eso ahora, antiguamente no, antiguamente se picaba la carne y en las artesas se amasaba bien amasaita
[0:06:20.76]-[0:06:24.76]  Y luego al día siguiente hacías las pruebas
[0:06:24.76]-[0:06:28.76]  Las pruebas es que en una sartén sacabas un poquito de chorizo blanco
[0:06:28.76]-[0:06:31.76]  y en otra un poquito de chorizo colorado y lo probabas
[0:06:31.76]-[0:06:39.76]  lo ponías en la sartén y en la lumbre lo rehogabas bien rehogaito por si estaba bien de sal o no
[0:06:39.76]-[0:06:44.76]  y entonces algunas veces había que echarle un poquito de sal y un poquito de ajo
[0:06:44.76]-[0:06:48.76]  y se amasaba otra vez, ya
[0:06:48.76]-[0:06:54.76]  y luego se volvía a hacer otra poquita de prueba y ese era el chorizo al día siguiente
[0:06:54.76]-[0:07:00.76]  Lo colgabas y el lomo pues también al día siguiente se le quitaba toda la sal
[0:07:00.76]-[0:07:09.76]  y se le fría el ajo, bueno un picadito picadito de la matanza
[0:07:09.76]-[0:07:13.76]  de las maquinitas de la matanza, picas el ajo, no
[0:07:13.76]-[0:07:19.76]  y entonces pones un perro grande con ajo, con mucho ajito frito, no
[0:07:19.76]-[0:07:24.76]  y el lomo lo limpias bien, le quitas la grasa y le quedas lo que es el lomo
[0:07:24.76]-[0:07:29.76]  y lo pasas bien por ese aceite calentita, lo pasas bien el lomo
[0:07:29.76]-[0:07:35.76]  y luego se entra en tripa, antes era la tripa del guarro
[0:07:35.76]-[0:07:39.76]  hoy ya los guarros como están distintos hay tripas que no los pueden
[0:07:39.76]-[0:07:42.76]  entonces ya venden las tripas aparentes de los guarros
[0:07:42.76]-[0:07:46.76]  entonces lo entras en esa tripa, le haces un nudo
[0:07:46.76]-[0:07:53.76]  y luego ya lo estiras bien y lo vas atando y le vas haciendo varios atados
[0:07:53.76]-[0:07:59.76]  y en todos los nudos y en los ataditos esos le echas pimienta colorada
[0:07:59.76]-[0:08:07.76]  para que la mosca no lo cague, la mosca y la pimienta los conservas
[0:08:07.76]-[0:08:13.76]  se mudan, se tienen unos días puestos así y otros días de la otra manera cambiándolo
[0:08:13.76]-[0:08:19.76]  para que el aceite del guiso se vaya siempre en el mismo sitio
[0:08:19.76]-[0:08:27.76]  y luego de que llega ya el mes de febrero, pues antiguamente se cogían las chacinas
[0:08:27.76]-[0:08:31.76]  y se limpiaban, las limpiaban bien con un trapo seco
[0:08:31.76]-[0:08:41.76]  luego ya con aceite, lo limpiabas bien con aceite y se entraba pues en lo que se dice en una tinajita
[0:08:41.76]-[0:08:46.76]  y las conservabas en las tinajas y siempre estaba el chorizo bueno
[0:08:46.76]-[0:08:51.76]  hoy ya no, hoy ya las conservan al vacío y a la cámara
[0:08:51.76]-[0:08:56.76]  pero no está igual, lo hacemos por comodidad porque no tienes trabajo
[0:08:56.76]-[0:09:01.76]  así, así coge y de que ya lo ves un poquito al vacío
[0:09:01.76]-[0:09:05.76]  pero no está el chorizo igual al vacío que está en la cámara
[0:09:05.76]-[0:09:10.76]  en la cámara, en el vacío está mejor que no en la cámara
[0:09:10.76]-[0:09:16.76]  esas eran las matanzas de antes, luego bueno han cambiado mucho porque las fiestas
[0:09:16.76]-[0:09:23.76]  las fiestas son distintas a la que era antes, ha cambiado pues todo
[0:09:23.76]-[0:09:29.76]  y si son las escuelas, bueno te quiero decir, las escuelas antes, los niños por un lado y las...
[0:09:29.76]-[0:09:32.76]  permiso voy a perder un momento que voy a ver si con propiedad estaba
[0:09:32.76]-[0:09:37.76]  vale, antiguamente cuando yo iba a la escuela
[0:09:37.76]-[0:09:41.76]  pues estábamos por ejemplo desde que entrábamos a los 6 años
[0:09:41.76]-[0:09:45.76]  hasta los 7 estábamos un par de años con una profesora
[0:09:45.76]-[0:09:49.76]  que nos enseñaba a leer y escribir que entrábamos a los 6 años
[0:09:49.76]-[0:09:53.76]  porque no había párulos, antes íbamos a lo que era la escuela de los cagones
[0:09:53.76]-[0:09:57.76]  que por cierto en mi casa lo ha sido, estas dos habitaciones
[0:09:57.76]-[0:10:03.76]  los niños chicos, pues usted dice bueno como no había guardería ni había jardilín ni nada
[0:10:03.76]-[0:10:07.76]  pues había personas que se dedicaban a recoger a los niños
[0:10:07.76]-[0:10:12.76]  traían la silla y bueno pues nada que los tenían
[0:10:12.76]-[0:10:18.76]  la persona que quería ya lo enseñaba a conocer las letras y a todo eso
[0:10:18.76]-[0:10:22.76]  y entonces luego ya pasábamos a la escuela
[0:10:22.76]-[0:10:28.76]  y estábamos pues el primer curso, estábamos dos años
[0:10:28.76]-[0:10:32.76]  estábamos con una, hasta que ya aprendíamos, estábamos con una profesora
[0:10:32.76]-[0:10:37.76]  y luego el segundo curso ya con otra hasta los 12 o 13 años
[0:10:37.76]-[0:10:41.76]  hasta ya antiguamente cuando estudiábamos carrera
[0:10:41.76]-[0:10:45.76]  pues de que sabíamos leer y escribir y eso pues para casa
[0:10:45.76]-[0:10:49.76]  con lo que sabíamos y el que prometía y tenía posibilidades
[0:10:49.76]-[0:10:54.76]  pues a estudiar, pero antes estábamos los niños había cuatro clases
[0:10:54.76]-[0:10:59.76]  dos de niñas y dos de niños, luego vino una época que bueno
[0:10:59.76]-[0:11:03.76]  que nos mandaban leche y queso a la escuela
[0:11:03.76]-[0:11:12.76]  y nos daban el vasito de la leche y un vasito y otra vez pues nos daban el queso
[0:11:12.76]-[0:11:18.76]  por la tarde y era distinto, distinto, había más respeto, más educación
[0:11:18.76]-[0:11:26.76]  y más todo, más todo, estábamos de acuerdo que ahora muy bien que los niños
[0:11:26.76]-[0:11:32.76]  pero yo digo que bueno en sitios así ya mayores que estén juntos
[0:11:32.76]-[0:11:36.76]  pero con los niños y las niñas ahora es una poca duda
[0:11:36.76]-[0:11:40.76]  nosotros desde luego, antes mi hermano iba a una clase y yo iba a otra
[0:11:40.76]-[0:11:45.76]  mi hermano iba a la clase de los niños y yo iba a la clase de las niñas
[0:11:45.76]-[0:11:52.76]  y nada más que había cuatro maestros lo que había y ahora hay aquí un borrón de ellos
[0:11:52.76]-[0:11:56.76]  ahora hay muchos niños que han hecho un instituto, antes no
[0:11:56.76]-[0:12:00.76]  antes el que tenía posibilidades pues se lo llevaban a estudiar fuera
[0:12:00.76]-[0:12:07.76]  cuando empezaban allá el bachiller, el que no pues se quedaba ya fuera de clase
[0:12:07.76]-[0:12:10.76]  ¿Hasta qué edad se estudiaba?
[0:12:10.76]-[0:12:15.76]  Pues veníamos estudiando hasta los 12 años, 13 es la edad que se estudiaba
[0:12:15.76]-[0:12:21.76]  prácticamente antes porque había muchas personas que de que tenían 12 años ya
[0:12:21.76]-[0:12:25.76]  y entonces había niñera, ¿sabes lo que es una niñera?
[0:12:25.76]-[0:12:26.76]  Sí
[0:12:26.76]-[0:12:31.76]  Bueno, por las tardes se dedicaban a colocarse porque no había posibilidades
[0:12:31.76]-[0:12:35.76]  entonces iban por la mañana a la escuela y a lo mejor por la tarde no iban
[0:12:35.76]-[0:12:42.76]  porque iban a cuidar niños para sacarlos y entonces ya digo
[0:12:42.76]-[0:12:47.76]  y luego aquí en la época del hambre pues había una señora
[0:12:47.76]-[0:12:53.76]  que se dedicaba a darle de comer todos los días a 15 o 20 niños o más
[0:12:53.76]-[0:13:00.76]  todos los días, si en una casa había 4 niños pues esa casa le daba de comer todos los días a uno
[0:13:00.76]-[0:13:04.76]  y le estuvo dando de comer a muchísimos niños, sí
[0:13:04.76]-[0:13:09.76]  y luego pues eso, antigüedades del pueblo, la iglesia es muy antigua
[0:13:09.76]-[0:13:13.76]  ¿De qué año es? La hemos visto pero a lo lejos no hemos...
[0:13:13.76]-[0:13:16.76]  No me acuerdo de qué año
[0:13:16.76]-[0:13:20.76]  Vamos del siglo más o menos, da igual, si no ahora nos vamos a pasar
[0:13:20.76]-[0:13:23.76]  Sí, no se iba a enseñar porque ha pasado ahora la fiesta
[0:13:23.76]-[0:13:27.76]  y bueno la fiesta de antes pues distinta, no había las cosas que había antes
[0:13:27.76]-[0:13:33.76]  antes eran las 4 cosas que había porque era ahí en la plaza del ayuntamiento y la plaza de la iglesia
[0:13:33.76]-[0:13:37.76]  y la calle esta, luego ya otra vez la pasaron a...
[0:13:37.76]-[0:13:40.76]  porque esta fiesta por lo visto se celebraba el día 15 de agosto
[0:13:40.76]-[0:13:48.76]  se celebraba, pero claro era cuando estaban las eras porque no como ahora que vienen las máquinas
[0:13:48.76]-[0:13:54.76]  y vienen y enseguida te recogen las siembras
[0:13:54.76]-[0:14:00.76]  pero antes no, antes había aquí una era y otra donde está el cementerio
[0:14:00.76]-[0:14:06.76]  que han hecho ahora las escuelas esas, pues era la era, entonces recogías el trigo, recogías la cebá
[0:14:06.76]-[0:14:13.76]  recogías la asaba, los jarmanzos y todo eso lo llevaban a la seda
[0:14:13.76]-[0:14:20.76]  y luego con un trillo y una humbla pues trillaban todo
[0:14:20.76]-[0:14:27.76]  y luego pues claro hacían para arriba con las palas y con el aire pues se iban las basuras del...
[0:14:27.76]-[0:14:30.76]  ahora no, ahora vienen las cosechadoras y limpias
[0:14:30.76]-[0:14:39.76]  y entonces por eso por lo visto prohibieron la fiesta del día 15 de agosto
[0:14:39.76]-[0:14:44.76]  porque antes hacían los fuegos artificiales y salían las cenaras ardiendo
[0:14:44.76]-[0:14:54.76]  y la quitaron y entonces la ponen siempre el domingo de resurrección es la víspera
[0:14:54.76]-[0:15:02.76]  es la víspera de la fiesta y el lunes de resurrección es la fiesta de aquí del pueblo
[0:15:02.76]-[0:15:08.76]  pero por lo visto la mudaron por eso porque venían... había fuego
[0:15:08.76]-[0:15:13.76]  salían ardiendo las ceras, hoy ya no pero ya es muy difícil que la cambien
[0:15:13.76]-[0:15:18.76]  la tenían que cambiar en un sentido porque nos coge un tiempo malo
[0:15:18.76]-[0:15:24.76]  porque es la semana santa y es que aquí viene a continuación se junta todo
[0:15:24.76]-[0:15:31.76]  empieza la fiesta prácticamente jueves santo, viernes santo, el sábado, el domingo, el lunes y el martes
[0:15:31.76]-[0:15:38.76]  porque es jueves santo y viernes santo casi en la fiesta
[0:15:38.76]-[0:15:43.76]  ¿Y cómo se celebraban las fiestas? ¿Cómo que se hacía?
[0:15:43.76]-[0:15:51.76]  Antiguamente se hacía yo, cuando me moceaba pues íbamos a la procesión
[0:15:51.76]-[0:15:55.76]  y de la procesión nos íbamos al matinee
[0:15:55.76]-[0:15:56.76]  ¿Al?
[0:15:56.76]-[0:15:57.76]  Al matinee
[0:15:57.76]-[0:15:58.76]  Ah, bueno
[0:15:58.76]-[0:16:03.76]  Y estábamos hasta las tantas por ahí y luego pues bueno nos íbamos a casa
[0:16:03.76]-[0:16:07.76]  nos lavábamos, nos arreglábamos, nos cambiábamos y nos íbamos otra vez al baile
[0:16:07.76]-[0:16:16.76]  nos montábamos en los cacharros y había muchas casetas de tiro de escopetas de balines
[0:16:16.76]-[0:16:24.76]  y había distinto ahora, ahora con los bares que antes venía muchas casetas a la feria
[0:16:24.76]-[0:16:29.76]  ahora ya con los bares pues no vienen casetas, antes mucho, un año estuvo viniendo aquí
[0:16:29.76]-[0:16:32.76]  había muchas casetas de pinchitos y de bebida
[0:16:32.76]-[0:16:37.76]  y todas les dábamos, por cierto, a las vecinas les dábamos el agua
[0:16:37.76]-[0:16:44.76]  porque claro aquí en la calle pues no, ahora por allí arriba pues sí le enchufan agua
[0:16:44.76]-[0:16:48.76]  pero antes aquí no podían ponerle agua
[0:16:48.76]-[0:16:56.76]  entonces las vecinas pues todas les dábamos agua para que pudieran ellos asearse y curiosear todo
[0:16:56.76]-[0:16:59.76]  y era por aquí la fiesta
[0:16:59.76]-[0:17:00.76]  Sí
[0:17:00.76]-[0:17:03.76]  Y al baile iban chicos y chicas
[0:17:03.76]-[0:17:08.76]  Claro, sacábamos un abono para toda la fiesta
[0:17:08.76]-[0:17:14.76]  y luego pues con él, hay quien lo sacaba, va yo solo, hay quien lo sacaba con pareja
[0:17:14.76]-[0:17:18.76]  mi padre se lo sacaba a mi hermano pero no podía entrar nadie
[0:17:18.76]-[0:17:22.76]  y mi hermano tenía que entrar a mí porque a mí no se podía
[0:17:22.76]-[0:17:25.76]  y entonces para entrar a nadie pues me entraba a mí
[0:17:25.76]-[0:17:32.76]  y sacaba el abono, había cine también, había cine
[0:17:32.76]-[0:17:36.76]  hubo aquí un cine aquí en mi calle que fue muy antiguo
[0:17:36.76]-[0:17:41.76]  y que era el único cine de toda la vida aquí en mi calle
[0:17:41.76]-[0:17:45.76]  y luego ya hicieron otro y va allí va la estación
[0:17:45.76]-[0:17:53.76]  en un solar grande hicieron una pantalla y bueno pues hicieron un cine de verano
[0:17:53.76]-[0:17:57.76]  allí y a pasear pues nos íbamos a pasear a la pista del canal
[0:17:57.76]-[0:18:01.76]  porque las parejas y eso porque no había otro sitio y no íbamos a la pista del canal
[0:18:01.76]-[0:18:06.76]  pues nos íbamos más a la estación a ver de pasar los trenes
[0:18:06.76]-[0:18:10.76]  son los trenes de los militares que gustaban tenerse en cosas
[0:18:10.76]-[0:18:12.76]  y esas cosas así sí
[0:18:12.76]-[0:18:16.76]  ¿Y cómo se echaba uno novio? porque es algo que ha cambiado muchísimo
[0:18:16.76]-[0:18:19.76]  desde entonces hasta ahora
[0:18:19.76]-[0:18:23.76]  pues nada, ibas al baile y bueno pues bailabas con todo
[0:18:23.76]-[0:18:27.76]  pero ya llegaba un momento que a lo mejor tú le gustabas a ese chico
[0:18:27.76]-[0:18:32.76]  y ese chico te gustaba a ti y bueno pues preferías bailar con él
[0:18:32.76]-[0:18:37.76]  a lo mejor estabas bailando con un amigo pero desde que lo veías de entrada
[0:18:37.76]-[0:18:42.76]  ya decías ya no bailo más y te sentabas al que llegara él y te sacara a bailar
[0:18:42.76]-[0:18:47.76]  y si le veías buen semblante seguías un baile y otro y otro y otro
[0:18:47.76]-[0:18:53.76]  y antiguamente iban las madres a por las hijas al baile
[0:18:53.76]-[0:18:58.76]  antiguamente y le pedían permiso a las madres
[0:18:58.76]-[0:19:01.76]  ¿Puedes bailar una piecita? eso yo no lo he conocido ¿eh?
[0:19:01.76]-[0:19:04.76]  ¿Puedes bailar? eso le debería decirle a los hombres, eso no
[0:19:04.76]-[0:19:08.76]  pero sí yo he conocido de las madres sentarse alrededor del baile
[0:19:08.76]-[0:19:12.76]  y decir ¡shhh! que son las doce para casa
[0:19:12.76]-[0:19:18.76]  y nada pues nada bailabas y bailabas y bailabas con él un día y otro y otro
[0:19:18.76]-[0:19:24.76]  y luego bueno medio se te declaraba que si tenías algún compromiso que si
[0:19:24.76]-[0:19:27.76]  y ya pues seguías ¿no? pero no entraban en casa ¿eh?
[0:19:27.76]-[0:19:34.76]  No. Venían a la puerta por ti y primero un poquito más largo a la esquina
[0:19:34.76]-[0:19:39.76]  pues ya venía un poquito hasta que luego ya venían a pedir la entrada
[0:19:39.76]-[0:19:42.76]  ¿a pedir la entrada? ¿En la casa?
[0:19:42.76]-[0:19:47.76]  A la casa venían los padres, a lo mejor con una hermana, un tío o lo que sea
[0:19:47.76]-[0:19:51.76]  venían a pedir la entrada y ya está y entraban en casa así
[0:19:51.76]-[0:19:55.76]  como cuando te ibas a casa venían a pedir la mano
[0:19:55.76]-[0:20:00.76]  también venían a pedir la mano ya para ajustar la boda y las cosas esas
[0:20:00.76]-[0:20:04.76]  y antes las comidas se hacían en casa
[0:20:04.76]-[0:20:10.76]  ¿sabes? te hacías las comidas en casa y te ibas al salón, al salón de Mercedes Parejo
[0:20:10.76]-[0:20:17.76]  ahí te ibas y ahí bueno pues nada te encargabas de los tableros que ellas lo tenían
[0:20:17.76]-[0:20:23.76]  tableros con burrillas y cosas de esas y buscabas a personas
[0:20:23.76]-[0:20:29.76]  y te hacían la comida y había aquí una señora que se llamaba Josefa
[0:20:29.76]-[0:20:34.76]  que era muy buena cocinera y bueno iba a hacer las comidas
[0:20:34.76]-[0:20:37.76]  y nada así
[0:20:37.76]-[0:20:40.76]  antes iban a por los novios
[0:20:40.76]-[0:20:45.76]  o sea antes por ejemplo pues la familia de la novia aquí
[0:20:45.76]-[0:20:48.76]  y la familia del novio en su casa
[0:20:48.76]-[0:20:53.76]  cada uno iba y entonces llegaba la familia de la novia y iban a casa del novio
[0:20:53.76]-[0:20:57.76]  iban a casa del novio a por el novio
[0:20:57.76]-[0:21:01.76]  y luego ya venían aquí y salíamos
[0:21:01.76]-[0:21:07.76]  el novio salía, venía con su madrina, su madre, su hermano, quien sea
[0:21:07.76]-[0:21:11.76]  y nosotros la novia pues salía con el padrino
[0:21:11.76]-[0:21:17.76]  íbamos a la iglesia y después de la iglesia pues nos íbamos a la boda
[0:21:17.76]-[0:21:22.76]  a la boda, al baile y luego ya si tenías dinero pues te ibas por ahí
[0:21:22.76]-[0:21:26.76]  y si no tenías dinero pues te quedabas en tu casa y ya está
[0:21:26.76]-[0:21:28.76]  ¿no estás afuera de Luna de Amien?
[0:21:28.76]-[0:21:32.76]  si me fui un poquito a día, me fui una semana a Huelva
[0:21:32.76]-[0:21:38.76]  porque yo tenía el cargo a mi... porque yo me quedé por 11 años sin madre
[0:21:38.76]-[0:21:42.76]  se dio una tía a cargo nuestro con mi padre pero mi tía murió
[0:21:42.76]-[0:21:44.76]  entonces yo me quedé al cargo de mi padre y de mi hermano
[0:21:44.76]-[0:21:49.76]  entonces nada más que pude salir una semana porque tenía a mi padre y a mi hermano aquí
[0:21:49.76]-[0:21:51.76]  ¿y a dónde en Huelva?
[0:21:51.76]-[0:21:53.76]  a un mismo Huelva
[0:21:53.76]-[0:21:54.76]  a la ciudad
[0:21:54.76]-[0:21:58.76]  a una tía mía, nos fuimos allí y ya está
[0:21:58.76]-[0:21:59.76]  yo tengo familia, ¿no?
[0:21:59.76]-[0:22:02.76]  si, yo tengo una prima hermana, así en Huelva
[0:22:02.76]-[0:22:07.76]  ahora se ha mudado por lo visto a un pueblecito cerca de Huelva o por ahí
[0:22:07.76]-[0:22:11.76]  pero si, yo tenía allí a mis tíos porque era guardia aquí
[0:22:11.76]-[0:22:15.76]  y así, y luego a tener los niños
[0:22:15.76]-[0:22:19.76]  al hospital de Mérida y al que no pues aquí en casa
[0:22:19.76]-[0:22:20.76]  en casa
[0:22:20.76]-[0:22:23.76]  yo he tenido uno aquí y otro en Mérida pero en casa
[0:22:23.76]-[0:22:25.76]  aquí, aquí en mi casa
[0:22:25.76]-[0:22:27.76]  ¿sin epidural y sin...?
[0:22:27.76]-[0:22:30.76]  sin nada, yo todo lo he tenido sin epidural y sin nada
[0:22:30.76]-[0:22:33.76]  como antiguamente se tenía
[0:22:33.76]-[0:22:37.76]  ¿y cómo se hacía? yo he oído que se daba caldo de garquina
[0:22:37.76]-[0:22:42.76]  ah claro, las dietas, si las dietas te hacían tu caldo de gallina
[0:22:42.76]-[0:22:47.76]  te hacían tu chocolate y te llevaban una dieta
[0:22:47.76]-[0:22:48.76]  no te podías lavar
[0:22:48.76]-[0:22:50.76]  ¿no podías lavarte?
[0:22:50.76]-[0:22:53.76]  no, no te podías lavar, ¿sabes?
[0:22:53.76]-[0:22:55.76]  ducharte ni bañarte
[0:22:55.76]-[0:22:57.76]  bueno, antiguamente es que no había guardo de baño, ¿sabes?
[0:22:57.76]-[0:23:01.76]  que nos poníamos, calentábamos una olla de agua grande
[0:23:01.76]-[0:23:05.76]  y te entrabas y ahí te lavabas en un baño grande, en un barreño
[0:23:05.76]-[0:23:08.76]  porque no todas las casas tampoco había agua potable
[0:23:08.76]-[0:23:11.76]  la que tenía los cuartos de baño era porque teníamos un pozo
[0:23:11.76]-[0:23:16.76]  ¿sabes? porque aquí nosotros íbamos a los pozos de bebea por agua
[0:23:16.76]-[0:23:19.76]  con un cántaro y un cubo
[0:23:19.76]-[0:23:23.76]  en el cuadrí el cántaro y luego en la mano el cubo
[0:23:23.76]-[0:23:25.76]  ¿y quién iba? ¿la mujer o el hombre?
[0:23:25.76]-[0:23:27.76]  la mujer
[0:23:27.76]-[0:23:29.76]  la mujer, el hombre no
[0:23:29.76]-[0:23:32.76]  el hombre a lo mejor iba, pero si tenía un burrito
[0:23:32.76]-[0:23:36.76]  pues a lo mejor iba, pero si no, no
[0:23:36.76]-[0:23:40.76]  y luego, a mí no se impiduraba ni sin nada
[0:23:40.76]-[0:23:43.76]  a base de dolores
