[0:00:00.00]-[0:00:02.00]  ¿Usted nació aquí entonces?
[0:01:16.00]-[0:01:17.00]  Y aquí las caras.
[0:01:17.00]-[0:01:19.00]  Eso es lo que hablaba la casa mía.
[0:01:19.00]-[0:01:22.00]  Porque, vamos, eran mis padres, porque era mi abuelo,
[0:01:22.00]-[0:01:25.00]  que yo no le conocía a mi abuelo, porque mi abuelo va, chiquisí.
[0:01:25.00]-[0:01:29.00]  Si tenía dinero, tendría otro tipo de casa, digo yo.
[0:01:29.00]-[0:01:32.00]  Sí, todas las casas, mira, las casas todas.
[0:01:32.00]-[0:01:33.00]  Las casas de dinero.
[0:01:33.00]-[0:01:34.00]  Mira, ¿ves?
[0:01:34.00]-[0:01:39.00]  Esta casa, yo creo que hay más allá, pues está de la fachada del abrigo.
[0:01:39.00]-[0:01:40.00]  Es que era gente rica.
[0:01:40.00]-[0:01:42.00]  Gente rica se llamaba, porque tenía...
[0:01:42.00]-[0:01:43.00]  ¿Quién era el abradores?
[0:01:43.00]-[0:01:46.00]  Los abradores, pues son padres de la granja.
[0:01:46.00]-[0:01:49.00]  Son veintiestas, ciento cincuenta...
[0:01:49.00]-[0:01:53.00]  Por hectáreas lo voy a decir, porque vosotros, pues cuarenta, cincuenta hectáreas de terreno,
[0:01:53.00]-[0:01:54.00]  que son treinta...
[0:01:54.00]-[0:02:00.00]  Cincuenta hectáreas son cinco, tres, quince, por ciento cincuenta hierras, o doscientas hierras de terreno.
[0:02:00.00]-[0:02:01.00]  ¿Cuánto es cada hectárea?
[0:02:01.00]-[0:02:04.00]  La hectárea son tres hierras y media de aquí, se llama.
[0:02:04.00]-[0:02:05.00]  ¿Y una hierra cuánto?
[0:02:05.00]-[0:02:11.00]  Las hierras son cuatro cuartas, que son veintiocho o varias.
[0:02:11.00]-[0:02:14.00]  ¿Por qué dicen por hectáreas o por hierras?
[0:02:14.00]-[0:02:15.00]  Por áreas va.
[0:02:15.00]-[0:02:17.00]  Por áreas son veintiocho áreas.
[0:02:17.00]-[0:02:20.00]  Bueno, pero la cuarta veintiocho áreas.
[0:02:20.00]-[0:02:26.00]  Veintiocho por cuatro, veintiuno y cinco cincuenta y cinco por.
[0:02:26.00]-[0:02:28.00]  Y estas cuartas eran.
[0:02:28.00]-[0:02:31.00]  Y esto digo, estas áreas.
[0:02:31.00]-[0:02:33.00]  ¿Mucha tierra entonces?
[0:02:33.00]-[0:02:36.00]  Aquí lo que había era mucho viñedo, mucho, mucho, mucho.
[0:02:36.00]-[0:02:37.00]  Cuéntanos todo eso.
[0:02:37.00]-[0:02:39.00]  No, viñedo habría aquí...
[0:02:39.00]-[0:02:43.00]  Pues lo mío había doscientas mil cepos, que llamo cepas,
[0:02:43.00]-[0:02:48.00]  que había trescientas mil, aunque estaba de tres partes de terreno en este pueblo,
[0:02:48.00]-[0:02:52.00]  de tres partes de terreno blanco, o de cuatro partes de terreno blanco.
[0:02:52.00]-[0:02:56.00]  Terreno blanco se llama esto de ararlas, se embarran el trigo, cebado, a ver.
[0:02:56.00]-[0:02:58.00]  Pues eran tres partes de viñedo.
[0:02:58.00]-[0:03:04.00]  Y ahora son revés, ahora ya se ha sacado todo y hay pues una décima parte, habrá.
[0:03:04.00]-[0:03:07.00]  No, no, habrá ahí veinte mil o treinta mil cepos de viñedo.
[0:03:07.00]-[0:03:11.00]  Y entonces, una décima parte o una milencio, aquí sí.
[0:03:11.00]-[0:03:12.00]  Y no hay casi nada.
[0:03:12.00]-[0:03:14.00]  ¿Y cómo se recogía el vino?
[0:03:14.00]-[0:03:17.00]  El vino, el vino se recogía vivos, ibas a palimiar.
[0:03:17.00]-[0:03:18.00]  La uva, quiero decir.
[0:03:18.00]-[0:03:19.00]  Sí, por medio del carro.
[0:03:19.00]-[0:03:20.00]  ¿Vos vais a cortarla?
[0:03:20.00]-[0:03:24.00]  Un carro con un par de mulicas, uno de varas, otro de par que se llamaba,
[0:03:24.00]-[0:03:28.00]  un par de varas, pues eso, un carro con una vara así en el medio,
[0:03:28.00]-[0:03:31.00]  y la uva iba de este lado a este lado, se llamaba carro de par.
[0:03:31.00]-[0:03:34.00]  Y en las varas es así, enganchado, metido, el animal así.
[0:03:34.00]-[0:03:36.00]  Una vara de este lado a este lado y el animal metido hacia el medio.
[0:03:36.00]-[0:03:38.00]  ¿Y cómo enganchaban?
[0:03:38.00]-[0:03:41.00]  Enganchaban por los collerines, que se llamaban,
[0:03:41.00]-[0:03:44.00]  y se ponían así, puesto el cuello al animal, con unos tiros,
[0:03:44.00]-[0:03:48.00]  unos tiros que eran pues de cadena, unos tiros y cadenas.
[0:03:48.00]-[0:03:54.00]  Y luego le ponían un sillín que se llama, un sillín puesto pues encima del lomo del animal.
[0:03:54.00]-[0:03:55.00]  ¿Y se le ponía...?
[0:03:55.00]-[0:03:56.00]  ¿Se le ponía...?
[0:03:56.00]-[0:03:58.00]  ¿Pasos que no iban a los baras, para que no se bajaran?
[0:03:58.00]-[0:04:02.00]  Bueno, y ahí encima del sillín ese, se ponían azufra, o sufra que llamaban.
[0:04:02.00]-[0:04:08.00]  Una chisma de correa grande, ancha, pues como esta anchura aproximadamente,
[0:04:08.00]-[0:04:13.00]  y ahí llegaba, llevaba un frontalete de dentro arriba,
[0:04:13.00]-[0:04:18.00]  y le colgaba para las varas, y cogía una vara y otra otra para que no caerse.
[0:04:18.00]-[0:04:24.00]  En el lomo de la mula, iba puesto el chisme ese, y con él se enganchaba así, y ya no se caía.
[0:04:24.00]-[0:04:26.00]  ¿Cómo llamaban a la correa esa?
[0:04:26.00]-[0:04:27.00]  ¿Callarín?
[0:04:27.00]-[0:04:29.00]  Al correno era azufra.
[0:04:29.00]-[0:04:30.00]  La más llamaba azufra.
[0:04:30.00]-[0:04:31.00]  ¿Se llamaba azufra?
[0:04:31.00]-[0:04:32.00]  Sí, sí, azufra.
[0:04:32.00]-[0:04:34.00]  La azufra, yo toda la vida oí la azufra.
[0:04:34.00]-[0:04:40.00]  Y yo llevaba pues el barriguero, al animal para que no se empinara el carro,
[0:04:40.00]-[0:04:47.00]  la sujetaba en la barriga, sujetaba al animal, pues el peso, no la dejaban pinar,
[0:04:47.00]-[0:04:52.00]  sino pues si se dejaban pinar se alcaba el animal, porque se podía alcarse por medio del collarón ese que se llamaba,
[0:04:52.00]-[0:04:59.00]  se podía al animal estorcar, porque ese era el collarón, es una cosa que tenía un nullido a los dos lados,
[0:04:59.00]-[0:05:04.00]  pero fuerte, una sarmadilla grandona, claro porque si no hagan entrar así al tirar se mancara,
[0:05:04.00]-[0:05:07.00]  a los encuentros que se llaman de los pechos de animal pues se mancaba.
[0:05:07.00]-[0:05:09.00]  ¿Y qué querían más saber?
[0:05:09.00]-[0:05:12.00]  Pues síga usted, iban en los carros, entonces iban cogiendo la uva.
[0:05:12.00]-[0:05:14.00]  Iban en el carro, ¿verdad? Ibas al viñedo, ¿verdad?
[0:05:14.00]-[0:05:18.00]  Si ibas a cinco kilómetros, a tres kilómetros, o a dos kilómetros,
[0:05:18.00]-[0:05:21.00]  los distantes que había, uno estaba más lejos, otro más cerca, ¿verdad?
[0:05:21.00]-[0:05:27.00]  Iban allí pues con cuatro señoras, o ocho señoras, o diez chicas, o hombres, ¿verdad?
[0:05:27.00]-[0:05:31.00]  Y los acuerdos no valían todo el día, si empezaba a llover vos te mojabas y aguantabas.
[0:05:31.00]-[0:05:36.00]  ¿Cómo cabras? Recojerte, a ver, ando, ¿cuánto venías mojado del viñedo?
[0:05:36.00]-[0:05:38.00]  Pues yo no sé, ni me han papá.
[0:05:38.00]-[0:05:40.00]  ¿La traían a la bodega?
[0:05:40.00]-[0:05:42.00]  No sé cuántas horas de la botella.
[0:05:42.00]-[0:05:43.00]  ¿El qué traían, dijiste?
[0:05:43.00]-[0:05:48.00]  La uva de expulsado, después las bodegas, luego yo a la vez te voy a llevar a las bodegas.
[0:05:48.00]-[0:05:50.00]  Y había lagares entonces.
[0:05:50.00]-[0:05:56.00]  Y está el lagar, lagares es un lagar, o sea la bodega es un cañón que baja, ¿verdad?
[0:05:56.00]-[0:06:01.00]  Y después caña a la derecha y a la izquierda, pues ahí sisas que se llaman para meter las cubas.
[0:06:01.00]-[0:06:08.00]  Que se metían antes, cubas de 200 cántaros, de 150, y ya los he conocido de 500 cántaros, las cubas.
[0:06:08.00]-[0:06:11.00]  Y en esas cubas, ¿por qué no? El estaba el lagar.
[0:06:11.00]-[0:06:14.00]  Y en ese lagar se pisaba, por los pies y unos zapatos, lo descalzó.
[0:06:14.00]-[0:06:19.00]  Se pisaba, ¿verdad? Y después de eso de pisada, pues se echaba la cuba.
[0:06:19.00]-[0:06:25.00]  Y echaban en la cuba, cuba que por escribir que se llamaba, la llamábamos madre, tinta.
[0:06:25.00]-[0:06:29.00]  Tinta madre se llamaba aquí. Esa era una muy buena, negra.
[0:06:29.00]-[0:06:31.00]  Y se llamaba de madre, la tinta madre.
[0:06:31.00]-[0:06:35.00]  Y eso después de pisar se metía, echaba la cuba antes la madre.
[0:06:35.00]-[0:06:39.00]  Y luego se echaba el mosto, o el caldo, como queramos llamarlo.
[0:06:39.00]-[0:06:41.00]  Ahí siempre, toda la vida, había oído mosto.
[0:06:41.00]-[0:06:43.00]  Otro día caldo, es igual, caldo y mosto en el paredido.
[0:06:43.00]-[0:06:45.00]  En otros sitios a un joven se llaman de esta manera, ¿no?
[0:06:45.00]-[0:06:48.00]  No sé, yo no sé, pero aquel que se llama mosto siempre.
[0:06:48.00]-[0:06:50.00]  Se echaba el mosto, ¿verdad?
[0:06:50.00]-[0:06:59.00]  Y después ya lo que quitabas de la cuba pisada se exprimía con una viga que había de larga lo mejor,
[0:06:59.00]-[0:07:01.00]  esto va a decir, por poco.
[0:07:01.00]-[0:07:05.00]  Con cinco metros, con una anchura más ancho que esto.
[0:07:05.00]-[0:07:06.00]  Más, más.
[0:07:06.00]-[0:07:07.00]  No importa.
[0:07:07.00]-[0:07:15.00]  Hay vigas que tendrán de anchura, de referencia, por cierto, una aproximación así.
[0:07:15.00]-[0:07:16.00]  O sea, bastante grande.
[0:07:16.00]-[0:07:21.00]  No, yo no sé cómo las meterían entonces, yo no sé cómo las meterían en la bodega.
[0:07:21.00]-[0:07:26.00]  Porque la bodega es un cayo, una silla de trabajo, y yo no sé cómo los meterían antes, los antiguo veces.
[0:07:26.00]-[0:07:27.00]  Y eran pocos, además.
[0:07:27.00]-[0:07:28.00]  ¿Cómo los meterían en qué?
[0:07:28.00]-[0:07:36.00]  Para meterlas en la bodega, porque después para meterlas en la bodega son unas vigas que tendrán de seis a siete metros de larga.
[0:07:36.00]-[0:07:39.00]  Pero con una gordura que no se les acuerda.
[0:07:39.00]-[0:07:41.00]  ¿Y los hombres que lo llevaban?
[0:07:41.00]-[0:07:47.00]  ¿Qué sé yo cómo los meterían? Decían que lo arrastraban con bueyes, por la cornamenta de buey,
[0:07:47.00]-[0:07:51.00]  que es donde tiene las fosas en la cabeza, las ornamentas, y dicen que los arrastraban con eso.
[0:07:51.00]-[0:07:54.00]  Dice, yo lo he visto, pero yo no sé qué, las arrastraban con bueyes.
[0:07:54.00]-[0:07:57.00]  Bueno, pues después se pisaba eso, ¿verdad?
[0:07:57.00]-[0:08:02.00]  Y se amontonaba un cerco más adelante que esta, aproximadamente más adelante, que era la bodega, ¿verdad?
[0:08:02.00]-[0:08:10.00]  Se iba, pues, haciendo el montón, y lo ibas empujando así, y haciendo el corro, y ahí se unía y lo ibas pisando.
[0:08:10.00]-[0:08:11.00]  ¿Llegas pisando?
[0:08:11.00]-[0:08:14.00]  Sí, porque si no te caías, te espantaba.
[0:08:14.00]-[0:08:16.00]  Y luego llegaba hasta esta altura, ¿verdad?
[0:08:16.00]-[0:08:22.00]  Y le ponías después, pues, un redondo grande, un acercupe grande de madera,
[0:08:22.00]-[0:08:29.00]  un acercupe grande de madera, y encima de eso se ponían unos maderos grandes que se llamaban marranos.
[0:08:29.00]-[0:08:35.00]  Me llamaban marranos, que estaban así en las bodegas, y se llamaban marranos, uno ahí, y otro aquí, dos.
[0:08:35.00]-[0:08:38.00]  Y así en el medio se ponía uno que se llamaba la puente.
[0:08:38.00]-[0:08:43.00]  O sea, ¿entiendes? Un larguero que ha dado, se llamaba el marranos.
[0:08:43.00]-[0:08:47.00]  Y así, ponía el otro atravesado, y eso se llamaba la puente.
[0:08:47.00]-[0:08:55.00]  Y en la viga había hacia la mitad otro palo que sujetaba, porque la dejaba sola antes de empezar a exprimir, ¿verdad?
[0:08:55.00]-[0:09:01.00]  Se llamaba la virgen, una viga así recta, un palo, pues, de un metro y...
[0:09:01.00]-[0:09:10.00]  una vaísta aproximadamente, pero la viga esa atrás lleva una piedra de esta altura y de este volumen.
[0:09:10.00]-[0:09:18.00]  Y ahí va un uso aquí metido. En el centro va un uso metido. Un uso se llama un torno, ¿no se entiende?
[0:09:18.00]-[0:09:24.00]  ¿Ves un... va que me lo entiendes bien? ¿Ves un barreno?
[0:09:24.00]-[0:09:29.00]  ¿Ves lo que es el barreno que va dando vueltas para entrar, no?
[0:09:29.00]-[0:09:34.00]  No sé, esto es un torno, como un tornillo, que le roscas así, ¿verdad?
[0:09:34.00]-[0:09:39.00]  Y llevaba, claro, pues una... no me acuerdo cómo se llamaba la chima esa... la...
[0:09:39.00]-[0:09:42.00]  no me acuerdo dónde roscaba, no me acuerdo cómo se llamó...
[0:09:42.00]-[0:09:48.00]  La ambrilla, ambrilla, ambrilla me llamaba. La ambrilla, en esa ambrilla, ahí roscaba.
[0:09:48.00]-[0:09:54.00]  Y claro, iba dando vueltas, pues eso, uno a este, un palo así en el medio metido en el torno.
[0:09:54.00]-[0:09:59.00]  Un palo, pues así de largo, o más, así. Y uno iba a este lado y otro a otro lado, y dándole vueltas,
[0:09:59.00]-[0:10:05.00]  que es que eso había que darle hasta tres tíos o cuatro, para levantar la fila esa, para poner la piedra esa.
[0:10:05.00]-[0:10:10.00]  Claro, después cuando se levantaba la piedra esa, daban la de chachachata, y no se partía la viga.
[0:10:10.00]-[0:10:14.00]  En la vida se partía una viga. Y daban el espimil, pues la uva.
[0:10:14.00]-[0:10:18.00]  O sea, después de pisado, daban el espimil todo, la uva, para quedarlo hecho orujo.
[0:10:18.00]-[0:10:19.00]  ¿La uva, pues?
[0:10:19.00]-[0:10:23.00]  Sí, pues la uva se quedaba hecho orujo. O sea, aplastada, aplastada que no...
[0:10:23.00]-[0:10:25.00]  No salía jugo ninguno.
[0:10:25.00]-[0:10:26.00]  ¿El ollejo?
[0:10:26.00]-[0:10:28.00]  El ollejo, sí.
[0:10:28.00]-[0:10:31.00]  Sí, quedaba, salía todo el zumo y todo, quedaba el ollejo solo.
[0:10:31.00]-[0:10:35.00]  Y eso después, el orujo ese, lo hacían aguardiente, orujo de orujo.
[0:10:35.00]-[0:10:37.00]  ¿Meruda era la que pillaban por ti, no?
[0:10:37.00]-[0:10:43.00]  Orujo, eso se hacía orujo. Y ese orujo después se lo hacían una alquitara y se hacía aguardiente.
[0:10:43.00]-[0:10:49.00]  Eso iba destilando por la alquitara. Yo trabajé en la venda sobre la alquitara, trabajé bastantes años.
[0:10:49.00]-[0:10:50.00]  ¿El aguardiente venden aquí?
[0:10:50.00]-[0:10:53.00]  No, aquí no se la venden. Aquí la vendieron, la vendieron, sí.
[0:10:53.00]-[0:10:54.00]  ¿Aquí la vendieron?
[0:10:54.00]-[0:10:58.00]  Aquí vendieron aguardiente, pero ya muchísimos años. Aquí se hacía la aguardiente.
[0:10:58.00]-[0:11:02.00]  Aquí en el Colón, una alquitara que se llamaba, se hacía un alambique de eso.
[0:11:02.00]-[0:11:06.00]  ¿Y estos señores que pesaban la uva eran contratados o jornaleros?
[0:11:06.00]-[0:11:12.00]  Sí, sí, jornaleros. Jornaleros de un jornalero eventual, otro propio para él, porque entonces aquí había siempre...
[0:11:12.00]-[0:11:18.00]  Lo mismo había aquí, si ahora estamos mil y pie, digo yo mí, esto dos, ciento y pico,
[0:11:18.00]-[0:11:27.00]  pues entonces, de vecinos ahora estamos aquí, no sé si son más de ochenta, setenta y tantos de ochenta, poco.
[0:11:27.00]-[0:11:30.00]  Pero antes estábamos de doscientos noventa a trescientos.
[0:11:30.00]-[0:11:41.00]  Y doscientos noventa a trescientos del Galúa, por cuatro pues se contaban, pues a pie cuatro por tres doce son muy típico personas.
[0:11:41.00]-[0:11:46.00]  Nos contamos aquí en la minoría. Y ahora ahí pues estaremos unas siete y pico personas.
[0:11:46.00]-[0:11:49.00]  ¿Y quién contrataba a esos señores?
[0:11:49.00]-[0:11:55.00]  Eso pues el propietario del viñedo, que tuviera el viñedo, la C para esos viñedos que se llamaban mejoros viñedos,
[0:11:55.00]-[0:12:01.00]  pues él me contrataba a mí, a este, a otro, quien fuera, te pagaba, entonces pues era un jornal,
[0:12:01.00]-[0:12:06.00]  antiguamente ya vamos a hablar, no era un jornal de siete reales, que llevaba para reales,
[0:12:06.00]-[0:12:13.00]  entonces siete reales ya sabes, no llega a dos penetas, cuatro reales para dos penetas, entonces era de esa forma como era.
[0:12:13.00]-[0:12:16.00]  ¿Pero no iban a buscar a gente de otros pueblos?
[0:12:16.00]-[0:12:17.00]  No, no, no.
[0:12:17.00]-[0:12:18.00]  ¿No se contrataban?
[0:12:18.00]-[0:12:19.00]  No, casi se los estaba enterando.
[0:12:19.00]-[0:12:20.00]  Las chicas jóvenes.
[0:12:20.00]-[0:12:23.00]  Pues aquí hay muchos, entonces había muchos jornales, muchos, muchos.
[0:12:23.00]-[0:12:24.00]  También las mujeres iban.
[0:12:24.00]-[0:12:29.00]  Todas, están de acuerdo, esa gente, pues iban a, y las chicas jóvenes les iban a decir,
[0:12:29.00]-[0:12:34.00]  porque entonces lo mejor que le damos al viñedo, pues había unas juventades de pánico,
[0:12:34.00]-[0:12:41.00]  era la juventad de viejas, unas de risas, unos con otros, la cariño que le amaban, historias de esas,
[0:12:41.00]-[0:12:45.00]  de una cuadrilla a otra, y pues estábamos tocando unos a otros, porque como estaban de miedo,
[0:12:45.00]-[0:12:49.00]  nos estabas tocando unos con otros, y se pasaba por un rato bien.
[0:12:49.00]-[0:12:51.00]  Y en vez de dormir a siete, pues bailaba.
[0:12:51.00]-[0:12:52.00]  No, no se bailaba.
[0:12:52.00]-[0:12:53.00]  Una cuadrilla con otra.
[0:12:53.00]-[0:12:57.00]  No dormía a siete, a bailar, se ha dicho, levantar, y bueno.
[0:12:57.00]-[0:12:59.00]  ¿Pagaban igual a las mujeres que a los hombres?
[0:12:59.00]-[0:13:04.00]  Lo mismo, lo mismo, entonces pagaban por siete reales, siete reales, no ganaba el hombre que la mujer,
[0:13:04.00]-[0:13:06.00]  la conversa comía por cuenta tuya.
[0:13:06.00]-[0:13:11.00]  Si llevaban una comida buena y llevaban mala, pues la llevaban, no tenía que ver nada.
[0:13:11.00]-[0:13:13.00]  ¿Seguro que gastaban más de una broma las mujeres?
[0:13:13.00]-[0:13:15.00]  No, llevaba, ya es el avión.
[0:13:15.00]-[0:13:18.00]  ¿Sabes lo que pasaba con las mujeres? Que vinieron casi de Nubas para casa.
[0:13:18.00]-[0:13:21.00]  Las bromas esas, si no, no te irán.
[0:13:21.00]-[0:13:24.00]  Bueno, entonces, ¿deseaban ustedes a las mujeres?
[0:13:24.00]-[0:13:30.00]  Hombre, ya, es que las mujeres iban a un tío, a una persona, a un muchacho, iban cuatro o cinco mujeres.
[0:13:30.00]-[0:13:33.00]  Claro, pero si había otro muchacho, pues las iba a ayudar.
[0:13:33.00]-[0:13:38.00]  Y ahora, aunque mucho pudiera la mujer, pues podían más los dos hombres, ¿sabes?
[0:13:38.00]-[0:13:40.00]  A robocones, a nada.
[0:13:40.00]-[0:13:43.00]  A agarrar lo que podías, lo podías, la vida es así.
[0:13:43.00]-[0:13:47.00]  Pues cuéntenos las fiestas esas que usted dice.
[0:13:47.00]-[0:13:49.00]  ¿Ah, las fiestas de qué quiere decir?
[0:13:49.00]-[0:13:50.00]  Las fiestas de aquí del pueblo.
[0:13:50.00]-[0:13:53.00]  Ah, las del pueblo. Hombre, aquí en el pueblo, este, había muchas fiestas.
[0:13:53.00]-[0:13:58.00]  Si te empiezo a hablar por carnavales, por carnavales eran exacionales.
[0:13:58.00]-[0:14:06.00]  Pero de estos exacionales, porque había, hacíamos hasta toros, había toros, vacas, una vaquilla o dos vaquillas.
[0:14:06.00]-[0:14:07.00]  Pero traían las vacas de otros lados.
[0:14:07.00]-[0:14:11.00]  ¿Qué? De aquí, un señor que era carnicero, a lo mejor tenía una vaca.
[0:14:11.00]-[0:14:15.00]  Como tenía, a lo mejor, los chile de vacas, de estas, para matar a la carne.
[0:14:15.00]-[0:14:19.00]  Coño madre, que aquella se tira un poco, ¡pam!, y la plaza era aquí esto.
[0:14:19.00]-[0:14:21.00]  Esto era la plaza, la plaza es esta, pero no.
[0:14:21.00]-[0:14:22.00]  Aquí arriba.
[0:14:22.00]-[0:14:25.00]  Aquí atoleábamos, aquí era la Ayuntamiento.
[0:14:25.00]-[0:14:28.00]  ¿Carros traían aquí? Ahí traíamos las vacas.
[0:14:28.00]-[0:14:30.00]  ¿No? No les traía uno así.
[0:14:30.00]-[0:14:36.00]  Y, pues, se ponían de torero, pues, ya sabía, se le hacía un vestido de torero de, de como sabía, como sabía.
[0:14:36.00]-[0:14:42.00]  Y había, pues, uno o dos, y venía un carrucho con las manolas que llamaban entonces, con un burrico,
[0:14:42.00]-[0:14:47.00]  metido el burro en el carrico ese, que el carro ese era el del piano, que teníamos entonces el baile, era un piano.
[0:14:47.00]-[0:14:48.00]  Ah, un piano.
[0:14:48.00]-[0:14:51.00]  Un piano de chile, era, precioso. Era un piano, un piano de los buenos carrusos.
[0:14:51.00]-[0:14:53.00]  ¿Cómo llamaban los señores que tocaban piano?
[0:14:53.00]-[0:14:54.00]  ¿Piano?
[0:14:54.00]-[0:14:55.00]  Su nombre.
[0:14:55.00]-[0:14:56.00]  Si él quería su nombre.
[0:14:56.00]-[0:14:58.00]  No tenía un nombre así que...
[0:14:58.00]-[0:14:59.00]  No, no, no.
[0:14:59.00]-[0:15:00.00]  O sea, por el leo.
[0:15:00.00]-[0:15:01.00]  No, no, no, no.
[0:15:01.00]-[0:15:02.00]  ¿El nombre?
[0:15:02.00]-[0:15:04.00]  Era el del piano.
[0:15:04.00]-[0:15:06.00]  El nombre, por su nombre propio.
[0:15:06.00]-[0:15:09.00]  Pero el nombre era propio, era el del piano, pero el nombre propio...
[0:15:09.00]-[0:15:13.00]  O sea, descendía de su padre, que es su padre, su mamá.
[0:15:14.00]-[0:15:18.00]  Su padre, y ya el piano venía del padre, descendía.
[0:15:18.00]-[0:15:22.00]  Y después le decía, pero había, digo, y después de los bailes estos,
[0:15:22.00]-[0:15:27.00]  pues te cogías una gitana con tu burro, y estaba de burro así.
[0:15:28.00]-[0:15:31.00]  Y había pues cinco o seis chicas, eran las gitanas,
[0:15:31.00]-[0:15:36.00]  y cinco o seis hombres eran los muchachos de 18 años o 20 años, pues eran los maridos.
[0:15:36.00]-[0:15:37.00]  ¿Cómo llamaban las gitanas?
[0:15:37.00]-[0:15:38.00]  Las gitanas.
[0:15:39.00]-[0:15:41.00]  Las gitanas eran chicas gitanas.
[0:15:41.00]-[0:15:44.00]  Cada una era como, pues parecía el nombre.
[0:15:44.00]-[0:15:47.00]  Rosario, Pepa, Juanón, cualquier nombre, ¿verdad?
[0:15:47.00]-[0:15:50.00]  Y que nosotros nos montamos en un burro con tus gitanas.
[0:15:50.00]-[0:15:54.00]  La gitana nos montaba atrás, atrás y al gitano adelante.
[0:15:54.00]-[0:15:58.00]  Y la tía agarraba de ti, porque uno tiraba más cosas que...
[0:15:58.00]-[0:16:01.00]  Y otro era bueno, y otro a lo mejor era mas ideal.
[0:16:01.00]-[0:16:03.00]  Le daba tiras cosas y ya sabes, agarraba a ti.
[0:16:03.00]-[0:16:05.00]  ¡Joder, coño, que me jodes, no me tienes de coño!
[0:16:05.00]-[0:16:07.00]  Que me tira ahí con la herdera.
[0:16:07.00]-[0:16:09.00]  Sí, está seguro, desplazando a lo mejor.
[0:16:09.00]-[0:16:11.00]  Pasa tiempo, ¿no? Me he pasado el tiempo muy bien.
[0:16:11.00]-[0:16:13.00]  ¿De gitana o de gilacierco?
[0:16:13.00]-[0:16:14.00]  Se pedía por las casas.
[0:16:14.00]-[0:16:16.00]  Y pedían por las casas, el pueblo.
[0:16:16.00]-[0:16:17.00]  Pero ¿quién pedía?
[0:16:17.00]-[0:16:18.00]  ¡Pues las gitanas!
[0:16:18.00]-[0:16:20.00]  ¡Pues las gitanas!
[0:16:20.00]-[0:16:22.00]  No, los maridos no iban, no era nada raro.
[0:16:22.00]-[0:16:24.00]  Solo iban las ellas, las hembras, las gilas.
[0:16:24.00]-[0:16:26.00]  No es que aquí las gitanas, ¿no?
[0:16:26.00]-[0:16:28.00]  Aquí en toda la vida tienes que que a quien el gitano va a pedir.
[0:16:28.00]-[0:16:30.00]  Aquí va la mujer.
[0:16:30.00]-[0:16:32.00]  En gitana aquí va la mujer, no en ver a hombres.
