[0:00:00.00]-[0:00:02.00]  Hola, ¿ves? ¿En verdad?
[0:03:11.00]-[0:03:17.00]  Tengo cuatro hijas y son de instituto.
[0:03:17.00]-[0:03:22.00]  Después tengo una nieta que ahora se va a casar en mayo
[0:03:22.00]-[0:03:26.00]  y también es maestra, también es San Pamplona.
[0:03:26.00]-[0:03:29.00]  O sea que tengo cuatro y otra tengo en Sevilla,
[0:03:29.00]-[0:03:32.00]  que también son profesores.
[0:03:32.00]-[0:03:33.00]  ¿Tienes profesores?
[0:03:33.00]-[0:03:34.00]  Sí.
[0:03:34.00]-[0:03:37.00]  Ellas y aquí, el sevillano.
[0:03:37.00]-[0:03:40.00]  Bueno, pues eso es lo que me sí pasa.
[0:03:40.00]-[0:03:42.00]  Y usted ya aquí del pueblo se queda allá.
[0:03:42.00]-[0:03:43.00]  Yo me quedo aquí.
[0:03:43.00]-[0:03:47.00]  Y ahora bien las asistentes sociales.
[0:03:47.00]-[0:03:51.00]  ¿Y el pueblo ha cambiado mucho desde los últimos años?
[0:03:51.00]-[0:03:53.00]  ¿Sí, ha habido mucha gente o...?
[0:03:53.00]-[0:03:56.00]  Pues sí, a primeros había mi lípico.
[0:03:56.00]-[0:04:01.00]  Como muchos no tenían la vida aquí,
[0:04:01.00]-[0:04:04.00]  que no tenían panorama de estar,
[0:04:04.00]-[0:04:07.00]  se iban todos a Pamplona, la capital.
[0:04:07.00]-[0:04:11.00]  Se metían en fábricas y todo lo que podía,
[0:04:11.00]-[0:04:14.00]  pues se ponía a trabajar allá.
[0:04:14.00]-[0:04:18.00]  Y dejaron esto, pues se vendió vacío.
[0:04:18.00]-[0:04:22.00]  Ahora no sé si llegan a mí, no me parece a mí que no.
[0:04:22.00]-[0:04:25.00]  Bántenos un poco sobre las fiestas del pueblo.
[0:04:25.00]-[0:04:27.00]  ¿Qué suelen hacer?
[0:04:27.00]-[0:04:29.00]  No salgo ya ninguna.
[0:04:29.00]-[0:04:31.00]  No voy a ninguna fiesta.
[0:04:31.00]-[0:04:33.00]  Pero que usted recuerde cuando era joven...
[0:04:33.00]-[0:04:38.00]  Pues sí, pues era el primer día,
[0:04:38.00]-[0:04:41.00]  pues era todo de iglesia.
[0:04:41.00]-[0:04:45.00]  El primer día con mis atolermes y todo.
[0:04:45.00]-[0:04:50.00]  Y los ayuntamientos iban también revestidos
[0:04:50.00]-[0:04:53.00]  también a la corporación del ayuntamiento,
[0:04:53.00]-[0:04:57.00]  iba a la iglesia también.
[0:04:57.00]-[0:04:59.00]  Después, eso era el primer día.
[0:04:59.00]-[0:05:05.00]  La víspera, la víspera, pues a las 12 tiraban el cohete.
[0:05:05.00]-[0:05:09.00]  Salían cabezudos gigantes, todo eso.
[0:05:09.00]-[0:05:13.00]  Había vaquillas tres o cuatro días.
[0:05:13.00]-[0:05:15.00]  Duraban seis o siete días.
[0:05:15.00]-[0:05:17.00]  Esas son las fiestas que había.
[0:05:17.00]-[0:05:19.00]  Venía muchísima gente, venía.
[0:05:19.00]-[0:05:22.00]  ¿En qué época solía ser?
[0:05:22.00]-[0:05:26.00]  Pues es que las fiestas, primeramente, eran en septiembre.
[0:05:26.00]-[0:05:29.00]  Pero como cogían a los estudiantes,
[0:05:29.00]-[0:05:34.00]  porque era el 14 de septiembre, se tenían que ir,
[0:05:34.00]-[0:05:36.00]  las cambiaron al 20 de agosto.
[0:05:36.00]-[0:05:39.00]  Y hace unos años que son el 20 de agosto.
[0:05:39.00]-[0:05:41.00]  ¿Y siguen siendo iguales que por entonces?
[0:05:41.00]-[0:05:47.00]  Igual. No ha cambiado nada más que la fecha de las fiestas.
[0:05:47.00]-[0:05:50.00]  Sigue viniendo gente igual.
[0:05:50.00]-[0:05:51.00]  ¿Eh?
[0:05:51.00]-[0:05:53.00]  Sigue viniendo gente.
[0:05:53.00]-[0:06:01.00]  Pues sí, pero yo no me preocupo porque en las fiestas no salía yo nada.
[0:06:01.00]-[0:06:04.00]  No, no salía nada. Ni iba Baja ni iba nada.
[0:06:04.00]-[0:06:08.00]  Pero gente venía mucho.
[0:06:08.00]-[0:06:11.00]  Ahora en mi casa venían solo las hijas.
[0:06:11.00]-[0:06:17.00]  Cuando venían todas las vacaciones.
[0:06:17.00]-[0:06:21.00]  ¿Y sobre la enseñanza hace años cómo era?
[0:06:21.00]-[0:06:23.00]  ¿Tenían un colegio aquí o se hizo en escuela?
[0:06:23.00]-[0:06:26.00]  Pues había escuelas como ahora, escuelas.
[0:06:26.00]-[0:06:34.00]  Ahora que hayan adelantado, no lo sé.
[0:06:34.00]-[0:06:37.00]  Pero había escuelas, sí.
[0:06:37.00]-[0:06:43.00]  Y el que quería sacaba las hijas o los hijos fuera para que aprendieran más.
[0:06:43.00]-[0:06:47.00]  Yo tuve que sacar a las cuatro fuera.
[0:06:47.00]-[0:06:49.00]  ¿Y usted puede estudiar aquí?
[0:06:49.00]-[0:06:50.00]  ¿Eh?
[0:06:50.00]-[0:06:51.00]  ¿Usted puede estudiar aquí?
[0:06:51.00]-[0:06:52.00]  ¿Sí puedo estudiar?
[0:06:52.00]-[0:06:54.00]  Sí pudo.
[0:06:54.00]-[0:06:56.00]  Eso no tenía talento.
[0:06:56.00]-[0:06:58.00]  No tenía talento.
[0:06:58.00]-[0:07:01.00]  Y en aquellos tiempos no se estudiaba nada.
[0:07:01.00]-[0:07:08.00]  Las primeras que se empezaron a estudiar y empezaron a modernizar ya fueron entre mis hijas.
[0:07:08.00]-[0:07:12.00]  Se ha despuesado las de su juventud que quisieron estudiar.
[0:07:12.00]-[0:07:17.00]  Pero en mi juventud no estudiaba nadie.
[0:07:17.00]-[0:07:19.00]  ¿Se dedicaban a la agricultura?
[0:07:19.00]-[0:07:22.00]  Sí, vamos, sí.
[0:07:22.00]-[0:07:25.00]  A mí me ha tocado también.
[0:07:25.00]-[0:07:27.00]  Pues...
[0:07:27.00]-[0:07:30.00]  Le voy a decir.
[0:07:30.00]-[0:07:36.00]  Hay una casa que es la casa de mi marido que es en la carretera.
[0:07:36.00]-[0:07:39.00]  Cuando vivía mi suegro,
[0:07:39.00]-[0:07:44.00]  llevaban una de esa en Riva Forada.
[0:07:44.00]-[0:07:54.00]  Y el primer trigo, el primer trigo que se llevaba a San Fermines venía a mi locada de las fincas de mi suegro.
[0:07:54.00]-[0:07:59.00]  El primer trigo para hacer pan en Pamplona para San Fermines.
[0:07:59.00]-[0:08:02.00]  Venían a la corraliza y se llevaban el trigo.
[0:08:02.00]-[0:08:05.00]  Y ese pan que se hacían aquellos días para...
[0:08:05.00]-[0:08:11.00]  Porque no sé por qué se día, si es que era porque era cantidad o porque era más temprano.
[0:08:11.00]-[0:08:18.00]  Sé que iban a la corraliza y el trigo lo llevaban para los San Fermines para hacer pan.
[0:08:18.00]-[0:08:22.00]  El proceso para hacerlo, ¿usted lo sabe?
[0:08:22.00]-[0:08:24.00]  ¿Nos puede contar más o menos un poco?
[0:08:24.00]-[0:08:25.00]  Y he hecho.
[0:08:25.00]-[0:08:26.00]  ¿Ah sí?
[0:08:26.00]-[0:08:27.00]  Sí.
[0:08:27.00]-[0:08:31.00]  Se compra un poco de levadura artificial.
[0:08:31.00]-[0:08:35.00]  Ahora, los panaderos les echan muchas cosas, pero es...
[0:08:35.00]-[0:08:40.00]  Por ejemplo, vas a amasar, que a mí me ha tocado amasar mucho.
[0:08:40.00]-[0:08:45.00]  El día que se amasaba, el día que se amasaba, tenías que amasar,
[0:08:45.00]-[0:08:49.00]  pues hacías un bolo así de levadura, un bolo de masa.
[0:08:49.00]-[0:08:52.00]  Y tenía que fermentar ese bolo de masa.
[0:08:52.00]-[0:08:57.00]  Cuando llegaba el día que querías amasar, con ese bolo que había fermentado,
[0:08:57.00]-[0:09:06.00]  hacías, pues según, ocho o nueve panes grandes, no los que se hacen ahora.
[0:09:06.00]-[0:09:13.00]  Y se agregaba a la masa y con ese bolo se amasaba la amasada.
[0:09:13.00]-[0:09:18.00]  Y cuando fermentaba, que tenía que fermentar para que el pan estaría bueno,
[0:09:18.00]-[0:09:23.00]  se adelgazaba, se iba a los hornos y se cocía.
[0:09:23.00]-[0:09:29.00]  Eso era el proceso del pan.
[0:09:29.00]-[0:09:34.00]  Pues sí, nos ha tocado hacer muchas masadas a mí en particular.
[0:09:34.00]-[0:09:41.00]  También hacía masadas de bolios, de pastas, pero las hacía yo ahora en casa.
[0:09:41.00]-[0:09:44.00]  Pero como soy mi marido un poco delica muy un de estos,
[0:09:44.00]-[0:09:50.00]  pues llegó una temporada que no, tartas también hacía.
[0:09:50.00]-[0:09:54.00]  Toda la vida que lleva hoy eso.
[0:09:54.00]-[0:10:00.00]  Oye, pero eso no saldrá mi nombre diciendo todo lo que ha hecho.
[0:10:00.00]-[0:10:04.00]  No, no, esto es para nosotros.
[0:10:04.00]-[0:10:10.00]  Porque volví y veí en la televisión que una mujer hacía esto hacia el otro.
[0:10:10.00]-[0:10:12.00]  No, no se preocupes.
[0:10:12.00]-[0:10:15.00]  No, a la que preguntéis ahora.
[0:10:15.00]-[0:10:21.00]  ¿Y un poco por la medicina de cómo era? ¿Tenían aquel mes?
[0:10:21.00]-[0:10:24.00]  Pues no había tanto adelanto de las medicinas.
[0:10:24.00]-[0:10:32.00]  Muchos niños se morían porque no había. Ahora sí, no se morían.
[0:10:32.00]-[0:10:37.00]  Se usaba mucho la... ¿Qué les daba yo?
[0:10:37.00]-[0:10:43.00]  Que tenía dos muy malicas. ¿Qué les daba? Terramicina. ¿Lo has oído?
[0:10:43.00]-[0:10:45.00]  No.
[0:10:45.00]-[0:10:48.00]  Ahora esto no se oye.
[0:10:48.00]-[0:10:54.00]  Era un fresquico así y llevaba unos polvos.
[0:10:54.00]-[0:10:58.00]  Y lo tenías tú que rellenar con un poco de agua y lo agitabas.
[0:10:58.00]-[0:11:00.00]  Y eso se les daba a la boca.
[0:11:00.00]-[0:11:02.00]  Una cucharilla.
[0:11:02.00]-[0:11:05.00]  No se ponía tanta inyección.
[0:11:05.00]-[0:11:08.00]  No había seguridad social.
[0:11:08.00]-[0:11:11.00]  Teníamos que pagar los médicos.
[0:11:11.00]-[0:11:13.00]  Teníamos que hacer todo, todo pago.
[0:11:13.00]-[0:11:16.00]  Si no, no te hacían nada.
[0:11:16.00]-[0:11:18.00]  ¿El médico venía de fuera?
[0:11:18.00]-[0:11:23.00]  No, había en el pueblo. Como ahora. Ahora había en el pueblo.
[0:11:23.00]-[0:11:27.00]  ¿Tenía consulta o algo? ¿Iba por las casas?
[0:11:27.00]-[0:11:30.00]  Sí, venía mucho.
[0:11:30.00]-[0:11:36.00]  Si estabas enfermo, si te levantabas sin que te dijeran, te echaban una regalina.
[0:11:36.00]-[0:11:40.00]  Pero ahora como no vienen, bueno, vienen algunos.
[0:11:40.00]-[0:12:01.00]  Igual viene un día o dos, pero los demás, se manda el tratamiento, ya no están tan esclavos como antes.
[0:12:01.00]-[0:12:04.00]  ¿Y un poco también más sobre la ganadería?
[0:12:04.00]-[0:12:06.00]  ¿Qué más tenías?
[0:12:06.00]-[0:12:10.00]  Pues tenía yo 100 americanas.
[0:12:10.00]-[0:12:12.00]  Calindas, no americanas.
[0:12:12.00]-[0:12:15.00]  Se llamaban americanas, que las hallan de fuera.
[0:12:15.00]-[0:12:18.00]  Que son las que ponían muchos huevos.
[0:12:18.00]-[0:12:21.00]  Tenía lo menos 100 arriba.
[0:12:21.00]-[0:12:24.00]  ¿En esta misma casa o...?
[0:12:24.00]-[0:12:26.00]  Tengo ahí un...
[0:12:26.00]-[0:12:29.00]  En ese alto que se me dé ahí.
[0:12:29.00]-[0:12:31.00]  Tenía ahí 100.
[0:12:31.00]-[0:12:34.00]  ¿Ya no tiene ningún animal? ¿O sé que tiene...?
[0:12:34.00]-[0:12:37.00]  Tenía vacas de leche.
[0:12:37.00]-[0:12:40.00]  Tenía toros.
[0:12:40.00]-[0:12:44.00]  Novillos que eran...
[0:12:44.00]-[0:12:45.00]  Serían pues tan...
[0:12:45.00]-[0:12:48.00]  Yo sé cómo los toros porque no se les escapaba.
[0:12:48.00]-[0:12:55.00]  De las vacas que parían, si eran novillos los criábamos pa' grandes.
[0:12:55.00]-[0:12:58.00]  Pero ten cuidado que no se soltaran.
[0:12:58.00]-[0:12:59.00]  Para un bravo, ¿no?
[0:12:59.00]-[0:13:02.00]  No porque estaban atras con cadenas.
[0:13:02.00]-[0:13:09.00]  Si se soltaban y salían al corral, ya no me podía rimar yo hasta que no se metían.
[0:13:09.00]-[0:13:12.00]  Pues sí.
[0:13:12.00]-[0:13:15.00]  ¿Y qué le echaban de comer a las gallinas o...?
[0:13:15.00]-[0:13:19.00]  Pues a las gallinas se les daba mucho compuesto.
[0:13:19.00]-[0:13:31.00]  También se les daba por maíz, algo de cebada.
[0:13:31.00]-[0:13:36.00]  ¿A su familia específicamente a qué se dedicaban el pueblo?
[0:13:36.00]-[0:13:38.00]  A la labranza.
[0:13:38.00]-[0:13:40.00]  ¿A la de la tierra?
[0:13:40.00]-[0:13:46.00]  Todos.
[0:13:46.00]-[0:13:49.00]  ¿Y qué cultivaban?
[0:13:49.00]-[0:13:54.00]  Pues se cultivaba mucho trigo, primeramente.
[0:13:54.00]-[0:13:58.00]  Pero ya después se cambió ya por pienso, por cebada.
[0:13:58.00]-[0:14:03.00]  Mucha maíz.
[0:14:03.00]-[0:14:08.00]  Ahora trigo aunque se cimbre y aparte que no sé, ya no le oigo yo cuenta ya de...
[0:14:08.00]-[0:14:12.00]  Porque de todo eso nos hemos desecho ya.
[0:14:12.00]-[0:14:19.00]  Como no había hijos, pues cuando mi marido se quedó enfermo,
[0:14:19.00]-[0:14:24.00]  tuvimos que poner las tierras que nos las llevaran.
[0:14:24.00]-[0:14:30.00]  ¿Aquí en el pueblo siguen la gente dedicándose a la labranza?
[0:14:30.00]-[0:14:33.00]  ¿La gente sigue dedicándose a la labranza aquí en el pueblo?
[0:14:33.00]-[0:14:34.00]  Ahora hay poco.
[0:14:34.00]-[0:14:41.00]  Ahora lo más se dedican porque ahora han puesto las cosas muy distintas antes.
[0:14:41.00]-[0:14:45.00]  Ahora la llevan entre ocho jóvenes.
[0:14:45.00]-[0:14:50.00]  Llevan toda... porque llevan el regadío ahí en el monte.
[0:14:50.00]-[0:14:55.00]  Luego llevan, cabía abajo, parcelas.
[0:14:55.00]-[0:14:59.00]  Las han puesto todas en... ¿Cómo se llama de esto?
[0:14:59.00]-[0:15:05.00]  Juntando todas. ¿Cómo se llama? Ya no me acuerdo.
[0:15:05.00]-[0:15:10.00]  En vez de ir a una parcela, después a otra que se perdía mucho tiempo,
[0:15:10.00]-[0:15:14.00]  han agregado todo junto.
[0:15:14.00]-[0:15:18.00]  Esto, hija, no me acuerdo cómo se llama esto.
[0:15:18.00]-[0:15:26.00]  ¿Qué año se pusieron? Pues no me viene.
[0:15:26.00]-[0:15:30.00]  O sea que se juntarían todas las parcelas.
[0:15:30.00]-[0:15:32.00]  Por ejemplo, el regadío, la bardena, no.
[0:15:32.00]-[0:15:39.00]  La bardena, cada cual tenía... unos no tenían y otros tenían.
[0:15:39.00]-[0:15:44.00]  Pero el regadío, pues se hizo una concentración, me parece,
[0:15:44.00]-[0:15:51.00]  que las parcelas del regadío, a lo mejor para ir a una parcela,
[0:15:51.00]-[0:15:54.00]  después tenías que ir a otra para no perder el tiempo,
[0:15:54.00]-[0:15:59.00]  juntaron toda la tierra, toda la tierra de todos, del regadío,
[0:15:59.00]-[0:16:04.00]  y la pusieron después la que te tocó.
[0:16:04.00]-[0:16:07.00]  Pero ya te daban ya toda la tierra que tenías junta.
[0:16:07.00]-[0:16:11.00]  En vez de tener aquí una, aquí otra, aquí otra,
[0:16:11.00]-[0:16:17.00]  pues hicieron ese cambio, cogieron toda la tierra del regadío
[0:16:17.00]-[0:16:22.00]  y después la partieron a lotes, a lo que tocó.
[0:16:22.00]-[0:16:25.00]  Pero era la tierra ya que se tenía.
[0:16:25.00]-[0:16:28.00]  El que no tenía no podía hacer eso.
[0:16:28.00]-[0:16:33.00]  Era por evitar y ensanchar las piezas.
[0:16:33.00]-[0:16:35.00]  ¿Estaban cultivando lo mismo?
[0:16:35.00]-[0:16:40.00]  Pues ahora se cultiva arroz, se cultiva alubía verde,
[0:16:40.00]-[0:16:43.00]  se cultiva guisantes, todo eso en regadío.
[0:16:43.00]-[0:16:46.00]  Pero eso es todo para el ganau.
[0:16:46.00]-[0:16:47.00]  Para el ganau.
[0:16:47.00]-[0:16:49.00]  Para el ganau.
[0:16:49.00]-[0:16:53.00]  Bisalto, maiz también.
[0:16:53.00]-[0:16:56.00]  Antes se ponía mucho tomate, ahora parece que no.
[0:16:56.00]-[0:17:00.00]  O sea que cambia, según las temporadas cambia.
[0:17:00.00]-[0:17:03.00]  Antes se ponía mucho tomate.
[0:17:03.00]-[0:17:05.00]  ¿Y había quién?
[0:17:05.00]-[0:17:11.00]  Dejaba las barquillas y las piezas y los reunios de uñas.
[0:17:11.00]-[0:17:14.00]  Se cogían las barquillas o las que querían.
[0:17:14.00]-[0:17:17.00]  Venían los domingos que no eran del pueblo.
[0:17:17.00]-[0:17:24.00]  Como había tanta pieza de tomate, pues se cogían las barquillas enteras y se iban.
[0:17:24.00]-[0:17:26.00]  Había mucha uña.
[0:17:26.00]-[0:17:28.00]  Y ahora también habrá.
[0:17:28.00]-[0:17:29.00]  Sí.
[0:17:29.00]-[0:17:30.00]  También.
[0:17:30.00]-[0:17:39.00]  Cuando los animales se ponían enfermos o algo, pues venía el veterinario.
[0:17:39.00]-[0:17:42.00]  Vivía el veterinario en el pueblo y venía.
[0:17:42.00]-[0:17:44.00]  Después ya se cambió.
[0:17:44.00]-[0:17:49.00]  Se hicieron una especie de veterinarios juntos.
[0:17:49.00]-[0:17:51.00]  También ya no...
[0:17:51.00]-[0:17:55.00]  Igual se tocaba aquí, igual se tocaba mañana otro,
[0:17:55.00]-[0:18:00.00]  pero también como las parcelas se juntaron todos los veterinarios,
[0:18:00.00]-[0:18:05.00]  porque antes aquí había uno solo y atendía al pueblo.
[0:18:05.00]-[0:18:10.00]  Pero cuando se jubiló, todos los jóvenes que ya venían que eran veterinarios,
[0:18:10.00]-[0:18:12.00]  pues se pusieron...
[0:18:12.00]-[0:18:19.00]  Como ahora están los médicos todos en coplaos.
[0:18:19.00]-[0:18:24.00]  Igual te viene uno, igual te visita uno, que te visita el otro.
[0:18:24.00]-[0:18:26.00]  Pues sí.
[0:18:26.00]-[0:18:29.00]  ¿Y usted qué prefiere? ¿Cómo era antes?
[0:18:29.00]-[0:18:34.00]  ¿O sea como un solo veterinario o como lo llevan ahora, que son varios?
[0:18:34.00]-[0:18:36.00]  ¿Qué era mejor?
[0:18:36.00]-[0:18:42.00]  A nosotros aún nos tocó de estos jóvenes veterinarios, pero poco.
[0:18:42.00]-[0:18:45.00]  Más estábamos con el que era siempre.
[0:18:45.00]-[0:18:55.00]  Pero al jubilarse, pues si te tocaba tenías que decirles, avisar a ellos.
[0:18:55.00]-[0:19:03.00]  ¿Usted preferiría que hubieran sido las cosas de otra manera? ¿Habría cambiado algo?
[0:19:03.00]-[0:19:06.00]  Pues no sé.
[0:19:06.00]-[0:19:08.00]  No sé.
[0:19:08.00]-[0:19:15.00]  Me parece que amoldarme a otras cosas más raras que no me gustarían, no.
[0:19:15.00]-[0:19:21.00]  Pero si venían y eran poco más o menos con poca diferencia como lo que habías vivido hasta ahora,
[0:19:21.00]-[0:19:26.00]  pues te tenías que amoldar a ellos.
[0:19:26.00]-[0:19:30.00]  ¿Aquí siempre ha habido la misma gente o venían de fuera?
[0:19:30.00]-[0:19:32.00]  ¿Han venido de fuera de...
[0:19:32.00]-[0:19:38.00]  Ahora han venido miles y miles de negros de esos extranjeros.
[0:19:38.00]-[0:19:41.00]  ¿Y qué tal la relación del pueblo en general con ellos?
[0:19:41.00]-[0:19:45.00]  Pues yo, si te voy a decir, para mí son todos iguales.
[0:19:45.00]-[0:19:47.00]  Y los respeto.
[0:19:47.00]-[0:19:52.00]  Pero lo que no estoy de acuerdo es que vengan ladrones de allá,
[0:19:52.00]-[0:19:56.00]  que serían soldados de algún país de aquel,
[0:19:56.00]-[0:20:01.00]  que saben que dan buenas palizas cuando entran a robar,
[0:20:01.00]-[0:20:04.00]  y casi los matan, eso no acepto.
[0:20:04.00]-[0:20:08.00]  Pero si serían como tienen que ser, que todo el mundo tiene que vivir,
[0:20:08.00]-[0:20:14.00]  y para todos sale el sol, si serían como tienen que ser, a mí no me molestaría aún.
[0:20:14.00]-[0:20:20.00]  Pero sabes tú lo que soy por la televisión, de tantas casas que entren a robar,
[0:20:20.00]-[0:20:25.00]  si robaran y no les salía nada, pues se los dejaría medio muertos.
[0:20:25.00]-[0:20:26.00]  ¿Así?
[0:20:26.00]-[0:20:27.00]  Sí.
[0:20:27.00]-[0:20:32.00]  ¿Ha habido otros problemas en el pueblo?
[0:20:32.00]-[0:20:34.00]  Aquí robar cajas, sí.
[0:20:34.00]-[0:20:41.00]  Venir ladrones y esto, y tiendas, no sé.
[0:20:41.00]-[0:20:47.00]  Pero estancos, quitar y entrar también, y llevarse lo que había también.
[0:20:47.00]-[0:20:53.00]  Pero más es la capital, que entran a las cuellerías, entran a todo,
[0:20:53.00]-[0:20:57.00]  y no se contentan con lo que tienen, más que a matarlos si pueden.
[0:20:57.00]-[0:20:59.00]  Eso no estudio por eso.
[0:20:59.00]-[0:21:04.00]  Ahora, eso del color, y como sean, si son buenos, para mí son todos iguales.
[0:21:04.00]-[0:21:06.00]  Claro.
[0:21:06.00]-[0:21:12.00]  ¿Y aquí en el pueblo hay bastantes o han llegado bastante gente de fuera?
[0:21:12.00]-[0:21:14.00]  ¿Cómo de fuera?
[0:21:14.00]-[0:21:17.00]  La capital, me refiero a las personas que usted dice.
[0:21:17.00]-[0:21:23.00]  ¿La mayor parte de la capital o también hay aquí a unos?
[0:21:23.00]-[0:21:29.00]  De Yseni se fueron hace años, por ejemplo, la porquería.
[0:21:29.00]-[0:21:35.00]  Entonces, pero ahora se iban los que, por ejemplo, aquí no tenían solución.
[0:21:35.00]-[0:21:40.00]  Ahora, el monte, diréis que me habla de esto si yo no entiendo.
[0:21:40.00]-[0:21:44.00]  El monte, cuando yo era joven, estaba en secano.
[0:21:44.00]-[0:21:47.00]  La barbena está bien secana.
[0:21:47.00]-[0:21:54.00]  Ahora han hecho canales y por todo el canal de la barbena y todo ahora más hay esperanza.
[0:21:54.00]-[0:22:02.00]  Pero como era monte y no había agua, se inmigraban a la capital.
[0:22:02.00]-[0:22:08.00]  Pero después se puso el monte, agua, una riqueza grande, que hay de agua y de todo.
[0:22:08.00]-[0:22:17.00]  Pero los que tenían la vida ya en la capital ya hecha, ya no vinieron ya.
[0:22:17.00]-[0:22:22.00]  Ahora, jubilaos que se están jubilando que vengan aquí, eso sí.
[0:22:22.00]-[0:22:26.00]  Y a veces jubilan vienen aquí.
[0:22:26.00]-[0:22:30.00]  ¿Y extranjeros hay muchos ahí?
[0:22:30.00]-[0:22:35.00]  Pues debe de haber bastante, pero no.
[0:22:35.00]-[0:22:38.00]  En la carretera ahora es esta, ¿o no?
[0:22:38.00]-[0:22:39.00]  En la carretera.
[0:22:39.00]-[0:22:45.00]  ¿Habéis visto un edificio alto que da a la carretera y a la calleja?
[0:22:45.00]-[0:22:51.00]  Ahí todo viven moros y rumanos.
[0:22:51.00]-[0:22:56.00]  Ahí viven de todo, pero no me digas que no sé ni cuántas familias hay ni nada.
[0:22:56.00]-[0:23:00.00]  ¿Entre ellas se llevan bien o también hay...?
[0:23:00.00]-[0:23:02.00]  Que no son como de casa.
[0:23:02.00]-[0:23:05.00]  No me entero, nada, nada.
