[0:00:00.00]-[0:00:02.00]  Una miaja, ¿no?
[0:01:48.00]-[0:01:50.00]  Eso no, ves tú.
[0:01:50.00]-[0:01:52.00]  A ver que nos lo cuente él,
[0:01:52.00]-[0:01:54.00]  que no se pasa hambre.
[0:01:54.00]-[0:01:56.00]  ¿Llegaba ya usted a unas cabras
[0:01:56.00]-[0:01:58.00]  a los siete años?
[0:01:58.00]-[0:02:00.00]  Sí.
[0:02:00.00]-[0:02:02.00]  Y al mismo tiempo, trabajaba en la tierra.
[0:02:02.00]-[0:02:04.00]  Al mismo tiempo.
[0:02:04.00]-[0:02:06.00]  ¿Ya con siete años?
[0:02:06.00]-[0:02:08.00]  Sí, ya con siete años.
[0:02:08.00]-[0:02:10.00]  ¿Y cómo la trabaja usted?
[0:02:10.00]-[0:02:12.00]  ¿Cómo la trabaja usted?
[0:02:12.00]-[0:02:14.00]  ¿Y qué hacía con eso?
[0:02:14.00]-[0:02:16.00]  Pues quitaba hierba,
[0:02:16.00]-[0:02:18.00]  cava las cepas y todo eso.
[0:02:18.00]-[0:02:20.00]  Las cepas.
[0:02:20.00]-[0:02:22.00]  ¿Y el video?
[0:02:22.00]-[0:02:24.00]  No, a mí no me importa,
[0:02:24.00]-[0:02:26.00]  se puede hacer lo que quiera.
[0:02:26.00]-[0:02:28.00]  Muy bien.
[0:02:28.00]-[0:02:30.00]  Y luego,
[0:02:30.00]-[0:02:32.00]  con mi hermano,
[0:02:32.00]-[0:02:34.00]  que era un poco mayor,
[0:02:34.00]-[0:02:36.00]  íbamos al monte a coger esparto.
[0:02:36.00]-[0:02:38.00]  Ellos cogían el esparto
[0:02:38.00]-[0:02:40.00]  y yo lo recogía.
[0:02:40.00]-[0:02:42.00]  El esparto hacía un montón.
[0:02:42.00]-[0:02:44.00]  Así que mira,
[0:02:44.00]-[0:02:46.00]  si llevo...
[0:02:46.00]-[0:02:48.00]  ¿Y el esparto para qué valía?
[0:02:48.00]-[0:02:50.00]  El esparto valía para hacer ropa.
[0:02:50.00]-[0:02:52.00]  ¿Sí?
[0:02:52.00]-[0:02:54.00]  Sí, la pan y eso lo hacían.
[0:02:54.00]-[0:02:56.00]  El esparto.
[0:02:56.00]-[0:02:58.00]  ¿Y los pantalones también?
[0:02:58.00]-[0:03:00.00]  Sí, lo hacían de esparto.
[0:03:00.00]-[0:03:02.00]  ¿Y cómo se hacía eso?
[0:03:02.00]-[0:03:04.00]  Ellos sabrán cómo lo hacían, pero...
[0:03:04.00]-[0:03:06.00]  Claro, usted.
[0:03:06.00]-[0:03:08.00]  ¿Y se llevaba a otro lado el esparto para hacer todo eso?
[0:03:08.00]-[0:03:10.00]  Claro, llamaban a los carros de fábrica
[0:03:10.00]-[0:03:12.00]  y la fábrica lo llevaba a Barcelona
[0:03:12.00]-[0:03:14.00]  donde vuelan de tuela para hacer la ropa.
[0:03:14.00]-[0:03:16.00]  ¿Usted lo recogía con su hermano?
[0:03:16.00]-[0:03:18.00]  Ellos lo cogían y yo lo recogía.
[0:03:18.00]-[0:03:20.00]  Hacían un malajo así.
[0:03:20.00]-[0:03:22.00]  Sí.
[0:03:22.00]-[0:03:24.00]  ¿Y lo echaban a...?
[0:03:24.00]-[0:03:26.00]  Lo echábamos a la cestia, lo llevábamos
[0:03:26.00]-[0:03:28.00]  al estaba...
[0:03:28.00]-[0:03:30.00]  al romanero pesándolo.
[0:03:30.00]-[0:03:32.00]  Y todo eso.
[0:03:32.00]-[0:03:34.00]  ¿Quién lo pesaba?
[0:03:34.00]-[0:03:36.00]  Uno que había un hombre que tenía nombre
[0:03:36.00]-[0:03:38.00]  una romana, lo metía
[0:03:38.00]-[0:03:40.00]  y a él lo pesaba y a aquel lo...
[0:03:40.00]-[0:03:42.00]  ¿Cómo era una romana? Porque ya no hay de esas.
[0:03:42.00]-[0:03:44.00]  Una romana era una cosa larga, así como...
[0:03:44.00]-[0:03:46.00]  ¿Y los padres? ¿Los padres qué?
[0:03:46.00]-[0:03:48.00]  Sí, hay todavía.
[0:03:48.00]-[0:03:50.00]  ¿Y todavía hay? ¿Cómo son?
[0:03:50.00]-[0:03:52.00]  No te digo nada. Eso tiene una esa de haciendo largas
[0:03:52.00]-[0:03:54.00]  y el gancho
[0:03:54.00]-[0:03:56.00]  lo tiene en la punta, entonces
[0:03:56.00]-[0:03:58.00]  por detrás ponen una pesa
[0:03:58.00]-[0:04:00.00]  que va dándole para marcar
[0:04:00.00]-[0:04:02.00]  todos los kilos que hay.
[0:04:02.00]-[0:04:04.00]  Y ustedes recogían
[0:04:04.00]-[0:04:06.00]  el esparto y lo llevaban a pesar
[0:04:06.00]-[0:04:08.00]  con la romana y ya se lo llevaban.
[0:04:08.00]-[0:04:10.00]  Claro. ¿Y las viñas qué más labor tenían?
[0:04:10.00]-[0:04:12.00]  ¿Qué más labor tenían?
[0:04:12.00]-[0:04:14.00]  Porque no solo había que cavar, ¿no?
[0:04:14.00]-[0:04:16.00]  No, no, había que podarlas, eh.
[0:04:16.00]-[0:04:18.00]  Había que escardarlas, eh.
[0:04:18.00]-[0:04:20.00]  Un montón de cosas.
[0:04:20.00]-[0:04:22.00]  ¿Y cómo era todo eso? ¿Eh?
[0:04:22.00]-[0:04:24.00]  ¿Cómo era todo eso? Como en Vultubara trabajando.
[0:04:24.00]-[0:04:26.00]  No, pero que es escardar,
[0:04:26.00]-[0:04:28.00]  que es que nosotros no sabemos nada de eso.
[0:04:28.00]-[0:04:30.00]  ¿Qué tal es el ambiente de la cepa?
[0:04:30.00]-[0:04:32.00]  La cepa echaba 20
[0:04:32.00]-[0:04:34.00]  ambientos en operación y con Diego
[0:04:34.00]-[0:04:36.00]  tiene bastante la cepa. La otra vez quitarlo.
[0:04:36.00]-[0:04:38.00]  ¿Por qué? Porque le tomaban a la otra.
[0:04:38.00]-[0:04:40.00]  Todos los ambientos se quedaban muy chicos, ¿no?
[0:04:40.00]-[0:04:42.00]  Y la uva había que
[0:04:42.00]-[0:04:44.00]  quitarle.
[0:04:44.00]-[0:04:46.00]  ¿Y qué más había que hacer?
[0:04:46.00]-[0:04:48.00]  ¿Qué más había que hacer para que saliera bien la cepa?
[0:04:48.00]-[0:04:50.00]  Pues muchas cosas.
[0:04:50.00]-[0:04:52.00]  También se echaba.
[0:04:52.00]-[0:04:54.00]  ¿Por qué?
[0:04:54.00]-[0:04:56.00]  Porque era bueno para la uva.
[0:04:56.00]-[0:04:58.00]  Porque no se pudiera y porque no se...
[0:04:58.00]-[0:05:00.00]  ¿Y qué más?
[0:05:00.00]-[0:05:02.00]  Pues muchas cosas.
[0:05:02.00]-[0:05:04.00]  ¿Entonces qué más?
[0:05:04.00]-[0:05:06.00]  ¿Qué más?
[0:05:06.00]-[0:05:08.00]  Pues muchas cosas.
[0:05:08.00]-[0:05:10.00]  Cuénteme usted todo.
[0:05:10.00]-[0:05:12.00]  Claro.
[0:05:12.00]-[0:05:14.00]  ¿Y qué más echaban en el arco?
[0:05:14.00]-[0:05:16.00]  Claro, las uvas se acaban en el vino.
[0:05:18.00]-[0:05:20.00]  De la uva se acaban en el vino.
[0:05:20.00]-[0:05:22.00]  Y del vino se acaban en el arco.
[0:05:22.00]-[0:05:24.00]  Pero la uva primero hay que recogerla, ¿no?
[0:05:24.00]-[0:05:26.00]  Claro.
[0:05:26.00]-[0:05:28.00]  Hay que llevarla a la bodega.
[0:05:28.00]-[0:05:30.00]  La recogían en cafazos.
[0:05:30.00]-[0:05:32.00]  Al carro y del carro también
[0:05:32.00]-[0:05:34.00]  un rumarero que había, que la pesaba.
[0:05:34.00]-[0:05:36.00]  Para que se la llevara el tío con los camiones.
[0:05:36.00]-[0:05:38.00]  ¿Y el vino lo hacían fuera?
[0:05:38.00]-[0:05:40.00]  Sí, el vino lo hacían en el sofá.
[0:05:40.00]-[0:05:42.00]  ¿Y usted nunca fue allá a pisar uvas?
[0:05:42.00]-[0:05:44.00]  No, no. Nosotros hemos pisado
[0:05:44.00]-[0:05:46.00]  para la casa.
[0:05:46.00]-[0:05:48.00]  Para tener vino para nosotros, para la casa.
[0:05:48.00]-[0:05:50.00]  ¿Y cómo se pisaba la uva?
[0:05:50.00]-[0:05:52.00]  Pues con los pies, las esparteñas.
[0:05:52.00]-[0:05:54.00]  ¿Encima del suelo?
[0:05:54.00]-[0:05:56.00]  Sí, encima del suelo.
[0:05:56.00]-[0:05:58.00]  Había una habitación que ya estaba preparada.
[0:05:58.00]-[0:06:00.00]  Que tenía su prensa.
[0:06:00.00]-[0:06:02.00]  Y el suelo era de las de ellos
[0:06:02.00]-[0:06:04.00]  para que no se escabullera.
[0:06:04.00]-[0:06:06.00]  Para pisar la uva.
[0:06:06.00]-[0:06:08.00]  ¿Y dónde se recogía el vino?
[0:06:08.00]-[0:06:10.00]  El vino se recogía
[0:06:10.00]-[0:06:12.00]  en octubre.
[0:06:12.00]-[0:06:14.00]  Cortábamos la uva
[0:06:14.00]-[0:06:16.00]  de las 5 a la 9 de octubre.
[0:06:16.00]-[0:06:18.00]  Se recogía la uva.
[0:06:20.00]-[0:06:22.00]  ¿Y qué uva había aquí?
[0:06:22.00]-[0:06:24.00]  Ah, aquí había mucha.
[0:06:24.00]-[0:06:26.00]  Sí, sí.
[0:06:26.00]-[0:06:28.00]  Al tipo que hubiera
[0:06:28.00]-[0:06:30.00]  que hubiera casi un millón de kilos aquí en Uñiné.
[0:06:30.00]-[0:06:32.00]  ¿Y más?
[0:06:32.00]-[0:06:34.00]  Sí, sí. Y ahora la hemos quedado sin viña.
[0:06:34.00]-[0:06:36.00]  ¿Y por qué?
[0:06:36.00]-[0:06:38.00]  ¿Por qué las han quitado?
[0:06:38.00]-[0:06:40.00]  Porque no tiene precio.
[0:06:40.00]-[0:06:42.00]  Ahora no tiene precio.
[0:06:42.00]-[0:06:44.00]  Los jornales
[0:06:44.00]-[0:06:46.00]  valen más que lo que tú recojas.
[0:06:46.00]-[0:06:48.00]  Y ahora hemos quitado. Yo me quedo una poca
[0:06:48.00]-[0:06:50.00]  y todo lo malo
[0:06:50.00]-[0:06:52.00]  es que tienen menos jornales.
[0:06:54.00]-[0:06:56.00]  ¿Y antes por qué no era así?
[0:06:56.00]-[0:06:58.00]  ¿Sí?
[0:06:58.00]-[0:07:00.00]  Porque se bebía más vino que los otros.
[0:07:00.00]-[0:07:02.00]  Ahora no se ve el vino.
[0:07:02.00]-[0:07:04.00]  Se ve poco vino. Los jóvenes, te vais poco.
[0:07:04.00]-[0:07:06.00]  Y entonces bebía todo el mundo vino.
[0:07:06.00]-[0:07:08.00]  Sí, sí.
[0:07:08.00]-[0:07:10.00]  ¿Aquí se bebía mucho vino?
[0:07:10.00]-[0:07:12.00]  Sí, se bebía. Sí.
[0:07:12.00]-[0:07:14.00]  Sí. Ya lo creo.
[0:07:14.00]-[0:07:16.00]  Pero cuando se trabajaba, no, no.
[0:07:16.00]-[0:07:18.00]  Hombre, cuando trabajaba bebía comiendo un poco.
[0:07:18.00]-[0:07:20.00]  Un vasico.
[0:07:20.00]-[0:07:22.00]  ¿Y qué se comía cuando se trabajaba?
[0:07:22.00]-[0:07:24.00]  ¿Qué se comía?
[0:07:24.00]-[0:07:26.00]  Patatas fritas.
[0:07:26.00]-[0:07:28.00]  Frita, guisado.
[0:07:28.00]-[0:07:30.00]  ¿Y para un poco?
[0:07:30.00]-[0:07:32.00]  ¿Qué es la frita?
[0:07:32.00]-[0:07:34.00]  ¿Qué es la frita?
[0:07:34.00]-[0:07:36.00]  Ha dicho usted que se comía frita.
[0:07:36.00]-[0:07:38.00]  Frita, frita, con tomate.
[0:07:38.00]-[0:07:40.00]  ¿Y qué es la frita?
[0:07:40.00]-[0:07:42.00]  Y patatas fritas.
[0:07:42.00]-[0:07:44.00]  ¿Pero la frita qué es?
[0:07:44.00]-[0:07:46.00]  ¿Y migas? ¿La frita qué es?
[0:07:46.00]-[0:07:48.00]  Pimiento y tomate.
[0:07:48.00]-[0:07:50.00]  Pimiento y tomate los jalapeños y eso lo dan frita.
[0:07:50.00]-[0:07:52.00]  Ah, vale, vale.
[0:07:52.00]-[0:07:54.00]  ¿Y migas?
[0:07:54.00]-[0:07:56.00]  ¿Y las migas aquí cómo se hacen?
[0:07:56.00]-[0:07:58.00]  Pues, se hacen por agua,
[0:07:58.00]-[0:08:00.00]  harina, pues ahí le va dando, dando, hasta que se hacen.
[0:08:00.00]-[0:08:02.00]  Y echa el aceite y ya va.
[0:08:02.00]-[0:08:04.00]  Y ya, ¿no? ¿Y qué se le echa a las migas?
[0:08:04.00]-[0:08:06.00]  A las migas, pues se le echa aceite,
[0:08:06.00]-[0:08:08.00]  se le echa así,
[0:08:08.00]-[0:08:10.00]  salchicha o se le echa...
[0:08:10.00]-[0:08:12.00]  Tofino. Tofino, hígado de cerdo,
[0:08:12.00]-[0:08:14.00]  o costillas de cerdo,
[0:08:14.00]-[0:08:16.00]  de todo eso.
[0:08:16.00]-[0:08:18.00]  ¿Y en qué se hacen? En una sartén grande que hay.
[0:08:18.00]-[0:08:20.00]  Y se comparte entre mucha gente, ¿no?
[0:08:20.00]-[0:08:22.00]  Hombre, pues ya de...
[0:08:22.00]-[0:08:24.00]  Acabamos de echar un plato, sí.
[0:08:24.00]-[0:08:26.00]  Y antes no habíamos sartén.
[0:08:26.00]-[0:08:28.00]  Sí, antes no habíamos sartén.
[0:08:28.00]-[0:08:30.00]  ¿Directamente?
[0:08:30.00]-[0:08:32.00]  No teníamos plato cada uno, no.
[0:08:32.00]-[0:08:34.00]  ¿Y cada uno traía su cosa para las migas?
[0:08:34.00]-[0:08:36.00]  No, hecho en la casa, la madre,
[0:08:36.00]-[0:08:38.00]  que gustaba, es la que hacía las migas,
[0:08:38.00]-[0:08:40.00]  y los guisados, y todo eso,
[0:08:40.00]-[0:08:42.00]  o sea, la madre.
[0:08:42.00]-[0:08:44.00]  ¿Y aquí hacían matanzas?
[0:08:44.00]-[0:08:46.00]  Sí, también, todos los años.
[0:08:46.00]-[0:08:48.00]  Matábamos un chino.
[0:08:48.00]-[0:08:50.00]  ¿Y cómo era la matanza?
[0:08:50.00]-[0:08:52.00]  Pues el chino se mataba.
[0:08:52.00]-[0:08:54.00]  Se arreglaba.
[0:08:54.00]-[0:08:56.00]  Los peniles para el lado,
[0:08:56.00]-[0:08:58.00]  los brazuelos para otro,
[0:08:58.00]-[0:09:00.00]  todo eso.
[0:09:00.00]-[0:09:02.00]  ¿Qué son los brazuelos?
[0:09:02.00]-[0:09:04.00]  Los brazuelos son estos,
[0:09:04.00]-[0:09:06.00]  los peniles los atrás del chino.
[0:09:06.00]-[0:09:08.00]  Ah, vale, vale.
[0:09:08.00]-[0:09:10.00]  Por la parte de adelante.
[0:09:10.00]-[0:09:12.00]  ¿Y cómo se arreglaba todo eso?
[0:09:12.00]-[0:09:14.00]  Todo eso se arreglaba, pues,
[0:09:14.00]-[0:09:16.00]  metiendo en sal,
[0:09:16.00]-[0:09:18.00]  eso se salaba,
[0:09:18.00]-[0:09:20.00]  para que no se arrepentiera.
[0:09:20.00]-[0:09:22.00]  Y de ahí ya, pues,
[0:09:22.00]-[0:09:24.00]  para todo el año,
[0:09:24.00]-[0:09:26.00]  para todo el año repartíamos,
[0:09:26.00]-[0:09:28.00]  porque no desechaba mucho,
[0:09:28.00]-[0:09:30.00]  y llegaba para todo el año.
[0:09:30.00]-[0:09:32.00]  Duraba porque duraba.
[0:09:32.00]-[0:09:34.00]  ¿Y cuántos se sacaban?
[0:09:34.00]-[0:09:36.00]  ¿Cuatro por chino?
[0:09:36.00]-[0:09:38.00]  ¿Pesones?
[0:09:38.00]-[0:09:40.00]  No, peniles.
[0:09:40.00]-[0:09:42.00]  Es peniles cuatro, los dos brazuelos
[0:09:42.00]-[0:09:44.00]  y los dos peniles.
[0:09:44.00]-[0:09:46.00]  ¿Y para prepararlos se les ponía peso encima?
[0:09:46.00]-[0:09:48.00]  ¿Para qué?
[0:09:48.00]-[0:09:50.00]  Hombre, para que se escurriera,
[0:09:50.00]-[0:09:52.00]  para que se quedaba sal y hueso,
[0:09:52.00]-[0:09:54.00]  vamos, sangre que diga.
[0:09:54.00]-[0:09:56.00]  ¿Y qué se le ponía encima?
[0:09:56.00]-[0:09:58.00]  Pues las piedras gordas,
[0:09:58.00]-[0:10:00.00]  encima.
[0:10:00.00]-[0:10:02.00]  Muy bien,
[0:10:02.00]-[0:10:04.00]  ¿y cómo se mataba el cerdo?
[0:10:04.00]-[0:10:06.00]  Lo mataban, lo echaban al lado de la mesa,
[0:10:06.00]-[0:10:08.00]  entre cuatro o cinco,
[0:10:08.00]-[0:10:10.00]  entonces le punchaban,
[0:10:10.00]-[0:10:12.00]  echaban la sangre,
[0:10:12.00]-[0:10:14.00]  y con la sangre esa hacía
[0:10:14.00]-[0:10:16.00]  la cutifarra,
[0:10:16.00]-[0:10:18.00]  y las morcillas,
[0:10:18.00]-[0:10:20.00]  y todo esto.
[0:10:20.00]-[0:10:22.00]  ¿Dónde lo punchaban?
[0:10:22.00]-[0:10:24.00]  Por el cuello.
[0:10:24.00]-[0:10:26.00]  Y ya por ahí
[0:10:26.00]-[0:10:28.00]  salía la sangre.
[0:10:28.00]-[0:10:30.00]  ¿Y la sangre se recogía también?
[0:10:30.00]-[0:10:32.00]  Sí, hombre, se recogía, no te digo.
[0:10:32.00]-[0:10:34.00]  Para hacer las morcillas, para hacer las cutifarra.
[0:10:34.00]-[0:10:36.00]  ¿Y dónde se recogía?
[0:10:36.00]-[0:10:38.00]  Pues en un labrillo grande, un plato grande.
[0:10:38.00]-[0:10:40.00]  ¿Y de ahí cómo hacían las morcillas luego?
[0:10:40.00]-[0:10:42.00]  Pues luego, pues hacían,
[0:10:42.00]-[0:10:44.00]  partían las cebollas,
[0:10:44.00]-[0:10:46.00]  se partían, se cocían,
[0:10:46.00]-[0:10:48.00]  entonces las recogían con la sangre,
[0:10:48.00]-[0:10:50.00]  y pues ya estaban las morcillas.
[0:10:50.00]-[0:10:52.00]  ¿Pero la sangre?
[0:10:52.00]-[0:10:54.00]  Luego las metían en tripa,
[0:10:54.00]-[0:10:56.00]  las morcillas, y entonces las iban amarrando,
[0:10:56.00]-[0:10:58.00]  una cosa así, y una de otra,
[0:10:58.00]-[0:11:00.00]  y esas eran las morcillas.
[0:11:00.00]-[0:11:02.00]  ¿Y con cebolla nada más se hacían?
[0:11:02.00]-[0:11:04.00]  Nada más.
[0:11:04.00]-[0:11:06.00]  ¿Y qué más se sacaba de chino?
[0:11:06.00]-[0:11:08.00]  ¿De chino?
[0:11:08.00]-[0:11:10.00]  Pues qué más, acá pues ya,
[0:11:10.00]-[0:11:12.00]  los carnes para comer,
[0:11:12.00]-[0:11:14.00]  en la casa,
[0:11:14.00]-[0:11:16.00]  se partían el ligado, todo eso, los freyas,
[0:11:16.00]-[0:11:18.00]  que era para las migas,
[0:11:18.00]-[0:11:20.00]  y todo eso, y es que quedaba
[0:11:20.00]-[0:11:22.00]  por la madre, no guardaba,
[0:11:22.00]-[0:11:24.00]  en una orza, y después iba sacando,
[0:11:24.00]-[0:11:26.00]  poco a poco, para echar a los amigos las patatas fritas.
[0:11:26.00]-[0:11:28.00]  Ah, en una orza.
[0:11:28.00]-[0:11:30.00]  ¿Y en una orza le echaban también
[0:11:30.00]-[0:11:30.00]  un...
[0:11:30.00]-[0:11:32.00]  ¡Asaite!
[0:11:32.00]-[0:11:32.00]  Ajá, ¿para qué?
[0:11:32.00]-[0:11:34.00]  Hombre, para que no se echara a perder.
[0:11:34.00]-[0:11:36.00]  Tiene que estar bañado el aceite,
[0:11:36.00]-[0:11:38.00]  porque si no, se florecía,
[0:11:38.00]-[0:11:40.00]  se perdía.
[0:11:40.00]-[0:11:42.00]  Y estando bañado el aceite, no se perdía.
[0:11:42.00]-[0:11:44.00]  ¿Y cómo se metía en la orza?
[0:11:44.00]-[0:11:46.00]  Pues la orza que tiene la boca
[0:11:46.00]-[0:11:48.00]  ancha, que cogía un...
[0:11:48.00]-[0:11:50.00]  un plato pequeño que usía para sacarlo,
[0:11:50.00]-[0:11:52.00]  un cazo que se decía que tenía un rabo así,
[0:11:52.00]-[0:11:54.00]  de largo,
[0:11:54.00]-[0:11:56.00]  lo metía.
[0:11:56.00]-[0:11:58.00]  ¿Y antes, pero antes,
[0:11:58.00]-[0:12:00.00]  freían las morcillas antes de meterlas
[0:12:00.00]-[0:12:02.00]  en la orza?
[0:12:02.00]-[0:12:04.00]  Hombre, claro, se freían, claro, para meterlas en la orza, sí.
[0:12:04.00]-[0:12:06.00]  Sí, ¿verdad?
[0:12:06.00]-[0:12:08.00]  ¿Y pero con aceite?
[0:12:08.00]-[0:12:10.00]  Con aceite, hombre, claro.
[0:12:10.00]-[0:12:12.00]  Y luego ya se metían en la orza,
[0:12:12.00]-[0:12:14.00]  y se conservaba todo eso bien, ¿no?
[0:12:14.00]-[0:12:16.00]  Y luego las mantecas del chino,
[0:12:16.00]-[0:12:18.00]  las parecían a trocitos,
[0:12:18.00]-[0:12:20.00]  y eso eran chicharrones.
[0:12:20.00]-[0:12:22.00]  Chicharrones se llamaban.
[0:12:22.00]-[0:12:24.00]  Se les decía eso.
[0:12:24.00]-[0:12:26.00]  Sí.
[0:12:26.00]-[0:12:28.00]  ¿Y los chicharrones cómo se comen?
[0:12:28.00]-[0:12:30.00]  ¿Cómo se comen?
[0:12:30.00]-[0:12:32.00]  Pues en las migas también,
[0:12:32.00]-[0:12:34.00]  o hacen torta de azúcar,
[0:12:34.00]-[0:12:36.00]  chicharrones que dicen torta,
[0:12:36.00]-[0:12:38.00]  torta de chicharrones que estaban mucho buenas,
[0:12:38.00]-[0:12:40.00]  para muchas cosas.
[0:12:40.00]-[0:12:42.00]  ¿Y se les echaba azúcar?
[0:12:42.00]-[0:12:44.00]  ¿Eh? Azúcar, claro, sí, azúcar.
[0:12:44.00]-[0:12:46.00]  ¿Y estaban bien con los...
[0:12:46.00]-[0:12:48.00]  ¡Oh! Se estaban.
[0:12:48.00]-[0:12:50.00]  ¡Sí, sí, sí!
[0:12:50.00]-[0:12:52.00]  Ya, hombre.
[0:12:52.00]-[0:12:54.00]  Con el hambre. Muy bien,
[0:12:54.00]-[0:12:56.00]  ¿y qué más partes del chino
[0:12:56.00]-[0:12:58.00]  se ha aprovechado?
[0:12:58.00]-[0:13:00.00]  No, el chino ya está todo aprovechado.
[0:13:00.00]-[0:13:02.00]  ¿Todo? ¿La cara y eso todo? Todo.
[0:13:02.00]-[0:13:04.00]  ¿Y la cara, por ejemplo, con qué...?
[0:13:04.00]-[0:13:06.00]  La cara, pues eso también,
[0:13:06.00]-[0:13:08.00]  se ha echado hasta a la brasa.
[0:13:08.00]-[0:13:10.00]  A la brasa.
[0:13:10.00]-[0:13:12.00]  Eso está guapas.
[0:13:12.00]-[0:13:14.00]  Si no, compras algún día una careta,
[0:13:14.00]-[0:13:16.00]  y la haces en la brasa y verás cómo...
[0:13:16.00]-[0:13:18.00]  Y un guasso vino al lado.
[0:13:18.00]-[0:13:20.00]  Y verás cómo está eso.
[0:13:20.00]-[0:13:22.00]  ¿Sola? ¿Así sin más?
[0:13:22.00]-[0:13:24.00]  Sí, sí, sí. Tú la haces todos dos, así,
[0:13:24.00]-[0:13:26.00]  la echas al labrador y la echas a la meja azar.
[0:13:26.00]-[0:13:28.00]  Ya verás cómo está eso.
[0:13:28.00]-[0:13:30.00]  Y...
[0:13:30.00]-[0:13:32.00]  Para los días de la matanza,
[0:13:32.00]-[0:13:34.00]  se hacía de comer, ¿no?
[0:13:34.00]-[0:13:36.00]  Sí, claro.
[0:13:36.00]-[0:13:38.00]  ¿Comía la gente juntas?
[0:13:38.00]-[0:13:40.00]  Juntas, la familia.
[0:13:40.00]-[0:13:42.00]  Entonces, nos amistábamos nosotros.
[0:13:42.00]-[0:13:44.00]  ¿Y cómo era aquello?
[0:13:44.00]-[0:13:46.00]  Pues ya amistaba toda la familia.
[0:13:46.00]-[0:13:48.00]  Pues ahí entonces,
[0:13:48.00]-[0:13:50.00]  pues las migas eran grandes,
[0:13:50.00]-[0:13:52.00]  el quizá con cantidad, pues todo.
[0:13:52.00]-[0:13:54.00]  Un día de boda.
