[0:00:00.00]-[0:00:04.80]  Bueno pues, ya le hemos dicho, queríamos saber cómo era la vida de antes.
[0:03:21.80]-[0:03:32.80]  Y entonces al no haber comida el resto de los meses del año, sino cuando llovía y el campo brotaba las hierbas,
[0:03:32.80]-[0:03:42.80]  los animales se les ponían para que hicieran parto, pues sobre todo ahora a partir de diciembre.
[0:03:42.80]-[0:03:51.80]  Diciembre, enero, febrero, los meses. Entonces en el verano cuando los animales estaban en el estallón,
[0:03:51.80]-[0:04:04.80]  pues no había leche, se iba a la tienda y claro se alejaban los dueños de la tienda, porque con unos salían bien pero con otros no.
[0:04:04.80]-[0:04:16.80]  Y llegaban y decían mira a ver si me puedes pillar el plato de milo para ser gopio o tal, hasta que harás queso.
[0:04:16.80]-[0:04:24.80]  Cuando se hacía el queso, la persona que quería cumplir, porque hubo muchos que no cumplieron,
[0:04:24.80]-[0:04:30.80]  que iban y pedían pero luego llegaba el tiempo de pagar y no pagaban.
[0:04:30.80]-[0:04:39.80]  Entonces, la persona que quería ser cumplidora, como tenía que hacerlo, iba con el queso a la tienda.
[0:04:39.80]-[0:04:49.80]  A lo mejor llevaba diez kilos de queso, cinco. El importe de cinco kilos lo invertía para traer la comida de la casa
[0:04:49.80]-[0:04:53.80]  y los otros cinco para pagar lo que tenía allí pendiente.
[0:04:53.80]-[0:05:03.80]  Y bueno, en aquel momento se vio de todo. También se vio el negocio por una parte se favoreció,
[0:05:03.80]-[0:05:12.80]  porque en aquel momento había mucha gente que ni conocía el dinero y aquí en este pueblo, sabes, se dio ese caso.
[0:05:12.80]-[0:05:21.80]  Y iban a la tienda a sacar piado, como se le llamaba, y si sacaban el importe, vamos al caso,
[0:05:21.80]-[0:05:30.80]  de cincuenta pesetas le ponían setenta y cinco en la cuenta. Y todo eso iba sufriendo.
[0:05:30.80]-[0:05:46.80]  Bueno, y eso lo que hubo, en aquel momento se retiraban los, se retiraba todo el campo, se sembraba cebada, lo más.
[0:05:46.80]-[0:05:56.80]  Se barbechaba también para plantar algunos huelgos que se le llamaba como el chista, lentejones, chicharacas.
[0:05:56.80]-[0:06:07.80]  Eso era para el ganado, pero la cebada para la paja para el ganado y el grano se tostaba y se moría para ser gozo.
[0:06:07.80]-[0:06:21.80]  Se sembraba trigo, poca cantidad. Sobre todo la parte norte plantaban cantidad de habas en aquel momento,
[0:06:21.80]-[0:06:29.80]  porque entonces el campo se trabajaba, no se dejaba nada por returar y plantar.
[0:06:29.80]-[0:06:39.80]  La gente en aquel momento trabajaba mucho el campo, era la supervivencia, la necesidad, porque el campo nunca ha dado nada.
[0:06:39.80]-[0:06:50.80]  Porque el campo ha sido siempre igual. Si hay un hombre y una mujer, me requiero, forman un hogar,
[0:06:50.80]-[0:06:59.80]  para formar una familia y se dedican solamente al campo, a la ganadería, ni para los zapatos que rompen el campo.
[0:06:59.80]-[0:07:13.80]  Eso es muy sacrificado y muy malvado, que ese es uno de los motivos que los campos en España general están abandonados.
[0:07:13.80]-[0:07:21.80]  ¿Es ya para el coche? Si, para recoger eso, pero no se preocupe, cuando volvan a ser pisados.
[0:07:21.80]-[0:07:23.80]  ¿Está fuera? Si, está fuera.
[0:07:23.80]-[0:07:43.80]  Perdón, ya voy. ¿A la puerta? La puerta la había encerrado. Vale.
[0:07:43.80]-[0:07:53.80]  Voy a pensar para coger el otro bolito, este se me está quedando sin tinta.
[0:07:53.80]-[0:08:22.80]  En aquel momento la gente trabajaba y había personas que se organizaban y entonces vendían sobre todo una vaca o un novillo.
[0:08:22.80]-[0:08:32.80]  Y agarraban aquel dinero y podían. Yo recuerdo eso, pero siempre pasa igual.
[0:08:32.80]-[0:08:46.80]  Yo recuerdo cuando en los años cuarenta y pico, por si no cincuenta, una vaca valía mil pesetas, eso no daba para nada.
[0:08:46.80]-[0:09:03.80]  Pero esas mil pesetas, su dueño al venderlas consideraba un ahorro y tenía que haberse muy opurado para gastar esas mil pesetas.
[0:09:03.80]-[0:09:16.80]  Si a mil pesetas las ahorraba, pues para ser una casita con algo más que clave y una vaca o un novillo o lo que fuera.
[0:09:16.80]-[0:09:30.80]  Y igual que también el otro ahorro que tenían, no todas las personas, eso era sobre todo en el Pinar, perdón en la frontera, Pinar era menos.
[0:09:30.80]-[0:09:49.80]  En frontera había gente que tendía la viña, venimeaba y entonces vendía el vino junto a un señor para transportarlo para el resto de las islas.
[0:09:49.80]-[0:10:08.80]  Y eso era otro ahorro que tenían, porque era un dinero que se recogía junto y que la gente, la gente en aquel momento, bueno,
[0:10:08.80]-[0:10:23.80]  habría un momento que llegaban vendiendo pescados, vamos al caso, y tenían cien pesetas, iban a cambiarlas para comprar pescados.
[0:10:23.80]-[0:10:33.80]  Habían casas que eran muy económicas, que ahorraban su dinero y bueno, y otros gastaban más de lo que tenían.
[0:10:33.80]-[0:10:39.80]  El mundo ha sido más o menos siempre igual.
[0:10:39.80]-[0:10:43.80]  ¿Y qué tipo de animales tenían?
[0:10:43.80]-[0:11:00.80]  Yo, yo crie, bueno yo diría, hay dos clases de animales aquí en la isla, bueno aquí en la isla uno, porque el otro no aquí en la isla, no los ha habido casi, casi no los ha habido.
[0:11:00.80]-[0:11:18.80]  Yo he criado de todos los animales, menos camellos y caballos, pero he criado vacas, novillos, ovejas, cabras, pues de todos los animales he criado.
[0:11:18.80]-[0:11:20.80]  ¿Y cómo se cuidan esos animales?
[0:11:20.80]-[0:11:45.80]  ¿Cómo se cuidan? Bueno, hoy hay un sistema para cuidarlos distinto, porque el animal está mejor y su dueño sobre todo también, porque hoy hay piensos, hay pajas, y eso sale caro,
[0:11:45.80]-[0:12:00.80]  pero claro, todas las cosas hay que conocerlas y saberles dar su camino, para que más o menos dejen algo de producción al que lo hace.
[0:12:00.80]-[0:12:26.80]  Bueno, si ahora se agarra y se crían diez o veinte cabras en una estabulación, a base de pienso y de paz, pero en esas veinte cabras hay, pues nada, dígannos ocho,
[0:12:26.80]-[0:12:38.80]  que no producen, o que producen muy poco, que son malas productivas, porque todas no producen igual. Si su dueño no se da cuenta de eso, no la puede criar,
[0:12:38.80]-[0:12:54.80]  porque resulta que aquellas doce cabras buenas que están produciendo, dan para ellas y para que les quede algo para su dueño.
[0:12:54.80]-[0:13:04.80]  Pero si hay ocho que no producen lo que ellas comen, se comen lo que sobra de aquella, entonces para el dueño no le queda nada.
[0:13:04.80]-[0:13:19.80]  Pero si es un señor que sepa, que se dé cuenta de eso, y se lesione, y diga a una cabra para que dé más o menos producción,
[0:13:19.80]-[0:13:33.80]  que tiene que producir cuatro litros de leche, que lo va cualquier cabra, no cualquiera, cualquiera, pero una cabra alimentada y atendida a cuatro litros de leche.
[0:13:33.80]-[0:13:41.80]  Pero si su dueño se conforma con que dé dos, está perdiendo dinero, perdiendo trabajo.
[0:13:41.80]-[0:13:53.80]  Entonces yo me refiero al que se cría el animal más alimentado que en aquel tiempo cuando no entraba pienso ni paz a la isla, sino con lo que producía el campo,
[0:13:53.80]-[0:13:59.80]  y que sobre todo se ha beneficiado el que lo crie.
[0:13:59.80]-[0:14:12.80]  Y aquí en este pueblo, en los años cuarenta y pico y antes más, criaban a lo mejor los vecinos, unos, otros no,
[0:14:12.80]-[0:14:15.80]  criaban a lo mejor cuatro o cinco cabras en casa.
[0:14:15.80]-[0:14:19.80]  Y una mujer no iba sola.
[0:14:19.80]-[0:14:27.80]  Y una mujer a lo mejor con dieciocho o veinte años, menos o más.
[0:14:27.80]-[0:14:36.80]  Y bueno, a lo mejor cuatro o cinco mujeres y cuatro o cinco hombres de esa edad, sobre todo jóvenes,
[0:14:36.80]-[0:14:47.80]  iban para la costa ahora en estas épocas y sobre todo antes de esta época, con las cabras a quedarse abajo en una cueva
[0:14:47.80]-[0:14:53.80]  para subir al otro día en la mañana a casa para que las cabras comieran.
[0:14:53.80]-[0:15:00.80]  Eso era un sacrificio, eso era una mala vida, eso era, no era la vida de gente.
[0:15:00.80]-[0:15:09.80]  Sin embargo, pues yo diría que si hoy agarra a cualquiera, se organiza, cría unas cabras en la estabulación,
[0:15:09.80]-[0:15:18.80]  unas cabras que produzcan, que su dueño se conforme con que sea una parte para ella y otra para él,
[0:15:18.80]-[0:15:26.80]  en las que en una cuadra hay agua, que en aquel momento no la había, hay luz,
[0:15:26.80]-[0:15:33.80]  me refiero sobre todo a la luz también para poder trabajar desde la hora que sea en la cuadra,
[0:15:33.80]-[0:15:39.80]  pero sobre todo la electrificación para prepararle el borraje,
[0:15:39.80]-[0:15:45.80]  y sí, para echarlas de comer y hacer alguna labor en el establo para la noche.
[0:15:45.80]-[0:15:52.80]  A veces se ve obligado eso, pero esa persona no está tan esclavizada,
[0:15:52.80]-[0:16:01.80]  porque puede decirme voy a ir a visitar a un familiar, a un amigo, y esto lo voy a hacer cuando vengan,
[0:16:01.80]-[0:16:09.80]  pero anteriormente no, anteriormente la vida del campo era muy esclava, muy esclava y muy mal paga.
[0:16:09.80]-[0:16:18.80]  Pero yo, que era de esa clase de animales que hubiera dicho, como todos vivimos de eso,
[0:16:18.80]-[0:16:33.80]  plantaba papas para el consumo de la casa, atendía un poco de viña, en fin, eso era lo que dedicábamos todos a la supervivencia.
[0:16:33.80]-[0:16:38.80]  ¿Y el queso de qué lo hacían? ¿Qué animales?
[0:16:38.80]-[0:16:47.80]  Pues el queso se hacía de todos los animales, pero había veces que se hacía queso de vaca nada más,
[0:16:47.80]-[0:16:51.80]  de la leche de vaca, el más malo.
[0:16:51.80]-[0:17:00.80]  Y el queso de oveja, que es un queso, yo diría que bueno, contiene más grasa que el otro.
[0:17:00.80]-[0:17:08.80]  Pues de oveja solo, tampoco es tan aceptable el queso de oveja solo,
[0:17:08.80]-[0:17:14.80]  con la mucha grasa que tiene, sabe un poco raro.
[0:17:14.80]-[0:17:21.80]  El que sí es un queso que incluso hay más, de una y unos que de otro.
[0:17:21.80]-[0:17:30.80]  Es con la leche está trabajando la central que se era, con las tres leches, vaca, cabra y oveja.
[0:17:30.80]-[0:17:37.80]  Y ahora para mí, el mejor queso de las tres leches es el de cabra.
[0:17:37.80]-[0:17:49.80]  El de cabra es el mejor para mí, y yo creo que si hay diez personas que aceiten el de oveja o el de vaca sola,
[0:17:49.80]-[0:17:53.80]  hay cien personas para que acepte el de cabra.
[0:17:53.80]-[0:17:59.80]  El de cabra es un queso muy aceptable por la humanidad.
[0:17:59.80]-[0:18:01.80]  Tiene menos queso.
[0:18:01.80]-[0:18:07.80]  El queso y la leche. El de cabra también, que se ha adaptado a ella.
[0:18:07.80]-[0:18:14.80]  ¿Y usted ha hecho queso? ¿Ha hecho queso? ¿Sabe cómo se hace el queso?
[0:18:14.80]-[0:18:19.80]  El queso. No, yo no lo he hecho, aunque había hombres que lo hacen.
[0:18:19.80]-[0:18:25.80]  Bueno, yo tengo un hijo, sobre todo que él trabajó en la quesera, y tiene prácticas en eso.
[0:18:25.80]-[0:18:28.80]  Él hizo queso hasta en la quesera.
[0:18:28.80]-[0:18:37.80]  Él sí conoce el tema ese, pero sí, conozco más o menos la forma de hacer el queso.
[0:18:37.80]-[0:18:46.80]  El queso en unos moldes, que hoy los hay distintos. Yo diría que todo ha mejorado.
[0:18:46.80]-[0:18:56.80]  Antes era una cinta, una tira de cinta o de latón.
[0:18:56.80]-[0:19:07.80]  Tiene una altura, vamos a decir, de tres dedos, largo según la cantidad de queso que se pueda hacer.
[0:19:07.80]-[0:19:15.80]  Bueno, entonces se empezaba por deñar los animales, fuera animal que fuera.
[0:19:15.80]-[0:19:18.80]  Se agarraba la leche.
[0:19:18.80]-[0:19:26.80]  Si se traía del campo de parte lejos, la que la leche llegaba muy fría, o incluso,
[0:19:26.80]-[0:19:35.80]  anteriormente las vacas se ordeñaban dos veces, las 24 horas, y la leche,
[0:19:35.80]-[0:19:46.80]  de la ordeñada de horas por la tarde, se iba a bajar mañana con lo que se ordeñaba en la mañana.
[0:19:46.80]-[0:19:53.80]  Entonces esa leche fría era bueno tibiarla, no calentarla mucho, muy poquito.
[0:19:53.80]-[0:19:58.80]  Tibiarla para ponerle el cuajo, una con la otra.
[0:19:58.80]-[0:20:11.80]  Entonces se cogía la leche, se podía ordeñar, se colaba en un colador que no deje pasar olura ninguna.
[0:20:11.80]-[0:20:20.80]  Después de colarla en un recipiente, se le ponía el cuajo según la cantidad de leche.
[0:20:20.80]-[0:20:23.80]  ¿Qué es el cuajo?
[0:20:23.80]-[0:20:33.80]  El cuajo está viniendo ahora de fuera, que lo venden en la farmacia, que yo no sé en realidad de que lo hacen.
[0:20:33.80]-[0:20:40.80]  Pero anteriormente el cuajo que se utilizaba en esta isla, todo el mundo general,
[0:20:40.80]-[0:20:50.80]  era un chivo, un cabrito, se mataba a los 8 o 10 días.
[0:20:50.80]-[0:21:02.80]  Entonces, si se iba a matar mañana, hoy se le quitaba de la madre, se le ponía parte.
[0:21:02.80]-[0:21:09.80]  Mañana cuando se fuera a matar el cabrito, se le ponía la madre para que él mamara.
[0:21:09.80]-[0:21:26.80]  Entonces él venía, se mataba al chivo y se le quitaba el cuajo, se ataba para que no se saliera esa leche,
[0:21:26.80]-[0:21:37.80]  y con la que mamó entonces, y la que tenía ya reservada, eso se cortaba, se cortaba, se cuajaba,
[0:21:37.80]-[0:21:46.80]  se ponía a curar, sobre todo donde recibiera, en aquel momento las cocinas funcionaban con leña,
[0:21:46.80]-[0:21:53.80]  donde recibiera el calorcito de la cocina que se curara, y después se le sacaba,
[0:21:53.80]-[0:22:02.80]  donde estuviera curado tal, se sacaba, se batía un poco en una taza donde fuera,
[0:22:02.80]-[0:22:12.80]  se le ponía un poquito de sal y se ponía en una botella, y entonces ya eran unos más fuertes que otros.
[0:22:12.80]-[0:22:21.80]  Ya cuando se comprobara el cuajo, decía uno, más o menos consideraba uno la cantidad que se necesitaba ponerle
[0:22:21.80]-[0:22:32.80]  para que la leche cuajara, y por una cuchara, una cuchara sopera, se iba viendo la cantidad que se le ponía,
[0:22:32.80]-[0:22:41.80]  y la leche se cuajaba. La leche contiene agua, que eso es lo que se le llama suero,
[0:22:41.80]-[0:22:51.80]  cuando ya cuajara, en época y la temperatura que uno tuviera cuajaba mejor unas veces que otras.
[0:22:51.80]-[0:23:01.80]  Los veranos acondicionaban mucho más mal la leche, porque eso, y entonces se cortaba la cuajada,
[0:23:01.80]-[0:23:09.80]  se le daba unos cortes y las manos, de quien tuviera mejor mano que otro, como todas las cosas,
[0:23:09.80]-[0:23:18.80]  las manos iban moviendo la cuajada y había mujeres, sobre todo, que es quien hacían el queso,
[0:23:18.80]-[0:23:26.80]  que tenían muy buenas manos y lo iban llevando a su punto y luego lo pasaban al noble ese,
[0:23:26.80]-[0:23:32.80]  que se le llamaba Sendaja, y se iba acariciando, como quien dice ahí,
[0:23:32.80]-[0:23:40.80]  y había mujeres que tenían unas manos que hacían buen queso, eran nombrados, mis mujeres hacían queso bueno,
[0:23:40.80]-[0:23:49.80]  sobre todo en una época que lo hacía de las tres leches, que teníamos vaca, cabra y oveja,
[0:23:49.80]-[0:23:59.80]  y le entregaban muchos quesos particulares para comer en casa, y si, y había mujeres muy dadas a hacer queso,
[0:23:59.80]-[0:24:11.80]  que lo hacían muy bueno, y entonces ese queso se iba apretando, poniéndolo en el molde, apretando y quitándolo el suero,
[0:24:11.80]-[0:24:20.80]  el suero iba saliendo, más porque había un molde de madera, se le llama quesera,
[0:24:20.80]-[0:24:31.80]  tiene, va hecho con sus estrías, por aquí unos desagües enredondos, hecho enredondo, y el queso va al centro,
[0:24:31.80]-[0:24:42.80]  y entonces lleva una piquera adelante, lleva una biquera hecha de la madera, el conunto, que es por donde sale el suero, fuera,
[0:24:42.80]-[0:24:57.80]  y después de que ya no haya más suero, sigue soltando un líquido, muy pequeña cantidad, que se le llama salmuera, salmuera del queso,
[0:24:57.80]-[0:25:11.80]  eso se le pone algo de recogerlo, y ese queso está de hoy a mañana en la quesera, ahí está desagüándolo la salmuera esa,
[0:25:11.80]-[0:25:24.80]  mañana se saca de ahí, y pasa a curarse al aire, y anteriormente ya digo, cuando las cocinas funcionaban con leña,
[0:25:24.80]-[0:25:36.80]  el queso se acondicionaba muy bien al calorcito de la cocina y al humo, después se incluso, se le da humo particular,
[0:25:36.80]-[0:25:49.80]  con varias cosas se le puede dar humo, y ahora mismo, ahora mismo últimamente hasta la misma quesera, ya la fábrica,
[0:25:49.80]-[0:26:05.80]  utilizaban las cepas de tunera, secas, para las de humo, el humo le da buena vista, y yo diría que buen sabor al queso,
[0:26:05.80]-[0:26:15.80]  sí, y bueno pues que más le voy a decir yo, eso es lo que ha habido hasta aquí, y sobre todo sacrificios,
[0:26:15.80]-[0:26:28.80]  para criar los animales y trabajar los campos, porque en aquellos años, este pueblo fue uno, bueno este, y el Pinar también,
[0:26:28.80]-[0:26:42.80]  pero sobre todo, fronteras, aunque también era sacrificado el vida de Pobcoa, pero este pueblo, Pinar y San Andrés,
[0:26:42.80]-[0:26:50.80]  tal vez no ha sido tanto como Chora y Pinar, sufrieron mucho cuando la escasez del agua, aquí en la isla sufrió,
[0:26:50.80]-[0:27:04.80]  en los años cuarenta y pico, mucha falta de agua, en los pozos, a la orilla del mar, y la fuente, los manantiales,
[0:27:04.80]-[0:27:15.80]  con los años de sequía que iban habiendo, iban cada día produciendo menos agua, y la comida de los animales igual,
[0:27:15.80]-[0:27:26.80]  fueron sacrificados los años, siempre hemos tenido años malos, aquí, para el campo, este año ya lo que pasa es que ya,
[0:27:26.80]-[0:27:35.80]  no hay animales, hay animales hay pocos, hay muy pocos habitantes en la isla, sobre todo en los pueblos,
[0:27:35.80]-[0:27:44.80]  este pueblo es uno que está casi deshabitado, ya hay agua potable en toda la isla, se abre la llave,
[0:27:44.80]-[0:27:56.80]  y ya está el agua, pero este año puede ser un año malo, si hubiera habido gente y ganadería como había en aquellos años,
[0:27:56.80]-[0:28:04.80]  teníamos un año malo, porque, no, y no este solo, ya llevamos unos años que aquí luego de poco,
[0:28:04.80]-[0:28:15.80]  cuando se vivía solamente del campo, hombre, la vida era muy sacrificada y penosa aquí.
[0:28:15.80]-[0:28:23.80]  ¿Y usted fue a la escuela, al colegio?
[0:28:23.80]-[0:28:34.80]  Yo le voy a decir una cosa, si le digo que yo fui al colegio, le miento, y si le digo que no fui, le mentiría también,
[0:28:34.80]-[0:28:50.80]  esto me dirá como sexo, pero tengo que decirlo como mía, yo a la escuela pública no fui, porque yo me quedé sin mi madre a los 8 años,
[0:28:50.80]-[0:29:00.80]  murió ella dejando 5 hijos, mi padre contrajo un matrimonio con una tía mía, hermana de mi madre,
[0:29:00.80]-[0:29:14.80]  y los hijos fueron llegando como a quien dice por cadena, fuimos 15 hermanos, 5 de mi madre y 10 de mi tía,
[0:29:14.80]-[0:29:27.80]  y entonces, no es que yo diga que no me quisieron educar, no podía, teníamos que apenas pequeños,
[0:29:27.80]-[0:29:35.80]  ayudar en los campos, en el campo, en la mantención, ir a guardar los cabras, el otro y otra cosa, en fin,
[0:29:35.80]-[0:29:47.80]  y yo pegué a trabajar sin tener edad para eso, entonces, nos mandaban unas horas por la noche,
[0:29:47.80]-[0:29:56.80]  con un primo hermano mío, era mucho mayor que yo, que más o menos estaba aprovechado, daba clases a varios,
[0:29:56.80]-[0:30:06.80]  pero qué pasaba, yo de día, todavía sin aclarar bien el día, me estaban llamando,
[0:30:06.80]-[0:30:13.80]  mira, para que vayas al claro cual, ya digo, no es que dias que no quisieron, es que no podía,
[0:30:13.80]-[0:30:20.80]  y entonces después todos los días en batalla, en esto y en lo otro, me mandaban un par de horas por la noche,
[0:30:20.80]-[0:30:31.80]  yo desde que llegaba estaba cabreceando, estaba durmiendo, entonces yo no fui a la escuela, no fui a la escuela.
[0:30:31.80]-[0:30:38.80]  ¿Y su primo le enseñó al menos, su primo, era su primo el que le enseñaba,
[0:30:38.80]-[0:30:42.80]  su primo al menos le enseñó algo, aprendió?
[0:30:42.80]-[0:30:55.80]  No, yo con él aprendí muy poco, sin embargo después, cuando hice el servicio militar, lo hice en un barco de guerra,
[0:30:55.80]-[0:31:05.80]  y fui a hacerlo en la península, en San Fernando, en Cádiz, hice el periodo de intrusión,
[0:31:05.80]-[0:31:16.80]  y después embarqué en un crucero de guerra en el Perrol, tuve, yo estaría como un mes,
[0:31:16.80]-[0:31:25.80]  después embarqué en otro crucero más pequeño, Miguel de Cervantes,
[0:31:25.80]-[0:31:34.80]  y después en Cartagena, en unas maniobras que salimos, enferme, cogí como una especie de pulmonía,
[0:31:34.80]-[0:31:46.80]  me ingresaron en un hospital militar que parecía una bobería que iba a ser por un par de semanas,
[0:31:46.80]-[0:31:54.80]  y estuve aproximado a siete meses ingresado en Cartagena en el hospital,
[0:31:54.80]-[0:32:04.80]  y allí había un catalán, que por cierto me acordaba mucho de él, pero no es un dejado,
[0:32:04.80]-[0:32:14.80]  yo lo apreciaba mucho, él a mí también, y cuando salí de allí, bueno él salió primero que yo,
[0:32:14.80]-[0:32:24.80]  él era ya lo primero que se dio, ya sería un hombre con 80 y tantos años, que se yo si vive, si qué,
[0:32:24.80]-[0:32:35.80]  él era de Port Vau de Francia, o sea desde Barcelona, blindando por Francia, como que queda allá Port Vau,
[0:32:35.80]-[0:32:45.80]  no se me ha olvidado hasta el nombre, se llamaba Rob, y aquel hombre era con modernidad,
[0:32:45.80]-[0:32:57.80]  teníamos entonces 20 y poco, se empeñó mucho en enseñarme, vio que yo no sabía, no sabía, y se empeñó mucho,
[0:32:57.80]-[0:33:09.80]  luego después ha ido perdiendo, pero miren yo llegué a dividir por decimales lo más que ha utilizado,
[0:33:09.80]-[0:33:18.80]  en la multiplicación, pues ese hasta de cabeza, utiliza uno la multiplicación y la suma,
[0:33:18.80]-[0:33:30.80]  de lo demás me ha olvidado, pero bueno, algo recogido de aquel hombre, algo bueno.
[0:33:30.80]-[0:33:36.80]  ¿Y aparte del queso se hacía también carne, embutidos?
[0:33:36.80]-[0:33:39.80]  Perdón, que le pregunte porque estoy un poco...
[0:33:39.80]-[0:33:45.80]  Ay, perdón, aparte del queso, ¿se hacía también carne, embutidos en el pueblo?
[0:33:45.80]-[0:33:56.80]  Sí, se hacía algunas pequeñas cantidades, porque en aquel momento, ya les dije, había mucho dinero,
[0:33:56.80]-[0:34:03.80]  o se hacía mucha falta de dinero, y en las casas iba a haber de lo que se sacaba para una cosa,
[0:34:03.80]-[0:34:12.80]  para comprar vestuario, para comprar alimentación al piso, entonces uno tenía a lo mejor una cabra,
[0:34:12.80]-[0:34:16.80]  no se comía, se vendía.
[0:34:16.80]-[0:34:33.80]  Y en cuanto a embutidos, entonces aquí, cuando se criaba, y me recuerdo esto,
[0:34:33.80]-[0:34:42.80]  hago una parada en compensarles esto, porque me vino al pensamiento un chiste,
[0:34:42.80]-[0:34:49.80]  no fue chiste, fue una realidad, en Venezuela, cuando estuve allá, de un venezolano,
[0:34:49.80]-[0:34:55.80]  aquí se criaban cochinos en la casa, todos los vecinos criaban un cochino,
[0:34:55.80]-[0:35:07.80]  y los mataban para el primero de este mes de noviembre, se mataban,
[0:35:07.80]-[0:35:13.80]  que era cuando terminaban las frutas, porque es que el cerdo no comía,
[0:35:13.80]-[0:35:16.80]  que se le echaba pienso, que se le echaba millo, entonces no,
[0:35:16.80]-[0:35:19.80]  movía para la gente, que no iba a ver para los animales,
[0:35:19.80]-[0:35:26.80]  sobre todo cogía carne con la fruta, cuando llovía los higos se secaban,
[0:35:26.80]-[0:35:32.80]  se pasaban para la gente, pero cuando llovía que ya no se pasaba,
[0:35:32.80]-[0:35:38.80]  entonces ya niquiera queda, había mucho higo, entonces se iba las higueras,
[0:35:38.80]-[0:35:44.80]  se cogía un cubo de higos y se le echaba al cochino,
[0:35:44.80]-[0:35:52.80]  se iba a las tuneras, no muchos, porque los tunos, había tantos o más que los que hay ahora,
[0:35:52.80]-[0:35:59.80]  pero la gente por falta de alimentación se comía muchas frutas,
[0:35:59.80]-[0:36:07.80]  y entonces al matar al cochino se ponía un poco de carne en adobo,
[0:36:07.80]-[0:36:13.80]  que era para la semana, porque no se podía entrar más tiempo,
[0:36:13.80]-[0:36:20.80]  pero se hacían salud, se hacían unos pocos chorizos de una parte de la carne,
[0:36:20.80]-[0:36:27.80]  y esos chorizos se curaban también en la cocina de leña,
[0:36:27.80]-[0:36:36.80]  se colgaban en la cocina y el humito ese y el calocito de la cocina los acondicionaba,
[0:36:36.80]-[0:36:45.80]  el chorizo pegaba a lotas grasas a cuatiar y a mermarse un poco y se quedaban después curados muy bien,
[0:36:45.80]-[0:36:52.80]  duraban tiempo, claro, no se podía hacer cantidad de chorizos,
[0:36:52.80]-[0:37:01.80]  porque el cochino no daba tampoco para más,
[0:37:01.80]-[0:37:07.80]  cochino al día que se mataba se reunía la familia, comíamos carne,
[0:37:07.80]-[0:37:18.80]  después costumbres que existían, se llamaba la vianda, la mujer de la casa les lo decía a los muchachos,
[0:37:18.80]-[0:37:26.80]  mira, esto llévole este pedacito de carne a Julana, se repartía que era familia,
[0:37:26.80]-[0:37:34.80]  y entonces pues, pero sí, era lo que se hacía, los embutidos que se hacían eran esos,
[0:37:34.80]-[0:37:26.80]  y les mencioné algo del t
[0:37:39.12]-[0:37:45.12]  resultó que había un venezolano trabajando en el mercado,
[0:37:45.12]-[0:37:49.12]  y había otro de aquí del viernes trabajando en la OV,
[0:37:49.12]-[0:38:01.44]  y yo estaba tan cerca, presencié una cosa que para mí, lo que hizo fue, que me dio risa la cosa del venezolano,
